"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","beamten","dienst","selbständigen","personalrat","angestellten","mitbestimmung","arbeitnehmer","sonntag","arbeitnehmer","stunden","arbeitszeit","mitbestimmung","beamten","sonntagsarbeit","arbeitnehmer","beamten","berufsausbildung","beamten","beamten","berufsausbildung","beamten","dienst","gscheidle","bezeichnungen","beamten","dienstes","dienst","beamten","beamten","beamten","beamten","benda","beamten","innern","genscher","genscher","genscher","genscher","genscher","dienst","bundesgrenzschutz","dienst","öffentlichen","maihofer","teilzeitbeschäftigung","bundeskriminalamt","verfassungsschutz","datenschutz","baum","beamten","datenschutz","nebentätigkeit","asylbewerber","ausländer","ausländer","bundesinnenminister","finanzausgleich","türkei","türkei","türkei","olympischen","sport","polizei","flüchtlinge","volkszählung","datenschutz","ausländer","sport","ausländer","ausländer","juden","sport","unterlagen","asylbewerber","asylbewerber","asylbewerber","ausländer","ausländer","ausländer","kanther","ausländer","ausländer","ausländer","kanther","kanther","staatsangehörigkeit","schily","zuwanderung","rechtsextremismus","zuwanderung","zuwanderung","zuwanderung","zuwanderung","zuwanderung","schily","sicherheit","integration","brandenburger","staatsangehörigkeit","schäuble","terrorismus","integration","bundespolizei","integration","datenschutz","datenschutz","datenschutz","integration","flüchtlinge","rechtsextremismus","rechtsextremismus","rechtsextremismus","npd","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","afd","migration","menschen","flüchtlinge","grenze","migranten","migration","menschen"
"2","gewerkschaften","beamten","angestellten","gewerkschaften","beamten","aufsichtsrat","regelung","stunden","gesetz","gewerkschaften","beamten","bier","arbeitnehmer","sonntag","beamtin","jugendlichen","urlaub","mehrarbeit","arbeitszeit","beamten","dienstes","beamten","bundeskriminalamt","beamten","dienst","dienst","beamten","dienstes","vergütungsgruppe","dienstes","genscher","innern","dienst","genscher","bundesgrenzschutz","innern","innern","innern","innern","öffentlichen","innern","öffentlichen","dienstes","verfassungsschutz","dienst","höcherl","dienst","beamten","beamten","daten","bundesbeauftragten","beamten","bundesamt","integration","asylbewerber","hirsch","länder","türkischen","sport","datenschutz","sport","zimmermann","daten","asyl","sport","volkszählung","datenschutz","ausländer","aussiedler","verfassungsschutz","sport","akten","akten","schengener","flüchtlinge","ausländer","flüchtlinge","ausländern","kanther","ausländer","öffentlichen","kanther","flüchtlinge","staatsangehörigkeit","ausländer","integration","zuwanderung","asyl","npd","marschewski","schily","schily","schily","zuwanderungsgesetz","sicherheit","schily","sicherheit","schily","schily","sicherheit","sicherheit","rechtsextremismus","sicherheit","datenschutz","schäuble","polizei","integration","polizei","zuwanderung","verfassungsschutz","polizei","npd","integration","staatsbürgerschaft","roma","flüchtlingen","flüchtlingen","integration","integration","menschen","menschen","pakt","migration","migration","integration","deutschland","deutschland","geflüchteten"
"3","arbeitnehmer","öffentlichen","arbeitnehmer","öffentlichen","gewerkschaften","arbeitnehmer","angestellten","arbeitszeit","angestellten","arbeitsvermittlung","öffentlichen","wein","urlaub","beamten","dienst","weihnachtsgeld","berlin","dienstes","jugendlichen","gewerbeordnung","beamte","öffentlichen","beamten","dienstes","innenausschuss","angestellten","brück","verbrechensbekämpfung","zivilverteidigung","dienst","innern","verbrechensbekämpfung","dienstes","innenausschuss","innern","mandel","dienst","öffentlichen","dienst","innern","bundesgrenzschutzes","oldenburg","dienst","traube","beamten","spranger","beamten","sicherheitsbehörden","bundesinnenminister","bundesgrenzschutz","spranger","dienst","asyl","ausländischen","datenschutz","ausländer","bundesergänzungszuweisungen","bundesinnenminister","ausländer","ausländer","spiele","verfassungsschutz","datenschutz","polizei","verfassungsschutz","zimmermann","datenschutzbeauftragten","aussiedler","schäuble","schäuble","schäuble","unterlagen","stasi","asylrecht","asylrecht","asylrecht","abschiebung","staatsangehörigkeit","staatsangehörigkeit","innenminister","staatsangehörigkeit","flüchtlinge","innenminister","ausländer","aussiedler","schily","ausländer","card","zuwanderung","rechtsextremismus","bundesinnenminister","uhl","bosbach","ausländer","bundesinnenminister","bundesinnenminister","schily","tor","integration","terrorismus","rechtsextremismus","schäuble","schäuble","schäuble","integration","daten","abkommen","bundespolizei","deutschland","sicherheitsbehörden","datei","rassismus","flüchtlinge","verfassungsschutz","flüchtlingen","menschen","menschen","menschen","menschen","zuwanderung","migration","flüchtlinge","flüchtlinge","menschen","griechenland","griechenland","migranten","ukraine"
"4","gesetz","arbeitgeber","berufsgenossenschaften","bediensteten","arbeiter","mitbestimmungsgesetz","einzelhandel","regelung","arbeiter","verhältnisse","einzelhandel","getränke","handwerk","sonntage","matzner","vorschuss","arbeitnehmer","dienst","jugendarbeitsschutzgesetzes","berufsausbildungsgesetz","dienst","dienstes","dienst","handwerksordnung","gscheidle","beamten","verbesserungen","innenausschuss","dienst","genscher","beamte","genscher","besoldung","dienst","bundesgrenzschutzes","hessen","dkp","dienst","dienstes","bewerber","beamten","schaumburglippe","gerster","dienst","öffentlichen","maihofer","öffentlichen","bundesinnenminister","datenschutz","mad","datenschutzes","asylbewerber","flüchtlinge","ausländern","asylverfahren","dienst","finanzausgleichs","innenminister","türkischen","personalausweis","volkszählung","bundesinnenminister","verfassungsschutz","zimmermann","daten","datenschutzbeauftragten","vereine","zimmermann","sport","ausländern","diestel","köppe","asylbewerber","asylverfahren","ausländer","asyl","bürgerkriegsflüchtlinge","einbürgerung","flüchtlinge","flüchtlinge","kanther","innenminister","marschewski","staatsbürgerschaft","spätaussiedler","staatsbürgerschaft","bundesinnenminister","marschewski","marschewski","deutschland","marschewski","inneren","integration","integration","bundesgrenzschutz","zuwanderung","bundesinnenminister","bundesinnenminister","bundesinnenminister","kontrollgremium","datei","rassismus","integration","terrorismus","hdj","integration","flüchtlinge","gewalt","polizei","migranten","nazis","flüchtlinge","deutschland","staatsangehörigkeit","deutschland","deutschland","integration","flüchtlingen","land","land","flüchtlinge","bamf","integration","migranten","migranten","menschen","asyl","registrierung"
"5","arbeiter","angestellten","kindergeld","dienststelle","arbeitnehmer","arbeitsdirektor","arbeitslosenversicherung","arbeitswoche","grippeepidemie","überstunden","dienst","gewerbe","mindesturlaub","stahlindustrie","tarifverträge","arbeitnehmer","mindesturlaub","arbeitnehmer","saar","dienst","arbeiter","anpassung","dienstes","dienst","dienstes","angestellte","innenausschuss","dienst","tarifverhandlungen","wagner","dienstes","sofortprogramm","innern","dienstes","sicherheit","polizei","beamten","minister","beamten","maihofer","dienst","maihofer","innenausschuss","bundesinnenminister","innern","innern","verfassungstreue","baum","bgs","bundesinnenminister","innern","beamte","asylrecht","türken","einbürgerung","beamten","ergänzungszuweisungen","volkszählung","zimmermann","ausweis","ruhrgebiet","volkszählung","bürger","innenminister","sportler","sport","zimmermann","datenschutz","übersiedler","innern","innern","aufarbeitung","aufarbeitung","flüchtlinge","asyl","staatsangehörigkeit","asylbewerber","ausländerbeauftragten","abschiebung","sonntagwolgast","reform","sonntagwolgast","integration","flüchtlinge","zuwanderung","ausländer","flüchtlinge","ausländer","innenminister","flüchtlinge","innenminister","beckstein","zuwanderungsgesetz","schily","innenminister","integration","terrorismus","strobl","stadler","rechtsextremismus","sicherheitsbehörden","innenminister","bundesinnenminister","integrationspolitik","daten","kontrolle","daten","migranten","polizisten","staatsangehörigkeit","zuwanderung","sicherheitsbehörden","rechtsextremismus","optionspflicht","asylbewerber","asylbewerber","migration","land","flüchtlingen","familiennachzug","familiennachzug","migranten","staatsangehörigkeit","deutschland","flüchtlinge","moria","menschen","flüchtlinge"
"6","arbeitgeber","arbeitnehmer","älteren","verwaltung","sonntage","gewerkschaften","uhr","arbeitnehmer","industrie","bauaufgaben","korruption","hausierhandel","innenausschuss","dienst","arbeitgeber","weihnachten","beamten","wuermeling","gscheidle","dienstes","straubing","besoldung","innenausschuss","besoldungsgruppe","beamtenschaft","gscheidle","stufe","besoldungsgruppe","besoldungsgruppe","öffentlichen","dienst","bundeskriminalamt","gehobenen","bundeskriminalamt","polizei","neuregelungsgesetz","polizei","baum","öffentlichen","bewerbers","dienstes","niedersachsen","mandat","innern","datenschutz","innenminister","dienstes","innenminister","innern","asylbewerber","bundesinnenminister","innern","spenden","ausländerpolitik","asylrecht","spranger","horizontalen","türkische","bundesinnenminister","kurden","olympische","tiedge","sicherheit","asylbewerber","zimmermann","polizei","baumann","vereine","innern","schengener","hirsch","gerster","ausländer","asyl","asylrechts","flüchtlinge","jelpke","schmalzjacobsen","innern","asylbewerber","verwaltung","schmalzjacobsen","staatsangehörigkeit","rassismus","land","doppelte","innenminister","rüttgers","ausländer","ausländischer","ausländer","vereinigungen","strobl","deutschland","integration","innenminister","zuwanderungsgesetz","sicherheitsbehörden","datei","integration","antiterrordatei","winkler","sicherheitsbehörden","migranten","innenminister","sicherheitsbehörden","griechenland","staatsangehörigkeit","zwangsheirat","extremismus","frankfurt","residenzpflicht","wolff","flüchtlingen","staatsangehörigkeit","beck","deutschland","herkunftsstaaten","staatsbürgerschaft","afghanistan","land","menschen","asylbewerber","miri","deutschland","migration","afd","polen"
"7","betriebsrat","mitbestimmung","arbeitgeber","arbeitsgerichte","weihnachten","eisen","gewerkschaften","sabel","regelung","arbeitnehmer","bundesverwaltung","arbeitnehmer","dienst","arbeitsweise","kühlthau","jugendliche","berliner","öffentlichen","erwachsenen","entwurf","weihnachtszuwendungen","beamtenbesoldung","ausländer","handwerk","miessner","umwandlungen","schmittvockenhausen","schmittvockenhausen","köppler","bundesinnenminister","versetzt","beamten","genscher","nienberge","beamten","innenausschusses","sicherheit","dienstes","bundesinnenminister","verfassungstreue","wahlrecht","verfassungstreue","gehobenen","dienstes","beamte","schleyer","beamte","innenausschuss","dienst","dienst","sicherheitsbehörden","dienstes","polizei","kinder","ausländerfeindlichkeit","innenminister","förderabgabe","flüchtlingskommissar","folter","türkischen","datenschutz","polizei","zevis","mainz","gesetze","daten","daten","innern","ausländern","gerster","dienste","verfassungsschutz","ausländerfeindlichkeit","zuwanderung","zuwanderung","schengener","innenminister","staatsbürgerschaft","schmalzjacobsen","schmalzjacobsen","sonntagwolgast","ausländern","staatsbürgerschaft","integration","einwanderungsland","bundesinnenminister","integration","deutschland","bundesinnenminister","integration","integration","versammlungsrecht","sicherheit","staatsangehörigkeit","zuwanderungsgesetz","flughafen","sicherheitsbehörden","stadler","innenminister","polizei","npd","npd","integrationsplan","daten","sis","sicherheit","innenminister","integrationskurse","flüchtlingen","integration","integration","behörden","staatsangehörigkeit","sicherheitsbehörden","menschen","mittelmeer","land","einstufung","deutschland","abschiebungen","bamf","afd","einwanderung","staatsangehörigkeit","menschen","flüchtlinge","migrationspolitik","migration"
"8","betrieb","arbeiter","berufsgenossenschaft","beamten","beschäftigten","vorstand","handelskammern","sonntags","beamten","regelung","belegschaftshandel","brauereien","kühlthau","sonntagen","gewerkschaften","zahlung","tage","verbesserungen","arbeitnehmer","doppelversorgung","angestellten","bundesregierung","besoldungsordnung","schulhoff","besoldung","bundesgrenzschutz","unteroffiziere","besoldung","schmittvockenhausen","innern","benda","kriminalpolizei","wagner","polizei","länder","länder","dienstes","beamten","polizei","beamten","polizei","bewerber","beamten","innenminister","maihofer","bundesinnenminister","baum","datenschutzes","spranger","datenschutz","bundesbeauftragte","bundesinnenminister","dregger","baum","ausländern","baum","türkei","bericht","innenminister","hirsch","bewerbung","datenschutz","hirsch","ausländer","bürger","innenminister","ausländern","innenminister","staatsangehörigkeit","datenschutz","jüdischen","schäuble","gerster","schäuble","deutschland","einbürgerung","sonntagwolgast","ausländischen","schengener","einbürgerung","marschewski","marschewski","kanther","sonntagwolgast","integration","staatsangehörigkeitsrecht","rüttgers","schily","menschen","familienbericht","sicherheit","sicherheit","bevölkerung","grindel","stokar","polizei","beamten","terrorismus","koschyk","innenminister","ströbele","flüchtlinge","terrorismus","zuwanderung","flüchtlinge","polizisten","sicherheit","maizière","asylbewerber","deutschland","sicherheitsbehörden","innenminister","aufenthaltsgesetz","migration","beck","asyl","asyl","innenminister","migration","deutschland","zuwanderung","familiennachzug","staatsbürgerschaft","afd","griechischen","griechischen","personen","geflüchtete"
"9","beamte","betriebsverfassungsgesetz","angestellte","personalvertretung","richter","beamten","sabel","dienst","ausnahmen","tag","volle","geistigen","anhebung","einfachen","beamten","weihnachtsgeldes","harmonisierungsnovelle","matzner","jugendliche","berufsausbildungsgesetzes","zivilbeschäftigten","bundesbeamten","bundeskriminalamtes","beamte","innenausschusses","öffentlichen","besoldungsneuregelungsgesetzes","besoldungsneuregelungsgesetz","angestellten","schäfer","dorn","dorn","beamte","innenministerkonferenz","bgs","innenausschuss","länder","länder","minister","bundesinnenminister","öffentlichen","beamten","entschädigung","verfassungsschutzes","bundesinnenminister","bund","bewerber","daten","bundesgrenzschutzes","bundesgrenzschutzes","datenverarbeitung","öffentlichen","verfahren","asylbewerber","asyl","nordrheinwestfalen","ausländer","menschenrechte","asylbewerber","ausländern","daten","hirsch","zimmermann","daten","dkp","speicherung","sport","volkszählung","penner","übersiedler","akten","stasi","sed","ausländer","seiters","zuwanderung","ulla","jelpke","ausländergesetzes","ausländergesetzes","schmalzjacobsen","zurückkehren","sonntagwolgast","innenminister","ausländern","zuwanderung","jelpke","innenminister","schily","schily","verfassungsschutz","integration","bundesinnenminister","kemper","kaplan","bosbach","koschyk","datenschutz","ausländer","ströbele","integration","migranten","wahlrecht","npd","bundesinnenminister","thw","staatsangehörigkeit","polizisten","personen","polizei","verfassungsschutz","antisemitismus","antisemitismus","polizei","migration","maizière","asylverfahren","sicheren","schutz","migration","integration","deutschland","deutschland","seehofer","migration","inseln","flüchtlinge","schutz"
"10","angestellten","dienstes","familienausgleichskassen","sabel","sonntag","hauptversammlung","industrie","stundenwoche","arbeiterschaft","gruppe","verwaltung","reisegewerbe","arbeitszeit","mittleren","vermögenswirksame","überleitung","dienst","brück","dienst","ausbildung","betriebe","überleitung","dorn","öffentlichen","ländern","besoldung","besoldungsneuregelungsgesetz","verbesserungen","innenausschusses","besoldungsrückstandes","innenministerium","polizei","innenausschuss","öffentlichen","innenminister","dienstes","öffentlichen","bundesinnenminister","wahlkreiskommission","genscher","innenausschuss","dienstes","angehörigen","öffentlichen","dienstes","dienst","bundesverfassungsgericht","polizei","daten","baum","datenschutzbeauftragten","nebentätigkeiten","baum","beamten","baum","ausländern","datenschutz","folter","ausländischen","ausweises","datenschutzbeauftragten","kontrollkommission","kontrollkommission","flüchtlingen","hirsch","datenschutzbeauftragte","innenminister","asylbewerber","einbürgerung","verfassungsschutzes","daten","sports","flüchtlinge","genfer","politisch","asylrechts","ausländern","integration","innenminister","bürgerkriegsflüchtlinge","ausländern","flüchtlingen","bürgerkriegsflüchtlinge","bundesinnenminister","innern","kinder","asylbewerber","green","gewalt","ausländer","bosbach","deutschland","deutschland","bundesinnenminister","zuwanderung","luftsicherheitsgesetz","innenminister","neonazis","einbürgerung","nachrichtendienste","polizei","pass","innenminister","innenminister","staatsangehörigkeit","terrorismus","veit","ausländer","veit","flüchtlinge","extremismus","asylbewerber","flüchtlingen","beck","optionspflicht","einwanderung","kommen","asylbewerber","leben","einwanderungsgesetz","migranten","land","asyl","heimat","inseln","lesbos","ausländerzentralregister","ukrainischen"
