"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","anstalten","rundfunk","bundesinnenminister","grundgesetzes","film","filmwirtschaft","elektrische","verbraucher","bundespost","bundespost","film","bundespost","post","post","presse","diehl","post","post","ahlers","ehmke","ehmke","ehmke","ahlers","ehmke","ehmke","presse","chef","steiner","guillaume","presse","schlei","bölling","öffentlichkeitsarbeit","bundesrechnungshof","öffentlichkeitsarbeit","film","öffentlichkeitsarbeit","luxemburg","medien","klein","medien","ausstellung","bundesrechnungshof","sport","springer","bundespost","bundespost","bundespost","ded","bundespost","post","bundespost","bundespost","plenarsaal","bundespost","bundespost","bundespost","bundesrechnungshof","stiftung","forschungs","post","raumfahrt","föderalismuskommission","forschung","forschung","forschung","forschung","forschung","luft","post","post","post","post","post","raumfahrt","post","internet","film","post","post","welle","ladenöffnungszeiten","welle","film","welle","welle","wettbewerb","offenlegung","ministererlaubnis","wettbewerb","telekom","wettbewerb","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","netzneutralität","digitale","digitale","unternehmen","digitalisierung","digitalisierung","unternehmen","digitalen","digitalisierung","intelligenz","unternehmen","digitalisierung","digitalisierung","digitalisierung","digitalen","digitalisierung"
"2","berliner","berliner","zonenrandgebiet","sontra","berliner","berliner","berliner","berliner","fernsehen","bundesgebiet","berliner","kühn","kühn","fernsehen","kühn","kommission","berlin","sirenen","werbung","gebührenerhöhung","post","werbung","post","fernmeldewesen","bundespost","post","bundespressechef","fernmeldewesen","fernmeldewesen","ehmke","bundeskanzleramtes","ahlers","herr","presse","presse","aufgaben","journalisten","grabert","staatssekretärin","presse","chef","staatssekretärin","schüler","bölling","bayerischen","urteil","urteil","film","klein","klein","bundesrechnungshof","schwarzschilling","klein","bundespost","volksbund","presse","post","meeresschildkröten","post","bundespost","post","bundespost","post","post","plenarsaals","post","post","post","forschung","bundespost","forschung","praklaseismos","telekom","großforschungseinrichtungen","gentechnik","technologie","technologie","postreform","telekom","raumfahrtindustrie","telekom","ag","wettbewerb","wettbewerb","ag","metro","volksfeste","dass","stiftung","zugabeverordnung","stiftung","wettbewerb","einzelhandel","post","verbraucher","wettbewerb","wettbewerb","regulierungsbehörde","unternehmen","wettbewerb","unternehmen","wettbewerb","marktwirtschaft","wettbewerb","wettbewerb","wettbewerb","wettbewerb","post","kinderarbeit","kinderarbeit","kinderarbeit","leistungsschutzrecht","internet","unternehmen","digitalen","itsicherheit","digitalen","daten","digitalisierung","daten","unternehmen","digitalisierung","digitalisierung","unternehmen","unternehmen","unternehmen","digitalisierung","digitalen"
"3","stadt","notopfer","zonenrandgebieten","berliner","notopfer","zone","berlins","stadt","berliner","sowjetzonalen","programm","fernsehen","heck","rundfunk","rundfunk","filmindustrie","berliner","film","verbrauchers","post","anstalten","post","fernmeldewesen","bundespost","presse","zeitungen","presse","presse","presse","bundespressechef","aufgaben","presse","besondere","chef","ahlers","staatssekretäre","ddr","bundeskanzleramtes","guillaume","ehmke","bölling","presse","bundesbank","urteil","bölling","bundesverfassungsgericht","bundesrechnungshof","bölling","radio","schwarzschilling","planungsabteilung","medienpolitischen","weirich","rechnungsprüfungsausschuß","pflege","monopolkommission","postminister","washingtoner","verkabelung","bundespostminister","paterna","rechnungshof","rawe","fernmeldewesen","sitzordnung","fernmeldewesen","telekommunikation","schwarzschilling","forschungspolitik","post","grundlagenforschung","technikfolgenabschätzung","forschung","berlin","gentechnisch","gentechnik","post","post","telekommunikation","forschung","ag","telekommunikation","ag","postgesetz","filialen","raumstation","ag","post","warentest","internet","film","markt","post","verbraucher","wettbewerb","regulierungsbehörde","regulierungsbehörde","verbraucher","aktionäre","unternehmen","bundesnetzagentur","unternehmen","post","telekom","post","subventionen","post","wettbewerb","netzneutralität","internet","wettbewerb","opel","unternehmen","digitalen","internet","digitalen","unternehmen","unternehmen","digitalen","digitale","digitale","digitale","digitale","intelligenz","wirtschaft","digitalen","unternehmen","digitale"
"4","bevölkerung","berlins","zonenrandgebiete","berlins","berlins","stadt","stadt","sitz","rundfunkanstalten","sed","werbung","werbung","fernmeldewesen","grundgesetzes","bund","rundfunkanstalten","westdeutschen","fernsehens","fernsehen","werbung","stücklen","selbstkontrolle","stücklen","steinmetz","fernmeldewesen","fernmeldewesen","zeitungen","bundespost","bundespost","pressefreiheit","presse","informationsamtes","aufgaben","informationsamtes","herr","besondere","chef","presse","zeugen","bundeskanzleramt","bundeskanzleramtes","bölling","broschüre","bundesverfassungsgericht","anzeigen","verfassungsgericht","verfassungsgericht","urteil","hauff","programme","medien","öffentlichrechtlichen","medienbericht","rechnungshof","sports","burda","cbfunk","post","paterna","postminister","fernmeldewesen","bundesrechnungshof","paterna","film","neubau","rawe","wettbewerb","telekommunikation","forschungs","forschung","bundesrechnungshof","bundespost","bundespost","beschluß","technologie","vosen","telekom","technologie","post","informationsgesellschaft","telekommunikation","postbank","internet","ag","film","ariane","wettbewerb","rundfunk","filmförderung","wettbewerb","ag","internet","verbraucher","uhr","filmwirtschaft","heil","vielfalt","unternehmen","hauptversammlung","marktwirtschaft","bundeskartellamt","airbus","unternehmen","netze","ag","post","mitbestimmung","hochtief","wettbewerb","wettbewerb","rohstoffen","genossenschaften","telekom","internet","breitbandausbau","digitale","industrie","urheber","ministererlaubnis","digitalisierung","digitalen","digitalen","digitalen","wirtschaft","digitale","daten","digitale","unternehmen"
"5","bundesregierung","stadt","maßnahmen","eschwege","stadt","berlins","brandt","zone","anstalten","berliner","selbständigen","programm","grundgesetzes","rundfunkanstalten","speditionsnahverkehr","filmwirtschaft","besold","fernsehen","presse","gebühren","fernsehen","stücklen","gebühren","stücklen","zeitungen","bundespost","post","bundeszentrale","journalisten","presse","bundeskanzleramt","besondere","mützelburg","abgeordneter","chef","pressereferat","wechmar","informationsamtes","wienand","chef","schüler","frau","staatssekretär","presse","herr","rechnungshof","bayerischen","filme","medien","fernsehen","schwarzschilling","rundfunk","enquetekommission","bundesrechnungshofes","kriegsgräber","bundeswirtschaftsminister","glasfaser","rechnungsprüfungsausschuß","postminister","post","postminister","fernmeldewesen","poststellen","rawe","denkmalschutz","börnsen","bundesrechnungshof","fernmeldewesen","bank","dara","faktenbericht","expertensystemen","technologie","ministerien","telekom","catenhusen","raumfahrt","telekom","technologie","dasa","forschung","forschung","mayer","telekommunikation","wettbewerb","divag","schaustellergewerbe","medien","dass","rabattgesetz","wettbewerb","schauerte","uhr","unternehmen","deutschen","informationsgesellschaft","anreizregulierung","zeitungen","wettbewerb","telekom","markt","markt","preise","korruption","schultz","akkreditierungsstelle","unternehmensmitbestimmung","bundesnetzagentur","telekom","netzneutralität","wirtschaft","bochum","enquetekommission","digitalisierung","unternehmen","bsi","edeka","buchpreisbindung","wirtschaft","unternehmen","daten","künstliche","wirtschaft","digitale","daten","ki","wirtschaft","wirtschaft"
"6","berlins","sowjetzone","stadt","arbeitskräfte","aufbauplan","notopfer","sitz","mannheim","rundfunk","werbung","rundfunk","heck","fernsehen","werbung","verfassung","rundfunk","sachverständigenkommission","oas","anstalten","defizit","fernmeldewesen","fernmeldewesen","gebührenerhöhung","fernsehen","zeitschriften","güntherkommission","fernsehen","diehl","pausch","wörner","besondere","herr","bundesminister","herr","informationsamtes","bundesminister","verordnung","göbel","untersuchungsausschuß","schlei","informationsamtes","journalisten","öffentlichkeitsarbeit","abgeordneter","staatsregierung","rechnungsprüfungsausschuß","bölling","filmförderung","satelliten","neuen","bundesrechnungshofs","fernsehen","rundfunk","rechnungshofes","schirmer","bundespost","verkabelung","rechnungshof","schwarzschilling","verkabelung","bundesrechnungshof","schwarzschilling","fernmeldewesen","deutschen","erhalten","raumfahrt","fernmeldewesen","deutschen","technologiepolitik","riesenhuber","bundespost","ag","post","umzug","gentechnikgesetz","postreform","postreform","forschungs","gentechnik","post","postfilialen","informationsgesellschaft","kiper","kiper","rahmenprogramm","esa","gentechnik","mayer","produzenten","markt","markt","deutschen","wettbewerb","wettbewerb","liberalisierung","branche","neumann","kartellamt","aktiengesellschaften","berninger","regulierung","unternehmens","verbraucher","bundesnetzagentur","markt","anreizregulierung","ag","ag","spielhallen","enquete","internet","wettbewerb","genossenschaften","enquetekommission","agenda","digitalisierung","digitale","internet","daten","urheberrecht","facebook","ki","startups","digitalen","digitalen","digitale","innovationen","mittelstand"
"7","land","land","millionen","arndt","bund","viermächtestatus","hauptstadt","hannover","programm","stadt","bundesversammlung","anstalt","rundfunkanstalten","fernsehens","verfassungsänderung","fernsehen","kommission","geführte","film","film","gebühren","fernsehprogramm","gscheidle","rundfunk","fernsehen","schulzevorberg","bundeszentrale","pausch","sänger","staatssekretär","öffentlichkeitsarbeit","aufgaben","dr","staatssekretär","aufgaben","dienstes","informationsamtes","ehmke","ehmke","nollau","schlei","wochenschau","abgeordneter","anzeigen","presse","bölling","presse","presse","herr","rundfunk","sendungen","enquetekommission","medien","rechnungshofs","volksbundes","zusammenschluß","paterna","arten","breitbandverkabelung","rechnungshof","rawe","paterna","rechnungshof","fernsehen","bundeshaus","bundesrechnungshof","börnsen","wettbewerb","riesenhuber","raumfahrt","informationstechnik","briefs","hermes","konzeptkommission","wissenschaft","gentechnikgesetzes","gentechnik","wissenschaft","forschungs","telekommunikation","wettbewerb","laufs","inhalte","markt","biotechnologie","raumfahrtpolitik","verordnung","mosdorf","volksfeste","verbraucher","internet","medien","samstag","markt","weiss","unternehmen","regulierung","post","vorstände","verbraucher","telekom","entflechtung","markt","nokia","unternehmens","markt","markt","arbeitsbedingungen","leitsätze","rohstoffen","asbest","wasserversorgung","digitale","wirtschaft","digitalisierung","infrastrukturen","daten","digitalen","digitale","internet","internet","unternehmen","intelligenz","daten","innovationen","wirtschaft","daten","innovationen"
"8","gebiet","zone","hilfe","stadt","senat","gesamtdeutsche","bonn","berlins","bundesgebiet","zone","bundesgebiet","rundfunkanstalten","macht","repräsentanz","sender","filme","filmproduktion","rundfunk","zeitungen","bundespostminister","rundfunkanstalten","illustrierten","sender","gebühren","film","kommission","öffentlichkeitsarbeit","zeitungen","berichterstattung","herr","ahlers","chef","presse","ehmke","abgeordneter","herr","korrespondenten","wechmar","schlei","bnd","staatssekretärin","staatssekretär","broschüren","urteils","journalisten","bundesrechnungshof","fernsehen","pressefusionskontrolle","bundesminister","medienpolitischen","luxemburg","medienpolitische","informationsamt","bemerkungen","antrag","wirtschaftsminister","netze","tierarten","glasfaser","breitbandverkabelung","pfeffermann","rawe","bundesrechnungshof","privaten","abriß","satelliten","postreform","raumfahrt","senat","salzgitter","bundesrechnungshofes","forschung","unternehmen","verlagerung","raumfahrt","post","forschungs","postbank","gentechnologie","telekom","kiper","telekom","informationsgesellschaft","forschung","kunden","wettbewerb","jahrproblem","wettbewerb","software","unternehmen","bildungstest","wettbewerbsrecht","monopolkommission","ag","regulierung","verbraucher","verbraucher","musik","gehälter","eon","märkte","post","strom","verbraucher","mitarbeiterbeteiligung","ag","postdienstleistungen","acs","senator","rohstoffe","öpp","urheberrecht","kreativwirtschaft","breitbandausbau","handwerk","daten","internet","urheberrecht","fusion","agenda","mittelstand","daten","ki","künstliche","blockchain","intelligenz","intelligenz","verwaltung"
"9","menschen","flüchtlinge","brökelschen","hessischen","bundesfinanzminister","zonenrandgebiet","zone","gesamtdeutsche","werbefernsehen","gesamtdeutsche","drüben","fernsehprogramm","programm","ministerpräsidenten","ausbaustufe","finanzreform","films","berliner","rundfunk","sachverständigenkommission","postverwaltungsgesetzes","telefonbücher","kommission","presse","kommission","dollinger","fernmeldewesen","kommission","lemmer","anzeige","information","anzeige","dreckmann","journalisten","besondere","parlamentarischen","wohlrabe","staatssekretär","schäuble","journalisten","zeitungen","wochenschauen","stern","staatssekretär","öffentlichkeitsarbeit","presse","wahl","medien","fernsehen","gmbh","bundesrechnungshofes","presse","antrag","radio","welle","entscheidung","schwarzschilling","aussterben","meeresschildkröten","bundesrechnungshof","verkabelung","rundfunk","öffentlichrechtlichen","paterna","ehmke","videokassetten","beschäftigten","depfa","anwaltschaft","telekommunikation","rechnungsprüfungsausschuß","börnsen","ariane","forschung","riesenhuber","telekom","wissenschaft","industrieforschung","wissenschaft","raumfahrt","uran","bury","netz","kunden","börnsen","ag","mosdorf","öffentlichrechtlichen","antrag","liberalisierung","popmusik","deutsche","ladenschlussgesetz","internet","films","regulierung","internet","regulierung","transparenz","kartellamt","anbieter","netze","manager","aufsichtsrat","korruption","bundeskartellamt","unternehmens","briefmarkt","oecdleitsätze","megabit","energiesparlampen","internet","freien","agenda","megabit","netze","wettbewerb","digitale","wettbewerb","datenschutz","wirtschaft","enquetekommission","daten","ki","altmaier","innovation","startups","digital"
"10","bundesrepublik","bundeszuschuß","hilfsmaßnahmen","bundesregierung","hauptstadt","zonengrenze","gesamtdeutsche","sportler","werbung","reiseverkehrs","grenzland","rundfunk","anstalten","verfassung","gesellschaft","bundesregierung","film","preßluftsirenen","verbraucheraufklärung","postverwaltungsgesetzes","werbung","bundespost","postverwaltungsrat","fernsehprogramm","filme","fernsehen","informationsamt","staatssekretär","dring","kanzleramt","kanzleramt","öffentlichkeitsarbeit","schmidburgk","bundesregierung","staatssekretär","tätigkeit","herr","funcke","untersuchungsausschusses","bölling","journalisten","gaus","anzeigen","bundesverfassungsgerichts","chef","gewaltenteilung","filmtheater","papier","schwarzschilling","rundfunkanstalten","jansen","neuen","fernsehen","satelliten","leistungssport","verlage","deutschen","paterna","fernmeldewesen","schwarzschilling","rechnungshof","pfeffermann","werbung","schwarzschilling","bausubstanz","filme","dienste","dara","rechnungshof","raumstation","post","unternehmen","wettbewerb","bonn","gentechnologie","grundlagenforschung","postunternehmen","telekommunikation","bötsch","technologie","bury","filialen","bury","regulierungsbehörde","forschung","weltraumforschung","schausteller","informations","schausteller","rabattgesetzes","rock","tv","öffnungszeiten","deutsche","uwg","kartellamt","liberalisierung","schauerte","außengastronomie","fusion","verbraucher","korruption","ag","marktwirtschaft","aufsichtsrat","eigentum","rechtsform","barthel","rekommunalisierung","universaldienst","dienstleistungskonzessionen","urheber","urheberrecht","bundesnetzagentur","wirtschaft","stadtwerke","tengelmann","netzneutralität","verwaltung","verbraucher","wettbewerb","internet","strategie","industrie","investoren","startups","innovation","wettbewerb"
