"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","europäischen","europäischen","wiedervereinigung","saar","sowjetunion","wiedervereinigung","wiedervereinigung","europäischen","sowjetunion","wiedervereinigung","politik","sowjetunion","ewg","staaten","deutschen","europäischen","berlin","vertrag","politik","europäischen","politik","europäischen","frankreich","staaten","staaten","europa","politik","sowjetunion","ddr","sowjetunion","sowjetunion","politik","europa","europa","verträge","deutschland","ddr","ddr","vertrag","ddr","staaten","ddr","ddr","ddr","staaten","ddr","ddr","europa","sowjetunion","sowjetunion","staaten","sowjetunion","sowjetunion","polen","sowjetunion","ddr","sowjetunion","sowjetunion","sowjetunion","sowjetunion","sowjetunion","waffen","sowjetunion","sowjetunion","sowjetunion","waffen","waffen","ddr","ddr","ddr","europa","europa","europa","europa","europa","europa","europäischen","europäischen","europäischen","europäischen","russland","europa","europäischen","europäischen","europäischen","europa","europa","europäischen","europäischen","europäischen","europäischen","europa","europa","europäischen","europäischen","europa","türkei","europa","europa","europäischen","europäischen","europa","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europa","europa","europa","europa","europa","europa","griechenland","europa","europa","europa","europa","europa","europa","europa","europa","europa","europäischen","europa","europäischen"
"2","bundeskanzler","saar","londoner","wiedervereinigung","wiedervereinigung","politik","politik","atomwaffen","wiedervereinigung","freihandelszone","staaten","abrüstung","politik","europäischen","europäischen","welt","bundeskanzler","europäischen","staaten","europäische","europäischen","parlaments","politik","europa","europa","europäischen","europa","europäischen","politik","politik","bundeskanzler","ddr","sowjetunion","europäischen","sowjetunion","bundeskanzler","vertrag","staaten","europa","sowjetunion","europa","polen","konferenz","menschenrechte","ddr","sowjetunion","sowjetunion","sowjetunion","ddr","staaten","sowjetunion","staaten","ddr","sowjetunion","staaten","staaten","staaten","waffen","waffen","waffen","europa","sowjetunion","waffen","europa","abrüstung","ddr","sowjetunion","sowjetunion","europa","europa","ddr","sowjetunion","europäischen","vertrag","europäischen","europäischen","europa","europa","russland","europa","europa","europäischen","europa","europa","europa","europäischen","europäischen","europa","nizza","europa","europa","europäischen","europäischen","europa","europa","europäischen","europäischen","europäischen","europäischen","europa","europa","europäischen","europa","europa","europa","europäische","europa","europa","europa","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europa","griechenland","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europa","europäischen","europa"
"3","deutschland","politik","deutschlands","verträge","deutschlands","sowjetunion","sowjetunion","staaten","politik","deutschlands","wiedervereinigung","politik","europäischen","europa","welt","europa","europäischen","europa","sowjetunion","europa","europa","parlament","europäischen","politik","europäischen","politik","ddr","europa","deutschlands","staaten","politik","europa","europäischen","staaten","politik","politik","vereinten","sowjetunion","staaten","staaten","konferenz","europa","menschenrechte","staaten","menschenrechte","staaten","staaten","ddr","staaten","moskau","welt","ddr","staaten","ddr","ddr","sowjetunion","europa","staaten","europa","europa","staaten","staaten","staaten","reykjavik","nulllösung","sowjetunion","europa","europa","sowjetunion","einheit","einheit","europäischen","polen","europäischen","europäische","europäische","union","union","europa","union","europäischen","europäische","währungsunion","europäische","euro","europäische","europäische","union","union","union","union","europäische","europäische","europäische","europäische","europäische","europa","türkei","türkei","europäische","europäische","europäische","europäische","europäische","europäische","europa","europäische","europäische","europäische","europäische","griechenland","griechenland","europäische","europäische","europäische","europäischen","europäischen","abkommen","ceta","europäische","europäische","europäische","europäische","europäische","europäische","europäische","europäische","europäische"
"4","europa","europa","europäischen","deutschlands","politik","deutschlands","saar","europäische","nato","sowjetunion","sowjetunion","wiedervereinigung","sowjetunion","welt","staaten","gemeinschaft","politik","politik","vertrag","politik","staaten","europäische","europa","europäischen","beziehungen","staaten","sowjetunion","staaten","deutschland","ddr","europa","sowjetunion","politik","bundeskanzler","vertrag","bundesrepublik","nationen","bundesrepublik","deutschland","europa","ddr","deutschland","staaten","europa","sowjetunion","deutschland","europa","staaten","afghanistan","frieden","politik","bundeskanzler","politik","staaten","frieden","bündnis","verhandlungen","europa","staaten","staaten","ddr","europa","europa","waffen","europa","abrüstung","abrüstung","staaten","ungarn","staaten","sowjetunion","staaten","europäische","europäische","maastricht","staaten","europäische","europäische","union","europäische","nato","union","euro","union","europäische","union","union","europäische","europa","nizza","europäische","union","türkei","union","türkei","verfassung","europäische","europäische","europäische","union","union","union","union","vertrag","kommission","vertrag","griechenland","kommission","mitgliedstaaten","griechenland","europäische","europäische","kroatien","union","abkommen","europäische","europäische","europäische","europäische","grossbritannien","union","union","eu","union","union","eu","union","union"
"5","deutschlands","deutschlands","politik","sowjetunion","moskau","staaten","nato","europa","atomwaffen","aussenpolitik","deutschland","deutschlands","welt","bundesrepublik","deutsche","bundesrepublik","ollenhauer","staaten","welt","bundeskanzler","deutschen","gemeinschaften","deutschland","deutschland","politik","gemeinschaft","europäischen","politik","staaten","bundeskanzler","staaten","nation","staaten","deutschland","europa","staaten","deutschland","deutschland","vertrages","konferenz","sowjetunion","staaten","deutschland","helsinki","europa","menschenrechte","berlin","deutschland","entspannungspolitik","sowjetischen","europa","politik","abrüstung","europa","europa","europa","beziehungen","verhandlungen","frieden","sowjetischen","waffen","genf","amerikanischen","abrüstung","waffen","europa","nuklearen","waffen","polen","sowjetunion","polen","europäische","sowjetunion","staaten","vertrag","gemeinschaft","nato","staaten","europäische","währungsunion","staaten","währungsunion","europäische","nato","währungsunion","nato","euro","regierungskonferenz","europäische","europäische","konvent","europas","union","nato","verfassung","union","union","verfassung","union","eu","bulgarien","eu","kommission","union","union","union","eu","union","union","union","fiskalpakt","union","union","eu","eu","griechischen","union","ceta","abkommen","union","eu","eu","union","eu","eu","union","eu","eu"
"6","verträge","deutschland","ollenhauer","deutschland","konferenz","welt","deutschlands","sowjetunion","deutschlands","europäischen","welt","freiheit","staaten","vereinigten","politik","staaten","staaten","europäische","europäischen","vertrag","welt","fusion","französischen","bundesrepublik","sowjetunion","deutschland","deutschlands","tschechoslowakei","drüben","europa","europäischen","europäischen","ddr","europäische","deutschland","ddr","staaten","politik","sowjetunion","deutschland","deutschland","sowjetunion","helsinki","politik","deutschland","europa","deutschland","politik","europa","welt","ddr","verhandlungen","europa","bundeskanzler","amerikanischen","frieden","waffen","frieden","stationierung","frieden","amerikanischen","sdi","ddr","staaten","reichweite","staaten","staaten","abrüstung","staaten","europäischen","deutschland","deutschen","gemeinschaft","maastricht","gemeinschaft","vertrag","gemeinschaft","präsidentschaft","tschetschenien","frankreich","europäische","osze","union","vertrag","union","kommission","gipfel","eu","erweiterung","polen","bundeskanzler","staaten","europas","verfassung","union","eu","eu","union","eu","mitgliedstaaten","rumänien","mitgliedstaaten","mitgliedstaaten","eu","eu","lissabon","union","eu","eu","kommission","wachstum","krise","wachstum","kommission","union","abkommen","ttip","union","union","macron","europas","brexit","brexit","abkommen","mitgliedstaaten","mitgliedstaaten","mitgliedstaaten","europas"
"7","politik","bundeskanzler","europa","politik","beziehungen","bundesrepublik","welt","wiedervereinigung","abrüstung","politik","europa","deutschen","aussenpolitik","politik","vereinigten","europäische","deutschen","gemeinschaft","vereinigten","ministerrat","bundeskanzler","europa","nato","truppen","vertrag","grossbritanniens","nation","welt","beziehungen","vertrag","ddr","staaten","gemeinschaft","politik","staaten","beziehungen","politik","beziehungen","beziehungen","berlin","europäischen","politik","deutschen","berlin","mertes","politik","abkommen","nation","politik","afghanistan","bundeskanzler","berlin","frieden","frieden","politik","abrüstung","vereinigten","abrüstung","ddr","abrüstung","deutschlandpolitik","ddr","sdi","amerikanischen","sicherheit","west","sicherheit","europäischen","waffen","deutschen","vertrag","polen","vertrag","gemeinschaft","union","abrüstung","russland","ksze","staaten","französischen","tschechischen","staaten","nato","russland","währung","agenda","europarat","mitgliedstaaten","mitgliedstaaten","erweiterung","europas","europäer","frankreich","konvent","regierungskonferenz","mitgliedstaaten","kommission","eu","frankreich","verfassung","kommission","kommission","eu","kommission","mitgliedstaaten","eu","mitgliedstaaten","mitgliedstaaten","kommission","mitgliedstaaten","union","kommission","bundeskanzlerin","bundeskanzlerin","kommission","griechische","ceta","ttip","eu","eu","kommission","grossbritannien","grossbritannien","brexit","ratspräsidentschaft","ratspräsidentschaft","staaten","konferenz"
"8","deutschen","europäische","bundeskanzler","bundesrepublik","genf","europäischen","verträge","bundesrepublik","staaten","welt","westlichen","europa","europa","berlin","bundesrepublik","politischen","sowjetunion","frankreich","europa","staaten","erler","staaten","staaten","vereinigten","bundeskanzler","regierung","staaten","europäische","bundesrepublik","europäischen","verhandlungen","deutschland","deutschland","barzel","gemeinschaft","vertrag","grundvertrag","europa","europäischen","beziehungen","entspannung","deutschen","verhandlungen","deutschland","nationen","beziehungen","politik","wiedervereinigung","entspannung","politik","frieden","nation","beziehungen","sowjetischen","polen","politik","europäischen","stationierung","nato","polen","deutschen","deutschland","usa","bündnis","mittelstreckenraketen","bundeskanzler","konventionellen","zusammenarbeit","europas","deutschland","europas","deutschland","maastricht","europas","währungsunion","eg","staaten","nachbarn","russischen","bundeskanzler","abrüstung","vertrag","staaten","amsterdam","wirtschafts","bundeskanzler","türkei","helsinki","charta","osterweiterung","mitgliedstaaten","vertrag","erweiterung","staaten","eu","europas","rat","mitgliedstaaten","verfassung","demokratie","eu","ratspräsidentschaft","vertrag","mitgliedstaaten","vertrag","parlament","island","irland","türkei","eurobonds","esm","bundeskanzlerin","griechenland","europas","mitgliedstaaten","eu","abkommen","grossbritannien","mitgliedstaaten","frankreich","mitgliedstaaten","europas","frankreich","europas","europas","europas","europas","mitgliedstaaten"
"9","frankreich","ollenhauer","deutschland","bundeskanzler","deutschland","europa","ungarn","verträge","deutschland","staaten","europäischen","zone","deutschen","deutschland","volk","politik","europa","vereinigten","bundeskanzler","parlament","deutschland","gemeinschaft","welt","französischen","vereinigten","grossbritannien","deutschland","aussenminister","berlin","bundesrepublik","barzel","bundeskanzler","bundeskanzler","gemeinschaft","ddr","scheel","einheit","vereinten","bundesrepublik","politik","berlin","berlin","bundesrepublik","sowjetunion","politik","berlin","mertes","deutschen","welt","ddr","gleichgewicht","europa","schlussakte","europäischen","mertes","unsere","ddr","ddr","bündnis","krieg","verhandlungen","usa","nato","usa","pershing","ost","verhandlungen","beziehungen","abrüstung","polen","europäischen","europas","union","ungarn","europas","atomwaffen","europas","deutsche","tschechischen","atomwaffen","bundeskanzler","bundeskanzler","russland","währungsunion","europas","euro","europas","türkei","osterweiterung","staaten","nizza","nato","konvent","mitgliedstaaten","europas","türkei","mitgliedstaaten","europas","europas","brüssel","beitritt","türkei","reformvertrag","lissabon","europas","kommission","kommission","europäischer","griechenland","eu","kommission","mitgliedstaaten","mitgliedstaaten","griechenland","freihandelsabkommen","union","eu","eu","kommission","brexit","frankreich","abkommen","vertrag","staaten","solidarität","staaten","kommission","kommission"
"10","vertrag","frankreich","sowjetunion","statut","bundesrepublik","verträge","staaten","vertrag","welt","atomwaffen","freihandelszone","welt","efta","amerikanischen","sowjetunion","verhandlungen","auswärtigen","vertrages","entspannung","welt","deutsche","nationalen","gemeinschaft","bundeskanzler","deutschland","europäische","berlin","bundeskanzler","anerkennung","deutschland","europäische","vertrag","bundesrepublik","verhandlungen","deutschen","deutschen","berlin","nationen","politik","verträge","politik","europäischen","sowjetunion","deutschlandpolitik","beziehungen","entspannung","beziehungen","entspannung","menschenrechte","europa","bündnis","bündnis","deutschen","bündnis","libanon","waffen","abrüstung","nato","raketen","beziehungen","bundeskanzler","europäischen","abrüstung","bundeskanzler","staaten","deutschlandpolitik","bundeskanzler","europas","verhandlungen","europas","nato","deutsche","staaten","deutschland","maastrichter","europas","deutschen","deutschland","atomwaffen","französische","union","gemeinsame","amsterdam","staaten","bundeskanzler","eu","tampere","aussenminister","bundeskanzler","aussenminister","eu","konvent","kopenhagen","europas","staaten","erweiterung","europas","verfassungsvertrag","beitritt","kommission","ratspräsidentschaft","europas","europas","irland","brüssel","mitgliedstaaten","rat","rat","ungarn","efsf","mitgliedstaaten","europas","rat","krise","ttip","regierung","bundeskanzlerin","griechenland","ttip","europas","staaten","macron","mitgliedstaaten","frankreich","europäischer","kommission","grossbritannien","staaten"
