"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","menschen","menschen","zonenrandgebiet","sontra","arbeitskräfte","studenten","forschung","studenten","wissenschaft","ländern","neubau","förderung","hochschulen","zonenrandgebiet","entwicklungshilfe","bund","entwicklungshilfe","hochschulen","schulen","forschung","forschung","forschung","forschung","forschung","forschung","forschung","forschung","forschung","forschung","hochschulen","bildung","bildung","wissenschaft","wissenschaft","bildung","bildung","bildung","hochschulen","bildung","hochschulen","bildung","bildung","bildung","studenten","ausbildungsplätze","bildung","schulen","ausbildung","gesamtschule","hochschulen","bildung","bildung","bildung","bildung","hochschulen","bildung","bildung","ausbildungsplätze","ausbildung","ausbildung","hochschulen","hochschulen","ausbildung","mädchen","ausbildung","bildung","ausbildung","hochschulen","ausbildung","bildung","bildung","ausbildung","jugendlichen","bildung","bildung","bildung","ausbildung","ausbildung","bildung","bildung","hochschulen","ausbildung","ausbildung","hochschulen","hochschulen","bildung","ausbildung","ausbildung","bildung","hochschulen","bildung","bildung","bildung","ausbildung","bildung","hochschulen","forschung","forschung","forschung","forschung","forschung","forschung","bildung","ausbildung","bildung","bildung","bildung","bildung","bildung","bildung","hochschulen","bildung","hochschulen","bildung","bildung","bildung","bildung","bildung","bildung","bildung","bildung","bildung","bafög","bildung","ausbildung","schulen","handwerk","bildung"
"2","millionen","flüchtlinge","zonenrandgebieten","eschwege","länder","schulen","jugend","länder","forschung","studenten","zonenrandgebiet","studenten","entwicklungshilfe","kulturellen","entwicklungsländern","forschung","entwicklungsländern","forschung","entwicklungsländern","wissenschaft","ländern","wissenschaft","wissenschaft","wissenschaftliche","wissenschaftliche","hochschulen","hochschulen","stoltenberg","wissenschaftliche","numerus","wissenschaft","wissenschaft","bildung","bildung","wissenschaft","universität","wissenschaft","studenten","bildungsgesamtplan","bildung","ausbildung","ausbildung","ausbildung","bildung","bildung","bildungspolitik","ausbildung","studenten","schule","bildung","engholm","studenten","beruflichen","ausbildung","studenten","bafög","wilms","jungen","jugendlichen","jugendlichen","ausbildung","ausbildung","jugendlichen","jugendlichen","bildung","jugendlichen","jugendlichen","möllemann","bildung","hochschulen","ausbildung","bildung","ausbildung","ausbildung","hochschulen","ausbildung","bildung","jugendlichen","bafög","ausbildung","rüttgers","bildung","bildung","rüttgers","rüttgers","ausbildung","jugendlichen","bildung","hochschulen","bildung","schulen","schulen","forschung","ausbildungsplätze","hochschulen","forschung","bildung","hochschulen","bildung","bildung","bildung","bildung","forschung","bildung","forschung","hochschulen","hochschulen","forschung","forschung","hochschulen","bildung","forschung","bildung","forschung","hochschulen","ausbildung","hochschulen","ausbildung","forschung","forschung","bafög","hochschulen","bildung","ausbildung","bildung","bildung","bildung","bafög"
"3","heimatvertriebenen","zahlen","millionen","arbeitslosigkeit","massnahmen","bund","wissenschaft","hochschulen","förderung","länder","instituts","hochschule","länder","aufgaben","entwicklungsländer","kulturpolitik","entwicklungsländer","wissenschaft","hochschulen","bund","hochschulen","hochschulen","hochschulen","stoltenberg","kulturpolitik","raumfahrtindustrie","studenten","wissenschaftliche","zusammenarbeit","clausus","hochschulen","leussink","dohnanyi","dohnanyi","bildungspolitik","wissenschaft","hochschulen","bildung","beruflichen","wissenschaft","beruflichen","beruflichen","ausbildungsplätze","ausbildungsplätze","ausbildung","jugendlichen","studenten","bildung","eltern","ausbildung","ausbildung","bafög","ausbildung","wissenschaft","jungen","studenten","ausbildung","ausbildung","jungen","hochschulen","bildung","mädchen","jungen","bildung","jugendlichen","möllemann","bildung","ausbildung","jugendlichen","weiterbildung","beruflichen","jugendlichen","neuen","beruflichen","erfurt","jugendlichen","beruflichen","bildung","ausbildung","rüttgers","bildung","rüttgers","lehrstellen","bildung","bildung","hochschulen","bildung","bafög","forschung","bulmahn","hochschulen","hochschulen","bulmahn","bildung","forschung","ausbildung","hochschulen","bildung","bafög","hochschulen","hochschulen","hochschulen","ausbildung","forschung","hochschulen","ausbildung","studierenden","hochschulen","ausbildung","forschung","forschung","hochschulen","forschung","bafög","bafög","hochschulen","ausbildung","forschung","bafög","hochschulen","ausbildung","forschung","ausbildung","handwerk","weiterbildung","schüler","schulen","schulen"
"4","flüchtlinge","hilfe","massnahmen","menschen","eisernen","förderung","jugendlichen","förderung","hochschulen","bund","zonenrandgebieten","ländern","entwicklungsländer","entwicklungshilfe","entwicklungspolitik","wissenschaft","entwicklungspolitik","studenten","wissenschaft","hochschulen","bund","bund","wissenschaftliche","schulen","stoltenberg","luft","universitäten","hochschulen","hochschulen","wissenschaft","martin","bildungsbericht","entwicklungspolitik","bremen","ausbildung","lehre","meinecke","clausus","wissenschaft","hochschulrahmengesetz","berufliche","ausbildungsplätze","beruflichen","bafög","jugendlichen","gesamtschule","jungen","wissenschaft","gesamtschulen","wissenschaft","schule","ausbildung","berufsbildung","jugendlichen","bildung","hochschulen","ausbildungsplätze","jugendlichen","mädchen","ausbildungsplätze","jungen","jugendlichen","bildung","ausbildung","hochschulen","weiterbildung","jugend","fachhochschulen","hochschulen","ausbildung","bildungspolitik","hochschulen","hochschulen","studenten","wissenschaft","ausbildungsplätze","jugendlichen","jugendliche","rüttgers","beruflichen","ausbildung","ausbildungsplätze","rüttgers","studiengebühren","ausbildung","studierenden","jugendliche","jugendlichen","bafög","studenten","ausbildung","studiengebühren","ganztagsschulen","bulmahn","ausbildung","bulmahn","bulmahn","bafög","hochschulen","ausbildung","schavan","ausbildung","schavan","wissenschaft","schavan","forschung","forschung","schavan","bund","bafög","bund","ausbildung","wissenschaft","bund","forschung","forschung","forschung","hochschulen","wissenschaft","wissenschaft","forschung","berufliche","studium","berufliche","bafög","schule","ausbildung","forschung"
"5","schleswigholstein","rund","zonenrandgebiete","arbeitskräfte","gemeinden","forschung","wissenschaftlichen","forschung","studenten","hochschulen","förderung","ausbildung","ländern","länder","länder","entwicklungshilfe","studenten","wissenschaftlichen","länder","länder","wissenschaftliche","länder","stoltenberg","hochschulen","wissenschaft","entwicklungshilfe","wissenschaftliche","moersch","wissenschaftlichen","bildung","leussink","kulturpolitik","hochschulen","forschung","dohnanyi","ausbau","ausbildung","numerus","berufliche","studenten","maier","glotz","jungen","hochschulen","wissenschaft","ausbildung","bildung","beruflichen","schulen","juristenausbildung","jungen","wissenschaft","wissenschaft","ausbildungsplätze","sport","ausbildung","wissenschaft","mädchen","bildung","jungen","jugendlichen","jungen","mädchen","jungen","jungen","wissenschaft","studenten","bildung","berufsausbildung","möllemann","hochschulen","beruflichen","bildung","berufe","jugendlichen","wissenschaft","wissenschaft","jungen","hochschulen","förderung","forschung","forschung","studiengebühren","ausbildung","studierenden","bafög","bulmahn","bulmahn","bulmahn","forschung","forschung","schule","schulen","jugendlichen","bulmahn","bildung","ausbildung","ausbildung","studiengebühren","bafög","ausbildung","schavan","bafög","hochschulen","weiterbildung","studierenden","bafög","stipendienprogramm","schavan","bund","wissenschaft","wissenschaft","ausbildung","hochschulen","ausbildung","wanka","wanka","wissenschaft","hochschulen","ausbildung","berufliche","digitalpakt","forschung","beruflichen","studierenden","schülerinnen","hochschulen","ausbildung"
"6","not","jahre","länder","arndt","hilfe","länder","institut","wissenschaft","studierenden","studierenden","universität","kulturellen","bund","wissenschaftlichen","hilfe","kulturellen","zusammenarbeit","wissenschaftsrat","kulturpolitik","ländern","wissenschaft","ländern","bund","wissenschaftsrat","bund","wissenschaftliche","wissenschaft","wissenschaftlichen","heppe","stoltenberg","dohnanyi","walz","entwicklungshilfe","universität","beruflichen","entscheidungen","dohnanyi","wissenschaft","studenten","hochschule","rohde","jugendlichen","berufliche","ausbildung","hochschulen","dregger","bildungspolitik","förderung","studenten","studenten","pfeifer","daweke","system","jungen","bildungspolitik","jungen","bafög","jugendliche","jugendliche","ausbildungsplatz","mädchen","bildung","studenten","hochschulen","jugendliche","jugend","auszubildenden","studenten","jungen","bafög","wissenschaft","ländern","berufe","bafög","hochschule","hochschulen","weiterbildung","beruflichen","studenten","ausbildungsplätze","bafög","jugendlichen","ausbildungsplätze","studenten","bafög","bulmahn","forschung","ausbildungsplätze","ausbildung","studium","jugendlichen","bildungspolitik","bildungspolitik","forschung","ausbildungsplätze","ausbildungsplätze","edelgard","bulmahn","bulmahn","schavan","hochschulpakt","jungen","hochschulen","jugendlichen","hochschulpakt","jungen","schavan","bafög","hochschulen","schavan","ausbildung","studiengebühren","bund","wanka","bund","bund","wissenschaft","wanka","schulen","schulen","schulen","wissenschaft","hochschulen","schulen","studenten","karliczek","wissenschaft","hochschulen"
"7","müssen","gebiet","menschen","hessischen","menschen","bayern","jugendliche","ländern","ingenieurschulen","förderung","institut","zonenrandgebiet","aufgaben","bund","ländern","ländern","länder","länder","forschung","lohmar","schulen","bildung","länder","wissenschaft","wissenschaftlichen","stoltenberg","stoltenberg","zusammenarbeit","universitäten","leussink","entwicklungsländer","hochschulen","gesamthochschule","technologiepolitik","raffert","clausus","bildungspolitik","studienreform","hochschulen","jugendlichen","berufsbildung","jugendarbeitslosigkeit","pfeifer","schüler","wissenschaftlichen","beruflichen","ausland","jungen","bildung","leitvorstellungen","wissenschaft","jungen","wirtschaft","kuhlwein","junge","bildungspolitik","jugendlichen","wilms","ausbildungsplätze","wissenschaft","wissenschaft","wissenschaft","bafög","jugendliche","berufliche","ausbildung","weiterbildung","wissenschaft","möllemann","bildungspolitik","weiterbildung","neuen","jugendliche","hochschulen","medizinischen","neuen","berufliche","neuen","beruflichen","wissenschaft","studenten","betrieb","forschung","handwerk","forschung","forschung","programm","weiterbildung","jugendlichen","bafög","bulmahn","bulmahn","ausbildung","ausbilden","jugendlichen","jungen","wissenschaftler","studiengebühren","studierenden","weiterbildung","studienplätze","jugendlichen","studiengebühren","ausbildungsbonus","bildungsgipfel","hochschulpakt","studium","bund","studiengebühren","hochschulpakt","lehrerausbildung","bafög","schule","ausbildung","wissenschaft","deutschlandstipendium","beruflichen","weiterbildung","wanka","wanka","beruflichen","beruflichen","schulen","weiterbildung","schulen","ausbildung","berufliche","studierende"
"8","land","massnahmen","brökelschen","gebiet","gebieten","land","studenten","schulen","bund","wissenschaftlichen","forschung","sportstätten","entwicklungsländern","ländern","kalbitzer","wissenschaftlichen","ausbildung","bund","bund","wissenschaftlichen","bildung","wissenschaftlichen","wissenschaftlichen","lohmar","hochschulen","universitäten","universität","studenten","moersch","dohnanyi","raffert","martin","hochschule","leussink","schule","numerus","schüler","hochschule","ausbildung","glotz","jugendlichen","wissenschaft","generation","schuchardt","jungen","hochschulen","schüler","schüler","schüler","graduiertenförderung","bildungspolitik","berufsbildung","arbeitsmarkt","beruflichen","wissenschaft","kuhlwein","bildungspolitik","bildung","junge","jugendliche","ausbildungsplätze","wilms","junge","wissenschaft","mädchen","bildungspolitik","möllemann","fachhochschule","wissenschaft","wissenschaft","berufsausbildung","ausbildungsplätze","freien","berufliche","ausbildung","jungen","berufsausbildung","bundesländern","wissenschaft","aufstiegsfortbildung","wissenschaft","beruflichen","berufsausbildung","forschung","ausbildungsplätze","jugendlichen","ausbildungsplätze","studierenden","studierenden","studierenden","jugendliche","forschung","edelgard","ausbildungsplatz","ausbildungsplatz","edelgard","juniorprofessur","studierenden","ausbildung","bund","bund","hochschulpakt","weiterbildung","ausbildungsplätze","ausbildung","weiterbildung","stipendien","länder","jungen","länder","lehrer","schavan","ganztagsschulen","schulen","wanka","schulen","meisterbafög","exzellenzinitiative","ausbildung","inklusion","junge","schulen","schüler","wissenschaft","berufliche","lehrkräfte","schüler","wissenschaft"
"9","bayern","bayern","hilfe","massnahmen","häftlinge","bundesrepublik","jugendfragen","bund","schulen","kulturellen","länder","turn","wissenschaftlichen","forschung","menschen","aufgaben","kapitalhilfe","ländern","auswärtigen","bildung","schule","lohmar","ländern","wissenschaftlichen","ländern","wissenschaftsrat","wissenschaftlichen","bund","universität","forschung","stoltenberg","gesamtschule","bundländerkommission","hochschulen","leussink","bildungspolitik","forschung","forschung","schule","beruflichen","betriebe","berufsausbildung","rohde","ausbildungsförderung","schwerbehinderte","hübner","schule","ausbildungsförderung","bildungspolitik","ausland","bafög","berufliche","berufsbildungsbericht","berufsbildungsbericht","förderung","wilms","frau","junge","studenten","bildung","wilms","kuhlwein","beruflichen","junge","beruflichen","auszubildenden","beruflichen","jugendlichen","mädchen","ausbildungsförderung","berufliche","weiterbildung","bundesländern","studium","neuen","beruflichen","hochschulen","bafög","jugendlichen","forschung","ausbildungsplätze","betriebe","hochschulen","wissenschaft","studierende","jungen","junge","studiengebühren","ministerin","edelgard","junge","schavan","hochschulen","jugendliche","jungen","jugendlichen","länder","wissenschaft","studium","ministerin","ausbildungsplätze","ministerin","ministerin","jungen","studierenden","schulen","ausbildung","studierenden","schule","wissenschaft","einrichtungen","duale","schulen","länder","studierenden","wissenschaft","bund","deutschlandstipendium","bund","erasmus","schule","bund","karliczek","forschung","friedensforschung","digitalpakt","schule","studium"
"10","gebiet","verfügung","mittel","betriebe","bund","studierenden","menschen","universitäten","länder","mittel","studenten","bund","kulturpolitik","studenten","aufgaben","zusammenarbeit","ausbildungsförderung","zusammenarbeit","ländern","wissenschaftsrat","länder","bildungsrat","wissenschaftsrat","zusammenarbeit","moersch","entwicklungsländern","zusammenarbeit","minister","bildungsplanung","studenten","länder","dohnanyi","forschung","bremer","zwischenbericht","basis","bildungsgesamtplan","pfeifer","bildungspolitik","schäuble","ausbildungsordnungen","berufliche","numerus","wissenschaft","ausbildungsplatzförderungsgesetz","schule","generation","daweke","hochschulen","nachwuchses","beruflichen","engholm","neuhausen","betriebe","ausbildung","engholm","jungen","ausbildungsplatz","schüler","kuhlwein","studenten","frau","jugendliche","beruflichen","berufsausbildung","studenten","jungen","beruflichen","beruflichen","förderung","neuhausen","wissenschaft","bewerber","freien","studium","ausbildungsplatz","handwerk","wissenschaft","studierenden","hochschulen","junge","lehrstellen","betriebe","studierenden","studenten","studiengebühren","bafögreform","jungen","beruflichen","pieper","weiterbildung","ganztagsschulen","schüler","tauss","jugendliche","ministerin","tauss","kasparick","jungen","pakt","hightechstrategie","wissenschaft","hightechstrategie","weiterbildung","studium","junge","stipendienprogramm","schulen","länder","ländern","ländern","junge","wissenschaftlichen","schüler","länder","junge","berufliche","berufliche","programm","fachhochschulen","studierenden","ausbildung","schule","hochschulen","beruflichen","hochschulen","junge","schule"
