"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","richter","amnestie","amnestie","richter","bundesverfassungsgericht","richter","arndt","amnestie","volksbefragung","volksbefragung","richter","richter","richter","gericht","ehe","justiz","ahlers","richter","justiz","richter","justiz","justiz","strafrecht","justiz","diemernicolaus","diemernicolaus","diemernicolaus","richter","strafe","amnestie","justiz","richter","pornographie","richter","justiz","justiz","ehe","strafvollzug","frauen","frauen","kind","ehe","vogel","eltern","terrorismus","terrorismus","justiz","verjährung","strafe","freiheitsstrafe","strafe","freiheitsstrafe","todesstrafe","polizei","verjährung","rechtspolitik","justiz","türkei","türkei","türkei","gefangenen","roma","justiz","terroristen","gewalt","todesstrafe","todesstrafe","polizei","polizei","gewalt","hafenstraße","justiz","justiz","kriminalität","kronzeugenregelung","kriminalität","kriminalität","kriminalität","justiz","justiz","gewalt","justiz","justiz","kriminalität","kriminalität","justiz","opfer","justiz","justiz","justiz","kriminalität","opfer","sicherungsverwahrung","opfer","justiz","sicherungsverwahrung","justiz","wohnraumüberwachung","opfer","justiz","justiz","patientenverfügung","justiz","bundesverfassungsgericht","patientenverfügung","opfer","opfer","sicherungsverwahrung","sicherungsverwahrung","opfer","sicherungsverwahrung","beschneidung","strafe","vorratsdatenspeicherung","opfer","vorratsdatenspeicherung","straftaten","opfer","polizei","polizei","rechtsstaat","rechtsstaat","polizei","rechtsstaat","polizei","sicherheitsbehörden","polizei","rechtsstaat"
"2","bundesverfassungsgericht","verfassung","verfahren","anwaltschaft","richter","bundesverfassungsgericht","justiz","wehrbeauftragten","verfassung","verfassung","verfahren","rechtsausschuß","justiz","justiz","richter","ehegatten","bundesanwaltschaft","gericht","argoud","gericht","bucher","weber","justiz","tier","rechtsprechung","justiz","busse","justiz","freiheitsstrafe","mülleremmert","diemernicolaus","vogel","strafrecht","ehe","richter","strafvorschriften","leben","strafe","leben","eltern","richter","scheidung","wirtschaftskriminalität","vogel","überwachung","terroristen","vogel","mord","freiheitsstrafe","justiz","erhard","todesstrafe","polizei","demonstrationen","richter","erhard","richter","auslieferung","polizei","justiz","zwangsernährung","sinti","juden","asyl","rechtsstaat","gewalt","polizei","gewalt","gewalt","polizei","gewalt","rehabilitierung","kriminalität","polizei","justiz","straftaten","polizei","polizei","vergewaltigung","kronzeugenregelung","justiz","drogen","gewalt","opfer","polizei","geis","täter","untersuchungsausschuss","geis","untersuchungsausschuss","kronzeugenregelung","sicherungsverwahrung","verbrechen","röttgen","opfer","opfer","zypries","straftaten","täter","bundesverfassungsgericht","opfer","opfer","bundesverfassungsgericht","patientenverfügung","justiz","bundesverfassungsgericht","rechtspolitik","opfer","gewalt","mediation","justiz","justiz","opfer","justiz","justiz","straftaten","täter","sexuelle","opfer","täter","opfer","justiz","rechtsstaat","polizei","rechtsextremismus","polizei","verfassungsschutz","telegram"
"3","justiz","justiz","rechtsausschuß","justiz","bundesverfassungsgerichts","wahl","strafe","gerichte","volksbefragungen","bundesverfassungsgericht","gericht","verwaltungsrichter","verjährung","untersuchungshaft","rechtsprechung","rechtsprechung","sicherungsgruppe","entwurf","gericht","diemernicolaus","verjährungsfrist","verjährung","strafrechts","gegenseitigkeit","ehe","heinemann","justiz","wiederholungsgefahr","verjährung","diemernicolaus","justizminister","justiz","eyrich","justiz","kriminalität","bayerl","frauen","reform","fristenregelung","kindes","frauen","frauen","justiz","frauen","verteidiger","bekämpfung","terrorismus","verbrechen","justiz","strafe","gericht","erhard","demonstrationen","richter","justiz","justiz","emmerlich","türkischen","justiz","kurden","justiz","justiz","opfer","justiz","gewaltmonopol","polizei","straftaten","gefangenen","justiz","justiz","hamburger","richter","opfer","drogen","straftaten","drogen","justiz","justiz","drogen","kriminalität","richter","korruption","täter","straftaten","justiz","telefonüberwachung","ströbele","dass","opfer","geis","geis","täter","täter","straftaten","zypries","täter","rechtspolitik","fingerabdruck","hartenbach","rechtspolitik","bundesverfassungsgericht","montag","bundesverfassungsgerichts","sicherungsverwahrung","zypries","kinderpornografie","internet","justiz","mediation","gewalt","täter","opfer","urteil","straftaten","täter","daten","maas","prostitution","straftaten","fußfessel","untersuchungsausschuss","straftaten","sicherheitsbehörden","opfer","rechtsstaat","straftaten","sicherheitsbehörden","rechtsextremismus"
"4","gericht","grundgesetz","richter","gericht","gericht","justiz","richter","wehrbeauftragte","volksbegehren","grundgesetz","anwalt","verwaltungsgerichtsbarkeit","verbrechen","rechtsausschuß","rechtsausschuß","richter","verfahren","güde","rechtsprechung","presse","verjährung","ersatzdienst","strafe","jahn","justiz","busse","gerichte","diemernicolaus","täter","polizei","strafrecht","lenz","schutz","scheidung","wiederholungsgefahr","staatsanwaltschaften","frau","gefangenen","lebens","verteidiger","kindes","ehegatten","rechtsausschuß","terrorismus","gefangenen","rechtsausschuß","justizminister","aufhebung","hartmann","hartmann","freiheitsstrafe","justiz","abschaffung","justiz","de","bad","versorgungsausgleich","altun","türkischen","türkischen","hungerstreik","polizei","staatsanwaltschaft","terrorismus","grünen","justiz","demonstrationen","justiz","opfer","richter","justiz","opfer","organisierten","opfer","täter","justiz","straftaten","täter","kriminalität","beck","drogen","täter","opfer","täter","straftaten","rechtspolitik","justiz","geis","straftaten","straftaten","straftaten","geis","sexuellen","justiz","dnaanalyse","justiz","bundesverfassungsgericht","justiz","stalking","täter","montag","patienten","zypries","gericht","opfer","patientenverfügung","missbrauch","straftaten","täter","straftaten","strafe","straftaten","polizei","rechtsstaat","menschenhandel","folter","vorratsdatenspeicherung","straftaten","polizisten","straftaten","anschlag","polizei","verfassungsschutz","sicherheitsbehörden","täter","rechtsextremismus","straftaten","justiz"
"5","grundgesetz","bundesverfassungsgericht","justiz","zulassung","grundgesetz","gericht","verfahren","richter","grundgesetz","gericht","justiz","arndt","rechtsausschuß","richter","wittrock","bundesjustizminister","höcherl","bundesverfassungsgericht","bucher","zeugnisverweigerungsrecht","verbrechen","rechtsausschuß","strafrechtsreform","jaeger","richter","hauser","richter","verbrechen","diemernicolaus","richter","demonstrationen","polizei","reform","arndt","haftrechts","präsidium","schutz","strafrechts","frau","kind","erhard","indikation","bekämpfung","recht","bekämpfung","sicherungsverwahrung","bundesjustizminister","täter","rechtsausschuß","vogel","vorschrift","hillermeier","gewalt","demonstration","schmude","engelhard","geschiedenen","bundesjustizminister","engelhard","menschenrechte","engelhard","rechtsstaat","menschenrechte","kronzeugenregelung","demonstrationen","polizeibeamten","gewalt","türkei","todesstrafe","terrorismus","entschädigung","kinkel","rechtsstaat","justiz","kriminalität","verjährung","organisierten","de","drogenpolitik","däublergmelin","opfer","hauptverhandlungshaft","polizei","justiz","sicherheit","straftaten","täteropferausgleich","instanz","kriminalität","ströbele","sicherungsverwahrung","justiz","straftaten","opferschutz","strafverfahren","straftaten","richter","opfer","dnaanalyse","opfer","rechtspolitik","selbstbestimmung","straftaten","sterben","kinderpornografie","internet","justiz","gesetzentwurf","polizei","justiz","gewalt","sicherungsverwahrung","abgeordnetenbestechung","urteil","staatsanwaltschaft","vleute","polizei","menschenhandel","täter","opfer","polizei","stgb","kriminalität","täter","polizisten","täter","gewalt","sicherheitsbehörden"
"6","recht","richter","gerichte","bundesverfassungsgericht","reform","bundesverfassungsgerichts","strafrechts","justiz","demokratie","metzger","rechtsprechung","gericht","arndt","bundesjustizminister","bundesgerichtshofs","warentests","haftbefehl","gerichts","rechtsmittel","rechtsausschuß","verlängerung","arndt","entwurf","zeitungen","heinemann","bundesjustizminister","strafrecht","kriminalität","justiz","demonstrationen","reform","reform","ehe","reform","diemernicolaus","jahn","pornographie","leben","schwangerschaftsabbruch","frau","justiz","kind","verteidiger","kindes","justiz","verteidiger","rechtsausschuß","unverjährbarkeit","strafrechtlichen","rechtsausschuß","straftaten","rechtsordnung","justiz","demonstranten","untergebrachten","emmerlich","generalbundesanwalt","türkische","demonstrationen","bewährung","bewährung","verletzten","rechtsstaat","gewalt","geißler","untersuchungshaft","engelhard","demonstrationen","urteil","rechtsstaat","untersuchungshaft","staatsanwälte","straftaten","straftaten","opfer","ddr","täter","opfer","geis","richter","täter","beck","vergewaltigung","verbrechen","richter","stgb","kronzeugenregelung","ströbele","täter","opfer","opfer","straftaten","ströbele","opfern","richter","ströbele","ströbele","zypries","montag","straftaten","zypries","sterben","gehb","vater","gesetzentwurf","entscheidung","straftaten","montag","straftaten","täter","opfer","gesetzentwurf","menschenhandel","strafe","maas","gewalt","edathy","gewalt","sicherheit","polizisten","justiz","sicherheitsbehörden","polizisten","rechtsextremismus","hass","rechtsstaat","bundespolizei","straftaten"
"7","grundgesetzes","bundesjustizminister","rechtspfleger","anwalt","bundesjustizminister","wahlmännergremium","arrest","rechtsausschuß","barzel","richter","urteil","jahn","verfahren","schäffer","frau","lieferprämie","oster","strafe","gerichte","justiz","benda","zeugen","heinemann","gerichtsbarkeit","gericht","rechtsprechung","strafrechts","straftaten","strafrechts","demonstration","erhard","entschädigung","mülleremmert","ehegatten","entwurf","rechtsstellung","lebens","justiz","fristenlösung","justiz","überwachung","versorgungsausgleich","überwachung","kinder","terroristischen","justiz","kleinert","justiz","straftaten","lebenslangen","justiz","vogel","demonstration","todesstrafe","wirtschaftskriminalität","schwalbach","staatsanwaltschaft","justiz","menschenrechte","strafaussetzung","strafaussetzung","rechtspolitik","sinti","polizei","diktatur","vermummung","folter","rechtsstaat","wiedergutmachung","däublergmelin","opfer","unrecht","richter","organisierten","verjährung","heuer","stgb","strafe","täter","rechtsstaat","kriminalität","schmidtjortzig","kriminalität","lauschangriff","gendatei","beck","amnestie","täter","pofalla","zeugen","justiz","beck","opfer","stünker","straftaten","kauder","bundesverfassungsgerichts","gehb","alfred","bundesverfassungsgerichts","bundesverfassungsgerichts","justiz","opfer","opfer","kauder","gesetzentwurf","sexuellen","täter","montag","polizei","straftaten","gericht","wirtschaftskriminalität","rechtspolitik","folter","rechtsstaat","justiz","täter","amri","ströbele","straftaten","ersatzfreiheitsstrafe","straftaten","gewalt","straftaten","gewalt","anschlag","kriminalität"
"8","verfahren","bundesverfassungsgerichts","vulkan","grundgesetz","justiz","grundgesetz","strafrecht","wahl","volksentscheid","grundgesetzes","rechtsanwalt","instanz","jahn","verfahren","ehegatten","wittrock","justiz","verteidiger","richter","jahn","gerechtigkeit","bundesjustizminister","täter","diemernicolaus","hauser","koreanischen","güde","haft","strafrecht","gericht","verfahren","mülleremmert","schriften","härteklausel","straftaten","geschäftsbedingungen","strafrecht","jahn","mutter","kinder","frau","arzt","erhard","kind","terroristen","vogel","generalbundesanwalt","gerechtigkeit","anwalt","straftaten","rechtsausschuß","strafe","demonstranten","landgericht","vogel","schmude","klein","menschenrechte","demonstranten","strafvollzug","bundesjustizminister","engelhard","engelhard","rechtsstaat","ungehorsam","engelhard","justiz","terroristen","richter","strafe","polizei","bundesjustizminister","täter","heuer","stgb","rechtsstaat","strafe","verbrechen","gewalt","korruption","schmidtjortzig","geis","drogen","geis","geis","meyer","straftaten","zeugen","beck","richter","beck","untersuchungsausschuss","rechtspolitik","täter","ströbele","nachträgliche","kauder","dnaanalyse","graffiti","zypries","urteil","bundesverfassungsgericht","montag","staatssicherheit","richter","gesetz","vorratsdatenspeicherung","richter","opfer","sicherungsverwahrung","polizei","täter","abmahnungen","polizei","strafe","polizei","opfer","nein","sicherheitsbehörden","gewalt","breitscheidplatz","karlsruhe","europol","straftaten","verfassungsschutz","hass","rechtsextremismus","hanau"
"9","art","grundgesetzes","greve","grundgesetzes","senat","grundgesetzes","gericht","gericht","grundgesetzes","innenminister","jahn","bürger","verjährungsfristen","hauptverhandlung","bundesgerichtshof","bundesminister","arndt","justiz","rechtshilfeersuchen","strafprozeßordnung","gerichte","jehovas","sonderausschuß","tiere","bundesverfassungsgericht","ehe","frau","bundesverfassungsgericht","taten","bundesverfassungsgericht","richter","hirsch","entwurf","titel","verbrechensbekämpfung","fall","eyrich","vollzug","abtreibung","ehe","straftaten","frau","gerichte","justiz","vogel","rechtsstaat","däublergmelin","mordverjährung","lenz","bewährung","vogel","verhältnismäßigkeit","freiheitsstrafe","amtsgericht","straftaten","versorgungsausgleich","bundesgerichtshofs","kemal","flick","türkische","terroristen","menschenrechte","folter","verfolgten","verurteilt","strafe","strafe","hungerstreik","strafvollzug","straftaten","kriminalität","rechtsstaat","unrecht","verbrechen","strafe","täter","heuer","straftaten","unrecht","täter","beck","richter","strafrecht","polizei","meyer","justizreform","geis","kampfhunde","richter","stgb","täter","ströbele","fälle","sicherungsverwahrung","täter","strafe","montag","bundesverfassungsgericht","justiz","montag","täter","richter","journalisten","selbstbestimmung","entscheidung","arzt","täter","gewalt","polizisten","rechtspolitik","bundesverfassungsgericht","stgb","gesetzentwurf","edathy","strafbar","strafrecht","ermittlungen","polizei","rechtsstaat","untersuchungsausschuss","sicherheitsbehörden","recht","sicherheit","sicherheit","hanau","gefährder","rechtsstaat","gewalt"
"10","bundesjustizminister","rechtsausschuß","straffreiheit","bundesverfassungsgerichts","verfahren","gewählt","tatbestand","verfahren","rat","bundesverfassungsgerichts","oberlandesgericht","oberverwaltungsgericht","rechtsprechung","strafprozeßordnung","scheidung","bundesprüfstelle","fragestunde","diemernicolaus","fälle","kanka","verfahren","gerechtigkeit","diemernicolaus","entwurf","dr","dr","mülleremmert","gericht","verbrechen","bürger","bundesjustizminister","rechtspolitik","recht","gericht","haftgrund","bekämpfung","reform","strafgesetzbuches","ungeborenen","straftaten","verteidiger","kinder","kinder","überwachung","stammheim","straftaten","richter","strafverfolgung","erhard","verfahren","götz","rechtspolitik","vogel","de","rechtsausschuß","rechtspolitischen","scheidung","verfolgung","untersuchungsausschuß","gefangenen","folter","bewährung","verbrechen","straftaten","recht","terrorismus","kronzeugenregelung","polizeibeamten","vollmer","bundesjustizminister","senat","justizminister","rehabilitierung","ddr","rechtsstaat","opfer","verbrechen","bekämpfung","opfer","leutheusserschnarrenberger","strafverfahren","straftaten","straftaten","organisierten","beck","kriminalität","kriminalität","polizei","ströbele","kriminalität","rechtspolitik","geldstrafe","missbrauch","strafverfahren","brigitte","richter","straftaten","urteil","menschenhandel","urteil","leutheusserschnarrenberger","telekommunikationsüberwachung","täter","entscheidung","montag","bundesverfassungsgerichts","gewalt","schöffen","abs","rechtsstaat","genitalverstümmelung","staatsanwaltschaft","gericht","ermittlungen","stgb","gesetzentwurf","gewalt","stgb","kriminalität","amri","sicherheit","verfassungsschutz","karlsruhe","hass","strafrecht","islamistischen","hass","opfer"
