"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","abs","abs","abs","abs","bundesrat","richter","abs","abs","abs","gesetz","vermittlungsausschuss","abs","apotheke","abs","vermittlungsausschuss","abs","abs","badenwürttemberg","wahlkreise","badenwürttemberg","vermittlungsausschuss","rechtsausschuss","bundesrat","grundgesetzes","gesetz","gesetz","art","gesetz","gesetz","bundesverfassungsgericht","alterskassen","länder","vermittlungsausschuss","tierschutzgesetz","vermittlungsausschusses","bundesrat","vertretung","bundesrat","vermittlungsausschuss","gesetz","vermittlungsausschuss","vermittlungsausschuss","vermittlungsausschuss","vermittlungsausschuss","bundesrat","gesetz","gesetz","gesetz","gesetz","gesetz","bundesrat","gesetz","gesetzentwurf","vermittlungsausschuss","gesetzentwurf","vermittlungsausschusses","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetz","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetz","gesetz","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf"
"2","gesetz","grundgesetzes","bundesrat","entwurf","abs","bundesverfassungsgericht","richter","wehrbeauftragten","personalgutachterausschuss","bundesverfassungsgerichts","gesetz","gesetz","apotheker","gesetz","abs","gesetz","grundgesetzes","baden","abs","art","abs","vermittlungsausschuss","grundgesetzes","jahn","abs","grundgesetzes","abs","bundesrat","vermittlungsausschuss","gesetz","abs","grundgesetzes","bundesrat","vermittlungsausschuss","gesetz","vermittlungsausschusses","bundesrat","vermittlungsausschuss","bundesrat","bundesrat","geschäftsbedingungen","bundesrat","abs","abs","bundesrates","bundesrat","bundesrat","bundesrat","gesetzentwurf","bundesrat","gesetz","gesetzentwurf","entwurf","gesetz","entwurf","entwurf","entwurf","entwurf","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetz","gesetz","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","regelung","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","tod","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetz","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetz","gesetz","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","daten","gegebene","protokoll","gesetz","bereits","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","verfahren","gesetz","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetz"
"3","ausschuss","gesetz","gesetzes","zulassung","richter","wahl","gesetz","richter","bundesrates","gesetze","bundesrates","vorschrift","abs","vermittlungsausschuss","vermittlungsausschusses","regelung","gesetz","landes","wahlkreis","grundgesetzes","grundgesetzes","abs","steuerschwachen","grundgesetz","grundgesetzes","gesetzentwurf","gesetz","art","bundesrat","bundesrat","grundgesetzes","bundesrat","bundesrates","gesetz","vermittlungsausschuss","vermittlungsausschuss","ständigen","regelung","gesetz","gesetzes","gesetz","abs","bundesrat","bundesrat","gesetzes","vermittlungsausschuss","regelung","bundesrates","entwurf","gesetzentwurf","gesetzentwurf","entwurf","gesetz","bundesrat","gesetz","gesetzentwurf","gesetzentwurf","gesetz","entwurf","entwurf","entwurf","entwurf","entwurf","entwurf","regelung","entwurf","entwurf","regelung","regelung","regelung","abs","regelung","entwurf","regelung","regelung","regelung","regelung","gesetzentwurf","regelung","regelung","regelung","regelung","gesetzentwurf","regelung","regelung","regelung","regelung","regelung","regelung","regelung","regelung","regelung","regelung","regelung","regelung","regelung","regelungen","regelungen","regelung","regelungen","regelung","regelung","regelung","verfahren","regelung","regelung","daten","regelungen","richtlinie","gegebene","protokoll","protokoll","gegebene","änderung","gesetz","unternehmen","unternehmen","regelung","verfahren","regelung","gesetz","verfahren","regelung","verfahren","daten","verfahren","regelung","verfahren"
"4","gesetzes","gesetzes","gesetz","bundesrat","bundesverfassungsgerichts","grundgesetzes","grundgesetzes","wehrbeauftragte","grundgesetzes","richter","bundesrat","bankenaufsicht","gesetz","bundesrat","bundesrates","bundesrates","art","bevölkerung","neueinteilung","rechtsausschuss","bundesrat","bundesrates","abs","ländern","bedenken","art","grundgesetzes","abs","grundgesetzes","grundgesetzes","bedenken","landes","gesetz","tieren","bundesrat","bausparkassen","vertretungen","gesetz","bundesrates","zeugnisverweigerungsrecht","bundesrat","gesetz","bundesrates","vermittlungsausschusses","vermittlungsausschuss","abs","entwurf","vermittlungsausschuss","regelung","regelung","entwurf","bundesrates","novelle","entwurf","vermittlungsausschuss","gesetz","regelung","regelung","regelung","regelung","regelung","regelung","regelung","gesetzes","entwurf","regelung","bundesverfassungsgericht","gesetzes","entwurf","entwurf","regelung","entwurf","regelung","entwurf","verfahren","entwurf","entwurf","regelungen","banken","entwurf","verfahren","regelungen","hirntod","regelungen","anhörung","entwurf","entwurf","entwurf","entwurf","entwurf","entwurf","entwurf","regelungen","entwurf","regelungen","regelungen","regelung","regelung","regelungen","regelung","regelungen","regelungen","regelungen","regelungen","regelungen","verfahren","regelung","regelung","regelung","protokoll","gesetz","regelungen","regelung","verfahren","regelung","daten","regelungen","verfahren","regelung","regelungen","regelung","regelung","verfahren","regelung","urteil","regelungen","anhörung","regelung"
"5","art","bundesrat","art","grundgesetzes","bundesverfassungsgericht","abs","vorschrift","bestimmung","vorschriften","vorschriften","abs","bestimmung","vorschriften","bestimmung","gesetz","bestimmungen","bedenken","rechtsausschuss","art","baden","vermittlungsausschusses","vermittlungsausschusses","länder","staatsvertrag","bundesrat","abs","rechtsausschuss","grundgesetzes","vermittlungsausschusses","arndt","art","bundesverfassungsgericht","länder","tierschutzgesetzes","abs","verhaltensregeln","gesetz","gesetzes","gesetzes","abs","bundesrates","vermittlungsausschusses","gesetz","gesetzes","gesetz","schwarzarbeit","gesetzentwurf","abs","bundesrat","vermittlungsausschuss","klein","bundesrat","bundesrat","gesetzentwurf","regelung","bundesrat","gesetzes","änderung","gesetzes","bundesverfassungsgerichts","gesetzes","rechtsprechung","tierversuche","regelung","gesetzes","gesetzes","regelung","parteien","regelungen","gesetzes","gesetzgeber","gesetzes","regelungen","regelungen","regelungen","regelungen","parteien","entwurf","regelungen","regelungen","entwurf","entwurf","regelung","entwurf","art","regelungen","regelungen","regelungen","verfahren","regelungen","gesetzgeber","anhörung","bundesrat","bundesrat","entwurf","entwurf","richtlinie","entwurf","entwurf","richtlinie","anhörung","gesetzes","verfahren","regelung","daten","regelungen","regelungen","richtlinie","gegebene","regelung","regelung","gesetz","bereits","regelung","vorliegenden","regelung","regelung","regelungen","regelungen","daten","regelungen","verbraucher","regelungen","anhörung","verfahren","regelung","daten","anhörung"
"6","grundgesetzes","art","rechtsverordnungen","anwaltschaft","gesetz","gericht","gesetzes","gerichte","bundesrat","abs","vermittlungsausschusses","rechtsausschuss","vorschrift","gesetzes","bedenken","bundesrat","verbot","land","grundgesetzes","abs","bundesrates","bundesrat","bundesrates","gesetz","rechtsausschuss","bundesrat","bundesrat","bundesrates","abs","rechtsausschuss","gesetz","ministerpräsident","vermittlungsausschusses","vermittlungsausschusses","bundesrates","bundestages","wiener","bundesrates","abs","bundesrates","gesetzes","bundesrates","gesetzes","gesetz","abs","bundesrates","bundesrates","gesetzentwurf","gesetzes","entwurf","gesetzes","gesetzes","gesetzes","abs","bundesrat","regelung","bundesrat","gesetzes","bundesrat","bundesrat","bundesrat","gesetzes","bundesverfassungsgericht","bundesrat","änderung","bundesverfassungsgericht","verfahren","entwurf","bundesrat","rechtsprechung","vermittlungsausschuss","regelungen","gesetzes","gesetzes","entwurf","gesetzes","regelungen","gesetzes","entwurf","schon","tod","gesetzgeber","gesetzgeber","art","regelungen","anhörung","betroffenen","betroffenen","betroffenen","verfahren","verfahren","regelungen","entwurf","regelungen","bundesrat","anhörung","entwurf","anhörung","verfahren","entwurf","gesetzgeber","änderungen","änderungen","entwurf","verfahren","änderungen","bereits","gegebene","bereits","abs","gegebene","abs","abs","richtlinie","änderungen","gesetzes","künftig","urheber","unternehmen","verfahren","unternehmen","datenschutzgrundverordnung","richtlinie","entwurf","regelung","anhörung","änderungsantrag","regelungen"
"7","bundesrat","entwurf","rechtspfleger","vermittlungsausschuss","entwurf","bundesrat","bundesrat","grundgesetzes","gesetz","bestimmungen","grundgesetzes","schuldscheindarlehen","kanka","rheinlandpfalz","grundgesetzes","änderungen","gesetzes","grundgesetzes","gesetz","neugliederung","art","grundgesetzes","finanzgerichte","bundesrat","staatssekretäre","gesetzes","zustimmung","vermittlungsausschuss","parlament","art","bundesrat","finanzschwachen","abs","grundgesetzes","gesetzes","gesetz","gesetzentwurf","vermittlungsausschusses","reichstag","vermittlungsausschuss","entwurf","vorschriften","geschäftsbedingungen","bundesrates","nachrichtendienste","gesetzes","gesetzes","regelung","abs","abs","vermittlungsausschuss","regelung","wettbewerb","vermittlungsausschusses","bundesrates","bundesrates","anhörung","bundesrat","bundesverfassungsgericht","gesetzgeber","gesetzgeber","bundesrat","gesetzes","regelungen","verfahren","abs","abs","bundesrat","gesetzes","beratungen","entwurf","bundesrat","gesetzentwurfs","verfahren","gesetzes","verfahren","gesetzes","art","gesetzes","anhörung","organentnahme","verfahren","regelungen","abs","entwurf","verfassung","verfahren","verfahren","bundesverfassungsgericht","anhörung","regelungen","vorliegenden","gesetzgeber","bundesrates","verfahren","verfahren","anhörung","verfahren","bürger","gesetzes","entwurf","anhörung","reform","geregelt","entwurf","gegebene","elena","verfahren","regelungen","regelungen","bereits","regelung","regelungen","regelungen","regelungen","regelungen","verfahren","daten","anhörung","anhörung","rechtsprechung","unternehmen","gesetzes","regelungen","entwurf","entwurf","entwurf","entwurf"
"8","fassung","ausschuss","vorschriften","richter","grundgesetzes","bundesverfassungsgerichts","ermächtigung","vorschrift","personalgutachterausschusses","bundesrates","entwurf","bundesrat","rechtsausschuss","vermittlungsausschusses","gesetzes","grundgesetzes","vereinigungen","neugliederung","bundesrat","volksbegehren","gesetz","art","art","bundesrates","parlamentarischen","entwurf","busse","rechtsausschuss","rechtsausschuss","verfassung","auszahlung","bundesverfassungsgerichts","grundgesetzes","bundesrat","grundgesetzänderung","vorschlag","bundesrates","staatssekretäre","regelung","regelung","agb","regelung","vermittlungsausschusses","grundgesetzes","regelung","entwurf","novelle","entwurf","bundesrates","bundesrates","regelung","regelungen","regelung","bundesrates","beratungen","vermittlungsausschuss","gesetzgeber","verfahren","gesetzgeber","gesetzes","änderung","bundesverfassungsgericht","novellierung","bundesrates","abs","gesetzgeber","bundesrat","bundesverfassungsgericht","änderung","bundesrat","bundesverfassungsgericht","gesetzgeber","abs","alteigentümer","abs","bundesverfassungsgericht","art","entschädigung","gesetzgeber","stiftungen","anhörung","bundesverfassungsgericht","verfahren","anhörung","praxis","beratungen","anhörung","anhörung","mifegyne","gesetzgeber","betroffenen","betroffenen","bundesverfassungsgericht","gesetzes","praxis","bundesrat","gesetzes","bundesrat","unternehmen","vorliegenden","verfahren","entwurf","anhörung","vorliegenden","gegebene","bereits","gegebene","bereits","protokoll","verfahren","richtlinie","bereits","daten","änderungen","daten","richtlinie","verwertungsgesellschaften","entwurf","gesetzgeber","änderungen","urteil","musterfeststellungsklage","entwurf","absatz","bundesverfassungsgericht","verbraucher","verfahren","änderung"
"9","entwurf","bestimmungen","fassung","gesetzes","vermittlungsausschuss","gesetzes","entwurf","gesetz","regelung","apotheke","vorschrift","bundesrates","vermittlungsausschuss","regelung","bundesrat","regelungen","bundesrates","badischen","grundgesetz","gesetzentwurf","gesetzentwurf","rechtsausschusses","finanzausgleich","verfassungsänderung","gesetzes","bedenken","parlament","länder","art","länder","länder","schleswigholstein","verfassungsrechtlichen","kompetenz","grundgesetzes","besoldungsvereinheitlichungs","vermittlungsausschuss","abs","parlamentarischen","rechtsausschuss","abs","gesetzes","vorschriften","art","entwurf","vorschriften","vorschriften","gesetzes","vermittlungsausschuss","gesetzes","staatshaftung","beraten","abs","volkszählung","gesetzes","kleingärten","verfahren","bundesrates","abs","bundesverfassungsgericht","verfahren","abs","bundesrat","abs","verbesserungen","bundesergänzungszuweisungen","gesetzes","regelungen","abs","regelungen","regelungen","beratungen","bundesrates","gesetzgeber","bundesrates","gesetzgeber","bundesverfassungsgericht","betroffenen","art","abs","organspende","anhörung","organe","gesetzes","verfahren","gesetzes","gesetzes","gesetzentwurfes","antrag","bgb","anhörung","gesetzes","verfahren","änderung","gesetzgeber","bereits","bundesrat","richtlinie","bürsch","bereits","richtlinie","richtlinie","normenkontrollrat","änderungen","vorliegenden","entwurf","verfahren","protokoll","abs","vorliegenden","regelungen","richtlinie","jedoch","vorliegenden","änderung","verfahren","daten","anhörung","gesetzes","entwurf","facebook","anhörung","bundesverfassungsgericht","änderung","regelungen","gesetzes","änderung","gesetzes"
"10","bundesregierung","regelung","entwurf","bestimmungen","gesetzentwurf","gesetz","bestimmung","vermittlungsausschuss","bundesrats","rechtsausschuss","gesetzentwurf","vermittlungsausschuss","gesetzes","vorschriften","verfassungsrechtliche","bestimmung","bestimmungen","kopf","ostfriesland","abstimmung","badenwürttemberg","regelung","finanzgerichtsordnung","länder","art","soziologischen","bestimmung","grundgesetz","gesetze","bundesrates","gesetzes","arndt","änderungen","länder","tier","inkrafttreten","vermittlungsausschusses","bundesverfassungsgericht","vertretung","gesetzentwurf","gesetzentwurf","anrufungsbegehren","regelung","entwurf","vorschriften","rechtsprechung","abs","vermittlungsausschusses","petitionsausschuss","verfahren","vorschriften","vorschriften","unlauteren","verfahren","verfahren","gesetzes","bundesverfassungsgerichts","entschädigung","beratungen","regelungen","betroffenen","bundesverfassungsgerichts","verfahren","anhörung","gesetzliche","bundesrat","regelungen","änderungen","beratungen","haftung","beratungen","abs","bundesrat","anhörung","art","vorliegenden","gesetzgeber","abs","anhörung","vorliegenden","betroffenen","betroffenen","entscheidung","beratungen","vorliegenden","vorliegenden","entscheidung","rechtsprechung","regelungen","betroffenen","bundesverfassungsgericht","grundgesetz","recht","gesetzgeber","recht","richtlinie","änderungen","bereits","recht","verfahren","änderungen","gesetzgeber","entwurf","praxis","änderungen","jedoch","änderungen","abs","jedoch","bereits","vorliegenden","jedoch","verfahren","praxis","anhörung","anhörung","anhörung","künftig","änderungen","rechtssicherheit","daten","regelungen","daten","richtlinie","änderungen","daten","regelungen","änderungen"
