"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","deutschen","auswärtigen","deutschen","auswärtigen","bundesregierung","auswärtigen","bundesregierung","auswärtigen","bundesregierung","saar","saar","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","zusatzfrage","zusatzfrage","zusatzfrage","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretär","parl","parl","parl","staatssekretär","parl","parl","parl","parl","staatssekretär","parl","staatssekretär","staatssekretär","parl","parl","parl","parl","staatssekretär","parl","parl","parl","staatssekretär","staatssekretär","parl","staatssekretär","parl","parl","parl","parl","parl","parl","frage","staatssekretär","frage","frage","frage","frage","frage","six","bundesregierung","amt","untersuchungsausschuss","untersuchungsausschuss","untersuchungsausschuss"
"2","bundesregierung","bundesregierung","bundesregierung","bundesregierung","alliierten","bundesregierung","deutschen","amt","staatssekretär","bundesregierung","saarländischen","auswärtigen","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","dr","staatssekretär","staatssekretär","zusatzfrage","dr","zusatzfrage","dr","dr","zusatzfrage","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","parlamentarischer","zusatzfrage","parl","parl","parl","parl","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","staatsminister","zusatzfrage","parl","zusatzfrage","parl","zusatzfrage","parl","parl","parl","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","parl","zusatzfrage","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","parl","staatssekretärin","staatssekretär","staatssekretär","parl","staatssekretärin","staatssekretärin","staatssekretär","staatssekretär","parl","staatssekretär","parl","parl","staatssekretär","staatssekretär","staatssekretär","staatssekretär","parl","staatssekretär","staatssekretär","staatssekretär","parl","parl","staatssekretär","parl","staatssekretär","staatssekretär","staatssekretär","staatssekretär","staatssekretärin","frage","staatssekretär","parl","parl","staatssekretär","parl","bundesregierung","bundesregierung","bundesregierung","frage","auswärtigen","amt","minister","minister"
"3","alliierten","amts","staaten","fremdenlegion","dienstgruppen","deutschen","auswärtigen","bundesregierung","vertrag","saarlandes","saarland","bundesregierung","frage","dr","dr","dr","staatssekretär","dr","dr","dr","zusatzfrage","dr","zusatzfrage","zusatzfrage","dr","zusatzfrage","zusatzfrage","bundesminister","zusatzfrage","bundesminister","beim","beim","beim","zusatzfrage","zusatzfrage","bundesminister","parl","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","parl","parl","parl","staatsminister","parl","parl","parl","parl","zusatzfrage","parl","zusatzfrage","parl","zusatzfrage","parl","zusatzfrage","zusatzfrage","zusatzfrage","parl","parl","parl","parl","parl","parl","zusatzfrage","parl","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","herr","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","zusatzfrage","bundesminister","zusatzfrage","zusatzfrage","staatssekretärin","zusatzfrage","zusatzfrage","zusatzfrage","staatssekretär","staatssekretärin","staatssekretärin","bundesminister","zusatzfrage","frage","bundesminister","frage","staatssekretärin","bundesminister","frage","frage","staatssekretärin","bundesminister","frage","frage","frage","frage","frage","bundesminister","bundesminister","bundesminister","bundesminister","frage","staatssekretärin","parl","frage","staatssekretär","parl","staatssekretär","herr","herr","billy","herr","frage","ovcw","amt","amt"
"4","deutsche","staaten","auswärtigen","alliierten","auswärtigen","bundesrepublik","anfrage","deutschen","auswärtigen","auswärtigen","bundesregierung","zusatzfrage","dr","bundesminister","bundesminister","bundesminister","bundesminister","vizepräsident","bundesminister","bundesminister","herr","herr","bundesministerium","frage","herr","herr","herr","herr","bundesminister","beim","bundesminister","zusatzfrage","zusatzfrage","beim","bundesminister","beim","bundesminister","beim","beim","beim","herr","staatsminister","herr","staatsminister","herr","staatsminister","herr","herr","herr","herr","staatsminister","herr","staatsminister","herr","herr","herr","herr","vizepräsident","vizepräsident","vizepräsident","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","zusatzfrage","herr","herr","herr","herr","herr","herr","herr","frage","bundesminister","staatssekretärin","mauss","bundesminister","frage","bundesminister","staatssekretär","zusatzfrage","staatssekretärin","staatssekretärin","bundesminister","bundesminister","frage","zusatzfrage","zusatzfrage","frage","zusatzfrage","zusatzfrage","zusatzfrage","bundesminister","frage","bundesminister","nachfrage","bundesminister","frage","staatssekretärin","bundesminister","bundesminister","bundesminister","bundesminister","frage","frage","frage","frage","hintze","bundesminister","bundesminister","bundesminister","staatssekretärin","bundesregierung","bundesregierung","fragen","frau","frage","minister","brandenburg","minister","herr","ministerium"
"5","kommission","deutschen","abkommen","deutschen","anfrage","staatssekretär","bundesrepublik","amts","van","französischen","staatssekretär","bundesrepublik","abgeordneten","abgeordneten","frage","abgeordneten","abgeordneten","bundesminister","vizepräsident","vizepräsident","vizepräsident","abgeordneter","vizepräsident","herr","frage","bundesminister","bundesminister","zusatzfrage","herr","zusatzfrage","zusatzfrage","bundesminister","bundesminister","bundesminister","beim","zusatzfrage","beim","bundesminister","bundesminister","herr","vizepräsident","herr","vizepräsident","herr","parl","herr","vizepräsident","staatsminister","staatsminister","parl","herr","staatsminister","herr","frage","vizepräsident","vizepräsident","staatsminister","herr","herr","herr","vizepräsident","vizepräsident","vizepräsident","vizepräsident","vizepräsident","vizepräsident","vizepräsident","frage","frage","frage","frage","vizepräsident","frage","frage","frage","frage","frage","frage","herr","frage","bundesminister","staatsminister","vizepräsident","zusatzfrage","beim","bundesminister","bundesminister","bundesminister","bundesminister","staatssekretär","frage","bundesminister","bundesminister","frage","staatssekretärin","bundesminister","frage","bundesminister","frage","bundesregierung","bundesregierung","bundesminister","frage","staatssekretärin","bundesminister","staatssekretärin","nachfrage","nachfrage","nachfrage","nachfrage","staatssekretärin","staatssekretärin","staatssekretärin","staatssekretär","staatssekretär","bundesregierung","herr","bundesminister","bundesminister","herr","bundesminister","bericht","zensus","untersuchungsausschuss","auswärtige","untersuchungsausschusses","untersuchungsausschusses","untersuchungsausschusses"
"6","hohen","auswärtige","amerikanischen","französischen","deutschen","anfrage","amerikanischen","ausland","deutschen","saarländischen","saarländische","frage","bundesminister","frage","bundesministerium","vizepräsident","frage","frage","herr","herr","abgeordneter","frage","abgeordneter","bundesministerium","vizepräsident","vizepräsident","beim","beim","beim","frage","abgeordneten","frage","frage","frage","frage","schmid","vizepräsident","frage","herr","frage","abgeordneten","vizepräsident","frage","vizepräsident","vizepräsident","vizepräsident","staatsminister","vizepräsident","frage","kollege","bundesregierung","bundesregierung","vizepräsident","staatsminister","staatsminister","frage","frage","frage","abgeordneten","abgeordneten","abgeordneten","staatsminister","frage","frage","frage","frage","westphal","westphal","vizepräsident","vizepräsident","bitte","frage","vizepräsident","vizepräsident","kollege","vizepräsident","staatssekretärin","bundesregierung","bundesminister","beim","frage","frage","frage","beim","frage","frage","frage","frage","frage","frage","zusatzfrage","bundesministerin","frage","beim","bundesminister","staatssekretärin","beim","staatssekretärin","beim","staatssekretärin","staatssekretärin","bundesregierung","bundesregierung","nachfrage","fragen","fragen","bundesregierung","staatssekretärin","vizepräsidentin","staatssekretärin","nachfrage","nachfrage","herr","peter","bundesregierung","staatssekretärin","bundesregierung","herr","herr","bundesministerin","beantworten","fragen","amt","fragen","bundesamt","herr","scheuer","herr"
"7","auswärtigen","amt","amts","anfrage","bundesrepublik","amerikanischen","verhandlungen","deutsche","scherpenberg","bundesrepublik","saarlandes","bundesminister","bundesregierung","bundesministerium","abgeordneten","bundesministerium","vizepräsident","abgeordneten","frage","frage","frage","vizepräsident","herr","abgeordneten","abgeordneten","dr","vizepräsident","vizepräsident","frage","dr","frage","abgeordneten","dr","vizepräsident","vizepräsident","vizepräsident","herr","herr","vizepräsident","vizepräsident","frage","frage","bundesregierung","frage","dr","frage","frage","dr","dr","vizepräsident","vizepräsident","frage","frau","abgeordneten","dr","bundesregierung","bundesregierung","bundesregierung","frage","frage","frage","frage","abgeordneten","abgeordneten","bundesregierung","westphal","frage","vizepräsident","dr","dr","renger","klein","bundesregierung","kollege","vizepräsident","kollege","vizepräsident","staatssekretärin","staatsminister","vizepräsident","beim","herr","beim","staatssekretärin","staatsminister","bundesregierung","beim","beim","dr","staatsminister","beim","staatsminister","dr","dr","dr","staatsministerin","dr","dr","dr","nachfrage","nachfrage","staatssekretärin","vizepräsidentin","bundesregierung","asse","kollegin","staatssekretärin","bundesregierung","bundesregierung","vizepräsidentin","herr","herr","fragen","vizepräsident","vizepräsident","herr","barthle","bundesregierung","vizepräsidentin","vizepräsidentin","frau","staatssekretär","herr","untersuchungsausschusses","bundesregierung","zeugen","frage","ministerin"
"8","amerikanischen","staatssekretär","entschädigung","amt","staaten","verhandlungen","staatssekretär","beziehungen","staatsvertrag","saarland","schneider","scherpenberg","vizepräsident","gerstenmaier","schmid","frage","herr","herr","abgeordneten","abgeordneter","bundesminister","bundesministerium","frage","abgeordneter","bundesministerium","beim","dr","bundesregierung","bundesregierung","bundesregierung","dr","rufe","abgeordneten","herr","herr","frage","frage","abgeordneten","frage","bundesminister","beim","abgeordneten","dr","bundesregierung","frage","dr","dr","frage","bundesregierung","dr","frage","abgeordneten","bundesregierung","vizepräsident","frage","staatsminister","kollege","abgeordneten","staatsminister","bundesregierung","bundesregierung","abgeordneten","westphal","bundesregierung","renger","abgeordneten","abgeordneten","dr","staatsminister","westphal","vizepräsidentin","kollege","kollege","bundesregierung","klein","bundesregierung","kollege","staatsminister","beim","herr","vizepräsident","beim","herr","dr","staatssekretärin","beim","bundesregierung","bundesregierung","herr","herr","dr","herr","beim","vizepräsident","bundesministerin","dr","staatssekretärin","staatsministerin","fragen","beim","vizepräsidentin","pau","nachfrage","beim","bundesregierung","nachfrage","vizepräsidentin","bitte","bitte","beim","frau","beim","beim","bundesminister","herr","frau","roth","bundesministerin","staatssekretärin","staatsminister","beantwortet","staatssekretärin","minister","ja","amtes","frage","ministerium","frage"
"9","verhandlungen","ausland","alliierten","wiedergutmachung","streitkräfte","alliierten","botschaft","auswärtige","österreichischen","staatssekretär","französischen","hettlage","hettlage","abgeordneter","bundesregierung","herr","abgeordneter","bundesministerium","abgeordneter","abgeordneten","bundesministerium","bundesminister","abgeordneten","bundesminister","bundesminister","frage","bundesregierung","dr","abgeordneten","herr","rufe","dr","herr","dr","dr","herr","abgeordneten","vizepräsident","abgeordneten","abgeordneten","staatsminister","dr","abgeordneten","abgeordneten","bundesregierung","bundesregierung","frau","bundesregierung","abgeordneten","frage","frau","vizepräsident","frage","dr","bundesregierung","rufe","dr","frau","bundesregierung","westphal","staatsminister","bundesregierung","bundesregierung","staatsminister","spranger","dr","bundesregierung","bundesregierung","abgeordneten","staatsminister","bundesregierung","bundesregierung","staatsminister","beantwortung","hans","staatsminister","lintner","kollege","dr","staatssekretärin","herr","bundesminister","dr","herr","herr","herr","herr","vizepräsident","staatsminister","beim","vizepräsident","bläss","bundesregierung","staatssekretärin","vizepräsident","amt","vizepräsident","rufe","vizepräsident","dr","beim","petra","beim","herr","vizepräsidentin","vizepräsidentin","bitte","kollegin","fragen","katrin","kollegin","bundesregierung","nachfrage","bundesregierung","hintze","nachfrage","staatssekretärin","frau","nachfrage","roth","minister","beantwortung","venezuela","antwort","havel","fragen","maut","schröder"
"10","deutschland","alliierten","wiedergutmachung","hallstein","britischen","auswärtige","vertrag","staatssekretär","schuldner","deutschen","frankreich","amts","bundesministerium","herr","abgeordneter","abgeordneter","bundesministerium","dehler","bundesministerium","bundesministerium","abgeordneten","dehler","bundesminister","vizepräsident","bundesregierung","abgeordneten","frage","frage","dr","abgeordneten","herr","herr","vizepräsident","abgeordneten","abgeordneten","dr","bundesregierung","moersch","bundesregierung","staatsminister","dr","bundesregierung","staatsminister","rufe","abgeordneten","stücklen","bundesregierung","abgeordneten","kollege","dohnanyi","abgeordneten","dr","dr","rufe","abgeordneter","frau","vizepräsident","stücklen","dr","staatsminister","kollege","kollege","rufe","westphal","abgeordneten","bundesregierung","rufe","abgeordneten","bundesregierung","abgeordneten","abgeordneten","beantwortung","klein","rufe","bundesminister","beantwortung","eduard","cronenberg","vizepräsident","hans","dr","schmidbauer","staatsminister","bundesregierung","vizepräsident","vizepräsidentin","dr","herr","beim","dr","bundesregierung","beim","vizepräsident","bundesregierung","bundesregierung","auswärtigen","innern","bundesregierung","susanne","zusatzfrage","fragen","vizepräsidentin","pau","fragen","nachfrage","bundesregierung","pau","bundesministerin","kollegin","göringeckardt","bundesregierung","kollegin","kollegin","bitte","peter","mittwoch","vizepräsidentin","vizepräsidentin","beck","bundesminister","staatssekretär","beantwortet","regierungsbefragung","worden","bericht","bundesregierung","zeugen","merkel"
