"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","nr","ausschuß","ausschuß","drucksache","ausschuß","drucksache","drucksache","drucksache","ausschuß","drucksache","drucksache","beratung","beratung","drucksache","beratung","drucksache","iv","iv","iv","iv","iv","iv","drucksache","beratung","beratung","beratung","beratung","beratung","drucksache","vi","vi","vi","vi","vi","vi","vi","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","wer","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlußempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","ausschuss","beratung","uploadfilter","meinungsfreiheit","youtube","plattformen","transparenzregister","sport"
"2","ausschuß","beratung","drucksache","ausschuß","drucksache","beratung","ausschuß","beratung","drucksache","beratung","beratung","drucksache","drucksache","beratung","drucksache","iv","drucksache","beratung","beratung","beratung","beratung","beratung","beratung","drucksache","berichterstatter","drucksache","drucksache","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beratung","rates","beratung","beratung","beratung","beratung","rates","rates","rates","beratung","beratung","beratung","wünscht","wünscht","ausschuß","beratung","wünscht","berichterstatter","beratung","beratung","wünscht","ausschuß","beratung","beratung","beratung","enthaltungen","enthaltungen","enthaltungen","beratung","beratung","ausschuß","enthaltungen","ausschuß","enthaltungen","beschlußempfehlung","stimmt","beratung","beschlußempfehlung","beschlußempfehlung","ausschuß","beratung","beschlußempfehlung","ausschuß","beratung","beschlußempfehlung","beschlußempfehlung","beschlußempfehlung","beschlußempfehlung","drucksache","ausschuß","ausschuß","ausschuss","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","ausschuss","ausschuss","beschlussempfehlung","ausschuss","beschlussempfehlung","ausschuss","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","drucksache","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","drucksache","ausschuss","beschlussempfehlung","ausschuss","ausschuss","beschlussempfehlung","ausschuss","drucksache","ausschüsse","ausschuss","richtlinie","richtlinie","plattformen","uploadfilter","vereine","film"
"3","beratung","drucksache","beratung","beratung","beratung","ausschuß","beratung","tagesordnung","beratung","tagesordnung","rufe","ausschuß","ausschuß","ausschuß","enthaltungen","tagesordnung","beratung","drucksache","ausschuß","drucksache","drucksache","drucksache","ausschuß","berichterstatter","drucksache","berichterstatter","berichterstatter","gegenprobe","enthaltungen","beratung","beratung","beratung","beratung","rates","beratung","verordnung","ausschuß","ausschuß","berichterstatter","gegenprobe","berichterstatter","gegenprobe","ausschuß","comment","ewg","berichterstatter","ausschuß","gegenprobe","beratung","beratung","beratung","wünscht","handzeichen","ausschuß","wünscht","ausschuß","handzeichen","beratung","ausschuß","ausschuß","wünscht","wünscht","beratung","beschlußempfehlung","ausschuß","ausschuß","beratung","beschlußempfehlung","beratung","stimmt","enthaltungen","wer","beschlußempfehlung","beratung","beratung","beratung","beschlußempfehlung","beratung","beratung","beschlußempfehlung","beratung","ausschuß","ausschuß","ausschuß","beratung","beratung","beratung","beratung","beschlussempfehlung","beschlussempfehlung","ausschuss","beratung","stimmt","beratung","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","beratung","beratung","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","ausschuss","fraktion","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","beschlussempfehlung","ausschuss","stimmt","wer","wer","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","wer","linke","gesetzentwurf","urheberrecht","speech","strenz","film","sport","athleten"
"4","drucksachen","überweisung","gesetzes","punkt","punkt","tagesordnung","tagesordnung","punkt","tagesordnung","punkt","punkt","überweisung","tagesordnung","eingebrachten","tagesordnung","beratung","ausschuß","ausschuß","drucksache","enthaltungen","ausschuß","enthaltungen","berichterstatter","ausschuß","ausschuß","ausschuß","ausschusses","enthaltungen","gegenprobe","ausschuß","berichterstatter","rates","berichterstatter","beratung","berichterstatter","rates","berichterstatter","verordnung","gegenprobe","berichterstatter","rates","wünscht","verordnung","verordnung","verordnung","ausschuß","wünscht","enthaltungen","ausschuß","gegenprobe","tagesordnung","beschlußempfehlung","angenommen","beratung","beschlußempfehlung","beschlußempfehlung","zuzustimmen","antrag","aussprache","aussprache","enthaltungen","handzeichen","beschlußempfehlung","beratung","fraktion","fraktion","fraktion","beratung","beschlußempfehlung","wer","beratung","beratung","ausschuß","ausschuß","ausschuß","beschlußempfehlung","ausschuß","ausschuß","beschlußempfehlung","ausschuß","ausschuß","beratung","beratung","beratung","stimmen","stimmt","beschlußempfehlung","beschlussempfehlung","beratung","beratung","beratung","ausschuss","beratung","beschlussempfehlung","beratung","beratung","beratung","beratung","ausschuss","aussprache","beratung","beratung","beratung","beratung","beratung","beratung","fraktion","beratung","beratung","stimmt","beratung","beratung","beratung","stimmt","stimmt","wer","wer","wer","beratung","beratung","abgeordneter","stimmen","meinungsfreiheit","internet","beschlussfähigkeit","inhalte","geldwäsche","kino"
"5","drucksache","punkt","punkt","berichterstatter","tagesordnung","punkt","punkt","berichterstatter","punkt","ausschuß","ausschuß","tagesordnung","punkt","tagesordnung","bericht","ausschuß","ausschusses","tagesordnung","ausschusses","ausschuß","tagesordnung","gegenprobe","gegenprobe","ausschusses","ausschusses","enthaltungen","tagesordnung","berichterstatter","berichterstatter","tagesordnung","gegenprobe","ausschuß","tagesordnung","verordnung","ausschuß","ewg","gegenprobe","beratung","ausschuß","wünscht","gegenprobe","berichterstatter","gegenprobe","ewg","ausschuß","wünscht","berichterstatter","wünscht","enthaltungen","enthaltungen","rufe","zuzustimmen","zuzustimmen","wünscht","handzeichen","gesetzes","wer","tagesordnung","enthaltungen","enthaltungen","ausschuß","wer","wer","fraktion","aussprache","enthaltungen","enthaltungen","ausschuß","fraktion","beschlußempfehlung","stimmt","enthaltungen","stimmt","stimmt","drucksachen","stimmt","eingebrachten","stimmt","überweisungsvorschlag","enthaltungen","fraktion","gegenprobe","stimmen","stimmen","enthaltungen","enthaltungen","stimmt","stimmt","stimmt","stimmt","enthaltungen","stimmt","aussprache","aussprache","stimmt","stimmt","aussprache","aussprache","enthaltungen","überweisungsvorschlag","enthaltungen","fraktion","fraktion","fraktion","fraktion","ausschuss","beratung","fraktion","fraktion","beratung","stimmt","stimmt","wer","beratung","ausschuss","stimmt","stimmt","stimmt","wer","stimmt","sitzung","fraktion","artikel ","chile","aserbaidschan","filme","plattformen","spitzensport"
"6","tagesordnung","tagesordnung","rufe","tagesordnung","berichterstatter","berichterstatter","überweisung","ausschuß","überweisung","überweisung","tagesordnung","gewünscht","eingebrachten","punkt","ausschusses","punkt","tagesordnung","punkt","enthaltungen","punkt","enthaltungen","ausschusses","enthaltungen","eingebrachten","enthaltungen","gegenprobe","enthaltungen","ausschuß","tagesordnung","verordnung","enthaltungen","verordnung","enthaltungen","ausschuß","gegenprobe","nr","enthaltungen","bitte","wünscht","enthaltungen","verordnung","ausschuß","ewg","ausschuß","comment","gegenprobe","gegenprobe","ausschuß","handzeichen","berichterstatter","gewünscht","ausschuß","nr","beschlußempfehlung","zuzustimmen","aussprache","beratung","aussprache","beschlußempfehlung","beschlußempfehlung","handzeichen","beratung","fraktion","wer","abstimmung","aussprache","beschlußempfehlung","fraktion","enthaltungen","beratung","fraktion","ausschuß","wer","drucksachen","stimmt","eingebrachten","tagesordnungspunkt","wer","aussprache","aussprache","enthaltungen","fraktion","fraktion","enthaltungen","ausschuß","beschlußempfehlung","enthaltungen","enthaltungen","enthaltungen","enthaltungen","stimmt","gesetzentwurf","stimmen","enthaltungen","gesetzentwurf","enthaltungen","stimmt","stimmt","stimmt","beschlussempfehlung","stimmt","enthaltungen","stimmt","stimmt","stimmt","enthaltungen","stimmt","stimmt","stimmt","wer","fraktion","wer","ausschuss","aussprache","beratung","beratung","beratung","beratung","stimmt","ausschuss","antrag","stimmt","plattformen","einsprüche","philipp","kino","film","truman"
"7","punkt","rufe","tagesordnung","rufe","überweisung","entwurfs","gesetzes","gesetzes","entwurfs","entwurfs","eingebrachten","eingebrachten","entwurfs","überweisung","punkt","gewünscht","punkt","enthaltungen","tagesordnung","tagesordnung","ausschusses","ausschuß","punkt","entwurfs","gegenprobe","tagesordnung","gegenprobe","tagesordnung","ausschuß","rates","tagesordnung","gegenprobe","gegenprobe","ewg","rates","ausschuß","handzeichen","ewg","enthaltungen","ausschuß","ausschuß","enthaltungen","comment","beratung","beratung","beschlußempfehlung","enthaltungen","berichterstatter","zuzustimmen","handzeichen","aussprache","berichterstatter","rufe","handzeichen","rufe","tagesordnung","enthaltungen","enthaltungen","wünscht","rufe","aussprache","zuzustimmen","wünscht","ausschuß","tagesordnung","beschlußempfehlung","aussprache","stimmt","wer","fraktion","wer","beschlußempfehlung","enthaltungen","überweisungsvorschlag","enthaltungen","drucksachen","stimmt","gesetzentwurf","stimmt","überweisungsvorschlag","gegenprobe","stimmen","gegenprobe","fraktion","angenommen","fraktion","aussprache","aussprache","aussprache","wer","angenommen","angenommen","enthaltungen","überweisungsvorschlag","aussprache","angenommen","gesetzentwurf","abgeordneten","angenommen","fcomment","fraktion","stimmt","enthaltungen","enthaltungen","wer","stimmt","wer","enthaltungen","wer","fraktion","wer","fraktion","fraktion","beschlussempfehlung","fraktion","aussprache","fraktion","fraktion","fraktion","fraktion","stimmt","grünen","urheberrechtsrichtlinie","nutzer","bergbauunternehmen","youtube","sportstätten","instanz"
"8","gesetzes","entwurfs","entwurfs","ausschusses","gesetzes","gesetzes","berichterstatter","entwurfs","rufe","rufe","gesetzes","punkt","rufe","enthaltungen","berichterstatter","eingebrachten","eingebrachten","gewünscht","gewünscht","gegenprobe","gegenprobe","bericht","handzeichen","tagesordnung","tagesordnung","ausschusses","ausschuß","punkt","handzeichen","eingebrachten","ausschuß","berichterstatter","ausschuß","berichterstatter","tagesordnung","überwiesen","wünscht","gegenprobe","handzeichen","zuzustimmen","ewg","bitte","bitte","gegenprobe","berichts","enthaltungen","beschlußempfehlung","rufe","gegenprobe","zuzustimmen","überweisungsvorschlag","handzeichen","drucksache","zuzustimmen","aussprache","wünscht","rufe","fraktion","handzeichen","wünscht","zuzustimmen","beschlußempfehlung","aussprache","handzeichen","antrag","wer","gegenprobe","wer","stimmt","ausschuß","ausschuß","aussprache","angenommen","wer","aussprache","angenommen","aussprache","drucksachen","fraktion","gegenprobe","stimmen","enthaltungen","enthaltungen","stimmt","gegenprobe","stimmen","stimmen","wer","wer","aussprache","stimmen","enthaltungen","wer","angenommen","enthaltungen","aussprache","enthaltungen","enthaltungen","stimmen","enthaltungen","aussprache","gegenstimmen","wer","wer","überweisungsvorschlag","wer","überweisungsvorschlag","wer","enthaltungen","enthaltungen","überweisungsvorschlag","enthaltungen","enthaltungen","fraktion","stimmen","fraktion","aussprache","stimmen","überweisungsvorschlag","angenommen","wahl","wer","urheber","inhalte","antrag","meinungsfreiheit","vereinen","haushaltsmittel"
"9","ausschusses","gesetzes","überweisung","überweisung","rufe","überweisung","rufe","ausschusses","eingebrachten","eingebrachten","berichterstatter","entwurfs","berichterstatter","entwurfs","ausschuß","berichterstatter","berichterstatter","ausschusses","punkt","berichterstatter","gewünscht","eingebrachten","beschlossen","punkt","drucksachen","punkt","rufe","eingebrachten","gewünscht","punkt","handzeichen","tagesordnung","eingebrachten","tagesordnung","verordnung","berichts","bitte","wünscht","bitte","bitte","bitte","zuzustimmen","beratung","berichts","berichterstatter","handzeichen","handzeichen","handzeichen","berichterstatter","rufe","wünscht","wer","enthaltungen","drucksachen","wer","überweisungsvorschlag","gegenprobe","geschäftsordnung","rufe","tagesordnung","beschlußempfehlung","rufe","handzeichen","wünscht","enthaltungen","antrag","überweisungsvorschlag","abstimmung","aussprache","änderungsantrag","angenommen","rufe","überweisungsvorschlag","angenommen","eingebrachten","wer","drucksachen","angenommen","enthaltungen","stimmt","aussprache","aussprache","drucksachen","gegenprobe","fraktion","aussprache","wer","stimmen","stimmen","angenommen","wer","wer","beschlussempfehlung","fcomment","angenommen","stimmen","stimmen","angenommen","gegenstimmen","stimmt","wer","abgeordneter","angenommen","überweisungsvorschlag","enthaltungen","angenommen","aussprache","überweisungsvorschlag","angenommen","angenommen","tagesordnungspunkt","abgeordneter","angenommen","tagesordnungspunkt","dagegen","stimmen","stimmen","aussprache","aussprache","dagegen","stimmkarte","geschäftsordnung","kreativen","subsidiaritätsklage","verhältnismäßigkeit","rechteinhaber","kreativen","dosb"
"10","berichterstatter","aussprache","berichterstatter","entwurfs","entwurfs","ausschusses","beschlossen","gewünscht","beschlossen","gesetzes","ausschusses","rufe","ausschusses","gewünscht","eingebrachten","ausschusses","aussprache","rufe","gegenprobe","ausschusses","eingebrachten","berichterstatter","ausschusses","wer","verordnung","mittelstandsfragen","einstimmig","entwurfs","entwurfs","entwurfs","gesetzes","eingebrachten","entwurfs","berichts","eingebrachten","schreiben","tagesordnung","handzeichen","rufe","handzeichen","berichts","handzeichen","enthaltungen","tagesordnung","überwiesen","zuzustimmen","rufe","beschlußempfehlung","rufe","ausschuß","enthaltungen","enthaltungen","stimmt","rufe","ausschuß","entwurfs","berichterstatter","zuzustimmen","tagesordnung","handzeichen","wer","angenommen","ausschuß","zuzustimmen","geschäftsordnung","überweisungsvorschlag","tagesordnungspunkt","aussprache","rufe","angenommen","drucksachen","drucksachen","aussprache","enthaltungen","überweisungsvorschlag","überweisungsvorschlag","entwurfs","berichterstattung","drucksachen","stimmen","überweisungsvorschlag","drucksachen","überweisungsvorschlag","eingebrachten","stimmt","wer","fraktion","fraktion","angenommen","stimmen","gesetzentwurf","stimmen","fraktion","gesetzentwurf","überweisungsvorschlag","wer","angenommen","wer","wer","gesetzentwurf","überweisungsvorschlag","wer","aussprache","angenommen","angenommen","gegenstimmen","fcomment","angenommen","überweisungsvorschlag","überweisungsvorschlag","enthaltungen","abgeordneten","empfiehlt","überweisungsvorschlag","tagesordnungspunkt","tagesordnungspunkt","tagesordnungspunkt","angenommen","gesetzentwurf","gesetzentwurf","schriftführerinnen","tagesordnungspunkt","uploadfiltern","plattformen","videosharingplattformen","urheberrecht","novelle","athletinnen"
