"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","immunität","amnestie","john","justiz","schmeisser","justiz","arndt","amnestie","justiz","gericht","verfahren","richter","richter","untersuchungshaft","ehe","justiz","abmahnung","richter","rechtsprechung","richter","bucher","justiz","strafrecht","justiz","rechtsprechung","justiz","diemernicolaus","justiz","strafe","amnestie","justiz","vogel","pornographie","richter","richter","justiz","ehe","strafvollzug","frauen","frauen","frauen","ehe","justiz","frauen","verteidiger","terrorismus","justiz","verjährung","strafe","freiheitsstrafe","strafe","freiheitsstrafe","todesstrafe","justiz","verjährung","rechtspolitik","justiz","auslieferung","polizei","justiz","gefangenen","roma","justiz","justiz","gewalt","gewalt","polizei","polizei","polizei","gewalt","hafenstrasse","justiz","justiz","kriminalität","kronzeugenregelung","kriminalität","kriminalität","kriminalität","justiz","justiz","gewalt","justiz","täter","kriminalität","kriminalität","justiz","täter","justiz","justiz","justiz","kriminalität","sicherungsverwahrung","sicherungsverwahrung","opfer","justiz","sicherungsverwahrung","justiz","wohnraumüberwachung","opfer","justiz","justiz","montag","justiz","sicherungsverwahrung","justiz","kinderpornografie","vorratsdatenspeicherung","sicherungsverwahrung","sicherungsverwahrung","opfer","sicherungsverwahrung","justiz","urteil","vorratsdatenspeicherung","opfer","daten","daten","opfer","polizei","polizei","rechtsstaat","rechtsstaat","polizei","rechtsstaat","polizei","sicherheitsbehörden","polizei","rechtsstaat"
"2","justiz","justiz","amnestie","innern","verfahren","gefängnis","justiz","verfahren","wittrock","nachrichtenhändler","richter","verwaltungsrichter","justiz","justiz","richter","stammberger","justiz","gericht","justiz","gericht","justiz","verjährung","entwurf","zeitungen","ehe","heinemann","busse","richter","freiheitsstrafe","mülleremmert","diemernicolaus","richter","entwurf","ehe","entwurf","fall","leben","justiz","leben","kindes","straftaten","scheidung","vogel","vogel","justiz","terroristen","vogel","mord","freiheitsstrafe","justiz","erhard","todesstrafe","abschaffung","landgericht","recht","justiz","emmerlich","altun","justiz","bewährung","zwangsernährung","sinti","opfer","terroristen","gewaltmonopol","polizei","justiz","gewalt","gewalt","polizei","gewalt","rehabilitierung","kriminalität","polizei","justiz","straftaten","polizei","polizei","drogen","kronzeugenregelung","justiz","korruption","justiz","opfer","polizei","geis","opfer","instanz","straftaten","geis","sicherheit","opfer","täter","straftaten","opfer","opfer","ströbele","straftaten","täter","rechtspolitik","opfer","justiz","straftaten","gericht","kinderpornografie","opfer","opfer","opfer","gewalt","straftaten","justiz","opfer","abgeordnetenbestechung","snowden","justiz","vorratsdatenspeicherung","untersuchungsausschuss","sexuelle","opfer","täter","opfer","justiz","rechtsstaat","sicherheitsbehörden","rechtsextremismus","polizei","verfassungsschutz","telegram"
"3","abgeordneten","bundesjustizminister","verfassungsschutz","schmidtwittmack","bundesminister","verfahren","strafe","justiz","seifert","verfahren","gericht","verwaltungsgerichtsbarkeit","verjährung","gericht","rechtsprechung","warentests","richter","entwurf","entwurf","diemernicolaus","verjährung","weber","strafe","tier","justiz","busse","justiz","wiederholungsgefahr","täter","polizei","juristenausbildung","justiz","strafrecht","justiz","justiz","jahn","frauen","gefangenen","fristenregelung","frau","richter","frauen","rechtsausschuss","recht","terrorismus","sicherungsverwahrung","rechtsausschuss","verbrechen","justiz","strafe","vorschrift","erhard","justiz","todesstrafe","schmude","erhard","lepsius","bundesjustizminister","film","strafaussetzung","justiz","justiz","sinti","kronzeugenregelung","grünen","todesstrafe","todesstrafe","gefangenen","justiz","justiz","hamburger","opfer","opfer","drogen","straftaten","drogen","justiz","with","kriminalität","beck","beck","drogen","gewalt","straftaten","justiz","straftaten","justiz","geis","opfer","straftaten","kronzeugenregelung","geis","verbrechen","röttgen","zypries","täter","zypries","fingerabdruck","montag","opfer","montag","richter","bundesverfassungsgericht","bundesverfassungsgericht","zypries","grundrechte","rechtspolitik","straftaten","straftaten","justiz","täter","straftaten","abmahnungen","daten","täter","straftaten","straftaten","prostitution","polizisten","fussfessel","anschlag","straftaten","sicherheitsbehörden","polizei","hass","rechtsextremismus","gewalt","rechtsextremismus"
"4","herrn","bundesverfassungsgericht","bundesinnenminister","pressefreiheit","blankenhorn","geldstrafe","strafrechts","empfehlungen","angeklagten","verhandlung","anwalt","arndt","verbrechen","richter","bundesgerichtshofs","bundesjustizminister","stammberger","strafe","bucher","jahn","verjährungsfrist","rechtsausschuss","justiz","gegenseitigkeit","richter","diemernicolaus","richter","kriminalität","verjährung","diemernicolaus","reform","lenz","reform","scheidung","wiederholungsgefahr","staatsanwaltschaften","schutz","strafe","frau","verteidiger","verteidiger","ehegatten","vereinigung","justiz","überwachung","rechtsausschuss","generalbundesanwalt","aufhebung","hartmann","hartmann","paragraphen","rechtsordnung","freiheitsstrafe","polizei","untergebrachten","engelhard","bundesgerichtshofs","kemal","engelhard","strafvollzug","hungerstreik","polizei","wirtschaftskriminalität","terrorismus","rechtsstaat","polizeibeamten","gewalt","justiz","opfer","däublergmelin","justiz","richter","unrecht","opfer","täter","justiz","straftaten","justiz","geis","kriminalität","drogen","täter","opfer","täter","straftaten","telefonüberwachung","täteropferausgleich","herta","kriminalität","opfer","geis","täter","sexuellen","justiz","straftaten","straftaten","richter","justiz","stalking","straftaten","rechtspolitik","telekommunikationsüberwachung","waffen","justiz","opfer","bundesverfassungsgericht","internet","justiz","vorratsdatenspeicherung","gewalt","strafe","sicherungsverwahrung","wirtschaftskriminalität","nsa","menschenhandel","verfassungsschutz","täter","menschenhandel","sicherheitsbehörden","straftaten","untersuchungsausschuss","polizei","verfassungsschutz","opfer","rechtsstaat","straftaten","straftaten","justiz"
"5","richter","immunität","immunität","gericht","ziebell","todesstrafe","arrest","strafe","richter","bundesverfassungsgericht","justiz","instanz","kirche","bundesjustizminister","frau","richter","fälle","güde","gericht","zeugnisverweigerungsrecht","verlängerung","ersatzdienst","strafrechts","gerichtsbarkeit","diemernicolaus","bundesjustizminister","gerichte","verbrechen","justiz","richter","polizei","reform","eyrich","reform","kriminalität","verfolgung","frau","reform","lebens","ehe","kriminellen","indikation","verteidiger","überwachung","rechtsstaat","bekämpfung","kleinert","unverjährbarkeit","rechtsausschuss","rechtsausschuss","freiheitsstrafe","strafe","schmude","richter","wirtschaftskriminalität","bad","verwaltungsprozessordnung","justiz","demonstrationen","staatsanwaltschaft","bundesjustizminister","with","roma","straftaten","verurteilt","opfer","straftaten","demonstrationen","wiedergutmachung","rechtsstaat","opfer","kinkel","straftaten","justiz","kriminalität","verjährung","täter","täter","drogenpolitik","däublergmelin","opfer","hauptverhandlungshaft","polizei","justiz","sicherheit","rechtspolitik","ströbele","däublergmelin","täter","stgb","straftaten","justiz","straftaten","täter","strafverfahren","justiz","straftaten","dnaanalyse","kriminalität","täter","zypries","telefonüberwachung","zypries","bundesverfassungsgerichts","kauder","waffen","justiz","täter","täter","täter","gesetzentwurf","täter","menschenhandel","untersuchungsausschuss","untersuchungsausschuss","aufklärung","vorratsdatenspeicherung","straftaten","straftaten","opfer","polizei","sicherheitsbehörden","kriminalität","täter","täter","rechtsstaat","sicherheitsbehörden","sicherheitsbehörden"
"6","bundesverfassungsgericht","dehler","verfahren","bundesprüfstelle","innern","strafen","verfahren","gerichte","strafverfolgung","arndt","jahn","oberverwaltungsgericht","verfahren","hauptverhandlung","bundesgerichtshof","lieferprämie","fällen","verteidiger","fälle","justiz","benda","gerechtigkeit","strafrechtsreform","entwurf","gericht","hauser","güde","diemernicolaus","strafrecht","justiz","erhard","polizei","recht","arndt","haftrechts","strafvorschriften","pornographie","jahn","schwangerschaftsabbruch","justiz","überwachung","arzt","überwachung","strafe","gefangenen","justiz","justizminister","täter","strafrechtlichen","therapie","therapie","justiz","strafe","amtsgericht","justiz","emmerlich","erhard","engelhard","demonstranten","gefangenen","bewährung","rechtsstaat","kleinert","kleinert","pater","justiz","strafe","polizeibeamten","polizeibeamten","umweltstrafrecht","kriminalität","bundesjustizminister","rechtsstaat","unrecht","with","heuer","organisierten","de","opfer","korruption","richter","beck","kriminalität","lauschangriff","richter","stgb","amnestie","täter","geis","kriminalität","sicherungsverwahrung","straftaten","opfer","stünker","dnaanalyse","kauder","rechtspolitik","gehb","dnaanalyse","zypries","leutheusserschnarrenberger","journalisten","journalisten","daten","richter","internet","missbrauch","schutz","montag","software","opfer","stgb","strafe","aufklärung","maas","sicherheit","maas","täter","sicherheit","untersuchungsausschuss","justiz","ersatzfreiheitsstrafe","polizisten","gewalt","hanau","gewalt","hass","straftaten"
"7","dr","bundesverfassungsgerichts","innern","bundesverfassungsgericht","angeklagten","strafe","tatbestand","kommunistischen","ziebell","justiz","rechtsprechung","jahn","verjährungsfristen","verfahren","zerrüttung","rechtsprechung","unangemessenheit","bundesverfassungsgericht","geltenden","rechtsausschuss","verbrechen","richter","täter","zeitschriften","gerichte","gesetzgeber","strafrechts","straftaten","diemernicolaus","demonstrationen","juristen","entschädigung","mülleremmert","ehegatten","straftaten","bekämpfung","lebens","entwurf","fristenlösung","kind","recht","versorgungsausgleich","gericht","eyrich","terroristen","vogel","bundesjustizminister","gerechtigkeit","lenz","vogel","justiz","rechtspolitik","polizei","auflage","verjährungsfrist","lepsius","engelhard","fischer","justizminister","gericht","engelhard","verletzten","engelhard","de","engelhard","vermummung","engelhard","rechtsstaat","with","richter","raf","staatsanwälte","organisierten","heuer","strafe","polizei","verbrechen","verbrechen","täter","rechtsstaat","kriminalität","richter","therapie","verbrechen","geis","beck","kronzeugenregelung","polizei","richter","täter","opfer","geldstrafe","rechtspolitik","opferschutz","täter","ströbele","opfer","opfer","graffiti","montag","bundesverfassungsgericht","bundesverfassungsgericht","gehb","onlinedurchsuchung","montag","kauder","straftaten","montag","opfer","quellentkü","straftaten","staatsanwaltschaft","opfer","ströbele","staatsanwaltschaft","ströbele","edathy","gewalt","amri","polizisten","straftaten","verfassungsschutz","straftaten","rechtsextremismus","verfassungsschutz","hass","bundespolizei","gewalt"
"8","bundesjustizminister","straftaten","schmidtwittmack","bundesinnenminister","justiz","bundesinnenminister","bestraft","strafen","verfahren","nsdap","rechtsanwalt","bürger","bundesgerichtshof","strafprozessordnung","ehegatten","verfahren","bundesgerichtshof","gerichts","regelung","strafprozessordnung","richter","arndt","heinemann","jaeger","heinemann","rechtsprechung","strafrecht","haft","strafrechts","demonstration","richter","jahn","schriften","gericht","verbrechensbekämpfung","schutz","strafrecht","schutz","abtreibung","eltern","entwurf","frau","gerichte","schutz","bekämpfung","verteidiger","with","justiz","straftaten","bewährung","straftaten","therapie","erhard","rechtsausschuss","inhaftierten","schmude","recht","urteile","juristen","strafe","strafaussetzung","rechtspolitik","staatsanwaltschaft","gewalt","justiz","strafe","demonstrationen","terroristen","strafvollzug","de","polizei","unrecht","richter","straftaten","stgb","täter","heuer","opfer","gewalt","richter","täter","polizei","strafe","polizei","meyer","meyer","straftaten","richter","verbrechen","polizei","justiz","beck","fälle","strafverfahren","richter","strafe","röttgen","zypries","hartenbach","bundesverfassungsgericht","täter","bundesverfassungsgerichts","hessen","vater","straftaten","straftaten","bundesverfassungsgericht","waffen","heimkinder","sicherungsverwahrung","urteil","rechtspolitik","gesetzentwurf","usa","stgb","rechtsstaat","justiz","gesetzentwurf","täter","ströbele","breitscheidplatz","sicherheit","europol","hass","polizisten","täter","rechtsextremismus","hanau"
"9","verfahren","abgeordneten","bundesminister","presse","arndt","lotze","strafrecht","staatsautorität","wegen","straftaten","urteil","gericht","strafverfolgung","rechtsprechung","böhm","auswertung","strafverfahren","strafrecht","reischl","kanka","gerechtigkeit","bundesjustizminister","diemernicolaus","verfahren","busse","ehe","gericht","heinemann","taten","gericht","justizminister","mülleremmert","schutz","entwurf","rechtsausschuss","gesetzes","eyrich","recht","schwangerschaft","straftaten","leben","vogel","verfahren","terrorismus","vogel","bundesjustizminister","erhard","mordverjährung","recht","lebenslangen","rechtsausschuss","recht","haft","auslieferung","weissekragentäter","schwalbach","volksgerichtshofs","justizminister","kleinert","freiheitsstrafe","justizminister","de","verfolgung","opfer","mayer","untersuchungshaft","kronzeugenregelung","pressefreiheit","strafe","geldwäsche","untersuchungshaft","justizminister","täter","organisierten","de","ddr","stgb","bekämpfung","verbrechen","täter","polizei","geis","korruption","geis","gendatei","polizei","kriminalität","statut","polizei","instanz","innere","strafe","missbrauch","opfern","ströbele","nachträgliche","bundesverfassungsgerichts","strafprozessordnung","justiz","journalisten","nešković","strafprozessordnung","montag","zypries","rechtsstaat","bundesverfassungsgerichts","täter","schöffen","fälle","rechtspolitik","genitalverstümmelung","gesetzentwurf","presse","bürger","richter","informationen","opfer","stgb","gefährder","gewalt","sicherheitsbehörden","stgb","sicherheit","straftaten","rassismus","gefährder","anschlag","kriminalität"
"10","gericht","herrn","material","bundesminister","reifferscheidt","reichsabgabenordnung","bundeswehr","staatssicherheit","strafverfahren","angeklagten","oberlandesgericht","ehrenamtlichen","arndt","reform","weber","angeklagten","gerichte","diemernicolaus","richter","bundesgerichtshof","verfahren","zeugen","sonderausschuss","jahn","hauser","abs","mülleremmert","haftgrund","strafrechtsreform","lenz","strafrecht","hirsch","ehe","härteklausel","gerichte","wirtschaftskriminalität","strafe","frauen","ungeborenen","rechtsausschuss","strafgesetzbuches","beratung","kunz","rechtspolitik","untersuchungsausschusses","gesetz","de","strafverfolgung","verbrechen","straftaten","fälle","straftaten","menschenmenge","strafbar","straftaten","rechtspolitischen","fällen","verfolgung","gewalttäter","fischer","verbrechen","strafaussetzung","gericht","roma","schily","wiedergutmachung","with","strafe","de","bundesjustizminister","senat","rechtsstaat","kinkel","verbrechen","rechtsstaat","stgb","geis","straftaten","rechtsstaat","geis","strafverfahren","kriminalität","strafrecht","organisierten","prävention","justizreform","geis","verbrechen","pofalla","richter","beck","van","justiz","sicherungsverwahrung","brigitte","bundesverfassungsgericht","kauder","täter","menschenhandel","bundesverfassungsgerichts","bundesamt","onlinedurchsuchung","strafprozessordnung","straftaten","gehb","seiten","daten","gewalt","abs","computer","gewalt","funkzellenabfrage","justiz","edward","bka","bsi","strafbar","polizei","rechtsstaat","kontrolle","vorratsdatenspeicherung","opfer","gewalt","sicherheit","straftaten","polizisten","rechtsstaat","extremismus"
