"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","apotheke","antrag","antrag","jugendlichen","berufsausbildung","ärzte","wahlkreise","berufsausbildung","ausbildung","handwerk","zirisan","bezeichnungen","staatssekretäre","handwerksordnung","widerstandsrecht","fremdenverkehr","diäten","bayerischen","lohnt","fremdenverkehr","schwarzarbeit","veba","bundesregierung","mende","athen","seeschiffahrt","reichstag","vertriebenen","elbe","trauerbeflaggung","verbraucherpolitik","verbraucher","winzer","hübner","gestreikt","schah","feuerwehr","tourismus","schiffe","elbe","nordsee","übereinkommen","hamburg","seeschiffahrt","fremdenverkehr","werften","bremen","nordsee","nordsee","hessen","nordsee","hamburg","nordsee","bremen","nordsee","schleswigholstein","nordrheinwestfalen","nordsee","pds","treuhand","treuhand","treuhandanstalt","treuhandanstalt","treuhandanstalt","treuhandanstalt","treuhandanstalt","neuen","ddr","vulkan","ostdeutschland","ostdeutschen","bundesländern","neuen","neuen","ost","ost","ost","osten","ost","ost","ost","ost","osten","ost","ost","ostdeutschland","osten","ost","ostdeutschland","tourismus","ost","tourismus","ost","ost","ost","ddr","ost","ost","tourismus","de","tourismus","ost","ost","regionen","einheit","deg","osten","ost","regionen","osten","osten","osten","tourismus","einheit","osten","ostdeutschland"
"2","dr","dr","umdruck","dr","dr","präsident","dr","präsident","präsident","präsident","herr","gewerbeordnung","apotheker","gesetz","präsident","jugendliche","rezeptpflicht","arzt","wahlkreis","diäten","bürohaus","arzneimitteln","kg","zimmer","parlamentarischen","unterbringung","weimarer","fremdenverkehrs","parlamentsreform","ferien","darum","slotosch","rüböl","spareinlagen","entkräften","schulz","rumänischen","seeleute","diäten","kulturpolitik","gutachten","arolsen","verbraucher","auspuffanlagen","verbraucher","nico","nico","häfen","konsumenten","übereinkommen","geschilderten","schiffe","gutachten","antarktis","ddr","global","urlaub","bremen","nordsee","bremen","bremen","bremen","schönberg","fremdenverkehr","hessen","länder","niedersachsen","länder","nordsee","schleswigholstein","ehemaligen","neuen","treuhandanstalt","treuhand","neuen","neuen","treuhand","ddr","sport","ostdeutschen","bremer","bundesländern","ddr","neuen","ostdeutschland","ost","neuen","osten","neuen","ost","neuen","neuen","ostdeutschland","osten","ost","ostdeutschland","ostdeutschland","ost","pds","ostdeutschland","ost","ostdeutschland","osten","osten","osten","ddr","ostdeutschland","osten","west","osten","jugendtourismus","dat","hochwasserschutz","osten","osten","einheit","alpen","ddr","ost","tourismus","osten","buchpreisbindung","ostdeutschland","ostdeutschland","regionen","osten","ost","schwedt"
"3","herr","umdruck","dr","herr","präsident","dr","präsident","dr","dr","herr","präsident","frau","antrag","präsident","erben","friseurhandwerk","arzneimittel","ärzten","wilhelmshaven","gewerbeordnung","bundestagsvorstand","arzneimittelgesetzes","lemmer","räume","staatssekretär","pflasterer","mandat","sachkundenachweis","sitzungen","fremdenverkehrs","klarstellung","heinke","bekämpfung","privatisierung","verbleibenden","partei","rumänien","brt","makler","verfassungsminister","grenzkommission","reichstagsgebäude","verbraucherbericht","bundeskartellamt","verbraucherpolitik","see","hübner","saarlandes","asylverfahrens","übereinkommens","lotsen","nordsee","elbe","ddr","wasser","strukturberichterstattung","tourismus","hdw","hamburg","saarland","hamburg","nordsee","landesregierung","werften","hamburg","nordsee","albrecht","nordsee","landesregierung","nordseeschutzkonferenz","gruppe","bundesländern","neuen","neuen","treuhand","deponie","neuen","neuen","kommunen","bundesländern","ostdeutschen","ostdeutschen","neuen","ostdeutschen","bundesländern","ostdeutschen","aufbau","neuen","osten","neuen","bundesländern","osten","osten","bundesländern","bundesländern","neuen","sachsen","regionen","neuen","aufbau","neuen","regionen","ostdeutschland","ländlichen","ostdeutschland","west","osten","einheit","osten","west","jugendreisen","osten","ost","west","west","tourismus","ost","ost","regionen","osten","westen","lebensverhältnisse","ostdeutschen","ost","tourismusbranche","haribo","einheit","osten"
"4","vizepräsident","präsident","präsident","präsident","damen","herr","vizepräsident","herr","fraktion","stammberger","krankenanstalten","herr","kanka","sonntage","gesetz","samstagnachmittag","contergan","berufsgenossenschaften","hannover","ausbildung","abgeordneten","handwerksordnung","abgeordnetenhauses","handwerk","staatssekretärs","keramiker","bucher","kurorte","geschäftsordnungsausschuß","quatsch","oslo","niedersachsen","räumen","verbindlichkeiten","wirtschaft","müller","fräulein","reeder","pauschalen","scheljepin","schröder","motive","verbraucherpolitischen","renger","buchst","silberland","preisempfehlung","iranischen","hotelier","führungszeugnis","messungen","bucht","ddr","beratungsstelle","gewässerschutz","hamburg","fremdenverkehrswirtschaft","bremer","küste","hamburg","schleswigholstein","wuppermann","hessen","tourismus","werften","hamburg","länder","hamburg","ostsee","heydemann","bundesländern","treuhandanstalt","bundesländern","alteigentümer","kommunen","treuhand","ddr","ostdeutschen","ddr","kommunen","bvs","neuen","kommunen","ostdeutschland","osten","bundesländern","ostdeutschen","ostdeutschland","bundesländern","bundesländern","osten","bundesländern","neuen","streik","neuen","bundesländern","einheit","neuen","ost","neuen","bundesländern","naturparke","einheit","bundesländern","west","einheit","west","ostdeutschland","ddr","ddr","reisen","ost","hochwasser","tourismus","ostdeutschland","volkskammer","ddr","staatsleistungen","west","west","ost","regionen","tourismusstrategie","tourismus","thüringen","ostdeutschen","ostdeutschen","lebensverhältnisse"
"5","damen","vizepräsident","vizepräsident","vizepräsident","herr","damen","damen","vizepräsident","damen","kennzeichnungspflicht","schmücker","dr","herr","arzneimittel","herr","gesundheitswesen","arzneimitteln","fachlich","neueinteilung","entwurf","räume","krankenschwestern","stein","handwerksordnung","brese","sprache","untersuchungsausschüsse","urlaub","transparenz","interparlamentarischen","richterakademie","transparent","kilogramm","bardepotgesetz","erinnerung","vertraulichen","staatsangehörigkeit","flotte","deutschen","seeleute","april","forschungsbeirat","wirtschaftszone","rufe","grenzschutzeinzeldienstes","schiff","aussperrung","pionier","sichtvermerkspflicht","berufe","duve","abbuchungen","nordseegutachten","hartenstein","gewässer","hartenstein","fremdenverkehrspolitik","hamburg","werften","schiffe","saarland","landesregierung","würzburg","hessen","landesregierung","niedersachsen","ländern","nord","saarland","elbe","gysi","länder","länder","bundesländern","bundesländern","mecklenburgvorpommern","kommunen","treuhand","bundesländern","neuen","werften","sket","ostdeutschland","ddr","ost","ostdeutschland","bundesländern","ostdeutschen","ostdeutschen","aufbau","ostdeutschen","sachsenanhalt","aufbau","neuen","ostdeutschland","aufbau","osten","osten","bundesländern","osten","ostdeutschen","ostdeutschen","neuen","neuen","tourismus","osten","stadtumbau","ost","ostdeutschen","ostdeutschland","regionen","un","west","ostdeutschland","ostdeutschen","kulturtourismus","tourismus","wahlkreis","westen","ddr","west","bücher","tourismus","ostdeutschen","urlaub","ost","west","einheit"
"6","herren","herr","herr","umdruck","vizepräsident","herren","herren","damen","herr","dr","fraktion","verordnungen","präsident","arzneimitteln","damen","antrag","berufsausbildungsgesetz","antrag","niedersachsen","berufsausbildungsgesetz","bundestages","arzt","handbuch","verwaltung","institution","ausdrücke","außerparlamentarische","fremdenverkehrswirtschaft","petitionen","entstand","zunehmende","ausland","funktion","kapitalerhöhung","gemeinderat","wähler","runft","schiffen","besitz","herr","din","gutachten","verbrauchers","geldern","konsumenten","ddr","autos","ayatollah","betrag","küste","gewerkschaft","ddr","geldern","postverkehr","duve","duve","werften","norddeutschen","ostsee","georgsmarienhütte","schiffe","krupp","niedersachsen","küste","schleswigholstein","bundesergänzungszuweisungen","schleswigholstein","ostsee","länder","länder","bundesländer","ländern","kommunen","rückgabe","ostdeutschen","ddr","ostdeutschen","bundesländern","ostdeutschen","altschulden","ddr","ddr","altschulden","ostdeutsche","ddr","schwanitz","ostdeutschland","bundesländern","ostdeutschland","länder","ostdeutschland","aufbau","bundesländern","ostdeutschland","ostdeutschen","osten","neuen","ostdeutschen","regionen","bundesländern","osten","bundesländern","bundesländern","regionen","westen","bundesländern","tourismus","westen","ostdeutschland","westen","jugendherbergen","west","osten","einheit","regionen","ddr","osten","west","ostdeutschen","geschiedenen","lebensverhältnisse","ostdeutschland","ddr","regionen","ddr","ostdeutschland","ostdeutschland","ost"
"7","präsident","damen","lesung","lesung","herren","abgeordnete","herr","herren","abgeordneter","unertl","dr","gesetz","dr","herr","abgeordnete","berufsschule","antrag","dr","krankenpflege","berufsausbildungsgesetzes","examen","hamm","irland","dorn","orchester","bayerische","altersversorgung","tourismus","schwarzarbeit","freundlich","gestört","ausbildungsberater","liefert","gesetzlicher","kritiken","wählerwillen","rumänische","enquete","schikane","isländischen","normung","dr","see","herr","israel","zagreb","landmaschinenindustrie","ludwig","nico","bundesprüfstelle","elwerath","meeresverschmutzung","see","meeresschätze","wolfgramm","handelsflotte","wolfgramm","schiffbau","fischerei","nordseeschutzkonferenz","küste","gutachten","deponie","schleswigholstein","krollmann","wedemeier","landesregierung","bremen","senator","konferenz","vermögen","ehemaligen","ländern","privatisierung","chemnitz","schönberg","bundesländern","privatisierung","rückgabe","ostdeutschland","bundesländern","kommunen","bundesländern","ost","ostdeutschen","aufbau","osten","einheit","einheit","ostdeutschland","west","ostdeutschland","ostdeutschen","sachsen","altschulden","regionen","ostdeutschen","bundesländern","einkaufen","regionen","einheit","osten","regionen","ostdeutschland","einheit","neuen","wohnungsunternehmen","ostdeutschen","einheit","einheit","ost","einheit","ländlichen","ostdeutschen","westen","ost","west","osten","völker","westen","einheit","einheit","treuhand","west","reisewarnung","wiedervereinigung","ddr","regionen"
"8","wort","herren","herren","damen","wort","vizepräsident","bitten","abgeordnete","herren","gesetz","abgeordneter","lebensmittelgesetz","apotheken","lange","dr","samstagnachmittagen","frau","hamm","krankenschwestern","industrie","februar","kaiserslautern","arbeitsbedingungen","frehsee","beamteten","schulhoff","unzumutbar","urheber","parlamente","auslandsreisen","schuld","urlaub","bundesregierung","kassel","saales","september","herr","orgaß","sauer","elc","aktiengesellschaft","staatsoberhauptes","seerechtskonferenz","schön","kollege","ddrwachboot","unklarheiten","herr","zerlegung","schriften","schiffen","geldern","duve","geldern","elbe","umwelt","fremdenverkehrs","koschnick","norddeutschen","saarlandes","ostkollegs","firma","see","norddeutschland","hessischen","schleswigholstein","bund","seeleute","umweltagentur","nordrheinwestfalen","treuhandanstalt","bundesländer","bundesländer","ostdeutschen","sanierung","ostdeutschen","ostdeutschland","entschädigung","privatisierung","ost","kommunen","bvs","sport","osten","aufbau","osten","einheit","ddr","aufbau","ostdeutschen","aufbau","sachsen","stolpe","bundesländer","einheit","ga","regionen","aufbau","west","ostdeutschen","aufbau","neuen","west","ost","ostdeutschen","tourismus","ddr","bundesländern","westen","lohnunterlagen","ostdeutschland","grw","westen","regionen","einheit","ostdeutschen","ostdeutschland","regionen","ostdeutschland","regionen","ostdeutschland","buch","regionen","thüringen","daseinsvorsorge","west","westen","west"
"9","anträge","fraktion","damen","wort","abgeordnete","wort","abzulehnen","wort","abgeordnete","gerstenmaier","vizepräsident","präsident","dittrich","abgeordnete","zuweisung","herr","gewerbeordnung","zugelassen","ostfriesland","abgeordneten","tierarzt","verordnungen","apotheke","brese","lederindustrie","herr","brese","ausland","mende","tourismus","regierungszeit","fremdenverkehrs","arbeiten","kapitals","ausgenützt","schumacher","zusatzfrage","handelsflotte","salzgitter","mittlerorganisationen","rauschning","namibia","meere","interessieren","heilfürsorge","umweltaktion","streiks","dienst","pfennig","änderungsantrages","unterrichtung","see","verschmutzung","übereinkommens","gewässerschutzes","fischer","anfrage","aufträge","bund","finanzhilfen","strukturschwachen","emden","ddr","hessische","hessische","finanzausgleich","nordrheinwestfalen","ländern","bundesländer","land","einigungsvertrag","rückgabe","pds","brandenburg","privatisierung","privatisierung","privatisierung","sport","mauer","treuhandanstalt","altschulden","ost","sanierung","bodenreform","pds","ddr","west","aufbau","west","maßstäbegesetz","einheit","bundesländer","west","ostdeutschen","bundesländer","ostdeutschen","stolpe","sachsen","grenzregionen","west","regionen","ost","ostdeutschen","reisen","bundesländern","westen","ostdeutschen","west","bundesländern","ostdeutschen","west","westen","reisen","gleicke","angleichung","westen","regionen","kirchen","indigenen","angleichung","stadt","ost","ost","einheit","reisebüros","regionen","tourismus","gleichwertige"
"10","lesung","änderungsantrag","schmid","abgeordnete","umdruck","umdruck","abgeordnete","umdruck","atzenroth","frau","abgeordnete","dittrich","gesetz","philipp","erbrecht","montagvormittag","dr","verletzten","ausbildung","vorlage","gradl","arzneimittelgesetz","mitglied","hochhaus","staatssekretären","mundartliche","hitlers","fremdenverkehrsgewerbe","geschäftsordnung","fremdenverkehrsgewerbes","staatssekretär","petitum","gegensätzen","depotpflicht","mandats","erich","salzgitter","deutschen","reichstagsgebäude","reith","nutzung","freigabe","verbraucherschutz","normung","kunden","konrad","unfälle","ladung","erfinder","rechtsschutz","mängel","küste","gutachtens","lebenden","spranger","elbe","schiffbau","bürgermeister","bremer","hilfen","see","ostfriesland","inseln","mainz","schiffbauindustrie","bund","elbe","bundesland","bundesland","carstensen","länder","pds","privatisierung","eigentum","wismut","entschädigung","brandenburg","einigungsvertrag","entschädigung","einigungsvertrag","neuen","altschulden","sportförderung","flächen","westen","rolf","schwanitz","schwanitz","ddr","bundesländer","bundesländer","ostdeutschen","einheit","stundenwoche","regionen","bundesländer","bundesländern","bundesländer","ii","investitionszulage","west","urlaub","bundesländer","einheit","neuen","ostdeutschland","einheit","rentenüberleitung","neuen","angleichung","ddr","contergangeschädigten","ostdeutschen","westen","rentenwert","grw","ostdeutschen","rentenrecht","indigener","einheit"," prozent","westen","lebensverhältnisse","lebensverhältnisse","bundesländern","ddr","ländlichen","tourismus"
