"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","herr","herr","herr","herr","herr","herr","herr","herr","herr","bundeskanzler","bundeskanzler","herr","bundeskanzler","herr","herr","herr","herr","herr","herr","höcherl","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","ehmke","herr","herr","herr","guillaume","herr","frau","abgeordneter","herr","herr","herr","zwischenfrage","herr","herr","zwischenfrage","herr","zwischenfrage","medienbericht","zwischenfrage","the","springer","de","la","de","kultur","unesco","auswärtigen","goetheinstitut","auswärtigen","auswärtigen","rumänien","antarktis","guernica","kultur","auswärtigen","kultur","öffentlichrechtlichen","kultur","film","sprache","sport","kultur","sport","tourismus","guernica","kulturpolitik","tourismus","sport","tourismus","steen","naumann","tourismus","sport","tourismus","tourismus","tourismus","welle","ladenöffnungszeiten","sport","film","welle","welle","sport","gmbh","bücher","petitionen","sport","sport","sport","dat","sport","sport","sport","wahlrecht","tourismus","tourismus","wahlrecht","sport","geschäftsordnung","petitionen","sport","sport","petition","sport","de","demokratie","parteien","demokratie","wahlrecht","wahlkreise","demokratie","petitionen","sport"
"2","herrn","gesagt","gesagt","bundeskanzler","bundeskanzler","bundeskanzler","kollege","bundeskanzler","bundeskanzler","herr","herr","kollege","herr","bundeskanzler","kollege","bundeskanzler","herrn","kollege","herrn","herr","minister","höcherl","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","zwischenfrage","dr","dr","ahlers","ehmke","herr","zwischenfrage","chef","steiner","herr","chef","schlei","herr","abgeordneter","abgeordneter","zwischenfrage","gestatten","abgeordneter","abgeordneter","klein","zwischenfrage","medien","weirich","gestatten","of","monopolkommission","la","medienpolitik","la","kunst","amt","dienst","kulturpolitik","kultur","guernica","auswärtigen","rumänien","ostdeutschen","kunst","kultur","pds","kultur","pds","föderalismuskommission","sport","doping","kulturellen","kultur","dzt","rundfunk","tourismus","rundfunk","sportförderung","welle","film","kultur","vereine","expo","film","expo","vereine","sport","einzelhandel","welle","tourismus","sport","ehrenamtlich","tourismus","petitionsausschuss","künstler","petitionsausschuss","doping","petitionen","petitionen","de","petitionen","enquetekommission","petitionen","überhangmandate","barrierefreiheit","sport","sport","tourismus","minderheitenrechte","petitionsausschuss","institut","doping","petitionsausschuss","sports","dat","npd","stiftungen","wahlrecht","wahlkreise","wahlrecht","bundestag","demokratie","abgeordneten"
"3","ja","ja","herrn","gesagt","gesagt","kollege","bundeskanzler","kollege","gesagt","gesagt","herrn","herrn","herrn","kollege","herrn","herrn","schloss","herrn","erler","innern","erler","schäfer","minister","gesamtdeutsche","mende","bundeskanzler","diehl","bundeskanzler","zwischenfrage","strauss","bundeskanzler","kollege","ehmke","presse","dr","bundesminister","gestatten","herrn","bundeskanzler","ehmke","bölling","herr","bölling","zwischenfrage","zwischenfrage","gestatten","abgeordneter","zwischenfrage","bundesminister","herr","gestatten","gestatten","rundfunk","abgeordneter","and","burda","et","presse","blockaden","ded","kulturellen","sprache","auswärtigen","fremdenverkehr","dienst","dienstes","antarktischen","kulturarbeit","antarktis","kulturellen","sperrklausel","pds","kulturellen","kultur","kultur","medien","kulturelle","kulturpolitik","sport","kulturpolitik","kultur","konversion","kommunen","rechtschreibung","mer","medien","tourismuswirtschaft","stiftungen","zentren","burgbacher","film","engagement","uhr","uhr","leipzig","künstlerinnen","deutsche","breitenkultur","aussengastronomie","schulsport","sport","tourismus","petitionsausschuss","olympischen","sport","petitionsausschuss","internet","petitionsausschuss","welle","barrierefreien","jugendtourismus","nada","olympischen","sotschi","sport","menschenrechte","sportler","demokratie","fans","npd","enquetekommission","sport","petitionen","demokratie","abgeordneten","abgeordneten","bundestag","bundestag"
"4","heute","sagen","kollege","ja","kollege","gesagt","gesagt","herrn","herrn","herrn","adenauer","gesagt","erler","rede","rede","herren","güde","jahn","kollege","verfassungsschutz","kollege","innern","mende","bundesminister","dorn","guttenberg","dorn","dorn","herrn","dr","kollege","ehmke","kollege","chef","abgeordneter","abgeordneten","herrn","bundeskanzleramtes","kollege","bundeskanzler","abgeordneter","staatssekretärin","staatssekretär","gestatten","gestatten","abgeordneter","herr","gestatten","zwischenfrage","gestatten","abgeordneter","herr","zwischenfrage","herr","to","presse","les","südafrika","flugsicherheit","kulturpolitik","kultur","auswärtige","goetheinstituts","tourismus","amt","kultur","moratorium","havel","künstler","kulturpolitik","fünfprozentklausel","kulturarbeit","kulturelle","leipzig","film","sports","kulturförderung","welle","ard","klausdieter","auswärtige","amateurfunk","kliniken","rundfunk","dutyfree","werften","hochwasser","werften","ehrenamt","kulturpolitik","werften","enquetekommission","samstag","grossveranstaltungen","werften","künstler","sport","sports","petition","sport","petenten","sportler","parr","spiele","un","sports","tourismus","petition","stimmgewicht","wahlrecht","olympischen","de","sportler","sport","demokratie","doping","sports","petitionen","athleten","petitionen","direkte","demokratie","parteien","parteien","bundestages","parteien","parteien","demokratie"
"5","sagen","herrn","ja","herrn","stahlhelm","herrn","kühn","gesagt","heinemann","kollege","gesagt","bundeskanzler","kollege","erler","bundeskanzler","damen","jahn","erler","argoud","erler","bundesminister","minister","bundesminister","dr","brief","freiherr","bundespressechef","herrn","süsterhenn","zwischenfrage","ehmke","zwischenfrage","abgeordneter","informationsamtes","kollege","aufgaben","ravens","abgeordneter","staatssekretärin","schlei","bundeskanzleramtes","abgeordneter","schüler","bölling","abgeordneten","abgeordneten","abgeordneten","öffentlichkeitsarbeit","gestatten","medien","herrn","abgeordneter","herr","abgeordneten","our","gestatten","le","de","gewaltfreie","künstler","auswärtige","dienstes","auswärtige","deutschen","auswärtige","rumänische","kelly","kulturellen","kulturpolitik","antarktis","ehemaligen","ehemaligen","kommission","filme","sports","kultur","übergangsfinanzierung","kulturellen","fremdenverkehr","sport","welle","saibold","sports","öffentlichrechtlichen","börnsen","beauftragter","welle","tourismus","ehrenamtlich","hinsken","branche","engagements","öffnungszeiten","sports","olympischen","wassertourismus","berufsgenossenschaften","band","rechtsform","girokonto","parr","künstler","kulturwirtschaft","tourismus","tourismus","petition","sportanlagen","sports","vorschlag","internet","jugendreisen","dat","demokratie","tourismus","petition","petitionen","antidopinggesetz","deg","olympischen","un","bundesverfassungsgericht","petitionsausschuss","wahl","bundestages","wahl","bundestages","bundestages","geschäftsordnung"
"6","gesagt","kollege","minister","kollege","herrn","kühn","sagen","schmidt","erler","sagen","erler","herren","wehner","herrn","barzel","gesagt","ahlers","bundeskanzler","wehner","alliierten","höcherl","bundesminister","vizepräsident","minister","bundeskanzler","dr","scheel","scheel","bundeskanzler","ahlers","dr","herrn","zwischenfrage","abgeordneter","bundesminister","besondere","kollege","zwischenfrage","frau","chef","schlei","zwischenfrage","bundesbank","öffentlichkeitsarbeit","stücklen","herrn","herrn","bölling","luxemburg","bundesminister","abgeordneten","sender","gestatten","bitte","that","zwischenfrage","que","et","würzburg","kulturellen","sprache","ausland","rose","sprache","friedland","künstler","mineralischen","ostdeutsche","duve","sprache","volkskammer","gysi","parteien","kommission","sportstätten","gedenkstätten","kunst","kunst","kultur","goetheinstitut","kulturarbeit","funkamateure","stamm","saibold","olderog","börnsen","volksfeste","engagement","filmförderung","werften","vereinen","bürgerschaftliches","ladenschlussgesetz","deutsche","spiele","deutsche","engagement","musik","petitionsrecht","gmbh","spielsucht","künstlersozialversicherung","musik","petitionsausschuss","is","fussball","sports","petenten","mandate","sport","spiele","engagement","barrierefreiheit","sportler","bürger","sports","integrität","tab","sportanlagen","petitionsausschuss","antrag","petitionen","petitionsausschuss","bundestag","vorschlag","abgeordnete","abgeordneten","wahl"
"7","kollege","minister","bundeskanzler","herren","herren","sagen","schmidt","damals","rede","minister","kollege","dr","gesagt","arndt","gesagt","erler","minister","minister","strauss","untersuchungsausschuss","schmittvockenhausen","kollege","erler","zwischenfrage","minister","zwischenfrage","bundeskanzler","frage","gestatten","herrn","herrn","vizepräsident","herrn","gestatten","zwischenfrage","dr","presse","grabert","zwischenfrage","bundeskanzleramt","bundeskanzler","herrn","broschüre","urteil","zusatzfrage","urteil","bitte","staatssekretär","hauff","schwarzschilling","bitte","abgeordneten","abgeordneter","radio","we","zusammenschluss","qui","publizistische","erforscht","kulturelle","ded","kultur","kulturellen","dienst","spanischen","kunst","hammbrücher","vaclav","kulturellen","dienstes","kulturellen","kulturellen","gedenkstätten","filmförderung","deutschen","film","duve","sports","stoiber","kultur","fremdenverkehrswirtschaft","öffentlichrechtlichen","tourismus","film","dutyfreehandel","angelegenheiten","naumann","olympischen","soziokultur","branche","tourismuswirtschaft","sports","tourismus","spitzensport","bewerbung","tourismuswirtschaft","neumann","geistes","petitionen","buchhandlungen","eingaben","kulturwirtschaft","olympischen","computerspiele","ok","rundfunk","lärm","tourismus","bundesverfassungsgericht","überhangmandate","reisen","ehrenamtlich","sports","olympischen","bürgerinnen","olympischen","mutlu","doping","institut","parteien","afd","parteienfinanzierung","gemeinnützigkeit","petition","bundestag","lobbyregister","petition","abstimmungsreihenfolge"
"8","gar","bundeskanzler","presse","sagen","weiss","minister","sei","herren","kollege","sozialdemokraten","amt","zwischenfrage","opposition","gesagt","politik","kollege","strauss","herren","jahn","schäfer","innern","erler","dr","brief","zwischenfrage","vizepräsident","herrn","vizepräsident","untersuchungsausschuss","bundeskanzler","vizepräsident","bundesminister","gestatten","herrn","herrn","herrn","journalisten","gestatten","herrn","herrn","herrn","abgeordneten","dr","abgeordneten","vizepräsident","öffentlichkeitsarbeit","bundeszentrale","abgeordneten","zusatzfrage","abgeordneter","bundesminister","schwarzschilling","sendung","fernsehen","is","verlage","en","lorenz","the","duve","auswärtigen","deutsch","kultur","ausland","kulturpolitik","sprache","ressourcenaktivitäten","kultur","czaja","kulturelle","parteien","anstalten","keller","bundesinstitutionen","gedenkstätten","landesmedienanstalten","kulturpolitik","deutsche","urlaub","pforzheim","feldmann","medienbericht","kur","sprache","ons","schiffbau","tourismusbranche","doping","engagement","tourismuswirtschaft","rock","bürgerschaftlichen","geschäfte","olympischen","rostock","tourismus","enquetekommission","kulturwissenschaften","lärm","buchpreisbindung","petitionsausschusses","nada","gmbh","petition","wi","doping","netzpolitik","bürger","negativen","enquetekommission","barrierefreiheit","ehrenamt","sportgrossveranstaltungen","mitglieder","wahl","spiele","nada","bürger","doping","demokratie","einsetzung","gemeinnützigkeit","wahlrechtsausschlüsse","petitionsausschuss","demokratie","wahlrecht","petitionsausschuss","mehrheit"
"9","herren","rede","sei","sei","sagen","mann","minister","minister","strauss","adenauer","mann","sei","bundeskanzlers","heinemann","zwischenfrage","rede","bundeskanzler","heinemann","verdacht","schmittvockenhausen","schröder","brief","brief","gesamtdeutschen","dr","gestatten","vizepräsident","zwischenfrage","vizepräsident","bundesminister","gestatten","bundeskanzler","moersch","dr","presse","presse","vizepräsident","ravens","schlei","zwischenfrage","frau","bölling","abgeordneten","herrn","herrn","vizepräsident","beilage","herrn","radio","herrn","posser","bitte","bitte","presse","it","herr","dans","zeitungen","phantasie","auswärtigen","kunst","amt","dienst","auswärtige","ausland","rumänischen","verhandlungen","prag","kulturarbeit","deutsch","ddr","werbung","ddr","heuer","hörfunk","rundfunk","bgs","einrichtungen","rundfunkanstalten","uelhoff","olderog","branche","kastner","tourismuswirtschaft","isch","welle","burgbacher","sports","burgbacher","brähmig","kulturpolitik","deutschen","ladenschlussgesetzes","riegert","filmwirtschaft","uhr","tourismus","kultur","mindeststammkapitals","künstlerinnen","monopol","sports","kreativwirtschaft","petenten","leitlinien","jugendaustausch","olympischen","sportpolitik","stimmgewichts","medienkompetenz","datenschutz","petitionen","spenden","normenkontrollklage","petitionsausschusses","sportler","fussball","petenten","vereine","partei","bundestages","esport","grundgesetz","petitionen","wahlkreis","parlament","abgeordnete","parteien"
"10","hätte","heute","mann","minister","goslar","zeitung","herrn","mann","döring","stephan","bundeskanzlers","zitiert","partei","dr","partei","opposition","erler","strauss","minister","untersuchungsausschusses","wehner","alliierten","bundeskanzler","mende","frage","dorn","zwischenfrage","gestatten","dr","ehmke","strauss","gestatten","bundesminister","zwischenfrage","ahlers","zwischenfrage","abgeordneter","presse","guillaume","dr","schüler","staatssekretär","herrn","stücklen","dr","bitte","schön","bundeskanzleramt","bitte","programme","haase","herrn","huonker","informationsfreiheit","peace","wirtschaftsminister","nous","überflüssig","aktionen","köhler","aussiedler","kulturpolitik","sonn","kunst","stratmann","kulturelle","auswärtigen","deutschen","anwaltschaft","auswärtige","gruppe","rundfunk","ehemaligen","bundeseinrichtungen","kulturellen","meinungsvielfalt","gedenkstätten","plan","gastgewerbe","herr","irber","regionen","bad","kapitallebensversicherung","angebote","tourismus","übungsleiterpauschale","spitzensport","kulturellen","irber","ehrenamtlich","vereine","samstagen","breitensport","deutschen","deutschen","griefahn","anfrage","uhr","buch","tourismus","parr","künstler","sports","medien","medien","digitale","petitionsrecht","sport","enquete","jugendherbergen","un","ringen","wahl","olympia","instituts","institut","anliegen","sportvereine","wi","direkter","athleten","petition","games","bundestagswahl","petitionen","bürger","diäten"
