"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","bitte","bitte","umdruck","umdruck","abstimmung","umdruck","umdruck","bitte","gegenprobe","umdruck","umdruck","umdruck","umdruck","umdruck","umdruck","umdruck","gegenprobe","umdruck","umdruck","umdruck","umdruck","umdruck","enthaltungen","umdruck","umdruck","antrag","änderungsantrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","gegenprobe","antrag","gegenprobe","gegenprobe","gegenprobe","gegenprobe","antrag","gegenprobe","wünscht","gegenprobe","gegenprobe","wünscht","wünscht","wünscht","wünscht","wer","zuzustimmen","wer","zuzustimmen","handzeichen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","wer","stimmt","stimmt","stimmt","wer","dat","abstimmung","wahl","abgeordneten","häfner","überhangmandate","klonen","wahlkreise","beamten","wahl","bannmeile","untersuchungsausschuss","beamten","untersuchungsausschuss","demokratie","untersuchungsausschuss","untersuchungsausschuss","suu","untersuchungsausschuss","girokonto","mitbestimmung","kartellamt","untersuchungsausschuss","ministererlaubnis","mitbestimmung","telekom","wettbewerb","ikb","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","verbraucher","banken","banken","banken","finanztransaktionsteuer","ezb","banken","wirecard","griechenland"
"2","gegenprobe","abstimmung","ziffer","bitte","gegenprobe","gegenprobe","bitte","gegenprobe","abstimmung","gegenprobe","bitte","gegenprobe","handzeichen","gegenprobe","gegenprobe","gegenprobe","enthaltungen","gegenprobe","gegenprobe","antrag","antrag","änderungsantrag","gegenprobe","antrag","antrag","änderungsantrag","umdruck","umdruck","gegenprobe","bitte","umdruck","umdruck","umdruck","gegenprobe","umdruck","umdruck","gegenprobe","antrag","gegenprobe","antrag","zuzustimmen","antrag","wünscht","gegenprobe","wünscht","gegenprobe","wünscht","enthaltungen","zuzustimmen","enthaltungen","bitte","zuzustimmen","wünscht","wünscht","wünscht","wünscht","wünscht","handzeichen","zuzustimmen","wünscht","handzeichen","wer","wer","wer","wer","wer","stimmt","stimmt","wer","wer","wer","stimmt","wer","wer","wer","stimmt","de","schriftführerinnen","stimmkarten","diäten","abgeordneten","reformkommission","raucher","wahlrecht","demokratie","stimmkarte","schweigepflicht","bundesdruckerei","wahlrecht","cdu","scholz","kirch","möllemann","kyi","akten","konto","npd","zeitungen","offenlegung","untersuchungsausschuss","untersuchungsausschuss","korruption","post","kfw","krise","sparkassen","finanzmärkte","bank","finanztransaktionsteuer","bank","aufsicht","regulierung","bankenaufsicht","bankenunion","bank","schick","bausparkassen","bank","verbraucher","banken","einlagensicherung","kredite","bank","griechenland","zentralbank","bafin","bafin","hauptversammlungen"
"3","antrag","umdruck","bitte","ziffer","umdruck","änderungsantrag","gegenprobe","handzeichen","umdruck","bitte","handzeichen","bitte","gegenprobe","antrag","handzeichen","antrag","umdruck","änderungsantrag","ziffer","gegenprobe","gegenprobe","gegenprobe","handzeichen","änderungsantrag","änderungsantrag","gegenprobe","antrag","gegenprobe","handzeichen","umdruck","bitte","bitte","gegenprobe","umdruck","gegenprobe","damen","handzeichen","wünscht","bitte","zuzustimmen","antrag","zuzustimmen","enthaltungen","wünscht","handzeichen","enthaltungen","zuzustimmen","handzeichen","enthaltungen","handzeichen","zuzustimmen","handzeichen","handzeichen","wer","zuzustimmen","wer","zuzustimmen","wünscht","handzeichen","zuzustimmen","wünscht","handzeichen","änderungsantrag","handzeichen","handzeichen","stimmt","wer","wer","stimmt","stimmt","stimmt","enthaltungen","enthaltungen","enthaltungen","abstimmung","angenommen","un","nr","girokonto","verkleinerung","diäten","wahlkreise","rauchen","verkleinerung","versorgungsrücklage","geschäftsordnung","ströbele","kohl","parteien","landowsky","beamten","cdu","fdp","san","hirsch","kartellamt","untersuchungsausschuss","untersuchungsausschuss","aktionäre","tätigkeit","aufsichtsrat","post","kfw","banken","bank","krise","krise","krise","bank","krise","basel","finanzmärkte","aufsicht","steuerzahler","bankenunion","einlagensicherung","bank","bafin","bank","verbraucherinnen","bankenunion","risiken","ezb","ezb","bafin","wirecard","esm","hauptversammlung"
"4","hand","antrag","antrag","gegenprobe","änderungsantrag","ziffer","handzeichen","umdruck","antrag","antrag","gegenprobe","ziffer","bitte","handzeichen","ziffer","wer","änderungsantrag","antrag","antrag","handzeichen","änderungsantrag","handzeichen","änderungsantrag","wer","wer","umdruck","gegenprobe","änderungsantrag","umdruck","gegenprobe","einzelplan","änderungsantrag","änderungsantrag","zuzustimmen","zuzustimmen","wort","wünscht","zuzustimmen","zuzustimmen","wünscht","wünscht","wünscht","zuzustimmen","zuzustimmen","zuzustimmen","handzeichen","enthaltungen","wünscht","handzeichen","zuzustimmen","enthaltungen","enthaltungen","zuzustimmen","handzeichen","handzeichen","enthaltungen","enthaltungen","zuzustimmen","wünscht","handzeichen","zuzustimmen","wünscht","stimmt","wünscht","stimmt","änderungsantrag","gegenprobe","handzeichen","abstimmung","änderungsantrag","änderungsantrag","drucksache","angenommen","dagegen","änderungsantrag","enthaltungen","ick","gesetzentwurf","stimmkarte","parlaments","diätenerhöhung","überhangmandaten","nichtraucher","rauchen","mai","mitglieder","demokratie","cdu","hessischen","berliner","parteien","korruption","müntefering","aung","kanzleramt","kreditwirtschaft","tempelhof","parteien","untersuchungsausschusses","berninger","kartellamt","entflechtung","manager","landesbanken","hypo","landesbanken","regulierung","finanzmärkte","anleger","finanzmärkte","bank","bank","bank","aufsicht","steuerzahler","aufsicht","verbraucher","verbraucher","verbraucherinnen","bafin","verbraucher","ezb","euro","zinsen","wirecard","unternehmen","banken","wsf"
"5","erheben","gegenprobe","gegenprobe","handzeichen","ziffer","handzeichen","ziffer","antrag","handzeichen","ziffer","antrag","handzeichen","ziffer","bitte","antrag","änderungsantrag","ziffer","handzeichen","änderungsantrag","bitte","handzeichen","ziffer","antrag","gegenprobe","handzeichen","enthaltungen","enthaltungen","ziffer","enthaltungen","enthaltungen","gegenprobe","handzeichen","handzeichen","änderungsantrag","änderungsantrag","herren","zuzustimmen","bitte","enthaltungen","enthaltungen","handzeichen","handzeichen","handzeichen","bitte","bitte","zuzustimmen","handzeichen","zuzustimmen","gegenprobe","gegenprobe","handzeichen","wer","angenommen","angenommen","enthaltungen","handzeichen","wer","wer","angenommen","gegenprobe","wer","zuzustimmen","wünscht","stimmt","bitte","gegenprobe","änderungsantrag","änderungsantrag","handzeichen","drucksache","angenommen","angenommen","änderungsantrag","angenommen","angenommen","dagegen","is","stimmt","schriftführer","einkünfte","rechtsstellungskommission","wahl","klonens","überhangmandate","parlament","schriftführer","aufklärung","aufklärung","hessen","untersuchungsausschusses","briefwahl","parteien","untersuchungsausschusses","mitteldeutsche","staatsanwaltschaft","selbstverpflichtung","unternehmensmitbestimmung","meinungsvielfalt","beweisaufnahme","fusion","vorstände","aufsichtsrat","unternehmen","aufsichtsrat","estate","bank","bank","finanztransaktionsteuer","bankenabgabe","finanztransaktionsteuer","finanzmärkte","aufsicht","steuerzahler","schick","aufsicht","bank","kunden","schick","bafin","kunden","handwerker","finanzkrise","griechenland","kredite","urteil","schulden","anleger","ezb"
"6","abstimmung","enthaltungen","abstimmung","abstimmung","antrag","antrag","änderungsantrag","enthaltungen","bitte","handzeichen","wer","antrag","antrag","enthaltungen","bitte","enthaltungen","wer","enthaltungen","enthaltungen","änderungsantrag","bitte","wer","umdruck","handzeichen","gegenprobe","wer","handzeichen","enthaltungen","wer","handzeichen","änderungsantrag","gegenprobe","bitte","wünscht","wünscht","bitte","enthaltungen","handzeichen","wünscht","bitte","enthaltungen","enthaltungen","bitte","handzeichen","enthaltungen","wer","drucksache","bitte","wer","wer","gegenprobe","angenommen","nr","enthaltungen","angenommen","gegenprobe","gegenprobe","bitte","gegenprobe","wer","änderungsantrag","ausschussfassung","handzeichen","gegenprobe","gegenprobe","handzeichen","handzeichen","abstimmung","änderungsantrag","handzeichen","gegenprobe","ausschussfassung","dagegen","stimmen","enthaltungen","stimmen","wi","wer","bitte","parlament","wahl","wahlrecht","conradi","reformkommission","marschewski","parteien","parteien","koch","akten","rauchen","parteiengesetz","kohl","cdu","tr","untersuchungsausschusses","banken","aufsichtsrat","zweitstimmen","hauptversammlung","kartellamt","manager","liberalisierung","ikb","bank","marktwirtschaft","unternehmen","ratingagenturen","hre","schick","markt","bafin","hochfrequenzhandel","zypern","kapitalmarkt","ratingagenturen","bafin","konto","anleger","produkte","verbraucherpolitik","bank","bank","post","steuerzahler","bundesbank","bank","haftung","aktionäre"
"7","ziffer","mehrheit","mehrheit","antrag","enthaltungen","bitte","antrag","wer","enthaltungen","enthaltungen","ziffer","zuzustimmen","enthaltungen","ziffer","wer","handzeichen","bitte","wer","wer","zuzustimmen","wer","enthaltungen","angenommen","bitte","bitte","bitte","wer","handzeichen","änderungsantrag","änderungsantrag","abstimmung","siehe","enthaltungen","wer","bitte","änderungsantrag","bitte","wer","handzeichen","handzeichen","bitte","bitte","antrag","enthaltungen","geschäftsordnung","drucksache","bitte","wer","angenommen","angenommen","drucksache","bitte","rufe","bitte","rufe","nr","bitte","gegenprobe","wer","angenommen","gegenprobe","bitte","zuzustimmen","zuzustimmen","wünscht","einzelplan","angenommen","einzelplan","angenommen","gegenprobe","handzeichen","stimmen","abstimmung","abstimmung","stimmen","nr","nich","bitte","stimmen","parlamentsreform","conradi","verkleinerung","sauer","abgeordneten","dienst","bannmeile","parlamentarischen","parteien","cdu","parteiengesetz","cdu","spenden","parteien","untersuchungsausschuss","kohl","zahlungsverkehr","verbotsverfahren","einsetzung","scholz","vizepräsidenten","offenlegung","wettbewerb","marktwirtschaft","unternehmen","finanzmärkte","bankenaufsicht","schick","regulierung","krise","steuerzahler","finanzaufsicht","steuerzahler","ezb","fonds","dispozinsen","verbraucher","gläubiger","aufsicht","meister","instrumente","steuerzahler","bundesbank","commerzbank","euro","reisebüros","zinsen","branche","schulden"
"8","nr","zuzustimmen","enthaltungen","änderungsantrag","handzeichen","wer","abstimmung","ziffer","wer","änderungsantrag","änderungsantrag","wünscht","wer","wer","enthaltungen","bitte","antrag","ziffer","handzeichen","wünscht","enthaltungen","antrag","bitte","enthaltungen","siehe","wünscht","bitte","bitte","bitte","ziffer","handzeichen","enthaltungen","zuzustimmen","stimmenthaltungen","wer","wünscht","wer","enthaltungen","wer","wer","wer","wer","wer","drucksache","antrag","angenommen","wer","angenommen","bitte","drucksache","wer","drucksache","enthaltungen","einzelplan","bitte","angenommen","angenommen","angenommen","gegenstimmen","gegenstimmen","angenommen","angenommen","angenommen","angenommen","drucksache","wünscht","abstimmung","dagegen","mehrheit","ausschussfassung","drucksache","dagegen","stimmen","stimmenthaltungen","dagegen","abstimmung","änderungsantrag","änderungsantrag","abgegeben","entschädigung","bezüge","schmidt","dolly","übergangsgeld","versorgungsreformgesetz","stimmkarten","wahl","schmidt","sitten","wahlkreise","volksbegehren","spd","affäre","burma","wahlprüfungsausschuss","jedermann","sachsen","beteiligungen","sachstandsbericht","wechsel","aktienoptionen","unternehmens","abfindungen","krise","kfw","ratingagenturen","hedgefonds","bankenabgabe","finanzkrise","regulierung","regulierung","bankenaufsicht","sparkassen","regulierung","schick","ezb","girokonto","kleinanleger","kunden","verbraucherschutz","kredite","einlagensicherung","fusion","sparer","euro","ezb","wirtschaftsprüfer","euro"
"9","umdruck","hand","zuzustimmen","wer","bitte","abstimmung","wer","abstimmung","angenommen","wer","zuzustimmen","wer","änderungsantrag","änderungsantrag","änderungsantrag","ziffer","handzeichen","bitte","bitte","wer","zuzustimmen","bitte","wer","abstimmung","zuzustimmen","zuzustimmen","angenommen","wort","ziffer","damen","wort","einzelplan","abstimmung","enthaltungen","wort","siehe","wort","änderungsantrag","drucksache","angenommen","angenommen","änderungsantrag","rufe","wer","wort","bitte","angenommen","rufe","ausschussfassung","bitte","angenommen","ausschussfassung","bitte","ausschussfassung","gegenprobe","bitte","rufe","gegenstimmen","bitte","bitte","bitte","änderungsantrag","ausschussfassung","änderungsantrag","abstimmung","abstimmung","wünscht","drucksache","dagegen","angenommen","abstimmung","abstimmung","gegenprobe","ausschussfassung","handzeichen","handzeichen","se","schriftführern","pds","häfner","parlament","bundestages","embryonenschutzgesetz","nichtraucher","mitglieder","präsidenten","parteienfinanzierung","demokratie","demokratie","kiep","stadler","parteiengesetz","stadler","bischofferode","bundeskanzleramt","bargeldlosen","untersuchungsausschusses","presse","partei","untersuchungsausschusses","untersuchungsausschusses","unternehmen","ag","korruption","bafin","bafin","finanztransaktionsteuer","steuerzahler","fonds","honorarberatung","sparkassen","krise","regulierung","finanzmärkte","risiken","versicherungen","steuerzahler","ebene","schick","geschäfte","ezb","bankenunion","targetsalden","hauptversammlung","gutschein","gläubiger","insolvenz","iwf"
"10","angenommen","abgelehnt","hand","enthaltungen","zuzustimmen","enthaltungen","enthaltungen","wünscht","zustimmen","zuzustimmen","wünscht","enthaltungen","wünscht","zuzustimmen","wünscht","zustimmen","angenommen","angenommen","gebe","ziffer","angenommen","angenommen","zuzustimmen","einzelplan","ziffer","handzeichen","siehe","wer","angenommen","wer","wer","wort","wer","handzeichen","stimmenthaltungen","abstimmung","änderungsantrag","wort","abstimmung","änderungsantrag","änderungsantrag","drucksache","angenommen","einzelplan","beratung","wort","wort","ausschussfassung","rufe","rufe","abstimmung","gegenprobe","stimmt","rufe","nr","beschlussempfehlung","änderungsantrag","stimmzettel","änderungsantrag","aufgerufenen","ausschussfassung","stimmt","gegenprobe","drucksache","angenommen","zuzustimmen","abgelehnt","angenommen","wünscht","dagegen","mehrheit","änderungsantrag","drucksache","änderungsantrag","abgelehnt","buchstabe","wer","verfassung","mitglieder","öffentlichkeit","eylmann","verhältniswahl","nichtraucherschutz","demokratie","öffentlichen","gewählt","gewählt","spenden","belle","aufklärung","häfner","ströbele","koch","kalikaliwerk","zweitstimmen","girokonten","flughafengesellschaft","grundmandatsklausel","parteien","eon","verschmelzung","ag","managergehälter","nokia","real","kredite","dautzenberg","schick","gläubiger","aufsicht","iii","reguliert","finanzmärkte","gläubiger","regulierung","risiken","verbraucherinnen","europäischer","boni","schick","risiken","griechenland","steuerzahler","banken","unternehmen","kredite","fonds","unternehmen"
