"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","gesetz","schon","gesetz","schon","gesetz","auffassung","kernenergie","kernenergie","entwicklung","schon","entwurf","voraussetzungen","hilfe","entwurf","hilfe","kommission","unserer","bundesregierung","aufgaben","bundesregierung","unserer","unserer","unserer","entwurf","unserer","aufgaben","aufgaben","unserer","aufgaben","entwicklung","begrüssen","umweltschutz","entwicklung","umweltschutz","aufgaben","mehr","unserer","unserer","bereich","bereich","gesetzentwurf","massnahmen","gesetz","unserer","massnahmen","bereich","massnahmen","bereich","bereich","bereich","bereich","bereich","bereich","bereich","bereich","müssen","bereich","müssen","bereich","bereich","bereich","eureka","bereich","grossforschungseinrichtungen","enquetekommission","enquetekommission","müssen","forschung","forschung","forschung","forschung","enquetekommission","forschung","enquetekommission","forschung","forschung","forschung","forschung","forschung","forschung","expo","forschung","forschung","forschung","umweltbildung","forschung","forschung","forschung","forschung","internet","stiftung","enquetekommission","dienstleistungen","entwicklung","entwicklung","entwicklung","raumfahrt","nachhaltigkeit","reach","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","entwicklung","unternehmen","entwicklung","unternehmen","unternehmen","netzneutralität","unternehmen","unternehmen","unternehmen","digitalisierung","unternehmen","unternehmen","digitalisierung","digitalisierung","digitalisierung","digitalisierung","digitalisierung","digitalisierung","unternehmen","unternehmen","digitalisierung"
"2","glaube","gesetz","müssen","müssen","auffassung","gesetz","gesetz","entwicklung","verwendung","entwicklung","entwicklung","entwicklung","entwurf","besonders","bundesregierung","bundesregierung","massnahmen","einzelnen","unserer","unserer","bundesregierung","insbesondere","sicherung","wirtschaftlichen","aufgabe","unserer","aufgabe","aufgaben","entwicklung","unserer","entwicklung","umwelt","aufgaben","bereich","aufgabe","aufgabe","bereich","entwurf","gesetz","bund","bereich","bereich","bereich","bereich","unserer","unserer","bereich","aufgabe","müssen","stoffe","müssen","müssen","ausstellung","müssen","müssen","bereich","müssen","massnahmen","müssen","müssen","entwicklung","bereich","forschung","forschung","gentechnologie","bereich","bereich","enquetekommission","gentechnologie","gentechnik","enquetekommission","forschung","bericht","grossforschungseinrichtungen","gentechnik","aids","technologie","enquetekommission","wissenschaft","raumfahrtindustrie","forschung","informationsgesellschaft","entwicklung","enquetekommission","enquetekommission","raumfahrt","stiftungen","enquetekommission","nachhaltigkeit","forschung","internet","globalisierung","entwicklung","bereich","innovationen","bereich","reach","bereich","öpp","entwicklung","wettbewerb","wettbewerb","deutschland","entwicklung","wirtschaft","entwicklung","wirtschaft","wachstum","wirtschaft","unternehmen","wirtschaft","wirtschaft","unternehmen","digitale","entwicklung","entwicklung","wirtschaft","digitalisierung","digitalisierung","digitalen","unternehmen","intelligenz","unternehmen","wirtschaft","wirtschaft","digitalisierung","digitalisierung","wirtschaft"
"3","müssen","notwendig","besonders","besonders","schon","schon","entwicklung","gerade","unserer","gesetz","müssen","besonders","entwicklung","gesetzentwurf","unserer","neben","bundesregierung","massnahmen","massnahmen","besonders","entwurf","grundlage","aufgabe","unserer","aufgaben","wirtschaftlichen","unserer","entwicklung","verbesserung","aufgabe","aufgaben","aufgaben","aufgabe","umweltschutzes","begrüssen","herren","bedeutung","gesetz","unserer","gesetz","bedeutung","gesetz","bedeutung","aufgaben","bereich","massnahmen","aufgabe","förderung","bürger","umwelt","krebsbekämpfung","massnahmen","massnahmen","bedeutung","aufgabe","umweltschutz","einzelnen","probleme","eurocontrol","begrüssen","probleme","müssen","entwicklung","bereich","bereich","entwicklung","enquetekommission","müssen","technikfolgenabschätzung","gentechnologie","forschungs","gentechnik","enquetekommission","forschung","entwicklung","gentechnik","entwicklung","wissenschaft","technologie","luft","enquetekommission","rüttgers","internet","entwicklung","forschung","enquetekommission","bereich","gmd","entwicklung","entwicklung","entwicklung","entwicklung","bereich","enquetekommission","bereich","innovationen","unternehmen","entwicklung","unternehmen","bereich","neue","bereich","bereich","bereich","entwicklung","beirat","entwicklung","nachhaltige","kinderarbeit","wirtschaft","entwicklung","entwicklung","internet","wirtschaft","wirtschaft","wirtschaft","entwicklung","entwicklung","entwicklung","entwicklung","digitale","wirtschaft","wirtschaft","unternehmen","unternehmen","wirtschaft","wirtschaft","unternehmen"
"4","schon","bedenken","ganz","gesetz","gewisse","einzelnen","schon","einzelnen","etwa","gesundheit","schwierigkeiten","begrüssen","gestaltung","einzelnen","möglichkeiten","gestaltung","bisher","unserer","bundesregierung","einzelnen","gebiet","aufgaben","bereich","entwicklung","entwicklung","entwicklung","entwicklung","aufgabe","unserer","aufgaben","unserer","müssen","unserer","umwelt","bedeutung","bürger","aufgabe","bedeutung","bedeutung","gesetzentwurf","gesetz","novelle","unserer","bedeutung","aufgaben","aufgabe","unserer","unserer","krebsbekämpfung","besonders","aufgabe","insbesondere","müssen","bemühungen","begrüssen","probleme","besonders","bereich","sollten","gentechnologie","bedeutung","projekte","probleme","entwicklung","kommission","forschung","entwicklung","bereich","wissenschaft","technologie","entwicklung","technikfolgenabschätzung","raumfahrt","bericht","technologie","entwicklung","raumfahrt","entwicklung","entwicklung","dasa","entwicklung","forschungslandschaft","inhalte","bereich","entwicklung","nachhaltigkeit","bildung","internet","stiftung","nachhaltigkeit","globalisierung","bereich","gats","dienstleistungen","baukultur","deutschland","deutschland","unternehmen","bereich","basel","bereich","entwicklung","neue","müssen","mittelstand","nachhaltige","deutschland","unternehmen","entwicklung","kinderarbeit","kinderarbeit","innovationen","wirtschaft","entwicklung","digitalen","digitalen","industrie","deutschland","wirtschaft","wirtschaft","wirtschaft","digitale","digitalen","intelligenz","innovationen","ki","digitalen","digitalen"
"5","gerade","müssen","schon","durchaus","müssen","bisher","gesetzentwurf","gesetz","besonders","schwierigkeiten","technischen","einzelnen","einzelnen","begrüssen","entwicklung","besonders","wirtschaft","besonders","aufgabe","aufgaben","besonders","massnahmen","aufgaben","aufgaben","regierungserklärung","aufgabe","wirtschaftlichen","massnahmen","zukunft","unseres","bedeutung","menschen","bereich","aufgaben","unserer","arbeitsgruppe","massnahmen","regelungen","bund","unserer","unserer","unserer","massnahmen","aufgabe","bedeutung","förderung","verbesserung","müssen","insbesondere","insbesondere","krebsforschung","aufgabe","dabei","erfahrungen","wichtig","umwelt","bereichen","insbesondere","begrüssen","probleme","müssen","massnahmen","richtlinien","bedeutung","probleme","müssen","forschung","entwicklung","technologie","riesenhuber","grundlagenforschung","bericht","entwicklung","kommission","wissenschaft","technologie","wissenschaft","medizinprodukte","zukunft","raumfahrt","technologien","bereich","informations","forschungs","bereich","bildung","stiftung","bereich","bereich","bereich","enquetekommission","nachhaltigkeit","beispiel","antrag","wettbewerb","nanotechnologie","innovationen","deutschland","antrag","reach","markt","airbus","müssen","deutschland","nachhaltige","wirtschaft","müssen","wirtschaft","nachhaltigkeit","wandel","mittelstand","müssen","telekom","müssen","digitale","digitale","unternehmen","innovationen","digitalen","agenda","digitalen","digitalen","ländlichen","digitale","digitale","innovation","forschung","digitale"
"6","ausschuss","ausschuss","lösung","darauf","darauf","müssen","auffassung","lösung","gesetzentwurf","durchaus","einzelnen","kreditinstitute","bedeutung","schon","entwurf","einzelnen","gebiet","nachdruck","gebiet","bedeutung","bereich","beteiligten","grundlage","müssen","wirtschaftlichen","grossen","bedeutung","wirtschaftlichen","unsere","bedeutung","bereich","bedeutung","verbesserung","unserer","gesetz","bundesregierung","gebiet","gesetzes","gesetzes","entwurf","regelungen","bedeutung","regelungen","verbesserung","entwurf","verbesserung","müssen","jedoch","allerdings","aufgabe","massnahmen","oft","probleme","neue","schliesslich","drittens","anfrage","bereits","unserer","bericht","gentechnologie","entwicklung","eureka","insbesondere","müssen","bedeutung","aufgaben","technologie","gentechnik","enquetekommission","bereich","gentechnologie","bereich","entwicklung","bereich","enquetekommission","gentechnik","forschungs","bereich","enquetekommission","technologie","maxplanckgesellschaft","rüttgers","wissenschaft","innovationspolitik","neue","bericht","entwicklung","wissenschaft","gentechnik","forschung","internet","globalisierung","finanzplatz","regulierung","wettbewerb","entwicklung","antrag","partnerschaften","nachhaltigkeit","hedgefonds","markt","wirtschaft","cebit","nachhaltigkeit","nachhaltigkeit","bereich","nachhaltigkeit","handwerk","müssen","wachstum","antrag","entwicklung","digitalen","breitbandausbau","nachhaltige","digitalen","wirtschaft","ländlichen","unternehmen","mittelstand","unternehmen","digitale","digitalen","digitalen","nachhaltigkeit","digitale","transformation"
"7","ganz","glaube","insbesondere","gerade","durchaus","kernenergie","durchaus","auffassung","gebiet","gesetzentwurf","schon","konzentrationsvorgänge","sozialhilfe","schwierigkeiten","schwierigkeiten","dabei","aufmerksamkeit","gegenwärtigen","gestaltung","massnahmen","bedeutung","besonders","ziel","bundesregierung","sicherung","schaffung","modernen","bedeutung","bedeutung","verbesserung","förderung","bereich","bedeutung","entwicklung","jedoch","deshalb","jedoch","bereich","kontrolle","bedeutung","entwurf","gesetzentwurf","verbesserung","bemühungen","bürger","insbesondere","bisher","massnahmen","massnahmen","massnahmen","dabei","deutlich","bundesregierung","insbesondere","bemühen","insbesondere","aufgabe","bereichen","bedeutung","massnahmen","flugsicherung","bedeutung","insbesondere","aufgaben","forschung","raumfahrt","bedeutung","aufgaben","riesenhuber","technik","wissenschaft","aids","müssen","wissenschaftler","industrie","bereich","forschungs","bericht","technologien","bereich","hannover","müssen","informationsgesellschaft","neue","wissenschaft","bereich","bedeutung","nachhaltigkeit","chancen","neue","bereich","empfehlungen","wichtige","forschung","chemikalien","neue","markt","innovationen","weltweit","wettbewerb","deutschland","deutschland","wettbewerb","wettbewerb","bereich","krise","wachstum","deutschland","tab","rohstoffe","wandel","herausforderungen","enquetekommission","nachhaltigkeit","internet","digitalisierung","nachhaltigkeit","ländlichen","mittelstand","tourismus","entwicklung","künstliche","innovationen","regionen","entwicklung","forschung","innovationen","nachhaltigkeit"
"8","möchte","problem","glaube","gewisse","glaube","gewisse","aufgabe","unserer","möglich","entwurf","besonders","bundesregierung","massnahmen","bundesregierung","einzelnen","weitgehend","gesetzentwurf","bedeutung","einzelnen","wirtschaft","massnahmen","aufgabe","müssen","technik","massnahmen","massnahmen","technischen","probleme","modernen","probleme","müssen","verbesserung","müssen","müssen","bereich","unserer","müssen","aufgabe","deshalb","aufgaben","probleme","insbesondere","gesetzentwurf","besonders","neue","verbessern","besonders","verbesserung","besonders","freien","aufgaben","möglichkeiten","möglichkeiten","aufgabe","einzelnen","dabei","deshalb","bericht","bereits","entwicklung","anfrage","probleme","gentechnologie","müssen","gesellschaft","gentechnologie","bericht","riesenhuber","risiken","technikfolgenabschätzung","faktenbericht","risiken","technologie","müssen","müssen","müssen","technologien","institute","technik","technologie","müssen","zukunft","mayer","deutschland","biotechnologie","förderung","ministerin","fusion","fell","wissenschaft","doha","chancen","gesellschaft","beispiel","antrag","antrag","vielfalt","forschung","hedgefonds","deutschland","entwicklung","müssen","markt","investitionen","müssen","subventionen","mittelstand","mittelstand","deutschland","deutschland","forschung","mittelstand","ländlichen","mittelstand","digitalisierung","nachhaltigkeit","müssen","forschungsförderung","forschung","digitale","müssen","ki","forschung","brauchen","blockchain","daten","entwicklung","innovationen"
"9","notwendig","möglich","durchaus","entwurf","gesetzentwurf","probleme","notwendig","besonders","begrüssen","begrüssen","begrüssen","umfang","fürsorge","entwicklung","gebiet","probleme","bisherigen","entwurf","wirtschaft","entwurf","jahren","sachverständigen","verantwortung","bereich","müssen","müssen","grundlage","unseres","massnahmen","massnahmen","aufgabe","unserer","daher","industrie","müssen","unseres","gesellschaft","förderung","regelungen","regelungen","besonders","probleme","müssen","legislaturperiode","freien","aufgaben","bürger","insbesondere","aufgabe","neue","unserer","besonders","unserer","möchte","gerade","bereits","bereits","bleiben","aufgabe","förderung","besonders","verbesserung","bedeutung","zusammenarbeit","entwicklung","aufgabe","möchte","zusammenarbeit","technik","catenhusen","technologie","entwicklung","kommission","arbeit","gentechnikgesetz","wissenschaftler","enquetekommission","müssen","forschungs","informationsgesellschaft","deutschland","forschungs","laermann","biotechnologie","nachhaltigkeit","entwicklung","gentechnik","neue","ministerin","geoinformationen","chancen","sozialen","medien","deutschland","deutschland","unternehmen","bereich","neue","deutschland","nachhaltige","regulierung","wirtschaft","entwicklung","wirtschaft","krise","deutschland","arbeitsplätze","wohlstand","mittelstand","mittelstand","ländlichen","deutschland","forschung","ländlichen","mittelstand","müssen","innovationen","forschung","müssen","nachhaltigkeit","innovationen","entwicklung","startups","forschung","investitionen","zukunft","innovation","globalen"
"10","ja","aufgabe","darauf","notwendig","gerade","notwendig","einzelnen","euratom","technischen","einzelnen","möglichst","folgen","begrüssen","gesetz","selbständigen","unserer","einzelnen","bereich","besonders","bereich","aufgabe","einzelnen","bedeutung","aufgabe","grossen","zukunft","unsere","verbesserung","aufgabe","entwurf","verbesserung","notwendig","menschen","bundesregierung","massnahmen","damen","verbesserung","gesellschaft","aufgabe","bürger","aufgaben","regelungen","wirtschaftskriminalität","dabei","legislaturperiode","regelungen","entwurf","verbessern","unserer","müssen","bundesregierung","bedeutung","besonders","massnahmen","möchte","einzelnen","wichtige","sollten","massnahmen","wichtige","sollten","bereichen","aufgaben","massnahmen","insbesondere","zusammenarbeit","besonders","raumfahrt","enquetekommission","wissenschaft","möchte","technologie","arbeit","empfehlungen","enquetekommission","vosen","bereich","forschungspolitik","wissenschaftlichen","müssen","technik","entwicklung","technologie","förderung","forschungs","forschungseinrichtungen","chancen","grundlagenforschung","bericht","deutschland","nachhaltige","nachhaltigen","chancen","rahmenbedingungen","rahmenbedingungen","raumfahrt","neue","nachhaltige","entwicklung","innovation","märkte","arbeitsplätze","kredite","neue","mittelständischen","wettbewerb","brüderle","müssen","förderung","demografischen","ressourcen","soziale","technologien","deutschland","agenda","welt","forschung","digitalen","regionen","afrika","ländlichen","forschung","entwicklung","künstliche","zukunft","intelligenz","nachhaltigkeit","entwicklung"
