"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","ja","ja","müssen","müssen","müssen","schon","müssen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","sagen","müssen","müssen","müssen","müssen","müssen","müssen","heute","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","sport","müssen","bereich","müssen","müssen","müssen","sport","müssen","müssen","sport","sport","müssen","müssen","sport","aids","bereich","sport","tourismus","bereich","verwaltung","tourismus","sport","bereich","enquetekommission","bereich","tourismus","stiftungen","tourismus","tourismus","tourismus","enquetekommission","tourismus","enquetekommission","tourismus","enquetekommission","raumfahrt","sport","öpp","bereich","petitionen","sport","sport","sport","sport","sport","sport","sport","engagement","menschen","tourismus","menschen","menschen","menschen","menschen","sport","sport","barrierefreiheit","sport","petitionen","behinderungen","sport","menschen","ehrenamt","thw","behinderungen","petitionen","behinderung"
"2","müssen","müssen","ja","ja","sagen","müssen","sagen","müssen","schon","problem","müssen","müssen","schon","müssen","müssen","müssen","müssen","sagen","schon","immer","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","müssen","sagen","sagen","heute","heute","heute","ganz","ganz","heute","heute","heute","mehr","heute","heute","heute","immer","immer","immer","immer","mehr","mehr","immer","unserer","mehr","mehr","bereich","immer","probleme","probleme","sollten","sport","sollten","bereich","müssen","bereich","tourismus","sport","aufgabe","bereich","müssen","technikfolgenabschätzung","technikfolgenabschätzung","müssen","müssen","neuen","bericht","müssen","entwicklung","entwicklung","entwicklung","sport","verwaltung","öffentlichen","bereich","bereich","enquetekommission","bereich","aufgaben","vereine","enquetekommission","engagement","expo","vereine","engagement","engagement","sport","enquetekommission","antrag","länder","tourismus","petitionsausschuss","wichtig","petitionsausschuss","doping","petitionen","tourismus","tourismus","thw","enquetekommission","petitionen","programme","barrierefreiheit","menschen","behinderung","sport","behinderung","petitionen","behinderung","menschen","behinderung","menschen","engagement","menschen","petitionsausschuss","engagement","stiftung","stiftung","petitionen","menschen","sport"
"3","sagen","sagen","schon","sagen","ja","dinge","schon","schon","müssen","möchte","schon","schon","müssen","schon","schon","schon","schon","schon","immer","sagen","möchte","immer","heute","heute","ganz","heute","ganz","ganz","möchte","heute","ganz","sagen","glaube","ganz","sagen","gesagt","ganz","ganz","mehr","heute","mehr","mehr","immer","mehr","mehr","unserer","mehr","immer","unserer","mehr","immer","immer","immer","mehr","probleme","mehr","bereich","probleme","sollten","mehr","sollten","bereich","probleme","müssen","probleme","bereich","unsere","bereich","bereich","bereich","bereich","bereich","bereich","entwicklung","tourismus","bereich","müssen","neuen","neuen","entwicklung","tourismus","ehrenamt","kommunen","verwaltung","kommunen","länder","stiftungen","expo","zentren","bereich","stiftung","engagements","bereich","sars","antrag","bereich","antrag","breitenkultur","partnerschaften","schulsport","sport","tourismus","wichtig","petitionen","engagement","petitionen","internet","petitionsausschuss","stammzellen","gesellschaft","behinderung","sport","tourismus","behinderungen","gesellschaft","menschen","alpen","menschen","behinderungen","petitionsausschuss","teilhabe","petitionen","petitionen","engagement","menschen","petition","stiftung","antidiskriminierungsstelle"
"4","schon","schon","sagen","schon","schon","mehr","ja","dinge","ja","müssen","möchte","möchte","immer","mehr","ja","möchte","immer","heute","ganz","heute","mehr","möchte","möchte","mehr","immer","ganz","heute","heute","immer","ganz","heute","ganz","ganz","sagen","heute","gar","immer","damen","immer","ganz","sagen","immer","sagen","sollten","heute","mehr","unserer","unserer","immer","unserer","mehr","sollten","sollten","immer","unserer","unserer","glaube","mehr","mehr","probleme","glaube","probleme","sollten","fremdenverkehr","aufgabe","glaube","sollten","probleme","entwicklung","aufgabe","aufgaben","neuen","fremdenverkehr","bereich","bereich","doping","ländern","bericht","bereich","aufgaben","staat","neuen","verwaltung","tourismus","öffentlichen","müssen","rahmenbedingungen","engagement","bereich","branche","stiftungen","sport","bericht","bereich","länder","wichtig","engagement","wichtig","aussengastronomie","sport","wichtig","engagement","bereich","spiele","bereich","petitionsausschuss","zusammenarbeit","engagement","gesellschaft","barrierefreien","sport","behinderungen","behinderung","gesellschaft","petitionsausschuss","doping","behinderung","petition","behinderung","menschen","behinderung","esport","behinderung","menschen","helferinnen","menschen","barrierefreiheit","menschen"
"5","ganz","ganz","ganz","immer","ganz","sagen","mehr","ja","mehr","schon","ja","dinge","möchte","ja","problem","mehr","dinge","dinge","sagen","schon","immer","schon","immer","immer","heute","sollten","schon","immer","heute","möchte","möchte","immer","sagen","schon","immer","immer","mehr","mehr","ganz","sagen","immer","damen","unsere","unsere","unserer","problem","heute","heute","problem","bereich","bereich","viele","unserer","unserer","mehr","bereich","immer","bereich","bereich","unserer","mehr","mehr","glaube","unserer","bereich","entwicklung","aufgaben","glaube","sport","entwicklung","entwicklung","aids","probleme","kommission","neuen","sport","neuen","bereich","entwicklung","aufgabe","bereich","ehrenamtlichen","sportförderung","aufgaben","kolleginnen","enquetekommission","tourismuswirtschaft","bereich","ehrenamt","bericht","enquetekommission","engagieren","wichtige","bedeutung","neue","raumfahrt","ehrenamtlich","antrag","öffentlichprivaten","thema","mittel","sportler","zusammenarbeit","olympischen","leitlinien","ehrenamtlichen","gesellschaft","technikfolgenabschätzung","mehrgenerationenhäuser","aktionsplan","behinderungen","engagement","gesellschaft","teilhabe","behinderungen","petitionen","doping","behinderungen","bundesteilhabegesetz","tourismus","gesellschaft","gemeinnützigkeit","petitionsausschuss","behinderungen","petition","petitionsausschuss","petition","behinderungen"
"6","glaube","immer","immer","vielleicht","mehr","immer","möchte","immer","glaube","glaube","glaube","ganz","mehr","immer","immer","ja","ganz","immer","möchte","möchte","ganz","ja","ganz","ganz","möchte","natürlich","gibt","möchte","ganz","immer","glaube","glaube","mehr","immer","gibt","unsere","damen","herren","sagen","immer","herren","unsere","ganz","unserer","diskussion","diskussion","gibt","sollten","bereich","sollten","sollten","unserer","vielleicht","probleme","herren","gerade","mehr","herren","finden","immer","sport","menschen","gerade","glaube","enquetekommission","unsere","glaube","aufgabe","glaube","aufgaben","enquetekommission","entwicklung","aufgaben","aufgabe","entwicklung","müssen","bericht","aufgabe","müssen","müssen","entwicklung","öffentlichen","öffentlichen","rahmenbedingungen","entwicklung","kolleginnen","bereich","tourismus","förderung","tourismuswirtschaft","engagement","bürgerschaftliches","wichtig","engagement","bericht","anfrage","bereich","bedeutung","wichtig","engagement","zusammenarbeit","ehrenamtlich","besonders","petitionsausschuss","wichtig","sports","bereich","petition","menschen","behinderung","gesellschaft","nada","teilhabe","inklusion","teilhabe","sports","sportler","petitionen","eingliederungshilfe","petition","inklusion","menschen","freiwilligendienste","games","helfer","sport","petitionsausschuss","bevölkerungsschutz"
"7","dinge","vielleicht","mehr","ganz","immer","ja","immer","mehr","gibt","mehr","immer","problem","heute","problem","heute","immer","möchte","mehr","mehr","wissen","schon","heute","mehr","schon","glaube","unsere","immer","schon","schon","glaube","immer","mehr","immer","mehr","mehr","müssen","sagen","glaube","damen","herren","damen","sagen","mehr","diskussion","viele","gibt","problem","ganz","heute","probleme","deutlich","bereich","bereich","problem","möchte","sollten","sollten","deutlich","zukunft","bereich","zukunft","unserer","aufgabe","bedeutung","aufgaben","unserer","mittel","entwicklung","aufgaben","wichtige","wichtig","sports","hilfe","enquetekommission","aufgabe","denke","aufgaben","aufgaben","ländern","bedeutung","müssen","aufgaben","bedeutung","neuen","rahmenbedingungen","öffentlichen","aufgaben","förderung","ehrenamtlich","förderung","vereinen","bürgerschaftlichen","unterstützen","bericht","ländern","tourismus","wichtig","sports","öffentlicher","bedeutung","bereich","engagements","petitionsausschuss","engagement","menschen","menschen","menschen","sports","tab","tourismus","jugendtourismus","teilhabe","barrierefreiheit","tourismus","behinderung","sportler","integrationsfirmen","petitionsausschuss","teilhabe","sport","sport","athleten","engagieren","invictus","bevölkerungsschutz","stiftung","sport","leitung"
"8","vielleicht","dinge","gar","dinge","gerade","ganz","gar","glaube","vielleicht","gar","mehr","eben","gar","möchte","gar","problem","heute","möchte","gibt","mehr","heute","ganz","gibt","unsere","schon","immer","glaube","ja","mehr","natürlich","schon","schon","sollten","gar","schon","sagen","herren","sollten","tun","damen","ganz","gerade","gerade","sagen","sollten","heute","überhaupt","probleme","thema","gibt","unsere","probleme","deutlich","möchte","glaube","problem","bereichen","problem","probleme","oft","probleme","sollten","unserer","möchte","menschen","entwicklungen","probleme","möchte","bericht","kommission","aufgabe","enquetekommission","entwicklung","aufgaben","förderung","aufgabe","bedeutung","länder","förderung","neuen","dienst","engagement","staat","öffentlichen","staat","sowie","bedeutung","neue","rahmenbedingungen","burgbacher","bereich","kolleginnen","ländern","förderung","wichtige","tourismuswirtschaft","bedeutung","länder","petitionsrecht","wichtige","tourismus","stiftungen","mittel","petition","internet","engagement","tourismus","enquetekommission","netzneutralität","wandel","engagement","ehrenamt","behinderungen","sport","sport","olympischen","tourismus","arbeit","sports","arbeit","anfrage","behinderungen","gemeinnützigkeit","behinderung","behinderungen","teilhabe","vereine","diskriminierung"
"9","heute","gar","vielleicht","gerade","gar","glaube","dinge","möchte","immer","immer","dinge","ja","dinge","heute","mehr","heute","problem","ganz","sollten","ganz","gibt","gibt","sollten","natürlich","sollten","möchte","unsere","glaube","unsere","mehr","mehr","möchte","natürlich","gibt","damen","ja","gar","immer","herren","unsere","lassen","herren","diskussion","damen","leider","sagen","geht","gibt","gerade","gerade","problem","problem","damen","sollten","damen","immer","damen","unserer","gerade","einzelnen","aufgabe","glaube","denke","probleme","entwicklung","diskussion","menschen","aufgaben","wissenschaft","zusammenarbeit","tourismus","bericht","aufgabe","neuen","hilfe","länder","denke","müssen","bedeutung","öffentlichen","ländern","müssen","massnahmen","förderung","aufgaben","förderung","volksfeste","rahmenbedingungen","soziokultur","gäste","förderung","bericht","arbeit","kolleginnen","bund","wassertourismus","ländern","thema","antrag","entwicklung","projekte","engagieren","bedeutung","thema","thema","gesellschaft","sportanlagen","zusammenarbeit","förderung","behinderungen","jugendreisen","ehrenamtlich","antrag","unbehindertenrechtskonvention","arbeit","spiele","integrationsbetriebe","tab","betroffenen","bürgerschaftliches","bundesteilhabegesetz","special","behinderungen","petitionen","engagement","behinderung","behinderung","bundes"
"10","immer","gibt","dinge","möchte","vielleicht","möchte","glaube","ganz","gar","ja","heute","mehr","problem","gar","glaube","dinge","mehr","problem","vielleicht","gibt","gut","mehr","unsere","gibt","natürlich","gesagt","sollten","mehr","gibt","schon","natürlich","gibt","möchte","glaube","sollten","viele","gesagt","sagen","schon","sollten","sollten","lassen","unserer","deutlich","unsere","unsere","herren","damen","gibt","deutlich","geht","möchte","möchte","aufgabe","sollten","notwendig","vielleicht","gerade","sehen","aufgabe","immer","gerade","unsere","menschen","unserer","möchte","enquetekommission","enquetekommission","probleme","probleme","wichtige","aufgabe","ländern","bedeutung","fremdenverkehr","bedeutung","länder","ländern","bundesländern","enquetekommission","neuen","ehrenamtliche","rahmenbedingungen","ländern","sowie","unserer","organisationen","gesellschaft","neue","regionen","tourismuswirtschaft","staat","gesellschaft","stiftungen","bereich","thema","tourismus","ländern","glaube","länder","müssen","sports","thema","bereich","bürgerschaftlichen","petition","bedeutung","petenten","engagieren","internet","antrag","inklusion","design","arbeit","folter","petitionsausschuss","alpenkonvention","unbehindertenrechtskonvention","behinderte","bericht","leben","petition","wahlrecht","barrierefreiheit","ehrenamtlichen","betreuer","organisationen","stärkung"
