"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","bundeskanzler","saar","staaten","saar","abkommen","staaten","saar","europäischen","vertrag","freihandelszone","saar","europäischen","ewg","europäischen","entwicklungshilfe","europäischen","entwicklungshilfe","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","ewg","gemeinschaft","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","entwicklungspolitik","europäischen","gemeinschaft","gemeinschaft","gemeinschaft","entwicklungshilfe","europäischen","europäischen","europäischen","europäischen","konferenz","europäischen","afrika","nationen","europäischen","europäischen","afrika","welt","welt","entwicklungspolitik","europäischen","entwicklungspolitik","europäischen","entwicklungsländern","entwicklungspolitik","europäischen","südafrika","entwicklungsländer","welt","südafrika","südafrika","südafrika","europäischen","südafrika","südafrika","namibia","nationen","auswärtigen","irak","krieg","türkei","nationen","menschenrechte","nationen","türkei","nationen","türkei","menschenrechte","china","menschenrechte","iran","entwicklungspolitik","menschenrechte","kosovo","kosovo","kosovo","menschenrechte","kosovo","afghanistan","nato","irak","krieg","afghanistan","afrika","ukraine","china","ukraine","iran","nationen","afrika","russland","kosovo","nato","iran","abrüstung","israel","saudiarabien","russland","kosovo","russland","syrien","ukraine","russland","russland","türkei","türkei","türkei","russland","syrien","russland","russland","türkei","türkei","russland","russland","ukraine"
"2","vertrag","bundeskanzler","abkommen","statut","beziehungen","vertrag","frankreich","vertrag","frankreich","europäischen","saarland","frankreich","europäischen","entwicklungshilfe","europäischen","ewg","entwicklungsländern","zusammenarbeit","entwicklungsländern","ministerrat","entwicklungspolitik","parlament","kommission","entwicklungshilfe","europäischen","europäischen","europäische","gemeinschaft","zusammenarbeit","gemeinschaft","europäische","gemeinschaft","gemeinschaft","zusammenarbeit","europäischen","europäischen","europäischen","eppler","europa","gemeinschaft","europa","europa","nairobi","europa","entwicklungsländer","vereinten","libanon","europäische","europäischen","entwicklungsländer","entwicklungshilfe","welt","gemeinschaft","welt","gemeinschaft","welt","zusammenarbeit","gemeinschaft","nicaragua","welt","südafrika","europäischen","welt","europäischen","staaten","welt","welt","südafrika","vereinten","südafrika","nationen","irak","menschenrechte","vereinten","nationen","vereinten","entwicklungspolitik","vereinten","entwicklungspolitik","nationen","menschenrechte","afrika","türkei","türkei","kosovo","menschenrechte","türkei","menschenrechte","entwicklungszusammenarbeit","menschenrechte","terrorismus","internationalen","afghanistan","nato","terrorismus","afghanistan","russland","menschenrechte","afghanistan","menschenrechte","israel","russland","pakistan","china","russland","kosovo","menschenrechte","menschenrechte","ägypten","menschenrechte","iran","syrien","iran","russland","syrien","ukraine","syrien","syrien","syrien","türkei","türkei","menschenrechte","iran","syrien","syrien","türkei","israel","russland"
"3","bundesregierung","frankreich","vertrag","französischen","staaten","verhandlungen","vertrag","wirtschaftsgemeinschaft","europäischen","saar","saarländischen","saar","entwicklungshilfe","ewg","entwicklungsländern","entwicklungshilfe","europäischen","ewg","entwicklungshilfe","europäische","europäische","parlaments","gemeinschaft","ewg","gemeinschaft","entwicklungshilfe","entwicklungshilfe","ewg","eppler","zusammenarbeit","gemeinschaft","währungsunion","entwicklungshilfe","gemeinschaft","europäische","argentinien","entwicklungshilfe","europäischen","gemeinschaft","europa","gemeinschaft","gemeinschaft","rico","gemeinschaft","entwicklungspolitik","afrika","gemeinschaft","gemeinschaft","gemeinschaft","gemeinschaft","entwicklungspolitik","entwicklungsländer","welt","entwicklungshilfe","zusammenarbeit","entwicklungspolitik","europäischen","williamsburg","region","europäischen","entwicklungsländer","gemeinschaft","entwicklungsländer","sanktionen","gemeinschaft","nicaragua","entwicklungsländer","welt","namibia","nationen","welt","kuwait","nationen","welt","vereinten","welt","menschenrechte","entwicklungspolitik","auswärtigen","vereinten","auswärtigen","entwicklungspolitik","menschenrechte","entwicklungszusammenarbeit","nationen","nato","vereinten","afrika","afrika","vereinten","mazedonien","israel","terrorismus","kongo","menschenrechte","staaten","china","vereinten","entwicklungszusammenarbeit","nationen","vereinten","darfur","menschenrechte","staaten","staaten","menschenrechte","aussenpolitik","kosovo","region","entwicklungszusammenarbeit","staaten","nationen","russland","syrien","ukraine","türkei","is","russland","russland","humanitäre","russland","türkei","nato","russland","russland","menschenrechte","ukraine","putin"
"4","deutschland","europäischen","bundeskanzler","bundeskanzler","bundesrepublik","saar","französischen","europäische","verträge","wirtschaftsgemeinschaft","saarländische","bundesrepublik","efta","vertrag","entwicklungsländer","gemeinsamen","zusammenarbeit","gemeinsamen","entwicklungsländer","parlament","ewg","europäische","ewg","gemeinschaft","kommission","ewg","ewg","gemeinschaften","wirtschaftliche","ewg","ewg","wirtschafts","europäischen","europäische","ewg","pompidou","entwicklungsländer","gemeinschaft","europäische","europäische","europäische","entwicklungspolitik","puerto","europäische","staaten","staaten","staaten","europa","staaten","staaten","europäischen","zusammenarbeit","zusammenarbeit","zusammenarbeit","entwicklungsländern","entwicklungsländer","entwicklungshilfe","entwicklungsländer","afrika","nicaragua","dritten","welt","europäischen","chile","nicaragua","entwicklungsländer","kurden","menschenrechte","welt","vereinten","vereinten","nationen","entwicklungspolitik","jugoslawien","welt","türkei","afrika","welt","staatsminister","china","welt","auswärtigen","china","auswärtigen","vereinten","milosevic","menschenrechte","russland","auswärtigen","mazedonien","internationalen","staaten","krieg","nationen","russland","afrikanischen","afghanistan","nationen","kosovo","staaten","region","iran","china","russland","menschenrechte","staaten","entwicklungszusammenarbeit","aussenpolitik","arabischen","aussenpolitik","vereinten","staaten","türkei","ruanda","irak","waffen","saudiarabien","türkischen","is","ukraine","region","syrien","menschenrechte","iran","hongkong","iran","russischen","krieg"
"5","abkommen","bundesregierung","vereinigten","abkommen","bundeskanzler","europäischen","saarbevölkerung","gemeinsamen","französischen","frankreich","europäischen","gemeinsamen","länder","staaten","zusammenarbeit","wirtschaftsgemeinschaft","entwicklungspolitik","wirtschaftsgemeinschaft","deutschen","wirtschaftsgemeinschaft","wirtschaftsgemeinschaft","gemeinschaften","europäische","europäische","europäische","beitritt","zusammenarbeit","kommission","ewg","kommission","zusammenarbeit","europäische","entwicklungsländer","europa","europa","gipfelkonferenz","entwicklungspolitik","zusammenarbeit","entwicklungshilfe","zusammenarbeit","portugal","europäische","entwicklungsländer","staaten","welt","europäischen","welt","staaten","welt","europäischen","staaten","entwicklungsländern","internationalen","entwicklungsländern","welt","dritten","gemeinschaft","stuttgart","salvador","zusammenarbeit","afrika","nationen","entwicklungspolitik","welt","entwicklungsländer","staaten","staaten","iran","südafrika","welt","kuwait","jugoslawien","vereinten","türkei","hilfe","menschenrechte","nationen","menschenrechte","welt","welt","iran","staaten","auswärtigen","irak","entwicklungspolitik","krieg","nationen","kuba","jugoslawien","nationen","welt","frieden","internationalen","afrika","irak","internationalen","terrorismus","region","entwicklungspolitik","vereinten","kongo","staaten","afrika","israel","pakistan","indien","aussenminister","iran","menschenrechte","syrien","nationen","vereinten","menschenrechte","staaten","hilfe","region","nationen","humanitäre","irak","hilfe","irak","vereinten","saudiarabien","region","vereinten","belarus","menschenrechte","russische"
"6","frankreich","französischen","bundesrepublik","frankreich","vertrag","französischen","verträge","verträge","gemeinsamen","französischen","schneider","ewg","zusammenarbeit","konvention","entwicklungspolitik","gemeinschaft","entwicklungsländer","kommission","zusammenarbeit","kommission","parlament","gemeinschaft","verträge","entwicklungspolitik","kennedyrunde","entwicklungsländern","gemeinschaft","zusammenarbeit","europäische","gipfelkonferenz","hallstein","zusammenarbeit","entwicklungsländern","konferenz","währungsunion","argentinischen","europäische","wirtschaftliche","zusammenarbeit","konferenz","vereinigten","entwicklungshilfe","europäischen","zusammenarbeit","europäischen","entwicklungsländer","afrika","vietnam","europa","entwicklungspolitik","zusammenarbeit","europäischen","nationen","entwicklungsländer","entwicklungsländer","handwerk","welt","europäische","welt","gemeinschaft","guatemala","vereinten","staaten","akte","welt","sanktionen","bundesregierung","entwicklungsländer","türkei","khmer","staaten","saddam","jugoslawien","china","jugoslawien","somalia","china","afrika","menschenrechte","lateinamerika","chinesischen","china","nationen","algerien","staaten","jugoslawien","osze","krieg","internationalen","nato","krieg","afghanistan","nationen","irak","internationalen","region","menschenrechte","entwicklungszusammenarbeit","vereinten","usa","libanon","afrikanischen","aussenpolitik","streumunition","region","internationalen","haiti","entwicklungszusammenarbeit","libyen","nationen","menschenrechte","waffen","beziehungen","afrika","humanitäre","hilfe","vereinten","erdogan","hilfe","frieden","is","nationen","türkei","aussenminister","nationen","nationen","frieden","russischen"
"7","europäischen","bundesrepublik","londoner","bundesrepublik","vereinigten","bundesrepublik","saarland","staaten","verhandlungen","saarlandes","frankreich","europäische","bundeswirtschaftsminister","lücker","staaten","europa","staaten","entwicklungshilfe","parlaments","parlaments","ministerrat","fusion","brüssel","kommission","gemeinsamen","entwicklungspolitik","mitgliedstaaten","handelspolitik","entwicklungshilfe","konferenz","europa","europa","währungsunion","ewg","erweiterung","europäische","zusammenarbeit","jugoslawien","vereinigten","kommission","versammlung","entwicklungsländer","gemeinschaft","welt","internationalen","welt","europa","nationen","dritten","entwicklungshilfe","dritten","entwicklungshilfe","mitgliedstaaten","dritten","hilfe","armut","dritten","europa","el","staaten","entwicklungsländern","zusammenarbeit","internationalen","europäische","europäische","afrika","apartheid","zusammenarbeit","menschenrechte","regierung","menschenrechte","kurden","welt","menschenrechte","türkei","uno","vereinten","gorazde","nationen","auswärtigen","tibet","kinkel","indonesien","menschenrechte","milosevic","flüchtlinge","krieg","staaten","aussenpolitik","milosevic","nato","welt","frieden","vereinten","nationen","moldau","irak","aufhebung","zusammenarbeit","russland","afghanistan","menschenrechte","staaten","menschenrechte","entwicklungszusammenarbeit","region","atomwaffen","staaten","israel","entwicklungspolitik","region","israel","china","aussenpolitik","waffen","syrien","irak","hilfe","humanitäre","waffen","südsudan","aussenpolitik","usa","ukraine","china","vereinten","russische","waffen"
"8","deutschen","vertrag","verhandlungen","französische","bundesregierung","frankreich","europäischen","gemeinschaft","vertrages","markt","saarlandes","gemeinschaft","freihandelszone","verhandlungen","länder","europäische","ewg","mitgliedstaaten","europäische","jugendwerk","bundesregierung","ministerrat","wirtschaftsgemeinschaft","brüssel","gemeinschaften","grossbritannien","kommission","europäische","mitgliedstaaten","haag","integration","union","zusammenarbeit","wirtschafts","zusammenarbeit","offergeld","wirtschaftliche","gutachten","einigung","neun","staaten","zusammenarbeit","welt","europas","befreiungsbewegungen","entwicklungspolitik","europäische","vereinten","zusammenarbeit","internationalen","gemeinschaft","dritten","vereinten","nichtregierungsorganisationen","internationalen","entwicklungshilfe","europäische","welt","staaten","dritten","zusammenarbeit","europäische","dritten","gemeinschaft","entwicklungsländern","apartheid","chile","nationen","staaten","entwicklungshilfe","krieg","türkei","irak","südafrika","auswärtigen","entwicklungspolitik","entwicklungszusammenarbeit","auswärtigen","internationalen","staaten","entwicklungspolitik","aussenminister","vereinten","nationen","internationalen","nationen","internationalen","entwicklungszusammenarbeit","bmz","nordkorea","nationen","terrorismus","nato","armut","vereinten","sudan","internationalen","beziehungen","region","belarus","staaten","china","afghanistan","entwicklungszusammenarbeit","israel","kenia","internationalen","nato","waffen","vereinten","entwicklungszusammenarbeit","region","region","flüchtlinge","flüchtlinge","saudiarabien","waffen","libanon","aleppo","krieg","waffen","iran","region","aussenpolitik","israel","china","sowjetunion","nato"
"9","schumanplan","saargebiet","erklärung","saargebiet","französischen","bundesregierung","französische","markt","saar","saarländischen","französischen","französischen","entwicklungsländer","europäische","ewg","mitgliedstaaten","wirtschaftsgemeinschaft","brüssel","bundesrepublik","nationalen","zusammenarbeit","nationalen","ministerrat","agrarfinanzierung","beitritt","verhandlungen","gemeinschaften","mitgliedstaaten","gemeinschaft","europäische","haag","politischen","europäische","staaten","mitgliedstaaten","zusammenarbeit","eppler","europäische","entwicklungspolitik","paris","zusammenarbeit","welt","narjes","entwicklungsländer","entwicklungsländern","entwicklungsländern","nationen","welt","nationen","nationen","entwicklungsländer","gemeinschaft","regierungen","hilfe","picotrac","zusammenarbeit","entwicklungspolitischen","entwicklungsländern","gemeinschaft","entwicklungsländern","nicaragua","europa","terrorismus","namibia","saudiarabien","chile","entwicklungspolitik","entwicklungsländern","zusammenarbeit","entwicklungspolitik","golf","welt","kurden","afrika","humanitäre","hilfe","auswärtigen","entwicklungsländern","amt","uno","staaten","indonesien","staaten","kosovo","auswärtigen","vereinten","nato","china","todesstrafe","krieg","staaten","afrika","menschenrechte","entwicklungspolitik","entwicklungszusammenarbeit","menschenrechte","entwicklungszusammenarbeit","lateinamerika","nationen","entwicklungszusammenarbeit","aussenpolitik","simbabwe","vereinten","lateinamerika","indien","regierung","kosovo","region","vereinten","welt","russland","menschenrechte","bahai","partnerschaft","region","staaten","region","krieg","krieg","syrien","humanitäre","krieg","kosovo","irak","region","nawalny","türkei","frieden"
"10","französischen","saarfrage","deutschen","paris","gemeinschaft","gemeinsamen","bundesrepublik","freihandelszone","staaten","europäische","eingliederung","staaten","europa","gemeinsamen","oecd","kommission","bundesrepublik","europäische","auswärtigen","ewg","ewgkommission","wahlen","luxemburg","kennedyrunde","brüssel","kommission","grossbritannien","gemeinsamen","kapitalhilfe","mitgliedstaaten","erweiterung","integration","europa","mitgliedstaaten","wirtschafts","währungsunion","europa","minister","eppler","regierungschefs","vietnam","bahr","todenhöfer","entwicklungshilfe","südlichen","europa","vereinten","parlament","entwicklungshilfe","entwicklungsländern","afrikanischen","ärmsten","entwicklungsländern","europäischen","abkommen","entwicklungspolitischen","europa","rat","zusammenarbeit","entwicklungspolitik","warnke","spanien","zusammenarbeit","menschenrechtsverletzungen","chile","hilfe","internationalen","vereinten","staatsminister","roten","internationalen","vereinten","china","entwicklungsländern","somalia","entwicklungsländern","pkk","staaten","krieg","chinesischen","beziehungen","nationen","beziehungen","staaten","entwicklungszusammenarbeit","türkei","osttimor","tschetschenien","nationen","region","auswärtigen","nationen","welt","internationalen","staaten","nationen","russischen","staaten","unterstützung","erler","entwicklungszusammenarbeit","regierung","nationen","afrika","internationalen","entwicklungszusammenarbeit","staaten","nahen","tunesien","staaten","waffen","entwicklungszusammenarbeit","staaten","waffen","türkei","humanitäre","krieg","libyen","aussenpolitik","menschenrechte","nationen","kosovo","staaten","china","humanitäre","staaten","krieg","moldau"
"11","bundesrepublik","montanunion","regierung","staaten","verhandlungen","auswärtigen","verhandlungen","europa","bundesregierung","verhandlungen","bundesrepublik","wirtschaftlichen","staaten","ländern","hilfe","wirtschaftliche","europäische","wirtschaftliche","bundesregierung","vertrag","bundesrepublik","kommission","gemeinsamen","ewgkommission","vertrag","europäische","wirtschaftsgemeinschaft","erweiterung","bundesregierung","wirtschaftliche","wirtschaftliche","mitgliedstaaten","kiep","wirtschaftliche","gemeinschaften","erweiterten","welt","bundesrechnungshof","usa","wirtschaftliche","fonds","entwicklungsländern","entwicklungsländern","parlament","südafrika","gemeinschaft","währungssystem","europas","südafrika","dritten","internationalen","länder","iran","entwicklungspolitischen","echternach","global","wirtschaftliche","zusammenarbeit","entwicklungshilfe","usa","staaten","staaten","entwicklungshilfe","staaten","bundesregierung","zusammenarbeit","entwicklungsländern","afghanistan","brasilien","staaten","saddam","hussein","staaten","entwicklungspolitik","staaten","aussenminister","kurden","un","hoyer","dialog","bundesregierung","entwicklungsländern","bundesregierung","welt","indien","militärischen","flüchtlinge","türkei","entwicklungspolitik","internationalen","usa","krieg","vereinten","entwicklungszusammenarbeit","entwicklungspolitik","internationale","vereinten","waffen","internationalen","china","nahen","nationen","aussenminister","vereinten","aussenminister","russland","welt","hamas","welt","arabischen","südsudan","auswärtigen","kosovo","eu","menschenrechte","menschenrechte","osze","menschenrechte","erdogan","kosovo","vereinten","staaten","hisbollah","menschenrechte","frieden","usa","putin","sanktionen"
"12","saar","staaten","auswärtigen","verträge","abkommens","beziehungen","bundesregierung","montanunion","bundesrepublik","ewg","saarbevölkerung","saarlandes","europäische","entwicklungsländer","wirtschaftsgemeinschaft","brüssel","wirtschaftliche","entwicklungsländern","ministerrat","gemeinsamen","gemeinsamen","ewg","kennedyrunde","parlament","wirtschaftsgemeinschaft","gemeinschaften","verhandlungen","beitritt","gemeinsame","gemeinsamen","gemeinschaften","gemeinschaften","eppler","währungsunion","staaten","brüssel","entwicklungsländern","mitgliedstaaten","europas","rat","mitgliedstaaten","staaten","staaten","entwicklungspolitik","schwarzen","entwicklungshilfe","entwicklungsländer","zusammenarbeit","entwicklungsländer","vereinten","entwicklungsländern","hilfe","entwicklungspolitik","gemeinschaft","europäische","handwerks","verpflichtungsermächtigungen","unctad","europäischen","währungsfonds","usa","afrika","nicaragua","menschenrechte","prensa","entwicklungshilfe","irak","dritten","region","brasilien","bundesregierung","menschenrechte","internationalen","staaten","entwicklungspolitik","menschenrechtsverletzungen","zusammenarbeit","ruanda","entwicklungsländer","kinkel","entwicklungszusammenarbeit","menschenrechtspolitik","kinkel","vereinten","welt","internationalen","staaten","christen","zusammenarbeit","auswärtigen","vereinten","mazedonien","staaten","usa","internationale","regierung","tschetschenien","waffenembargos","afrika","afghanistan","iran","vereinten","usa","iran","abrüstung","china","vereinten","vereinten","nationen","israel","eu","welt","serbien","türkei","aussenpolitik","vereinten","russland","menschen","nationen","region","krieg","welt","frieden","usa","nato","aussenpolitik","aussenpolitik","aussenpolitik"
"13","verhandlungen","deutschland","französischen","verhandlungen","auswärtigen","regierung","saargebiet","euratom","regierung","vertrag","bundesgebiet","saarland","verhandlungen","agrarpolitik","kalbitzer","zusammenarbeit","kapitalhilfe","ministerrat","brüssel","assoziierung","brüssel","rechte","gemeinschaften","entwicklungsländern","mitgliedstaaten","grossbritanniens","entwicklungsländern","ministerrat","regierungen","frankreich","staaten","staaten","ewg","entwicklungsländern","integration","unseren","mitgliedstaaten","todenhöfer","staaten","mitgliedstaaten","bündnis","todenhöfer","industrieländer","portugal","gemeinschaft","dritten","befreiungsbewegungen","rat","europäische","hilfe","afrika","staaten","bemühungen","köhler","wirtschaftliche","nationen","lenz","präsidentschaft","südlichen","entwicklungshilfe","entwicklungspolitik","dritten","afrika","apartheid","zusammenarbeit","entwicklungsländern","dritten","weltbank","weltbank","staatsminister","region","frieden","entwicklungshilfe","konferenz","menschenrechtsverletzungen","staaten","menschenrechtsverletzungen","entwicklungsländer","vereinten","aussenminister","kinkel","türkei","aussenpolitik","zusammenarbeit","gewalt","mazedonien","entwicklungsländer","region","israel","entwicklungsländern","menschenrechte","usa","saddam","welt","kampf","simbabwe","wahlen","internationalen","krieg","kongo","menschenrechte","usa","auswärtigen","serbien","usa","hilfe","iran","nationen","staaten","region","ägypten","mali","waffen","frieden","isis","irak","menschenrechte","staaten","aussenminister","vereinten","iran","region","humanitäre","frieden","krieg","aussenminister","staaten","europa"
"14","verträge","verträge","europäischen","friedensvertrag","regierung","vereinigten","beziehungen","frankreich","beziehungen","bundesrepublik","vertrag","verhandlungen","wirtschaftsgemeinschaft","verträge","europäische","brüsseler","wischnewski","staaten","parlament","bundesrepublik","entwicklungshilfe","mitgliedstaaten","parlament","wirtschaftsgemeinschaft","grossbritanniens","england","stockholm","grossbritannien","kommission","entwicklungshilfe","entwicklungsländer","ewg","wirtschafts","internationalen","kommission","paris","währungsunion","entwicklungspolitik","europäer","vereinigten","usa","europas","delegation","afrika","todenhöfer","zusammenarbeit","entwicklungsländern","klepsch","unabhängigkeit","olympischen","bank","köhler","staaten","entwicklungspolitische","kakaoabkommen","kleingewerbeförderung","präsidentschaft","dritten","europäische","europa","äthiopien","portugal","entwicklungsländern","bundesregierung","la","menschenrechte","weltbank","wirtschaftliche","entwicklungsländer","menschenrechte","militärische","israel","türkischen","uno","china","jugoslawien","welt","uno","kurden","konferenz","dialog","iran","uboote","entwicklungshilfe","staatengemeinschaft","militärische","entwicklungspolitik","zusammenarbeit","staaten","entwicklungszusammenarbeit","internationale","kosovo","internationale","staaten","usa","welt","nationen","nato","afghanischen","aussenpolitik","krieg","krieg","entwicklungszusammenarbeit","auswärtigen","aussenpolitik","internationale","auswärtigen","zusammenarbeit","serbien","bmz","politischen","humanitäre","libanon","humanitäre","nationen","flüchtlinge","hilfe","region","menschenrechte","nato","nato","erdogan","israel","maas","menschenrechte","syrien","beziehungen","menschenrechte"
"15","deutsche","evg","abkommens","vertrag","bundeskanzlers","verträge","auswärtigen","vertragswerk","regierungen","saarland","saarbrücken","markt","kommission","entwicklungsländern","bundesregierung","januar","öffentlichkeitsarbeit","entwicklungsländer","fritz","gemeinschaft","gemeinschaften","brüssel","verhandlungen","verhandlungen","ministerrat","erweiterung","frankreich","frankreich","gemeinschaften","eppler","union","stufenplan","wirtschaftliche","bundesregierung","direktwahl","französischen","chile","kredit","wirtschafts","aussenminister","aussenminister","tindemans","internationalen","internationalen","europa","swapo","südafrika","flüchtlinge","todenhöfer","zusammenarbeit","europäische","wirtschaftliche","entwicklungsländer","länder","internationale","bindig","entwicklungsländern","belgrad","grenada","internationalen","entwicklungshilfe","eg","menschenrechte","entwicklungsländer","südafrika","vereinten","nationen","menschenrechtsverletzungen","internationalen","türkei","hussein","golf","zusammenarbeit","hilfe","iran","krieg","asien","waffen","waffen","entwicklungspolitik","auswärtige","welt","dialog","entwicklungsländern","aussenpolitik","humanitäre","aussenminister","internationalen","kuba","staaten","mandat","menschenrechte","mazedonien","simbabwe","kunduz","vereinten","iran","welt","entschuldung","kuba","afrika","entwicklungszusammenarbeit","region","nationen","krieg","auswärtigen","honduras","serbien","kosovo","niebel","zusammenarbeit","aussenpolitik","welt","hilfe","südsudan","menschen","staaten","nato","vereinten","nationen","saudiarabien","china","aussenpolitik","is","staaten","bergkarabach","kosovo","russlands"
