"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","lastenausgleich","vertriebenen","vertriebenen","vertriebenen","flüchtlinge","vertriebenen","entschädigung","kather","staatsvertrag","flüchtlinge","vertriebenen","pferde","kirche","reichsbank","flüchtlinge","unterhaltshilfe","flüchtlinge","flüchtlinge","wiedergutmachung","entschädigung","flüchtlinge","novelle","flüchtlinge","novelle","novelle","novelle","novelle","entschädigung","novelle","vertriebenen","herold","novelle","petitionen","flüchtlinge","absatzfonds","staatsangehörigkeit","flüchtlinge","heizöl","energie","kernenergie","energieprogramm","kernenergie","forschung","kernenergie","kernenergie","energiepolitik","kernenergie","kernenergie","kohle","kohle","kernenergie","kernenergie","forschung","kernenergie","forschung","kohle","mikroelektronik","technik","forschung","kernenergie","forschung","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","forschung","forschung","forschung","tschernobyl","kernenergie","grossforschungseinrichtungen","forschung","forschung","forschung","forschung","kernenergie","raumfahrtindustrie","kernenergie","energien","kernenergie","energien","merkel","ausstieg","ukraine","energien","energien","transporte","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energiewende","energien","energiewende","energien","energien","energiewende","energien","erneuerbaren","klimaschutz","energiewende","klimaschutz","co","co","klimaschutz","klimaschutz","klimaschutz","klimaschutz","energien"
"2","vertriebenen","eingliederung","eingliederung","eingliederung","ansprüche","flüchtlinge","geschädigten","geschädigten","schuldner","rückführung","flüchtlinge","pferden","reichsbank","vertriebenen","novelle","rehs","entschädigung","zone","urheber","flüchtlinge","novelle","wiedergutmachung","vertriebenen","mrd","flüchtlinge","entschädigung","flüchtlinge","flüchtlinge","entschädigung","novelle","schriftsteller","gleichstellung","eingaben","petitionen","cma","rundfunk","vertriebenen","kohle","industrie","energieversorgung","kohle","kohle","technologie","forschung","energiepolitik","forschung","energiepolitik","kohle","kernenergie","kernenergie","kohle","enquetekommission","technologie","entsorgung","enquetekommission","kommission","snr","forschung","technologie","kohle","kernenergie","eureka","tschernobyl","tschernobyl","kohle","kohle","brüter","energien","kernenergie","gentechnik","kernenergie","kernenergie","energiepolitik","forschung","gentechnik","technologie","kernenergie","kernenergie","energien","luft","tschernobyl","stromeinspeisungsgesetz","gorleben","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","trittin","trittin","kernenergie","energiepolitik","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","steinkohle","erneuerbaren","energiepolitik","erneuerbaren","klimaschutz","klimaschutz","erneuerbaren","asse","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","energien","energiewende","energien","energiewende","energiewende","energien","klimaschutz","energien","klimaschutzplan","energien","co","klimaschutz","klimaschutz","co","erneuerbaren","energien","energien","erneuerbaren"
"3","vermögen","sowjetzonenflüchtlinge","sowjetzonenflüchtlinge","flüchtlinge","verbrieften","sowjetzonenflüchtlinge","hauptentschädigung","ansprüche","vertriebenen","beweissicherung","lastenausgleich","ausfuhr","flüchtlinge","flüchtlinge","hauptentschädigung","vertriebenen","eingaben","petitionen","urheberrecht","unterhaltshilfe","entschädigung","flüchtlinge","novelle","petitionen","heimatvertriebenen","flüchtlinge","heimatvertriebenen","vertriebene","flüchtlinge","eid","innerdeutsche","flüchtlinge","lastenausgleichs","innerdeutsche","unterhaltshilfe","übersenden","fircks","energieversorgung","wirtschaft","kohle","technologie","energie","forschungspolitik","energiepolitik","forschung","kernenergie","fortschreibung","forschung","forschung","forschung","energiepolitik","fernwärme","energieforschung","energiepolitik","technologie","snr","technologie","kohle","mikroelektronik","energieversorgung","wiederaufarbeitung","forschung","forschung","wallmann","tschernobyl","transnuklear","tschernobyl","kohle","kohle","kernenergie","energien","energiepolitik","energieversorgung","energien","energieversorgung","gentechnik","braunkohle","energien","forschung","morsleben","morsleben","forschung","energien","grill","transporte","trittin","ausstieg","ausstieg","kernenergie","gorleben","energiepolitik","grill","eeg","bergbau","eeg","eeg","energiepolitik","erneuerbaren","sellafield","erneuerbaren","gabriel","erneuerbaren","erneuerbaren","klimaschutz","klimaschutz","strom","klimaschutz","energiekonzept","kernenergie","energiewende","erneuerbaren","erneuerbaren","altmaier","erneuerbaren","erneuerbaren","klimaschutz","erneuerbaren","energiewende","energiewende","klimaschutz","energiewende","energiewende","energiewende","energien","energien","erneuerbaren","klimaschutzgesetz","gas"
"4","gesetz","vertriebene","heimatvertriebenen","vertriebene","verbindlichkeiten","heimatvertriebenen","vertriebene","entschädigung","österreichischen","lastenausgleich","eingliederung","vertriebenen","häftlinge","novelle","unterhaltshilfe","flüchtlinge","petenten","vertriebene","urheberrechts","schäden","vertriebene","entschädigung","auslandsvertretungen","flüchtlinge","vertriebenen","schäden","vertriebenen","novelle","häftlinge","schwöre","beziehungen","innerdeutsche","fircks","aufbaudarlehen","fircks","vorgänge","zwischenfrage","friderichs","forschungspolitik","energieprogramm","fortschreibung","energiepolitik","forschungs","energie","kohle","kohle","wolfram","grundlagenforschung","nutzung","energiepolitik","forschung","programm","stahl","enquetekommission","stahl","kohlepolitik","forschung","riesenhuber","technik","energiepolitik","technologie","brüter","technologie","cattenom","konsens","steinkohle","kernkraftwerke","energiepolitik","gentechnologie","technologie","wasserstoff","steinkohle","tschernobyl","riesenhuber","kernenergie","industrie","steinkohle","steinkohle","energiepolitik","dasa","endlager","windenergie","strom","ahaus","atomenergie","energiepolitik","stadtwerke","energiepolitik","energiepolitik","kernenergie","ausstieg","hirche","strom","eeg","energiepolitik","erneuerbare","kernenergie","energie","kernenergie","energie","endlager","kernenergie","strom","strom","erneuerbaren","klimaschutz","röttgen","laufzeitverlängerung","japan","röttgen","strom","altmaier","gorleben","eeg","klimaschutz","erneuerbaren","energiewende","fracking","energien","erneuerbaren","energien","erneuerbaren","erneuerbaren","erneuerbaren","energiewende","energiewende","erneuerbaren","klimaschutz"
"5","dm","vermögen","vertriebene","sowjetzonenflüchtlinge","gläubiger","evakuierten","lastenausgleichsbank","vertriebenen","flüchtlinge","vertriebenen","heimatvertriebenen","tiere","vertriebenen","hauptentschädigung","geschädigten","vertriebene","nachahmungen","korspeter","novelle","weber","kriegsgeschädigte","schäden","gleichstellung","petitionsausschuss","kriegsgeschädigte","heimkehrer","gleichstellung","schäden","kriegsgefangenen","helfe","barm","fircks","herold","unterhaltshilfe","künstler","müller","führte","energieprogramm","energieversorgung","energie","energiepolitik","russe","laermann","technologie","kernkraftwerke","fortschreibung","brüter","energiepolitik","energiepolitik","umweltpolitik","laermann","energiepolitik","kernenergie","forschung","kernenergie","brüter","riesenhuber","wolfram","grossforschungseinrichtungen","steinkohle","technik","technologie","ausstieg","brokdorf","energiepolitik","nutzung","kalkar","technologie","riesenhuber","riesenhuber","forschungs","gentechnik","töpfer","mosdorf","risse","kernenergie","energiepolitik","technologie","nutzung","forschung","energien","stromeinspeisungsgesetzes","energiepolitik","morsleben","nutzung","energien","energien","erneuerbaren","transporte","atomenergie","trittin","erneuerbaren","biomasse","steinkohle","photovoltaik","biomasse","energie","kernenergie","energiepolitik","biokraftstoffe","strom","prozent","gabriel","kraftwärmekopplung","strom","biogas","fotovoltaik","röttgen","erneuerbare","energieeffizienz","röttgen","eegumlage","erneuerbaren","strom","energieeffizienz","fracking","strom","klimaschutz","erneuerbaren","mieterstrom","erneuerbaren","energien","energien","wasserstoff","wasserstoff","wasserstoff","klimapolitik","energie"
"6","geschädigten","flüchtlinge","lastenausgleich","evakuierten","kriegsgeschädigte","eingliederung","aussiedler","lastenausgleich","ansprüche","entschädigung","rehs","ritzel","anteilseigner","anteilseigner","vertriebenen","kriegsgeschädigte","lastenausgleich","flüchtlingen","flüchtlinge","novelle","vertriebenen","urheber","entschädigung","eingaben","vertriebene","hassel","schmidt","geschädigten","rutschke","wahr","vermögen","vertriebenen","innerdeutsche","fircks","personenkreis","problem","entlassenen","energie","gesellschaften","russe","forschung","tonnen","forschungsförderung","nutzung","energie","energie","ausgleichsabgabe","energie","energie","umweltschutz","energie","forschung","forschungs","abfälle","schnellen","risiko","steger","bergbau","forschungs","wolfram","technologien","wiederaufarbeitungsanlage","kernkraftwerke","kohle","gentechnologie","töpfer","risiken","forschung","gentechnik","gentechnologie","technologie","gentechnologie","steinkohle","wissenschaftler","brunsbüttel","catenhusen","morsleben","energiepolitik","mochovce","raumfahrt","sachsenanhalt","erneuerbare","transporte","strom","ausstieg","wiederaufbereitung","strom","kraftwärmekopplung","kraftwärmekopplung","castortransporte","atomenergie","kurtdieter","verbändevereinbarungen","hustedt","kernenergie","klimaschutz","erneuerbare","erneuerbare","energieeffizienz","energiegipfel","sigmar","energieeffizienz","erneuerbare","energie","gabriel","energie","erneuerbare","erneuerbare","ccs","energie","energieeffizienz","strom","emissionshandel","energieeffizienz","eeg","gabriel","paris","strom","endlager","strom","erreichen","klimawandel","strom","energiewende","eeg","strom","strom","ausbau"
"7","heimatvertriebenen","heimatvertriebenen","lastenausgleichsgesetzes","geschädigten","schäden","oberländer","unterhaltshilfe","novelle","österreich","vermögen","reichsabgabenordnung","pferd","kirchen","ehemaligen","reichsbank","lastenausgleichsgesetz","bundesversorgungsgesetzes","vertriebenen","unterhaltshilfe","ansprüche","lemmer","hauptentschädigung","schäden","schäden","schäden","vertriebenen","sowjetzonenflüchtlinge","kriegsgeschädigte","heimatvertriebenen","leisten","flüchtlinge","herold","schober","präferenz","kriegsschadensrente","ausschuss","lastenausgleichsgesetz","industrie","zentren","steinkohle","wolfram","steinkohle","energie","kernkraftwerke","energiepolitischen","technologie","kohle","öl","steinkohle","nutzung","kernkraftwerke","riesenhuber","kernkraftwerke","fortschreibung","brüter","inbetriebnahme","lenzer","technologie","steger","nutzung","uran","energiepolitik","technik","kernkraftwerke","ausstieg","entsorgung","snr","nutzung","töpfer","nutzung","grundlagenforschung","forschung","greifswald","energie","technologie","hoechst","technologie","artikelgesetz","stromeinspeisungsgesetz","kernenergie","stoffe","regenerativen","morsleben","landesregierung","entsorgung","kernkraftwerke","kraftwärmekopplung","strom","morsleben","ausstieg","anlagen","kernenergie","energiepolitik","müller","erneuerbare","energie","endlager","energiepolitik","energie","kernenergie","gorleben","kohle","prozent","prozent","energie","erneuerbare","kernenergie","strom","strom","gorleben","photovoltaik","eeg","klimaschutz","klimaschutz","kohle","kwk","prozent","eeg","gorleben","kohle","sektoren","strom","gas","strom","strom","energie","industrie","strom"
"8","entschädigung","heimat","geschädigten","heimatvertriebenen","vertriebene","vertriebene","flüchtlinge","hauptentschädigung","osterreich","sowjetzone","vermögen","stunden","evangelischen","geschädigten","zwangslage","mischnick","beschwerden","gleichstellung","hirsch","regierungsentwurf","eingaben","unterhaltshilfe","dahlgrün","leistungen","entschädigung","personen","korspeter","ansprüche","vertriebenen","gott","reddemann","lastenausgleichsgesetzes","sozialenquete","ausgleichsfonds","absatzförderung","bereich","hess","mengen","forschungsminister","energiepolitik","kernenergie","nutzung","technologien","bundesregierung","technologie","bundesregierung","energie","technologie","anlagen","öl","riesenhuber","industrie","programm","kernkraftwerke","laufs","kernenergie","inbetriebnahme","steinkohle","riesenhuber","gentechnologie","nutzung","kohle","riesenhuber","energiepolitik","kernkraftwerke","energiepolitik","töpfer","wackersdorf","technologie","energien","energie","energien","kozloduj","technologie","kernkraftwerke","wissenschaftler","kohle","forschungspolitik","kohle","endlager","abfälle","technologie","castortransporte","schütz","grill","atomenergie","trittin","grill","atommüll","zwischenlager","erneuerbaren","eeg","anlagen","erneuerbare","biomasse","förderung","strom","energieforschung","atomenergie","gabriel","fell","erneuerbare","preise","erneuerbare","gorleben","energieeffizienz","gorleben","brennelementesteuer","kernkraftwerke","strom","energie","cent","solarindustrie","eegumlage","strom","energieeffizienz","kohle","ausbau","hendricks","anlagen","klimaziele","anlagen","kohleausstieg","emissionshandel","eegumlage","co","copreis","fossilen"
"9","lastenausgleichs","entschädigung","bundesvertriebenengesetzes","oberländer","heimatvertriebenen","kather","vertriebenen","kunze","eingliederung","eingliederung","dürfen","bundesernährungsminister","kriegsdienstverweigerer","rehs","entschädigung","aufbaudarlehen","petitionen","lastenausgleich","verfolgten","vertriebenen","petitionen","rehs","vertriebene","niekisch","hauptentschädigung","mick","vertriebene","traktateigentümer","lastenausgleichsfonds","czaja","novelle","hauptentschädigung","wiedergutmachung","petitionsausschuss","lastenausgleichsgesetzes","grund","kunst","erdöl","energieforschung","technologie","russe","kernkraftwerke","kernenergie","kohle","narjes","forschungs","forschung","albrecht","wolfram","laermann","grundlagenforschung","kernkraftwerke","nutzung","gorleben","thtr","forschung","schnellen","kernenergie","industrie","forschung","endlagerung","schnellen","atomenergie","ausstieg","steinkohle","gorleben","energien","riesenhuber","forschungspolitik","raumfahrt","nutzung","energiepolitischen","energie","industrie","braunkohle","vosen","industrie","industrie","atomenergie","technologie","technologie","erneuerbaren","hague","nordrheinwestfalen","atomwirtschaft","wiederaufarbeitung","tschernobyl","anlagen","gorleben","endlager","energieversorgung","hustedt","gas","agentur","energieversorgung","energiepolitik","regulierungsbehörde","abfälle","energiemix","fell","umwelt","energiepolitik","verbraucher","verbraucher","emissionshandel","ccs","eeg","energie","energiekonzept","ausbau","industrie","energieeffizienz","emissionshandels","industrie","energie","strom","energieeffizienz","fukushima","marrakesch","hendricks","emissionshandel","wald","stream","klimapaket","kohleausstieg","nord","kohleausstieg","energiewende"
"10","dr","geschädigten","entschädigung","entschädigung","oberländer","rückführung","heimatvertriebenen","vermögen","gläubiger","sowjetzonenflüchtlinge","fremdenlegion","transport","kriegsgeschädigte","lastenausgleich","kriegssachgeschädigten","petenten","rutschke","petitionsstelle","entschädigung","personen","einrichtungshilfe","geschädigten","wiedergutmachung","entschädigung","rehs","vertriebene","hassel","mick","hassel","fircks","ddr","sowjetzonenflüchtlinge","mitarbeiter","petitionsausschusses","geschädigten","abgewandelt","kulturpolitik","versorgung","forschungszentren","energieforschung","hauff","technologie","nutzung","energieversorgung","nutzung","energieversorgung","technologie","landesregierung","energieversorgung","industrie","kernkraftwerk","ausbau","forschungsförderung","endlagerung","projekt","steinkohle","technik","technologien","technologien","energie","hickel","wackersdorf","eureka","nutzung","nutzung","energieversorgung","technologie","töpfer","steinkohle","kohle","faktenbericht","energieversorgung","kohle","kernenergie","tschernobyl","grundlagenforschung","technologien","kohle","energieversorgung","energien","gorleben","plutonium","entsorgung","stromeinspeisungsgesetz","bundesministerin","ukraine","atomenergie","energieversorgung","ausstieg","atommüll","hustedt","energieversorgung","erneuerbarer","härtefallregelung","china","erneuerbarer","hustedt","bergbau","kernkraftwerke","erneuerbare","kernenergie","emissionshandel","energie","gabriel","kernenergie","prozent","prozent","gorleben","netzausbau","energiepolitik","asse","ausbau","backloading","ausbau","emissionshandel","bullingschröter","hendricks","hendricks","endlagerung","tihange","kohleausstieg","emissionen","nord","klimawandel","ausbau","industrie","co","energieversorgung"
