"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","gewerkschaften","arbeitnehmer","arbeitnehmer","personalrat","gewerkschaften","aufsichtsrat","einzelhandel","stunden","uhr","bauwirtschaft","arbeitszeit","bankenaufsicht","urlaub","bundesanstalt","bundesanstalt","jugendlichen","berufsausbildung","mehrarbeit","bundesanstalt","berufsausbildung","vermögenswirksame","arbeitszeit","bundesanstalt","berufsausbildung","arbeitslosigkeit","bundesanstalt","arbeitnehmer","mitbestimmung","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeitnehmer","bundesanstalt","arbeitnehmer","arbeitnehmer","behinderten","arbeitnehmer","behinderten","arbeitnehmer","arbeitnehmer","künstler","behinderte","frauen","schwarzarbeit","behinderten","arbeitslosen","behinderten","humanisierung","frauen","frauen","bundesanstalt","bundesanstalt","bundesanstalt","bundesanstalt","behinderten","arbeit","arbeitnehmer","bundesanstalt","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeitnehmer","montanmitbestimmung","rheinhausen","bundesanstalt","arbeit","arbeitnehmer","arbeitnehmer","arbeitnehmer","bundesanstalt","arbeitnehmer","bundesanstalt","bundesanstalt","bundesanstalt","arbeitnehmer","arbeit","arbeit","arbeitnehmer","arbeit","arbeitslosigkeit","arbeit","blüm","blüm","riester","rente","rentner","rente","arbeitslosen","arbeit","arbeitsmarkt","arbeitsmarkt","arbeitnehmer","rente","schwarzarbeit","bundesagentur","arbeitslosigkeit","arbeitsmarkt","rente","menschen","rente","rente","rente","rente","rente","arbeit","rente","mindestlohn","rente","rente","rente","mindestlohn","rente","mindestlohn","arbeitsmarkt","rente","rente","rente","rente","arbeitsmarkt","arbeitsmarkt","rente","arbeit","grundrente","beschäftigten","rente","arbeitsmarkt"
"2","arbeitnehmer","wahl","arbeitgeber","gewerkschaften","angestellten","mitbestimmung","uhr","sonntag","grippeepidemie","winter","bundesanstalt","kreditinstitute","arbeitnehmer","sonntagsarbeit","arbeitnehmer","jugendliche","arbeitnehmer","bundesanstalt","arbeitnehmer","entwurf","bilder","stunden","arbeitszeit","bundesanstalt","arbeitslosenversicherung","beruflichen","bundesanstalt","arbeitnehmer","bundesanstalt","bundesanstalt","vermögensbildung","mitbestimmung","unfallverhütung","betriebsrat","beruflichen","betrieb","bundesanstalt","rehabilitation","mitbestimmung","arbeitnehmer","bundesanstalt","mitbestimmung","arbeitnehmer","werkstatt","fuchs","bundesanstalt","behinderte","arbeitnehmer","frauen","frauen","fuchs","schwarzarbeit","arbeit","arbeit","arbeitnehmer","arbeit","fremdenverkehr","überstunden","vorruhestandsregelung","arbeitnehmer","arbeit","gewerkschaften","gewerkschaften","mitbestimmung","arbeitnehmer","arbeit","arbeitnehmer","bundesanstalt","arbeit","gewerkschaften","arbeitsschutz","arbeitnehmer","bundesanstalt","arbeit","arbeit","arbeit","arbeit","arbeitslosigkeit","blüm","arbeit","blüm","arbeit","arbeitslosigkeit","arbeit","arbeitnehmer","arbeitgeber","riester","rente","rentenversicherung","mitbestimmung","arbeitsmarkt","arbeitnehmer","arbeit","bundesanstalt","menschen","bundesagentur","arbeit","bundesagentur","arbeit","arbeit","arbeitsmarkt","menschen","menschen","arbeitnehmer","arbeit","rentenversicherung","mindestlohn","arbeit","arbeitsmarkt","mindestlohn","arbeitsmarkt","menschen","rente","mindestlohn","rente","mindestlohn","arbeitsmarkt","beschäftigten","arbeit","rentenversicherung","beschäftigten","rente","menschen","menschen","rente","kurzarbeitergeld","mindestlohn","rente"
"3","gesetz","arbeitgeber","abs","sabel","sonntage","arbeitnehmer","arbeitnehmer","arbeitszeit","stunden","bauarbeiter","avavg","arbeitslosigkeit","mindesturlaub","sonntag","tarifverträge","scheppmann","urlaub","arbeitnehmer","jugendlichen","gewerbeordnung","lehrlinge","handwerk","arbeitslosenversicherung","arbeitnehmer","bundesanstalt","arbeitnehmer","entwicklungshelfer","bundesanstalt","berufsausbildung","arbeit","bundesanstalt","gewerkschaften","bundesanstalt","mitbestimmung","arbeit","betriebsverfassungsgesetz","arbeit","seeschiffahrt","aufsichtsrat","arbeit","arbeit","gewerkschaften","behinderten","arbeit","frau","arbeit","rehabilitation","bundesanstalt","rehabilitation","arbeitslebens","frauenpolitik","arbeitnehmer","fuchs","fuchs","arbeit","egert","arbeitszeit","arbeitszeit","stundenwoche","arbeit","überstunden","bundesanstalt","blüm","montanmitbestimmung","mitbestimmung","arbeitnehmer","arbeit","arbeitnehmer","gewerkschaften","arbeit","kündigungsfristen","arbeitslosigkeit","arbeitsmarktpolitik","arbeitsmarktpolitik","arbeitnehmer","arbeitnehmer","beschäftigung","arbeitsmarktpolitik","bundesanstalt","blüm","arbeitslosigkeit","arbeitslosen","arbeitnehmer","arbeitslosigkeit","beschäftigung","arbeitnehmer","rentenversicherung","arbeit","rentenreform","arbeitnehmer","bundesanstalt","arbeit","arbeitslosigkeit","arbeitsmarkt","rentenversicherung","arbeit","menschen","arbeit","arbeitnehmer","arbeitnehmer","arbeit","mindestlohn","arbeit","altersteilzeit","arbeitnehmer","arbeitnehmer","menschen","menschen","zeitarbeit","menschen","beschäftigten","rentenversicherung","rentenversicherung","rentenversicherung","menschen","arbeit","arbeit","arbeitsmarkt","beschäftigten","arbeitgeber","arbeitnehmer","menschen","grundsicherung","rente","beschäftigten","grundsicherung","rentenversicherung","mindestlohn"
"4","abs","mitbestimmung","selbstverwaltung","bediensteten","arbeitnehmer","mitbestimmungsgesetz","gewerkschaften","arbeitswoche","arbeitnehmer","sommer","arbeitslosenversicherung","arbeitnehmer","arbeitszeit","arbeitslosenversicherung","gewerkschaften","bundesanstalt","mindesturlaub","arbeitskräfte","arbeitszeit","berufsausbildungsgesetz","jugendarbeitsschutzgesetzes","bundesanstalt","umschulung","berufsforschung","arbeitsvermittlung","fortbildung","arbeit","the","älteren","mitbestimmung","tarifverträge","betriebsrat","arbeit","einigungsstelle","arbeitnehmer","angestellten","sozialordnung","arbeitgeber","gewerkschaften","behinderte","buschfort","aufsichtsrat","publizisten","werkstätten","bundesanstalt","schwerbehinderten","schwerbehinderten","arbeit","schwerbehinderten","arbeitnehmer","arbeitsstab","arbeit","arbeitnehmer","arbeitnehmer","fuchs","arbeitnehmer","überstunden","bundesanstalt","arbeit","aussperrung","gewerkschaften","arbeit","bundesanstalt","gewerkschaften","gewerkschaften","blüm","rheinhausen","arbeitslosigkeit","arbeitgeber","arbeitgeber","angestellten","arbeitsbeschaffungsmassnahmen","arbeitslosigkeit","arbeitslosigkeit","arbeitsmarktpolitik","arbeitslosigkeit","bundesanstalt","arbeitnehmer","arbeitnehmer","arbeitslosigkeit","arbeitnehmer","blüm","bundesanstalt","rentenversicherung","riester","arbeit","rentner","rentenversicherung","riester","arbeitslosigkeit","arbeitslosen","rente","menschen","arbeit","arbeit","menschen","arbeitslosen","arbeitnehmer","menschen","kolb","kolb","arbeitnehmer","arbeitnehmer","kolb","menschen","menschen","arbeitsmarkt","arbeitsmarkt","leiharbeit","arbeitsmarkt","arbeitnehmer","arbeitsmarkt","arbeit","menschen","arbeitnehmer","post","beschäftigten","arbeit","menschen","beschäftigten","mindestlohn","arbeit","grundrente","arbeitsmarkt","arbeitnehmer","arbeit","beschäftigten","menschen"
"5","arbeitgeber","betriebsverfassungsgesetz","geschäftsführer","arbeitsgerichte","sonntag","eisen","handelskammern","sonntags","handelskammern","arbeitslosigkeit","einzelhandel","tätigen","handwerk","sonntage","vermögenswirksame","arbeit","berliner","arbeitsvermittlung","berlin","wirtschaft","lehrwerkstätten","handwerks","grenzgänger","bezeichnungen","arbeitnehmer","umschulung","arbeitslosigkeit","arbeit","beruflichen","rohde","burgbacher","betrieb","unfälle","angestellten","berufliche","mitbestimmung","betriebsärzte","arbeit","angestellten","rehabilitation","sozialordnung","arbeitsdirektor","berufe","arbeitnehmer","staatssekretärin","arbeitnehmer","arbeitnehmer","blüm","arbeitnehmer","arbeitswelt","frau","humanisierung","humanisierung","ehrenberg","arbeitgeber","humanisierung","urlaub","franke","gewerkschaften","streik","bundesanstalt","blüm","arbeitgeber","arbeit","blüm","bundesanstalt","blüm","blüm","blüm","aussperrung","arbeit","arbeit","abm","arbeitsmarkt","arbeitslosigkeit","arbeitsmarktpolitik","arbeitslosen","blüm","arbeitsmarktpolitik","bundesanstalt","arbeitslosen","arbeitnehmer","lohnfortzahlung","beschäftigung","schreiner","beschäftigung","arbeit","arbeitnehmer","vorsorge","riester","arbeitslosigkeit","sozialhilfe","arbeitslosen","kündigungsschutz","rentner","arbeitnehmer","hartz","menschen","arbeitslosengeld","ii","ii","arbeitsmarkt","arbeitslosengeld","arbeit","mindestlohn","arbeit","zeitarbeit","leyen","arbeit","arbeit","rentenversicherung","altersarmut","arbeitsmarkt","arbeitsmarkt","arbeitsmarkt","beschäftigten","arbeitnehmer","mindestlohn","nahles","mindestlohn","arbeit","mindestlohn","arbeitsmarkt","grundsicherung","rentenversicherung","menschen","tarifbindung","rentner"
"6","arbeiter","mitbestimmungsrecht","gesetz","personalvertretung","sonntagen","übereinkommen","angestellten","seeschiffahrt","gewerkschaften","bauherren","arbeitslosengeld","depotstimmrecht","tarifpartner","stahlindustrie","vermögenswirksamen","jugendarbeitsschutzgesetz","berlin","arbeit","jugendarbeitsschutzgesetzes","berufsausbildungsgesetzes","berufsausbildung","wirtschaft","arbeitsvermittlung","müller","berufsausbildung","arbeitslosigkeit","berufliche","of","arbeitsförderungsgesetz","sozialordnung","arbeit","ruf","unfallverhütungsbericht","leitenden","gewerkschaften","vermögensbildung","arbeitgeber","schwerbehinderten","leitenden","bundesanstalt","jugendlichen","arbeit","gewerkschaften","behinderten","arbeitgeber","buschfort","schwerbehinderte","beruflichen","buschfort","arbeitgeber","staatssekretärin","arbeitsschutz","arbeitslosigkeit","arbeitslosigkeit","frau","sozialordnung","stunden","arbeitszeitordnung","arbeitszeitverkürzung","arbeitgeber","arbeitslosen","arbeitgeber","arbeitskampf","blüm","stahlindustrie","arbeitslosen","überstunden","arbeitslosen","arbeitslosen","vogt","arbeiter","arbeitgeber","arbeit","arbeitnehmer","abm","arbeitsmarkt","arbeitslosigkeit","schlechtwettergeld","arbeitslosigkeit","arbeitgeber","beschäftigung","arbeitsmarkt","arbeitgeber","schreiner","arbeit","beschäftigungsverhältnisse","arbeitnehmer","renten","arbeitnehmer","arbeitsmarkt","arbeitsmarktpolitik","arbeitslosigkeit","rentenversicherung","arbeitgeber","bundesanstalt","arbeitslosen","arbeitslosengeld","arbeitsmarkt","hartz","menschen","mindestlohn","arbeit","mindestlohn","rentner","kolb","arbeitsmarkt","kolb","arbeitnehmer","menschen","leyen","arbeit","mindestlohn","arbeitnehmer","arbeit","gewerkschaften","rente","menschen","arbeitnehmer","rentenversicherung","prozent","menschen","beschäftigten","mindestlohn","arbeitnehmer","grundsicherung","kurzarbeit","betriebsräte","kurzarbeitergeld"
"7","betrieb","gesetz","betrieb","dienststelle","arbeitnehmern","arbeitsdirektor","gesetz","sabel","angestellten","winterbau","arbeitslosigkeit","gestaut","tage","arbeitnehmer","arbeitgeber","stunden","tage","arbeitslosenversicherung","arbeit","industrie","bundesanstalt","handwerksordnung","stunden","ausbildung","arbeitslosengeldes","arbeitsvermittlung","arbeitslosenversicherung","and","gesetz","berufsausbildung","gewerkschaften","entwurf","vermögensbildung","arbeitgeber","arendt","halbdeckung","jugendarbeitsschutzgesetzes","jugendvertreter","behinderten","jugendlichen","arbeitgeber","leitenden","behindertensport","arbeitslosen","schwerbehinderte","schwerbehinderte","arbeit","novelle","arbeitgeber","arbeitsplatz","arbeitszeitordnung","bundesanstalt","arbeitslebens","buschfort","arbeitslose","arbeitsämtern","arbeit","arbeitnehmer","arbeitszeit","arbeitskampf","teilzeitarbeit","arbeitslosen","metall","arbeitslosen","arbeit","stahlindustrie","betriebsrat","arbeitsmarkt","betriebsrat","bundesanstalt","arbeitsschutzes","arbeitslosen","arbeitsbeschaffungsmassnahmen","abm","arbeitsmarkt","blüm","arbeitgeber","teilzeitarbeit","arbeitsmarkt","babel","arbeitsmarkt","beschäftigung","überstunden","arbeitnehmer","arbeitsmarkt","rentenversicherung","renten","arbeitgeber","beiträge","arbeit","riester","menschen","bundesanstalt","arbeitslosigkeit","arbeitsmarkt","arbeitsmarkt","arbeitnehmer","arbeitslosen","arbeitslosigkeit","arbeitsmarkt","arbeitslosengeld","löhne","arbeitsmarkt","menschen","arbeitsmarkt","bundesagentur","arbeitnehmer","mindestlohn","arbeitnehmer","rentenversicherung","menschen","arbeit","menschen","arbeitnehmer","arbeit","arbeitgeber","arbeitgeber","arbeitgeber","arbeitsmarkt","arbeitnehmer","rente","rentenversicherung","arbeit","hartz","mindestlohn","rente","löhne","rentnerinnen"
"8","betriebsrat","öffentlichen","familienausgleichskasse","öffentlichen","weihnachten","gewerkschaften","sabel","stundenwoche","regelung","beschäftigung","beschäftigung","stauereibetriebe","stunden","sonntagen","betriebe","friseurhandwerk","bundesgebiet","arbeitszeit","erwachsenen","ausbildung","wochenschau","gesellen","arbeitnehmer","handwerksordnung","avavg","arbeitsmarkt","übersee","that","berufliche","arbeitnehmern","förderung","betriebsräte","betrieb","betrieb","sozialordnung","produktivvermögen","aktionsprogramm","arbeitnehmer","arbeit","sozialordnung","arbeitnehmern","bundesanstalt","künstlerischen","bundesanstalt","schwerbehinderten","zahl","bundesanstalt","sozialordnung","behinderte","arbeitsbedingungen","bundesanstalt","mädchen","frauen","frauen","beschäftigung","arbeitslosen","lutz","stundenwoche","arbeitgeber","gewerkschaften","arbeitszeit","überstunden","arbeit","bundesanstalt","stahlarbeiter","sozialordnung","arbeitslosigkeit","arbeitsbeschaffungsmassnahmen","mitbestimmung","sozialordnung","gewerkschaften","blüm","arbeitsmarkt","arbeitsvermittlung","afg","kündigungsfristen","arbeitsmarkt","schreiner","schlechtwettergeld","arbeitsmarktpolitik","gewerkschaften","gewerkschaften","rentenversicherung","arbeitsmarkt","rente","arbeitsmarkt","arbeitslosigkeit","arbeitsmarkt","arbeitsmarkt","betriebsräte","sozialhilfe","arbeitslosen","sozialhilfe","rente","sozialhilfe","rentenversicherung","rentenversicherung","laumann","laumann","hartz","bundesagentur","arbeitslosigkeit","rentenversicherung","prozent","rentenversicherung","altersvorsorge","bundesagentur","kolb","rente","altersarmut","leiharbeit","minijobs","gewerkschaften","euro","arbeitgeber","gewerkschaften","rentenversicherung","riesterrente","arbeitnehmer","altersarmut","arbeitgeber","arbeitnehmer","beschäftigten","iv","arbeit","arbeitnehmer","arbeit","arbeit"
"9","wahl","betrieben","arbeitsvermittlung","verwaltung","vereinigungen","vorstand","regelung","sonntagsarbeit","handelskammer","baugewerbe","arbeitsvermittlung","bergleuten","wischnewski","ermächtigung","gemeingebrauch","samstagnachmittag","tagen","saarländischen","saar","jugendlichen","arbeitszeit","novelle","wirtschaft","arbeitsmarkt","arbeitslosen","arbeitslosenversicherung","arbeitsvermittlung","betriebsverfassungsgesetz","arbeitslosigkeit","arbeitsförderungsgesetzes","gesetz","arbeitgeber","burgbacher","ruf","berufsausbildung","vorstellungen","arendt","ausgleichsabgabe","unternehmen","buschfort","aufsichtsrat","jugendlichen","arbeit","buschfort","arbeit","rechtsberatung","buschfort","behinderten","arbeit","arbeit","arbeit","arbeitgeber","arbeitslosen","arbeitslose","arbeitsmarkt","kuren","tourismus","lutz","überstunden","arbeitslosen","beschäftigung","dgb","ig","arbeitnehmern","sozialordnung","arbeitsplätze","arbeitslosen","montanmitbestimmung","beschäftigungsförderungsgesetz","arbeitslosen","arbeitern","arbeitsmarktpolitik","blüm","arbeitsbeschaffungsmassnahmen","blüm","abm","arbeitslose","arbeitgeber","beschäftigung","arbeitslosenhilfe","arbeitgeber","bundesanstalt","beschäftigung","arbeitslosen","arbeitslosigkeit","sozialversicherung","arbeitsmarkt","beschäftigung","prozent","arbeitslose","arbeitslose","prozent","rente","menschen","arbeitnehmer","beschäftigung","arbeitsmarkt","arbeitgeber","iv","bundesagentur","arbeitnehmer","prozent","kolb","rentenversicherung","grundsicherung","rentner","kurzarbeit","rentenversicherung","lohn","kolb","gewerkschaften","leyen","gesetzlichen","erwerbsminderungsrente","beschäftigten","nahles","leiharbeit","menschen","arbeitgeber","altersvorsorge","befristungen","arbeitgeber","arbeitnehmer","beschäftigten","kurzarbeitergeld","sozialstaat","mitbestimmung","beschäftigten"
"10","bundesanstalt","gewerkschaften","kindergeld","mitbestimmung","tarifvertrag","sabel","samstagnachmittag","regelung","sonn","grad","übereinkommen","kreditinstitut","urlaubsregelung","arbeitsvermittlung","betrieb","arbeitnehmer","jugendliche","grenzgänger","stunden","handwerk","wirtschaft","herr","niedersachsen","beruflichen","arbeitsämter","arbeitsmarktpolitik","selbstverwaltung","betrieb","arbeitnehmern","arbeitssicherheit","selbständigen","betriebsverfassungsgesetzes","unfallgeschehen","gewerkschaften","aktionsprogramm","arbeit","arbeitsschutz","arbeitssicherheit","arendt","werkstätten","beschäftigung","arbeitnehmern","behinderte","schwerbehindertengesetzes","berufe","stutzer","werkstätten","arbeitsmarkt","beförderung","arbeitsleben","behinderten","arbeitslebens","beschäftigung","frau","friedmann","arbeitslosengeld","arbeitnehmer","sozialordnung","arbeitslosen","cronenberg","stunden","arbeitslosengeld","arbeitnehmern","lutz","bundesanstalt","dressler","vorruhestand","novelle","beschäftigung","arbeitslosigkeit","angestellte","qualifizierung","arbeitgeber","behinderten","arbeitslosen","arbeitgeber","blüm","beschäftigung","arbeitgeber","arbeitsmarkt","rentenversicherung","lohnfortzahlung","arbeitsmarkt","rente","überstunden","beschäftigten","arbeitgeber","sozialordnung","altersvorsorge","betrieben","beschäftigung","altersvorsorge","zeitarbeit","arbeitslosen","rentnerinnen","laumann","kündigungsschutz","statistik","arbeitslosen","rentenversicherung","rente","kolb","prozent","rentnerinnen","bundesagentur","beschäftigten","hartz","arbeiten","löhne","beschäftigung","beschäftigung","beschäftigung","euro","mütterrente","sanktionen","beschäftigung","mütterrente","dienst","altersarmut","menschen","befristung","heil","sozialstaat","löhne","weiterbildung","homeoffice","arbeitnehmer","sozialstaat"
