"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","dr","frau","dr","dr","dr","dr","dr","dr","frau","dr","dr","dr","dr","dr","frau","frau","frau","frau","frau","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","six","christkind","krise","pandemie","pandemie","impfpflicht"
"2","dr","dr","dr","dr","dr","präsident","dr","präsident","frau","dr","frau","frau","frau","frau","frau","frau","dr","frau","frau","frau","frau","frau","dr","dr","gesundheitswesen","griechenland","dr","frau","frau","frau","frau","zusatzfrage","zusatzfrage","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","abgeordnete","frau","frau","frau","frau","bundesminister","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","peter","wolfgang","wolfgang","wolfgang","peter","wolfgang","wolfgang","klaus","erteile","peter","peter","peter","michael","peter","wahlgang","michael","peter","peter","peter","michael","michael","michael","michael","michael","michael","michael","michael","michael","thomas","michael","michael","thomas","thomas","thomas","michael","peter","christian","partnerschaft","täglich","pandemie","massnahmen","impfen","impfen"
"3","herr","vizepräsident","vizepräsident","präsident","geschäftsordnung","dr","präsident","dr","antrag","antrag","berliner","berliner","berliner","müller","berliner","schwarzhaupt","schwarzhaupt","schwarzhaupt","gesundheitswesen","gesundheitswesen","schwarzhaupt","berliner","schwarzhaupt","schwarzhaupt","strobel","griechischen","griechenland","berliner","berliner","abgeordnete","zusatzfrage","frau","abgeordnete","berliner","abgeordnete","schmidt","berliner","müller","berliner","zwischenfrage","zwischenfrage","berliner","nr","müller","abgeordnete","müller","abgeordnete","abgeordnete","abgeordnete","abgeordnete","frau","abgeordnete","abstimmung","abgeordnete","abgeordnete","zwischenfrage","müller","wahl","enthaltungen","müller","abstimmung","abstimmung","abgeordnete","müller","müller","müller","berliner","berliner","müller","müller","müller","müller","müller","peter","peter","peter","peter","peter","peter","peter","peter","peter","peter","peter","peter","wolfgang","klaus","klaus","peter","wolfgang","klaus","klaus","peter","peter","wolfgang","michael","wolfgang","peter","klaus","michael","peter","michael","michael","michael","peter","peter","peter","thomas","thomas","thomas","peter","thomas","thomas","michael","thomas","thomas","michael","michael","michael","thomas","andreas","albert","armenien","abgelehnt","virus","krise","geimpft","pandemie"
"4","ausschuss","präsident","herr","herr","damen","damen","damen","herr","präsident","präsident","abstimmung","abstimmung","müller","berliner","ehe","gesundheitswesen","gesundheitswesen","gesundheitswesen","schwarzhaupt","berliner","gesundheitswesen","müller","gesundheitswesen","gesundheitswesen","dr","dr","berliner","abstimmung","abgeordnete","zusatzfrage","abgeordnete","abgeordnete","frau","abgeordnete","berliner","berliner","müller","berliner","müller","gestatten","gestatten","abgeordnete","berliner","berliner","schmidt","berliner","berliner","müller","abgeordneten","müller","zwischenfrage","müller","müller","berliner","berliner","herr","drucksache","schriftführer","handzeichen","abstimmung","enthaltungen","müller","müller","abgeordnete","jung","drucksache","müller","abgeordnete","abgeordnete","abstimmung","enthaltungen","schmidt","einzelplan","klaus","klaus","klaus","klaus","klaus","klaus","klaus","klaus","klaus","klaus","klaus","klaus","klaus","peter","peter","klaus","klaus","peter","peter","michael","wolfgang","michael","wolfgang","klaus","wolfgang","erteile","peter","wolfgang","klaus","wolfgang","wolfgang","wolfgang","wolfgang","thomas","peter","peter","peter","thomas","peter","peter","matthias","matthias","matthias","matthias","matthias","matthias","matthias","reinhold","michael","billy","billy","massnahmen","virus","inzidenz","impfung"
"5","vizepräsident","ausschuss","präsident","vizepräsident","präsident","herren","vizepräsident","damen","fraktion","unertl","müller","elbrächter","abstimmung","weber","fritz","müller","ministerin","ministerin","müller","schwarzhaupt","ministerin","abstimmung","ministerin","ministerin","ministerin","griechische","diemernicolaus","müller","müller","berliner","abgeordneten","abgeordneten","abgeordneten","schmidt","schmidt","müller","abgeordnete","abgeordnete","abgeordnete","abgeordneten","abgeordnete","müller","müller","abgeordnete","berliner","gegenprobe","abstimmung","abstimmung","gestatten","abgeordneten","bundesminister","schmidt","berliner","schmidt","freiherr","eid","abgeordnete","stimmen","wünscht","abgeordnete","berliner","abgeordnete","abstimmung","abstimmung","stimmen","jung","enthaltungen","müller","abstimmung","enthaltungen","schmidt","abgeordnete","dring","horst","horst","horst","jürgen","jürgen","dieter","dieter","dieter","dieter","dieter","dieter","dieter","norbert","norbert","norbert","norbert","norbert","norbert","norbert","wolfgang","michael","klaus","klaus","michael","klaus","wolfgang","wolfgang","andreas","wolfgang","andreas","klaus","andreas","thomas","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","andreas","andreas","andreas","andreas","christian","andreas","peter","klauspeter","wilfried","östlichen","lahmzulegen","corona","impfen","virus","virus"
"6","damen","herr","lesung","damen","herr","herr","herren","abgeordnete","abstimmung","stammberger","abgeordnete","abgeordnete","abgeordnete","spies","schneider","ministerin","hamm","frankfurt","ministerin","müller","hubert","frankfurt","hebammen","hubert","diemernicolaus","diemernicolaus","griechischen","abgeordnete","schmidt","müller","berliner","berliner","berliner","müller","müller","abgeordnete","schmidt","zwischenfrage","schmidt","abgeordneter","abgeordneter","freiherr","abgeordnete","schmidt","müller","schmidt","zwischenfrage","berliner","abgeordneter","schröder","abgeordneten","abstimmung","schmidt","müller","biehle","abgeordneter","schmidt","zwischenfrage","abstimmung","bitte","wünscht","berliner","enthaltungen","fischer","fischer","abstimmung","abstimmung","fischer","fischer","einzelplan","fischer","fischer","abstimmung","jürgen","gerhard","jürgen","horst","horst","manfred","norbert","manfred","norbert","norbert","norbert","norbert","dieter","dieter","manfred","hans","christian","rainer","schmidt","ulrich","wort","georg","erteile","ulrich","erteile","michael","andreas","klaus","müller","thomas","andreas","klaus","klaus","christian","christian","klaus","christian","christian","norbert","klaus","stefan","stefan","stefan","peter","andreas","stefan","andreas","hanswerner","wiese","östliche","kante","wochen","impfstoff","lage","massnahmen"
"7","fraktion","damen","herren","anträge","anträge","abgeordnete","herr","herren","abgeordnete","kennzeichnungspflicht","meyer","dittrich","fritz","abstimmung","weber","berliner","detergentien","berliner","frankfurt","schmidt","müller","abgeordnete","offenbach","arzneibuch","schwarzhaupt","menschenrechtskommission","namentliche","schmidt","zusatzfrage","abgeordneten","müller","zwischenfrage","schmidt","zwischenfrage","abgeordneten","münchencomment","weber","gestatten","freiherr","abgeordnete","abgeordneten","schmidt","abstimmung","köhler","abgeordneten","abgeordnete","gestatten","schmidt","zwischenfrage","röhner","eid","berliner","schröder","abstimmung","neumann","gestatten","berliner","bundesminister","zuzustimmen","sauter","müller","drucksache","dring","drucksache","abstimmung","fischer","jung","abstimmung","voigt","schmidt","stimmen","dring","schmidt","rudolf","jürgen","ulrich","rudolf","manfred","norbert","manfred","norbert","manfred","manfred","manfred","horst","rainer","hans","hans","rainer","hans","hans","manfred","georg","klaus","ulrich","ulrich","uwe","rolf","georg","schriftführerinnen","müller","thomas","klaus","christian","christian","andreas","klaus","klaus","christian","klaus","norbert","klaus","ulrich","martin","martin","martin","stefan","stefan","peter","christian","diaby","robert","venezuela","politischen","lage","lockdown","massnahmen","geimpft"
"8","herren","herren","schmid","herren","vizepräsident","fraktion","abzulehnen","vizepräsident","münchencomment","gerstenmaier","spies","strobel","meyer","jahn","herold","düsseldorf","hubert","schmidt","schmidt","frankfurt","berliner","schmidt","maxsein","probst","probst","griechenlands","europarats","hauser","neumann","schmidt","gestatten","gestatten","müller","abgeordneten","zwischenfrage","abstimmung","becker","abstimmung","schäfer","müller","zusatzfrage","dring","wittmann","schröder","abstimmung","handzeichen","müller","schröder","müller","fraktion","gestatten","fischer","fischer","fischer","fischer","abgeordneten","fischer","abgeordneten","ausschussfassung","fischer","bitte","gestimmt","sauter","schmidt","becker","graf","abgeordnete","graf","schmidt","stimmt","stimmt","zwischenfrage","wegner","gerhard","ulrich","gerhard","otto","ulrich","horst","horst","rudolf","hermann","rolf","horst","hermann","hans","manfred","georg","dieter","rainer","manfred","hans","uwe","christian","rainer","rainer","rolf","uwe","rolf","klaus","christian","andreas","christian","uwe","thomas","christian","manfred","johannes","frank","stefan","johannes","johannes","stefan","carsten","peter","peter","christian","martin","martin","norbert","stier","carsten","georgien","journalisten","schnell","schnelltests","epidemischen","impfungen"
"9","präsident","fraktion","damen","abgeordnete","herren","wort","fraktion","frau","dp","herr","schneider","kennzeichnungspflicht","schütz","emmenhausen","müller","contergan","orthophosphorsäure","müller","berliner","abgeordnete","frankfurt","schwarzhaupt","berliner","prinz","stuhl","kollegin","herr","gestimmt","haase","zwischenfrage","zwischenfrage","schmidt","gestatten","gestatten","abstimmung","becker","zwischenfrage","wolf","haase","herr","müller","haase","abs","jahn","zwischenfrage","enthaltungen","schmidt","berlincomment","wort","hubrig","schwöre","wimmer","sauer","neumann","wort","schwöre","abgeordneter","erlauben","bitte","graf","handzeichen","dring","schmidt","enthaltungen","graf","link","fischer","fuchs","graf","graf","drucksache","gestatten","otto","ulrich","rudolf","dieter","ulrich","joachim","enthaltungen","günter","gerhard","rudolf","rudolf","hermann","werner","manfred","christian","christian","bernd","manfred","michael","christian","friedrich","friedrich","jürgen","rolf","georg","volker","hans","norbert","thomas","christian","rolf","müller","norbert","rolf","johannes","manfred","johannes","johannes","stefan","stefan","manfred","christian","christian","christian","martin","ulrich","christian","gabriele","svenja","bernd","auswärtige","partnerschaft","coronakrise","hilfen","krise","herbst"
"10","wort","abgeordnete","abgeordnete","lesung","abgeordnete","bitten","abgeordnete","geschäftsordnung","meyer","abgeordnete","maier","keilhack","storm","georgenaucomment","riedel","schmidt","kläranlagen","abgeordnete","abgeordnete","funcke","hamm","freiherr","hamm","saynwittgensteinhohenstein","reichskonkordat","europarates","europarat","enthalten","freiherr","wolf","schmidt","abgeordneter","zwischenfrage","abstimmung","gestatten","hamburgcomment","haase","freiherr","dring","einzelplan","herr","abstimmung","dring","hauser","köhler","abstimmung","abgeordneten","jahn","röhner","schmidt","abgeordneter","graf","abgeordnete","riedl","bramsche","abgeordnete","freiherr","eid","müller","drucksache","drucksache","fischer","drucksache","dring","münchencomment","hauser","schmidt","timm","abgeordneten","fischer","wer","graf","friedrich","hans","werner","norbert","norbert","werner","rudolf","gerhard","hermann","rolf","günter","hans","jürgen","günter","müller","friedrich","ulrich","dieter","schmidt","rainer","rolf","rainer","uwe","jürgen","thomas","rainer","friedrich","thomas","uwe","rolf","jürgen","thomas","rolf","norbert","frank","patrick","martin","frank","manfred","christian","karl","gabriele","gabriele","carsten","gabriele","gabriele","gabriele","stefan","franz","andreas","einsatzmedaille","bereitet","unternehmen","tests","grundrechte","schützen"
