"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","glaube","unserer","unserer","politischen","unserer","politischen","politischen","politischen","unserer","politischen","unserer","politischen","parteien","unserer","staat","unserer","unserer","freiheit","unserer","parteien","parteien","freiheit","regierungserklärung","unserer","parteien","politischen","demokratie","politischen","gesellschaft","demokratie","politischen","demokratie","gesellschaft","gesellschaft","gesellschaft","demokratie","staat","freiheit","verfassung","staat","freiheit","freiheit","freiheit","freiheit","freiheit","freiheit","demokratie","freiheit","freiheit","bremen","bundeskanzler","bundeskanzler","demonstration","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","geschichte","bundeskanzler","gewalt","demokratie","demokratie","geschichte","menschen","ddr","menschen","berlin","menschen","berlin","menschen","menschen","menschen","verfassung","demokratie","menschen","religionsunterricht","erklärung","wehrmacht","stiftung","demokratie","demokratie","mahnmal","opfer","demokratie","opfer","sprache","antisemitismus","kultur","kultur","antisemitismus","kultur","kultur","kultur","mauer","kultur","kultur","kultur","kultur","gysi","kultur","kultur","kultur","kultur","roma","kultur","roma","kultur","kultur","kultur","kultur","aufarbeitung","kultur","kulturgut","kultur","antisemitismus","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie"
"2","möchte","opposition","immer","unserer","politischen","unserer","unserer","unserer","politischen","unserer","politischen","unserer","politischen","politischen","unserer","politischen","volkes","staat","unseres","staat","politischen","unserer","unserer","demokratie","regierungserklärung","unserer","staat","bildung","demokratie","politischen","politische","gesellschaft","politischen","freiheit","staat","unserer","unserer","unserer","demokratie","demokratie","demokratischen","sozialismus","staat","staat","demokratie","demokratie","partei","demokratie","bundeskanzler","geschichte","partei","partei","bundeskanzler","menschen","menschen","partei","neuwahlen","demokratie","israel","kultur","demokratie","volk","bundeskanzler","geschichte","bundeskanzler","bundeskanzler","politischen","menschen","freiheit","menschen","ddr","demokratie","deutschen","geschichte","gewalt","geschichte","demokratie","menschen","menschen","einheit","opfer","tschechischen","ausstellung","kultur","deutschen","berlin","demokratie","stiftung","jüdischen","deutschen","demokratie","berliner","kulturpolitik","jüdischen","juden","kulturpolitik","rechtschreibung","geschichte","demokratie","bibliothek","baukultur","künstler","enquetekommission","ddr","juden","grundgesetz","stiftung","stiftung","sinti","aufarbeitung","namibia","leistungsschutzrecht","künstler","ddr","künstler","israel","bildungspolitik","geschichte","kulturelle","künstler","antisemitismus","kultur","grundgesetz","kultur","opfer","freiheit","antisemitismus","kultur"
"3","sagen","aufgabe","politischen","unsere","opposition","staat","staat","staat","unseres","volkes","staat","partei","partei","staat","freiheit","volkes","aufgabe","unserer","demokratischen","freiheit","unserer","not","volkes","parteien","politischen","unseres","politischen","politische","staat","staat","freiheit","staat","unserer","unserer","demokratie","politik","gesellschaft","staat","freiheit","freiheit","staat","demokratie","sozialismus","demokratie","staat","staat","bundeskanzler","staat","demokratie","politischen","freiheit","jungen","partei","freiheit","staat","brandt","partei","volk","demokratie","parteien","volk","geschichte","demokratie","demokratie","demokratie","politischen","demokratischen","demokratie","geschichte","geschichte","deutschen","hauptstadt","geschichte","ddr","demokratie","gewalt","gewalt","geschichte","vertreibung","demokratie","brandenburg","geschichte","opfer","opfer","freiheit","geschichte","opfer","deutschen","geschichte","deutsche","kulturpolitik","demokratie","kunst","juden","entschädigung","opfer","sprache","berliner","opfer","nationalbibliothek","welle","dresden","kulturpolitik","kultur","antisemitismus","verfassung","versöhnung","kunst","geschichte","digitalisierung","musik","de","kreativwirtschaft","geschichte","künstlersozialversicherung","welle","kulturelle","völkermord","film","kunst","kultur","welle","geschichte","meinungsfreiheit","afd","afd","geschichte","freiheit"
"4","politischen","glaube","opposition","opposition","freunde","demokratie","partei","freunde","volkes","partei","demokratie","volkes","unserer","volkes","freien","staat","bereich","gewerkschaften","staat","unserer","volkes","bürger","gesellschaft","volkes","demokratie","bildung","parteien","demokratie","politischen","gesellschaft","volk","freiheit","menschen","reformen","unserer","bürger","freiheit","gesellschaft","staat","gesellschaft","demokratie","staat","brandt","partei","demokratischen","bundeskanzler","freiheit","bürger","bürger","freiheit","unseres","generation","politik","politik","generation","demokratie","kohl","freiheit","parteien","demokratie","geschichte","demokratischen","deutschen","volk","geschichte","menschen","bundeskanzler","freiheit","kultur","demokratie","geschichte","menschen","berlin","menschen","deutschen","deutschen","verfassung","grundgesetz","sudetendeutschen","geschichte","deutschen","deutschtschechischen","geschichte","demokratie","geschichte","gedenkstätten","denkmal","demokratie","berliner","berliner","deutschen","opfer","geschichte","sprache","kultur","sprache","deutschen","kulturpolitik","kultur","bücher","stiftung","brücke","kulturelle","elser","medien","staatsziel","vertreibung","bäume","polen","opfer","olympischen","dat","aufarbeitung","grütters","kunst","ddr","kulturellen","deutschen","kulturellen","künstlerinnen","israel","stiftungen","kultur","freiheit","freiheit","kultur","freiheit","geschichte"
"5","heute","unsere","glaube","immer","staat","unseres","demokratie","immer","partei","unseres","volkes","freiheit","staat","parteien","partei","parteien","freien","demokratischen","volkes","aufgabe","staat","unseres","unseres","unseres","unseres","freiheit","ordnung","parteien","volkes","politische","gesellschaft","politischen","freiheit","staat","freiheit","unseres","regierungserklärung","bürger","grundgesetz","demokratischen","sozialdemokraten","partei","partei","demokratischen","menschen","verfassung","parteien","unseres","partei","bundeskanzler","generation","politik","brandt","demokratie","jungen","politik","koalition","parteien","volk","partei","volkes","partei","toten","demokratischen","politischen","geschichte","menschen","politischen","ddr","freiheit","demokratie","verfassung","ddr","deutschen","deutschland","demokratie","geschichte","ddr","unrecht","ddr","menschen","sudetendeutschen","menschen","kulturpolitik","aufarbeitung","freiheit","bonn","freiheit","opfer","rechtssicherheit","geschichte","geschichte","deutsche","opfer","denkmal","geschichte","stiftung","baukultur","deutschen","deutsche","aufarbeitung","unesco","kulturwirtschaft","auslandsschulen","geschichte","stiftung","vertriebenen","versöhnung","welle","filme","sinti","aufarbeitung","künstlerinnen","kunst","liebknecht","geschichte","deutschen","kultur","filme","kultur","afd","buchpreisbindung","freiheit","ddr","juden","opfer","helmut","opfer"
"6","unserer","politischen","heute","volkes","immer","immer","volkes","verantwortung","demokratie","staat","unseres","volk","volkes","volk","politischen","kräfte","unseres","notstand","freiheit","demokratischen","freiheit","verantwortung","politischen","freiheit","regierung","demokratischen","unserer","staat","volk","unserer","demokratie","unserer","demokratie","unsere","politischen","unsere","bürger","regierungserklärung","unserer","brandt","terroristen","dregger","sozialdemokraten","solidarität","unseres","demokratischen","kommunisten","geschichte","demokratischen","partei","staat","demokratie","frieden","politischen","politik","schmidt","brandt","partei","partei","brandt","menschen","politischen","volkes","menschen","freiheit","gewalt","politische","deutschen","china","deutschen","deutschland","entscheidung","unrecht","demokratie","geschichte","ddr","berlin","deutschen","geschichte","deutschen","kultur","menschen","krieg","geschichte","stiftung","deutschen","geschichte","geschichte","deutschen","polen","freiheit","kultur","deutschen","deutschland","opfer","stiftung","geschichte","auswärtige","ddr","künstler","deutsche","kulturwirtschaft","musik","staatssicherheit","jüdischen","freiheit","flucht","ddr","künstler","open","stöbe","ddr","kreativen","aufarbeitung","ddr","juden","grütters","opfer","bildungspolitik","geschichte","deutsche","deutsche","ddr","geschichte","geschichte","geschichte","meinungsfreiheit","medien"
"7","regierung","volkes","debatte","demokratie","volkes","freunde","immer","partei","staat","freiheit","partei","demokratie","unseres","kräfte","staates","politische","ordnung","volkes","ordnung","politischen","verantwortung","demokratie","freiheit","politischen","bundeskanzler","demokratie","unseres","gesellschaft","verfassung","generation","unserer","reformen","staat","politischen","demokratischen","partei","unseres","demokratie","demokratischen","politischen","politischen","demokratischen","demokratie","unserer","unsere","bürger","demokratischen","unsere","staat","demokratie","demokratie","staat","freiheit","staat","demokratie","unseres","unseres","staat","menschen","volk","kohl","demokratie","unserer","kultur","demokratischen","staat","gewalt","bundeskanzler","deutschen","demokratischen","freiheit","deutschen","kultur","unrecht","demonstration","opfer","kultur","einheit","deutschen","freiheit","sudetendeutschen","tschechen","deutschen","deutschen","demokratischen","reichstag","deutschen","volk","kultur","kulturpolitik","kultur","möllemann","staatsministerin","deutschen","stiftung","nooke","deutsche","israel","teilung","kunst","neumann","künstlersozialversicherung","kulturellen","gregor","film","ddr","steinbach","vertreibung","kultur","reformation","polen","kreativwirtschaft","vertreibung","kulturpolitik","künstlersozialkasse","polen","auswärtige","polen","kunst","welle","welle","freiheit","opfer","medien","thüringen","deutschen","afd","aufarbeitung"
"8","demokratie","demokratie","unsere","unseres","partei","aufgabe","freunde","staates","immer","opposition","verantwortung","staat","unsere","aufgabe","kräfte","unsere","verantwortung","politischen","staates","volkes","volk","volk","verantwortung","volk","volkes","regierungserklärung","generation","unseres","bürger","menschen","bundeskanzler","parteien","unseres","unseres","unseres","freiheit","politischen","kräfte","gesellschaft","verfassung","ordnung","kommunisten","gesellschaft","verfassung","bundeskanzler","partei","staat","generation","unseres","auseinandersetzung","jungen","menschen","kohl","partei","partei","kohl","politik","menschen","politischen","demokratischen","deutschen","deutschen","volk","deutschen","staat","politische","deutschen","menschenrechte","demokratie","volk","volk","geschichte","deutschland","einheit","leben","volk","deutschen","enquetekommission","volk","diktatur","tschechischen","unrecht","verbrechen","menschen","ddr","republik","juden","deutsche","jüdische","stiftung","deutsche","juden","opfer","deutsche","jüdischen","bildungspolitik","berliner","religionsunterricht","berliner","deutschen","bundesstiftung","kulturellen","kunst","dkp","aufarbeitung","kulturpolitik","bdv","flucht","kommunismus","akten","reagan","urheberrecht","staatsleistungen","gedenken","geschichte","bauhaus","staatsministerin","sowjetunion","stiftung","deutschen","sprache","deutschen","deutschen","öffentlichrechtlichen","jüdischen","aufarbeitung","juden","welle"
"9","unsere","gerade","aufgabe","glaube","unseres","unsere","entwicklung","volkes","freunde","freunde","volk","kräfte","volk","partei","welt","aufgabe","menschen","staates","verantwortung","staates","unseres","parteien","staat","bürger","freiheit","parteien","volk","auseinandersetzung","unserer","unseres","menschen","demokratischen","reformen","demokratischen","bürger","demokratischen","ordnung","unseres","dregger","unserer","gesellschaft","parteien","verfassung","bürger","partei","unseres","geschichte","menschen","politik","bremer","demokratischen","politischen","menschen","volk","demokratischen","koalition","wähler","politik","freiheit","freiheit","politik","brandt","menschen","politischen","verfassung","kultur","geschichte","demokratischen","volk","sozialismus","einheit","bonn","verfassung","vergangenheit","deutsche","deutschland","umzug","berlin","demokratischen","enquetekommission","geschichte","demokratie","demokratie","freiheit","einheit","kultur","freiheit","entschädigung","gedenkstätten","entschädigung","denkmal","jüdischen","demokratie","deutsch","berliner","deutsche","barthel","bildungspolitik","büttner","palast","kulturpolitik","kulturelle","neumann","georg","ddr","welterbestätten","stasi","kinos","charta","access","rasse","urheber","urheberrecht","kulturelle","kirchen","deutschen","medien","film","filmförderung","juden","deutschen","buch","grundgesetzes","opfer","ddr","rassismus","sprache","afd"
"10","immer","immer","freunde","aufgabe","heute","volkes","unseres","unsere","hause","zukunft","freunde","parteien","aufgabe","freiheit","gemeinschaft","demokratischen","freiheit","parteien","volk","freien","politische","volkes","aufgaben","unsere","volk","staat","freiheit","unserer","freiheit","unsere","volkes","menschen","demokratischen","demokratie","inneren","wähler","marktwirtschaft","mitbestimmung","parteien","terroristen","freiheitlichen","sozialdemokraten","demokratischen","unseres","gewalt","unserer","generation","bundeskanzler","politischen","bürger","kohl","freiheit","staat","mitbürger","gewalt","volk","regierung","kohl","politik","unseres","partei","unserer","freiheit","kohl","unseres","freiheit","unsere","parteien","politischen","deutschland","deutsche","deutschland","deutsche","deutschland","opfer","leben","volk","kultur","leben","leben","demokratie","deutschen","unrecht","kulturellen","volk","demokratischen","heute","verantwortung","freiheit","zwangsarbeiter","opfer","historischen","sprache","zentralrat","baukultur","seddiktatur","opfer","deutschen","angehörigen","staatsziel","deutschen","opfer","künstler","film","staatsminister","demokratie","stiftungsrat","film","aufarbeitung","kulturellen","herero","film","künstlern","künstler","opfer","opfer","stiftung","versöhnung","deutsche","freiheits","juden","geschichte","juden","rundfunk","juni","minderheiten","kohl","gesellschaft"
