"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","abgeordneter","dr","dr","dr","uhr","uhr","sitzung","sitzung","sitzung","präsident","fraktion","schuldscheindarlehen","rutschke","herr","geschäftsordnung","geschäftsordnung","geschäftsordnung","geschäftsordnung","wahlkreise","verfassungsschutz","bundestages","alliierten","hessen","räume","coburg","sport","neugliederung","spiele","vorstand","ahlers","guatemala","ahlers","chile","ahlers","ahlers","staatssekretäre","journalisten","chef","steiner","guillaume","presse","schlei","bölling","urteil","bundesrechnungshof","urteil","film","film","luxemburg","medien","klein","medien","ausstellung","libanon","libanon","springer","bundespost","bundespost","bundespost","bundespost","bundespost","bundespost","bundespost","bundespost","vizepräsidenten","bundespost","bundespost","bundespost","bundesrechnungshof","stiftung","bundesrechnungshof","öffentlichrechtlichen","wismut","film","wismut","banken","dat","unternehmen","banken","telekom","post","post","post","banken","post","metro","post","sport","film","post","post","welle","ladenöffnungszeiten","welle","film","welle","sparkassen","regulierungsbehörde","offenlegung","ministererlaubnis","hedgefonds","telekom","wettbewerb","ikb","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","verbraucher","banken","banken","banken","griechenland","ezb","banken","wirecard","geldwäsche"
"2","herr","herr","uhr","abgeordneter","dr","dr","geschäftsordnung","tagesordnung","geschäftsordnung","uhr","präsident","dehler","damen","reichsnährstandes","herr","präsident","ältestenrat","fristeinrede","argoud","diäten","rutschke","vorbehaltsrechte","osswald","zimmer","hofmann","spiele","hofmann","olympischen","satzung","bundespressechef","olympischen","informationsamtes","schwarzarbeit","presse","spiele","parlamentarischen","presse","grabert","guillaume","presse","chef","staatssekretärin","schüler","öffentlichkeitsarbeit","bayerischen","garching","urteil","öffentlichkeitsarbeit","hauff","mad","gaus","fernsehen","kontrollkommission","libanesischen","israel","broschüren","post","paterna","post","kulturpolitik","post","post","post","post","guernica","post","post","post","börnsen","post","bundespost","post","telekom","bundesrechnungshof","film","postreform","de","mitbestimmung","dzt","informationsgesellschaft","ag","ag","ag","post","ag","welle","ag","bundesdruckerei","filmförderung","wettbewerb","film","kirch","post","post","leipzig","bafin","welle","wettbewerb","unternehmen","basel","unternehmen","reits","kfw","kfw","bank","sparkassen","krise","bank","finanztransaktionsteuer","krise","aufsicht","regulierung","bankenaufsicht","bankenunion","bank","einlagensicherung","bausparkassen","bank","verbraucher","verbraucherinnen","verbraucher","verbraucher","bank","ezb","zentralbank","verbraucher","bafin","griechenland"
"3","dr","abgeordneter","herr","uhr","sitzung","geschäftsordnung","uhr","grundgesetzänderung","präsident","damen","geschäftsordnung","herr","präsident","rutschke","erben","kommission","fristeinrede","präsident","wahlkreis","alliierten","bürohaus","ablösung","landes","dorn","orchester","hofmann","volksbegehren","hofmann","stiftung","olympischen","spiele","anzeige","gewandt","chef","presse","ehmke","chef","bundeskanzleramtes","staatssekretärin","ehmke","bölling","presse","bundesbank","bölling","abgeordneter","öffentlichkeitsarbeit","filmwirtschaft","bölling","radio","josef","huonker","schwarzschilling","weirich","palästinenser","israelischen","burda","postminister","rechnungsprüfungsausschuss","verkabelung","postminister","paterna","sprache","paterna","sprache","bundesrechnungshof","fernmeldewesen","wettbewerb","schwarzschilling","rechnungshof","salzgitter","gedenkstätte","rundfunk","post","telekom","telekom","telekom","un","welle","ard","post","telekommunikation","telekommunikation","wettbewerb","wettbewerb","wettbewerb","divag","wettbewerb","post","produzenten","zugabeverordnung","ag","wettbewerb","einzelhandel","deutsche","verbraucher","wettbewerb","kunden","zeitungen","aktionäre","banken","sparkassen","wettbewerb","post","banken","krise","landesbanken","regulierung","finanztransaktionsteuer","bank","finanzmärkte","basel","finanzmärkte","aufsicht","steuerzahler","steuerzahler","aufsicht","bank","verbraucher","verbraucherinnen","banken","einlagensicherung","kredite","ezb","euro","bafin","bafin","esm","immobilienregister"
"4","wort","ehlers","sitzung","sitzung","geschäftsordnung","sitzung","dr","präsident","dr","tagesordnung","ältestenrat","börsenumsatzsteuer","herr","präsident","präsident","herr","auftrag","uhr","neueinteilung","bundesamt","gradl","bundestages","hessischen","haase","einwohner","bibliothek","baden","sportler","bvs","spiele","spreti","presse","sohn","informationsamtes","informationsamtes","pressereferat","verordnung","presse","zeugen","chef","bundeskanzleramtes","bölling","broschüre","abgeordneter","bölling","bundesverfassungsgericht","bölling","staatssekretär","klein","klein","schwarzschilling","medienpolitischen","medienbericht","presse","schäfer","monopolkommission","glasfaser","post","paterna","post","flugsicherung","rechnungshof","goetheinstitut","deutschen","stiftungen","rumänien","telekommunikation","fernmeldewesen","bundesrechnungshofs","bundespost","post","anstalten","bundespost","bundesrechnungshofes","post","post","post","aktiengesellschaft","wettbewerb","telekommunikation","einzelhandel","postbank","internet","ag","unternehmen","ag","kunden","internet","ladenschluss","internet","wettbewerb","sports","uhr","uhr","wettbewerb","kunden","unternehmen","kartellamt","gmbh","erpsondervermögen","wettbewerb","reit","banken","unternehmen","estate","bank","finanzmärkte","hre","anleger","bank","finanzmärkte","aufsicht","bank","schick","bankenunion","schick","verbraucher","bafin","bank","kunden","bankenunion","bank","griechenland","bargeld","wirecard","wirecard","banken","ezb"
"5","abgeordnete","sitzung","abgeordneter","herr","präsident","präsident","präsident","rasner","tagesordnung","fraktion","damen","dr","dr","geschäftsordnung","zuweisung","expertenkommission","nachmittag","herr","hannover","abgeordneten","bundestagsvorstand","texte","schulden","frehsee","bibliothek","plenum","badenwürttemberg","herr","hofmann","anzeige","atü","chef","chilenischen","abgeordneter","chef","presse","wechmar","göbel","wienand","bundeskanzleramt","schlei","frau","abgeordneter","bundesverfassungsgericht","bayerische","rechnungshof","filmtheater","filmförderung","medien","schwarzschilling","medien","presse","klein","fernsehen","palästinenser","presse","paterna","presse","postminister","bundespostminister","postminister","journalisten","kulturpolitik","kulturpolitik","bundespost","börnsen","bundesrechnungshof","telekommunikation","anwaltschaft","telekommunikation","bundesrechnungshofes","bundespost","unternehmen","bundespost","krebsregister","bundespost","ick","banken","bury","wettbewerb","telekom","laufs","informationsgesellschaft","unternehmen","filialen","unternehmen","einzelhandel","bank","einzelhandel","rabattgesetz","internet","landesbank","verbraucher","unternehmen","filmwirtschaft","regulierungsbehörde","software","musik","hauptversammlung","wettbewerb","mitbestimmung","unternehmen","unternehmen","bank","hypo","unternehmen","ratingagenturen","krise","bankenabgabe","finanztransaktionsteuer","finanzaufsicht","bank","zypern","aufsicht","aufsicht","bank","kunden","schick","kunden","verbraucherschutz","handwerker","risiken","commerzbank","zinsen","verbraucher","verbraucherinnen","anleger","verbraucherinnen"
"6","sitzung","präsident","ehlers","präsident","abgeordneter","herr","herr","geschäftsordnung","gerstenmaier","herren","herr","kapitalverkehrsteuergesetzes","herren","präsidenten","erbrecht","bundestages","präsident","abgeordnete","ostfriesland","untersuchungsausschuss","hauses","hauses","hessenplan","verwaltung","land","sportlichen","rheinlandpfalz","dpa","volksentscheid","schmid","botschafters","öffentlichkeitsarbeit","chilenische","staatssekretär","olympischen","aufgaben","informationsamtes","informationsamtes","ehmke","schlei","schüler","journalisten","broschüren","haase","öffentlichkeitsarbeit","rechnungsprüfungsausschuss","bundesverfassungsgericht","presse","bundesminister","franz","planungsabteilung","öffentlichrechtlichen","untersuchungsausschuss","radio","stercken","bundeswirtschaftsminister","verkabelung","rundfunkanstalten","breitbandverkabelung","verkabelung","pfeffermann","spranger","rawe","fernmeldewesen","sellin","bundesrechnungshof","fernmeldewesen","deutsche","unternehmen","unternehmen","bundesrechnungshofs","werbung","telekommunikation","filme","hörfunk","versicherungen","telekom","aktiengesellschaften","girokonto","ag","wettbewerb","telekom","kunden","bury","jens","kollege","welle","banken","liberalisierung","markt","rock","sport","samstag","verbraucher","rostock","verbraucher","schleswigholstein","kunden","transparenz","unternehmen","regulierung","markt","manager","telekom","unternehmen","ratingagenturen","bank","finanzmärkte","krise","markt","bafin","bankenaufsicht","steuerzahler","kapitalmarkt","ratingagenturen","bafin","konto","aufsicht","bafin","bafin","bank","finanzkrise","euro","banken","bundesbank","unternehmen","haftung","wsf"
"7","tagesordnung","zusatzfrage","präsident","zusatzfrage","zusatzfrage","abgeordneter","tagesordnung","uhr","uhr","herr","gerstenmaier","neuburger","abgeordneter","dr","damen","auftrag","fuchs","her","wahlkreises","bundestagsabgeordneten","räume","öffentlichkeit","staatsminister","hochhaus","leicht","sports","land","organisationskomitee","sportlichen","flammenpfennig","kohlensäuredruck","guinea","spiele","journalisten","sport","presserat","eid","wechmar","untersuchungsausschuss","nollau","staatssekretärin","bundeskanzler","öffentlichkeitsarbeit","presse","anzeigen","verfassungsgericht","wahl","filme","herr","programme","bundesrechnungshof","rundfunk","rundfunk","klein","mainz","stolze","medienpolitik","ludwigshafen","eurocontrol","kultur","bundesrechnungshof","bundesrechnungshof","poststellen","film","herr","jugendschutz","börnsen","unternehmen","bundesrechnungshofes","ag","ag","rundfunkanstalten","postdienst","rechnungshof","bundespost","postbank","is","postreform","telekom","kiper","postfilialen","bury","inhalte","postgesetz","film","unternehmerische","verordnung","rundfunk","öffentlichrechtlichen","liberalisierung","bundesbank","markt","wettbewerb","sport","bewerbung","deutsche","neumann","unternehmen","hedgefonds","girokonto","telekom","kfw","anleger","landesbanken","finanzmärkte","bankenaufsicht","finanztransaktionsteuer","regulierung","schick","regulierung","bank","hochfrequenzhandel","sparkassen","regulierung","dispozinsen","verbraucher","girokonto","risiken","meister","makler","steuerzahler","ezb","fusion","verbraucherschutz","urteil","griechenland","insolvenz","zinsen"
"8","uhr","uhr","geschäftsordnung","gerstenmaier","herr","gerstenmaier","rasner","herren","bundestages","dr","rasner","präsident","geschäftsordnung","fraktion","ausschuss","döring","parlamentarischen","bat","wahlkreiseinteilung","telefon","räumen","amt","gemeinden","dienstag","fänge","raumes","mainz","attendorn","parlamentsreform","herr","kontakt","bundesregierung","olympischen","herr","sports","leitung","bundeskanzleramt","ehmke","schlei","bnd","bundeskanzler","wochenschau","staatssekretär","anzeigen","staatsministerium","bayerischen","fernsehen","papier","genscher","fernsehen","sendungen","medienpolitische","enquetekommission","bundespost","israelische","zusammenschluss","schäfer","apostel","schwarzschilling","rechnungshof","rechnungshof","schwarzschilling","fernmeldewesen","deutsche","schwarzschilling","videokassetten","rumänien","wettbewerb","anwälte","telekom","rechnungsprüfungsausschuss","praklaseismos","postbank","rechnungsprüfungsausschuss","postreform","film","wi","rabattgesetzes","post","börnsen","ladenöffnungszeiten","filialen","kiper","kunden","fusionskontrolle","bury","verbraucher","fusion","übernahmen","unternehmen","markt","banken","ladenschlussgesetz","finanzplatz","olympischen","markt","deutschen","regulierung","gehälter","kunden","bundeskartellamt","post","ag","aufsichtsrat","kfw","krise","hedgefonds","bankenabgabe","gläubiger","honorarberatung","iii","krise","regulierung","finanzmärkte","schick","risiken","gläubiger","anleger","produkte","sachkundenachweis","ezb","bundesbank","steuerzahler","kredite","banken","gläubiger","finanzaufsicht","markt"
"9","abgeordneten","danke","zusatzfrage","minuten","gerstenmaier","tagesordnung","minuten","fraktion","fraktion","sitzung","provokation","finanzausschusses","sitzung","abwicklung","gesetz","gutachten","wäre","mönchlein","györfi","hauses","vorstand","verfassungsschutz","zahlen","kassel","vermerk","hessen","schmittvockenhausen","malteserhilfsdienst","warentest","zusatzfrage","öffentlichkeitsarbeit","zeitschrift","chilenen","bundesregierung","anzeigen","pressestelle","schwöre","staatssekretäre","schäuble","guillaumes","informationsamtes","zeitungen","herr","urteils","staatssekretär","bundesverfassungsgerichts","dokumentation","urteil","satelliten","untersuchungsausschuss","rundfunk","anstalten","untersuchungsausschusses","satelliten","israels","schwarzschilling","fahrlässig","schäfer","glasfaser","breitbandverkabelung","fernmeldewesen","deutschen","rechnungshof","schwarzschilling","sitze","filme","deutsche","postreform","post","neustrukturierung","telekom","ulrich","postunternehmen","post","telekommunikation","ii","postreform","post","stoiber","kommunikation","bury","paul","bury","transparenz","gwb","post","übernahmen","mosdorf","deutschen","ag","popmusik","staatsferne","geschäfte","grossveranstaltungen","uwg","anleger","öffentlichrechtlichen","kartellrecht","vorstandsvergütungen","berninger","markt","korruption","marktwirtschaft","gmbh","bafin","bafin","schick","markt","fonds","aufsicht","bankenaufsicht","steuerzahler","finanzmärkte","bank","kunden","anleger","schick","kleinanleger","risiken","verwalter","kredite","verbraucherinnen","verbraucher","sparer","staatsfinanzierung","schuldner","unternehmen","hauptversammlungen"
"10","minuten","abgeordneten","tagesordnung","herren","übergang","ältestenrat","eröffnet","herr","abgeordneter","geschäftsordnung","dr","bundesbank","fraktion","abgeordneter","erblasser","parlamentarischen","uhr","vermittlungsausschuss","wahlkreiskommission","untersuchung","marken","äussersten","verschuldung","räumen","bamberg","lenze","volksentscheid","münchen","olympischen","leser","entführern","staatssekretär","brück","welle","staatssekretär","bnd","korrespondenten","herr","untersuchungsausschusses","bölling","zeitungen","sicherheitsrisiko","presse","publikationen","herr","presse","wahlberechtigten","pressefusionskontrolle","schwarzschilling","freitag","bundesrechnungshofes","informations","antrag","informations","klein","ministererlaubnis","schwarzschilling","private","flugsicherung","schwarzschilling","verkabelung","deutsche","goetheinstituts","fernsehen","tasche","sauter","postreform","deutschen","wettbewerb","wettbewerb","dörfler","gebührenerhöhung","christian","kontrolle","gmbh","börnsen","nich","verbraucher","telekommunikation","banken","telekommunikationsgesetz","rundfunk","netz","anleger","wettbewerbspolitik","wettbewerb","öffnungszeiten","holzmann","ladenschlussgesetzes","verbraucher","exklusivlizenz","nidarümelin","ag","ag","neumann","girokonto","deutsche","verbraucher","vorstände","ii","märkte","wohnimmobilien","markt","krise","real","kredite","finanzmärkten","steuerzahler","finanzkrise","finanzkrise","finanztransaktionsteuer","reguliert","ezb","fonds","zinsen","ezb","verbraucherinnen","finanzkrise","schick","instrumente","kunden","krise","eib","steuerzahler","unabhängigkeit","bank","wirtschaftsprüfer","aktionäre"
"11","geschäftsordnung","wort","abgeordneten","damen","jaeger","rasner","herren","atomgesetz","herr","hauses","herren","februar","bausch","ressorts","abgeordneter","ritzel","vermerk","erst","ostfriesischen","aufwandsentschädigung","verwaltung","ersatz","land","raumkommission","frankfurt","frankfurt","saarland","berner","deichverteidigung","staatssekretär","freilassung","abgeordneter","öffentlichkeitsarbeit","anzeigen","herr","besondere","glückwunsch","staatsanwaltschaft","bundeskanzler","journalisten","bnd","ehmke","werbeagentur","verfassungsgericht","bundesrechnungshofs","culham","filmförderung","wahlplattform","thorn","strauss","friedmann","verkabelungsstopp","presse","informationsfreiheit","staatsminister","wirtschaftsminister","kupfer","medienpolitik","fernmeldewesen","kulturelle","medienpolitik","paterna","bundesrechnungshof","privaten","abgeordnete","jugendliche","dienste","depfa","prüfungsrecht","privatisierung","stiftung","unternehmens","stiftung","deutschen","nationalen","kunden","postunternehmen","wettbewerb","unternehmen","postreform","kiper","bötsch","liberalisierung","welle","lambsdorff","herr","unternehmen","wettbewerb","neumann","kunden","liberalisierung","murdoch","monopolkommission","internet","spiele","sportförderung","sparkasse","post","aktiengesellschaften","immobilienfonds","bafin","anleger","ikb","korruption","aufsicht","aufsicht","müssen","schick","bafin","schick","sparkassen","steinbrück","fonds","gläubiger","risiken","sparer","basiskonto","verbraucherinnen","boni","verbraucherpolitik","verbraucherschutz","bankenunion","targetsalden","negativzinsen","euro","zinsen","verbraucher","hauptversammlung"
"12","damen","frage","schmid","schmid","tagesordnung","eröffnet","abgeordneter","atomgesetzes","redezeit","ältestenrat","haus","geschäftsordnung","abgeordnete","ausschüsse","schwerbeschädigten","interfraktionellen","mende","schoettle","niedersachsen","unabhängigkeit","haus","schützen","luda","brese","roten","münchener","art","vereins","herr","abgeordneter","schaumwein","chile","holz","anzeige","abgeordneter","schulzevorberg","ddr","freiherr","vertrauensmännergremium","informationsamtes","bundeskanzleramt","wochenschauen","schlei","schäfer","staatsregierung","bölling","europawahlordnung","bundeskanzleramt","abgeordneter","rundfunk","rechnungsprüfungsausschuss","bundespost","medien","unifil","raumfahrtindustrie","verlage","stunde","rechnungshof","deutschen","satelliten","rawe","rundfunk","werbung","kultur","auswärtigen","paterna","monopol","pfeffermann","rechnungsprüfungsausschuss","bundesrechnungshof","hadamar","telekommunikation","unternehmens","filmförderung","öffentlichrechtlichen","uldall","se","telekom","öffentlichrechtlichen","unternehmen","postagenturen","kooperationsvertrag","medien","deutschen","novelle","gmünd","ladenöffnungszeiten","öffentlichrechtlichen","öffnungszeiten","rabattgesetzes","kartellamt","deutsche","öffnungszeiten","deutschen","deutschen","kartellamt","ladenschluss","markt","börsennotierten","bank","reits","erpsondervermögen","gmbh","schäffler","enteignung","post","kredite","leerverkäufe","regulierung","märkte","krise","schick","krise","grauen","ratings","versicherungen","sparkassen","finanzmärkte","verbraucherschutz","kredite","sparer","einlagensicherung","finanzkrise","bank","verbraucherinnen","aufsicht","aufsicht","immobilien"
"13","herren","abgeordnete","wort","berufe","bitte","damen","ältestenrat","grundgesetzergänzung","hauses","rasner","hauses","geschäfte","gerstenmaier","vorwürfe","buchstabe","material","identifiziert","kommissionen","rechtshilfeersuchen","untersuchungsausschusses","bauen","missbrauch","einwohner","arbeitsräume","hauptzollamt","fussball","badischen","lenze","sportler","krankenhäuser","rebellen","olympischen","santiago","pressefreiheit","bundesregierung","nachrichtendienstliche","helfe","staatssekretär","zeuge","bundeskanzler","frau","klein","stern","herr","essel","friedmann","bundesrechnungshofes","bundespresseamt","programme","untersuchungsausschusses","leiter","verkabelung","rauschenbach","ddr","plo","kampagne","pkk","zuwendungen","pfeffermann","fernmeldewesen","bundespostminister","fernmeldewesen","rechnungsprüfungsausschuss","paterna","darf","bundesrechnungshofes","beschäftigten","postminister","bundespost","deutsche","salzgitter","briefs","bundesrechnungshof","unternehmen","börnsen","rechnungsprüfungsausschuss","postbank","postbank","rundfunkanstalten","bury","informationsgesellschaft","wettbewerb","postgesetz","preussag","deutsche","banken","mosdorf","doping","filmwirtschaft","exklusivlizenz","films","sportler","einzelhandels","wettbewerb","liberalisierung","grauen","patentierbarkeit","meinungsvielfalt","rechtsform","kartellamt","banken","entflechtung","transparenz","risiken","finanzmarkt","papiere","dautzenberg","bafin","aufsicht","finanzmärkten","regulierung","finanzmarktregulierung","girokonto","abwicklungsfonds","haften","risiko","einlagensicherung","einlagensicherung","produkt","schick","verbraucherinnen","steuerzahler","bundesbank","finanztransaktionsteuer","verbrauchern","ezb","anlegerschutz","unternehmen"
"14","bitte","damen","abgeordnete","wort","eröffnet","fahren","vizepräsidenten","damen","damen","abgeordneter","präsidenten","schuldscheine","hauses","herren","bedenken","eindruck","reisegewerbekarte","unterbrochen","uhr","böhm","abgeordneten","grundgesetzes","herr","arbeitszimmer","main","sportverkehr","hessen","sport","spiele","öffentlichkeitsarbeit","schaumweinsteuer","anzeigen","organisationskomitees","olympischen","wagner","bundesminister","bundeskanzleramtes","zusatzfrage","presse","bundesnachrichtendienst","bundesnachrichtendienstes","akten","auflage","informationsamt","anzeige","herr","bundesrechnungshof","films","informationsfreiheit","dienste","luxemburg","medienpolitik","fernsehen","libanesen","sicherheitspolitisch","stunde","pfeffermann","marx","deutsche","zeittakt","privaten","rundfunkanstalten","sonn","kino","feiertagen","fernmeldewesens","grünbuch","paterna","berufsrecht","görts","errichtung","zdf","ablieferung","films","unternehmen","unternehmen","aktiengesellschaft","postunternehmen","ag","markt","verbraucher","barthel","telekommunikation","herr","postgewerkschaft","standards","kontrag","olympischen","sendungen","anbieter","onlinewahlen","internet","ladenschluss","markt","regulierung","informationsgesellschaft","banken","heil","vorstandsgehälter","fonds","bundesnetzagentur","zeil","kredite","kredite","hre","wettbewerb","risiken","post","anlegerschutz","griechenland","spanien","zypern","zentralbank","bafin","regulierung","fonds","steuerzahler","gerhard","finanzkrise","restschuldversicherung","widerrufsrecht","griechenland","anleger","aufsichtsrat","geldpolitik","finanzaufsicht","fonds","verbraucher"
"15","herrn","herren","vizepräsident","nächste","vizepräsident","herren","jaeger","menzel","bundestag","bundestages","uhr","gerstenmaier","hause","reichsnährstandsbeamten","zuweisungsverfahren","bundestagsvorstand","herangegangen","übungen","conring","amt","arbeitsräume","verfassungsschutzes","bundestages","raumbedarf","eisenmann","dichgans","güde","presseagentur","selbstschutz","komitee","tode","spiele","herr","nannen","münchen","münchen","herzlichen","anzeigen","frau","bundesnachrichtendienstes","waffengeschäften","vertretung","zeitungen","klage","zusatzfrage","jet","filmabgabe","schröder","fernsehen","medienpolitischen","regierenden","öffentlichkeitsarbeit","parlamentarischen","stercken","film","aktuelle","grob","beamte","ausbau","kabel","deutsche","öffentlichrechtlichen","öffentlichrechtlichen","filmförderung","jürgen","rumänische","kunden","bundespostminister","telekommunikation","deutschen","rechnungshof","ag","schwarzschilling","rechnungsprüfungsausschusses","filmförderungsgesetz","konzentration","bundespost","dslbank","zdf","regulierung","remailing","informationsgesellschaft","unternehmen","öffentlichrechtlichen","agenturen","frankfurt","liberalisierung","ag","beschäftigten","müller","filme","deutschen","verbändevereinbarung","kunden","films","deutschen","wettbewerb","selbstverpflichtung","regulierung","fusion","anbieter","ag","managergehälter","wettbewerb","finanzmarktkrise","bundesbank","finanzaufsicht","sparkassen","steuer","steuerzahler","altersversorgung","ebene","brinkhaus","risiken","haftung","kapitalmarkt","bafin","kapitalmarkt","aufsichtsrat","verbrauchern","risiken","target","unternehmen","hauptversammlung","zinsen","schulden","bank","bankenunion"
"16","aussprache","bitte","herren","vizepräsident","bundestages","präsidenten","vizepräsident","dr","herren","gerstenmaier","berlin","getäuscht","kollege","herrn","abgeordnete","struve","worden","hauses","rückführung","bezüge","abgeordnete","telefon","frankfurt","neubau","brese","neugliederung","herr","bühnen","kollege","missverständnis","dokumentation","herr","staatssekretär","zeitungen","olympische","dienstes","pressefreiheit","frau","chef","untersuchungsausschuss","herr","guillaume","anzeigen","schlei","bundespresseamt","mitbestimmungsgesetz","wählerverzeichnis","filmwirtschaft","patentamt","pilotprojekte","persönliche","paterna","wdr","medien","hilfe","bundespost","leinen","rösing","pro","fernsehen","schwarzschilling","kulturpolitik","pfeffermann","öffentlichrechtlichen","abelein","ritterhude","bundespostminister","postordnung","bga","zulassungen","unternehmen","telekom","transparenz","wismut","schwarzschilling","landesmedienanstalten","börnsen","bernrath","kreditinstitute","bötsch","öffnungszeiten","postfilialen","iukdg","telekommunikation","kunden","schwäbisch","postuniversaldienstleistungsverordnung","medien","films","verlängerung","filialen","kartellamt","kopp","finanzmarkt","branche","internet","privatisierung","quote","eigentümer","kredite","spielsucht","liberalisierung","liberalisierung","ag","marktwirtschaft","finanzkrise","finanzmarkt","zöllmer","kapitalmarkt","gesetz","anleger","eigenkapital","finanzmarktregulierung","abwicklung","fonds","versicherten","aufsicht","ebene","unternehmen","bank","finanzkrise","verbraucherschutz","aufsichtsrat","verbraucher","finanzkrise","bargeld","vermögensanlagen","iwf"
