"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","deutschland","politik","wiedervereinigung","wiedervereinigung","sowjetunion","wiedervereinigung","wiedervereinigung","atomwaffen","wiedervereinigung","wiedervereinigung","politik","politik","politik","berlin","deutschen","politik","berlin","vertrag","sowjetunion","bundeskanzler","politik","schröder","frankreich","staaten","staaten","europa","politik","sowjetunion","ddr","politik","sowjetunion","politik","sowjetunion","bundeskanzler","verträge","deutschland","ddr","ddr","vertrag","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","sowjetunion","sowjetunion","sowjetunion","sowjetunion","sowjetunion","polen","sowjetunion","ddr","sowjetunion","sowjetunion","sowjetunion","sowjetunion","sowjetunion","waffen","sowjetunion","sowjetunion","sowjetunion","waffen","waffen","ddr","ddr","europa","europa","europa","europa","europa","europa","europäischen","europäischen","europa","europäischen","europäischen","russland","europa","europäischen","europäischen","europäischen","europäischen","europa","europäischen","europäischen","europäischen","europäischen","europa","europa","europäischen","europäischen","europa","türkei","europäischen","europa","europäischen","europäischen","europa","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europa","europa","europa","europa","europa","europa","griechenland","griechenland","europa","europa","europa","europa","europa","europa","europäischen","europa","europäischen","europäischen","europa"
"2","deutschen","europäischen","politik","deutschlands","wiedervereinigung","welt","politik","waffen","sowjetunion","deutschlands","welt","abrüstung","aussenpolitik","staaten","welt","welt","ollenhauer","europa","staaten","politik","staaten","staaten","politik","europa","beziehungen","staaten","ddr","europa","deutschlands","sowjetunion","politik","ddr","ddr","deutschland","sowjetunion","ddr","vertrag","staaten","ddr","sowjetunion","sowjetunion","polen","menschenrechte","menschenrechte","menschenrechte","sowjetunion","sowjetunion","sowjetunion","ddr","moskau","staaten","ddr","ddr","sowjetunion","ddr","staaten","europa","waffen","waffen","waffen","europa","sowjetunion","waffen","europa","nulllösung","sowjetunion","sowjetunion","sowjetunion","europa","ddr","sowjetunion","sowjetunion","europäischen","vertrag","europäischen","europa","europa","europäischen","europa","europa","europäischen","europäischen","europa","europa","europa","europa","europäischen","europa","nizza","europa","europa","europäischen","europäischen","europa","europa","europäischen","europäischen","türkei","europäischen","europa","europa","europäischen","europa","europa","europäische","europa","europa","europa","europa","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europa","europa","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europa","europäischen","europa","europa","europäischen"
"3","europa","welt","deutschlands","welt","politik","politik","sowjetunion","welt","politik","welt","freiheit","sowjetunion","deutschen","welt","berlin","berlin","bundeskanzler","politik","politik","europa","deutschen","französischen","nato","deutschland","sowjetunion","politik","deutschlands","politik","politik","staaten","bundeskanzler","nation","europa","europa","politik","politik","vereinten","politik","beziehungen","berlin","konferenz","deutschland","helsinki","berlin","sowjetunion","berlin","berlin","nation","afghanistan","ddr","ddr","bundeskanzler","staaten","ddr","staaten","bündnis","staaten","staaten","staaten","europa","ddr","staaten","staaten","reykjavik","abrüstung","ddr","abrüstung","europa","sowjetunion","europäischen","einheit","europäischen","europäische","europäischen","maastricht","europäische","union","union","russland","union","europa","europäische","währungsunion","europäische","euro","europäische","europäische","union","europa","union","union","europäische","europäische","europäische","europäische","europäische","europa","europa","türkei","europäische","europäische","europäische","europäische","europäische","europa","europäische","europäische","europäische","europäische","europäische","griechenland","griechenland","europäische","europäische","europäische","europäischen","europäischen","europäische","europäische","europäische","europäische","europäische","europäische","europäische","europäische","europäische","europäische","europäische"
"4","deutschlands","deutschlands","ollenhauer","politik","deutschlands","sowjetunion","welt","sowjetunion","nato","waffen","aussenpolitik","freiheit","welt","zone","politik","vereinigten","politik","staaten","vertrag","welt","welt","deutschland","französischen","truppen","europa","deutschland","europa","staaten","staaten","ddr","europa","sowjetunion","deutschland","auswärtigen","vertrag","bundeskanzler","nationen","deutschland","sowjetunion","beziehungen","staaten","berlin","deutschland","helsinki","mertes","menschenrechte","beziehungen","politik","staaten","sowjetischen","bundeskanzler","staaten","abrüstung","europa","frieden","sowjetunion","verhandlungen","verhandlungen","europa","staaten","staaten","europa","europa","waffen","europa","abrüstung","europa","waffen","polen","sowjetunion","polen","staaten","sowjetunion","europäische","europäische","gemeinschaft","europäische","europäische","union","europäische","nato","union","europäische","nato","währungsunion","union","union","europäische","union","nizza","europäische","union","türkei","union","türkei","verfassung","europäische","europäische","europäische","union","union","union","union","vertrag","kommission","vertrag","griechenland","kommission","mitgliedstaaten","griechenland","europäische","europäische","kroatien","union","union","europäische","europäische","grossbritannien","union","grossbritannien","eu","union","union","union","union","union","union","union"
"5","welt","europa","welt","sowjetunion","konferenz","deutschlands","ungarn","abrüstung","atomwaffen","sowjetunion","erler","deutschlands","sowjetunion","erler","deutschlands","staaten","sowjetunion","bundeskanzler","welt","staaten","erler","auswärtigen","deutschland","vereinigten","politik","sowjetunion","sowjetunion","tschechoslowakei","anerkennung","bundeskanzler","staaten","europa","marx","barzel","deutschland","scheel","deutschland","sowjetunion","vertrages","deutschland","deutschland","polnischen","sowjetunion","deutschland","staaten","beziehungen","mertes","wiedervereinigung","entspannungspolitik","afghanistan","politik","politik","frieden","staaten","europa","europa","vereinigten","europa","stationierung","sowjetischen","waffen","sdi","amerikanischen","abrüstung","reichweite","europa","nuklearen","staaten","waffen","einheit","europäischen","europäische","polen","staaten","vertrag","staaten","nato","staaten","europäische","währungsunion","staaten","osze","nato","union","europäische","nato","euro","regierungskonferenz","europäische","europäische","konvent","europas","union","nato","verfassung","union","union","verfassung","eu","eu","bulgarien","eu","kommission","union","union","union","eu","union","union","union","fiskalpakt","union","griechenland","eu","irland","griechischen","union","union","eu","union","union","eu","eu","eu","eu","eu","eu","eu"
"6","politik","konferenz","europäischen","verträge","deutschen","freiheit","deutschlands","wiedervereinigung","deutschlands","politik","sowjetunion","wiedervereinigung","freiheit","bundesrepublik","august","bundeskanzler","freiheit","europäischen","vereinigten","deutschland","europa","politik","europa","politik","vereinigten","europäischen","staaten","sowjetischen","beziehungen","europa","ddr","deutschland","staaten","staaten","europa","staaten","grundvertrag","beziehungen","deutschland","staaten","beziehungen","sowjetunion","jäger","politik","chile","deutschland","politik","deutschland","politik","staaten","frieden","nation","europa","bundeskanzler","bundeskanzler","abrüstung","waffen","frieden","frieden","krieg","amerikanischen","genf","nato","staaten","waffen","staaten","staaten","abrüstung","ungarn","staaten","europas","europas","union","maastricht","gemeinschaft","vertrag","staaten","präsidentschaft","tschetschenien","französischen","europäische","währungsunion","euro","vertrag","union","kommission","gipfel","mitgliedstaaten","erweiterung","polen","nizza","nato","europas","verfassung","union","eu","eu","union","union","mitgliedstaaten","rumänien","kommission","vertrag","eu","mitgliedstaaten","lissabon","union","eu","eu","kommission","union","kommission","union","kommission","kommission","griechische","bundeskanzlerin","griechenland","europas","eu","europas","brexit","brexit","europas","mitgliedstaaten","mitgliedstaaten","mitgliedstaaten","europas"
"7","deutsche","wiedervereinigung","londoner","deutschland","welt","deutschen","freiheit","politik","abrüstung","atomwaffen","staaten","zone","berlin","deutschland","freiheit","nato","wehner","vereinigten","bundeskanzler","berlin","bundeskanzler","europa","staaten","bundesrepublik","bundesrepublik","bundesrepublik","nation","welt","deutschland","vertrag","moskau","bundeskanzler","entspannung","ddr","ddr","vertrag","einheit","bundesrepublik","bundesrepublik","konferenz","berlin","deutschen","konferenz","staaten","deutschland","staaten","abkommen","entspannung","entspannung","bundeskanzler","europa","europa","politik","sowjetischen","politik","sicherheitspolitik","beziehungen","ddr","ddr","abrüstung","deutschlandpolitik","usa","usa","amerikanischen","sicherheit","west","verhandlungen","europäischen","staaten","deutschen","deutschland","gemeinschaft","gemeinschaft","gemeinschaft","union","abrüstung","gemeinschaft","ksze","russischen","frankreich","union","vertrag","union","amsterdam","währung","agenda","mitgliedstaaten","eu","osterweiterung","erweiterung","mitgliedstaaten","eu","kopenhagen","konvent","regierungskonferenz","europas","partnerschaft","eu","frankreich","verfassung","kommission","mitgliedstaaten","mitgliedstaaten","kommission","eu","eu","mitgliedstaaten","mitgliedstaaten","kommission","eurobonds","wachstum","bundeskanzlerin","bundeskanzlerin","europas","mitgliedstaaten","regierung","eu","eu","mitgliedstaaten","macron","mitgliedstaaten","grossbritannien","grossbritannien","brexit","ratspräsidentschaft","ratspräsidentschaft","staaten","staaten"
"8","freiheit","deutschland","europa","deutschen","sicherheit","westlichen","sicherheit","bundesrepublik","welt","freiheit","deutschland","deutschen","wiedervereinigung","bundeskanzler","bundeskanzler","aussenpolitik","deutschen","verträge","entspannung","deutschen","deutschland","beziehungen","welt","französischen","bundeskanzler","beziehungen","beziehungen","bundeskanzler","berlin","bundesrepublik","verhandlungen","vertrag","berlin","berlin","frieden","regierung","politik","nationen","staaten","verträge","entspannung","beziehungen","deutschen","sowjetunion","beziehungen","nation","deutschland","staaten","menschenrechte","frieden","welt","berlin","beziehungen","bündnis","polen","deutschen","ddr","abrüstung","bündnis","frieden","deutschland","ddr","ddr","bündnis","pershing","berlin","konventionellen","zusammenarbeit","abrüstung","waffen","nato","deutschland","vertrag","ungarn","währungsunion","atomwaffen","russland","bundeskanzler","staaten","atomwaffen","abrüstung","staaten","staaten","russland","bundeskanzler","euro","eu","türkei","mitgliedstaaten","osterweiterung","eu","erweiterung","frankreich","europas","eu","mitgliedstaaten","kommission","mitgliedstaaten","europas","europas","eu","ratspräsidentschaft","eu","mitgliedstaaten","sis","mitgliedstaaten","island","irland","griechenland","mitgliedstaaten","kommission","mitgliedstaaten","mitgliedstaaten","bundeskanzlerin","eu","eurozone","griechischen","mitgliedstaaten","kommission","frankreich","kommission","europas","frankreich","frankreich","europas","europas","europas","konferenz"
"9","volk","ollenhauer","deutschland","freiheit","moskau","europa","nato","atomaren","waffen","aussenpolitik","wiedervereinigung","europa","deutschland","politik","deutsche","deutschland","deutschlands","deutschland","europa","deutschfranzösischen","schröder","de","französische","sowjetunion","deutschland","regierung","deutschland","europäischen","drüben","deutschland","deutschland","staaten","beziehungen","scheel","deutschen","beziehungen","staaten","vereinten","münchener","politik","abkommen","vereinbarungen","ksze","deutschlandpolitik","polen","entspannung","staaten","deutschen","sowjetischen","entspannung","entspannungspolitik","verhandlungen","deutschen","frieden","amerikanischen","frieden","abrüstung","stationierung","nato","polen","nato","abrüstung","sowjetischen","sowjetischen","mittelstreckenraketen","deutschlandpolitik","sicherheit","beziehungen","europas","abrüstung","vertrag","deutschen","maastricht","europas","europas","europas","europas","deutschen","atomwaffen","französische","russischen","mitgliedstaaten","russland","währungsunion","europas","gipfel","europas","österreich","charta","staaten","ungarn","konvent","erweiterung","staaten","europas","türkei","europas","europas","verfassung","kommission","beitritt","türkei","reformvertrag","lissabon","vertrag","kommission","rat","europäischer","ungarn","eu","esm","krise","wachstum","griechenland","bundeskanzlerin","union","griechische","europas","griechenland","europas","macron","frankreich","vertrag","deal","solidarität","kommission","kommission","kommission"
"10","europäischen","volk","freiheit","europa","genf","deutschland","völker","deutschlands","bundeskanzler","atomare","westlichen","welt","deutschlands","waffen","sowjetunion","deutschen","mauer","nato","deutschen","vertrag","französischen","deutschen","bundeskanzler","waffen","deutschlands","entspannung","berlin","aussenminister","bundeskanzler","nation","barzel","bundesrepublik","sowjetischen","politik","staaten","bundesrepublik","berlin","menschenrechte","verträge","nation","bundesrepublik","bundesrepublik","beziehungen","schlussakte","belgrad","entspannungspolitik","entspannung","europa","europa","reise","entspannung","frieden","schlussakte","verhandlungen","beziehungen","friedenspolitik","kontinuität","bündnis","verhandlungen","beziehungen","verhandlungen","verhandlungen","abrüstung","usa","raketen","ost","bundeskanzler","polen","verhandlungen","europas","staaten","polen","nato","nato","maastrichter","nato","vertrag","aussenpolitik","nato","bundeskanzler","jelzin","regierungskonferenz","europol","euro","wirtschafts","eu","russland","helsinki","eu","vertrag","europas","vertrag","konvent","mitgliedstaaten","mitgliedstaaten","erweiterung","rat","verfassungsvertrag","beitritt","brüssel","mitgliedstaaten","europas","roma","irland","europas","parlament","kommission","griechenland","türkei","efsf","mitgliedstaaten","eu","rat","krise","europas","griechen","kommission","bundeskanzlerin","brexit","merkel","frankreich","macron","mitgliedstaaten","staaten","kommission","rechtsstaatlichkeit","europäischer","mitgliedstaaten"
