"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","bitte","abstimmung","umdruck","umdruck","abstimmung","umdruck","umdruck","bitte","gegenprobe","umdruck","umdruck","bitte","gegenprobe","antrag","umdruck","umdruck","gegenprobe","umdruck","umdruck","umdruck","umdruck","umdruck","antrag","umdruck","umdruck","antrag","umdruck","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","antrag","gegenprobe","wünscht","gegenprobe","gegenprobe","wünscht","wünscht","wünscht","wünscht","wer","wünscht","wünscht","zuzustimmen","handzeichen","bitte","enthaltungen","ded","änderungsantrag","gmbh","gängen","grenze","plenarsaal","center","dienstleistungsabend","schäuble","bank","rüstungsexport","einigungsvertrag","pds","pds","heuer","ddr","ddr","treuhandanstalt","ddr","ddr","ddr","vulkan","ddr","ddr","ddr","ddr","ostdeutschen","ost","ostdeutschland","ost","osten","ost","ost","ostdeutschland","ost","osten","de","ost","ro","bundesländern","ost","ostdeutschland","ostdeutschland","osten","stammzellen","ost","ost","ost","ddr","ost","ost","ost","ost","netzneutralität","ost","ost","einheit","einheit","ddr","ost","de","de","osten","osten","ostdeutschland","thüringen","einheit","osten","ostdeutschland"
"2","gegenprobe","bitte","bitte","bitte","umdruck","gegenprobe","bitte","gegenprobe","bitte","bitte","bitte","umdruck","umdruck","umdruck","handzeichen","gegenprobe","änderungsantrag","gegenprobe","antrag","antrag","antrag","änderungsantrag","enthaltungen","antrag","antrag","änderungsantrag","änderungsantrag","umdruck","gegenprobe","bitte","umdruck","umdruck","umdruck","gegenprobe","gegenprobe","umdruck","gegenprobe","zuzustimmen","antrag","zuzustimmen","zuzustimmen","wünscht","wünscht","gegenprobe","wünscht","gegenprobe","wünscht","enthaltungen","zuzustimmen","zuzustimmen","bitte","zuzustimmen","handzeichen","zuzustimmen","wer","handzeichen","wünscht","enthaltungen","handzeichen","architekten","bitte","richtlinie","nichtraucher","mainz","plenarsaals","document","öffnungszeiten","jordanien","ladenöffnungszeiten","kriegswaffen","ddr","einigungsvertrag","parteien","ddr","heuer","treuhandanstalt","ddr","treuhandanstalt","entschädigung","ostdeutschen","bremer","sket","altschulden","ostdeutschen","pds","schwanitz","neuen","osten","bundesländern","ost","neuen","osten","ost","osten","ost","dat","ostdeutschland","ite","regionen","ostdeutschland","ost","regionen","ost","forschung","osten","west","osten","osten","west","osten","ostdeutschland","osten","telekom","osten","osten","ostdeutschen","ost","ost","osten","dat","bundesnetzagentur","lebensverhältnisse","ostdeutschland","osten","ddr","osten","ost","schwedt"
"3","antrag","umdruck","ziffer","gegenprobe","gegenprobe","änderungsantrag","handzeichen","handzeichen","umdruck","gegenprobe","handzeichen","gegenprobe","handzeichen","handzeichen","gegenprobe","antrag","umdruck","änderungsantrag","ziffer","gegenprobe","änderungsantrag","handzeichen","gegenprobe","änderungsantrag","änderungsantrag","gegenprobe","antrag","gegenprobe","enthaltungen","gegenprobe","einzelplan","gegenprobe","gegenprobe","umdruck","umdruck","bitte","handzeichen","gegenprobe","bitte","wünscht","wünscht","bitte","enthaltungen","wünscht","zuzustimmen","handzeichen","enthaltungen","handzeichen","handzeichen","enthaltungen","zuzustimmen","wer","wünscht","handzeichen","handzeichen","enthaltungen","wer","wünscht","zuzustimmen","köhler","auflage","amp","raucher","dick","sitzordnung","akten","dienstleistungsabends","kreditanstalt","chef","export","volkskammer","treuhand","ddr","alteigentümer","uwejens","deponie","heuer","sed","rückgabe","altschulden","bvs","ostdeutschen","ostdeutschen","neuen","neuen","neuen","ostdeutschen","ost","neuen","neuen","bundesländern","bundesländern","osten","bundesländern","bundesländern","ost","sachsen","ostdeutschland","ost","osten","osten","bundesländern","ostdeutschland","stammzellforschung","ostdeutschland","einheit","ostdeutschland","einheit","osten","west","west","west","internet","west","breitbandausbau","ost","netzneutralität","west","west","un","lte","ostdeutschland","ostdeutschen","ost","osten","ost","einheit","osten"
"4","ziffer","gegenprobe","antrag","ziffer","ziffer","ziffer","gegenprobe","umdruck","abstimmung","ziffer","antrag","handzeichen","bitte","gegenprobe","antrag","änderungsantrag","ziffer","antrag","gegenprobe","bitte","gegenprobe","gegenprobe","änderungsantrag","wer","wer","umdruck","gegenprobe","änderungsantrag","umdruck","umdruck","bitte","bitte","bitte","änderungsantrag","änderungsantrag","wort","bitte","wünscht","zuzustimmen","antrag","handzeichen","zuzustimmen","handzeichen","bitte","antrag","zuzustimmen","zuzustimmen","wünscht","enthaltungen","gegenprobe","enthaltungen","handzeichen","zuzustimmen","angenommen","zuzustimmen","wünscht","zuzustimmen","handzeichen","wünscht","handzeichen","vorwort","co","co","tschechoslowakische","george","flughafen","ladenschlusszeiten","wiederaufbau","einkaufen","kittelmann","pds","gysi","treuhand","rückgabe","alteigentümer","heuer","treuhand","entschädigung","ostdeutschen","hacker","ddr","bvs","sanierung","bundesländern","ostdeutschland","ost","bundesländern","ostdeutschen","osten","bundesländern","osten","neuen","neuen","streik","neuen","ostdeutschland","osten","ra","lindern","aufbau","neuen","ost","einheit","embryonalen","west","osten","west","ostdeutschland","ddr","ddr","ghetto","contergangeschädigten","ost","ostdeutschland","west","ddr","ddr","internet","westen","ost","west","regionen","ddr","ostdeutschen","regionen","haribo","west","lebensverhältnisse"
"5","abstimmung","enthaltungen","gegenprobe","handzeichen","änderungsantrag","handzeichen","ziffer","enthaltungen","handzeichen","enthaltungen","gegenprobe","ziffer","antrag","enthaltungen","wer","handzeichen","enthaltungen","enthaltungen","änderungsantrag","handzeichen","bitte","ziffer","umdruck","handzeichen","gegenprobe","enthaltungen","wer","enthaltungen","handzeichen","enthaltungen","änderungsantrag","änderungsantrag","änderungsantrag","zuzustimmen","zuzustimmen","herren","enthaltungen","bitte","enthaltungen","bitte","bitte","antrag","zuzustimmen","zuzustimmen","handzeichen","enthaltungen","handzeichen","zuzustimmen","gegenprobe","handzeichen","handzeichen","enthaltungen","angenommen","wer","enthaltungen","wer","enthaltungen","zuzustimmen","angenommen","zuzustimmen","handzeichen","kapitalgesellschaften","nichtraucherabteilen","tschechoslowakischen","marshallplan","ladenschlussgesetz","abend","sitzordnung","beteiligung","kriegswaffenkontrollgesetzes","parteien","heuer","sed","uwejens","einigungsvertrag","kali","hacker","ostdeutschen","mauer","pds","werften","altschulden","hacker","bodenreform","ost","ostdeutschland","aufbau","neuen","ostdeutschen","länder","ostdeutschen","sachsenanhalt","aufbau","neuen","ostdeutschland","un","bundesländern","le","unternehmen","ostdeutschen","einheit","osten","neuen","stammzelllinien","ostdeutschen","ostdeutschland","ostdeutschen","ost","westen","ostdeutschland","osten","ostdeutschen","bundesnetzagentur","einheit","ostdeutschland","west","west","netzneutralität","ostdeutschen","west","ost","gleichwertige","treuhand","west","einheit","ostdeutschen","westen","ost"
"6","erheben","antrag","abstimmung","abstimmung","handzeichen","wer","antrag","wer","antrag","antrag","wer","antrag","ziffer","bitte","ziffer","enthaltungen","antrag","wer","enthaltungen","änderungsantrag","handzeichen","wer","handzeichen","gegenprobe","handzeichen","handzeichen","handzeichen","ziffer","wer","handzeichen","gegenprobe","handzeichen","handzeichen","wünscht","bitte","abstimmung","wünscht","handzeichen","wünscht","handzeichen","antrag","handzeichen","antrag","drucksache","bitte","wer","bitte","bitte","angenommen","wer","gegenprobe","bitte","nr","enthaltungen","angenommen","angenommen","angenommen","angenommen","gegenprobe","bitte","zuzustimmen","kg","herr","johann","neubau","ladenschlussgesetzes","hbv","export","dienstleistungsabend","eigentums","wahl","rückgabe","vermögen","entschädigung","ehemaligen","bischofferode","entschädigung","einigungsvertrag","wurden","neuen","ostdeutschen","pds","ostdeutschland","ostdeutschland","osten","ddr","ddr","bundesländern","einheit","ostdeutschen","ostdeutschland","aufbau","bundesländern","ostdeutschland","ostdeutschen","is","regionen","to","west","neuen","bundesländern","west","west","embryonen","westen","ddr","einheit","ethikrat","ostdeutschen","westen","zrbg","westen","tkg","digitale","internet","ostdeutschland","osten","rentenrecht","einheit","wi","dat","einheit","ost","thüringen","teilung","ostdeutschland","ostdeutschen","einheit"
"7","hand","mehrheit","mehrheit","änderungsantrag","wer","bitte","abstimmung","antrag","enthaltungen","handzeichen","änderungsantrag","zuzustimmen","enthaltungen","ziffer","bitte","wer","wer","handzeichen","wer","zuzustimmen","enthaltungen","bitte","angenommen","bitte","bitte","bitte","enthaltungen","handzeichen","bitte","wer","abstimmung","enthaltungen","abstimmung","bitte","wünscht","anlage","zuzustimmen","wer","handzeichen","enthaltungen","enthaltungen","enthaltungen","bitte","handzeichen","enthaltungen","bitte","wer","wer","wer","angenommen","angenommen","angenommen","rufe","bitte","bitte","einstimmig","gegenprobe","wer","bitte","enthaltungen","windelen","bilanzrichtliniegesetz","formulierung","mainzer","marshall","frankfurter","ladenschlussgesetz","lieferung","uhr","lieferung","einheit","ddr","rückgabe","stichtagsregelung","pds","schönberg","uwejens","eigentum","grundstücke","einigungsvertrag","altschulden","ostdeutschland","luther","verlängerung","sed","pds","osten","ddr","ostdeutschland","aufbau","west","sachsen","ostdeutschen","bundesländer","westen","ok","ostdeutschen","io","neuen","regionen","ostdeutschen","ostdeutschen","westen","stichtag","einheit","ostdeutschen","ddr","westen","ostdeutschland","lohnunterlagen","ostdeutschen","mikrozensus","west","ostdeutschen","ostdeutschen","regionen","ostdeutschland","osten","angleichung","osten","ostdeutschland","ostdeutschen","lebensverhältnisse","regionen","ostdeutschen","wiedervereinigung","ddr","gleichwertige"
"8","nr","hand","änderungsantrag","antrag","antrag","antrag","wer","ziffer","wer","wer","ziffer","wünscht","wer","wer","enthaltungen","bitte","handzeichen","bitte","handzeichen","wer","zuzustimmen","antrag","bitte","entschliessungsantrag","zuzustimmen","wer","bitte","bitte","änderungsantrag","änderungsantrag","wort","siehe","enthaltungen","stimmenthaltungen","enthaltungen","fraktion","wer","enthaltungen","wer","wer","wer","wer","wer","wer","wer","angenommen","angenommen","angenommen","bitte","bitte","abstimmung","gegenprobe","enthaltungen","gegenprobe","rufe","gegenprobe","rufe","gegenstimmen","änderungsantrag","mahnmal","ded","bitte","kollegen","grenzverletzungen","abriss","ladenschlusszeiten","einkaufen","geschäft","seiters","rüstungskooperation","gysi","volkskammer","ehemaligen","eigentum","sed","uwejens","gysi","treuhand","einigungsvertrag","treuhandanstalt","mauer","bundesländern","uwejens","verjährung","bundesländern","bundesländern","ostdeutschland","einheit","aufbau","massstäbegesetz","aufbau","ostdeutschen","stolpe","metall","altschulden","to","stolpe","pl","ansässigen","bundesländern","regionen","neuen","bundesländern","embryonale","neuen","westen","westen","ostdeutschen","einheit","einheit","ddr","einheit","osten","internet","digitale","digitale","internet","bundesnetzagentur","ostdeutschland","ddr","mbit","westen","west","einheit","lebensverhältnisse","west","ostdeutschland","west"
"9","angenommen","zuzustimmen","enthaltungen","wer","bitte","abstimmung","änderungsantrag","abstimmung","angenommen","änderungsantrag","enthaltungen","enthaltungen","änderungsantrag","änderungsantrag","änderungsantrag","ziffer","bitte","ziffer","bitte","ziffer","ziffer","enthaltungen","wer","enthaltungen","siehe","zuzustimmen","siehe","wer","ziffer","herren","handzeichen","einzelplan","wer","wer","wer","gegenprobe","angenommen","änderungsantrag","abstimmung","änderungsantrag","wort","änderungsantrag","angenommen","enthaltungen","berichterstatter","drucksache","einzelplan","nr","ausschussfassung","drucksache","wer","ausschussfassung","bitte","rufe","gegenprobe","bitte","bitte","gegenprobe","architekten","wer","conradi","aufbau","kollege","kastel","alten","dienstleistungsabend","frau","bundessicherheitsrat","abend","rüstungsindustrie","ehemaligen","pdslinke","einigungsvertrag","ehemaligen","eigentum","vermögensabgabe","untersuchungsausschuss","untersuchungsausschuss","pds","bundesländern","treuhandanstalt","neuen","bundesländern","alteigentümer","ostdeutschen","aufbau","einheit","schwanitz","ddr","ostdeutschland","einheit","ostdeutschland","west","ostdeutschen","einheit","neuen","aufbau","kt","modernste","investitionszulage","investitionszulage","region","regionen","verschiebung","bundesländern","bundesländern","angleichung","rentenüberleitung","angleichung","angleichung","westen","renten","breitbandausbau","breitbandausbau","angleichung","nutzer","wiedervereinigung","wahlkreis","telekom","ok","un","ost","ländlichen","westen","westen","ddr","härtefallfonds","ostdeutschen"
"10","umdruck","angenommen","wer","wünscht","enthaltungen","enthaltungen","enthaltungen","wünscht","zustimmen","wünscht","zuzustimmen","wer","wünscht","zuzustimmen","wünscht","zustimmen","angenommen","angenommen","gebe","enthaltungen","wer","angenommen","zuzustimmen","abstimmung","anlage","wünscht","angenommen","wort","angenommen","damen","wer","wort","zuzustimmen","enthaltungen","handzeichen","änderungsantrag","wort","wort","drucksache","angenommen","änderungsantrag","drucksache","rufe","einzelplan","abstimmung","antrag","änderungsantrag","rufe","änderungsantrag","ausschussfassung","rufe","rufe","stimmt","ausschussfassung","gegenstimmen","nr","ausschussfassung","abstimmung","wer","änderungsantrag","gegenstimmen","herr","sonderangebote","kostheim","jenninger","bdc","ladenschlussgesetzes","finanzierung","banken","kriegswaffenexporte","gesamtdeutschen","ehemaligen","heuer","stichtag","vermögen","entschädigung","grundstücke","heuer","vermögensgesetz","bvs","bremen","enteignungen","heuer","ealg","sachsenanhalt","nutzer","schwanitz","west","west","solidarpakt","ammendorf","bundesländer","westen","stundenwoche","stolpe","wi","neuen","ar","aufgelegten","west","west","westen","ostdeutschen","osten","angleichung","neuen","neuen","ethikrates","neuen","ostdeutschen","rentenversicherung","angleichung","verordnung","westen","westen","osten","breitbandausbau","westen","breitbandausbau","för","gigabyte","west","bundesbehörden","ländlichen","neuen","westen","ostdeutsche","ölembargo"
