"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","preise","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","logemann","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","ertl","landwirtschaft","landwirtschaft","gallus","gallus","landwirtschaft","europäischen","europäischen","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","gallus","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","tourismus","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","verbraucher","verbraucher","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","verbraucher","landwirtschaft","landwirtschaft","verbraucher","verbraucher","landwirtschaft","verbraucher","verbraucher","verbraucher","landwirtschaft","verbraucher","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft"
"2","ernährung","milch","einfuhr","ernährung","landwirtschaftlichen","verbraucher","grünen","horlacher","grünen","grünen","grünen","landwirtschaft","grünen","grünen","schwarz","grünen","verbraucher","grünen","ernährung","grünen","forsten","forsten","forsten","ernährung","höcherl","höcherl","höcherl","höcherl","ernährung","ernährung","ernährung","forsten","ernährung","ernährung","ernährung","forsten","ernährung","ernährung","ernährung","ertl","ernährung","agrarpolitik","landschaft","agrarpolitik","landwirtschaftlichen","ertl","gallus","agrarpolitik","betriebe","landwirtschaft","gallus","agrarpolitik","landwirtschaft","landwirtschaft","gallus","stahlindustrie","landwirtschaft","bauern","bauern","bauern","bauern","bauern","bauern","landwirtschaft","bauern","bauern","bauern","europäischen","betriebe","bauern","landwirtschaft","bauern","gatt","landwirte","rohstoffe","bauern","borchert","landwirte","bauern","bauern","bse","landwirte","tiere","verbraucher","agrarpolitik","bauern","bauern","tierschutz","bauern","verbraucherschutz","verbraucherschutz","verbraucherschutz","verbraucherschutz","verbraucherschutz","verbraucherschutz","gentechnik","landwirte","künast","landwirtschaft","goldmann","ländlichen","seehofer","ländlichen","ernährung","landwirtschaft","gentechnik","verbraucherschutz","landwirtschaft","landwirtschaft","verbraucher","landwirtschaft","landwirtschaft","verbraucherinnen","ernährung","landwirtschaft","ernährung","verbraucher","glyphosat","ernährung","cannabis","ernährung","landwirte","ländlichen","wald","landwirte","landwirte","landwirte","landwirte"
"3","preise","ernährung","getreide","preise","milch","ernährung","landwirtschaftlichen","bauern","kriedemann","landwirtschaftlichen","betriebe","butter","landwirtschaftlichen","agrarpolitik","ernährung","agrarpolitik","ernährung","landwirtschaftlichen","forsten","schwarz","ernährung","ernährung","ernährung","forsten","ernährung","ernährung","forsten","forsten","forsten","forsten","forsten","ernährung","forsten","forsten","forsten","ernährung","forsten","forsten","forsten","forsten","forsten","logemann","naturschutz","ertl","gallus","gallus","eg","betriebe","agrarpolitik","gallus","eg","bauern","europäischen","schmitz","agrarpolitik","gallus","gemeinschaft","agrarpolitik","gemeinschaft","betriebe","agrarpolitik","landwirte","betriebe","eigen","agrarpolitik","europäischen","flächenstillegung","bauern","bauern","eg","eg","betriebe","bauern","agrarpolitik","bauern","bäuerinnen","forsten","bauern","borchert","agrarpolitik","bauern","agrarpolitik","tierschutz","borchert","bauern","tierschutz","agenda","bauern","verbraucher","verbraucher","verbraucher","künast","landwirte","verbraucher","ernährung","künast","verbraucherschutz","gentechnik","verbraucherschutz","verbraucherschutz","verbraucher","verbraucher","seehofer","seehofer","verbraucherinnen","verbraucherschutz","verbraucher","verbraucherinnen","verbraucherinnen","verbraucherschutz","verbraucherinnen","verbraucherinnen","landwirtschaft","verbraucher","ernährung","verbraucher","ernährung","ernährung","ländlichen","ernährung","tiere","tiere","lebensmittel","bauern","wasser","wald","bauern","ernährung"
"4","einfuhr","forsten","landwirtschaftlichen","verbraucher","pf","grünen","landarbeiter","landwirtschaftlichen","ha","betriebe","landwirtschaftlichen","verbraucher","betriebe","plan","betriebe","schwarz","forsten","schwarz","schwarz","agrarpolitik","schwarz","schwarz","grünen","höcherl","forsten","forsten","ernährung","ernährung","höcherl","ertl","logemann","logemann","logemann","logemann","logemann","logemann","ertl","logemann","ertl","ernährung","eigen","ertl","landwirtschaft","landwirtschaftlichen","rohr","betriebe","zonenrandgebiet","landwirte","landwirte","eg","landwirte","gallus","eg","gemeinschaftsaufgabe","europäischen","saar","agrarpolitik","europäischen","agrarpolitik","europäischen","kiechle","agrarpolitik","agrarpolitik","agrarpolitik","eg","eg","landwirte","eg","landwirte","europäischen","wein","eg","gattverhandlungen","kiechle","nachwachsenden","landwirte","ernährung","agrarpolitik","agrarpolitik","borchert","landwirte","sielaff","borchert","ernährung","landwirte","funke","landwirte","ernährung","landwirte","bauern","künast","verbraucher","bauern","künast","künast","gentechnisch","bauern","verbraucherschutz","künast","verbraucher","seehofer","gentechnisch","gentechnik","verbraucherschutz","gentechnik","gentechnisch","ernährung","verbraucherschutz","aigner","verbraucherinnen","verbraucherschutz","aigner","verbraucherschutz","gentechnisch","verbraucherinnen","glyphosat","ezigaretten","ländlichen","gentechnik","verbraucher","glyphosat","ländlichen","wolf","landwirte","fleisch","bauern","ministerin","lebensmittel"
"5","forsten","verbraucher","verbraucher","ernährungsausschuss","mineralölwirtschaft","landwirtschaftlichen","bericht","grünen","betriebe","bauern","plan","schwarz","kriedemann","landwirtschaftlichen","forsten","landwirtschaftlichen","schwarz","ernährung","schmidt","ernährung","grünen","landwirtschaftlichen","landwirtschaftlichen","pf","grünen","ewg","agrarpolitik","agrarpolitik","bundesminister","agrarpolitik","ertl","ertl","ertl","ertl","ertl","ertl","agrarpolitik","ertl","agrarpolitik","agrarpolitik","rohr","ländlichen","landschaftspflege","agrarbericht","übungen","agrarpolitik","agrarpolitik","eg","bauern","landwirtschaftlichen","europäischen","gemeinschaft","staatssekretär","ertl","eg","landwirtschaft","europäische","betriebe","betriebe","gemeinschaft","eg","betriebe","landwirte","gemeinschaft","landwirte","gemeinschaft","agrarpolitik","gemeinschaft","eg","betriebe","flächen","agrarpolitik","agrarpolitik","betriebe","kiechle","landwirtschaftlichen","niedersachsen","borchert","landwirte","landwirte","borchert","borchert","tieren","agrarpolitik","sielaff","agrarpolitik","agrarpolitik","landwirtschaftlichen","verbraucherschutz","künast","bauern","ernährung","ernährung","ernährung","gentechnik","landwirte","künast","landwirtschaft","goldmann","seehofer","verbraucherschutz","ernährung","raum","goldmann","verbraucherschutz","agrogentechnik","aigner","aigner","verbraucherschutz","antibiotika","aigner","verbraucherschutz","produkte","honig","tierschutz","gentechnik","tierschutz","verbraucher","tiere","essen","landwirte","betriebe","glyphosat","bäuerinnen","bauern","ministerin","insektenschutz","bauern"
"6","verbraucher","erzeuger","marktordnung","forsten","bauern","kriedemann","plan","betriebe","bericht","agrarpolitik","bericht","einfuhr","agrarpolitik","betriebe","landwirtschaftlichen","betriebe","abschöpfung","agrarpolitik","gellersen","landwirtschaftlichen","agrarpolitik","agrarpolitik","höcherl","preise","landwirtschaftlichen","logemann","landwirtschaftlichen","mansholt","minister","logemann","landwirtschaftlichen","landwirtschaftlichen","brüssel","landwirtschaftlichen","bauern","bundesminister","logemann","weizen","logemann","logemann","logemann","ernährung","eigen","ländlichen","landwirte","landwirtschaftlichen","ernährung","ertl","ertl","agrarpolitik","gemeinschaft","landwirte","preispolitik","landwirte","gemeinschaft","eg","eg","kiechle","landwirte","geldern","betriebe","gemeinschaft","kiechle","bauern","betriebe","agrarpolitik","betriebe","eigen","bäuerlichen","landwirtschaftlichen","bauern","landwirtschaftlichen","eg","tiere","agrarpolitik","ländlichen","jochen","tiere","betriebe","landwirtschaftlichen","forsten","bauern","agrarpolitik","bauern","betriebe","agenda","funke","funke","bse","ernährung","landwirte","bauern","künast","gentechnik","landwirte","bauern","lebensmittel","verbraucherpolitik","ministerin","ernährung","verbraucherinnen","gentechnik","ernährung","verbraucher","seehofer","verbraucher","verbraucherinnen","ländlichen","lebensmittel","ernährung","betriebe","ländlichen","pflanzen","ländlichen","ländlichen","lebensmittel","verbraucherinnen","minister","verbraucher","lebensmittel","ländlichen","bauern","ernährung","klöckner","düngeverordnung","klöckner","naturschutz","umwelt"
"7","regierung","obst","vorratsstelle","zollsenkung","erzeuger","preise","betriebe","preise","preise","alterskassen","agrarpolitik","marktordnung","bericht","pf","agrarpolitik","bauern","erzeuger","forsten","preise","forsten","schmidt","ewg","agrarpolitik","brüssel","agrarpolitik","landwirtschaftlichen","minister","landwirtschaftlichen","peters","peters","aufwertung","agrarpolitik","landwirtschaftlichen","bundesminister","landwirtschaftlichen","molkereien","landwirtschaftlichen","landwirtschaftlichen","agrarbericht","eigen","eg","landwirtschaftlichen","natur","gallus","ernährung","agrarbericht","butter","bauern","gallus","landwirte","butter","eg","gemeinschaft","ernährung","landwirte","kommission","landwirtschaftlichen","bäuerlichen","kiechle","milch","bäuerlichen","eg","eg","eg","gemeinschaft","eigen","eg","agrarpolitik","agrarpolitik","landwirte","betriebe","gallus","kiechle","eg","uruguayrunde","agrarpolitik","betriebe","gatt","verbraucher","bäuerinnen","ernährung","kalb","ernährung","betriebe","hektar","landwirte","landwirtschaftlichen","forsten","agrarpolitik","agrarpolitik","ernährung","tierschutz","modulation","bauern","bauern","ernährung","verbraucher","ernährung","ernährung","vogelgrippe","bauern","verbraucherschutz","verbraucherschutz","ländlichen","bauern","ernährung","landwirte","ernährung","ernährung","aigner","ernährung","lebensmittel","gentechnisch","gentechnik","tiere","tiere","eshishas","bauern","minister","tiere","bauern","ernährung","räume","ländlichen","ernährung","umwelt","wald","flächen"
"8","milch","horlacher","bender","schmidt","ernährung","milch","verbraucher","forsten","dm","kriedemann","lübke","preisen","bauern","schwarz","einfuhr","plan","agrarpolitik","ewg","milch","preise","brüssel","betriebe","betriebe","milch","ewg","agrarpolitik","milch","grünen","ewg","höcherl","brüssel","landwirte","agrarpolitik","broschüre","landwirte","orth","betriebe","kiechle","ritz","ritz","kiechle","forsten","ertl","eg","britischen","ländlichen","gemeinschaftsaufgabe","landwirtschaftlichen","landwirtschaftlichen","betriebe","ertl","ertl","eigen","eigen","brüssel","gemeinschaft","brüssel","gemeinschaft","bäuerlichen","eg","gallus","landwirtschaftlichen","landwirtschaftlichen","geldern","brüssel","brüssel","europäischen","betriebe","flächenstillegung","gemeinschaft","fremdenverkehrs","lpg","forsten","bauern","landwirte","schumann","schweinepest","bäuerinnen","brüssel","sielaff","verbraucher","landwirtschaftlichen","forsten","landwirte","agrarbericht","tierschutzes","betriebe","thalheim","funke","landwirte","ministerin","berninger","verbraucher","modulation","tierschutz","verbraucherschutz","ernährung","goldmann","verbraucherinnen","virus","goldmann","pflanzen","happachkasan","produkte","gentechnisch","pflanzen","landwirtschaftlichen","verbraucherpolitik","produkte","ländlichen","nanotechnologie","ernährung","honig","lebensmittel","verbraucherschutz","gentechnisch","minister","milch","bauern","schulverpflegung","cannabis","wolf","bauern","ministerin","werbung","cannabis","umwelt","fischerei"
"9","bauern","einfuhr","vorratsstellen","pächter","verbraucher","forsten","kriedemann","bäuerlichen","landwirtschaftlichen","landwirte","subventionen","markt","preise","preise","bauern","pf","getreide","bauern","markt","schmidt","hüttebräuker","hüttebräuker","schmidt","schmidt","brüssel","milch","bundesminister","brüssel","butter","brüssel","betriebe","ritz","preise","konservenindustrie","brüssel","höcherl","agrarbericht","getreide","betriebe","bauern","erzeugergemeinschaften","flurbereinigung","italien","ritz","mitverantwortungsabgabe","landwirte","landwirtschaftlichen","forstpolitik","eg","gemeinschaft","kiechle","europäischen","preise","forsten","landwirtschaftlichen","brüssel","gemeinschaftsaufgabe","stahlindustrie","eg","agrarpolitik","brüssel","kiechle","gallus","europäischen","europäischen","kommission","gemeinschaft","landwirte","kommission","kommission","eigen","lpgen","ernährung","ländlichen","eg","borchert","flankierenden","landwirtschaftlichen","agrarreform","forsten","betriebe","forsten","bauern","forsten","agenda","ländlichen","thalheim","landwirte","tiermehl","ministerin","modulation","getreide","carstensen","agrarpolitik","goldmann","verbraucher","landwirten","verbraucherinnen","bauern","verbraucherinnen","landwirte","goldmann","landwirte","gentechnik","goldmann","aigner","agrarpolitik","telefonwerbung","lebensmitteln","tiere","ländlichen","tierschutz","glyphosat","verbraucherinnen","agrarpolitik","landwirte","tiere","rauchen","lebensmittel","drogen","bienen","klöckner","essen","wolf","tierwohl","lebensmittel","insekten","betriebe"
"10","preis","milchwirtschaft","preise","horlacher","betriebe","betriebe","disparität","ernährung","betrieben","milch","betrieben","erzeuger","roggen","bauern","bäuerlichen","bäuerlichen","abschöpfungen","preise","landwirtschaftlichen","ewg","landwirtschaftlichen","markt","brüssel","hüttebräuker","logemann","peters","bauer","minister","landwirtschaftlichen","aufwertung","auszahlung","bauern","aufwertung","wirtschaftsjahr","ritz","einzelbetrieblichen","ländlichen","sauter","landwirte","brüssel","agrarpolitik","eigen","verbraucher","landwirte","betrieb","forsten","forsten","°o","ritz","bundesminister","gemeinschaftsaufgabe","betriebe","kiechle","eg","betriebe","ernährung","gallus","milch","europäischen","brüssel","landwirte","europäischen","wein","landwirte","kiechle","kiechle","brüssel","europäische","europäischen","brüssel","landwirtschaftlichen","landwirte","einkommensausgleich","ernährung","flächen","sielaff","bauern","verbraucher","ausgleichszahlungen","brüssel","landwirtschaftlichen","betriebe","betriebe","jochen","ernährung","landwirtschaftlichen","ländlichen","gemeinschaftsaufgabe","ernährung","bse","verbraucherinnen","malchin","acrylamid","verbraucherpolitik","verbraucher","goldmann","goldmann","ministerin","verbraucherpolitik","verbraucherinformationsgesetz","betriebe","verbraucherinnen","verbraucher","spielzeug","happachkasan","mon","ministerin","verbrauchern","ostendorff","lebensmittel","produkte","tiere","gentechnik","landwirte","lebensmittel","verbraucherinnen","landwirte","schmidt","landwirte","drogenpolitik","verbraucher","ministerin","verbraucher","landwirten","tiere","ernährung","natur","özdemir"
