"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","sozialversicherung","kinderbeihilfen","kindergeld","krankenversicherung","kindergeld","rentner","rente","rentenversicherung","schellenberg","schellenberg","unfallversicherung","renten","krankenversicherung","schellenberg","krankenversicherung","renten","schellenberg","kriegsopferversorgung","krankenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","unfallverhütung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","unfallversicherung","lohnfortzahlung","rentner","sozialbericht","krankenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","altersgrenze","rentenversicherung","kriegsopfer","krankenversicherung","krankenversicherung","krankenversicherung","rentenversicherung","krankenversicherung","rentenversicherung","rentenversicherung","rentner","rentenversicherung","krankenversicherung","rentenversicherung","künstler","rentenversicherung","montanmitbestimmung","rentenversicherung","rentenversicherung","rentenversicherung","blüm","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","blüm","rentenversicherung","krankenversicherung","krankenversicherung","rentenversicherung","blüm","blüm","rente","krankenversicherung","krankenversicherung","krankenversicherung","pflegeversicherung","pflegeversicherung","rente","pflegeversicherung","seehofer","pflegeversicherung","krankenversicherung","krankenversicherung","pflegeversicherung","seehofer","krankenversicherung","patienten","pflegeversicherung","patienten","gesundheitswesen","patienten","krankenversicherung","krankenversicherung","patienten","patienten","pflegeversicherung","pflegeversicherung","prävention","kolb","krankenversicherung","krankenkassen","patientenverfügung","pflege","patienten","krankenkassen","menschen","patienten","krankenversicherung","patienten","versorgung","patienten","patienten","pflege","patienten","pflege","versorgung","pflege","pflege","pflege","pflege","pflege","pflege","patienten","pflege","pflege","pflege","pflege","pflege"
"2","renten","bundesarbeitsminister","rentenversicherung","rentner","rentenversicherung","rente","renten","angestellten","renten","renten","renten","kriegsopfer","versicherten","unfallversicherung","versicherten","unfallversicherung","bilanz","krankenversicherung","rentenversicherung","dm","renten","angestellten","schellenberg","schellenberg","schellenberg","rentner","angestellten","rentenversicherung","arbeiter","rentenversicherung","katzer","gesetzlichen","rentner","rentner","rentner","rentenversicherung","rentner","krankenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","renten","selbstverwaltung","krankenversicherung","krankenversicherung","rentenversicherung","altersgrenze","rentenversicherung","künstler","rentenversicherung","künstler","mitbestimmung","rentner","blüm","krankenversicherung","rentenversicherung","krankenversicherung","blüm","renten","blüm","rentner","rente","rentner","rente","kindererziehungszeiten","blüm","blüm","blüm","rente","gesundheitsreform","rente","renten","rente","kirschner","patienten","pflege","pflege","seehofer","krankenversicherung","positivliste","krankenversicherung","krankenkassen","rentenversicherung","rentenversicherung","pflegeversicherung","patienten","pflegeversicherung","patienten","budgets","patienten","krankenversicherung","patienten","krankenkassen","krankenversicherung","krankenversicherung","krankenversicherung","krankenkassen","krankenkassen","krankenversicherung","krankenkassen","versicherten","patienten","menschen","krankenkassen","patienten","patienten","krankenversicherung","versicherten","pflege","patienten","praxisgebühr","praxisgebühr","patienten","versorgung","sterben","patienten","patienten","patienten","patienten","versorgung","pflegekräfte","patienten","organspende","patienten","patienten","patienten","patienten","pflegekräfte"
"3","dm","kinderbeihilfe","angestellten","rentenversicherung","leistungen","renten","angestellten","rente","rente","bundesarbeitsminister","bundesarbeitsminister","kriegsopferversorgung","handwerker","krankenversicherung","ruf","schellenberg","bilanzen","unfallversicherung","anpassung","kindergeld","sozialordnung","dm","rentenversicherung","renten","sozialpolitik","krankenversicherung","sozialpolitik","renten","schellenberg","schellenberg","sozialbudget","rentenversicherung","katzer","selbständigen","krankenversicherung","frauen","altersgrenze","renten","sozialordnung","altersversorgung","rentner","katzer","rentenversicherung","rentner","krankenkassen","renten","krankenversicherung","älteren","renten","rentner","franke","blüm","franke","ehrenberg","rentner","krankenversicherung","selbstbeteiligung","sozialpolitik","blüm","krankenkassen","renten","blüm","renten","sozialpolitik","rentenversicherung","krankenversicherung","versicherten","versicherten","krankenversicherung","rentenversicherung","rentner","rentenversicherung","versicherten","versorgung","versicherten","dm","pflegebedürftigen","rentenversicherung","seehofer","krankenversicherung","rentenversicherung","rentenversicherung","krankenkassen","krankenkassen","krankenversicherung","zuzahlungen","krankenversicherung","krankenkassen","gesundheitspolitik","ärzte","krankenkassen","versorgung","patienten","gesundheitswesen","versorgung","praxisgebühr","versicherten","patienten","soziale","patienten","krankenversicherung","versicherten","krankenkassen","menschen","krankenversicherung","patientenverfügung","kopfpauschale","patienten","krankenkassen","ärzte","organspende","patientinnen","versorgung","hebammen","sterbehilfe","gesundheit","versorgung","hebammen","versorgung","krankenversicherung","krankenversicherung","versorgung","ärzte","versorgung","pflegekräfte","versorgung","krankenhäuser","patienten"
"4","kriegsopfer","sozialversicherung","rentner","versicherten","kinder","rentenversicherung","schellenberg","arbeiter","krankenversicherung","anpassung","familienausgleichskassen","schellenberg","arzt","renten","arbeiter","rentenversicherung","bundesarbeitsminister","rente","renten","familienausgleichskassen","rente","arbeiter","berufsgenossenschaften","stingl","katzer","schellenberg","sozialordnung","sozialordnung","spitzmüller","katzer","rentenversicherung","angestellten","renten","rente","katzer","rente","rente","dynamisierung","rentner","franke","gesetzlichen","krankenversicherung","müller","renten","witwen","franke","flexiblen","ehrenberg","rente","publizisten","blüm","krankenversicherung","krankenversicherung","rentner","bundessozialhilfegesetzes","sozialpolitik","blüm","renten","rentner","sozialpolitik","rente","sozialpolitik","blüm","rentner","älteren","rente","dm","rentenversicherung","beamtenversorgung","krankenversicherung","rentenversicherung","polikliniken","dm","versicherten","gesundheitswesen","rentenversicherung","leistungen","pflegeversicherung","pflege","pflegeversicherung","krankenkassen","seehofer","seehofer","krankenversicherung","patienten","versicherten","krankenkassen","krankenversicherung","ärzte","krankenkassen","versicherten","versicherten","gesundheitswesen","krankenhäuser","krankenkassen","patienten","krankenversicherung","patientenverfügung","gesetzlichen","versicherten","gesundheitsreform","pflege","pflegeversicherung","unfallversicherung","versicherten","krankenversicherung","versicherten","krankenkassen","versicherten","krankenkassen","pflege","krankenkassen","ärzte","pflege","menschen","ärzte","krankenhäuser","versorgung","krankenkassen","pflegekräfte","versorgung","ärzte","pflege","organspende","versorgung","krankenhäuser","versorgung","pflegebonus"
"5","leistungen","berufsgenossenschaften","rente","ärzte","witwen","sozialreform","rentenversicherung","schellenberg","versicherten","rentenversicherung","schellenberg","rente","schellenberg","bundesarbeitsminister","angestellten","rente","rentenversicherung","schellenberg","schellenberg","einkommensgrenze","schellenberg","versicherten","bericht","katzer","versicherten","angestellten","sozialen","leistungen","krankenversicherung","renten","sozialpolitik","sozialordnung","rente","schellenberg","renten","rentner","franke","rentenversicherung","versicherten","gesetzlichen","versicherten","rentner","renten","rente","altersgrenze","rente","ehrenberg","renten","rentner","renten","rente","rentenversicherung","renten","franke","taschengeld","rentner","gesetzlichen","rentner","rente","bundesanstalt","blüm","renten","rente","blüm","kriegsopfer","renten","gesundheitswesen","rente","beamten","rente","renten","dressler","blüm","krankenkassen","ärzte","krankenversicherung","dm","krankenversicherung","sozialhilfe","gesetzlichen","leistungen","versicherten","gesetzlichen","versicherten","versicherten","gesundheitswesen","gesundheitswesen","gesundheitspolitik","gesundheit","versorgung","gesundheitspolitik","gesundheitspolitik","gesetzlichen","gesetzlichen","gesundheitswesen","krankenkassen","zahnersatz","versicherten","beiträge","ärzte","versorgung","menschen","prävention","ärzte","gesundheitsfonds","ärzte","rösler","rösler","gesundheit","versicherten","krankenkassen","ärzte","gesundheit","krankenkassen","versorgung","pflege","ärzte","krankenhäusern","versicherten","pflegeversicherung","pflegeversicherung","organspende","versorgung","angehörigen","krankenhäusern","krankenversicherung","krankenhäusern","gesundheitswesen"
"6","rentenversicherung","winkelheide","sozialversicherung","kindergeld","beiträge","schellenberg","rentner","kalinke","beiträge","kalinke","anpassung","rentner","rentenversicherung","rentenversicherung","lohnfortzahlung","anpassung","kriegsopferversorgung","stingl","rentner","monatlich","arbeit","versicherungspflichtgrenze","unfälle","bundesarbeitsminister","selbstverwaltung","spitzmüller","katzer","sozialpolitik","angestellten","rente","schellenberg","vorsorge","krankenversicherung","katzer","rente","cducsu","katzer","anpassung","gesetzlichen","sozialbudget","kriegsopfer","kriegsopfer","sozialpolitik","franke","gesetzlichen","kriegsopfer","sozialpolitik","rente","blüm","krankenversicherung","sozialpolitik","rentner","ehrenberg","sozialordnung","heimbewohner","arbeitnehmer","arbeitnehmer","rente","sozialpolitik","mischfinanzierung","bundesarbeitsminister","älteren","kindererziehungszeiten","renten","rente","sozialpolitik","rentenversicherung","reform","versicherten","krankenkassen","dressler","blüm","rentner","psychisch","krankenhaus","rente","psychotherapeuten","gesundheit","krankenkassen","sozialhilfe","sozialhilfe","gesetzlichen","versicherten","gesetzlichen","krankenkassen","thomae","versorgung","gesundheit","krankenversicherung","versicherten","versorgung","leistungen","krankenhäuser","positivliste","selbstverwaltung","pflege","gesetzlichen","menschen","krankenkassen","gesetzlichen","reform","krankenkassen","krankenversicherung","pflege","versorgung","arzt","zusatzbeiträge","gesetzlichen","krankenversicherung","pflege","krankenversicherung","versicherten","patientinnen","versicherten","ärzte","menschen","patientinnen","altenpflege","pflegekräfte","bürgerversicherung","patienten","widerspruchslösung","widerspruchslösung","krankenkassen","gesundheitswesen","krankenhäusern","sterben","krankenhäusern"
"7","frau","horn","bundesarbeitsminister","sozialreform","rentner","angestellten","beiträge","dm","rentner","reform","gesetz","bundesarbeitsminister","bundesarbeitsminister","rente","beiträge","unfallverhütung","versicherungstechnischen","kriegsopfer","rente","sozialordnung","krankenkassen","schellenberg","katzer","beiträge","sozialordnung","beiträge","hinterbliebenenversorgung","krankenversicherung","rentenversicherung","krankenversicherung","sozialordnung","schellenberg","arbeit","renten","landwirte","flexiblen","schellenberg","altersversorgung","franke","sozialen","krankenkassen","rente","sozialversicherung","selbstverwaltung","müller","ehrenberg","müller","franke","krankenversicherung","sozialhilfe","publizisten","müller","müller","senator","sozialversicherungsträger","rente","sozialpolitik","arbeitnehmer","arbeitnehmer","rentner","krankenversicherung","rentner","älteren","sozialhilfe","arbeitslosen","rentner","strukturreform","dm","renten","dressler","dm","ärzte","selbstbeteiligung","dm","rente","leistungen","kompensation","dressler","gesundheit","arzneimittel","seehofer","leistungen","gesundheitswesen","seehofer","gesundheitswesen","krankenkassen","versicherten","versorgung","leistungen","gesundheitspolitik","gesetzlichen","kranken","versorgung","krankenhäusern","ärzte","gesetzlichen","ärzte","kassen","kassen","praxisgebühr","kassen","pflegeversicherung","leistungen","krankheiten","kassen","versorgung","sozialausgleich","sozialausgleich","pflegeversicherung","krankenversicherung","versicherten","arzt","krankenhäuser","qualität","patienten","prävention","gröhe","gesundheit","pflegeversicherung","krankenhäuser","altenpflege","spahn","spahn","patientinnen","patientinnen","patientinnen","sana","krankenhäuser"
"8","antrag","kriegsopfer","berufsgenossenschaften","schellenberg","versicherten","leistungen","versicherten","leistungen","angestellten","sozialordnung","rente","rentenversicherung","arbeiter","sozialpolitischen","krankenkassen","rentner","sozialpolitik","versicherten","sozialen","schellenberg","blank","renten","arbeitsunfälle","dm","sozialen","rente","alters","rente","lösung","sozialordnung","sozialen","rentner","sozialordnung","frauen","altersgrenze","selbständigen","flexiblen","leistungen","leistungen","sozialordnung","geissler","dm","rentner","kostendämpfung","sozialhilfe","rentenanpassungsgesetz","herabsetzung","altershilfe","müller","rente","ehrenberg","sicherung","rente","krankenversicherung","leistungsempfänger","franke","glombig","sozialen","bundesarbeitsminister","beiträge","rentnern","arbeitslosen","bundesarbeitsminister","kindererziehungszeiten","sozialpolitik","dressler","leistungen","krankenkassen","rentenreform","dm","rentenerhöhung","rentner","renten","dressler","krankenkassen","blüm","patienten","bundesgesundheitsamt","dressler","ärzte","stufe","kassen","patienten","pflege","versorgung","versorgung","patientinnen","gesundheitswesen","krankenkassen","krankenversicherung","ärzte","seehofer","nullrunde","versicherten","gesetzlichen","gesundheit","patienten","krankenversicherung","gesundheit","versorgung","wettbewerb","sterben","versicherten","pflegeversicherung","krankenhäuser","betroffenen","krankenkassen","lauterbach","bahr","gesundheitswesen","patientinnen","versorgung","prävention","gröhe","angehörigen","arzt","menschen","patientinnen","gröhe","leistungen","krankenhäusern","versicherten","pflegeversicherung","spahn","krankenkassen","ärzte","patientinnen","pflegenden"
"9","erhöhung","leistungen","renten","leistungen","dm","krankenversicherung","kalinke","arbeitnehmer","rentenversicherung","beiträge","sozialpolitik","anpassung","kostenbeteiligung","sozialpolitik","schellenberg","sozialpolitik","kriegsopfer","blank","sozialpolitischen","rente","dm","rente","sozialordnung","sozialpolitischen","arbeit","sozialpolitik","finanzänderungsgesetz","schellenberg","versicherten","anpassung","arendt","versicherten","schellenberg","beiträge","sozialordnung","katzer","renten","sozialen","arbeit","renten","sozialordnung","sozialpolitik","sozialen","gesundheitswesen","rentner","rentnern","rentner","rentenanpassungsgesetz","sozialen","gesetzlichen","renten","ehrenberg","leistungen","arbeitnehmer","sozialordnung","sozialen","vogt","sozialhilfe","gesetzlichen","bundesarbeitsminister","rentenanpassung","hinterbliebenenrente","glombig","gesetzlichen","kriegsopferversorgung","strukturreform","patienten","renten","reform","renten","pflege","krankenkassen","gesundheitswesen","kranken","versorgung","kompensation","versorgung","dm","leistungen","patienten","gesetzlichen","gesundheitswesen","rehabilitation","leistungen","gesundheitspolitik","gesetzlichen","gesetzlichen","leistungen","versorgung","qualität","risikostrukturausgleich","chronisch","beiträge","system","chronisch","kolb","krankenhäuser","gesetzlichen","storm","gesundheitswesen","gesundheitswesen","krankheit","kassen","sterben","cannabis","medizinische","lauterbach","pharmaindustrie","patientinnen","gesetzlichen","bahr","krankenversicherung","pflegeversicherung","krankenversicherung","suizid","sterben","angehörigen","ärzte","psg","patienten","ärzte","pflegekräfte","krankenversicherung","menschen","krankenhäuser","spahn","kliniken","arbeitsbedingungen"
"10","rente","erhöhung","dm","arbeitslosigkeit","sozialreform","gesetzentwurf","arbeiter","beiträge","arbeiter","gesetz","rentenversicherung","bilanz","stingl","arbeiter","leistungen","stingl","blank","leistungen","sonderzuschuss","renten","rentner","beiträge","bundesarbeitsminister","sozialordnung","leistungen","versicherten","krankenversicherung","kattenstroth","arbeitsrechtliche","rohde","rentner","gesetzentwurf","gesetzlichen","gesetzentwurf","koalition","sicherung","krankenversicherung","rentner","krankenkassen","rentner","renten","sozialen","sozialordnung","gesetzlichen","beiträge","krankenversicherungsbeitrag","dm","müller","sozialordnung","versicherten","künstlersozialabgabe","arbeitnehmer","kriegsopferversorgung","schmidt","rentenversicherungsträger","renten","rentner","arbeit","krankenversicherung","krankenhaus","beiträge","psychisch","kriegsopfer","älteren","strukturreform","älteren","selbstbeteiligung","dressler","blüm","rentner","sozialhilfe","versorgung","krankenkassen","gesundheitswesen","gesetzlichen","renten","krankenversicherung","leistungen","gesetzlichen","krankenkassen","behinderten","pflegeversicherung","zuzahlung","menschen","zahnersatz","gesundheitspolitik","arzneimittel","psychotherapeuten","budgetierung","gesundheit","seehofer","prävention","ärzte","leistungen","gesundheitsreform","versicherten","kopfpauschale","organspende","zöller","arzneimittel","pflegeversicherung","ärzte","versorgung","patientenverfügung","menschen","befruchtung","gesundheitswesen","kopfpauschale","ärzte","patientinnen","ärzte","pflege","menschen","gesundheit","leben","krankenkassen","krankenhäusern","medizinische","gesundheit","versicherten","menschen","altenpflege","ärztinnen","widerspruchslösung","krankenhaus","versicherten","suizid","ärzte"
"11","versicherten","arbeit","beiträge","krankenkassen","familienausgleichskassen","bundesarbeitsminister","arbeitslosenversicherung","renten","stingl","sozialpolitischen","leistungen","beiträge","ärzte","reform","unfallversicherung","unfälle","anpassung","arbeiter","bundesarbeitsminister","arbeit","sozialpolitik","leistungen","unfallversicherung","leistungen","sozialversicherung","renten","beiträge","bundesversorgungsgesetz","versicherungspflichtgrenze","kriegsopferversorgung","sozialpolitischen","katzer","ehrenberg","öffnung","rentnern","flexible","sozialordnung","sozialordnung","rente","landwirte","müller","rentenversicherungsträger","krankenkassen","ehrenberg","rente","kriegsopferversorgung","renten","rentner","angestellten","sicherung","rentenversicherungsträger","gesetzentwurf","beitragszahler","sozialhilfe","leistungen","glombig","rente","krankenhaus","beiträge","arbeitslosen","strukturreform","beiträge","dm","strukturreform","bundesarbeitsminister","dm","reform","rentner","kindererziehungszeiten","kranken","grauen","dm","hasselfeldt","gesetzlichen","dressler","sozialhilfe","psychotherapie","renten","rentenversicherung","versorgung","renten","selbstverwaltung","zuzahlungen","beiträge","gesundheit","zuzahlung","gesundheit","versicherten","gesundheitswesen","ministerin","ministerin","gesundheitswesen","leistungen","versorgung","versicherten","soziale","leistungen","sterben","sicherung","arzt","patienten","reform","gesundheit","versorgung","ärzte","versicherten","bürgerversicherung","spahn","versorgung","gesundheitspolitik","menschen","gesundheitswesen","erkrankungen","arzneimittel","tod","gesetzentwurf","gesundheitswesen","gesundheitswesen","kleinschmeink","krankenhäusern","krankenkassen","krankenversicherung","patientinnen","pflegeversicherung","ärzte","gesundheitswesen","ärzte","menschen"
