"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","preise","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","logemann","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","ertl","landwirtschaft","landwirtschaft","gallus","landwirtschaft","landwirtschaft","stahlindustrie","europäischen","europäischen","landwirtschaft","europäischen","landwirtschaft","gemeinschaft","landwirtschaft","europäischen","landwirtschaft","europäischen","landwirtschaft","europäischen","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","verbraucherschutz","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","verbraucher","verbraucher","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","verbraucher","landwirtschaft","landwirtschaft","verbraucher","verbraucher","landwirtschaft","verbraucher","verbraucher","verbraucher","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft"
"2","preise","milch","einfuhr","preise","preise","preise","grünen","grünen","grünen","grünen","grünen","landwirtschaft","grünen","grünen","schwarz","grünen","verbraucher","grünen","ernährung","grünen","forsten","forsten","ernährung","ernährung","höcherl","höcherl","höcherl","höcherl","ernährung","ernährung","ernährung","forsten","forsten","ernährung","ernährung","ernährung","ernährung","ernährung","ernährung","ertl","forsten","agrarpolitik","landschaftspflege","agrarpolitik","gallus","ertl","gallus","agrarpolitik","gemeinschaft","landwirtschaft","gallus","gemeinschaft","europäischen","gallus","gallus","europäischen","gemeinschaft","landwirtschaft","gemeinschaft","gemeinschaft","bauern","europäischen","bauern","gemeinschaft","bauern","landwirtschaft","bauern","landwirtschaft","betriebe","europäischen","eg","bauern","eg","eg","rohstoffe","bauern","borchert","landwirte","bauern","bauern","bauern","landwirte","tiere","verbraucher","agrarpolitik","bauern","bauern","tierschutz","bauern","verbraucherschutz","landwirtschaft","verbraucherschutz","verbraucherschutz","verbraucherschutz","verbraucherschutz","gentechnik","landwirte","künast","landwirtschaft","verbraucherschutz","ländlichen","seehofer","ländlichen","ernährung","landwirtschaft","gentechnik","verbraucher","landwirtschaft","landwirtschaft","verbraucher","landwirtschaft","landwirtschaft","verbraucherinnen","ernährung","verbraucher","ernährung","verbraucher","glyphosat","ernährung","ernährung","ernährung","landwirte","lebensmittel","bauern","landwirte","landwirte","landwirte","landwirte"
"3","einfuhr","konsumgenossenschaften","getreide","verbraucher","pf","verbraucher","landwirtschaftlichen","horlacher","kriedemann","landwirtschaftlichen","betriebe","butter","landwirtschaftlichen","agrarpolitik","betriebe","agrarpolitik","abschöpfung","landwirtschaftlichen","schwarz","schwarz","schwarz","ernährung","forsten","forsten","ernährung","ernährung","forsten","ernährung","forsten","forsten","forsten","ernährung","ernährung","forsten","forsten","forsten","forsten","forsten","ertl","forsten","ernährung","logemann","naturschutz","ertl","landwirtschaftlichen","gallus","eg","gemeinschaft","betriebe","gemeinschaft","eg","agrarpolitik","landwirtschaft","schmitz","europäischen","gallus","landwirtschaft","gemeinschaft","bauern","landwirtschaft","europäischen","landwirtschaft","betriebe","europäische","agrarpolitik","gemeinschaft","europäischen","gemeinschaft","bauern","bauern","flächen","eg","gatt","betriebe","nachwachsenden","bäuerinnen","forsten","bauern","borchert","borchert","landwirte","agrarpolitik","tierschutz","borchert","bauern","agenda","agenda","bauern","verbraucher","verbraucher","verbraucher","künast","landwirte","verbraucher","ernährung","landwirte","verbraucherschutz","gentechnik","verbraucherschutz","verbraucher","verbraucher","gentechnisch","seehofer","verbraucherschutz","verbraucherinnen","verbraucherschutz","verbraucherschutz","verbraucherinnen","verbraucherinnen","verbraucherschutz","verbraucherinnen","verbraucherinnen","landwirtschaft","verbraucher","verbraucherinnen","verbraucher","ernährung","bauern","tiere","essen","tiere","tiere","wolf","wald","wasser","wald","bauern","ernährung"
"4","verbraucher","ernährung","landwirtschaftlichen","ernährung","verbraucher","ernährung","plan","bauern","ha","betriebe","landwirtschaftlichen","schwarz","betriebe","betriebe","agrarpolitik","landwirtschaftlichen","schwarz","schwarz","forsten","agrarpolitik","ernährung","schwarz","grünen","höcherl","forsten","forsten","ernährung","forsten","höcherl","ertl","logemann","logemann","logemann","logemann","logemann","logemann","ertl","logemann","forsten","ernährung","eigen","ertl","landschaft","ländlichen","landwirte","agrarpolitik","europäischen","eg","agrarpolitik","eg","europäischen","europäischen","gemeinschaft","eg","agrarpolitik","eg","europäische","bauern","europäischen","bauern","gemeinschaft","bauern","agrarpolitik","akte","eg","bauern","flächenstillegung","eg","eg","eg","betriebe","betriebe","bauern","agrarpolitik","bauern","landwirte","ernährung","agrarpolitik","betriebe","agrarpolitik","borchert","kalb","borchert","bauern","landwirte","tierschutz","landwirte","landwirtschaftlichen","verbraucherschutz","künast","künast","ernährung","ernährung","künast","gentechnik","künast","künast","verbraucherschutz","künast","goldmann","seehofer","ernährung","gentechnik","seehofer","gentechnik","gentechnisch","ernährung","verbraucherschutz","aigner","verbraucherinnen","verbraucherschutz","aigner","produkte","gentechnisch","ernährung","glyphosat","tierschutz","ernährung","gentechnik","verbraucher","glyphosat","betriebe","glyphosat","landwirte","bauern","bauern","ministerin","lebensmittel"
"5","preis","verbraucher","preise","preis","milch","grünen","preise","landwirtschaftlichen","betriebe","bauern","plan","verbraucher","agrarpolitik","preise","landwirtschaftlichen","betriebe","forsten","ewg","ewgkommission","landwirtschaftlichen","grünen","landwirtschaftlichen","landwirtschaftlichen","ewg","ewg","ewg","agrarpolitik","agrarpolitik","bundesminister","agrarpolitik","ertl","ertl","ertl","ertl","landwirte","molkereien","agrarpolitik","ertl","agrarpolitik","agrarpolitik","logemann","landwirtschaftlichen","landwirtschaft","agrarbericht","eg","betriebe","gemeinschaft","landwirte","landwirte","landwirte","gemeinschaft","eg","eg","gemeinschaft","gemeinschaft","landwirtschaft","agrarpolitik","agrarpolitik","agrarpolitik","betriebe","eg","europäische","landwirte","eg","europäischen","eg","eg","bauern","europäischen","gemeinschaft","bauern","europäischen","gattverhandlungen","landwirte","eg","landwirtschaftlichen","jochen","borchert","agrarpolitik","landwirte","ernährung","borchert","agrarpolitik","agrarpolitik","sielaff","funke","agrarpolitik","funke","landwirte","bauern","bauern","verbraucher","bauern","ernährung","künast","gentechnisch","bauern","landwirtschaft","goldmann","seehofer","verbraucherschutz","verbraucher","ernährung","goldmann","verbraucherschutz","pflanzen","aigner","aigner","verbraucherschutz","antibiotika","aigner","verbraucherschutz","verbraucherschutz","honig","tierschutz","lebensmittel","verbraucherinnen","milch","minister","lebensmittel","landwirte","bauern","ernährung","bäuerinnen","ernährung","ministerin","insektenschutz","bauern"
"6","dm","einfuhr","vorratsstelle","zollsenkung","mineralölwirtschaft","milch","bericht","betriebe","bericht","agrarpolitik","agrarpolitik","marktordnung","kriedemann","plan","ernährung","schwarz","erzeuger","agrarpolitik","gellersen","ernährung","brüssel","agrarpolitik","agrarpolitik","brüssel","landwirtschaftlichen","landwirtschaftlichen","landwirtschaftlichen","mansholt","minister","peters","landwirtschaftlichen","agrarpolitik","brüssel","landwirtschaftlichen","ertl","ertl","logemann","gemeinschaft","logemann","logemann","rohr","ländlichen","eigen","landwirtschaftlichen","forsten","landwirtschaftlichen","film","betriebe","bauern","landwirtschaftlichen","landwirte","bauern","staatssekretär","gemeinschaftsaufgabe","eg","kommission","mitgliedstaaten","europäische","europa","eg","agrarpolitik","eg","europäischen","landwirtschaft","gemeinschaft","agrarpolitik","agrarpolitik","europäische","landwirte","landwirtschaftlichen","wein","agrarpolitik","agrarpolitik","kiechle","agrarpolitik","agrarpolitik","niedersachsen","bäuerinnen","landwirte","sielaff","forsten","sielaff","tieren","landwirte","betriebe","agrarpolitik","funke","ernährung","bse","ernährung","landwirte","bauern","künast","bauern","landwirte","ernährung","lebensmittel","ministerin","verbraucherinnen","ernährung","verbraucherinnen","gentechnik","verbraucherschutz","verbraucher","seehofer","ernährung","verbraucherinnen","ernährung","lebensmittel","aigner","ernährung","lebensmittel","pflanzen","gentechnik","verbraucherschutz","gentechnik","tiere","verbraucher","verbraucher","tiere","bauern","ernährung","wasser","klöckner","tiere","klöckner","wald","flächen"
"7","ernährung","forsten","marktordnung","horlacher","landwirtschaftlichen","landwirtschaftlichen","landarbeiter","preise","preise","kriedemann","bericht","einfuhr","preise","landwirtschaftlichen","bauern","bauern","ernährung","ernährung","schmidt","forsten","agrarpolitik","ewg","höcherl","markt","agrarpolitik","logemann","minister","brüssel","ewg","logemann","alterskassen","landwirtschaftlichen","landwirtschaftlichen","wirtschaftsjahr","bauern","orth","landwirtschaftlichen","weizen","agrarbericht","eigen","europäischen","ernährung","italien","eg","witwen","eg","agrarpolitik","ertl","europäischen","agrarpolitik","butter","gallus","preispolitik","europäischen","kommission","saar","eg","europa","betriebe","europäische","kiechle","europa","eg","gallus","landwirte","europäische","landwirte","binnenmarkt","bäuerlichen","betriebe","eigen","lpg","kiechle","reform","kiechle","eg","brüssel","textil","brüssel","landwirtschaftlichen","betriebe","eu","ernährung","ernährung","agenda","landwirte","landwirtschaftlichen","thalheim","agrarpolitik","agrarpolitik","ernährung","tierschutz","verbraucher","gentechnik","verbraucher","bauern","verbraucher","verbraucherpolitik","ministerin","vogelgrippe","bauern","verbraucherschutz","raum","ländlichen","bauern","aigner","landwirte","ländlichen","ernährung","ernährung","betriebe","tierschutz","gentechnisch","pollen","tiere","tiere","lebensmittel","minister","ländlichen","bfr","verbraucher","ministerin","bauern","ministerin","düngeverordnung","lebensmittel","naturschutz","özdemir"
"8","regierung","erzeuger","verbraucher","ernährungsausschuss","betriebe","einfuhr","verbraucher","dm","subventionen","alterskassen","subventionen","markt","bauern","bericht","einfuhr","ewg","getreide","forsten","milch","ewg","ewg","brüssel","betriebe","preise","brüssel","agrarpolitik","milch","landwirtschaftlichen","peters","brüssel","ewg","landwirte","agrarpolitik","broschüre","brüssel","betriebe","betriebe","landwirtschaftlichen","brüssel","ritz","gemeinschaft","flurbereinigung","ertl","gallus","rohr","ländlichen","butter","film","ertl","betriebe","kommission","ertl","eigen","eigen","brüssel","brüssel","europa","eg","eg","europa","betriebe","landwirte","kiechle","agrarpolitik","betriebe","europa","gemeinschaft","europa","gemeinschaft","landwirte","winzer","landwirtschaftlichen","betriebe","ländlichen","gatt","fritz","schweinepest","landwirtschaftlichen","ausgleichszahlungen","bäuerinnen","schleswigholstein","forsten","forsten","betriebe","ernährung","tierschutzes","betriebe","forsten","funke","landwirte","ministerin","berninger","modulation","verbraucherpolitik","bauern","verbraucher","ernährung","produkte","bauern","verbraucherinnen","goldmann","pflanzen","landwirte","produkte","goldmann","agrogentechnik","landwirtschaftlichen","verbraucherpolitik","produkte","tiere","nanotechnologie","tiere","honig","lebensmittel","lebensmittel","gentechnisch","landwirte","ostendorff","bauern","schulverpflegung","bienen","wolf","essen","wolf","tierwohl","ernährung","insekten","umwelt"
"9","erhöhung","horlacher","vorratsstellen","linoleum","erzeuger","kriedemann","betriebe","bäuerlichen","dm","landwirte","grüne","preisen","bericht","bauern","forsten","plan","agrarpolitik","bauern","preise","bauern","schmidt","markt","brüssel","pf","grünen","peters","ewg","ewg","neef","ewg","betriebe","ritz","preise","preise","ewg","staatssekretär","agrarbericht","getreide","ritz","brüssel","erzeugergemeinschaften","forsten","forstwirtschaft","ritz","ernährung","landwirte","ernährung","landwirtschaftlichen","gallus","gallus","kiechle","landwirte","stahlindustrie","ertl","landwirte","gemeinschaft","lenz","kiechle","kiechle","geldern","gallus","agrarpolitik","gemeinschaft","eigen","kiechle","brüssel","betriebe","agrarpolitik","agrarpolitik","europäische","rohstoffe","landwirte","forsten","bauern","uruguayrunde","ländlichen","bauern","ländlichen","agrarreform","ländlichen","landwirtschaftlichen","bauern","landwirtschaftlichen","forsten","agrarbericht","ländlichen","verbraucher","landwirte","tiermehl","bse","verbraucherinnen","getreide","carstensen","modulation","goldmann","verbraucherschutz","landwirten","ernährung","ernährung","virus","landwirte","goldmann","happachkasan","gentechnik","gentechnisch","mon","ministerin","agrarpolitik","lebensmitteln","lebensmittel","produkte","ernährung","glyphosat","verbraucherinnen","agrarpolitik","bauern","minister","cent","lebensmittel","tierschutz","betriebe","klöckner","gesunde","betriebe","fleisch","umwelt","betriebe","fischerei"
"10","pfennig","preis","bender","einfuhr","ernährung","pf","dm","ernährung","preis","milch","mittel","dm","dm","pf","bäuerlichen","verbraucher","schmidt","preise","agrarpolitik","brüssel","landwirtschaftlichen","gemeinsamen","bauer","landwirtschaftlichen","markt","milch","logemann","grünen","poppenbüll","höcherl","brüssel","bauern","landwirte","brüssel","ritz","höcherl","ewg","kiechle","gemeinschaft","landwirte","kiechle","eigen","naturschutzes","landwirte","brüssel","verbraucher","landwirtschaftlichen","bauern","griechenland","bundesminister","ertl","betriebe","kommission","forsten","landwirtschaftlichen","egkommission","brüssel","stuttgart","landwirte","agrarpolitik","bäuerlichen","spanien","landwirtschaftlichen","bauern","brüssel","eigen","brüssel","eigen","kommission","egkommission","gemeinschaft","lpgen","ernährung","ernährung","forsten","sielaff","sielaff","gatt","forsten","brüssel","eu","landwirtschaftlichen","betriebe","agenda","hektar","tiere","ländlichen","gemeinschaftsaufgabe","ernährung","ministerin","gentechnik","ministerin","acrylamid","agrarpolitik","tierschutz","goldmann","goldmann","goldmann","verbraucherpolitik","gentechnik","produkte","verbraucherinnen","verbraucher","spielzeug","pflanzen","verbraucher","agrarpolitik","produkte","bauern","ländlichen","antibiotika","verbraucherpolitik","gentechnik","landwirte","betriebe","landwirte","betriebe","verbraucherinnen","betriebe","glyphosat","lebensmittel","agrarpolitik","zucker","hektar","landwirten","landwirten","hektar","betriebe"
