"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","lastenausgleich","vertriebenen","vertriebenen","eingliederung","flüchtlinge","vertriebenen","geschädigten","kather","vertriebenen","flüchtlinge","zonenrandgebieten","gläubiger","flüchtlinge","flüchtlinge","novelle","rehs","flüchtlinge","flüchtlinge","wiedergutmachung","entschädigung","flüchtlinge","novelle","flüchtlinge","novelle","novelle","novelle","novelle","entschädigung","novelle","eid","flüchtlinge","novelle","eingaben","petitionen","cma","angehörige","diplomaten","kohle","forschungspolitik","kernenergie","forschung","kernenergie","forschung","kernenergie","forschung","forschung","kernenergie","grundlagenforschung","kernenergie","forschung","forschung","enquetekommission","nordsee","kernenergie","forschung","kommission","mikroelektronik","umweltschutz","umweltschutz","buschhaus","umweltschutz","umweltschutz","umweltschutz","umwelt","nordsee","töpfer","töpfer","töpfer","töpfer","töpfer","umwelt","umwelt","umwelt","umwelt","umwelt","umwelt","umwelt","umwelt","merkel","naturschutz","umwelt","umwelt","umwelt","umweltpolitik","umweltbildung","umweltpolitik","umweltpolitik","umwelt","klimaschutz","naturschutz","naturschutz","nachhaltigkeit","umweltpolitik","naturschutz","klimaschutz","emissionshandel","umweltpolitik","klimaschutz","reach","umweltpolitik","umwelt","klimaschutz","klimaschutz","klimaschutz","klimaschutz","klimaschutz","kopenhagen","klimaschutz","maritimen","durban","wasser","reeder","hochwasserschutz","klimaschutz","klimaschutz","cannabis","ezigaretten","deg","völker","cannabis","cannabis","afrika","afrika","entwicklungszusammenarbeit","afrika","afrika","weltweit","globalen"
"2","vermögen","eingliederung","eingliederung","vertriebenen","vertriebene","flüchtlinge","hauptentschädigung","geschädigten","schuldner","vertriebenen","zonenrandgebiete","zirndorf","häftlinge","vertriebenen","flüchtlinge","unterhaltshilfe","lastenausgleich","zone","unterhaltshilfe","unterhaltshilfe","kriegsgeschädigte","wiedergutmachung","vertriebenen","mrd","becher","entschädigung","flüchtlinge","flüchtlinge","entschädigung","vertriebenen","worden","flüchtlinge","petitionen","genossenschaften","absatzfonds","angestelltengewerkschaft","flüchtlinge","kernenergie","forschung","energieforschung","technologie","nutzung","krebsforschung","forschung","kernenergie","technologie","brüter","forschung","forschung","kernenergie","laermann","forschung","technologie","entsorgung","enquetekommission","snr","snr","wald","forschung","umweltschutz","umwelt","umwelt","luft","umweltschutz","umwelt","umwelt","umwelt","umwelt","umwelt","umwelt","umweltschutz","töpfer","töpfer","rio","naturschutz","töpfer","töpfer","enquetekommission","umwelt","umwelt","naturschutz","merkel","naturschutz","merkel","naturschutz","umwelt","umwelt","umweltpolitik","umwelt","klimaschutz","umweltpolitik","klimaschutz","umwelt","wald","trittin","klimaschutz","klimaschutz","umwelt","klimaschutz","klimaschutz","naturschutz","klimawandel","bali","klimawandel","umwelt","meere","klimaschutz","holz","maritime","wald","umwelt","maritimen","meeresforschung","klimawandel","elefanten","klimaschutz","paris","palmöl","paris","afrika","entwicklungspolitik","entwicklungszusammenarbeit","entwicklungszusammenarbeit","afrika","entwicklungszusammenarbeit","globalen","lieferkettengesetz","entwicklungszusammenarbeit"
"3","gesetz","vertriebene","heimatvertriebenen","vertriebene","heimatvertriebenen","heimatvertriebenen","lastenausgleichsbank","vertriebenen","vertrag","beweissicherung","vertriebenen","gutachten","vertriebenen","novelle","hauptentschädigung","vertriebenen","vertriebenen","vertriebenen","novelle","flüchtlinge","gleichstellung","flüchtlinge","novelle","petitionsausschuss","flüchtlinge","flüchtlinge","heimatvertriebenen","alkohol","flüchtlinge","becher","eingliederung","vertriebenen","lastenausgleichs","petitionsausschuss","unterhaltshilfe","dringende","vertriebenen","energieforschung","forschungs","forschung","hauff","technologie","technologie","technologie","technologie","forschungs","technologie","kernenergie","stahl","kommission","stahl","kernenergie","gutachten","abfälle","stahl","forschung","forschung","waldsterben","umwelt","wald","autos","tempolimit","nordsee","wallmann","umweltschutz","industrie","umweltpolitik","umweltpolitik","umweltpolitik","nordsee","enquetekommission","schmidbauer","umweltpolitik","ostsee","töpfer","rio","verwertung","umweltpolitik","umweltpolitik","merkel","merkel","naturschutz","merkel","naturschutz","umwelt","ökologische","ökologische","nachhaltigkeit","umweltpolitik","umwelt","klimaschutz","johannesburg","ökologischen","wälder","emissionshandel","naturschutz","reach","nachhaltigkeit","umwelt","umwelt","gabriel","umwelt","gabriel","natur","emissionshandel","klimawandel","wald","vielfalt","elbe","klimaschutz","reeder","maritime","hochwasser","umwelt","umwelt","umwelt","klimaschutz","rauchen","entwicklungsländern","entwicklungspolitik","globalen","müller","plastik","müller","globalen","cannabis","globalen","entwicklungspolitik"
"4","vertriebenen","heimatvertriebenen","lastenausgleich","flüchtlinge","verbindlichkeiten","eingliederung","flüchtlinge","lastenausgleich","staatsvertrag","rehs","bundesdurchschnitt","oberländer","vertriebene","hauptentschädigung","vertriebenen","flüchtlinge","vertriebene","gleichstellung","flüchtlinge","weber","vertriebene","entschädigung","entschädigung","flüchtlinge","pullach","becher","vertriebenen","geschädigten","häftlinge","novelle","pullach","gleichstellung","fircks","petitionsausschusses","gmbh","dieter","gibt","energieprogramm","zentren","technologie","kernenergie","forschung","krebs","nutzung","kernkraftwerke","antarktis","forschung","technologie","technologie","technologie","kernenergie","programm","forschung","forschung","technologie","brüter","technologie","luft","technik","umwelt","umweltpolitik","benzin","umwelt","umweltpolitik","naturschutz","umweltpolitik","umweltschutz","naturschutz","umweltschutz","umweltschutz","lippold","naturschutz","naturschutz","töpfer","umweltschutz","dsd","umweltpolitik","töpfer","umweltschutz","umweltschutz","umweltpolitik","umweltschutz","umweltpolitik","umwelt","umweltpolitik","nachhaltigkeit","klimaschutz","ökologische","haag","umweltpolitik","umwelt","emissionshandel","ökologische","verpackungsverordnung","umweltpolitik","umwelt","trittin","wald","trittin","reach","klimaschutz","emissionshandel","co","gabriel","gabriel","naturschutz","umwelt","klimawandel","konferenz","elbe","elbe","schiffe","drogen","klimapolitik","wilderei","meere","eshishas","klimaschutz","indigenen","nachhaltigkeit","müller","entwicklungspolitik","nachhaltigkeit","welt","who","entwicklungszusammenarbeit","afrika","hunger"
"5","dm","bank","geschädigten","lastenausgleich","lastenausgleich","sowjetzonenflüchtlinge","vertriebenen","hauptentschädigung","österreichischen","novelle","vertrag","lastenausgleichs","weltflüchtlingsjahr","geschädigten","unterhaltshilfe","vertriebene","öfter","korspeter","hirsch","ansprüche","novelle","hauptentschädigung","gleichstellung","rehs","heimatvertriebenen","vertriebenen","gleichstellung","vertriebene","gleichstellung","schwöre","vertriebenen","fircks","becher","aufbaudarlehen","fircks","ausreise","geschwister","atomprogramm","grundlagenforschung","nutzung","kernkraftwerken","kernkraftwerke","forschungspolitik","kernkraftwerke","entsorgung","kernenergie","schnellen","albrecht","laermann","forschungs","grundlagenforschung","technologie","stahl","enquetekommission","schnellen","luft","steger","umwelt","technologie","nordsee","auto","luft","umweltpolitik","industrie","umweltpolitik","umweltschutz","antarktis","reaktorsicherheit","naturschutz","anlagen","ökologischen","ökologischen","reaktorsicherheit","ökologischen","feige","naturschutz","umweltschutz","feige","klimaschutz","reaktorsicherheit","genehmigungsverfahren","umweltpolitik","natur","kioto","merkel","ökologischen","loske","ökologischen","ökosteuer","nachhaltigkeit","natur","umweltpolitik","naturschutz","novelle","umwelt","trittin","umwelt","trittin","wälder","gabriel","klimawandel","natur","naturschutz","nutzung","naturschutz","nutzung","klimawandel","kopenhagen","cancún","waldstrategie","klimaschutz","flagge","klimaschutz","klimawandels","klimawandel","geräte","klimawandel","konsum","umwelt","nachhaltigkeitsstrategie","afrika","bmz","beschaffung","kinderarbeit","gesundheit","lieferkettengesetz","menschenrechte","welt"
"6","geschädigten","entschädigung","vertriebene","heimatvertriebenen","kriegsgeschädigte","oberländer","leistungen","novelle","gläubiger","vertriebene","junghans","lastenausgleich","kriegsgeschädigte","rehs","zone","lastenausgleichsgesetz","flitz","vertriebene","verfolgten","schäden","einrichtungshilfe","schäden","vertriebene","petitionsausschusses","vertriebenen","mick","becher","bechert","petitionsausschuss","helfe","novelle","lastenausgleichsgesetzes","verwaltungskosten","ausgleichsfonds","kriegsschadensrente","wesentlichen","gerichtsverfassungsgesetzes","energieversorgung","technologiepolitik","kernkraftwerken","nutzung","anlagen","forschungsförderung","hauff","lenzer","gorleben","nutzung","ministerpräsident","nutzung","nutzung","technologie","stahl","energieforschung","gorleben","hamburg","inbetriebnahme","lenzer","späth","industrie","umweltpolitik","zimmermann","technik","stoffe","rhein","wallmann","nordsee","nordsee","umweltschutz","industrie","umweltpolitik","töpfer","enquetekommission","ökologischen","naturschutz","genehmigungsverfahren","verpackungsverordnung","naturschutz","ökologische","lippold","umweltpolitik","umweltschutz","reaktorsicherheit","rio","umweltschutz","nachhaltigkeit","loske","wasser","arten","trittin","trittin","klimapolitik","trittin","trittin","ökologisch","ökologisch","industrie","kiotoprotokoll","band","kelber","stoffe","umweltpolitik","naturschutz","umwelt","meere","umweltgesetzbuch","umwelt","entwicklungsländer","umwelt","umwelt","kormoran","asbest","seeleute","umwelt","tonnen","internationalen","wertstoffgesetz","globalen","textilbündnis","ratifizierung","müller","klimawandel","globalen","tansania","globalen","globale","welt","entwicklungszusammenarbeit","weltweit"
"7","heimatvertriebenen","vermögen","lastenausgleichsgesetzes","geschädigten","oberländer","vertriebene","unterhaltshilfe","flüchtlinge","van","sowjetzonenflüchtlinge","zonengrenze","sicherstellung","wiedergutmachung","lastenausgleich","kriegssachgeschädigten","kriegsgeschädigte","petitionen","flüchtlingen","entschädigung","personen","entschädigung","unterhaltshilfe","auslandsvertretungen","ehegatten","kriegsgeschädigte","heimkehrer","korspeter","gesetz","rutschke","gott","gestern","hauptentschädigung","petitionsausschusses","unterhaltshilfe","absatzförderung","personen","kapazität","prozesswärme","reichstag","wyhl","kernkraftwerke","kernkraftwerken","laermann","entsorgung","ministerpräsident","matthöfer","kernkraftwerke","kernkraftwerke","technik","grundlagenforschung","kernkraftwerk","empfehlungen","programm","endlagerung","april","studie","enquetekommission","umweltpolitik","waldsterben","luft","luft","umweltpolitik","ta","luft","umweltschutzes","abfälle","industrie","fckw","natur","naturschutz","naturschutz","umweltpolitik","enquetekommission","enquetekommission","umweltpolitik","umweltpolitik","feige","lippold","reaktorsicherheit","angela","pvc","verordnung","wald","klimaschutz","wald","naturschutz","naturschutz","enquetekommission","nachhaltigkeit","natur","ökosteuer","rio","ökologisch","trittin","kiotoprotokoll","emissionshandels","umweltschutz","reach","mechanismen","umweltschutz","natur","tonnen","klimawandel","coemissionen","batterien","wälder","konferenz","cancún","meere","arktis","cannabis","umwelt","antrag","emissionen","paris","climate","umwelt","umwelt","phosphor","globalen","global","globale","menschenrechte","weltweit","lieferkettengesetz","müller","indigene","afrika"
"8","lastenausgleichs","oberländer","dm","oberländer","vertriebenen","kather","aussiedler","kunze","eingliederung","eingliederung","grenzgebieten","vertriebenen","eingliederung","lastenausgleichsgesetz","geschädigten","mischnick","helfen","eichelbaum","israel","milliarden","heimatvertriebenen","rehs","schäden","reserven","entschädigung","schäden","mick","kriegsgeschädigte","gesetz","betroffenen","flüchtlingen","becher","novelle","flüchtlinge","geschädigten","schmittvockenhausen","herr","kohlevergasung","lenzer","energie","uran","matthöfer","forschungs","matthöfer","solartechnik","nutzung","snr","landesregierung","kernkraftwerke","laermann","dring","programms","forschungs","grossforschungseinrichtungen","brüter","risiko","inbetriebnahme","grossfeuerungsanlagenverordnung","umweltpolitik","waldsterben","wald","wald","technik","stoffe","grundwasser","naturschutz","umweltverträglichkeitsprüfung","lennartz","ökologischen","stoffe","schutz","reaktorsicherheit","schäfer","umweltpolitik","ökologischen","ökologischen","abfälle","umweltschutz","naturschutz","vielfalt","reaktorsicherheit","bundesministerin","boden","bundesministerin","natur","umweltschutz","homburger","nachhaltige","naturschutz","ökologische","trittin","konferenz","nachhaltigkeit","umwelt","verpackungsverordnung","allokationsplan","homburger","emissionshandel","dött","emissionshandel","reaktorsicherheit","meere","coemissionen","umwelt","automobilindustrie","klimawandels","wälder","naturschutz","klimaschutz","cannabis","arktis","häfen","wasser","umweltschutz","nashörner","konferenz","rauchen","ezigarette","indigener","drogen","bmz","entwicklungshilfe","globalen","china","entwicklungsländern","weltweit","welt","globale"
"9","entschädigung","geschädigten","heimatvertriebenenwirtschaft","atzenroth","lastenausgleichsgesetz","dm","heimatvertriebenen","ansprüche","osterreich","kriegsgeschädigte","zonenrandgebiet","heimatvertriebenen","bauern","lastenausgleichsgesetzes","zwangslage","eingliederung","hauptentschädigung","heimatvertriebenen","juden","novelle","vertriebenen","milliarden","tierschutzgesetzes","betroffenen","rehs","hassel","sowjetzonenflüchtlinge","schäden","vertriebenen","wahr","verbände","sowjetzonenflüchtlinge","durchführung","novelle","novelle","regelung","cma","forschungs","forschungsminister","genehmigungsverfahren","lenzer","gruhl","lenzer","stavenhagen","albrecht","standort","lenzer","meerestechnik","strahlenbelastung","technik","kernkraftwerke","riesenhuber","kernenergie","kernkraftwerke","thtr","empfehlung","schnellen","bundesinnenminister","luft","ehmke","tempolimit","nordsee","industrie","technik","töpfer","umweltminister","naturschutz","nordsee","reaktorsicherheit","abfälle","natur","umweltschutz","stoffe","laufs","natur","umweltschutz","wald","ökologischen","ozon","bundesministerin","ökologische","angela","umweltschutz","flächen","nachhaltige","enquetekommission","hochwasser","trittin","ökologische","ökologischen","umweltschutz","ökologische","ökosteuer","innovationsklausel","allokationsplan","tonnen","minister","kiotoprotokoll","naturschutz","loske","umweltschutz","ostsee","tonnen","vielfalt","klimawandel","natur","wattenmeer","biologischen","polarforschung","umwelt","maritimen","see","substanzen","paris","elfenbein","lima","zigaretten","sdgs","verpackungsgesetz","umwelt","entwicklungszusammenarbeit","afrikanischen","umwelt","bmz","welt","who","globale","bmz"
"10","gesetzes","lastenausgleich","kather","vorfinanzierung","dm","millionen","vertriebene","oberländer","österreich","vermögen","heimatvertriebenen","bekämpfung","geflüchteten","vertriebene","lastenausgleichsgesetz","aufbaudarlehen","kriegsgeschädigte","petitionsstelle","bundesentschädigungsgesetz","hirsch","geschädigten","geschädigten","bundesvertriebenengesetzes","entschädigung","vertriebene","unterhaltshilfe","vertriebene","mick","kriegsgefangenen","pullach","becher","stiftung","ausreise","eingliederung","lastenausgleichsgesetz","sozialen","lastenausgleichsgesetz","nuklearen","forschungszentren","kernkraftwerke","laermann","endlagerung","technologien","kernkraftwerken","kernkraftwerken","hauff","gorleben","meeresforschung","kernkraftwerken","riesenhuber","landesregierung","kommission","programms","laufs","kernenergie","enquetekommission","riesenhuber","technik","forschungs","tempolimit","automobilindustrie","bleifreies","umweltschutzes","hauff","luft","stoffe","reaktorsicherheit","hartenstein","stoffe","reaktorsicherheit","pvc","hartenstein","umweltschutz","elbe","wald","feige","reaktorsicherheit","naturschutz","massnahmen","natur","nordsee","verpackungsverordnung","nachhaltigen","umweltplan","holz","lippold","lippold","ökosteuer","lippold","homburger","ökologische","nachhaltige","klimaschutz","waldbesitzer","kelber","loske","industrie","holz","stoffe","naturschutz","sigmar","bullingschröter","entwicklungsländer","naturschutz","ostsee","wald","naturschutz","biodiversität","wilhelmshaven","klimawandel","rohstoffen","holz","cannabis","baerbock","natur","paris","naturschutz","new","klärschlamm","handel","entwicklungsländern","staaten","nachhaltige","entwicklungsländern","weltweit","globale","indigenen","zusammenarbeit"
