"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","ausschuss","entwurf","abs","abs","regelung","abs","abs","abs","abs","gesetz","gesetz","gesetz","abs","reichsbank","vermittlungsausschuss","abs","abs","badenwürttemberg","grundgesetzes","art","abs","rechtsausschuss","grundgesetzes","grundgesetzes","parteien","gesetz","art","gesetz","gesetz","bundesverfassungsgericht","grundgesetzes","gesetz","gesetz","gesetz","gesetz","regelung","gesetzentwurf","gesetz","gesetz","gesetz","gesetzentwurf","gesetz","gesetz","gesetz","gesetzentwurf","gesetz","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetz","entwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetz","gesetzentwurf","petitionsausschuss","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf"
"2","abs","ausschuss","gesetzes","apotheken","abs","gesetzes","gesetzes","gesetzes","gesetz","entwurf","entwurf","abs","gesetz","abs","abs","entwurf","entwurf","baden","abs","grundgesetzes","vermittlungsausschuss","grundgesetzes","bundesrat","gesetz","gesetz","entwurf","abs","bundesverfassungsgericht","grundgesetzes","gesetz","abs","entwurf","gesetzes","gesetzes","entwurf","vermittlungsausschuss","preisbindung","gesetzentwurf","gesetzes","gesetzentwurf","gesetz","gesetzes","gesetzes","gesetzentwurf","gesetz","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","vermittlungsausschuss","entwurf","gesetz","entwurf","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetz","petitionsausschuss","gesetz","gesetz","gesetzentwurf","gesetz","gesetz","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","regelung","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetz","regelungen","regelungen","gesetz","gesetz","regelung","gegebene","regelung","gesetz","regelung","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","verfahren","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz"
"3","gesetz","abs","gesetz","gesetzes","gesetz","entwurf","gesetz","staatsangehörigkeit","regelung","abs","fremdenlegion","gesetzes","vorschriften","gesetzes","vermittlungsausschusses","regelung","grundgesetzes","landes","entwurf","badenwürttemberg","grundgesetzes","art","steuerschwachen","bundesrat","grundgesetzes","abs","grundgesetzes","art","parlament","entwurf","alterskassen","gesetzes","bundesrat","gesetzentwurf","gesetzes","bundestages","gesetz","gesetzes","gesetzentwurf","entwurf","gesetzes","gesetzentwurf","gesetzentwurf","gesetzes","entwurf","gesetzes","regelung","entwurf","entwurf","entwurf","datenschutz","entwurf","gesetz","bundesrat","gesetz","regelung","gesetzentwurf","entwurf","entwurf","entwurf","entwurf","entwurf","regelung","entwurf","petitionen","regelung","gesetz","regelung","regelung","entwurf","vermittlungsausschuss","entwurf","entwurf","regelung","regelung","regelung","regelung","gesetzentwurf","regelung","regelung","verfahren","regelung","regelung","regelung","regelung","regelung","regelung","regelung","entwurf","entwurf","regelung","entwurf","regelungen","entwurf","regelungen","regelung","regelungen","regelungen","entwurf","regelung","regelung","regelung","verfahren","regelung","regelungen","regelung","gesetz","gesetz","richtlinie","regelung","gegebene","regelungen","abs","regelung","gesetz","regelung","regelungen","regelung","verfahren","regelung","gesetz","verfahren","regelung","verfahren","urteil","verfahren","anhörung","verfahren"
"4","gesetzes","gesetz","vorschriften","entwurf","entwurf","wiedergutmachung","regelung","nr","gesetzes","gesetzes","vermittlungsausschuss","bankenaufsicht","regelung","gesetz","bundesrates","bundesrat","gesetz","bevölkerung","bundesrat","baden","bundesrat","regelung","abs","regelung","abs","grundgesetzes","verfassung","bundesrat","bundesrat","grundgesetzes","gesetz","bundesverfassungsgerichts","gesetzentwurf","entwurf","gesetzentwurf","gesetzes","bundesrat","entwurf","bundesrat","gesetzes","entwurf","regelung","abs","entwurf","regelung","entwurf","entwurf","regelung","regelung","regelung","regelungen","regelung","regelung","gesetzentwurf","vermittlungsausschuss","vermittlungsausschusses","regelung","regelung","regelung","regelung","regelung","regelung","entwurf","gesetzes","gesetz","entwurf","regelung","entwurf","entwurf","regelung","abs","regelung","regelung","entwurf","regelungen","entwurf","parteien","regelungen","regelungen","regelungen","regelung","entwurf","entwurf","entwurf","petitionen","entwurf","entwurf","entwurf","regelung","regelung","entwurf","regelung","entwurf","regelung","regelung","regelungen","regelung","regelung","regelung","regelungen","regelungen","regelungen","regelung","verfahren","regelung","regelungen","regelung","regelung","abs","protokoll","gesetz","gesetz","protokoll","verfahren","änderungen","verfahren","regelung","verfahren","regelung","anhörung","regelung","regelung","bundesverfassungsgericht","regelung","bundesverfassungsgericht","anhörung","daten","anhörung"
"5","regelung","regelung","ausschuss","ausschuss","gesetzes","gesetz","entwurf","gesetz","entwurf","bestimmungen","abs","bundesrat","reichsbank","entwurf","bundesrat","gesetzes","gesetzes","land","gesetz","rechtsausschuss","entwurf","abs","länder","verfassungsänderung","entwurf","art","gesetz","grundgesetzes","vermittlungsausschuss","bundesverfassungsgerichts","art","bundesverfassungsgericht","entwurf","abs","regelung","entwurf","entwurf","bundesrat","entwurf","regelung","regelung","abs","vermittlungsausschuss","abs","gesetzes","bundesrat","gesetzes","gesetzes","gesetzes","gesetzes","bundesrat","gesetzes","novelle","entwurf","regelung","entwurf","verfahren","volkszählung","petitionsausschuss","gesetzes","petitionsausschuss","petition","petitionen","regelung","petitionsausschusses","gesetzes","entwurf","gesetzes","regelungen","gesetzes","regelung","petitionsausschuss","regelungen","regelungen","verfahren","regelungen","regelungen","entwurf","entwurf","petitionsausschuss","entwurf","regelungen","regelungen","regelungen","petitionsausschuss","regelungen","petitionsausschuss","petitionen","bundesverfassungsgericht","verfahren","verfahren","petitionsausschuss","regelung","regelungen","entwurf","entwurf","anhörung","entwurf","regelungen","richtlinie","petitionen","änderungen","regelungen","petitionen","verfahren","entwurf","bereits","richtlinie","regelung","gegebene","protokoll","protokoll","bereits","änderung","änderung","regelungen","verfahren","regelungen","regelungen","regelungen","bundesverfassungsgericht","bundesverfassungsgericht","richtlinie","richtlinie","verfahren","regelung","regelung","regelung"
"6","wurde","wurde","entwurf","vorschriften","fassung","gesetzentwurf","entschädigung","jugend","vorschriften","bundesrat","regelung","entwurf","bundesrat","bundesrat","gesetz","gesetz","bundesrat","rechtsausschuss","art","abs","vermittlungsausschusses","vermittlungsausschuss","entwurf","entwurf","art","bundesrat","busse","verfassung","art","verfassung","entwurf","grundgesetzes","abs","regelung","bundesrat","verhaltensregeln","gesetzes","bundesrates","regelung","bundesrat","vorschriften","entwurf","regelung","regelung","bundesrat","regelung","bundesrat","bundesrat","bundesrat","bundesrat","regelung","nebentätigkeit","regelungen","regelung","datenschutz","bundesrat","bundesrat","gesetzes","gesetzes","regelungen","petition","bundesrat","bürger","bundesrat","regelung","bundesverfassungsgericht","petenten","petition","öffentlichen","rechtsprechung","gesetzgeber","regelungen","gesetzentwurfs","verfahren","entwurf","petitionsausschuss","entwurf","petitionsausschuss","gesetzgeber","entwurf","anhörung","überhangmandate","verfahren","banken","regelungen","anhörung","petitionen","regelungen","verfahren","regelungen","regelungen","regelungen","verfahren","petitionsausschuss","verfahren","anhörung","richtlinie","bundesrat","petitionsausschuss","entwurf","anhörung","entwurf","petitionen","regelungen","entwurf","änderungen","abs","bereits","bereits","regelungen","regelungen","abs","gegebene","praxis","bereits","unternehmen","unternehmen","anhörung","gesetzgeber","npd","urteil","parteien","regelungen","anhörung","regelung","regelungen","verfahren","regelungen"
"7","ausschusses","gesetzes","fassung","apotheke","gesetzentwurf","vorschriften","vorschriften","ausschuss","personen","vorschriften","bundesrates","bundesrates","gesetzes","vermittlungsausschuss","gesetzes","änderung","regelung","grundgesetzes","regelung","volksbegehren","gesetz","vermittlungsausschusses","bundesrates","art","bundesrat","regelung","bundesrat","abs","grundgesetz","art","bedenken","abs","regelung","bundesrat","bundesrates","gesetz","bundesrates","regelung","vermittlungsausschuss","abs","bundesrat","vermittlungsausschuss","entwurf","beratungen","kontrolle","änderungen","regelungen","bundesrates","gesetzentwurfs","abs","entwurf","bundesrat","bundesrat","abs","bundesrat","vermittlungsausschuss","länder","petitionsausschuss","petition","gesetzgeber","gesetzes","gesetzes","petitionsausschuss","regelungen","petenten","gesetzgeber","petition","rechtsprechung","bundesverfassungsgericht","regelungen","regelungen","gesetzes","bundesrates","gesetzes","abs","bundesverfassungsgericht","bundesverfassungsgericht","vorliegenden","anhörung","parlament","gesetzgeber","petitionsausschuss","petitionsausschuss","bundestag","anhörung","gesetzes","anhörung","petitionsausschuss","antrag","anhörung","anhörung","anhörung","bundesrat","bundesrat","bundesrates","verfahren","entwurf","verfahren","transparenz","gesetzes","petitionsausschuss","gesetzes","anhörung","entwurf","abs","verfahren","verfahren","protokoll","protokoll","verfahren","betroffenen","regelung","verfahren","regelungen","regelungen","richtlinie","entwurf","entwurf","anhörung","parteien","rechtsprechung","musterfeststellungsklage","verfahren","absatz","daten","gesetzes","änderung","änderungen"
"8","nr","bestimmungen","wurde","bestimmungen","bundesrat","regelung","handelskammern","entwurf","bestimmungen","gesetzentwurf","bundesrat","vorschriften","vermittlungsausschuss","regelung","regelung","bundesrates","bundesrates","art","vermittlungsausschuss","neugliederung","art","rechtsausschusses","ergänzungszuweisungen","gesetzes","grundgesetz","gesetzes","rechtsausschuss","grundgesetz","abs","grundgesetz","regelung","gesetzentwurf","bundesrates","änderung","abs","vermittlungsausschusses","unternehmen","vermittlungsausschuss","bundesrates","rechtsausschuss","geschäftsbedingungen","bundesrat","bundesrat","bundesrat","teilzeitbeschäftigung","bundesrates","novelle","abs","regelungen","bundesrates","gesetzes","bundesrates","bereits","vermittlungsausschusses","bundesrates","petitionsausschuss","bundesergänzungszuweisungen","beraten","regelungen","datenschutz","petitionen","regelungen","anhörung","petition","petition","abs","verfahren","beraten","änderung","beratungen","lesung","beratungen","abs","petitionsausschuss","art","verfahren","gesetzgeber","abs","beratungen","entschädigung","regelungen","gesetzgeber","bürger","bürger","eingaben","verfassung","gesetzes","gesetzes","regelungen","bgb","vorliegenden","petitionen","bundesverfassungsgericht","richtlinie","vorliegenden","petitionsausschuss","verfahren","bundesverfassungsgericht","lesung","verfahren","entwurf","gesetzgeber","bürgerinnen","petitionsausschuss","betroffenen","betroffenen","richtlinie","gegebene","gegebene","abs","bereits","bereits","daher","vorliegenden","verfahren","entwurf","anhörung","vorliegenden","entwurf","bundesverfassungsgericht","entscheidung","verbraucher","artikel","entwurf","entwurf","entwurf","änderungsantrag","entwurf"
"9","bestimmungen","gesetzentwurf","bestimmungen","wurde","ausschuss","entschädigung","rechtsverordnung","regelung","bundesrates","regelung","gesetzes","regelung","gesetzentwurf","anteilseigner","bestimmungen","vorschriften","änderung","badischen","gesetzes","gesetzentwurf","bundesrates","äusseren","art","grundgesetz","regelung","grundgesetz","zustimmung","rechtsausschuss","vermittlungsausschusses","gesetzes","hauses","rechtsausschuss","vermittlungsausschuss","beratungen","fassung","abs","beratungen","beratungen","beratungen","vorliegenden","bundesrates","oldenburg","rechtsausschuss","bundesrates","regelungen","abs","gesetzentwurfs","innenausschuss","abs","beratungen","bundesbeauftragten","regelungen","wettbewerb","beratungen","verfahren","bundesrates","gesetzes","bundesrat","petenten","änderung","bundesrat","anhörung","beratungen","verfahren","entwurf","bundesrat","bundesverfassungsgericht","regelungen","verfahren","bundesrat","entwurf","abs","bundesrat","anhörung","beratungen","betroffenen","anhörung","gesetzes","verfahren","parlaments","bundesverfassungsgericht","bundesverfassungsgericht","gesetzes","wahlkreise","petitionsausschusses","beratungen","verfahren","anhörung","vorliegenden","bundesverfassungsgericht","petitionsausschuss","verfahren","bundesverfassungsgerichts","petitionen","bundesrat","bundesrat","freitag","gesetzes","verfahren","eins","verfahren","anhörung","beratungen","anhörung","änderungen","protokoll","elena","verfahren","regelungen","mediation","abs","verfahren","regelungen","anhörung","anhörung","bereits","richtlinie","rechtssicherheit","praxis","verfahren","npd","datenschutzgrundverordnung","änderung","regelungen","regelungen","bundesverfassungsgericht","entwurf","bundesverfassungsgericht"
"10","fassung","jedoch","rechtsverordnungen","inkrafttreten","rechtsverordnung","verfolgten","bundesrates","bundesrates","ansprüche","jedoch","vorlage","vermittlungsausschuss","bundesrates","gesetzentwurf","grundgesetzes","gesetzentwurf","bestimmungen","neugliederung","urteil","verfassungsänderung","gesetzes","benda","finanzausgleich","bundesrates","gesetzes","gesetzentwurf","gesetze","entwurf","rechtsausschuss","rechtsausschuss","rechtsausschuss","regelung","art","art","änderung","mitglieder","verbraucher","bereits","verbraucher","gesetzentwurfs","beratungen","beratungen","regelungen","änderung","bundesrates","änderung","vorschriften","datenschutz","bundesrates","regelungen","vorschriften","beratungen","änderung","bundesrates","vorschriften","gesetzes","finanzausgleich","bürger","bundesrat","bundesverfassungsgerichts","anhörung","abs","bundesrat","bürger","bürger","regelungen","gesetzes","gesetzgeber","beratungen","haftung","petitionsausschuss","grundgesetzes","beratungen","beratungen","bundesrates","petitionen","abs","betroffenen","recht","beraten","art","verfahren","gesetzgeber","art","entwurf","bundesrat","eingaben","verfahren","abs","praxis","bundesverfassungsgericht","grundgesetz","gesetzgeber","gesetzgeber","gesetzgeber","geregelt","bundesverfassungsgericht","anhörung","informationsfreiheitsgesetz","bundesverfassungsgericht","bürger","richtlinie","entwurf","bürgerinnen","protokoll","gesetzgeber","umsetzung","umsetzung","jedoch","bereits","verfahren","richtlinie","jedoch","rechte","jedoch","absatz","änderungen","änderungen","unternehmen","entwurf","regelungen","anhörung","betroffenen","urteil","anhörung","daten","änderungen","gesetzes"
