"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","stadt","verkehr","zonenrandgebiet","sontra","betriebe","kernenergie","kernenergie","euratom","atomkommission","wasserwirtschaft","bundesanstalt","reinhaltung","atomkernenergie","übungen","bevölkerung","radioaktivität","sklerose","butter","verbraucher","werbung","gesundheitswesen","gesundheitswesen","gesundheitswesen","gesundheitswesen","gesundheitswesen","gesundheitswesen","gesundheitspolitik","frau","gesundheitswesen","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","arzneimittel","zander","ärzte","versorgung","ärzte","ausbildung","zander","psychisch","therapie","therapie","therapie","arzneimittel","arzneimittel","kontrolle","biologisch","gesundheit","chory","film","arzneimittel","formaldehyd","formaldehyd","tierversuche","chemischen","aids","bundesgesundheitsamt","asbest","aids","gentechnologie","gentechnik","arbeitsschutz","aids","therapie","ru","gentechnik","aids","blut","gesundheit","seehofer","positivliste","krankenkassen","krankenkassen","tod","krankenkassen","seehofer","krankenversicherung","patienten","pflegeversicherung","patienten","gesundheitswesen","patienten","patienten","krankenversicherung","patienten","patienten","pflegeversicherung","pflegeversicherung","prävention","zöller","krankenversicherung","krankenkassen","patienten","pflege","krankenkassen","krankenkassen","patienten","krankenversicherung","krankenversicherung","patienten","versorgung","patienten","patienten","pflege","patienten","pflege","versorgung","pflege","pflege","pflege","pflege","pflege","pflege","patienten","pflege","pflege","pflege","patienten","pflege"
"2","land","bundesbahn","zonenrandgebieten","eschwege","schäden","bundesanstalt","bevölkerung","kernenergie","atomkernenergie","atomkernenergie","verseuchung","anlagen","bevölkerung","wasserwirtschaft","luft","luft","schwarzhaupt","frau","werbung","frau","verbraucher","werbung","frau","schwarzhaupt","strobel","strobel","frau","gesundheitswesen","frau","frau","familie","umweltschutz","jugend","jugend","krankenhäuser","familie","jugend","stoffe","jugend","jugend","jugend","arzneimittelsicherheit","versorgung","patienten","ärzte","erkrankungen","krankenpflege","gesundheit","kranken","stoffe","krebs","krankenkassen","ärzte","bundesgesundheitsamt","wein","lebensmittel","scheer","jung","filme","menschen","tierversuche","gesundheit","arzneimittel","gesundheit","enquetekommission","befruchtung","lebensmittel","asbest","gentechnik","gentechnologie","forschung","gentechnik","aids","zulassung","gentechnisch","gentechnik","gentechnik","verbraucher","verbraucher","seehofer","krankenversicherung","krankenversicherung","krankenversicherung","krankenversicherung","patienten","patienten","krankenversicherung","patienten","budgets","patienten","krankenkassen","krankenversicherung","krankenkassen","krankenversicherung","krankenversicherung","praxisgebühr","krankenkassen","patienten","soziale","patienten","versicherten","versicherten","pflegeversicherung","patienten","patienten","krankenversicherung","patienten","versicherten","pflege","patienten","praxisgebühr","praxisgebühr","patienten","versorgung","sterben","patienten","patienten","patienten","patienten","versorgung","pflegekräfte","patienten","organspende","patienten","patienten","patienten","pflege","pflegekräfte"
"3","bauern","seebohm","massnahmen","betriebe","betrieb","nutzung","kommission","nutzung","atomenergie","radioaktiven","atomenergie","gesundheitsausschuss","wasserwirtschaft","flächen","schäden","bevölkerung","gesundheitswesen","gesundheitswesen","verbrauchers","verbraucher","lebensmitteln","frau","stoffe","frau","wein","frau","strobel","strobel","mangerkoenig","strobel","jugend","jugend","krankenhäuser","umweltschutz","familie","westphal","familie","jugend","wolters","familie","versorgung","gesundheit","prinz","zander","logopäden","zander","ärzte","jugend","versorgung","chemikaliengesetz","lebensmitteln","krankenhäuser","gesundheitswesen","arzneimittelgesetz","fuchs","lebensmitteln","bwaffenübereinkommen","verboten","zulassung","film","arzneimittel","hydrazin","tierversuchen","industrie","gentechnologie","tierversuche","aids","enquetekommission","enquetekommission","risiken","embryonen","enquetekommission","krankheit","tiere","arbeitsschutz","gesundheit","gesundheit","bundesgesundheitsamt","bse","arzneimittel","seehofer","seehofer","seehofer","versicherten","krankenversicherung","zuzahlungen","gesundheitswesen","gesundheit","gesundheitspolitik","ärzte","krankenversicherung","versorgung","patienten","gesundheitswesen","versorgung","krankenversicherung","versicherten","krankenkassen","krankenversicherung","krankenkassen","krankenversicherung","pflege","krankenkassen","unfallversicherung","krankenversicherung","menschen","kopfpauschale","patienten","versicherten","ärzte","pflege","patientinnen","versorgung","hebammen","sterbehilfe","gesundheit","versorgung","hebammen","versorgung","pflegeversicherung","versorgung","ärzte","ärzte","versorgung","pflegekräfte","versorgung","krankenhäuser","patienten"
"4","bundesregierung","bremerhaven","stadt","gemeinden","übungen","ha","luft","euratomvertrag","ratzel","radioaktive","atomgesetz","anregungen","lebensmitteln","forchheim","reinhaltung","bechert","wasser","herstellungsdatum","wettbewerb","gesundheitswesen","frau","schwarzhaupt","zirisan","arbeitsmittel","frau","mangerkoenig","ärzte","heuser","strobel","jugend","strobel","familie","familie","familie","jugend","jugend","westphal","familie","familie","arzneimittel","gesundheitswesens","patienten","verbraucherpolitik","neumeister","gesundheit","rheumatischen","gesundheit","ärzte","therapie","stoffen","krebsbekämpfung","zander","selbstverwaltung","zander","weingesetz","verbraucher","chemischen","arzneimittel","pflanzenschutzmittel","gesundheitliche","bundesgesundheitsamt","österreichischen","richtlinien","meldepflicht","pflanzenschutzmittel","dehp","gesundheit","krankheit","bundesgesundheitsamt","gentechnikgesetz","tier","gentechnologie","gesundheitliche","tierschutz","forschung","verbraucher","blutprodukte","seehofer","gesundheit","ärzte","gesundheit","versicherten","menschen","gesundheit","krankenkassen","gesundheitswesen","krankenkassen","krankenkassen","ärzte","krankenkassen","versicherten","versicherten","gesetzlichen","krankenhäuser","krankenkassen","patienten","krankenversicherung","patientenverfügung","beitragssatz","versicherten","gesundheitsreform","reform","leistungen","ärzte","versicherten","ärzte","versicherten","krankenkassen","krankenkassen","krankenkassen","krankenversicherung","krankenkassen","patientinnen","pflege","menschen","ärzte","krankenhäuser","versorgung","krankenkassen","krankenversicherung","pflegeversicherung","versorgung","pflege","organspende","versorgung","krankenhäuser","krankenhäusern","pflegebonus"
"5","gebiet","land","millionen","schäden","gebiet","schäden","schäden","verwendung","atomgesetz","balke","kernenergie","luft","bechert","atomkernenergie","manifest","atomkernenergie","arzteinsatzwagen","lebensmittel","verbraucheraufklärung","luft","beyer","selbstschutz","schwarzhaupt","ministerin","ministerin","pflanzenschutzmittel","gesundheitswesen","gesundheit","heuser","familie","psychisch","umwelt","mangerkoenig","umweltschutzes","krankenhaus","diagnosezentren","mangerkoenig","waldes","lebensmittelrechts","wolters","ärzte","prinz","saynwittgensteinhohenstein","arzt","medizinstudenten","arzneimittel","krankenhaus","medizinischen","psychiatrie","hasinger","cadmium","aufklärung","aufklärung","arzneimitteln","gesundheit","biologischen","karwatzki","lebensmittel","paraquat","untersuchung","arzneimitteln","krebserzeugend","tier","krankheit","pflanzenschutzmitteln","gesundheit","pflanzenschutzmitteln","freisetzung","freisetzung","forschung","arbeitsschutzes","krankheit","titze","präparat","verbraucher","forschung","seehofer","lebensmittel","rindfleisch","krankenversicherung","tod","kassen","krankenkassen","seehofer","versicherten","thomae","versicherten","gesundheitspolitik","versorgung","versorgung","gesundheitspolitik","gesundheitspolitik","gesundheitswesen","leistungen","gesundheitswesen","krankenkassen","zahnersatz","versicherten","kolb","ärzte","versorgung","menschen","krankenversicherung","pflege","gesundheitsfonds","versorgung","rösler","gesetzlichen","gesundheit","pflege","versicherten","ärzte","gesundheit","krankenkassen","versorgung","pflege","ärzte","krankenhäusern","versicherten","pflegekräfte","krankenversicherung","organspende","versorgung","angehörigen","krankenhäusern","krankenversicherung","versorgung","gesundheitswesen"
"6","landwirtschaft","km","zonenrandgebiete","hessischen","radioaktivität","dm","anlagen","kernbrennstoffe","verwendung","kernreaktor","institut","eigentümer","stoffe","werner","sprendlingen","niederschläge","frau","haltbarkeitsdauer","frau","reinhaltung","bargatzky","beirat","bargatzky","lebensmittel","stoffe","erlassen","gesundheit","krankenhäuser","jungmann","brand","psychiatrischen","westphal","strobel","umwelt","mangerkoenig","dissertation","naturschutz","grundgesetzänderung","werbung","zander","familie","arzneimitteln","gesundheit","kassenärztlichen","jugend","patienten","krankenhäuser","patienten","gesundheit","gesundheit","krebsforschung","gesundheit","gesundheit","patienten","verbraucher","werbung","stiftung","bundesgesundheitsamt","bundesanstalt","biologischen","gesundheit","frau","industrie","stoffe","lebensmittel","wissenschaftler","lebensmitteln","tierschutz","gesundheit","enquetekommission","tiere","risiken","biologischen","tieren","gentechnikgesetz","blunck","blutprodukten","arzneimittel","kennzeichnung","patienten","bse","gesundheitswesen","patienten","patienten","gesundheitswesen","versicherten","versorgung","krankenversicherung","gesundheit","versicherten","gesetzlichen","leistungen","krankenhäuser","positivliste","selbstverwaltung","pflege","gesetzlichen","menschen","storm","versorgung","reform","ärzte","menschen","menschen","versorgung","arzt","zusatzbeiträge","rösler","krankenversicherung","versicherten","patientinnen","versicherten","ärzte","versicherten","ärzte","prävention","patientinnen","altenpflege","pflegeversicherung","bürgerversicherung","patienten","spahn","widerspruchslösung","patientinnen","gesundheitswesen","krankenhäusern","sana","krankenhäuser"
"7","kehl","ausbau","betriebe","km","schmidt","anlagen","atomfragen","friedliche","stoffe","kiel","balke","reaktors","strontium","euratom","bunker","frau","kläranlagen","bevölkerung","ware","gesundheit","satzung","verbände","staaten","stoffe","säure","bundesgesundheitsamt","vorsorge","krankheiten","wein","mangerkoenig","kranken","umweltschutzes","ärzte","mangerkoenig","krankenhäusern","bundesgesundheitsamt","landschaftspflege","wald","gesamtreform","gewässer","gesundheitswesen","naturheilmittel","abwasserabgabe","gesundheit","medizinischen","rheumabekämpfung","versorgung","widerspruchslösung","krebsbekämpfung","industrie","huber","drogen","ärzten","zulassung","tierarzneimitteln","patienten","anerkannten","tierarzneimittel","mittel","gesundheit","bundesgesundheitsamtes","pharmaindustrie","tierschutz","menschen","atrazin","gentechnologie","bundesgesundheitsamt","tiere","asbest","anwendung","krankheiten","genomanalyse","pflanzenschutzmitteln","tierversuche","pflanzen","prävention","bga","medizinprodukte","positivliste","gesundheit","gesundheitswesen","gesundheit","hirntod","gesetzlichen","gesundheitspolitik","krankenkassen","pflegeversicherung","versorgung","krankenversicherung","gesundheitspolitik","versorgung","kranken","versorgung","krankenhäusern","gesetzlichen","kolb","patienten","krankenversicherung","einkommen","gesetzlichen","kassen","pflegeversicherung","prävention","krankheiten","kassen","befruchtung","sozialausgleich","lauterbach","pflegeversicherung","krankenversicherung","krankenkassen","krankenversicherung","krankenhäuser","gröhe","suizid","arzt","gröhe","kleinschmeink","pflegekräfte","versicherten","altenpflege","widerspruchslösung","spahn","krankenkassen","krankenkassen","patientinnen","patientinnen","gesundheitssystem"
"8","antrag","fischer","dm","arndt","bayern","verfügung","radioaktiven","friedlichen","kernenergie","bundeswasserstrassen","gewalt","balke","luft","bundesernährungsministerium","gebiet","werte","bevölkerung","schwarzhaupt","schmücker","kollegin","riegel","verordnungen","stiftung","hersteller","weingesetz","verordnung","heuser","bundesminister","bundesministerium","westphal","frau","strobel","liter","abfallbeseitigung","westphal","erkrankungen","umweltschutz","landschaftspflege","lebensmittel","arzneimitteln","krankenhäuser","saynwittgensteinhohenstein","patienten","krankenhaus","krankenhäuser","wolters","krankenpflegeausbildung","ausbildung","krebs","unterausschuss","patienten","gesundheitswesen","versorgung","arzneimittelgesetzes","winzer","grobecker","kontrolle","planung","films","ans","medikamente","jugend","verbot","biologischen","anwendung","enquetekommission","innenräumen","organismen","risiken","befruchtung","verbot","anwendung","forschung","tierschutzgesetzes","patienten","krankheit","bundesgesundheitsamt","tiere","verbraucherschutz","lohmann","organentnahme","arzneimittel","medizinischen","prävention","zahnersatz","versorgung","patientinnen","gesundheitswesen","krankenkassen","krankenversicherung","ärzte","chronisch","seehofer","arzneimittel","ärzte","gesetzlichen","krankenhäuser","gesundheit","gesetzlichen","praxisgebühr","wettbewerb","krankenkassen","kassen","pflegeversicherung","krankenhäuser","medizinische","lauterbach","sozialausgleich","bahr","krankheiten","bahr","versorgung","pflegeversicherung","qualität","patienten","menschen","angehörigen","patientinnen","gröhe","patienten","krankenhäusern","versicherten","pflegeversicherung","spahn","patientinnen","krankenkassen","kliniken","pflegenden"
"9","bevölkerung","schäden","gemeinden","massnahmen","massnahmen","gemeinden","kernbrennstoffe","atomenergie","radioaktiven","substanzen","rutschke","bundeswasserstrassen","katastrophenfall","bevölkerung","arbeitsmöglichkeiten","radioaktiven","gefahren","hausfrau","markt","bargatzky","werbung","vorsorge","bechert","technik","rollmann","stoffe","gesundheitsvorsorge","ärzte","weingesetz","ärzte","psychiatrie","mangerkoenig","gesundheitspolitik","umweltprogramm","ärzte","einrichtungen","ärzte","umwelt","arzneimittel","wald","ärztlichen","familie","krankenhäuser","krankenhäuser","arzt","gesundheitliche","hasinger","krankenhaus","huber","chemischen","bestrahlung","kostendämpfung","krankenkassen","gesundheit","schartz","tierversuche","biologischen","europaweit","bundesgesundheitsamt","jugend","tierversuchen","stoff","tiere","chemie","gesundheit","freisetzung","pflanzenschutzmittel","gentechnologie","forschung","zulassung","enquetekommission","forschung","anwendung","therapie","lebensmittel","gentechnikgesetzes","blunck","blunck","lebensmittel","krankenkassen","ärzte","gesetzlichen","gesundheitswesen","gesundheitswesen","ärzte","gesundheitspolitik","gesetzlichen","arzneimittel","leistungen","qualität","risikostrukturausgleich","seehofer","ärzte","versicherten","chronisch","gesundheit","kopfpauschale","kassen","ulla","gesundheitswesen","patienten","gesundheitsreform","versorgung","versorgung","cannabis","versicherten","krankenkassen","pharmaindustrie","patientinnen","patientinnen","ärzte","pflege","prävention","krankenversicherung","angehörigen","sterben","krankenhäusern","gesundheit","psg","krankenhäuser","menschen","altenpflege","ärztinnen","widerspruchslösung","krankenhaus","gesundheitswesen","ärzte","krankenhäusern"
"10","helgoland","gebiet","land","betrieb","gebiete","betriebe","nutzung","kernbrennstoffen","gebiet","radioaktivität","oeec","überwachung","hilfs","liste","material","atomwaffenversuche","versorgung","ware","gesundheitswesen","kiepaltenloh","lebensmittel","bargatzky","format","verordnungen","verbraucher","arzneimittelgesetzes","krankheiten","jungmann","arzneimittel","zahnärzte","krankenhäuser","wasser","krankenhaus","gruhl","patienten","methoden","versorgung","gesamtreform","bundesministerium","waldes","zander","hersteller","kassenärztlichen","ärzten","ambulanten","fiebig","gesundheitswesen","einwilligungslösung","jugend","drogen","gesundheit","jugend","zander","arzneimittelsicherheit","amtliche","asbest","einsatzes","verkauft","rückstände","volksentscheid","verboten","bundesgesundheitsamt","gesundheit","pestizide","chemischen","frau","frau","gentechnisch","trinkwasser","technik","befruchtung","kommission","trinkwasser","pflanzenschutzmitteln","blunck","hoechst","lebensmittel","institute","horst","budgetierung","menschen","patienten","versicherten","gesundheitspolitik","gesundheit","lohmann","gesundheit","budgetierung","budgetierung","gesundheit","gesundheitswesen","gesundheitswesen","nullrunde","krankenkassen","gesundheitsreform","seehofer","ärzte","organspende","gesundheit","arzneimittel","gesetzlichen","versorgung","versicherten","berufsgenossenschaften","ärzte","krankenkassen","gesundheitswesen","kopfpauschale","ärzte","gesundheitswesen","versorgung","arzt","erkrankungen","patientinnen","leben","krankenkassen","menschen","ärzte","forschung","leistungen","ärzte","pflegekräfte","krankenversicherung","masern","krankenhäuser","ärzte","krankenhaus","arbeitsbedingungen"
