"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","immunität","amnestie","amnestie","minderheit","schmeisser","studentenbundes","zustellung","stundenwoche","totschlag","scharley","korruption","anstalten","rundfunk","fernsehen","kühn","film","filmwirtschaft","sitz","urheber","film","anstalten","urheber","sender","gesamtdeutsche","zeitungen","entwicklungshilfe","diehl","fremdenverkehr","presse","wirtschaftliche","innerdeutsche","öffentlichkeitsarbeit","entwicklungspolitik","zusammenarbeit","künstler","innerdeutsche","entwicklungshilfe","entwicklungshilfe","entwicklungshilfe","bundesrechnungshof","köhler","entwicklungspolitik","nairobi","entwicklungshilfe","afrika","nationen","libanon","vietnam","afrika","entwicklungsländer","entwicklungshilfe","entwicklungspolitik","zusammenarbeit","entwicklungspolitik","welt","entwicklungsländern","entwicklungspolitik","entwicklungsländer","südafrika","entwicklungsländer","welt","südafrika","südafrika","südafrika","entwicklungsländer","südafrika","südafrika","namibia","vereinten","südafrika","irak","irak","nationen","nationen","welt","vereinten","entwicklungspolitik","vereinten","entwicklungspolitik","menschenrechte","china","menschenrechte","iran","entwicklungspolitik","menschenrechte","menschenrechte","menschenrechte","afrika","menschenrechte","menschenrechte","afghanistan","israel","irak","krieg","russland","afrika","russland","china","entwicklungszusammenarbeit","iran","israel","afrika","russland","china","russland","iran","menschenrechte","israel","libyen","russland","iran","russland","iran","ukraine","russland","russland","türkei","türkei","türkei","russland","syrien","russland","russland","türkei","türkei","russland","russland","ukraine"
"2","abgeordneten","immunität","immunität","dänemark","dänischen","sozialistischen","wehrmachtsliegenschaften","schmidt","bundeskanzler","konzentrationen","öffentlichen","kühn","kühn","bundesinnenminister","rundfunk","kommission","berlin","herford","urheberrecht","presse","fernsehen","künstler","rundfunk","entwicklungshilfe","presse","entwicklungsländern","zeitungen","fremdenverkehrs","journalisten","eppler","herold","innerdeutsche","entwicklungshilfe","wirtschaftliche","eppler","herold","entwicklungsländer","eppler","eppler","brück","entwicklungshilfe","entwicklungshilfe","entwicklungsländer","entwicklungsländer","entwicklungsländer","vereinten","afrika","nationen","südafrika","welt","entwicklungspolitik","welt","nationen","entwicklungshilfe","zusammenarbeit","entwicklungspolitik","entwicklungshilfe","williamsburg","nicaragua","nicaragua","südafrika","welt","welt","sanktionen","nicaragua","entwicklungsländer","welt","südafrika","nationen","nationen","tropischen","kuwait","entwicklungspolitik","welt","nationen","nationen","afrika","nationen","welt","china","menschenrechte","afrika","china","entwicklungszusammenarbeit","nationen","entwicklungszusammenarbeit","osttimor","menschenrechte","entwicklungszusammenarbeit","nationen","terrorismus","welt","terrorismus","afrika","menschenrechte","staaten","china","menschenrechte","entwicklungspolitik","menschenrechte","vereinten","russland","china","israel","menschenrechte","menschenrechte","abrüstung","menschenrechte","ägypten","menschenrechte","menschenrechte","syrien","syrien","russland","syrien","ukraine","syrien","syrien","syrien","türkei","türkei","menschenrechte","iran","syrien","russland","türkei","ukraine","russland"
"3","geschäftsordnung","straftaten","verfahren","dänischen","minderheit","studentenbund","schleswigholstein","hartmann","anschliessenden","morgenstern","bundesverwaltung","fernsehen","fernmeldewesen","reichsnährstandes","fernsehen","rundfunkanstalten","berliner","senats","urheberrechts","fernsehen","rundfunkanstalten","urheberrecht","empfangen","südtirol","fernsehen","entwicklungspolitik","entwicklungshilfe","the","eppler","bundespressechef","schriftsteller","entwicklungshilfe","eppler","entwicklungsländern","verwertungsgesellschaften","beziehungen","entwicklungspolitik","wirtschaftliche","entwicklungspolitik","wirtschaftliche","gutachten","entwicklungsländer","konferenz","brück","entwicklungspolitik","afrika","befreiungsbewegungen","vereinten","welt","entwicklungshilfe","welt","entwicklungsländer","entwicklungspolitik","welt","entwicklungsländern","welt","konvention","entwicklungsländern","region","welt","entwicklungsländer","vereinten","entwicklungsländer","welt","entwicklungsländern","welt","entwicklungsländer","welt","namibia","vereinten","welt","krieg","welt","vereinten","vereinten","welt","nationen","welt","internationalen","nationen","welt","entwicklungspolitik","menschenrechte","irak","vereinten","entwicklungspolitik","entwicklungsländer","china","afrika","vereinten","welt","afrika","krieg","armut","irak","afrikanischen","menschenrechte","vereinten","zusammenarbeit","usa","nationen","afrikanischen","pakistan","staaten","staaten","indien","entwicklungszusammenarbeit","aussenpolitik","saudiarabien","entwicklungszusammenarbeit","staaten","vereinten","russland","syrien","ukraine","türkei","saudiarabien","russland","russland","hilfe","russland","türkei","menschenrechte","iran","syrien","menschenrechte","israel","krieg"
"4","ausschuss","abgeordneten","strafverfahren","schleswigholstein","blankenhorn","lohmar","strafverfahren","mineralölwirtschaft","staatsbewusstsein","zonenrandgebiet","bestechung","werbung","heck","grundgesetzes","aufgaben","filmindustrie","westdeutschen","rastatt","fernsehen","rundfunk","rundfunk","werke","fernsehen","gesamtdeutschen","zeitschriften","presse","presse","entwicklungshilfe","entwicklungshilfe","ahlers","beziehungen","entwicklungspolitik","entwicklungsländer","eppler","wirtschaftliche","saynwittgensteinhohenstein","eppler","jugoslawien","todenhöfer","zusammenarbeit","todenhöfer","bahr","todenhöfer","entwicklungspolitik","südafrika","entwicklungsländer","entwicklungsländer","flüchtlinge","staaten","entwicklungspolitik","dritten","entwicklungshilfe","welt","entwicklungsländer","entwicklungsländer","entwicklungsländer","zusammenarbeit","unctad","salvador","entwicklungspolitik","afrika","nationen","nicaragua","namibia","welt","nicaragua","apartheid","entwicklungsländer","südafrika","welt","nationen","nationen","irak","südafrika","hilfe","uno","vereinten","entwicklungspolitik","auswärtigen","lateinamerika","chinesischen","china","nationen","nationen","entwicklungspolitik","internationalen","internationalen","kuba","internationalen","usa","internationalen","internationalen","afghanistan","entwicklungsländern","entwicklungszusammenarbeit","menschenrechte","tschetschenien","nationen","afghanistan","staaten","region","menschenrechte","menschenrechte","russland","pakistan","staaten","aussenpolitik","iran","arabischen","entwicklungspolitik","vereinten","staaten","menschenrechte","afrika","irak","waffen","is","humanitäre","is","humanitäre","is","syrien","saudiarabien","russland","hongkong","iran","menschenrechte","putin"
"5","justiz","justiz","abgeordneten","dänische","ziebell","stoffe","grundsätzlich","verarbeitung","bundestag","unterschriften","dienst","heck","rundfunkanstalten","programm","grundgesetzes","finanzreform","besold","fao","anstalten","selbstkontrolle","presse","urhebers","presse","entwicklungspolitik","film","zeitungen","bundespressechef","of","berichterstattung","entwicklungshilfe","entwicklungsländer","beziehungen","entwicklungsländern","entwicklungshilfe","bildenden","zonengrenze","wirtschaftliche","zusammenarbeit","wirtschaftliche","entwicklungsländer","wolfsburg","entwicklungsländern","entwicklungsländern","schlei","südlichen","entwicklungspolitik","vereinten","entwicklungsländern","entwicklungshilfe","entwicklungsländern","entwicklungsländer","entwicklungsländern","entwicklungsländern","zusammenarbeit","picotrac","dritten","zeichnung","belgrad","afrika","staaten","entwicklungsländern","zusammenarbeit","entwicklungspolitik","apartheid","südafrika","apartheid","dritten","entwicklungsländern","welt","brasilien","wälder","saddam","vereinten","entwicklungsländern","somalia","somalia","china","afrika","atomwaffen","welt","staaten","indonesien","vereinten","welt","internationalen","nationen","vereinten","entwicklungszusammenarbeit","bmz","entwicklungsländer","staaten","globalisierung","menschenrechte","entwicklungspolitik","terrorismus","afghanistan","entwicklungszusammenarbeit","aufhebung","region","vereinten","menschenrechte","staaten","afrika","streumunition","nato","regierung","haiti","entwicklungszusammenarbeit","menschenrechte","syrien","entwicklungszusammenarbeit","nationen","staaten","ruanda","hilfe","syrien","nationen","krieg","irak","ukraine","region","vereinten","türkei","region","china","belarus","russischen","russische"
"6","herrn","straffreiheitsgesetz","vulkan","kieler","erklärung","minderheit","hellwig","winzer","natorat","zuzugeben","dienstes","programm","grundgesetzes","rundfunk","ausbaustufe","filmwirtschaft","sachverständigenkommission","pfeiler","presse","medien","deutschlandfunk","verwertungsgesellschaften","fernsehsender","zeitungen","rundfunk","güntherkommission","entwicklungshelfer","and","ausschusssitzungen","anzeige","öffentlichkeitsarbeit","information","kiep","entwicklungsländer","beziehungen","ddr","zusammenarbeit","gutachten","jugoslawien","entwicklungshilfe","matthöfer","todenhöfer","narjes","köhler","entwicklungsländern","entwicklungsländern","entwicklungsländern","staatsminister","nationen","hilfe","zusammenarbeit","dritten","vereinten","entwicklungsländern","hilfe","handwerk","köhler","industrieländer","el","zusammenarbeit","dritten","afrika","entwicklungshilfe","entwicklungsländer","prensa","afrika","weltbank","zusammenarbeit","brasilien","khmer","südafrika","welt","entwicklungshilfe","konferenz","entwicklungsländer","entwicklungspolitik","asien","gorazde","entwicklungsländer","vereinten","auswärtigen","staaten","indonesien","auswärtigen","entwicklungszusammenarbeit","schuldenerlass","nationen","staaten","entwicklungspolitik","entwicklungsländern","menschenrechte","menschenrechte","internationalen","entwicklungszusammenarbeit","afghanistan","moldau","russischen","israel","vereinten","nationen","staaten","iran","staaten","menschenrechte","israel","entwicklungszusammenarbeit","atomwaffen","hamas","tunesien","aussenpolitik","nationen","waffen","china","aussenpolitik","humanitäre","hilfe","vereinten","hilfe","aussenpolitik","krieg","waffen","nationen","nato","aussenminister","israel","vereinten","krieg","russischen"
"7","ausschusses","wahlprüfung","wahlprüfung","minderheiten","schleswigholstein","arrest","bundestagswahl","heizöl","veranstaltet","hamburg","angehörigen","rundfunkanstalten","fernsehen","ressorts","verfassungsänderung","filme","kommission","film","film","funk","ard","geräte","anstalten","entwicklungsländern","films","fernsehen","bundeszentrale","eppler","öffentlich","zusammenarbeit","barm","wirtschaftliche","chile","freyh","zusammenarbeit","prinz","chile","minister","zusammenarbeit","rechnungshof","sondergeneralversammlung","welt","weltwirtschaftsordnung","afrika","schwarzen","welt","südafrika","entwicklungshilfe","entwicklungsländer","nationen","afrikanischen","hilfe","uno","dritten","abkommen","global","verpflichtungsermächtigungen","welt","welt","entwicklungsländern","guatemala","dritten","afrika","schwarzen","saudiarabien","sanktionen","entwicklungsländern","weltbank","weltbank","entwicklungshilfe","vereinten","vereinten","entwicklungsländer","afrika","entwicklungsländern","entwicklungsländern","menschenrechte","menschenrechte","nationen","internationalen","iran","wirtschaftliche","auswärtigen","algerien","indien","vereinten","entwicklungspolitik","zusammenarbeit","staaten","nordkorea","usa","terrorismus","welt","irak","internationalen","region","irak","entwicklungszusammenarbeit","internationale","belarus","libanon","darfur","aussenpolitik","lateinamerika","region","russland","aussenminister","staaten","region","arabischen","russland","menschenrechte","türkei","waffen","waffen","humanitäre","irak","türkischen","aleppo","menschenrechte","irak","iran","usa","china","vereinten","nationen","frieden","nato"
"8","aufhebung","genehmigung","weis","schmidtwittmack","angeklagten","strafverfahren","industrie","staatssekretär","wahlperiode","nennt","geschenke","anstalt","rundfunks","rundfunkanstalten","bund","bundesregierung","algerier","verein","rundfunk","filmwirtschaft","öffentlichrechtlichen","schutzfrist","inbetriebnahme","mitteldeutschland","mitteldeutschland","entwicklungsländer","öffentlichkeitsarbeit","deutschen","wirtschaftliche","propaganda","guatemala","eppler","zusammenarbeit","firmen","verwertungsgesellschaft","rechtsgutachten","hilfe","bundesrechnungshof","minister","bundesrechnungshofes","zusage","zusammenarbeit","welt","zusammenarbeit","befreiungsbewegungen","dritten","welt","welt","afrikanischen","dritten","entwicklungsländern","zusammenarbeit","entwicklungshilfe","hilfe","kakaoabkommen","armut","welt","iwf","staaten","dritten","zusammenarbeit","entwicklungsländer","entwicklungsländern","internationalen","südafrikanischen","hilfe","schwarzen","dritten","zusammenarbeit","entwicklungspolitik","kuwait","hussein","entwicklungsländern","entwicklungspolitik","entwicklungspolitik","hilfe","zusammenarbeit","entwicklungsländer","staaten","dialog","tibet","welt","staaten","menschenrechte","staaten","staaten","staaten","christen","zusammenarbeit","entwicklungszusammenarbeit","entwicklungspolitik","staaten","nationen","welt","entwicklungspolitik","sudan","iran","staaten","afrika","russland","iran","china","entwicklungszusammenarbeit","entwicklungszusammenarbeit","indien","kenia","staaten","nahen","waffen","israel","ägypten","israel","bahai","partnerschaft","türkei","saudiarabien","waffen","erdogan","erdogan","syrien","humanitäre","aussenpolitik","aussenpolitik","irak","nationen","nawalny","staaten","waffen"
"9","berichterstatter","verkehrsdelikte","genehmigung","immunität","reifferscheidt","artikel","viertelmillion","vergütung","herr","petitionsrecht","verfahren","rundfunk","bundesinnenminister","anstalt","regelung","material","filmproduktion","senat","rechte","baier","werbung","film","bier","fernsehen","hofmann","wischnewski","fernsehen","werbung","kapitalhilfe","entwicklungsländern","wirtschaftliche","anzeige","beziehungen","beziehungen","schober","schüsse","kapitalhilfe","todenhöfer","entwicklungsländer","herr","din","entwicklungshelfer","industrieländer","todenhöfer","todenhöfer","entwicklungshilfe","nationen","namibia","todenhöfer","vereinten","staaten","ärmsten","flüchtlinge","nichtregierungsorganisationen","echternach","zusammenarbeit","dritten","dritten","entwicklungshilfe","währungsfonds","nicaragua","uno","dritten","südafrikanischen","entwicklungshilfe","entwicklungsländern","entwicklungspolitik","wirtschaftliche","entwicklungsländer","zusammenarbeit","internationalen","golf","entwicklungszusammenarbeit","norden","afrika","menschenrechte","entwicklungszusammenarbeit","internationalen","entwicklungsländern","staaten","entwicklungspolitik","menschenrechtspolitik","beziehungen","staaten","auswärtigen","zusammenarbeit","zusammenarbeit","internationalen","iwf","internationalen","entwicklungszusammenarbeit","usa","frieden","kongo","kolumbien","internationalen","internationalen","waffenembargos","armut","entwicklungszusammenarbeit","entwicklungszusammenarbeit","usa","auswärtigen","iran","entwicklungszusammenarbeit","internationalen","auswärtigen","niebel","israel","staaten","südsudan","entwicklungszusammenarbeit","beziehungen","flüchtlinge","flüchtlinge","staaten","osze","flüchtlinge","hilfe","staaten","krieg","welt","region","ukraine","krieg","china","russische","frieden"
"10","dr","strafverfahren","justiz","wahlgesetz","immunität","bundesjugendplan","immunität","heizölnovelle","voranstellen","realismus","schmitt","pferde","bund","schröder","katastrophen","welle","westdeutschland","fernsehen","künstler","films","welle","kirchen","kronach","drüben","gesamtdeutsche","schulzevorberg","informationsamt","that","zusammenarbeit","gawi","entwicklungspolitik","guinea","ddr","innerdeutsche","herold","fellermaier","entwicklungsländern","dr","entwicklungsländern","stahl","entwicklungsländer","entwicklungspolitischen","delegation","entwicklungsländern","schlei","swapo","gewalt","bundesregierung","dritten","internationalen","entwicklungsbank","länder","brück","entwicklungspolitischen","wirtschaftliche","handwerks","entwicklungspolitischen","zusammenarbeit","südlichen","iwf","warnke","entwicklungshilfe","bundesregierung","peru","unctad","entwicklungshilfe","zusammenarbeit","banken","region","roten","internationale","israel","internationalen","armut","israel","internationalen","welt","entwicklungsländern","zusammenarbeit","konferenz","internationalen","auswärtigen","uno","zusammenarbeit","pakistan","ärmsten","entwicklungszusammenarbeit","entwicklungspolitik","entwicklungsländer","zusammenarbeit","nationen","afghanistan","vereinten","internationalen","vereinten","regierung","terrorismus","lateinamerika","krieg","kuba","aussenpolitik","simbabwe","usa","entwicklungsländern","usa","auswärtigen","welt","auswärtigen","welt","vereinten","sudan","region","region","staaten","entwicklungszusammenarbeit","afrika","russland","menschenrechte","humanitäre","waffen","iran","staaten","israel","aussenpolitik","humanitäre","aussenminister","türkei","europa"
