"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","bitte","bitte","bitte","umdruck","abstimmung","gegenprobe","umdruck","gegenprobe","gegenprobe","gegenprobe","umdruck","gegenprobe","gegenprobe","antrag","umdruck","umdruck","gegenprobe","umdruck","umdruck","umdruck","umdruck","umdruck","enthaltungen","umdruck","umdruck","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","wünscht","enthaltungen","wünscht","wünscht","wünscht","wünscht","wer","wünscht","wer","wünscht","wünscht","enthaltungen","enthaltungen","enthaltungen","wünscht","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","stimmt","stimmt","stimmt","stimmt","stimmt","dat","stimmt","änderungsantrag","stimmen","stimmen","änderungsantrag","stimmen","änderungsantrag","stimmen","stimmen","abstimmung","wahl","beamten","rauchen","post","finanzmarkt","ladenöffnungszeiten","post","uhr","bafin","sparkassen","bundesbank","offenlegung","basel","bafin","reits","kfw","ikb","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","verbraucher","banken","banken","banken","finanztransaktionsteuer","ezb","banken","bafin","ezb"
"2","gegenprobe","gegenprobe","umdruck","handzeichen","gegenprobe","umdruck","bitte","bitte","enthaltungen","bitte","bitte","bitte","bitte","umdruck","gegenprobe","antrag","umdruck","gegenprobe","antrag","antrag","antrag","änderungsantrag","antrag","antrag","antrag","änderungsantrag","änderungsantrag","umdruck","umdruck","enthaltungen","umdruck","umdruck","gegenprobe","gegenprobe","umdruck","umdruck","gegenprobe","wünscht","antrag","wünscht","wünscht","wünscht","enthaltungen","wünscht","wünscht","wünscht","gegenprobe","gegenprobe","enthaltungen","enthaltungen","enthaltungen","zuzustimmen","wünscht","handzeichen","wünscht","zuzustimmen","handzeichen","zuzustimmen","wünscht","wünscht","handzeichen","wünscht","wer","wer","abstimmung","wer","wer","wer","wer","wer","wer","wer","wer","wer","wer","wer","stimmt","wer","stimmt","änderungsantrag","enthaltungen","stimmen","änderungsantrag","stimmen","änderungsantrag","wahlvorschlag","änderungsantrag","bitte","belle","nichtraucher","ag","rauchen","einzelhandel","uhr","hotel","girokonto","schleswigholstein","unabhängigkeit","aktionäre","banken","hedgefonds","reit","banken","banken","krise","sparkassen","krise","bank","finanztransaktionsteuer","krise","finanzmärkte","regulierung","bankenaufsicht","bankenunion","bank","schick","bank","bank","verbraucher","banken","einlagensicherung","kredite","bank","ezb","zentralbank","bafin","wirecard","griechenland"
"3","antrag","enthaltungen","ziffer","bitte","enthaltungen","änderungsantrag","gegenprobe","handzeichen","umdruck","umdruck","handzeichen","handzeichen","umdruck","gegenprobe","handzeichen","gegenprobe","enthaltungen","änderungsantrag","ziffer","gegenprobe","gegenprobe","gegenprobe","gegenprobe","änderungsantrag","änderungsantrag","gegenprobe","umdruck","gegenprobe","handzeichen","gegenprobe","bitte","gegenprobe","umdruck","zuzustimmen","gegenprobe","wort","handzeichen","antrag","bitte","zuzustimmen","handzeichen","zuzustimmen","wünscht","antrag","zuzustimmen","handzeichen","enthaltungen","handzeichen","zuzustimmen","handzeichen","handzeichen","handzeichen","handzeichen","zuzustimmen","zuzustimmen","handzeichen","wer","wünscht","zuzustimmen","handzeichen","enthaltungen","wer","stimmt","handzeichen","handzeichen","stimmt","gegenprobe","stimmt","stimmt","stimmt","stimmt","enthaltungen","enthaltungen","beschlussempfehlung","beschlussempfehlung","angenommen","de","beschlussempfehlung","enthaltungen","stimmt","änderungsantrag","gegenprobe","enthaltungen","abgelehnt","abstimmung","änderungsantrag","schriftführerinnen","abstimmung","versorgungsempfänger","raucher","exklusivlizenz","finanzplatzes","uhr","beamten","sonn","konto","kunden","post","unternehmen","bank","sparkassen","lanka","manager","kfw","bank","bank","finanzmärkte","finanztransaktionsteuer","bank","finanzmärkte","aufsicht","finanzmärkte","bank","steuerzahler","bankenunion","einlagensicherung","bausparkassen","verbraucher","bank","verbraucherinnen","verbraucher","ezb","ezb","griechenland","bafin","verbraucher","esm","verbraucherinnen"
"4","erheben","abstimmung","gegenprobe","gegenprobe","handzeichen","handzeichen","handzeichen","umdruck","bitte","handzeichen","gegenprobe","umdruck","handzeichen","handzeichen","bitte","änderungsantrag","änderungsantrag","antrag","gegenprobe","handzeichen","änderungsantrag","handzeichen","handzeichen","wer","wer","umdruck","gegenprobe","änderungsantrag","enthaltungen","bitte","gegenprobe","bitte","änderungsantrag","umdruck","zuzustimmen","damen","zuzustimmen","zuzustimmen","wünscht","bitte","bitte","antrag","zuzustimmen","drucksache","enthaltungen","enthaltungen","handzeichen","wünscht","handzeichen","zuzustimmen","zuzustimmen","enthaltungen","zuzustimmen","wer","handzeichen","enthaltungen","zuzustimmen","handzeichen","handzeichen","zuzustimmen","zuzustimmen","handzeichen","änderungsantrag","wünscht","wer","gegenprobe","stimmt","abstimmung","angenommen","änderungsantrag","drucksache","drucksache","angenommen","enthaltungen","enthaltungen","beschlussempfehlung","wer","gesetzentwurf","stimmen","gegenprobe","stimmt","enthaltungen","abstimmung","enthaltungen","bitte","wahl","schriftführer","kollegen","gestimmt","arbeitsplatz","onlinewahlen","titzestecher","post","finanzmarkt","gaststättengewerbe","uhr","banken","banken","gmbh","ii","reits","anleger","anleger","bank","estate","landesbanken","regulierung","krise","anleger","bank","spanien","aufsicht","zypern","schick","steuerzahler","aufsicht","verbraucher","bafin","kunden","kunden","ewf","bank","griechenland","sparer","wirecard","wirecard","anleger","hauptversammlung"
"5","hand","antrag","antrag","ziffer","wer","ziffer","ziffer","enthaltungen","antrag","antrag","wer","antrag","antrag","bitte","antrag","handzeichen","ziffer","handzeichen","änderungsantrag","bitte","handzeichen","ziffer","änderungsantrag","handzeichen","handzeichen","enthaltungen","enthaltungen","ziffer","gegenprobe","handzeichen","änderungsantrag","handzeichen","handzeichen","änderungsantrag","änderungsantrag","bitte","enthaltungen","bitte","handzeichen","antrag","zuzustimmen","enthaltungen","handzeichen","bitte","bitte","zuzustimmen","zuzustimmen","zuzustimmen","gegenprobe","gegenprobe","bitte","wer","angenommen","angenommen","enthaltungen","angenommen","enthaltungen","wer","angenommen","angenommen","wer","zuzustimmen","wünscht","stimmt","drucksache","handzeichen","angenommen","handzeichen","abstimmung","drucksache","angenommen","angenommen","drucksache","angenommen","angenommen","gesetzentwurf","stimmenthaltungen","angenommen","wer","enthaltungen","koalitionsfraktionen","abgelehnt","stimmt","stimmt","entschliessungsantrag","schriftführer","gestimmt","rauchen","kemper","exklusivlizenz","filialen","ortsnetz","samstag","finanzplatz","jugendarbeitsschutz","anleger","sparkasse","notenbank","hauptversammlung","girokonto","banken","immobilien","kredite","landesbanken","hypo","krise","ratingagenturen","finanzmärkte","krise","finanztransaktionsteuer","basel","bank","aufsicht","regulierung","ratingagenturen","bafin","kunden","schick","verbraucherinnen","bafin","ezb","finanzkrise","commerzbank","zinsen","verbraucher","unternehmen","banken","hauptversammlungen"
"6","abstimmung","umdruck","abstimmung","abstimmung","umdruck","wer","änderungsantrag","wer","handzeichen","enthaltungen","antrag","ziffer","ziffer","enthaltungen","ziffer","wer","wer","enthaltungen","enthaltungen","zuzustimmen","bitte","wer","umdruck","bitte","gegenprobe","handzeichen","handzeichen","handzeichen","bitte","umdruck","abstimmung","änderungsantrag","bitte","ziffer","wünscht","herren","wünscht","handzeichen","zuzustimmen","enthaltungen","antrag","bitte","bitte","zuzustimmen","handzeichen","wer","bitte","bitte","wer","drucksache","gegenprobe","drucksache","nr","enthaltungen","angenommen","beschlussempfehlung","rufe","bitte","gegenprobe","wer","angenommen","angenommen","zuzustimmen","zuzustimmen","stimmt","änderungsantrag","abstimmung","drucksache","handzeichen","angenommen","beschlussempfehlung","abstimmung","beschlussempfehlung","drucksache","abstimmung","stimmenthaltungen","angenommen","abstimmung","pds","wer","abstimmung","einzelplan","stiftung","koalitionsfraktionen","abgelehnt","abstimmung","stimmen","erteile","kollegen","bitte","umsatzsteuer","finanzmarktes","wahl","ag","finanzmarkt","prospektpflicht","ladenschluss","finanzplatz","hedgefonds","immobilienfonds","aufsichtsrat","korruption","gmbh","aufsichtsrat","finanzmärkte","bankenaufsicht","finanztransaktionsteuer","hre","bankenabgabe","zentralbank","bafin","krise","steuerzahler","fonds","dispozinsen","ezb","konto","aufsicht","bafin","verbraucherschutz","bankenunion","risiken","euro","kredite","urteil","verbraucherinnen","haftung","aktionäre"
"7","angenommen","handzeichen","mehrheit","antrag","ziffer","bitte","wer","ziffer","wer","ziffer","ziffer","zuzustimmen","wer","änderungsantrag","enthaltungen","ziffer","antrag","wer","handzeichen","änderungsantrag","enthaltungen","bitte","wer","einzelplan","bitte","zuzustimmen","bitte","enthaltungen","wer","ziffer","einzelplan","einzelplan","enthaltungen","bitte","wort","wer","bitte","wer","enthaltungen","handzeichen","enthaltungen","handzeichen","wer","handzeichen","wer","drucksache","berichterstatter","wer","angenommen","wer","angenommen","angenommen","rufe","gegenprobe","rufe","wer","gegenprobe","gegenprobe","wer","gegenprobe","gegenprobe","bitte","handzeichen","gegenprobe","wünscht","abstimmung","handzeichen","angenommen","drucksache","gegenprobe","änderungsantrag","stimmen","gegenprobe","stimmenthaltungen","gegenprobe","drucksache","beschlussempfehlung","drucksache","wahl","pds","pds","wer","entschliessungsantrag","wer","antrag","stimmt","namentliche","schriftführer","dienst","arbeitsstättenverordnung","barthel","beamten","öffnungszeiten","ess","finanzplatz","grauen","beamten","deutschen","gehälter","gmbh","unternehmen","sri","unternehmen","krise","bafin","ratingagenturen","bank","regulierung","schick","griechenland","finanzaufsicht","steuerzahler","regulierung","aufsicht","aufsicht","bank","girokonto","risiken","produkte","verbraucherpolitik","steuerzahler","verbraucher","fusion","banken","bundesbank","schuldner","verbraucher","zentralbank"
"8","ziffer","angenommen","enthaltungen","wer","bitte","enthaltungen","abstimmung","antrag","abstimmung","wer","änderungsantrag","wünscht","enthaltungen","ziffer","wer","enthaltungen","handzeichen","bitte","wer","wünscht","wer","antrag","bitte","abstimmung","ziffer","bitte","wer","wer","ziffer","wer","handzeichen","enthaltungen","wort","stimmenthaltungen","stimmenthaltungen","abstimmung","wer","enthaltungen","wer","wer","wer","drucksache","antrag","wer","berichterstatter","bitte","angenommen","angenommen","bitte","angenommen","rufe","gegenprobe","enthaltungen","bitte","bitte","einstimmig","angenommen","angenommen","gegenstimmen","bitte","bitte","ausschussfassung","angenommen","drucksache","bitte","angenommen","drucksache","änderungsantrag","beschlussempfehlung","handzeichen","gegenprobe","dagegen","änderungsantrag","gesetzentwurf","drucksache","abstimmung","drucksache","stimmenthaltungen","abstimmung","abstimmung","gegenprobe","stimmt","wer","pds","schriftführer","enthaltungen","schweigepflicht","gestimmt","versorgungsrechtsreform","nichtraucherschutz","gramm","zigaretten","geschäfte","finanzplatzes","post","banken","bank","finanzdienstleistungen","aussengastronomie","kredite","verwaltungsrat","wohnimmobilien","abfindungen","schäffler","real","bafin","müssen","bankenabgabe","fonds","regulierung","bank","bankenaufsicht","sparkassen","kapitalmarkt","schick","verbraucher","gläubiger","kleinanleger","reisebüros","bank","handwerker","einlagensicherung","steuerzahler","hauptversammlung","gutschein","gläubiger","insolvenz","verbraucher"
"9","nr","hand","zuzustimmen","änderungsantrag","änderungsantrag","antrag","enthaltungen","wünscht","angenommen","wünscht","enthaltungen","enthaltungen","änderungsantrag","wer","änderungsantrag","bitte","angenommen","ziffer","gebe","wer","wünscht","enthaltungen","angenommen","gegenprobe","zuzustimmen","wer","angenommen","bitte","änderungsantrag","damen","wort","damen","wer","handzeichen","wer","siehe","änderungsantrag","angenommen","abstimmung","angenommen","drucksache","wer","angenommen","enthaltungen","wort","angenommen","drucksache","rufe","drucksache","rufe","wer","bitte","stimmt","einzelplan","gegenprobe","rufe","bitte","abstimmung","änderungsantrag","gegenstimmen","änderungsantrag","stimmt","drucksache","angenommen","gegenprobe","drucksache","änderungsantrag","bitte","gegenprobe","abstimmung","handzeichen","änderungsantrag","stimmenthaltungen","abstimmung","änderungsantrag","enthaltungen","abstimmung","änderungsantrag","gegenprobe","drucksache","wer","pds","drucksache","abstimmung","enthaltungen","abgelehnt","wer","wort","wort","dienst","briefwahl","anleger","verbraucher","besoldung","realschüler","kunden","telekom","issing","rechtsform","kredit","anleger","exittax","ikb","korruption","aufsicht","kredite","hedgefonds","schick","gläubiger","steinbrück","krise","hochfrequenzhandel","finanzmärkte","finanzmärkte","risiken","versicherungen","steuerzahler","anleger","meister","kredite","risiken","krise","targetsalden","bank","euro","bank","fonds","inflation"
"10","enthaltungen","mehrheit","wer","enthaltungen","antrag","abstimmung","antrag","abstimmung","ziffer","änderungsantrag","wünscht","wer","zuzustimmen","zuzustimmen","wünscht","einzelplan","bitte","angenommen","bitte","ziffer","zuzustimmen","angenommen","zuzustimmen","enthaltungen","anlage","wünscht","siehe","wort","angenommen","änderungsantrag","ziffer","siehe","abstimmung","wünscht","bitte","änderungsantrag","wort","mehrheit","wort","änderungsantrag","änderungsantrag","änderungsantrag","rufe","stimmenthaltungen","abstimmung","berichterstatter","wort","drucksache","rufe","bitte","abstimmung","abstimmung","bitte","drucksache","gegenstimmen","gegenprobe","ausschussfassung","drucksache","bitte","aufgerufenen","ausschussfassung","änderungsantrag","bitte","abstimmung","angenommen","einzelplan","wünscht","dagegen","änderungsantrag","fraktion","abstimmung","ausschussfassung","abstimmung","dagegen","stimmenthaltungen","dagegen","gesetzentwurf","empfiehlt","drucksache","abgelehnt","angenommen","handzeichen","abgelehnt","einzelplan","drucksache","stimmkarte","bitte","schriftführerinnen","beamtinnen","wort","wettbewerber","dautzenberg","ladenschlussgesetz","jugendarbeitsschutzgesetz","feiertagen","kreditwirtschaft","unternehmen","uhr","vorstände","anleger","bank","aufsichtsrat","managergehälter","gmbh","finanzmarktkrise","aufsicht","schick","steuerzahler","finanzkrise","honorarberatung","iii","steinbrück","ezb","gläubiger","kunden","kapitalmarkt","schick","verbraucherinnen","produkt","verwalter","bank","bundesbank","eib","verbraucherschutz","kunden","zinsen","unternehmen","zinsen"
