"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","politik","deutschen","deutschen","fremdenlegion","mehrheitswahlrecht","atomwaffen","wahlgesetz","atomwaffen","atomwaffen","atomwaffen","demokratie","atomwaffen","parteien","heinemann","parteien","parteien","strauss","notstand","argoud","höcherl","höcherl","höcherl","herr","schmittvockenhausen","dorn","griechischen","dorn","demokratie","demokratie","ahlers","ehmke","ehmke","ehmke","ahlers","ehmke","ehmke","journalisten","chef","bundeskanzler","guillaume","presse","schlei","bölling","bölling","bayerischen","öffentlichkeitsarbeit","stiftung","bölling","luxemburg","medien","medien","medien","ausstellung","ddr","ddr","springer","fremdenverkehr","werbung","ddr","ded","köhler","journalisten","würzburg","fremdenverkehr","guernica","rauchen","bundesrechnungshof","depfa","bundesrechnungshof","dara","pds","treuhand","treuhand","treuhandanstalt","treuhandanstalt","treuhandanstalt","treuhandanstalt","treuhandanstalt","ddr","ddr","vulkan","sket","ddr","bundesländern","neuen","neuen","ost","ost","ost","ost","ost","ost","ostdeutschland","ost","ost","ostdeutschland","ost","ostdeutschland","ddr","ost","ostdeutschland","ostdeutschland","ost","ddr","dat","ddr","ost","ddr","ddr","ost","ostdeutschland","osten","ddr","ost","ost","ddr","einheit","demokratie","ost","petitionen","demokratie","demokratie","demokratie","ddr","demokratie","demokratie","demokratie","demokratie"
"2","volk","politik","amerikanische","legion","wahlgesetz","wahlgesetz","sperrklausel","zivilbevölkerung","atomare","atomare","konrad","volk","spanien","bundesinnenminister","freiheit","bildungsarbeit","ahlers","gewerkschaften","rechtshilfeersuchen","innern","innern","innern","lemmer","innern","alliierten","griechenland","demokratie","npd","innern","ehmke","bundeskanzler","bundeskanzler","aufgaben","presse","herr","aufgaben","bundeskanzler","grabert","guillaume","presse","chef","staatssekretärin","schüler","öffentlichkeitsarbeit","anzeigen","garching","konrad","öffentlichkeitsarbeit","radio","klein","gaus","fernsehen","kontrollkommission","beratungsstelle","reiseverkehr","burda","urlaub","weirich","esterwegen","entwicklungshelfer","ded","gmbh","würzburger","tourismus","verbraucherinnen","jugendschutz","rechnungsprüfungsausschuss","dara","bank","raumfahrt","treuhandanstalt","treuhandanstalt","treuhandanstalt","treuhand","treuhand","deponie","treuhand","ddr","ostdeutschen","ostdeutschen","bremer","ddr","ostdeutschen","neuen","ddr","ostdeutschen","neuen","ostdeutschland","einheit","neuen","neuen","neuen","ost","osten","osten","ost","ostdeutschland","ost","osten","ostdeutschland","ost","bundesländern","osten","gysi","de","ost","osten","osten","ost","osten","ost","ost","aufarbeitung","einheit","west","petitionen","ddr","ddr","osten","petitionsausschuss","israel","osten","ddr","demokratie","thüringen","ddr","antisemitismus","freiheit"
"3","deutschen","volk","volkes","französischen","atomwaffen","atomaren","parteien","bevölkerung","waffen","waffen","volk","heuss","heinemann","freiheit","wahrheit","verfassung","höcherl","freiheit","innern","alliierten","schmittvockenhausen","alliierten","schäfer","herr","lücke","innern","polizei","dorn","parlamentarischen","herr","brandt","herr","besondere","chef","presse","besondere","presse","bundeskanzleramtes","staatssekretärin","schlei","bölling","frau","broschüre","urteil","chef","bölling","adenauer","urteil","klein","franz","planungsabteilung","medienpolitischen","medienbericht","innerdeutsche","ostpreussens","presse","tourismus","berlin","gelände","köhler","vizepräsident","richtlinie","sonn","urlaub","fernsehen","satelliten","rechnungshof","raumfahrt","rechnungshof","raumstation","gruppe","rückgabe","pds","unternehmen","wismut","treuhand","ddr","treuhand","rückgabe","neuen","bvs","ostdeutschland","altschulden","ostdeutschen","ostdeutschland","ost","aufbau","osten","osten","osten","osten","bundesländern","osten","bundesländern","neuen","neuen","sachsen","ostdeutschen","pds","bundesländern","einheit","regionen","ostdeutschland","osten","ost","west","ddr","einheit","osten","ddr","ddr","ddr","ost","ddr","osten","petitionsausschuss","ost","petition","west","ddr","antisemitismus","chemnitz","grundgesetz","ostdeutschen","opfer","geschichte","geschichte","geschichte"
"4","regierung","volkes","regierung","indochina","manöver","wahlrecht","fischerei","schmitt","atomaren","atomaren","adenauer","demokratie","spenden","schröder","hitler","kontrolle","fragestunde","notstandes","höcherl","verfassungsschutz","minister","bundesminister","stellvertreter","brief","vorbehaltsrechte","guttenberg","alliierten","benda","parlamentarismus","bundeskanzler","herr","besondere","shb","informationsamtes","ahlers","partei","dkp","presse","schlei","ehmke","bundeskanzleramtes","bölling","bundesbank","presse","bölling","urteil","nachlass","presse","hauff","mad","klein","öffentlichrechtlichen","presse","schulze","beziehungen","monopolkommission","fremdenverkehrswirtschaft","rundfunkanstalten","transitverkehr","journalisten","herr","rundfunk","umwelttag","film","vorstellungen","videokassetten","bundesrechnungshofs","guernica","bundesrechnungshofs","columbus","treuhand","privatisierung","vermögen","alteigentümer","privatisierung","schönberg","privatisierung","ostdeutschen","mauer","ostdeutschland","ostdeutschen","ostdeutschen","bundesländern","ostdeutschland","ost","bundesländern","ostdeutschen","neuen","neuen","bundesländern","bundesländern","osten","neuen","neuen","bundesländern","osten","osten","osten","büttner","osten","osten","ost","einheit","gregor","osten","einheit","ostdeutschland","ostdeutschland","west","west","west","beamten","west","west","ddr","polen","osten","petitionsausschuss","ostdeutschen","ost","juden","petitionsausschuss","geschichte","osten","ddr","einheit","helmut","opfer"
"5","westdeutschland","adenauer","düsseldorf","werbung","wähler","waffen","demokratie","luftschutz","heinemann","volk","union","rede","partei","innenminister","rechtsstaat","freiheit","innern","demokratie","gerstenmaier","untersuchungsausschuss","herr","schmittvockenhausen","bundeskanzlers","presse","bundesinnenminister","lücke","innern","auseinandersetzung","benda","pressefreiheit","bundeskanzleramt","aufgaben","herr","ehmke","bundeskanzler","staatssekretäre","ravens","ehmke","frau","bundeskanzler","bundeskanzler","presse","öffentlichkeitsarbeit","abgeordneter","herr","bayerischen","adenauers","wahlplattform","genscher","strauss","huonker","schwarzschilling","beschwerden","journalisten","innerdeutsche","ddr","fremdenverkehrspolitik","medien","lager","mitarbeiterkonferenz","westphal","schichtarbeit","werbung","fremdenverkehrswirtschaft","lediglich","bundesrechnungshof","bundesrechnungshofes","welle","aufträge","hermes","gysi","pdslinke","unternehmen","rückgabe","chemnitz","bischofferode","ostdeutschen","privatisierung","neuen","bundesländern","werften","bundesländern","ostdeutschland","ddr","osten","ostdeutschland","ddr","ostdeutschen","bundesländern","länder","ostdeutschen","sachsenanhalt","bundesländern","ostdeutschland","ostdeutschland","bundesländern","bundesländern","regionen","neuen","aufbau","bundesländern","neuen","neuen","bundesländern","west","osten","stasi","ost","kommunismus","ostdeutschland","beamten","einheit","osten","ostdeutschland","petitionen","petition","west","petitionen","westen","demokratie","enquetekommission","petitionen","osten","ostdeutschland","juni","freiheit","kohl","aufarbeitung"
"6","adenauer","amerikanischen","politik","legionäre","luftschutz","einsatz","atombomben","schutz","märz","bewaffnung","kommunismus","konventionelle","antisemitismus","verfassung","urteil","berlin","bundesanwaltschaft","höcherl","rückführung","untersuchungsausschusses","bundesminister","herr","mende","bundesinnenminister","schmittvockenhausen","presse","notstandsgesetzgebung","herr","herr","wörner","windelen","ahlers","vds","herr","aufgaben","parlamentarischen","herr","bundeskanzler","bundeskanzleramt","bundeskanzleramt","schlei","bundeskanzler","staatssekretär","herr","presse","herr","journalisten","pressefusionskontrolle","satelliten","schwarzschilling","schwarzschilling","rundfunk","untersuchungsausschuss","reisen","stunde","zusammenschluss","fremdenverkehrs","medienpolitik","dokumentation","geschäftsleitung","kriegswaffen","öffentlichrechtlichen","öffentlichrechtlichen","fremdenverkehrs","hdw","sauter","kassette","terminbörse","bundesrechnungshofes","riesenhuber","bundesrechnungshof","unternehmen","rückgabe","privatisierung","unternehmen","privatisierung","untersuchungsausschuss","eigentum","bundesländern","altschulden","ddr","neuen","neuen","ostdeutsche","bundesländern","schwanitz","einheit","bundesländern","ostdeutschen","ostdeutschland","west","sachsen","aufbau","streik","ddr","aufbau","neuen","neuen","bundesländern","regionen","neuen","west","bundesländern","ost","ostdeutschland","eigentum","west","westen","westen","westen","osten","beamtinnen","sowjetunion","osten","petitionsausschuss","einheit","ostdeutschland","sowjetunion","ddr","einheit","direkte","einheit","opfer","geschichte","juden","opfer","freiheit","ddr"
"7","volkes","demokratischen","kommunistischen","deutschen","carte","mehrheitswahlrecht","nordsee","vockenhausen","bundeswehr","schröder","gegner","bewaffnung","parteiengesetz","broschüre","volk","artikel","minister","leber","strauss","schmittvockenhausen","schoettle","vorbehaltsrechte","berliner","bundesminister","innern","griechische","gewalt","partei","bundespräsident","demokratie","demokratie","presse","bundeskanzler","abgeordneter","partei","bundesminister","ddr","ravens","vertrauensmännergremium","chef","staatssekretärin","journalisten","abgeordneter","anzeigen","winzer","presse","geheim","schröder","bundesminister","josef","sendungen","bundeszentrale","weirich","beziehungen","nördlichen","bundeswirtschaftsminister","hotel","bundesunternehmen","schreckenberger","luuk","erkenntnisse","kapitalgesellschaften","rundfunk","kriegswaffen","stunde","raumfahrt","guernica","columbus","prüfungsrecht","rüttgers","einigungsvertrag","öffentlichrechtlichen","privatisierung","heuer","ag","mecklenburgvorpommern","ostdeutschland","neuen","entschädigung","bvs","altschulden","bvs","sanierung","osten","pds","ddr","osten","ddr","ostdeutschland","ostdeutschen","einheit","aufbau","ostdeutschen","bundesländer","ostdeutschen","ga","einheit","bundesländern","ost","ostdeutschen","ostdeutschen","ostdeutschen","regionen","staatssicherheit","un","gysi","brandenburg","rentenüberleitung","ostdeutschland","einheit","westen","beamte","spenden","uruguay","ostdeutschland","juni","wiedervereinigung","polen","ostdeutschland","west","geschichte","bürger","verfassung","freiheit","geschichte","deutschen","deutschen","enquetekommission"
"8","amerikanischen","regierung","westdeutschen","werber","verhältniswahlrecht","kandidat","weimarer","atomaren","volk","innenminister","mommer","csr","spanischen","drüben","grundgesetz","grundgesetz","zusatzfrage","äusseren","herr","herr","regierenden","schäfer","minister","briefes","innenminister","dorn","herr","innenminister","gütt","benda","besondere","chef","wohlrabe","bundeskanzler","informationsamtes","herrn","partei","informationsamtes","presse","bölling","schüler","wochenschauen","broschüren","haase","abgeordneter","culham","bundeskanzlers","wischnewski","herr","untersuchungsausschuss","luxemburg","medienpolitische","parlamentarischen","informationsfreiheit","werbellinsee","medien","gebiete","ddr","transitwege","informationen","trotzdem","rundfunkanstalten","feiertagen","fernsehen","herr","filme","legion","bundesrundfunkanstalten","rechnungsprüfungsausschuss","weltraumpolitik","sed","liste","wismut","eigentum","sanierung","kali","unternehmen","entschädigung","privatisierung","einigungsvertrag","mauer","altschulden","osten","ost","ostdeutschen","aufbau","bundesländern","einheit","ddr","aufbau","aufbau","ostdeutschland","west","ostdeutschen","entschädigung","regionen","ostdeutschen","aufbau","dm","neuen","regionen","osten","west","ostdeutschland","is","ostdeutschland","ostdeutschen","ostdeutschen","ostdeutschen","lohnunterlagen","einheit","west","petitionen","ostdeutschen","einheit","volkskammer","ostdeutschen","ost","einheit","osten","israels","juden","freiheit","ost","jüdischen","osten","petitionen","osten"
"9","deutsche","bevölkerung","volk","angaben","wahlrecht","gutachter","zweiparteiensystem","bevölkerungsschutz","bewaffnung","demokratie","politik","friedrich","rechenschaftslegung","grenze","grundrechte","landtagen","verteidigungsministerium","bundesinnenminister","illustrierten","minister","information","presse","veröffentlichung","minister","herr","herr","innenminister","politischen","brief","genscher","aufgaben","bundesminister","äusserung","journalisten","chef","bundeskanzler","chef","herr","herr","journalisten","informationsamtes","funcke","schlei","bundeskanzler","staatssekretär","broschüre","presse","bundeskanzleramt","medien","nachrichtendienste","öffentlichrechtlichen","presse","ddr","beschwerden","einfuhr","verlage","reisen","überhaupt","erinnerung","meinungsdruck","berlin","spranger","umwelttages","filmförderung","gansel","bundesrechnungshofes","condor","riesenhuber","finanzkontrolle","forschung","vermögen","heuer","hennigsdorf","entschädigung","sachsen","rückgabe","treuhandausschuss","schily","schwanitz","treuhandanstalt","grundstücke","ost","ostdeutsche","bodenreform","aufbau","metro","ostdeutschland","aufbau","west","massstäbegesetz","ostdeutschland","ostdeutschen","stolpe","sachsen","einheit","ostdeutschen","regionen","sachsen","rehabilitierungsgesetzes","west","investitionszulage","sachsen","ostdeutschen","dkp","westen","eigentumsfreiheit","einheit","west","einheit","ehemaligen","heimkinder","ostdeutschland","zuwanderer","revolution","ostdeutschen","ehemaligen","heute","west","betroffenen","geschichte","deutschen","ddr","sinti","opfer","partei","aufarbeitung","osten","ostdeutschland"
"10","demokratischen","krieges","amerikanischen","röchlings","weimarer","atomkrieg","wahlabsprachen","gemeinden","ausrüstung","heinemann","bundesverteidigungsminister","widerstand","volk","kommunistischen","deutschen","ulbricht","güde","demokratischen","präsident","presse","presse","minister","huyn","darstellung","notstandsverfassung","freiherr","bundesinnenminister","parteien","mende","regierung","bundeskanzleramtes","partei","studentenbund","herrn","besondere","herr","bundeskanzlers","göbel","chef","staatssekretärin","zeitungen","herr","herr","urteils","öffentlichkeitsarbeit","schröder","urteil","staatssekretär","schwarzschilling","fernsehen","fernsehen","verkabelungsstopp","untersuchungsausschusses","radio","aktuelle","aktuelle","gaststättengewerbe","seileralbring","emslandlager","mitbestimmung","fernsehen","co","umweltverbände","öffentlichrechtlichen","arbeitsplätzen","jugendlichen","rechnungsprüfungsausschusses","pfandbriefanstalt","friedmann","ariane","vermögensfragen","neuen","neuen","werften","premnitz","vermögensabgabe","hacker","untersuchungsausschuss","ostdeutschland","einheit","mecklenburgvorpommern","enteignungen","hacker","einheit","einheit","osten","schwanitz","westen","aufbau","ländern","ammendorf","bundesländer","bundesländer","metall","bundesländer","bundesländer","aufbau","west","west","investitionszulage","aufbau","bundesländer","bundesländer","neuen","ok","ostdeutschen","de","ehemaligen","heimkinder","ostdeutschen","ehemaligen","dienst","petitionsausschuss","westen","westen","geschichte","rentenrecht","bürger","angleichung","petition","afd","ostdeutschland","petitionen","west","afd","polen","juden","seddiktatur"
