"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","berlin","berlin","berlin","berlin","berlin","berlin","berlin","amnestie","berlin","saar","saar","saar","saar","beamten","beamtin","beamten","beamten","beamten","wahlkreise","beamten","bundestages","dienst","bundeskriminalamt","beamten","beamten","dienstes","beamten","beamten","beamten","dienst","genscher","benda","dienstes","innern","genscher","genscher","genscher","genscher","verfassung","sport","terroristen","freiheit","freiheit","terrorismus","terrorismus","terrorismus","kommunisten","sicherheitsbehörden","baum","bremen","dregger","polizei","demonstration","ausländer","ausländer","bundesinnenminister","bundesinnenminister","türkei","türkei","türkei","gefangenen","menschenrechte","menschenrechte","menschenrechte","chile","menschenrechte","todesstrafe","menschenrechte","menschenrechte","menschen","menschenrechte","jugoslawien","türkei","asylbewerber","gewalt","asylbewerber","türkei","ausländer","türkei","flüchtlinge","ausländer","flüchtlinge","türkei","staatsangehörigkeit","ausländer","staatsangehörigkeit","türkei","zuwanderung","rechtsextremismus","opfer","zuwanderung","antisemitismus","zuwanderung","zuwanderung","schily","sicherheit","integration","brandenburger","staatsangehörigkeit","schäuble","terrorismus","integration","integration","integration","integration","polizei","integration","integration","roma","rechtsextremismus","roma","wahlrecht","antisemitismus","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","antisemitismus","afd","migration","menschen","flüchtlinge","integration","deutschland","religionsfreiheit","menschen"
"2","berliner","berliner","berliner","berliner","berliner","berliner","berliner","berlin","berliner","berlin","saarländischen","berlin","französischen","kühlthau","beschwerde","weihnachtsgeld","dienst","dienst","wahlkreis","diäten","bürohaus","beamten","beamten","dienstes","parlamentarischen","dienst","dienst","dienstes","zivilverteidigung","beamten","innern","genscher","dienst","genscher","bundesgrenzschutz","polizei","innern","innern","grundgesetz","sports","bundesgrenzschutz","partei","terrorismus","maihofer","terroristen","terroristen","verfassungsschutz","baum","bundesinnenminister","polizei","spranger","hillermeier","demonstrationen","ausländern","asylbewerber","innenpolitik","zimmermann","auslieferung","chile","afghanistan","zwangsernährung","roma","afghanistan","flüchtlinge","menschen","todesstrafe","menschenrechte","türkei","menschen","menschenrechte","juden","minderheiten","menschenrechte","flüchtlinge","asylbewerber","ausländer","flüchtlinge","ausländern","kurden","menschen","türkei","ausländer","ausländer","ausländer","opfer","türkei","zuwanderung","opfer","npd","rechtssicherheit","schily","möllemann","schily","zuwanderungsgesetz","sicherheit","schily","schily","tor","schily","kontrollgremium","sicherheit","schäuble","bundespolizei","integrationspolitik","hdj","waffen","flüchtlinge","gewalt","flüchtlinge","verfassungsschutz","rechtsextremismus","rechtsextremismus","npd","staatsbürgerschaft","flüchtlingen","flüchtlingen","menschen","integration","integration","flüchtlinge","menschen","flüchtlinge","migration","migration","grenze","menschen","deutschland","geflüchteten"
"3","berlins","berlins","zone","berlins","notopfer","zone","saar","zone","fernsehen","saarlandes","saarland","saarland","frankreich","dienst","beamten","verbeamtung","harmonisierungsnovelle","dienstes","neueinteilung","bezüge","gradl","öffentlichen","gscheidle","verwaltung","staatssekretäre","angestellte","hinterbliebenenversorgung","dienst","vergütungsgruppe","dienstes","beamten","innern","innern","dorn","bundesgrenzschutzes","mandel","dienst","sports","ministerpräsident","dienst","terrorismus","dregger","sicherheit","terroristen","freiheit","schleyer","dienst","bundesinnenminister","bgs","verfassungsschutzbericht","polizei","asylbewerber","polizei","integration","türkei","schnoor","familienzusammenführung","türkischen","menschenrechte","ausländer","folter","sinti","terrorismus","chile","bundesrepublik","chile","chile","menschen","china","türkei","menschen","kurden","jugoslawien","asylrecht","flüchtlinge","türkei","gewalt","gewalt","türkischen","ausländer","kurden","kanther","ausstellung","flüchtlinge","aussiedler","integration","schily","asyl","gewalt","islam","sicherheit","zuwanderung","bosbach","ausländer","bundesinnenminister","bundesinnenminister","bundesinnenminister","strobl","integration","sicherheit","rechtsextremismus","rassismus","schäuble","migranten","schäuble","integration","syrien","religionsfreiheit","überhangmandate","gewalt","demokratie","rassismus","integration","beck","roma","menschen","flüchtlingen","menschen","menschen","menschen","familiennachzug","pakt","flüchtlinge","menschen","flüchtlinge","migranten","religion","ukraine"
"4","wahlen","wahlen","gesamtdeutsche","senat","berlins","berlins","berlins","berliner","rundfunkanstalten","saarländischen","saarländische","berliner","bundesgebiet","einfachen","dienst","vorschuss","gscheidle","wuermeling","beamten","abgeordneten","bundestagsvorstand","dienstes","dienst","dorn","innenausschuss","beamten","alters","innenausschuss","bvs","genscher","öffentlichen","beamten","beamten","öffentlichen","sicherheit","innern","beamten","öffentlichen","demokratie","partei","inneren","demokratie","dienst","verfassungsschutz","gewalt","bundeskriminalamt","dregger","polizei","beamten","beamten","verfassungsschutz","demonstranten","demonstranten","ausländischen","asylrecht","inneren","ausländer","altun","türkischen","türkischen","hungerstreik","afghanistan","juden","asyl","gewalt","ddr","kurden","flüchtlinge","ddr","flüchtlinge","opfer","menschenrechte","asylbewerber","schengener","menschen","asylrecht","kurden","staatsangehörigkeit","flüchtlinge","türkei","staatsangehörigkeit","türkei","flüchtlinge","türkei","menschen","staatsbürgerschaft","flüchtlinge","menschen","zuwanderung","gewalt","bundesinnenminister","deutschland","sicherheit","deutschland","antisemitismus","zuwanderung","npd","schily","bundesinnenminister","rechtsextremismus","sicherheitsbehörden","rechtsextremismus","sicherheit","zuwanderung","migranten","türkei","griechenland","polizei","zuwanderung","migranten","türkei","npd","deutschland","flüchtlingen","menschen","asylbewerber","integration","flüchtlingen","land","afghanistan","migration","migranten","integration","migranten","menschen","moria","menschen","polen"
"5","deutschen","notopfer","berlins","deutschlands","zone","gesamtdeutsche","stadt","drüben","programm","saarland","schneider","bundesgebiet","berlin","mittleren","kühlthau","dienst","dienstes","grenzgänger","hannover","vorlage","dienst","anpassung","innenausschuss","dienst","dienst","angestellten","verbesserungen","besoldungsgruppe","angestellten","öffentlichen","dienstes","verbrechensbekämpfung","besoldung","becker","polizei","dienstes","polizei","sportförderung","dregger","terroristen","polizei","maihofer","sozialismus","freiheit","rechtsstaat","bekämpfung","verfassung","innenminister","spranger","bundesgrenzschutz","baum","verhältnismässigkeit","asylbewerber","türken","einbürgerung","innenminister","türkei","bundesinnenminister","bundesinnenminister","kurden","terroristen","ottawa","folter","terrorismus","menschenrechte","tibet","flüchtlinge","menschenrechtsverletzungen","türkei","ausländer","volk","republiken","gewalt","asyl","ausländer","asyl","ausländer","menschen","ausländer","innenminister","menschen","innenminister","opfer","staatsbürgerschaft","vertriebenen","ausländer","ausländer","ausländer","marschewski","deutschland","marschewski","gewalt","zuwanderungsgesetz","integration","stokar","integration","sicherheit","sicherheitsbehörden","innenminister","terrorismus","antiterrordatei","npd","waffen","schäuble","antisemitismus","polizisten","staatsangehörigkeit","bundespolizei","wahlrecht","extremismus","nazis","flüchtlinge","flüchtlinge","staatsangehörigkeit","deutschland","deutschland","asyl","herkunftsstaaten","flüchtlingen","zuwanderung","land","bamf","staatsangehörigkeit","miri","migranten","christen","migration","flüchtlinge"
"6","bundesregierung","sowjetzone","sowjetisch","sowjetischen","brandt","viermächtestatus","brandt","gefangenen","anstalten","saarländische","saarlandes","saarlandes","bundesrepublik","innenausschuss","matzner","weihnachtsgeldes","besoldung","matzner","niedersachsen","dienstes","rutschke","beamtenbesoldung","brück","zimmer","dienstes","beamte","brück","öffentlichen","beamte","wagner","dienst","bundeskriminalamt","öffentlichen","polizei","innern","beamten","sicherheit","dienst","parteien","maihofer","rechtsstaat","dienst","vereinigung","polizei","staat","rechtsstaat","verfassungstreue","sicherheit","bundesgrenzschutzes","bundesinnenminister","sicherheitsbehörden","demonstrationen","gewalt","ausländerpolitik","asylverfahren","ausländer","verfassungsschutz","menschenrechte","ausländer","menschenrechte","konvention","flüchtlinge","libyen","menschen","flüchtlinge","israel","irak","iran","volk","rumänien","leben","baltischen","ausländer","jugoslawien","deutschland","gewalt","pkk","einbürgerung","vertreibung","gewalt","sonntagwolgast","opfer","menschen","menschen","land","schily","opfer","deutschland","menschen","entschädigung","innenminister","opfer","terrorismus","staatsangehörigkeit","kaplan","innenminister","leitkultur","bundesinnenminister","koschyk","integration","datei","roma","bundesinnenminister","terrorismus","deutschland","sicherheitsbehörden","türkei","demokratie","deutschland","staatsangehörigkeit","integration","residenzpflicht","rechtsextremismus","optionspflicht","asylbewerber","beck","migration","land","staatsbürgerschaft","land","flüchtlinge","menschen","asyl","afd","griechenland","migration","asyl","migration"
"7","bundesrepublik","stadt","wahlen","museen","aufbauplan","notopfer","gesamtdeutsche","politischen","kühn","bundesrepublik","saarbevölkerung","saarbrücken","saarland","beamtengehälter","abfindung","innern","brück","öffentlichen","wahlkreiseinteilung","hauses","räume","besoldung","öffentlichen","räume","gscheidle","verwaltung","innenausschuss","schmittvockenhausen","besoldungsgruppe","innern","beamte","kriminalpolizei","beamte","dienst","länder","ländern","länder","sport","hessen","staat","sicherheit","sport","staat","bekämpfung","bekämpfung","sicherheit","demokratie","inneren","bundesgrenzschutz","grundordnung","innern","gewalt","dregger","baum","ausländerfeindlichkeit","nordrheinwestfalen","ausländern","bericht","ausländischen","sacharow","gefangene","ausländischen","jüdischen","bundesrepublik","diktatur","menschen","rumänien","ddr","leben","demokratie","unrecht","minderheit","minderheiten","asylverfahren","asylrecht","staatsangehörigkeit","menschen","deutschland","kanther","menschenrechte","flüchtlinge","menschen","innenminister","rassismus","flüchtlinge","menschen","bundesinnenminister","zwangsarbeiter","deutschland","integration","ausländer","sicherheit","integration","schily","bundesgrenzschutz","flughafen","terrorismus","stadler","datei","muslime","integration","innenminister","integrationsplan","npd","innenminister","sicherheit","deutschland","deutschland","religionsfreiheit","integration","polizei","antisemitismus","menschen","menschen","staatsangehörigkeit","integration","deutschland","einstufung","deutschland","familiennachzug","bamf","afd","asylbewerber","deutschland","deutschland","griechischen","christen","registrierung"
"8","sowjetischen","sowjetischen","besetzten","stadt","sowjetischen","zonengrenze","hauptstadt","saar","werbung","eingliederung","bundesgebiet","schneider","veränderten","schriften","novelle","dienstes","bundesbesoldungsgesetzes","erhöhung","ostfriesland","dienst","beamten","sachverständigenrat","dorn","fortbildung","verwaltung","öffentlichen","stufe","besoldung","selbstschutz","schäfer","versetzt","polizei","gehobenen","rechtspfleger","inneren","inneren","inneren","evers","genscher","öffentlichen","demokratie","öffentlichen","terroristen","traube","hanns","höcherl","staat","beamten","riedl","bremer","gewalt","arbeitserlaubnis","friedlich","polizei","ausländern","polizei","datenschutzbeauftragten","demokratie","folter","chile","terrorismus","ausländer","menschenrechtspolitik","verfolgten","deutschland","menschenrechtsverletzungen","flüchtlingen","aussiedler","flüchtlinge","leben","heimat","menschen","kurden","menschen","menschenrechte","flüchtlinge","deutschland","lebenden","staatsangehörigkeit","kanther","schmalzjacobsen","sonntagwolgast","integration","opfer","zuwanderung","gesellschaft","entschädigung","verfolgung","opfer","marschewski","integration","vereinigungen","strobl","terrorismus","zuwanderungsgesetz","polizei","zuwanderungsgesetz","polizei","islam","schily","npd","winkler","roma","deutschland","zuwanderung","kontrolle","migranten","polizisten","christen","deutschland","deutschland","deutschland","aufenthaltsgesetz","asylbewerber","beck","zuwanderung","asylverfahren","innenminister","migration","deutschland","migranten","land","deutschland","staatsangehörigkeit","griechischen","religionsfreiheit","migranten","deutschland"
"9","sowjetzone","molotow","sowjetischen","bundesrepublik","stadt","drüben","sitz","staatssicherheit","rundfunk","bundesgebiet","saarbrücken","saargebiet","vorbild","bundesprüfstelle","einfachen","überleitung","einfachen","besoldung","wahlkreiskommission","doppelversorgung","dienstes","brück","bundeskriminalamtes","hochhaus","miessner","innenausschuss","dienstes","besoldungsneuregelungsgesetz","beförderung","bundesinnenminister","schäfer","dorn","richterbesoldung","dienstes","gewalt","dienst","dienstes","länder","schäfer","polizei","parteien","sozialismus","terroristischen","sicherheit","terroristischen","polizei","öffentlichen","freiheit","innern","asylbewerber","bundesinnenminister","ausländer","asylrecht","asylbewerber","asyl","asylrechts","spranger","kemal","demokratie","ausländern","chile","türkei","opfer","flüchtlingen","chilenischen","rumänien","folter","afghanistan","ausländer","deutschen","jüdischen","flüchtlinge","ausländerfeindlichkeit","zuwanderung","asyl","menschen","türkischen","land","menschen","leben","juden","flüchtlingen","staatsangehörigkeit","kanther","heimatvertriebenen","doppelte","innenminister","entschädigung","innenminister","zwangsarbeiter","bosbach","schily","deutschland","beck","umzug","terrorismus","koschyk","terrorismus","beweisaufnahme","elmasri","islam","flüchtlinge","innenminister","flüchtlinge","npd","gewalt","roma","deutsch","türkei","wahlrecht","frankfurt","bundespolizei","staatsangehörigkeit","verfassungsschutz","migration","asyl","kommen","sicheren","gesellschaft","abschiebungen","deutschland","deutschland","einwanderung","geflüchtete","afd","flüchtlinge","bericht","geflüchtete"
"10","gesamtdeutsche","zone","sowjetzone","gesamtdeutsche","hauptstadt","sowjetischen","zone","staatsautorität","werbefernsehen","zone","eingliederung","saarländischen","kriegsministerium","ortszuschlag","verbesserungen","zahlung","versorgungsempfänger","angestellten","dienst","bundestagsabgeordneten","verwaltung","bundesbeamten","besoldungsordnung","frehsee","brese","polizei","öffentlichen","miessner","schmittvockenhausen","besoldungsrückstand","ruhestand","sofortprogramm","genscher","brück","beamten","sicherheit","öffentlichen","bund","dienst","parteien","demokratischen","kommunisten","öffentlichen","rechtsstaat","martin","martin","freiheit","spranger","innenminister","bundesgrenzschutzes","ausländer","innern","asyl","demonstration","integration","spranger","minister","innenminister","polizei","afghanischen","haftbedingungen","bundesrepublik","sowjetunion","ddr","asyl","türkei","ipu","chile","nationen","sprache","deutschen","türkei","menschen","genfer","türkei","deutschland","menschenrechte","magdeburg","abschiebung","sonntagwolgast","ausländern","schmalzjacobsen","verbrechen","sonntagwolgast","spätaussiedler","zuwanderung","verfolgung","marschewski","demokratie","beck","deutschland","toleranz","bundesinnenminister","grindel","integration","binninger","deutschland","befriedeten","islamismus","innenminister","schäuble","jelpke","sicherheitsbehörden","sprache","terrorismus","migranten","abschiebung","staatsangehörigkeit","sinti","demokratie","rasse","asylbewerber","wolff","migration","optionspflicht","einwanderung","kommunen","asylbewerber","schutz","flüchtlingen","integration","familiennachzug","staatsbürgerschaft","personen","grenzen","griechenland","muslime","integration"
