"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","wohnungsbau","wohnungsbau","wohnungsbau","wohnungen","wohnungsbau","wohnungen","wohnungsbau","wohnungen","wohnungsbau","wohnungsbau","wohnungsbau","wohnungen","wohnungen","wohnungsbau","wohnungen","wohnungsbau","baulandpreise","wohnungen","raumordnung","wohnungen","raumordnung","wohnungen","städtebau","wohnungswesen","städtebau","sport","wohnungswesen","münchen","notar","münchen","wohnungsbau","wohnungen","wohnungen","städtebau","städtebau","kreditvolumen","raumordnung","städtebau","städtebau","gemeinden","wohnungsbau","gemeinden","wohnungsbau","wohngeld","gemeinden","gemeinden","gemeinden","wohnungen","wohnungen","wohnungen","wohnungsbau","wohnungen","wohnungen","gemeinden","mieter","gemeinden","mieter","jahn","mieter","bauwirtschaft","wohngeld","wohnungen","heimat","mieter","berlin","berlin","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","töpfer","wohnungsbau","städte","wohngeld","kommunen","wohnungsunternehmen","mieter","wohnungsbau","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","öpp","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","wohnungen","wohnungen","wohnungsbau","wohnraum","mieter","grundsteuer","wohnungen","mieter","mieter","mietendeckel","wohnungen"
"2","wohnungen","wohnungen","wohnungen","mieter","wohnungen","wohnungsbau","wohnungen","wohnungsbau","wohnungen","wohnungen","wohnungen","wohnungsbau","wohnungsbau","brecht","wohnungsbau","wohnungen","wohnungen","jacobi","mieter","jacobi","jacobi","jacobi","wohnungswesen","städtebau","wohnungswesen","wohnungen","städtebau","städtebau","wohnungsbau","städtebau","wohnungen","wohnungsbau","gemeinde","wohnungsbau","wohnungswesen","mieters","bauwesen","eigentum","bauwesen","raumordnung","wohnungen","jahn","modernisierung","wohnungen","kommunalen","jahn","jahn","sperling","wohnungsbau","raumordnung","jahn","wohnungsbau","mieter","kommunalen","wohnungen","mieter","staffelmiete","gemeinden","jahn","gemeinden","schneider","mieter","mieter","heimat","berliner","wohnungen","wohngeld","wohnungsbau","wohnungsbau","wohnungsbau","wohnungsbau","mieten","wohnungsbau","mieter","mieter","wohnungsbau","wohnungsbau","wohnungsbau","mieter","wohnungsbau","eichstädtbohlig","wohngeld","raumordnung","töpfer","kommunen","kansy","wohngeld","städte","wohnungen","wohnungen","gemeinden","wohnungsbau","eigenheimzulage","gemeinden","gemeinden","gemeinden","kommunalen","stadt","kommunen","kommunalen","bund","dresden","bund","städte","bund","bund","gewerbesteuer","gewerbesteuer","mieter","mieter","mieter","mieter","genossenschaften","mietpreisbremse","mietpreisbremse","mietpreisbremse","wohnraum","wohnraum","mieter","wohnungen","wohnungen","mietpreisbremse","wohnungen","wohnraum","mieterinnen","wohnungen","mieter","bauen"
"3","mittel","eigentum","sowjetzonenflüchtlinge","wohnungsbau","bau","einkommen","sozialen","mittel","brecht","mittel","brecht","wohnung","mieter","wohnungen","wohnungsbaugesetzes","leber","bauland","wohnung","städtebau","mieter","städtebau","wohnungswesen","jacobi","wohnungen","lauritzen","sports","lauritzen","mieter","wohnungsunternehmen","wohnungswesen","bayern","mieter","städtebau","wohnungswesen","ravens","ewganpassungsgesetzes","städtebau","bauwesen","raumordnung","kommunalen","eigentum","gemeinde","mieter","wohnungsbau","städte","wohnungen","wohnungsbau","bauwesen","mieter","wohnungsbau","wohnungen","ländlichen","wohnungsbau","städte","wohnungsbau","mietrecht","wohnungen","wohnungsbau","wohngeld","architekten","wohnungsbau","heimat","wohnungen","baugesetzbuch","mieter","gemeinden","mieter","wohnung","gemeinden","mieter","mieter","wohnungsbau","wohnraum","wohnungsbau","wohnungsbau","mieter","schwaetzer","schwaetzer","wohnungsbau","mieter","mieter","eichstädtbohlig","bauwesen","städtebauförderung","gemeinden","wohnungsbau","wohnungsbau","stadt","mietrecht","mieter","kommunalen","wohnungen","gemeinden","kommunalen","gewerbesteuer","kommunalen","gemeinden","städte","partnerschaften","bund","städte","brücke","kommunalen","gemeinden","unterkunft","städte","kommunalen","bund","städtebauförderung","energetische","gemeinden","wohnungen","mieter","wohnen","wohnungen","wohngeld","wohnungsbau","wohnungsbau","mietpreisbremse","mieter","mietpreisbremse","wohnungen","wohnen","mieten","mietpreisbremse","vermieter","wohnungen","wohnen"
"4","millionen","mittel","umsiedlung","miete","mittel","geringem","wohnungsbaus","dm","länder","familien","mittel","mieter","brecht","gemeinden","einkommen","raumordnung","gemeinden","wohnungsbau","wohnungswesen","raumordnung","wohnungswesen","raumordnung","gemeinden","bucher","raumordnung","wohnungsbau","wohnungen","wohnungswesen","beurkundung","wohnungen","sozialen","erpenbeck","gemeinden","wohnungen","wohnungsbau","mietanstiegs","eigentum","schneider","haack","selbstverwaltung","jahn","eigentum","wohnungen","familien","selbstverwaltung","wohnungsbau","städte","raumordnung","sozialen","städtebau","wohnung","städtebau","wohnung","kommunen","vermieter","wohnungen","vermieter","waltemathe","wohnungsbau","baugesetzbuch","bauwirtschaft","jahn","neuen","wohnungen","mietpreisbindung","spielhallen","berlin","gemeinden","wohngeld","gemeinden","sozialen","wohngeld","mieten","raumordnung","wohnung","mieten","irmgard","bundesministerin","töpfer","förderung","städtebau","töpfer","bauen","sozialen","wohnungen","mieter","gemeinden","wohnungen","kommunen","kommunen","städte","gemeinden","kommunalen","stadtumbau","eigenheimzulage","wohngeld","gewerbesteuer","programm","öffentlichprivate","städte","reform","unesco","länder","kommunalen","kommunalen","gemeinden","bund","kommunalen","gemeinden","gemeinden","vermieter","energetische","wohnraum","mieter","wohnraum","wohnungen","mieter","kommunen","kommunen","schwimmen","wohnungsbau","wohnraum","wohnraum","mietpreisbremse","wohnungen","mieterinnen","mieterinnen","wohnraum"
"5","sozialen","sozialen","mittel","wohnung","sozialen","sozialen","jacobi","millionen","aussiedler","brecht","länder","wohnraumbewirtschaftung","baulandsteuer","bundesbaugesetz","miet","bau","raumordnung","mieter","lücke","wohnungswesen","lücke","städtebau","bucher","jacobi","wohnungen","städtebau","wohnungsbau","hamburg","gebühren","lauritzen","städtebau","sozialen","wohnungswesen","gemeinden","erpenbeck","geförderten","haack","raumordnung","wohnungsbau","gemeinde","sozialen","bundesbaugesetz","gemeinden","gemeinden","kommunale","raumordnung","städtebau","städtebau","gemeinden","jahn","sozialen","raumordnung","städten","kommunale","mietrecht","wohnungsbau","jahn","städtebau","miete","städtebau","wohnungen","wohngeld","dgb","gemeinden","mieten","stadt","berliner","schneider","wohnungsmarkt","wohngeld","wohnungsnot","mieter","gemeinden","wohnung","seifert","schwaetzer","bundesministerin","irmgard","wohngeld","töpfer","raumordnung","wohnungsbau","städtebau","wohnungen","innenstädte","eichstädtbohlig","kommunalen","kommunen","vermieter","vermieter","bauwirtschaft","kansy","gewerbesteuerumlage","gewerbesteuer","kommunalen","kommunale","gewerbesteuereinnahmen","kommunalen","bürsch","gewerbesteuer","gemeinden","städte","gemeinden","städten","wohnungslosigkeit","kommunalen","gemeinden","gemeinden","städte","bund","bund","de","wohnungen","wohnungen","mieter","wohnen","wohnungen","wohnen","wohnungsbau","wohnraum","bauen","mieten","mieten","wohnungsbau","kommunen","innenstädte","mietspiegel","mieter"
"6","länder","förderung","evakuierten","mieterhöhung","finanzierung","wohnung","bundeswohnungsbauminister","mitteln","wohnung","länder","gemeinden","mieten","wohnung","miet","lastenbeihilfen","brecht","bundesbaugesetzes","raumordnung","kündigung","städtebau","wohnungen","wohnungsbau","stadt","berlin","wohnungsbau","städte","sport","wohnungen","jacobi","riedl","wohnungswesen","lauritzen","städtebauförderungsgesetz","ravens","wohnungen","kiel","wohnungsbau","wohnungsbau","wohnungen","städtebau","wohnung","raumordnung","sozialen","wohngeldes","gebäude","städtebau","mieter","wohnungsbau","wohnung","wohnungspolitik","haack","jahn","sozialen","wohnungen","mieten","schneider","mietrecht","raumordnung","mieten","städte","jahn","wohnungsbau","neue","dgb","wohnungen","mieter","gemeinnützigen","sozialen","wohnungspolitik","sozialen","gemeinden","städtebau","wohnungsmarkt","wohnungspolitik","altschulden","seifert","seifert","gemeinden","wohnungspolitik","bauen","töpfer","braun","braun","bauwirtschaft","wohngeld","wohnungen","städte","städten","wohnungsbau","bauwirtschaft","kommunale","städte","städte","städte","städte","städte","städte","gemeinden","öffentlichprivaten","kommunale","länder","kommunalen","ths","wohngeld","bundesbeteiligung","kommunale","städte","städte","energetische","kommunalen","kommunalen","dat","mieterinnen","städte","wohnen","bund","wohnen","mietpreisbremse","wohnraum","sozialen","grunderwerbsteuer","wohnungsbau","kommunen","mieter","miete","wohnen","mieten","mieterinnen"
"7","arbeitslosigkeit","familien","flüchtlinge","mieten","preusker","wohnungsnot","hypotheken","verfügung","mittel","millionen","bundeswohnungsbauminister","sozialen","sozialen","lücke","miete","überhitzung","grundstücke","wohnungswesen","jacobi","wohnung","wohnungsbau","wohnung","städten","köln","sozialklausel","wohnungswesen","wohnung","lauritzen","gebührenbefreiung","wohnungsbau","erpenbeck","städtebau","eigentümer","städte","gemeinden","orgass","vogel","eigentumsordnung","schneider","städte","wohnungsbaus","schneider","wohngeld","ravens","jahn","mieter","wohnungen","raumordnungspolitik","jahn","ländlichen","gemeinden","wohnung","bauland","selbstverwaltung","wohnung","städte","wohnungsbau","bauwesen","wohnungen","städten","mieter","raumordnung","mietern","neuen","städtebauförderung","städtebau","mieten","wohnungsnot","wohnung","wohnung","mieten","wohnung","wohnung","mieten","mieten","bundesministerin","bundesbaudirektion","kommunen","wohnung","eichstädtbohlig","bauwesen","sozialen","gemeinden","wohngeld","mieter","wohngeldnovelle","wohnungen","wohnungsbau","sozialen","mietrecht","selbstverwaltung","eigenheimzulage","gewerbesteuer","gewerbesteuerumlage","stadtumbau","stadtumbau","eigenheimzulage","gewerbesteuer","kommunalen","gemeinden","kommunalen","dresdner","zensus","kommune","bedarfsgemeinschaften","länder","kommunale","unterkunft","kommunalen","wohnungen","bima","vermieter","bund","städtebauförderung","mieten","städtebauförderung","mietpreisbremse","bauen","wohnen","städten","wohnen","mieterinnen","wohnung","kommunen","vermieter","wohnung","wohnraum","wohnungsbau"
"8","umsiedlung","gebaut","finanzierung","sozialen","luftschutzes","mittel","finanzierung","stierle","dm","wohnungsbaugesetzes","millionen","miete","vorkaufsrecht","bundesbaugesetzes","brecht","bauwirtschaft","städtebau","mieten","wohnung","wohnungsbau","mieten","gemeinden","städte","verlagsgesellschaft","jacobi","wohnung","wohnungsbaus","sport","beglaubigung","eigentümer","münchen","wohnungswesen","sanierung","erpenbeck","schneider","kollegin","mieter","mick","mieter","bauwesen","ravens","ländlichen","ravens","wohnung","erhaltung","bauwesen","stadt","gemeinden","sozialwohnungen","haack","wohnungspolitik","bauwesen","vermieter","wohnungsbau","gemeinden","conradi","wohnung","kansy","schneider","conradi","sozialen","städtebau","eigentümer","neue","stadt","städte","wohnungsunternehmen","aussiedler","raumordnung","wohnungspolitik","müntefering","gemeinden","grundstücke","städtebau","schwaetzer","irmgard","wohnung","mieter","mieten","wohneigentum","wohngeld","mieter","wohnungen","wohnungsbaus","städten","grossmann","sozialen","kansy","wohnungsunternehmen","sozialen","stadt","bauwirtschaft","bauwirtschaft","wohnungen","mieter","wohnungen","stadt","soziale","öffentlichen","stadt","innenentwicklung","stadt","wohnungen","kommunale","stadt","stadt","unterkunft","kosten","stadt","sanierung","städte","gemeinden","wohnen","wohnung","städte","kommunalen","bund","sozialen","bauen","sozialwohnungen","mieten","vermieter","mieter","mietendeckel","mieten","mieten","wohnen","vorkaufsrecht"
"9","heimatvertriebenen","bau","sozialen","hausbesitzer","bund","wohnungsuchenden","millionen","wohnungsbaus","zuwanderer","jungen","lücke","brecht","mieten","lastenbeihilfen","wohnung","lücke","wohnungsbau","miete","mietrecht","wohnungsbaugesetz","sozialen","sozialen","wohnungen","stadt","mieter","düsseldorf","sozialen","olympischen","amtsgerichte","czaja","lauritzen","mieten","erpenbeck","sozialen","wohnung","höcherl","schneider","nutzungseigentum","vermieter","schneider","städtebau","eigentums","mieten","städtebau","privatisierung","kommunalen","haack","jahn","bindungen","bund","fehlbelegungsabgabe","gemeinden","mietrecht","waffenschmidt","jahn","wohnung","wohngeld","mieter","städtebau","schneider","städtebau","bauwesen","zöpel","städtebau","mietrecht","gemeinnützigen","stadt","mieter","mieten","mieten","städtebau","sozialen","sozialen","schwaetzer","städtebau","städtebau","mieter","ministerin","städtebau","wohneigentumsförderung","wohnungsbau","hildebrecht","baugesetzbuch","städtebau","stadt","wohnungspolitik","eichstädtbohlig","sozialen","wohngeld","grossmann","wohnungen","stadt","gemeindefinanzreform","reform","kommunale","mieter","kommunale","mieter","gemeinden","länder","wohngeld","bürgerentscheid","bedarfsgemeinschaften","stadt","länder","sanierung","kosten","frequenzen","vermieter","stadt","öpp","kommunalen","wohnungsbau","mieten","bund","mieter","gemeinden","wohnung","mieterinnen","städte","mieter","wohnen","wohnungsbau","grundsteuer","bauen","bauen","bauen","innenstädte"
"10","flüchtlinge","wohnung","ländern","mietbeihilfen","hausbriefkästen","kleinsiedlung","dm","sozialen","sowjetzonenflüchtlinge","gemeinden","dm","wohnungszwangswirtschaft","wohnraumbewirtschaftung","familien","familien","jacobi","bundesbaugesetz","städtebau","vermieter","abschreibung","köln","familien","wohngeld","weissen","ländlichen","leibeserziehung","jacobi","städte","urkunde","sanierung","mieten","wohngeld","wohnungsbau","sozialwohnungen","mieter","kommission","wohnungseigentümer","eigentums","jahn","raumordnungspolitik","schneider","städtebau","städtebau","mieten","kommunen","haack","städtebaupolitik","wohnen","einkommensgrenzen","bauwesen","nachfrage","sperling","wohnungsmarkt","städten","schneider","vertragsfreiheit","schneider","abteilungsleiter","architekten","bauwesen","raumordnung","wohnung","nordrheinwestfalen","eigentümer","wohnung","wohnungsbau","oesterleschwerin","wohnungspolitik","sozialen","müntefering","wohnung","bauwesen","städtebau","bauwesen","raumordnung","wohnung","mieten","wohnungspolitik","bauwesen","wohnung","rönsch","franziska","hildebrecht","warnick","kansy","wohngeldreform","stadt","altschuldenhilfegesetz","eisenbahnerwohnungen","städte","bundesbaugesellschaft","baukultur","kommunale","kommunale","eichstädtbohlig","bund","gewerbesteuerumlage","kündigungsfristen","städte","städten","städten","bund","kosten","länder","städte","mieter","stadt","kommunale","sanierung","gebäudesanierung","wohnungen","sanierung","wohnung","wohnungsbau","städtebauförderung","stadt","mietspiegel","bezahlbaren","städte","kommunen","wohnung","bauen","städtebauförderung","wohnen","mietendeckel","wohnraum","kommunen","wohnung"
