"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","wirtschaft","eisen","wirtschaft","wirtschaft","wirtschaft","bundeswirtschaftsminister","bundeswirtschaftsminister","preisbindung","bundeswirtschaftsminister","unternehmungen","deist","bundeswirtschaftsminister","deist","unternehmen","wirtschaft","deist","bundeswirtschaftsminister","wirtschaftspolitik","wirtschaft","seeschiffahrt","kurlbaum","unternehmen","schiller","schiller","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","bundesbank","schiller","schiller","schiller","schiller","inflation","bundesbank","stabilitätspolitik","inflation","strauss","wirtschaft","wirtschaft","puerto","wirtschaft","wirtschaft","strukturpolitik","unternehmen","wirtschaft","unternehmen","unternehmen","wirtschaft","wirtschaft","wirtschaft","arbeitslosigkeit","investitionszulage","wirtschaft","wirtschaft","arbeitslosigkeit","wirtschaft","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","wirtschaft","arbeitslosigkeit","arbeitslosigkeit","arbeitsplätze","wirtschaft","arbeitsplätze","unternehmen","ddr","ddr","ddr","wirtschaft","arbeitsplätze","wirtschaft","wirtschaft","arbeitsplätze","arbeitsplätze","arbeitsplätze","unternehmen","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitsplätze","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","mittelstand","mittelstand","deutschland","unternehmen","deutschland","unternehmen","mitbestimmung","deutschland","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","netzneutralität","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","digitalen","unternehmen","intelligenz","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","digitalisierung"
"2","kohle","wirtschaft","industrie","wettbewerb","bundeswirtschaftsminister","wirtschaft","wirtschaft","kartellbehörde","deist","deist","kohle","kohle","bundeswirtschaftsminister","wirtschaft","unternehmen","bundeswirtschaftsminister","deist","bundeswirtschaftsminister","marktwirtschaft","bundesregierung","kohle","wirtschaft","kohle","wirtschaft","wachstum","kohle","schiller","massnahmen","saar","schiller","schiller","wirtschaft","bundesbank","wirtschaft","wirtschaft","stabilität","inflation","strauss","bundesbank","inflation","investitionen","strauss","strauss","wachstum","unternehmen","wirtschaft","wachstum","unternehmen","wirtschaft","wirtschaft","unternehmen","unternehmen","lambsdorff","wirtschaft","wirtschaft","arbeitsplätze","investitionen","wirtschaft","arbeitsplätze","wirtschaft","arbeitsplätze","arbeitsplätze","unternehmen","arbeitsplätze","arbeitsplätze","arbeitslosigkeit","arbeitsplätze","wirtschaftspolitik","banken","marktwirtschaft","marktwirtschaft","marktwirtschaft","arbeitsplätze","unternehmen","unternehmen","unternehmen","wirtschaft","wirtschaft","wirtschaft","arbeitsplätze","arbeitslosigkeit","arbeitslosigkeit","unternehmen","unternehmen","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitsplätze","deutschland","mittelstand","unternehmen","unternehmen","unternehmen","handwerk","unternehmen","deutschland","unternehmen","unternehmen","deutschland","deutschland","arbeitsplätze","telekom","wettbewerb","arbeitsplätze","mittelstand","krise","brüderle","brüderle","handwerk","wirtschaft","mittelstand","wirtschaft","unternehmen","wirtschaft","handwerk","wirtschaft","digitalisierung","stahlindustrie","digitalisierung","digitalisierung","digitalisierung","digitalisierung","wirtschaft","digitalisierung","digitalisierung","digitalisierung","wirtschaft","unternehmen"
"3","deutschen","kohle","wirtschaftspolitik","kartelle","wirtschaftspolitik","investitionen","bergbau","bundeswirtschaftsminister","hellwig","unternehmen","privatisierung","konzentration","wirtschaft","deist","kurlbaum","unternehmen","kohle","kohle","wettbewerb","wirtschaft","unternehmen","privatisierung","schmücker","schmücker","stabilität","bundeswirtschaftsminister","ruhr","schiller","schiller","aufwertung","wirtschaft","stabilität","wirtschaft","inflation","bundesbank","wirtschaft","stabilitätspolitik","bundesbank","strauss","bundesbank","friderichs","investitionen","rico","arbeitslosigkeit","marktwirtschaft","unternehmen","marktwirtschaft","programm","arbeitslosigkeit","biedenkopf","lambsdorff","lambsdorff","arbeitslosigkeit","arbeitsplätze","wettbewerbsfähigkeit","arbeitslosigkeit","unternehmen","unternehmen","arbeitslosigkeit","arbeitsplätze","unternehmen","wirtschaft","arbeitsplätze","unternehmen","wirtschaft","unternehmen","investitionen","arbeitslosigkeit","haussmann","währungsunion","staatsvertrag","wirtschaft","marktwirtschaft","wirtschaft","arbeitsplätze","arbeitsplätze","unternehmen","unternehmen","unternehmen","wirtschaft","unternehmen","unternehmen","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","deutschland","deutschland","arbeitsplätze","arbeitsplätze","deutschland","arbeitsplätze","mittelstand","deutschland","wachstum","mittelstand","deutschland","arbeitsplätze","arbeitsplätze","arbeitsplätze","deutschland","arbeitsplätze","aufschwung","wettbewerb","krise","arbeitsplätze","krise","aufschwung","brüderle","deutschland","wirtschaft","opel","mittelstand","mittelstand","mittelstand","digitalen","wirtschaft","digitalisierung","wirtschaft","unternehmen","wirtschaft","unternehmen","digitalisierung","wirtschaft","wirtschaft","wirtschaft","digitalen","digitalen"
"4","deutschland","montanunion","kohle","bundeswirtschaftsminister","ausschreibung","deist","kohle","markt","kohle","wirtschaft","bundeswirtschaftsminister","bergbau","niedersachsen","aktionäre","vermögensbildung","wirtschaft","wirtschaft","wirtschaft","investitionen","massnahmen","wirtschaft","preisbindung","bergbau","bundesbank","bundesbank","schiller","wirtschaftspolitik","bundeswirtschaftsminister","bundeswirtschaftsminister","bundesbank","stabilität","bundesbank","stabilität","preissteigerungen","wirtschafts","strauss","stabilität","inflation","stabilität","wirtschaft","aufschwung","arbeitslosigkeit","unternehmen","investitionen","mittelstand","wirtschaftspolitik","wirtschaft","wachstum","wachstum","wachstum","kiep","japan","unternehmen","unternehmen","unternehmen","investitionen","arbeitsplätze","arbeitsplätze","lambsdorff","protektionismus","wirtschaft","unternehmen","arbeitslosigkeit","wirtschaft","bangemann","bangemann","arbeitslosigkeit","wachstum","wirtschaft","unternehmen","lafontaine","investitionen","investitionen","investitionen","wirtschaftspolitik","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","rexrodt","arbeitslosigkeit","beschäftigung","wirtschaft","deutschland","deutschland","deutschland","wirtschaft","politik","wirtschaft","arbeitslosigkeit","deutschland","arbeitsplätze","deutschland","wachstum","betriebe","clement","arbeitsplätze","prozent","wachstum","wachstum","mittelstand","mittelstand","glos","post","deutschland","wirtschaft","wettbewerb","wirtschaft","wirtschaft","wirtschaft","rösler","wettbewerb","mittelstand","telekom","deutschland","wirtschaft","one","industrie","industrie","digitalen","wirtschaft","digitale","digitale","digitalen","intelligenz","digitale","daten","digitalisierung","digitale"
"5","deutsche","behörde","bundeswirtschaftsminister","industrie","konjunkturpolitik","bundesregierung","deist","wirtschaft","wirtschaft","bundeswirtschaftsminister","unternehmungen","unternehmen","unternehmungen","eigentum","konzentration","erhard","bergbau","deist","unternehmen","wettbewerb","bundesregierung","wettbewerb","wirtschaft","stabilität","wirtschaftspolitik","ruhr","bundeswirtschaftsminister","aufwertung","saarland","bundeswirtschaftsminister","aufwertung","stoltenberg","müllerhermann","stabilität","stabilität","bundeskanzler","marktwirtschaft","lambsdorff","stabilitätspolitik","arbeitslosigkeit","arbeitslosigkeit","aufschwung","wirtschaft","wirtschaftspolitik","wachstum","wachstum","biedenkopf","arbeitslosigkeit","biedenkopf","wirtschaftspolitik","wirtschaftspolitik","arbeitsplätze","investitionen","lambsdorff","investitionen","unternehmen","arbeitslosigkeit","investitionen","unternehmen","wachstum","investitionen","investitionen","bangemann","politik","unternehmen","investitionen","wachstum","wirtschaft","arbeitsplätze","wirtschaft","einheit","unternehmen","unternehmen","arbeitslosigkeit","investitionen","rexrodt","beschäftigung","lafontaine","arbeitslosigkeit","deutschland","deutschland","deutschland","beschäftigung","politik","prozent","wirtschaftspolitik","arbeitslosigkeit","arbeitslosigkeit","mittelstand","wachstum","wachstum","prozent","wirtschaft","handwerksordnung","wirtschaft","wirtschaft","wachstum","mittelstand","prozent","wirtschaft","wirtschaft","wettbewerb","deutschland","marktwirtschaft","arbeitsplätze","wirtschaft","wachstum","wachstum","mittelstand","mittelstand","wachstum","deutschland","internet","digitalen","digitale","digitalisierung","digitalen","arbeitsplätze","ministererlaubnis","maritime","siemens","künstliche","digitale","digitale","innovationen","ki","intelligenz","wirtschaft"
"6","schumanplan","wirtschaftspolitik","abkommen","erhard","investitionen","massnahmen","öffentlichen","hand","stiftung","bundesschatzminister","wirtschaft","deist","privatisierung","unternehmungen","massnahmen","arbeitnehmer","wirtschaftspolitik","bergbau","luitpoldhütte","unternehmen","bergbau","kurlbaum","gutachten","kohle","schiller","strukturpolitik","kohle","wirtschaftspolitik","aufwertung","müllerhermann","massnahmen","inflation","freigabe","unternehmen","inflation","schiller","stabilitätsabgabe","preise","lambsdorff","friderichs","müllerhermann","müllerhermann","mittelstandspolitik","marktwirtschaft","friderichs","arbeitslosigkeit","währungssystem","arbeitsplätze","marktwirtschaft","subventionen","arbeitslosigkeit","bundesbank","arbeitsplätze","investitionen","arbeitslosigkeit","lambsdorff","lambsdorff","lambsdorff","wachstum","zinsen","bangemann","politik","roth","investitionen","wirtschaftspolitik","wirtschaftspolitik","wirtschaftspolitik","unternehmen","wettbewerb","bundesrepublik","investitionen","arbeitsplätze","arbeitslosigkeit","betriebe","ostdeutschland","solidarpakt","deutschland","rexrodt","wirtschaftspolitik","rexrodt","wirtschaft","beschäftigung","politik","wirtschaft","arbeitsmarkt","politik","mehr","wachstum","wachstum","prozent","prozent","wachstum","clement","wirtschaft","handwerk","prozent","clement","wirtschaft","mittelstand","brüderle","wachstum","deutschland","arbeitsplätze","wirtschaft","marktwirtschaft","marktwirtschaft","mittelstand","marktwirtschaft","aufschwung","wachstum","deutschland","heil","wirtschaft","industrie","digitalen","digitale","mittelstand","wirtschaft","arbeitsplätze","digitale","mittelstand","digitalen","innovationen","digitalen","digitalen","digitalen","digitale","mittelstand"
"7","industrie","stahlindustrie","wirtschaftspolitischen","kartell","kohle","markt","preis","wirtschaftspolitik","bergbau","aktien","bergbau","wirtschaft","volkswagenwerk","konzentration","burgbacher","aktionär","massnahmen","wirtschaftsbericht","bundeswirtschaftsminister","preise","bundeswirtschaftsminister","veba","preise","stahlindustrie","bundeswirtschaftsminister","bergbau","saar","aussenwirtschaftlichen","massnahmen","wirtschaftspolitik","wirtschaftspolitik","müllerhermann","wirtschaftspolitik","rezession","strauss","arbeitslosigkeit","massnahmen","bundesfinanzminister","wirtschaftspolitik","wirtschaftspolitik","bundeskanzler","friderichs","mittelstand","bundeswirtschaftsminister","arbeitslosigkeit","jahreswirtschaftsbericht","arbeitslosigkeit","subventionen","lambsdorff","marktwirtschaft","investitionen","arbeitslosigkeit","graf","investitionszulage","gemeinschaftsinitiative","graf","bundesbank","wachstum","wirtschaftspolitik","unternehmen","wirtschaftspolitik","wachstum","wirtschaftspolitik","mehr","investitionen","wachstum","unternehmen","roth","fusion","wirtschafts","wirtschaft","wirtschaftspolitik","ddr","marktwirtschaft","arbeitslosigkeit","gewerkschaften","wirtschaftspolitik","wirtschaftspolitik","arbeitsmarkt","wirtschaftspolitik","mehr","politik","mehr","mehr","politik","deutschland","wachstum","mittelstand","wirtschaft","arbeitslosigkeit","wirtschaft","wirtschaft","arbeitsplätze","mittelstand","mehr","clement","arbeitsplätze","clement","wirtschaft","wachstum","wettbewerb","mittelstand","wirtschaft","nokia","wettbewerb","subventionen","arbeitsplätze","post","deutschland","heil","rösler","bochum","freien","digitale","breitbandausbau","bürokratie","arbeitsplätze","deutschland","mittelstand","maritimen","digitalen","ki","startups","daten","daten","digitale","innovationen","innovationen"
"8","millionen","bundeswirtschaftsminister","millionen","kartellbehörde","industrie","kohle","hand","kurlbaum","unternehmungen","privatisierung","aktien","heizölsteuer","unternehmen","bundeswirtschaftsminister","bundeswirtschaftsminister","kurlbaum","investitionen","energiepolitik","massnahmen","handelsflotte","massnahmen","markt","bundeswirtschaftsminister","bundeswirtschaftsminister","aktion","saar","massnahmen","bundesbank","bundesbank","jahreswirtschaftsbericht","strukturpolitik","preissteigerungen","bundesregierung","wirtschafts","müllerhermann","bundesbank","narjes","massnahmen","müllerhermann","lambsdorff","kohl","ehrenberg","aufschwung","friderichs","investitionen","investitionen","lambsdorff","investitionen","wettbewerb","selbständigen","arbeitsplätze","kiep","bundesbank","bundesbank","arbeitsplätze","wachstum","graf","zinsen","investitionen","wirtschaftspolitik","wachstum","arbeitsmarkt","politik","beschäftigung","roth","wirtschaft","bangemann","investitionen","wachstum","haussmann","arbeitslosigkeit","betriebe","betriebe","aufschwung","osten","ostdeutschland","lafontaine","beschäftigung","deutschland","mittelstand","lafontaine","wachstum","investitionen","rexrodt","mehr","mittelstand","arbeitsmarkt","banken","arbeitsmarkt","wirtschaft","arbeitslosigkeit","arbeitslosigkeit","prozent","clement","prozent","wachstum","opel","arbeitslosigkeit","land","bürokratieabbau","glos","aufschwung","marktwirtschaft","beschäftigten","glos","mittelstand","deutschland","arbeitsplätze","arbeitsplätze","marktwirtschaft","arbeitsplätze","wettbewerb","handwerk","wettbewerb","internet","industrie","edeka","internet","fusion","daten","facebook","wirtschaft","ki","industrie","blockchain","intelligenz","daten","digital"
"9","behörde","stahl","massnahmen","bundeswirtschaftsministerium","deist","konjunktur","unternehmungen","deist","behörde","hellwig","unternehmen","erhard","erhard","aufwertung","schmücker","aktionäre","entwicklung","entwicklung","erhard","kurlbaum","steinkohlenbergbau","unternehmungen","massnahmen","konjunktur","massnahmen","wirtschaftspolitik","jahreswirtschaftsbericht","absicherung","mittelständischen","massnahmen","wachstum","konjunktur","aufwertung","wirtschaftspolitik","wirtschaftspolitik","finanzen","wirtschaft","graf","graf","ehrenberg","programm","lambsdorff","investitionen","lambsdorff","wirtschaftspolitik","marktwirtschaft","jahreswirtschaftsbericht","marktwirtschaft","sachverständigenrat","pieroth","leistungsbilanzdefizit","hochzinspolitik","entwicklung","zinsen","wirtschaftspolitik","bundeswirtschaftsminister","roth","graf","aufschwung","aufschwung","roth","beschäftigung","wachstum","roth","wachstum","roth","weltwirtschaft","mehr","roth","arbeitsplätze","einigungsvertrag","menschen","einheit","osten","einheit","osten","wachstum","arbeitsplätzen","wachstum","politik","wachstum","mehr","wirtschaft","beschäftigung","wirtschaft","mehr","wirtschaft","mittelständischen","mehr","arbeitsmarkt","wirtschaftspolitik","politik","arbeitslosigkeit","prozent","bürokratie","mehr","mittelstand","prozent","clement","bürokratie","bürokratieabbau","airbus","mehr","mittelstand","deutschland","bürokratieabbau","wirtschaftspolitik","krise","wettbewerb","brüderle","industrie","rösler","berufe","investitionen","industrie","deutschland","wettbewerb","forschungsförderung","wettbewerb","agenda","wettbewerb","innovationen","forschungsförderung","künstliche","altmaier","innovation","marktwirtschaft","transformation"
"10","hohen","deutschen","deutschen","kartellen","massnahmen","bergbau","volkswagenwerk","hellwig","wirtschaftspolitik","gesellschaften","wirtschaftspolitik","aktien","eigentum","aktie","kartellgesetz","eigentum","energiepolitik","bundesregierung","entwicklung","reedereien","markt","schmücker","steinkohle","massnahmen","investitionen","massnahmen","investitionen","strukturpolitik","wirtschaftspolitik","stabilität","bundeswirtschaftsminister","bundeswirtschaftsminister","preissteigerungen","bundesbank","washington","vollbeschäftigung","konjunkturzuschlag","konjunkturpolitik","wirtschaft","müllerhermann","bundesbank","rezession","friderichs","programm","strauss","bundeswirtschaftsminister","bundesbank","nachfrage","wirtschaftspolitik","arbeitslosigkeit","graf","ausland","kiep","gemeinschaftsinitiative","politik","gewerkschaften","zinsen","roth","graf","lambsdorff","beschäftigung","aufschwung","mehr","wirtschaftspolitik","subventionen","politik","politik","bundesrepublik","marktwirtschaft","staatsvertrag","wirtschafts","einheit","lambsdorff","neuen","westen","investitionen","rexrodt","politik","politik","arbeitsplätzen","politik","prozent","arbeitsmarkt","arbeitsmarkt","mittelstand","lafontaine","mittelstand","holzmann","politik","brüderle","steuerreform","betriebe","bürokratie","wachstum","arbeitsplätze","betriebe","wirtschaft","gewerkschaften","marktwirtschaft","mehr","brüderle","bürokratie","meyer","unternehmens","bürokratieabbau","post","wettbewerb","wettbewerb","krise","wirtschaftsminister","industriepolitik","lindner","industrie","arbeitsplätze","agenda","arbeitsplätze","internet","stahl","markt","arbeitsplätze","marktwirtschaft","forschungsförderung","intelligenz","ki","startups","deutschland","innovation","startups"
