"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","antrag","antrag","antrag","antrag","antrag","antrag","antrag","schwestern","besoldungsgruppe","kennzeichnungspflicht","sports","frau","apotheke","arzneimitteln","arzt","warentests","rezeptpflicht","ärzte","wilhelmshaven","arzneimittel","hubert","aufsichtsrat","gesundheitswesen","anmeldungen","patentamt","tankstellengewerbes","herr","sachkundenachweis","untersuchungsausschuss","kg","gesinnungswandel","kollege","rassendiskriminierung","makler","münchen","arbeitenden","münchen","heizöl","wirtschaft","energieversorgung","energieprogramm","kohle","energie","energiepolitik","energiepolitik","energiepolitik","wolfram","kohle","kohle","kohle","kohle","kernenergie","kohle","kernenergie","solarenergie","kohle","programm","werften","stahlindustrie","saarland","nordrheinwestfalen","hessen","tschernobyl","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","nordrheinwestfalen","kernenergie","tschernobyl","kernenergie","grossforschungseinrichtungen","energieversorgung","forschung","kernenergie","forschung","kernenergie","raumfahrtindustrie","kernenergie","energien","kernenergie","energien","merkel","trittin","ukraine","energien","trittin","transporte","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","asse","energien","energien","energien","energien","energien","energiewende","energien","energiewende","energiewende","energien","energiewende","energien","energiewende","energiewende","energiewende","klimaschutz","co","co","klimaschutz","klimaschutz","klimaschutz","klimaschutz","energien"
"2","herr","präsident","präsident","personalrat","herren","aufsichtsrat","abs","antrag","ärzte","unertl","arzneimitteln","verordnungen","apotheker","arzneimittel","erben","verbraucheraufklärung","arzneimittel","arzt","arzneimittel","auflagen","hamm","aktiengesellschaft","krankenhäuser","patentamt","patente","porzellanindustrie","wort","unertl","süsterhenn","falk","herr","herr","wild","verbraucherbericht","spiele","münchen","saar","friderichs","preise","steinkohle","kohle","energiepolitik","patentübereinkommen","energie","kohle","fortschreibung","ausgleichsabgabe","energiepolitik","kernenergie","energiepolitik","kernenergie","fernwärme","energiepolitik","fortschreibung","boroffka","kohlepolitik","wolfram","stahlindustrie","wolfram","bremen","ruhrgebiet","kernenergie","kernenergie","tschernobyl","kohle","kohle","rheinhausen","kohle","kohle","kernenergie","energien","kernenergie","energiepolitik","film","kernenergie","vosen","braunkohle","energien","energien","luft","tschernobyl","stromeinspeisungsgesetz","gorleben","kernenergie","kernenergie","ausstieg","ausstieg","kernenergie","energien","trittin","werften","energiepolitik","eeg","wale","erneuerbaren","erneuerbaren","erneuerbaren","maritimen","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","energien","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","energien","energiewende","energien","energien","erneuerbaren","energien","energiewende","erneuerbaren","klimaschutzplan","energien","co","energiewende","klimaschutz","co","erneuerbaren","energien","klimaschutzgesetz","erneuerbaren"
"3","dr","dr","lesung","umdruck","präsident","mitbestimmung","meldepflicht","besoldungsgruppe","antrag","frau","dittrich","lebensmittelgesetz","kanka","energiewirtschaftsgesetzes","gesundheitsamt","unlauteren","contergan","fachlich","hexamethylentetramin","hamm","ministerin","gesellschaften","pflegesatzverordnung","patentamts","patentamts","altersheime","unternehmen","umwandlungen","hs","herr","richtig","ausbildungsberater","quecksilber","ortskräfte","patentamt","münchener","nationalstiftung","energieversorgung","gesellschaften","kohle","fortschreibung","tonnen","erfinder","kohle","energie","energie","energiepolitik","energie","energie","kernenergie","energiepolitik","energiepolitik","energien","energiepolitik","fortschreibung","wolfram","kohle","bremen","nordrheinwestfalen","kohle","saarland","nordrheinwestfalen","kernkraftwerke","cattenom","stahlindustrie","rheinhausen","brüter","energien","energiepolitik","energien","wasserstoff","energiepolitik","steinkohle","elektrofahrzeuge","brunsbüttel","technologie","forschung","kernenergie","atomenergie","morsleben","morsleben","kohle","energien","grill","bundesministerin","kernenergie","kernenergie","ausstieg","kernenergie","gorleben","kernenergie","grill","erneuerbaren","erneuerbaren","eeg","häfen","energiepolitik","häfen","sellafield","energiepolitik","gabriel","klimaschutz","strom","strom","erneuerbaren","strom","röttgen","laufzeitverlängerung","kernenergie","energiewende","erneuerbaren","erneuerbaren","altmaier","erneuerbaren","energiewende","erneuerbaren","erneuerbaren","energien","klimaschutz","erneuerbaren","energiewende","klimaschutz","energien","energien","energien","erneuerbaren","energien","gas"
"4","lesung","herr","umdruck","lesung","dr","mitbestimmungsgesetz","dr","gesetz","amtsbezeichnung","gesetz","stammberger","krabben","dittrich","elbrächter","krankheiten","lieferprämie","hubert","ärzten","hubert","hubert","gesundheit","hauptversammlung","krankenanstalten","anmeldung","anmeldungen","umwandlungen","vergleich","marokko","zeugin","abgeordneter","vermerk","flugblatt","rüböl","hausfrauenparlament","olympischen","heute","riedl","energieprogramm","bundeskartellamt","russe","energiepolitik","energie","patentamts","bundesregierung","energiepolitischen","kohle","kohle","öl","steinkohle","öl","öl","kohle","stahlindustrie","kohle","programm","steinkohle","programms","hdw","reuschenbach","stahlindustrie","bremen","landesregierung","landesregierung","wallmann","hessen","landesregierung","tschernobyl","nordrheinwestfalen","steinkohle","kohle","energieversorgung","steinkohle","energieversorgung","elektrofahrzeugen","risse","kernenergie","steinkohle","steinkohle","nutzung","dasa","endlager","windenergie","transporte","nordrheinwestfalen","transporte","pallas","trittin","energiepolitik","energiepolitik","kernenergie","energiepolitik","hirche","verbändevereinbarung","walfang","energiepolitik","eeg","kernenergie","erneuerbaren","kernenergie","ministererlaubnis","wettbewerb","energieeffizienz","wettbewerb","klimaschutz","strom","biogas","erneuerbare","energiekonzept","japan","röttgen","röttgen","eegumlage","erneuerbaren","eeg","klimaschutz","klimaschutz","klimaschutz","fracking","energien","strom","energien","erneuerbaren","energiewende","erneuerbaren","wasserstoff","energiewende","klimapolitik","klimaschutz"
"5","präsident","herren","herr","präsident","fraktion","abs","arzt","dienst","enthalten","stoffe","antrag","lange","apotheken","philipp","seidl","arzneimitteln","frau","verletzten","ärzte","arzneimittelgesetz","ärzte","publizität","krankenhauswesen","prüfung","ortskräfte","unternehmen","sperrminorität","befähigungsnachweis","lenz","worden","datum","alternativrechnungen","olympiabaugesellschaft","kollege","europäische","abgeordnete","sparkassen","mineralölwirtschaft","konzerne","energieprogramm","wolfram","russe","energieeinsparung","fortschreibung","kernenergie","energieprogramms","narjes","kernenergie","energieversorgung","umweltpolitik","energie","öl","tonnen","energiepolitischen","menzel","reuschenbach","hdaprogramm","bremer","kohle","wolfram","regionen","kohle","nordrheinwestfalen","landesregierung","steinkohle","nordrheinwestfalen","landesregierung","energiepolitik","energieversorgung","energie","energiequellen","energiepolitischen","tschernobyl","energien","forschung","energiepolitik","energiepolitik","energiepolitik","stromeinspeisungsgesetz","kernenergie","energien","stromeinspeisungsgesetzes","energiepolitik","strom","atomenergie","energien","stadtwerke","erneuerbaren","transporte","atomenergie","ausstieg","erneuerbaren","strom","eeg","photovoltaik","erneuerbare","erneuerbare","maritime","energiepolitik","energie","endlager","kernenergie","klimaschutz","energie","energie","erneuerbare","gorleben","erneuerbare","erneuerbare","energieeffizienz","strom","altmaier","gorleben","strom","energieeffizienz","fracking","strom","strom","erneuerbaren","mieterstrom","erneuerbaren","energien","erneuerbaren","energiewende","energiewende","wasserstoff","erneuerbaren","energie"
"6","damen","fraktion","dr","anträge","lesung","herren","vizepräsident","hubert","krankenschwestern","stammberger","präsident","bier","stammberger","hubert","hof","werbung","arzneimitteln","zugelassen","krankenhaus","gesundheit","bekämpfung","gesellschaft","bundespflegesatzverordnung","prüfer","prüfer","umsatz","patente","speisen","referat","täuschung","damm","ötvjugend","fleissarbeit","hermsdorf","olympische","ausschussbeschlüsse","koreakrise","gesellschaften","preisprüfungsverfahren","wolfram","russe","steinkohle","rationellen","energieprogramms","wolfram","energieversorgung","fortschreibung","tokio","wolfram","wolfram","energieversorgung","energien","energie","energieprogramms","energie","erin","produktion","lambsdorff","arbedsaarstahl","steinkohle","stahlindustrie","ibbenbüren","montanmitbestimmung","kohle","konsens","stahlindustrie","kernkraftwerke","ruhrgebiet","nordrheinwestfalen","energiepolitik","forschung","energieversorgung","energie","mosdorf","kernkraftwerke","gesundheitsforschung","morsleben","kohle","energieversorgung","raumfahrt","sachsenanhalt","erneuerbare","strom","ahaus","entsorgung","energiepolitik","kraftwärmekopplung","kraftwärmekopplung","morsleben","ausstieg","erneuerbaren","eeg","energiepolitik","bergbau","erneuerbare","förderung","endlager","steinkohle","energieeffizienz","öl","strom","kohle","preise","kraftwärmekopplung","gorleben","energie","fotovoltaik","röttgen","kernkraftwerke","energie","energieeffizienz","strom","klimaschutz","energieeffizienz","eeg","kwk","energieeffizienz","eeg","endlager","klimaschutz","sektoren","klimawandel","strom","wasserstoff","eeg","strom","industrie","ausbau"
"7","herren","umdruck","vizepräsident","gewerkschaften","vizepräsident","präsident","herren","dr","patienten","elbrächter","arzneimittel","kollegin","apothekers","stammberger","erbrecht","verbraucher","hersteller","heilbehandlung","tübingen","bestellungen","gesundheitspolitik","wilhelmi","hamm","verschobenen","bestallung","andeutungsweise","dummen","tunesien","zeugen","bundesminister","juli","annehme","hugo","verbraucher","europäischen","reuter","liegenschaften","mengen","mineralölgesellschaften","verstromungsgesetz","benzin","wolfram","patentamt","energieversorgung","narjes","narjes","energieversorgung","luft","energiepolitik","narjes","wolfram","ausbau","kernenergie","steinkohle","sonnenenergie","tonnen","langfristig","hamburg","lambsdorff","energieversorgung","jochimsen","rau","ausstieg","brokdorf","tschernobyl","steinkohle","nordrheinwestfalen","energie","riesenhuber","energieversorgung","nutzung","energie","kozloduj","riesenhuber","braunkohle","wissmann","kohle","technologie","energiepolitik","endlager","stoffe","regenerativen","entsorgung","landesregierung","reaktorsicherheit","wiederaufbereitung","energien","grill","kraftwärmekopplung","werften","atomenergie","kernenergie","biomasse","iwc","kernenergie","biomasse","regulierungsbehörde","port","atomenergie","kernenergie","gorleben","energie","erneuerbare","prozent","gabriel","energieeffizienz","kernenergie","strom","energiewende","gorleben","photovoltaik","eeg","solarindustrie","energie","kohle","krischer","kohle","ausbau","gorleben","tihange","klimaziele","strom","gas","strom","strom","energie","strom","strom"
"8","gesetz","damen","herren","dr","abs","arbeitsdirektor","bitten","ärzte","steinbiss","apotheke","gesundheit","dittrich","verpachtung","lange","arztwahl","hubert","gutachten","berufsgenossenschaften","landesversicherungsanstalten","wassers","vorsorgeuntersuchungen","aktionäre","gesellschaften","reischl","fragebögen","gmbh","gmbh","einzelhandel","juli","illegal","rache","rückführung","stinnes","haushaltungsvorstand","patentamts","saar","friderichs","november","heizöl","energiepolitik","wirtschaftsausschuss","energieverwendung","internationalen","energiepolitischen","bergbau","energiepolitischen","energie","heizöl","energiepolitischen","energie","energiepolitischen","energie","erdgas","riesenhuber","raumfahrtpolitik","bergbau","industrie","subventionen","stahlunternehmen","energiepolitik","regionalpolitik","stahlindustrie","jochimsen","kernkraftwerke","energiepolitik","arbeitsplätze","kalkar","steinkohle","wackersdorf","landesregierung","erneuerbaren","energien","kohle","elektroautos","energie","matthias","technologie","artikelgesetz","mochovce","energien","abfälle","montanunion","morsleben","schütz","ausstieg","umweltminister","strom","strom","gorleben","zwischenlager","anlagen","energieversorgung","verbändevereinbarungen","erneuerbare","china","kosten","gorleben","package","energie","energiegipfel","bundesnetzagentur","energiepolitik","verbraucher","erneuerbare","kernenergie","ccs","eeg","brennelementesteuer","strom","energiepolitik","asse","cent","emissionshandel","eegumlage","strom","gabriel","kwk","klimaschutz","endlagerung","kohle","kohleausstieg","wald","kohleausstieg","emissionshandel","eegumlage","nachhaltigkeit","co","energieversorgung"
"9","fraktion","entschliessung","damen","vizepräsident","umdruck","vizepräsident","körperbehinderten","krankenpflege","beamten","präsident","arzneimittelgesetz","gesetz","frau","apotheken","stammberger","arzneimittelgesetzes","werbung","hubert","fischwirtschaft","tierärzte","säuglingssterblichkeit","konzern","krankenhauswesens","prüfungsverfahren","vertragsbedingungen","wirtschaft","fragezeichen","israel","staatsanwaltschaft","monatsdurchschnitt","fahne","einstellen","lippe","verbraucheraufklärung","justiz","strasser","verbraucherpolitik","energie","energie","fortschreibung","tonnen","energieversorgung","gebühren","wolfram","energieversorgung","energieverwendung","energieverwendung","energieversorgung","energieträger","umweltschutz","schleswigholstein","fortschreibung","energiepolitischen","energie","kohle","landesregierung","technologie","kohle","bremen","kernenergie","strukturschwachen","wuppermann","hessen","energiepolitik","kernkraftwerke","stahl","stahl","stahlindustrie","jahrhundertvertrag","daniels","faktenbericht","kernkraftwerke","greifswald","forschung","strom","energien","energien","schröder","kohle","forschung","reaktoren","plutonium","castortransporte","morsleben","grill","steenblock","tschernobyl","trittin","atommüll","endlager","grill","kurtdieter","erneuerbarer","steinkohle","energieversorgung","energie","energie","steenblock","kernkraftwerke","gabriel","kernenergie","erneuerbare","energie","verbraucher","klimaschutz","klimaschutz","strom","gorleben","netzausbau","strom","kraftwärmekopplung","energie","strom","erneuerbare","energie","strom","prozent","fukushima","marrakesch","anlagen","erreichen","anlagen","stream","klimapaket","kohleausstieg","co","copreis","energiewende"
"10","vizepräsident","vizepräsident","schmid","abgeordnete","änderungsantrag","dr","heilverfahren","frau","frau","ausnahmen","kollegin","gewerbeordnung","antrag","antrag","zuweisung","arzneimittelgesetz","verantwortung","jungmann","telegramme","arzneimitteln","gesundheitswesen","unternehmen","jungmann","patentamtes","mittlere","übertragung","anerkannten","gastwirt","firma","darauf","klatschen","uhr","zonenrand","verdienenden","standort","übersicht","lenders","situation","markt","energieprogramms","internationalen","energieprogramm","einzelerfinder","narjes","fortschreibung","heizölsteuer","kernenergie","preise","stoltenberg","importkohle","importkohle","energiepolitischen","stahlunternehmen","zubau","riesenhuber","nordrheinwestfalen","beschäftigten","bundeswirtschaftsminister","jochimsen","braunkohle","lammert","krupp","mai","ibbenbüren","ausstieg","ig","snr","nutzung","energien","saarland","energie","atomenergie","möllemann","elektroauto","tschernobyl","grundlagenforschung","raumfahrt","braunkohle","gorleben","technologie","gorleben","stahl","hague","niedersachsen","gewusst","energieversorgung","anlagen","anlagen","erneuerbaren","entsorgung","trittin","hustedt","erneuerbare","hustedt","werften","energiepolitik","energieeffizienz","kernenergie","energiemix","energieeffizienz","bundeskartellamt","atomenergie","gabriel","eeg","atomenergie","wettbewerb","klimaschutz","kernenergie","ccs","iter","energie","erneuerbare","eeg","klimaschutz","prozent","energieeffizienz","erneuerbare","tschernobyl","atomenergie","hendricks","emissionshandel","ziele","energie","klimawandel","energie","nord","kohleausstieg","erneuerbare"
