"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","gewerkschaften","arbeitgeber","kindergeld","bundesanstalt","kindergeld","arbeitnehmer","angestellten","arbeitnehmer","arbeiter","bauwirtschaft","selbständigen","arbeitnehmer","handwerk","sonntagsarbeit","arbeitnehmer","arbeit","berufsausbildung","bundesanstalt","bundesanstalt","berufsausbildung","arbeitnehmer","arbeitnehmer","arbeitnehmer","berufsausbildung","arbeitslosigkeit","bundesanstalt","arbeitnehmer","mitbestimmung","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeitnehmer","bundesanstalt","arbeitnehmer","arbeitnehmer","textil","mitbestimmung","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeitnehmer","bundesanstalt","bundesanstalt","vermögensbildung","arbeitnehmer","arbeitslosen","arbeitnehmer","arbeitnehmer","fuchs","montanmitbestimmung","arbeit","arbeitnehmer","bundesanstalt","neuwahlen","neuwahlen","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","toten","geschichte","plenarsaal","geschichte","bundeskanzler","parteien","berlin","berlin","parteien","berlin","berlin","berlin","berlin","berlin","berlin","verfassung","ard","berlin","kulturpolitik","berlin","klonen","kulturpolitik","demokratie","kultur","mahnmal","stiftungen","kultur","berliner","kulturpolitik","welle","kultur","kultur","film","kultur","welle","kultur","mauer","kultur","kultur","kultur","kultur","computerspiele","kultur","kultur","kultur","kultur","welle","kultur","namibia","kultur","kultur","kultur","kultur","israel","kultur","kulturgut","kultur","künstler","kultur","kultur","kultur","kultur","kultur","kultur","meinungsfreiheit","kultur"
"2","arbeitnehmer","arbeitnehmer","berufsgenossenschaften","kindergeld","familienausgleichskassen","angestellten","arbeitnehmer","sonntag","arbeitnehmer","winter","familienausgleichskassen","mittelständischen","arbeitnehmer","bundesanstalt","selbständigen","jugendlichen","selbständigen","mehrarbeit","arbeitszeit","gewerbeordnung","vermögensbildung","eigentum","leber","arbeitnehmer","arbeitnehmer","arbeitnehmer","mitbestimmung","arbeitnehmer","bundesanstalt","arbeit","vermögensbildung","mitbestimmung","bundesanstalt","betriebsrat","beruflichen","mitbestimmung","arbeit","seeschiffahrt","arbeitnehmer","bundesanstalt","bundesanstalt","mitbestimmung","gewerkschaften","arbeitnehmer","überstunden","schwarzarbeit","leistung","arbeitnehmer","bundesanstalt","humanisierung","arbeitszeitordnung","mitbestimmung","bundesanstalt","bundesanstalt","arbeit","partei","bundeskanzler","partei","ziesel","partei","volk","volk","mahnmal","bundeskanzler","geschichte","bundeskanzler","demokratie","geschichte","berliner","akademie","berlin","hauptstadt","geschichte","bonn","gedenkstätten","wache","umzug","grundgesetz","berlin","verfassung","religionsunterricht","umzug","berlin","kultur","guernica","berlin","denkmal","stiftung","berliner","kulturpolitik","kultur","kultur","kunst","welle","antisemitismus","welle","kultur","baukultur","opfer","bibliothek","baukultur","künstler","enquetekommission","kultur","medien","stiftung","stiftung","stiftung","polen","digitalisierung","musik","leistungsschutzrecht","künstler","kunst","künstler","welle","verwertungsgesellschaften","völkermord","film","kultur","welle","stiftungen","uploadfilter","meinungsfreiheit","medien","meinungsfreiheit","sprache","welle"
"3","arbeiter","winkelheide","angestellten","arbeitslosigkeit","kindergeldgesetz","übereinkommen","arbeitslosenversicherung","arbeitszeit","angestellten","bauarbeiter","arbeitnehmer","selbständigen","selbständigen","arbeitnehmer","betriebe","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeitnehmer","berufsausbildungsgesetz","eigentum","vermögensbildung","gewerkschaften","bundesanstalt","katzer","arbeit","bundesanstalt","bundesanstalt","beruflichen","bundesanstalt","bundesanstalt","betrieb","arbeit","mitbestimmung","arbeitnehmer","angestellten","sozialordnung","arbeitgeber","gewerkschaften","arbeit","arbeit","gewerkschaften","mitbestimmung","arbeit","arbeitnehmer","arbeitnehmer","buschfort","bundesanstalt","leitenden","arbeitslebens","arbeitnehmer","arbeitnehmer","arbeitnehmer","fuchs","fuchs","bundeskanzler","wähler","regierung","anklage","bundespräsident","vogel","vogel","geschichte","demokratie","demokratie","stadt","gmbh","akademie","senat","berliner","kultur","entscheidung","kultur","föderalismuskommission","demokratie","gedenkstätte","verfassung","verfassungskommission","stoiber","stiftungen","brandenburg","rundfunk","sprache","welle","revolution","gedenkstätten","bonn","kultur","demokratie","kultur","sprache","berliner","kulturpolitik","sprache","juden","kulturpolitik","rechtschreibung","kulturpolitik","teilung","nationalbibliothek","welle","künstlersozialversicherung","kulturpolitik","elser","film","staatsziel","versöhnung","kunst","kultur","filme","reagan","aufarbeitung","kreativwirtschaft","grütters","künstlersozialversicherung","juden","bildungspolitik","urheber","kulturelle","künstlerinnen","sprache","welle","meinungsfreiheit","medien","künstler","medien","medien","medien"
"4","arbeitgeber","kinderbeihilfen","selbständigen","arbeitsvermittlung","kindergeldgesetzes","arbeitslosenhilfe","arbeitslosigkeit","arbeitgeber","karenztage","arbeitslosigkeit","arbeitslosenversicherung","arbeitgeber","urlaub","sonntag","familienausgleichskassen","jugendliche","urlaub","arbeitsvermittlung","arbeit","entwurf","leber","gewerkschaften","katzer","arbeit","arbeitslosenversicherung","beruflichen","arbeit","arbeit","berufsausbildung","sozialordnung","tarifverträge","betriebsrat","vermögensbildung","angestellten","berufliche","betrieblichen","arbeitgeber","arbeitnehmer","aufsichtsrat","jugendlichen","buschfort","aufsichtsrat","rappe","arbeitslosen","arbeit","bundesanstalt","arbeitgeber","blüm","arbeitslosigkeit","gewerkschaften","staatssekretärin","blüm","fuchs","arbeit","arbeitnehmer","koalition","partei","koalition","koalition","brandt","volkes","kohl","volkes","mainz","plenarsaals","demokratie","geschichte","vollmer","kultur","stiftung","geschichte","bonn","bonn","beschluss","berliner","bannmeile","verfassungskommission","berlin","demokratie","guernica","expo","amateurfunk","klonens","berlin","film","naumann","demokratie","volk","film","landowsky","stiftung","architektur","staatsministerin","juden","kultur","deutsche","deutsche","breitenkultur","kultur","bücher","ethikrat","kulturellen","kulturelle","auslandsschulen","aufarbeitung","grundgesetz","vertreibung","bäume","künstler","aufarbeitung","polen","kreativwirtschaft","künstlerinnen","kulturpolitik","kunst","bauhaus","kulturelle","kultur","filme","kunst","deutsche","buchpreisbindung","urheberrecht","öffentlichrechtlichen","meinungsfreiheit","sprache","kultur","kunst"
"5","gesetz","kinderbeihilfe","arbeitnehmer","übereinkommen","denkschrift","bundesanstalt","arbeitslos","angestellten","gesetz","sommer","avavg","betriebe","handwerker","arbeitslosenversicherung","mittelständischen","friseurhandwerk","mittelständischen","arbeitskräfte","arbeitsvermittlung","wirtschaft","gewerkschaften","eigentumsbildung","bundesanstalt","arbeitslosenversicherung","arbeitsvermittlung","fortbildung","sozialordnung","arbeitgeber","älteren","rohde","arbeit","ruf","sozialordnung","leitenden","arbeit","seeschiffahrt","arendt","bekleidungsindustrie","angestellten","sozialordnung","sozialordnung","leitenden","pieroth","arbeitgeber","zweiradfahrer","pieroth","bundesanstalt","novelle","arbeitslosen","arbeitswelt","bundesanstalt","gewerkschaften","müller","blüm","urbaniak","oktober","regierung","wähler","bundeskanzlers","demokratie","kohl","volkes","gedenkstätte","volkes","bundeskanzler","gedenkstätte","erleichterungen","berlin","geschichte","geschichte","wahlrecht","verfassung","verfassung","umzug","volk","geschichte","kultur","grundgesetzes","verfassung","demokratie","berlin","medienbericht","embryonenschutzgesetz","rechtschreibung","volk","demokratie","juden","demokratie","gedenkstätten","stadt","deutschen","stadt","berliner","jüdischen","berliner","sprache","deutschen","berliner","berliner","deutsche","stiftung","kulturwirtschaft","musik","filme","geschichte","medien","enquetekommission","versöhnung","charta","access","stöbe","urheber","staatsleistungen","staatsministerin","künstlersozialkasse","aufarbeitung","kulturellen","film","bildungspolitik","welle","deutschen","buch","richtlinie","rundfunk","desinformation","plattformen","pressefreiheit","meinungsfreiheit"
"6","betriebsrat","selbstverwaltung","älteren","arbeitnehmer","kinder","selbständigen","einzelhandel","arbeiter","arbeiterschaft","arbeitnehmer","unfallversicherung","weihnachtsgratifikation","handwerks","sonntage","betrieb","jugendarbeitsschutzgesetz","betriebe","arbeit","jugendlichen","anfrage","tarifvertrag","arbeitnehmern","arbeitslosenversicherung","müller","bundesanstalt","arbeitslosigkeit","arbeitslosigkeit","kattenstroth","arbeitsförderungsgesetz","mitbestimmung","sozialordnung","gewerkschaften","arbeitgeber","einigungsstelle","arendt","halbdeckung","betriebsärzte","jugendvertreter","leitenden","buschfort","arbeitgeber","arbeitsdirektor","arbeit","beschäftigten","arbeitslosen","beteiligung","überstunden","arbeitslosigkeit","buschfort","vermögensbildung","blüm","müller","arbeitslosigkeit","ehrenberg","beschäftigung","wähler","koalition","hessen","regierung","volk","bundeskanzlers","herr","bundeskanzler","volk","sitzordnung","synagoge","volk","wissenschaften","kunst","salzgitter","fünfprozentklausel","stadt","museum","geschichte","gedenkstätte","kollwitz","grundgesetz","kultur","rundfunkanstalten","grundgesetzes","kultur","funkamateure","guernica","sprache","freiheit","reichstag","geschichte","berlin","stiftung","stiftung","film","schloss","kulturellen","deutschen","denkmal","deutschen","tempelhof","auswärtige","parteien","künstler","deutschen","kulturelle","kulturwirtschaft","film","börnsen","welterbestätten","vertriebenen","vertreibung","geschichte","reformation","herero","urheberrecht","kreativen","medien","kirchen","kultur","auswärtige","geschichte","kulturellen","urheberrecht","yücel","bücher","internet","afd","künstlerinnen","kolonialen","journalisten","desinformation"
"7","betrieb","übereinkommen","gesetz","arbeitslosen","arbeitnehmer","arbeitslosen","versicherungspflicht","arbeitswoche","arbeitgeber","bautätigkeit","arbeitszeit","handwerk","mindesturlaub","stahlindustrie","bundesanstalt","scheppmann","mindesturlaub","arbeitslosenversicherung","jugendarbeitsschutzgesetzes","berufsausbildungsgesetzes","vermögen","vermögenswirksame","arbeitsvermittlung","beruflichen","arbeit","umschulung","katzer","betriebsverfassungsgesetz","arbeit","arbeitnehmern","gewerkschaften","entwurf","beruflichen","arbeitgeber","sozialordnung","fdp","jugendarbeitsschutzgesetzes","arbeitssicherheit","franke","arbeitslosen","arbeitnehmern","arbeit","vermögensbildung","kollege","motorisierten","arbeit","kw","arbeit","arbeitsmarktpolitik","arbeit","mitbestimmung","arbeit","humanisierung","arbeitgeber","arbeitslosen","regierung","brandt","regierungserklärung","brandt","volkes","dregger","errungenschaft","opfer","kultur","volkes","volk","amp","demokratie","momper","wissenschaften","ddr","demokratie","bundestages","verlagerung","kultur","juni","geschichte","art","öffentlichrechtlichen","umzug","denkmal","wilhelm","berliner","deutschen","geschichte","medien","bonner","kunst","bund","berlin","denkmal","demokratie","film","deutsche","deutschen","nooke","sprache","stiftung","gedenken","neumann","aufarbeitung","konvention","kulturellen","washingtoner","filme","kulturpolitik","flucht","kinos","kinos","akten","ilse","film","vertreibung","kulturelle","medien","deutschen","grütters","versöhnung","kunst","werke","kunst","deutsche","kreativen","freiheit","kunst","kunst","afd","kulturpolitik"
"8","handwerk","angestellten","berufsgenossenschaft","kindergeldgesetz","kindergeldgesetzgebung","arbeitslose","bundesanstalt","stunden","missbrauch","baugewerbe","arbeitslosenhilfe","betrieb","schmücker","arbeitgeber","arbeitgeber","bundesanstalt","mittelstand","betriebe","arbeitslosenversicherung","ausbildung","mischnick","sozialordnung","arbeitszeit","arbeitsvermittlung","sozialordnung","arbeitslosenversicherung","arbeitsvermittlung","betrieb","berufliche","gewerkschaften","gesetz","betriebsräte","betrieb","betrieb","berufsausbildung","arbeitsplatz","bundesanstalt","arbeit","unternehmen","mitbestimmung","aufsichtsrat","bundesanstalt","arbeitnehmern","buschfort","arbeitsämter","vermögenspolitik","arbeit","arbeitsmarktpolitik","arbeit","arbeitsplatz","arbeitslosen","bundesanstalt","arbeitslosen","arbeitslosen","arbeitslosigkeit","blüm","genscher","csu","herr","unseres","koalition","partei","bundespräsidenten","ebert","volk","historischen","co","sitzordnung","bürgermeister","parteien","museum","parlament","deutschen","parlament","benjamin","käthe","demokratie","kulturpolitik","ministerpräsident","einheit","mahnmal","berliner","klonierung","kulturellen","demokratischen","freiheit","berlin","naumann","lammert","geschichte","demokratie","nidarümelin","deutschen","deutsch","staatsministerin","künstler","berliner","geschichte","ddr","kunst","neumann","börnsen","kunst","medien","griefahn","jugendoffiziere","steinbach","flucht","vertreibung","open","aufarbeitung","filme","urheberrecht","künstler","weltgemeinschaft","deutsche","deutschen","buchpreisbindung","filmförderung","journalistinnen","medien","vielfalt","plattformen","öffentlichrechtliche","journalisten","kolonialismus","netz","journalisten"
"9","selbstverwaltung","berufsgenossenschaften","arbeitgeber","selbstverwaltung","angestellten","arbeitslosigkeit","selbstverwaltung","bergbau","krankenstand","gewerkschaften","arbeitslosengeld","arbeitnehmerschaft","arbeitgeber","arbeitsweise","kindergeld","samstagnachmittag","ausbildungsförderung","arbeitsmarkt","stunden","industrie","sparen","leber","arbeit","avavg","avavg","sozialordnung","arbeitslosenversicherung","sozialordnung","arbeitslosigkeit","arbeitgeber","gesetzentwurf","arbeitgeber","mitbestimmung","gewerkschaften","arbeitgeber","betrieb","arbeitsplatz","arbeitsverhältnis","arbeit","ausländischen","ausländischen","angestellten","arbeitslosigkeit","gewerkschaften","arbeitgeber","rosenthal","sender","selbstverwaltung","blüm","rapp","gewerkschaften","mannesmann","arbeitsplatz","arbeitnehmern","leistungsempfängerquote","schmidt","arbeitnehmer","gerechtigkeit","saudiarabien","bundeskanzlers","erneuerung","demokratie","stadt","stadt","neubau","volkes","volkes","parteienfinanzierung","vollmer","senat","wahl","grundgesetz","parlament","konzeptkommission","verfassung","gewaltherrschaft","konzeptkommission","vogel","zdf","berliner","auswärtige","hansotto","dolly","rechtschreibreform","kultur","kulturpolitik","stadt","deutschen","zentren","demokratie","nidarümelin","geschichte","kulturelle","kulturstiftung","jüdischen","staatsministerin","barthel","musik","angehörigen","staatsziel","bundesstiftung","vielfalt","neumann","georg","rundfunk","denkmal","bdv","film","werke","kulturellen","verlage","künstler","künstlern","monika","reformierter","provenienzforschung","staatsministerin","deutschen","urheber","ausstellungsvergütung","kulturellen","parteinahen","urheberrechtsrichtlinie","vielfalt","fake","afd","plattformen","plattformen"
"10","angestellten","mitbestimmung","angestellte","arbeitslosenversicherung","gewerkschaften","sabel","angestellte","scheppmann","grippewelle","winterbau","gassmann","arbeitslosigkeit","beschäftiger","ermächtigung","gewerblichen","stunden","wirtschaft","stunden","sozialordnung","handwerk","eigentumsbildung","vermögenswirksamen","sozialordnung","berufsforschung","mitbestimmung","arbeitsmarkt","arbeitnehmern","betriebsrat","gesetz","ältere","berlin","beruflichen","fortbildung","rechte","ausbildung","sozialordnung","betrieb","betriebsärzte","arbeitnehmern","arbeitslosigkeit","beschäftigung","arbeitnehmern","urbaniak","schwarzarbeit","stutzer","gewerkschaften","vermögensbildung","zumutbarkeit","arbeitgeber","arbeitgeber","arbeit","unternehmen","arbeitnehmern","schwerbehinderten","einverständnis","genscher","grundgesetzes","mitbestimmung","jerusalem","koalition","entschädigung","regierung","erinnerung","künstler","dregger","vollmer","herr","spenden","stadt","kultur","volkskammer","geschichte","berlins","juni","volksentscheid","demokratie","kunst","einheit","kultur","stadt","kirchen","öffentlichrechtlichen","embryonenschutzgesetzes","film","verfassung","stiftungen","opfer","freiheit","geschichte","deutschen","geschichte","vertreibungen","christina","nooke","homosexuellen","auswärtige","rechtschreibreform","bildungspolitik","tor","palast","bildungspolitik","ethikrat","kreativwirtschaft","spiele","kulturpolitik","ermordeten","stiftungsrat","kulturelle","digitalisierung","opfer","deutschen","digitalisierung","kirchen","kreativen","künstlerinnen","beziehungen","medien","staatsleistungen","welle","künstlern","kulturelle","medien","kunst","kunst","news","inhalte","kulturelle","deutsche"
