"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","glaube","aufgabe","unserer","unserer","unserer","unserer","unserer","entwicklung","unserer","unserer","unserer","unserer","entwicklungshilfe","aufgabe","entwicklungshilfe","entwicklungshilfe","entwicklungshilfe","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","gesellschaft","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","müssen","müssen","müssen","müssen","müssen","müssen","unserer","müssen","eureka","unserer","grossforschungseinrichtungen","unserer","müssen","müssen","entwicklung","entwicklung","entwicklung","entwicklung","müssen","müssen","müssen","müssen","müssen","entwicklung","neuen","tourismus","entwicklung","öffentlichen","tourismus","entwicklung","entwicklung","entwicklung","entwicklung","tourismus","entwicklung","tourismus","tourismus","tourismus","enquetekommission","bereich","bereich","tourismus","bereich","bereich","bereich","bereich","bereich","müssen","tourismus","bereich","bereich","bereich","entwicklung","bereich","entwicklung","engagement","entwicklung","tourismus","engagement","tourismus","ländlichen","entwicklung","entwicklung","entwicklung","entwicklung","ländlichen","engagement","ländlichen","ländlichen","ländlichen","ländlichen","thw","wichtig","wichtig","stärken"
"2","unserer","unserer","aufgabe","aufgabe","aufgabe","aufgabe","entwicklung","politischen","staat","entwicklung","aufgabe","aufgabe","unserer","unserer","entwicklungsländern","unserer","müssen","müssen","aufgabe","menschen","aufgabe","unsere","unsere","unsere","regierungserklärung","unsere","unsere","unsere","unsere","menschen","gesellschaft","müssen","unserer","gesellschaft","gesellschaft","unsere","gesellschaft","gesellschaft","gesellschaft","gesellschaft","müssen","unsere","gesellschaft","unsere","unsere","unsere","unsere","unsere","müssen","müssen","müssen","menschen","müssen","menschen","unserer","unsere","unsere","unserer","unserer","menschen","unserer","unserer","menschen","unserer","gesellschaft","unserer","unserer","unserer","unserer","müssen","aufgabe","neuen","neuen","aufgabe","neuen","aufgabe","müssen","entwicklung","neuen","müssen","müssen","müssen","müssen","bereich","bereich","aufgaben","bedeutung","bereich","bereich","bereich","bereich","entwicklung","dienstleistungen","entwicklung","bereich","entwicklung","müssen","entwicklung","entwicklung","müssen","bereich","bereich","müssen","müssen","müssen","bereich","müssen","nachhaltige","bereich","wandel","bereich","menschen","ländlichen","gesellschaft","ländlichen","nachhaltige","bereich","ländlichen","entwicklung","ländlichen","müssen","regionen","regionen","ehrenamt","wichtig","stärken","stiftung","kommunen"
"3","immer","glaube","immer","unseres","unseres","entwicklung","aufgabe","unserer","politischen","politischen","staat","volkes","aufgabe","entwicklungshilfe","entwicklungsländer","aufgabe","unserer","aufgabe","müssen","aufgabe","unsere","aufgabe","regierungserklärung","müssen","unsere","menschen","menschen","menschen","menschen","aufgabe","menschen","menschen","menschen","müssen","müssen","unseres","aufgabe","müssen","staat","müssen","gesellschaft","müssen","unsere","aufgabe","unseres","aufgabe","probleme","müssen","unsere","menschen","menschen","müssen","unsere","unserer","menschen","probleme","menschen","unsere","unsere","unsere","probleme","gesellschaft","unsere","gesellschaft","müssen","entwicklung","entwicklung","müssen","technikfolgenabschätzung","unserer","müssen","entwicklung","aufgabe","neuen","aufgabe","ländern","bereich","bedeutung","entwicklung","neuen","entwicklung","entwicklung","bereich","neuen","müssen","bereich","müssen","internet","entwicklung","chancen","chancen","bereich","entwicklung","bedeutung","beispiel","bedeutung","wichtig","bedeutung","antrag","entwicklung","wichtig","müssen","wichtig","tourismus","wichtig","nachhaltige","wichtig","nachhaltigkeit","entwicklung","menschen","ländlichen","ländlichen","gesellschaft","entwicklung","bereich","menschen","nachhaltige","tab","wichtig","tourismus","menschen","wichtig","herausforderungen","tourismus","ort","ort","arbeit","wichtig"
"4","aufgabe","entwicklung","müssen","immer","glaube","politischen","politischen","staat","unseres","aufgabe","entwicklung","probleme","entwicklungsländer","immer","entwicklungspolitik","müssen","entwicklungsländern","unsere","zukunft","unsere","müssen","menschen","aufgabe","aufgabe","unseres","aufgabe","müssen","müssen","müssen","gesellschaft","müssen","gesellschaft","unsere","unsere","menschen","bürger","staat","bürger","gesellschaftlichen","bürger","staat","menschen","freiheit","unseres","probleme","entwicklung","aufgabe","menschen","menschen","bürger","unsere","unsere","menschen","unsere","unsere","unserer","unserer","aufgabe","aufgabe","müssen","unsere","probleme","eureka","müssen","zukunft","aufgabe","zukunft","gesellschaft","müssen","aufgabe","bedeutung","bereich","entwicklung","entwicklung","entwicklung","entwicklung","neuen","müssen","müssen","bedeutung","tourismus","bereich","neuen","müssen","gesellschaft","förderung","tourismuswirtschaft","tourismus","chancen","entwicklung","entwicklung","beispiel","bericht","wichtige","wettbewerb","wichtig","unserer","wichtig","dabei","bedeutung","entwicklung","entwicklung","bedeutung","entwicklung","entwicklung","herausforderungen","entwicklung","bereich","programme","bereich","entwicklung","bereich","menschen","bereich","gesellschaft","regionen","ländlichen","bereich","regionen","menschen","arbeit","müssen","raum","regionen","herausforderungen","arbeit","gute","gemeinsam"
"5","entwicklung","immer","unsere","unsere","politischen","unsere","unseres","aufgabe","entwicklung","unseres","volkes","politischen","politischen","staat","menschen","entwicklung","entwicklungspolitik","leben","aufgaben","immer","immer","unseres","müssen","menschen","aufgabe","müssen","zukunft","aufgabe","zukunft","unsere","zukunft","heute","aufgabe","menschen","unsere","müssen","menschen","aufgabe","unsere","unsere","bürger","entwicklung","entwicklung","müssen","freien","müssen","müssen","entwicklung","aufgabe","unsere","probleme","probleme","mehr","probleme","wichtig","menschen","probleme","menschen","menschen","probleme","aufgabe","menschen","müssen","bereich","aufgabe","unsere","entwicklungen","aufgabe","unsere","bereich","aufgaben","aufgabe","bereich","probleme","bereich","neuen","zukunft","menschen","zukunft","bereich","verwaltung","neuen","rahmenbedingungen","gesellschaft","unsere","neue","neue","neue","neue","bericht","internet","gesellschaft","tourismus","beispiel","bedeutung","chancen","bedeutung","tourismus","beispiel","wichtig","unserer","bedeutung","wichtige","wichtig","nachhaltige","beirat","unsere","müssen","menschen","demografischen","jugendtourismus","ehrenamt","entwicklung","menschen","menschen","müssen","müssen","müssen","förderung","gesellschaft","zukunft","lebensverhältnisse","engagement","engagement","arbeit","ganz","zusammenarbeit","herausforderungen"
"6","gerade","unseres","glaube","entwicklung","immer","unseres","unsere","immer","immer","immer","unsere","staat","hilfe","müssen","politischen","politischen","aufgabe","aufgaben","unsere","aufgaben","menschen","zukunft","unseres","unseres","menschen","entwicklung","entwicklung","politische","entwicklung","müssen","unsere","aufgabe","müssen","bereich","herren","gesellschaft","unsere","unsere","müssen","menschen","entwicklung","aufgabe","menschen","gesellschaft","menschen","probleme","entwicklung","bürger","entwicklung","aufgabe","aufgabe","gesellschaft","verantwortung","damen","mehr","schaffen","stärker","probleme","gesellschaft","gesellschaft","neue","müssen","gesellschaft","entwicklung","menschen","gesellschaft","unsere","bereich","menschen","technikfolgenabschätzung","unsere","dabei","rahmenbedingungen","bedeutung","zukunft","bedeutung","bedeutung","zukunft","bereich","aufgabe","neuen","rahmenbedingungen","bedeutung","aufgaben","neuen","neuen","entwicklung","müssen","rahmenbedingungen","beispiel","förderung","bericht","fördern","rahmenbedingungen","wichtige","müssen","ziel","müssen","hand","neue","bedeutung","unserer","herausforderungen","herausforderungen","unsere","müssen","zusammenarbeit","herausforderungen","nachhaltigkeit","herausforderungen","menschen","ehrenamtlich","bereich","müssen","nachhaltige","bereich","menschen","regionen","müssen","bericht","wichtig","entwicklung","räume","raum","förderung","ländlichen","herausforderungen","unsere"
"7","unsere","gerade","unseres","gerade","unsere","immer","staat","glaube","volkes","staat","politischen","verantwortung","staat","leben","hilfe","staat","entwicklung","zukunft","staat","müssen","aufgaben","volkes","menschen","entwicklung","müssen","zukunft","aufgabe","entwicklung","gesellschaft","entwicklung","entwicklung","damen","heute","damen","aufgabe","immer","müssen","menschen","freiheit","aufgaben","unsere","freiheit","aufgabe","probleme","staat","bereich","bürger","unseres","mehr","probleme","gesellschaft","aufgabe","aufgabe","herren","gerade","zukunft","aufgabe","staat","staat","aufgabe","menschen","unsere","probleme","bedeutung","probleme","menschen","bereich","unsere","forschung","unsere","gestaltung","probleme","unserer","menschen","menschen","rahmenbedingungen","rahmenbedingungen","rahmenbedingungen","aufgabe","unsere","staat","gesellschaft","gesellschaft","neue","förderung","gesellschaft","bereich","gesellschaft","müssen","neue","branche","unserer","beispiel","förderung","müssen","neue","vielfalt","bereichen","unsere","unserer","herausforderungen","wichtig","thema","menschen","tourismus","wichtig","menschen","unsere","herausforderungen","gesellschaft","gesellschaft","entwicklung","antrag","herausforderungen","herausforderungen","arbeit","herausforderungen","herausforderungen","programm","raum","gesellschaft","zukunft","wichtig","stiftung","unsere","herausforderungen","ort","ort"
"8","müssen","aufgaben","entwicklung","staat","entwicklung","staat","immer","unseres","menschen","heute","unseres","unsere","entwicklungsländern","unsere","aufgabe","volkes","unsere","staat","volkes","staat","politischen","immer","volkes","heute","heute","sozialen","aufgaben","zukunft","aufgaben","reformen","jahren","unsere","reformen","heute","heute","besonders","bürger","staat","bürger","freiheit","konzept","probleme","müssen","bürger","müssen","aufgaben","mehr","gesellschaft","probleme","mehr","zukunft","staat","probleme","aufgabe","damen","aufgabe","schaffen","gesellschaft","zukunft","neue","gesellschaft","aufgaben","damen","aufgaben","unsere","aufgaben","gesellschaft","zukunft","bedeutung","bedeutung","neuen","menschen","wichtig","bereich","bedeutung","strukturen","aufgabe","unsere","bedeutung","aufgaben","bereich","neue","verwaltung","zukunft","stärkung","müssen","rahmenbedingungen","chancen","bedeutung","bundesregierung","bedeutung","rahmenbedingungen","chancen","deutschland","bericht","nutzen","entwicklung","bereiche","wichtig","unseres","neue","unsere","unsere","wichtige","thema","bedeutung","herausforderungen","wichtig","programm","thema","wandel","gesellschaft","herausforderungen","tourismus","thema","wichtig","nachhaltigkeit","arbeit","gesellschaft","gute","förderung","bereich","digitalisierung","menschen","regionen","engagement","thema","freue"
"9","möchte","gebiet","sagen","glaube","müssen","glaube","müssen","unsere","glaube","menschen","immer","heute","volkes","entwicklung","müssen","dabei","gebiet","menschen","immer","entwicklung","staat","müssen","gesellschaft","grosse","aufgaben","aufgaben","heute","politischen","aufgabe","heute","aufgabe","zukunft","damen","bedeutung","unseres","herren","unseres","zukunft","menschen","staat","probleme","gesellschaft","bedeutung","menschen","mehr","unseres","immer","aufgabe","aufgaben","zusammenarbeit","staat","entwicklungen","entwicklungen","wichtig","probleme","staat","herren","zukunft","damen","gesellschaftlichen","entwicklung","technologien","aufgaben","forschung","enquetekommission","zukunft","aufgaben","menschen","gesellschaftlichen","aufgaben","bereich","herausforderung","bedeutung","wichtig","unserer","unserer","menschen","aufgabe","menschen","verwaltung","aufgaben","strukturen","zukunft","tourismus","zukunft","ländern","förderung","rundfunk","beispiel","regionen","beispiel","neuen","deshalb","fördern","fördern","antrag","internet","wichtige","rahmenbedingungen","bereichen","tourismus","engagement","entwicklung","bedeutung","herausforderungen","menschen","bedeutung","beirat","wichtig","tourismus","herausforderungen","herausforderungen","enquetekommission","thema","nachhaltigkeit","nachhaltigkeit","gesellschaft","gesellschaft","bereich","arbeit","regionen","raum","tourismusstrategie","stärken","gesellschaft","zukunft","ganz","zusammenarbeit"
"10","sagen","arbeit","staat","müssen","staat","grossen","menschen","freunde","aufgabe","gewissen","müssen","müssen","menschen","heute","staat","leben","aufgaben","politischen","leistung","freien","heute","staat","heute","staat","volkes","unseren","staat","bildung","jahren","jahren","heute","reformen","entwicklung","neue","damen","bundesrepublik","freiheit","freiheit","entwicklung","bereich","damen","unseres","mehr","politischen","zukunft","menschen","unseres","mehr","zusammenarbeit","freien","neue","bereich","herren","zukunft","herren","herren","staat","herren","bereich","chancen","damen","aufgabe","entwicklung","menschen","entwicklung","zusammenarbeit","aufgabe","bedeutung","bereich","probleme","gesellschaft","bedeutung","länder","unserer","ländern","bereich","ländern","neue","rahmenbedingungen","menschen","neue","unserer","strukturen","rahmenbedingungen","aufgaben","bedeutung","volksfeste","informations","förderung","internet","fördern","wichtige","unserer","dienstleistungen","wichtig","wichtige","antrag","nachhaltigkeit","wichtige","menschen","wichtige","wichtige","unserer","neue","nachhaltigkeit","nachhaltigkeit","thema","bericht","förderung","aktionsplan","engagement","ehrenamtlichen","technologien","regionen","arbeit","ländlichen","wichtig","wichtig","stärken","herausforderungen","gute","herausforderungen","unsere","ort","stärken","gute","zukunft","regionen"
