"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","bundeswirtschaftsminister","preisbindung","bundeswirtschaftsminister","unternehmungen","bundeswirtschaftsminister","bundeswirtschaftsminister","deist","unternehmen","wirtschaft","bundeswirtschaftsminister","bundeswirtschaftsminister","wirtschaft","wirtschaft","unternehmen","kurlbaum","unternehmen","schiller","schiller","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","schiller","bundesbank","schiller","schiller","schiller","schiller","inflation","bundesbank","stabilitätspolitik","inflation","strauss","friderichs","wirtschaft","rico","wirtschaft","wachstum","wirtschaft","wachstum","wachstum","wachstum","biedenkopf","wirtschaft","wirtschaft","wirtschaft","arbeitslosigkeit","investitionszulage","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","wirtschaft","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","wirtschaft","arbeitsplätze","arbeitsplätze","arbeitsplätze","investitionen","wirtschaftspolitik","banken","ddr","ddr","treuhandanstalt","treuhandanstalt","treuhandanstalt","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","arbeitsplätze","unternehmen","unternehmen","arbeitsplätze","arbeitsplätze","unternehmen","ost","unternehmen","neuen","neuen","mittelstand","mittelstand","deutschland","unternehmen","deutschland","unternehmen","deutschland","deutschland","deutschland","unternehmen","unternehmen","unternehmen","aufschwung","unternehmen","unternehmen","unternehmen","unternehmen","brüderle","handwerk","deutschland","unternehmen","unternehmen","mittelstand","unternehmen","unternehmen","unternehmen","wirtschaft","unternehmen","unternehmen","digitalisierung","digitalisierung","digitalisierung","unternehmen","digitalisierung","digitalisierung","unternehmen","digitalisierung","digitalisierung"
"2","millionen","eisen","massnahmen","sontra","bundeswirtschaftsminister","bundeswirtschaftsminister","wirtschaft","wirtschaft","deist","deist","privatisierung","kohle","wirtschaft","wirtschaft","vermögensbildung","deist","kohle","kohle","marktwirtschaft","wirtschaft","kohle","wirtschaft","kohle","schmücker","wachstum","bundeswirtschaftsminister","ruhr","bundeswirtschaftsminister","saar","wirtschaft","schiller","stabilität","wirtschaft","wirtschaft","wirtschaft","wirtschaft","stabilitätspolitik","bundesbank","bundesbank","arbeitslosigkeit","wirtschaft","strauss","puerto","arbeitslosigkeit","wirtschaft","strukturpolitik","marktwirtschaft","wirtschaft","wirtschaft","wachstum","wirtschaftspolitik","bundesbank","investitionen","wirtschaft","investitionen","wirtschaft","wirtschaft","unternehmen","arbeitslosigkeit","wirtschaft","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitslosigkeit","wirtschaft","arbeitslosigkeit","wachstum","unternehmen","fusion","marktwirtschaft","marktwirtschaft","treuhand","treuhand","unternehmen","wirtschaft","wirtschaft","treuhandanstalt","treuhandanstalt","arbeitsplätze","arbeitsplätze","unternehmen","arbeitsplätze","arbeitsplätze","unternehmen","unternehmen","arbeitsplätze","unternehmen","neuen","unternehmen","osten","prozent","prozent","wachstum","deutschland","wachstum","ostdeutschland","unternehmen","unternehmen","arbeitsplätze","arbeitsplätze","arbeitsplätze","aufschwung","unternehmen","arbeitsplätze","krise","krise","krise","aufschwung","unternehmen","unternehmen","wachstum","mittelstand","unternehmen","wirtschaft","wirtschaft","wirtschaft","digitalisierung","digitalisierung","digitalisierung","unternehmen","unternehmen","intelligenz","digitalisierung","unternehmen","unternehmen","digitalisierung","unternehmen","wirtschaft"
"3","kohle","kohle","betriebe","wettbewerb","wirtschaftspolitik","investitionen","bergbau","kartellbehörde","wirtschaft","unternehmen","deist","konzentration","bundeswirtschaftsminister","deist","unternehmen","unternehmen","deist","bundeswirtschaftsminister","wettbewerb","massnahmen","wirtschaft","preisbindung","wirtschaft","wirtschaft","bundesbank","kohle","schiller","massnahmen","bundeswirtschaftsminister","aufwertung","wirtschaft","wirtschaft","bundesbank","inflation","strauss","strauss","inflation","inflation","strauss","bundesbank","investitionen","arbeitslosigkeit","strauss","wachstum","friderichs","wirtschaftspolitik","wirtschaft","arbeitslosigkeit","arbeitslosigkeit","wirtschaft","kiep","japan","lambsdorff","investitionen","wirtschaft","investitionen","investitionen","wirtschaft","arbeitsplätze","arbeitsplätze","unternehmen","politik","arbeitslosigkeit","politik","arbeitslosigkeit","investitionen","wirtschaft","wachstum","unternehmen","währungsunion","lafontaine","ddr","wirtschaft","treuhand","treuhandanstalt","treuhandanstalt","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","deutschland","deutschland","deutschland","deutschland","wirtschaft","deutschland","ostdeutschland","ost","ost","deutschland","osten","mittelstand","prozent","unternehmen","deutschland","prozent","arbeitsplätze","unternehmen","deutschland","deutschland","arbeitsplätze","arbeitsplätze","deutschland","mittelstand","arbeitsplätze","wachstum","wachstum","mittelstand","wirtschaft","mittelstand","wirtschaft","wirtschaft","mittelstand","mittelstand","deutschland","unternehmen","forschungsförderung","wirtschaft","digitalen","wirtschaft","unternehmen","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","digitalen"
"4","wirtschaftspolitik","wirtschaftspolitik","zonenrandgebieten","kartelle","industrie","massnahmen","kohle","bundeswirtschaftsminister","hellwig","wirtschaft","wirtschaft","bergbau","eigentum","eigentum","massnahmen","wirtschaft","wirtschaft","wirtschaftspolitik","unternehmen","bundesregierung","unternehmen","wettbewerb","schmücker","bundesbank","stabilität","ruhr","wirtschaftspolitik","schiller","schiller","bundesbank","stabilität","bundesbank","stabilität","stabilität","bundesbank","schiller","massnahmen","graf","stabilitätspolitik","inflation","aufschwung","aufschwung","arbeitslosigkeit","investitionen","investitionen","arbeitslosigkeit","währungssystem","investitionen","lambsdorff","wirtschaftspolitik","investitionen","lambsdorff","arbeitslosigkeit","arbeitsplätze","wettbewerbsfähigkeit","arbeitsplätze","arbeitsplätze","arbeitsplätze","lambsdorff","unternehmen","wirtschaft","investitionen","unternehmen","unternehmen","wirtschaftspolitik","politik","arbeitsplätze","arbeitsplätze","haussmann","unternehmen","investitionen","investitionen","investitionen","investitionen","treuhand","arbeitsplätze","arbeitsplätze","arbeitsplätze","rexrodt","neuen","deutschland","wirtschaft","arbeitslosigkeit","arbeitslosigkeit","prozent","wirtschaftspolitik","aufbau","osten","osten","bundesländern","neuen","ost","unternehmen","mittelstand","prozent","ost","arbeitsplätze","wachstum","wachstum","mittelstand","wirtschaft","deutschland","deutschland","aufschwung","wirtschaft","wirtschaft","brüderle","unternehmen","wirtschaft","wachstum","wirtschaft","deutschland","industrie","deutschland","handwerk","investitionen","industrie","wirtschaft","mittelstand","wirtschaft","digitalen","wirtschaft","digitalen","intelligenz","innovationen","ki","digitalen","unternehmen"
"5","industrie","bundeswirtschaftsminister","millionen","industrie","ausschreibung","kohle","preis","kurlbaum","kohle","bundeswirtschaftsminister","kohle","unternehmen","unternehmungen","konzentration","kurlbaum","erhard","bergbau","deist","bundeswirtschaftsminister","konjunkturpolitik","bundeswirtschaftsminister","privatisierung","bergbau","stabilität","wirtschaftspolitik","schiller","investitionen","aufwertung","saarland","bundeswirtschaftsminister","aufwertung","stoltenberg","müllerhermann","rezession","wirtschafts","stabilität","stabilitätsabgabe","bundesfinanzminister","stabilität","wirtschaft","arbeitslosigkeit","rezession","wirtschaft","wirtschaftspolitik","arbeitslosigkeit","wachstum","lambsdorff","lambsdorff","wirtschaftspolitik","lambsdorff","lambsdorff","arbeitslosigkeit","zinsen","bundesbank","arbeitslosigkeit","lambsdorff","unternehmen","investitionen","unternehmen","zinsen","investitionen","wirtschaft","wirtschaftspolitik","wirtschaft","bangemann","wirtschaftspolitik","arbeitslosigkeit","arbeitslosigkeit","arbeitsplätze","wirtschafts","staatsvertrag","unternehmen","arbeitsplätze","arbeitsplätze","investitionen","privatisierung","wachstum","privatisierung","wirtschaftspolitik","mittelstand","arbeitslosigkeit","arbeitslosigkeit","politik","politik","ostdeutschland","politik","neuen","prozent","deutschland","prozent","wachstum","deutschland","ostdeutschland","osten","wirtschaft","mittelstand","ostdeutschland","mittelstand","prozent","wachstum","ostdeutschland","glos","wirtschaft","osten","arbeitsplätze","mittelstand","wirtschaft","krise","brüderle","rösler","deutschland","opel","handwerk","investitionen","deutschland","one","mittelstand","innovationen","digitalen","tourismus","siemens","digitale","digitale","forschung","digitale","innovation","innovationen","digitale"
"6","arbeitslosigkeit","stahlindustrie","zonenrandgebiete","bundeswirtschaftsminister","volkswirtschaft","deist","deist","wirtschaftspolitik","bergbau","aktien","unternehmungen","wirtschaft","privatisierung","aktionäre","konzentration","arbeitnehmer","massnahmen","bergbau","deist","bundeswirtschaftsminister","bundesregierung","markt","gutachten","kohle","schiller","bergbau","bundeswirtschaftsminister","aussenwirtschaftlichen","aufwertung","müllerhermann","massnahmen","inflation","freigabe","preissteigerungen","inflation","jahr","narjes","massnahmen","lambsdorff","friderichs","rezession","ehrenberg","investitionen","marktwirtschaft","marktwirtschaft","investitionen","biedenkopf","biedenkopf","graf","subventionen","leistungsbilanzdefizit","kiep","bundesbank","investitionszulage","gemeinschaftsinitiative","graf","lambsdorff","lambsdorff","wachstum","protektionismus","wachstum","wachstum","roth","investitionen","investitionen","bangemann","wirtschaftspolitik","investitionen","wettbewerb","bundesrepublik","wirtschaft","wirtschaft","unternehmen","wirtschaft","ostdeutschland","investitionen","wirtschaftspolitik","wirtschaftspolitik","neuen","rexrodt","wachstum","politik","wirtschaft","wirtschaft","neuen","deutschland","arbeitsplätze","arbeitsplätze","prozent","deutschland","ost","neuen","wirtschaft","betriebe","arbeitsplätze","prozent","wachstum","prozent","mittelstand","wirtschaft","wachstum","mittelstand","wachstum","wirtschaft","ostdeutschland","subventionen","mittelstand","wirtschaft","aufschwung","mittelstand","rösler","wachstum","kammern","wachstum","industrie","wachstum","innovationen","industrie","entwicklung","agenda","digitale","digitalen","innovationen","digitalen","blockchain","intelligenz","digitale","transformation"
"7","milliarden","millionen","marktwirtschaft","marktwirtschaft","massnahmen","entwicklung","öffentlichen","hand","stiftung","bundesschatzminister","bergbau","deist","unternehmen","aufwertung","arbeitnehmer","eigentum","wirtschaftspolitik","wirtschaftsbericht","preise","preise","massnahmen","veba","bundeswirtschaftsminister","kuponsteuer","bundeswirtschaftsminister","strukturpolitik","saar","bundesbank","wirtschaftspolitik","jahreswirtschaftsbericht","wirtschaftspolitik","müllerhermann","aufwertung","wirtschaftspolitik","stabilität","rezession","stabilität","lambsdorff","friderichs","wirtschaftspolitik","bundesbank","investitionen","rezession","strauss","strauss","jahreswirtschaftsbericht","bundesbank","subventionen","marktwirtschaft","jahreswirtschaftsbericht","arbeitslosigkeit","zinsen","graf","lambsdorff","arbeitsplätze","unternehmen","graf","graf","investitionen","wachstum","bangemann","unternehmen","politik","wirtschaftspolitik","unternehmen","unternehmen","politik","wirtschaft","wirtschaft","wirtschaft","wirtschafts","marktwirtschaft","marktwirtschaft","privatisierung","arbeitsplätze","ostdeutschland","privatisierung","arbeitslosigkeit","deutschland","wirtschaftspolitik","beschäftigung","wachstum","investitionen","prozent","ost","neuen","politik","ost","bundesländern","mittelstand","wirtschaft","arbeitsplätze","prozent","wirtschaft","politik","arbeitsplätze","ost","clement","arbeitslosigkeit","ostdeutschland","mittelstand","wirtschaft","ostdeutschland","wachstum","investitionen","investitionen","arbeitsplätze","deutschland","wachstum","krise","arbeitsplätze","heil","berufe","arbeitsplätze","wachstum","bürokratie","deutschland","deutschland","deutschland","digitale","mittelstand","künstliche","ländlichen","digitale","digitalen","digitalen","zukunft","innovationen"
"8","wirtschaftlichen","behörde","wirtschaftspolitischen","erhard","entwicklung","bergbau","hand","deist","behörde","privatisierung","aktien","erhard","erhard","unternehmungen","schmücker","aktionär","mittelständischen","energiepolitik","investitionen","wettbewerb","bergbau","kurlbaum","preise","stahlindustrie","massnahmen","massnahmen","kohle","wirtschaftspolitik","bundesbank","wirtschaftspolitik","wachstum","konjunktur","bundesregierung","inflationäre","washington","vollbeschäftigung","konjunkturzuschlag","strauss","wirtschafts","ehrenberg","programm","müllerhermann","aufschwung","lambsdorff","wirtschaftspolitik","biedenkopf","arbeitslosigkeit","inflation","sachverständigenrat","arbeitslosigkeit","politik","leistungsbilanzdefizit","kiep","kiep","wirtschaftspolitik","wirtschaftspolitik","roth","aufschwung","wirtschaftspolitik","lambsdorff","wirtschaftspolitik","arbeitsmarkt","bangemann","roth","roth","wachstum","weltwirtschaft","roth","bank","haussmann","einheit","arbeitsplätze","privatisierung","betriebe","osten","osten","deutschland","rexrodt","wachstum","deutschland","investitionen","ostdeutschland","mehr","wachstum","arbeitslosigkeit","arbeitslosigkeit","ostdeutschland","wirtschaft","ostdeutschland","wachstum","arbeitslosigkeit","bundesländern","osten","wachstum","clement","neuen","clement","ostdeutschland","politik","ost","aufschwung","wachstum","osten","meyer","glos","marktwirtschaft","deutschland","mittelstand","deutschland","heil","industriepolitik","bochum","wachstum","entwicklung","investitionen","industrie","digitalen","entwicklung","industrie","bereich","marktwirtschaft","forschung","startups","tourismus","altmaier","daten","forschung","forschung"
"9","massnahmen","montanunion","bundeswirtschaftsminister","wirtschaftspolitischen","investitionen","bank","volkswagenwerk","hellwig","unternehmungen","hellwig","entwicklung","heizölsteuer","aktien","bundeswirtschaftsminister","burgbacher","kurlbaum","investitionen","bundesregierung","entwicklung","wirtschaftspolitik","schmücker","schmücker","stabilität","bergbau","aktion","saar","massnahmen","absicherung","massnahmen","stabilität","strukturpolitik","preissteigerungen","mai","bundesbank","währungspolitik","bundesbank","wirtschaftspolitik","preise","wirtschaftspolitik","lambsdorff","wachstum","friderichs","unternehmen","friderichs","lambsdorff","lambsdorff","graf","nachfrage","unternehmen","unternehmen","graf","wirtschaftlichen","matthöfer","gemeinschaftsinitiative","unternehmen","wachstum","wirtschaftspolitik","roth","aufschwung","investitionen","roth","zinsen","wachstum","mehr","werften","wirtschaft","unternehmen","bundesrepublik","roth","wachstum","arbeitslosigkeit","neuen","betriebe","sanierung","neuen","wirtschaftspolitik","lafontaine","lafontaine","arbeitslosigkeit","ostdeutschen","ostdeutschland","beschäftigung","prozent","rexrodt","osten","mittelstand","ostdeutschen","wachstum","ostdeutschen","aufbau","arbeitsplätze","wachstum","clement","ostdeutschland","osten","osten","mittelstand","wirtschaft","clement","mehr","investitionen","bürokratie","meyer","mittelstand","osten","bürokratieabbau","politik","arbeitsplätze","krise","prozent","lindner","rösler","freien","heil","arbeitsplätze","arbeitsplätze","entwicklung","digitalen","arbeitsplätze","innovationen","innovationen","ki","forschung","künstliche","investitionen","forschung","intelligenz","wandel"
"10","bundeswirtschaftsminister","massnahmen","westrick","kartell","wettbewerb","bundesregierung","unternehmungen","markt","wirtschaftspolitik","publizität","wirtschaftspolitik","heizöl","wirtschaftspolitik","aktien","selbständigen","aktionäre","selbständigen","unternehmen","schmücker","entwicklung","steinkohlenbergbau","unternehmungen","massnahmen","bundeswirtschaftsminister","kohle","wirtschaftspolitik","stabilität","stabilität","bundesregierung","dienstag","bundeswirtschaftsminister","jahres","massnahmen","aufwertung","wirtschaftspolitik","bundeskanzler","stabilitätsprogramm","konjunkturpolitik","ehrenberg","müllerhermann","müllerhermann","inflation","wirtschaftspolitik","programm","graf","bundeswirtschaftsminister","jahreswirtschaftsbericht","unternehmen","biedenkopf","investitionen","bundesbank","marktwirtschaft","leistungsbilanzdefizit","zinsen","bundesbank","politik","marktwirtschaft","zinsen","graf","politik","politik","beschäftigung","investitionen","werften","wachstum","roth","bangemann","subventionen","subventionen","dmark","arbeitsplätze","betriebe","bundesländern","marktwirtschaft","bundesländern","rexrodt","arbeitslosigkeit","ostdeutschland","ostdeutschen","ostdeutschland","lafontaine","prozent","mittelstand","ostdeutschland","politik","prozent","osten","deutschland","wirtschaft","arbeitslosigkeit","bundesländern","arbeitslosigkeit","arbeitsplätze","arbeitsplätze","mehr","clement","opel","arbeitslosigkeit","bundeskanzler","land","glos","bürokratieabbau","mittelstand","investitionen","deutschland","umweltprämie","investitionen","wirtschaftspolitik","arbeitsplätze","marktwirtschaft","industrie","lindner","deutschland","land","meisterbrief","regionen","arbeitsplätze","stahlindustrie","regionen","welt","arbeitsplätze","zukunft","intelligenz","ki","arbeitsplätze","digitale","entwicklung","brauchen"
