"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","art","amnestie","amnestie","grundgesetz","grundgesetz","kirche","arndt","amnestie","volksbefragung","volksbefragung","grundgesetz","anstalten","parteien","bundesinnenminister","grundgesetz","verfassung","grundgesetzes","badenwürttemberg","grundgesetz","badenwürttemberg","parteien","rechtsausschuss","bundesverfassungsgericht","grundgesetzes","dorn","benda","art","verfassung","parlament","bundesverfassungsgericht","benda","bundesverfassungsgerichts","arndt","arndt","europarats","parlamentarischen","mitglieder","parlamentarischen","parlamentarischen","auswärtigen","nationalfeiertag","kulturpolitik","gerster","auswärtigen","beschwerdestelle","beschwerdestelle","kulturpolitik","datenschutz","datenschutz","daten","datenschutz","datenverarbeitung","ausstellung","datenschutz","the","innerdeutsche","de","de","de","kultur","kulturellen","auswärtigen","kulturpolitik","auswärtigen","auswärtigen","kultur","dienst","kultur","kultur","stiftung","kultur","öffentlichrechtlichen","kultur","film","sprache","doping","dat","kultur","sport","rundfunk","kulturpolitik","rundfunk","sport","kulturpolitik","film","naumann","vereine","stiftungen","stiftung","kulturpolitik","kulturpolitik","welle","kultur","welle","film","welle","welle","kultur","grundmandate","kultur","kultur","sport","kultur","sport","sport","sport","kultur","kultur","welle","kultur","tourismus","kultur","netzneutralität","kultur","kultur","sport","kultur","kulturgut","kultur","künstler","kultur","kultur","kultur","kultur","thw","kultur","sport","kultur"
"2","grundgesetz","grundgesetz","rechtsausschuss","grundgesetzes","grundgesetzes","evangelischen","kirche","kirche","verfassung","verfassung","verfassung","kühn","rundfunk","grundgesetzes","grundgesetzes","grundgesetzes","verfassung","baden","art","art","schmittvockenhausen","art","art","verfassungsänderung","alliierten","dorn","dorn","dorn","parlaments","arndt","parlament","arndt","spd","bundesgerichte","arbeitsgruppe","staatssekretäre","petersberg","staatssekretäre","staatssekretäre","kulturpolitik","laermann","auswärtigen","datenschutzgesetz","kulturpolitik","beschwerden","kulturellen","schulen","datenschutzes","statistischen","datenschutzes","bundesbeauftragten","daten","beschwerden","innerdeutsche","of","reiseverkehr","la","ausbeutung","korea","kunst","auswärtigen","dienst","goetheinstitut","kultur","guernica","auswärtigen","dienstes","guernica","kunst","auswärtigen","kulturellen","kultur","kulturelle","filme","sport","sport","de","sport","ard","kultur","religionsunterricht","medienbericht","medien","kultur","börnsen","kultur","stiftungen","sport","film","künstler","stiftung","sport","kulturpolitik","kultur","leipzig","kultur","kultur","sport","grundmandatsklausel","bibliothek","sport","kultur","sport","spiele","kultur","kultur","sport","sport","künstler","barrierefreiheit","sport","sport","kultur","digitale","digitalen","welle","sport","kultur","sport","künstlerinnen","welle","welle","uploadfilter","ehrenamt","kultur","medien","kultur","sport"
"3","grundgesetzes","verfassung","straffreiheit","verfassung","art","gewissen","zivilehe","art","volksbegehren","grundgesetz","grundgesetzes","werbung","grundgesetzes","karlsruhe","verfassung","grundgesetz","vereinigungen","landes","grundgesetzes","baden","grundgesetzes","äusseren","rechtsausschuss","grundgesetz","bundesinnenminister","grundgesetzes","verfassung","grundgesetz","grundgesetz","parlamentarischen","genscher","bundesverfassungsgericht","schüsse","dr","greulich","verhaltensregeln","versammlung","ausbeutesatz","qualifizierung","auswärtige","dring","sprache","daten","auswärtige","datenschutz","daten","ausland","bundesbeauftragten","statistik","datenschutz","datenschutzes","singen","beratungsstelle","ddr","and","ddr","et","truppen","la","kulturpolitik","kultur","sprache","auswärtigen","dienst","dienst","dienst","beamten","dienst","künstler","kultur","museum","kulturellen","kulturellen","kultur","kultur","wache","kultur","kulturpolitik","stoiber","kulturpolitik","brandenburg","wilhelm","sportförderung","welle","kulturpolitik","medien","stiftung","stiftung","zentren","kultur","vereine","engagement","staatsministerin","sport","kultur","kulturpolitik","rechtschreibung","baukultur","kultur","nationalbibliothek","welle","doping","kulturpolitik","olympischen","medien","staatsziel","enquetekommission","kunst","kultur","digitalisierung","olympischen","leistungsschutzrecht","internet","internet","internet","doping","verwertungsgesellschaften","film","kulturelle","kunst","kunst","sport","meinungsfreiheit","rundfunk","stiftung","plattformen","vereine","welle"
"4","verfassung","art","straftaten","art","verfassung","konkordat","ordnung","grundgesetzes","volksbefragungen","metzger","demokratie","fernsehen","grundgesetz","art","art","bundesinnenminister","vereinsgesetz","bevölkerung","bundesverfassungsgericht","grundgesetzes","burgbacher","grundgesetzes","grundgesetzes","jahn","vorbehaltsrechte","grundgesetz","busse","innenminister","grundgesetzes","benda","parlaments","status","geehrte","hamburgcomment","ministerkomitee","mitglieder","reddemann","brennereiordnung","arbeitszeitverkürzung","mittlerorganisationen","vertretungen","kommission","datenschutz","goetheinstituts","versicherungsnummer","kultur","rahmenplan","daten","daten","meldebehörden","datenverarbeitung","petition","innerdeutsche","reisen","to","ddrbürger","les","besitzen","the","sacharow","auswärtige","dienstes","dienst","auswärtige","amt","farben","kim","ostdeutschen","kulturpolitik","salzgitter","kulturpolitik","anstalten","museum","filmförderung","film","gedenkstätte","un","welle","rundfunkanstalten","uelhoff","auswärtige","öffentlichrechtlichen","internet","rechtschreibung","filmförderungsgesetz","kulturpolitik","naumann","doping","kultur","stiftung","kultur","enquetekommission","kunst","sprache","baukultur","auswärtigen","deutsche","kulturpolitik","fünfprozenthürde","bücher","parr","künstler","enquetekommission","computerspiele","film","sports","internet","kulturelle","kinos","barrierefreien","musik","nada","sport","digitalen","digitale","sports","kulturelle","urheber","sports","kultur","medien","buchpreisbindung","urheberrecht","stiftung","künstler","kunst","transparenzregister","kunst"
"5","recht","grundgesetzes","art","bundesverfassungsgericht","verstösse","art","strafe","justiz","grundgesetz","innenminister","volk","programm","kühn","grundgesetz","karlsruhe","rundfunkanstalten","grundgesetz","grundgesetzes","kopf","rechtsausschuss","art","rechtsausschusses","verfassungsbeschwerde","staatsvertrag","notstandsverfassung","innern","parlament","art","dorn","verfassung","parlamentarischen","verfassung","papiere","listen","wahl","auflösung","meinungsumfragen","herr","herr","amt","herr","kulturellen","datenverarbeitung","daten","daten","ostdeutschen","auslandsschulen","bundesdatenschutzgesetz","datenschutzes","datenverarbeitung","datenschutzbeauftragten","aufgriffslisten","postverkehr","beratungsstelle","our","datenschutz","le","raketen","cocom","künstler","unesco","auswärtige","goetheinstituts","sprache","ausland","vanunu","auswärtigen","kulturellen","duve","kulturellen","kulturelle","kulturarbeit","stiftung","deutschen","sports","kollwitz","ick","kulturellen","zdf","dat","kultur","schulen","inhalte","sprache","filmförderungsgesetzes","stiftungen","welle","olympischen","warentest","künstlersozialversicherung","film","engagements","medien","deutsche","olympischen","deutsche","barthel","breitenkultur","partei","kunst","spielsucht","sportler","kulturelle","kultur","engagement","welterbestätten","kulturelle","kinos","digitalisierung","internet","barrierefreiheit","engagement","künstler","tourismus","breitbandausbau","sportler","doping","buchpreisbindung","film","urheberrecht","kulturelle","esport","richtlinie","medien","künstlerinnen","sport","gemeinnützigkeit","medien"
"6","bundesverfassungsgericht","bundesverfassungsgericht","grundgesetzes","pressefreiheit","trauung","grundgesetzes","bundeswehr","ordnung","barzel","kirche","weimarer","heck","spenden","urteil","gemeindefreiheit","expertenkommission","art","rechtsausschuss","bevölkerung","neugliederung","parteiengesetz","schäfer","grundgesetz","verfassung","grundgesetzes","polizei","alliierten","bundesverfassungsgericht","benda","bundesverfassungsgerichts","innenministerium","rechtsausschuss","anrede","verfassung","europäischen","wähler","grenzüberschreitenden","ausbeutesätze","erwartet","herr","auswärtigen","kulturelle","tourismus","amt","böhm","sauer","auswärtige","datenverarbeitung","statistiken","bürgers","tätigkeitsbericht","bundesministerium","antragsteller","schulze","that","of","que","selten","luftfahrt","kulturellen","auflage","ausland","auswärtige","kulturpolitik","kultur","dienstes","kultur","dienstes","kulturellen","kulturpolitik","kunst","kulturpolitik","museums","films","deutschen","käthe","is","kunst","rundfunk","klausdieter","kirchen","hansotto","schulen","rechtschreibreform","filmförderung","angelegenheiten","kultur","engagement","ehrenamt","künstlerinnen","stiftungen","sports","film","enquetekommission","spiele","sprache","rechtschreibreform","sports","wahlkreise","künstler","goetheinstitut","unesco","musik","auslandsschulen","sports","kulturpolitik","kulturpolitik","film","werke","enquetekommission","internet","ehrenamt","tourismus","sport","künstler","olympischen","bildungspolitik","urheberrecht","kulturellen","welle","künstler","bücher","gemeinnützigkeit","öffentlichrechtlichen","ehrenamt","jugendmedienschutz","medien","kulturpolitik"
"7","todesstrafe","gewalt","verfassung","gesetze","stuhl","grundgesetz","strafrechts","rechtsausschuss","demokratie","demokratie","verfassungsschutz","rundfunkanstalten","fernmeldewesen","fernsehen","gesellschaft","art","schröder","land","landes","volksbegehren","bundesverfassungsgericht","alliierten","gesetze","schmittvockenhausen","benda","kuratorium","abs","grundgesetzes","schmittvockenhausen","grundgesetzes","verfassung","bundesverfassungsrichter","kollege","parlament","gründung","legende","aktuell","brennereien","ja","verteilungsschlüssel","leckelt","ausland","urlaub","picard","bürger","beschwerden","auswärtigen","bundesdatenschutzgesetzes","künstler","meldewesen","bundesbeauftragte","hauptzollamts","ostpreussen","tätigkeitsbericht","we","ministerium","qui","zeitpunkt","et","kulturelle","windelen","kultur","rose","kunst","auswärtige","kunst","institut","welle","czaja","dienst","duve","kulturelle","gedenkstätten","förderung","rechtssprache","bundeszentrale","wi","sports","sportbericht","goetheinstitut","schulen","medien","laermann","öffentlichrechtlichen","filmförderungsanstalt","beauftragter","stiftungsrecht","sports","soziokultur","publizisten","auswärtigen","kultur","künstler","kulturstiftung","filmwirtschaft","künstler","ehrenamtlich","auswärtige","direktmandate","neumann","neumann","dresden","kulturwirtschaft","sports","bürgerschaftlichen","medien","sportanlagen","kulturtourismus","netzneutralität","tourismus","spiele","ehrenamtlich","telekom","kunst","künstlersozialversicherung","spiele","kulturellen","verwertungsgesellschaften","filme","sport","deutsche","buch","kreativen","engagement","ehrenamtlichen","jugendschutz","stiftung","vielfalt"
"8","gesetz","recht","strafe","recht","gesetze","konkordats","staat","strafe","grundgesetzes","grundgesetzes","art","rundfunk","verfassung","schröder","verfassungsrechtlichen","finanzreform","anordnung","badischen","entscheidung","abstimmung","entwurf","vorbehaltsrechte","unfallgeschädigten","marburg","grundgesetz","bundesinnenminister","benda","parlament","art","parlament","grundgesetzes","benda","hamburgcomment","wahl","einvernehmen","urheberrechtsgesetzes","herr","hauser","mitgliedern","parlamentarischen","legislative","mittlerorganisationen","bundesdatenschutzgesetz","kommission","behinderungen","kulturpolitik","pfeifer","bundesbeauftragte","ausland","sicherheitsbehörden","leistungsträger","datenverarbeitungsindustrie","athen","beziehungen","datenschutz","zusatzfrage","en","bundesarchivs","bauarbeiten","andrej","bischof","amt","kultur","dienstes","schulen","hammbrücher","städtepartnerschaft","kulturarbeit","kulturarbeit","sprache","ehemaligen","rundfunk","minderheiten","einrichtungen","gedenkstätten","film","nich","deutsche","sports","einrichtungen","welle","kultur","sports","kulturellen","goetheinstitute","welle","kulturpolitik","stiftungsrecht","lammert","museumsinsel","auslandsschulen","bürgerschaftliches","sport","deutschen","rostock","auswärtige","hansjoachim","stiftung","strobl","deutsche","monopol","kulturwirtschaft","parr","filme","internet","fussball","kulturtourismus","ffa","künstlerinnen","sport","digitalen","kulturellen","kreativwirtschaft","grütters","digitalisierung","bauhaus","digitalen","doping","bildungspolitik","werke","sport","deutsche","internet","games","helferinnen","künstler","organisationen","plattformen"
"9","parlamentarischen","parlamentarischen","recht","finanzvorlagen","grundordnung","kirchen","eheschliessung","verfassung","volksentscheid","barzel","konferenz","anstalt","parteiengesetz","verfassung","kern","exekutive","verfassungsrechtlichen","kopf","land","verfassungsänderung","herr","höcherl","notstandsverfassung","art","parlamentarischen","verfassung","parlaments","parlaments","gemeinsamen","rechtsausschuss","entscheidung","enquetekommission","dr","hamburg","informationsmaterial","kandidaten","bösartigen","rückwirkung","fernsehen","wangen","vizepräsidenten","auswärtige","reiseveranstalter","goetheinstitut","wenden","behinderungen","kultur","bürgers","auswärtige","bundesdatenschutzgesetzes","bundesdatenschutzgesetzes","petitionen","griechenland","datenschutzes","is","franke","dans","ser","flott","auswärtigen","goetheinstitut","beamten","kulturellen","ausland","genscher","künstler","kunst","deutschlandfunk","ostdeutschen","dienstes","stiftungen","werbung","deutschen","fernsehen","kulturellen","medien","kulturellen","kulturförderung","öffentlichrechtlichen","sport","ler","öffentlichrechtliche","iukdg","film","wiedergabe","michael","organisationen","kultur","kulturpolitik","einrichtungen","nidarümelin","bürgerschaftlichen","christina","grossveranstaltungen","bewerbung","staatsministerin","sprache","musik","fünfprozentklausel","schulsport","auswärtige","brücke","kulturellen","washingtoner","filme","werbung","sports","sports","internet","medienkompetenz","sportler","urheberrecht","enquetekommission","sportler","sport","digitalen","sportler","kreativen","kunst","künstlern","rundfunk","athleten","plattformen","vielfalt","bevölkerungsschutz","internet","plattformen","journalisten"
"10","demokratie","rechts","gefängnis","bundesverfassungsgerichts","behörden","kriegsdienstverweigerung","schwarzhaupt","strafen","weimarer","kommunistischen","bestimmung","fernsehprogramm","heck","bundesverfassungsgericht","bundesverfassungsgericht","rundfunks","prinzip","neugliederung","länder","bundesverfassungsgericht","finanzierung","benda","schmittvockenhausen","notstandsverfassung","schmittvockenhausen","lücke","gesetze","bundesinnenminister","bundestages","parlaments","bundesinnenministeriums","grundgesetz","wahl","verfassungsmässigkeit","verwaltungsabkommen","präsidium","wahlmänner","liter","schmidt","gestatten","arndt","goetheinstitut","niederschlagswasser","datenschutzgesetz","bundesbeauftragten","innerdeutsche","kulturellen","tätigkeitsbericht","bull","statistiken","sicherheitsbehörden","datenschutz","beziehungen","beschwerden","it","sechs","nous","relations","le","weltraumrüstung","vorwort","deutsch","sprache","künstler","spanischen","auswärtige","hammbrücher","auswärtigen","kulturelle","deutsch","künstler","rundfunkanstalten","historische","privaten","sportstätten","gedenkstätten","kulturelle","kulturelle","kultur","dach","fach","mainz","jugendschutz","rundfunk","krüger","kulturellen","lammert","naumann","ehrenamtlich","sport","vereinen","nidarümelin","plan","deutsch","berliner","bildungspolitik","engagement","auswärtigen","fussballweltmeisterschaft","staatsziel","sportwetten","kulturellen","kunst","sportler","medienkompetenz","grundgesetz","staatsminister","kulturellen","immateriellen","filme","antrag","kreativwirtschaft","digitale","sotschi","kunst","digitale","medien","kulturellen","athleten","ausstellungsvergütung","kulturellen","special","artikel","internet","kunst","kino","vereinen","journalismus"
