"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","bitte","bitte","umdruck","umdruck","abstimmung","gegenprobe","umdruck","bitte","gegenprobe","umdruck","umdruck","gegenprobe","gegenprobe","gegenprobe","gegenprobe","umdruck","gegenprobe","umdruck","umdruck","umdruck","umdruck","umdruck","enthaltungen","umdruck","umdruck","antrag","umdruck","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","drucksache","beratung","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","wer","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuss","ausschuss","six","pd","krise","pandemie","pandemie","impfpflicht"
"2","gegenprobe","enthaltungen","bitte","bitte","gegenprobe","umdruck","bitte","gegenprobe","abstimmung","gegenprobe","handzeichen","bitte","handzeichen","umdruck","umdruck","gegenprobe","umdruck","gegenprobe","antrag","antrag","antrag","änderungsantrag","antrag","antrag","antrag","änderungsantrag","antrag","umdruck","gegenprobe","umdruck","umdruck","umdruck","umdruck","gegenprobe","gegenprobe","umdruck","wünscht","wünscht","wünscht","wünscht","wünscht","wünscht","enthaltungen","beratung","berichterstatter","drucksache","beratung","beratung","wünscht","wünscht","ausschuss","beratung","wünscht","beratung","beratung","beratung","wünscht","beratung","beratung","beratung","beratung","enthaltungen","enthaltungen","enthaltungen","beratung","beratung","ausschuss","beratung","beschlussempfehlung","enthaltungen","beschlussempfehlung","stimmt","beratung","beschlussempfehlung","beschlussempfehlung","ausschuss","beratung","beschlussempfehlung","ausschuss","beratung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","drucksache","ausschuss","ausschuss","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","ausschuss","ausschuss","beschlussempfehlung","ausschuss","beschlussempfehlung","ausschuss","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","drucksache","ausschuss","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","drucksache","ausschuss","wer","ausschuss","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","fraktion","beratung","billy","privatpiloten","pandemie","virus","impfen","pandemie"
"3","antrag","gegenprobe","ziffer","gegenprobe","ziffer","änderungsantrag","gegenprobe","handzeichen","umdruck","bitte","gegenprobe","handzeichen","umdruck","antrag","handzeichen","antrag","enthaltungen","änderungsantrag","gegenprobe","gegenprobe","änderungsantrag","gegenprobe","gegenprobe","änderungsantrag","änderungsantrag","gegenprobe","änderungsantrag","gegenprobe","umdruck","bitte","bitte","bitte","gegenprobe","zuzustimmen","umdruck","wort","antrag","zuzustimmen","enthaltungen","enthaltungen","beratung","zuzustimmen","wünscht","gegenprobe","drucksache","wünscht","wünscht","gegenprobe","beratung","beratung","beratung","wünscht","handzeichen","ausschuss","wünscht","ausschuss","handzeichen","ausschuss","ausschuss","ausschuss","wünscht","wünscht","beratung","beratung","ausschuss","ausschuss","beratung","beschlussempfehlung","beratung","stimmt","enthaltungen","wer","beschlussempfehlung","beratung","beratung","beratung","beschlussempfehlung","beratung","beratung","ausschuss","beratung","ausschuss","ausschuss","ausschuss","beratung","beratung","beratung","beratung","beschlussempfehlung","ausschuss","beratung","beratung","stimmt","beratung","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","beratung","beratung","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","ausschuss","fraktion","beschlussempfehlung","ausschuss","ausschuss","ausschuss","beschlussempfehlung","ausschuss","stimmt","wer","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","beschlussempfehlung","wer","abgeordneter","linke","venezuela","zuverlässigkeitsüberprüfung","virus","massnahmen","geimpft","impfen"
"4","hand","abstimmung","gegenprobe","handzeichen","umdruck","handzeichen","handzeichen","umdruck","handzeichen","handzeichen","bitte","umdruck","bitte","handzeichen","wer","änderungsantrag","änderungsantrag","antrag","ziffer","bitte","gegenprobe","handzeichen","änderungsantrag","wer","gegenprobe","umdruck","gegenprobe","änderungsantrag","handzeichen","handzeichen","gegenprobe","handzeichen","änderungsantrag","änderungsantrag","zuzustimmen","bitte","zuzustimmen","handzeichen","bitte","zuzustimmen","enthaltungen","drucksache","beratung","wünscht","beschlussempfehlung","gegenprobe","berichterstatter","enthaltungen","enthaltungen","enthaltungen","gewünscht","beschlussempfehlung","zuzustimmen","berichterstatter","rufe","beschlussempfehlung","wer","tagesordnung","aussprache","enthaltungen","enthaltungen","handzeichen","wer","beschlussempfehlung","fraktion","fraktion","fraktion","enthaltungen","ausschuss","beschlussempfehlung","beratung","beratung","ausschuss","ausschuss","ausschuss","beschlussempfehlung","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","ausschuss","beratung","beratung","beratung","stimmen","stimmt","beschlussempfehlung","beschlussempfehlung","beratung","beratung","ausschuss","ausschuss","beratung","beschlussempfehlung","beratung","beratung","beratung","beratung","ausschuss","aussprache","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","stimmt","beratung","beratung","beratung","stimmt","stimmt","wer","wer","beratung","beratung","stimmt","stimmen","dagegen","maduro","beschlussempfehlung","massnahmen","krise","lage","impfung"
"5","erheben","antrag","antrag","ziffer","bitte","ziffer","ziffer","enthaltungen","bitte","enthaltungen","wer","ziffer","ziffer","enthaltungen","bitte","enthaltungen","ziffer","wer","enthaltungen","handzeichen","handzeichen","ziffer","umdruck","handzeichen","wer","enthaltungen","enthaltungen","handzeichen","enthaltungen","wer","handzeichen","gegenprobe","handzeichen","wer","wünscht","wer","enthaltungen","bitte","antrag","handzeichen","drucksache","enthaltungen","zuzustimmen","berichterstatter","gegenprobe","berichterstatter","gegenprobe","ausschuss","gegenprobe","handzeichen","rufe","handzeichen","angenommen","beschlussempfehlung","beschlussempfehlung","rufe","rufe","antrag","enthaltungen","beschlussempfehlung","handzeichen","wer","beschlussempfehlung","wer","abstimmung","enthaltungen","enthaltungen","fraktion","enthaltungen","wer","stimmt","enthaltungen","stimmt","stimmt","drucksachen","stimmt","eingebrachten","stimmt","aussprache","enthaltungen","fraktion","gegenprobe","stimmen","stimmen","ausschuss","enthaltungen","stimmt","enthaltungen","stimmt","stimmt","enthaltungen","enthaltungen","aussprache","aussprache","aussprache","stimmt","stimmt","aussprache","enthaltungen","überweisungsvorschlag","enthaltungen","fraktion","fraktion","fraktion","fraktion","ausschuss","stimmt","fraktion","fraktion","beratung","stimmt","stimmt","wer","beratung","ausschuss","stimmt","beratung","wer","wer","beratung","wahl","enthält","auswärtige","antrag","lage","impfen","virus","virus"
"6","abstimmung","umdruck","abstimmung","abstimmung","wer","wer","änderungsantrag","wer","enthaltungen","antrag","antrag","antrag","enthaltungen","ziffer","ziffer","wer","wer","enthaltungen","änderungsantrag","änderungsantrag","bitte","antrag","handzeichen","gegenprobe","handzeichen","handzeichen","handzeichen","ziffer","bitte","gegenprobe","änderungsantrag","änderungsantrag","bitte","umdruck","änderungsantrag","damen","handzeichen","antrag","zuzustimmen","bitte","handzeichen","beratung","handzeichen","zuzustimmen","wünscht","enthaltungen","ausschuss","wünscht","handzeichen","gegenprobe","tagesordnung","zuzustimmen","nr","wünscht","zuzustimmen","entwurfs","beratung","aussprache","wünscht","aussprache","ausschuss","beratung","ausschuss","fraktion","aussprache","aussprache","beschlussempfehlung","ausschuss","fraktion","beratung","wer","ausschuss","wer","drucksachen","enthaltungen","eingebrachten","aussprache","wer","überweisungsvorschlag","aussprache","enthaltungen","fraktion","fraktion","enthaltungen","enthaltungen","beschlussempfehlung","enthaltungen","stimmt","enthaltungen","enthaltungen","stimmt","stimmt","enthaltungen","enthaltungen","enthaltungen","enthaltungen","aussprache","stimmt","stimmt","beschlussempfehlung","fraktion","stimmt","stimmt","stimmt","stimmt","enthaltungen","fraktion","enthaltungen","stimmt","wer","wer","wer","ausschuss","aussprache","beratung","aussprache","stimmt","stimmt","stimmt","ausschuss","stimmkarte","angenommen","freilassung","linke","corona","impfstoff","inzidenz","massnahmen"
"7","ziffer","angenommen","mehrheit","änderungsantrag","handzeichen","enthaltungen","wer","ziffer","antrag","ziffer","ziffer","wünscht","wer","bitte","antrag","handzeichen","antrag","handzeichen","handzeichen","zuzustimmen","wer","wer","bitte","abstimmung","bitte","bitte","wer","enthaltungen","wer","herren","wer","enthaltungen","wer","bitte","stimmenthaltungen","gegenprobe","bitte","wer","handzeichen","beratung","bitte","bitte","drucksache","bitte","tagesordnung","handzeichen","handzeichen","berichterstatter","zuzustimmen","zuzustimmen","aussprache","berichterstatter","rufe","handzeichen","handzeichen","aussprache","zuzustimmen","enthaltungen","beschlussempfehlung","wünscht","zuzustimmen","zuzustimmen","wünscht","wünscht","tagesordnung","beschlussempfehlung","überweisungsvorschlag","stimmt","wer","fraktion","fraktion","beschlussempfehlung","enthaltungen","angenommen","stimmt","angenommen","stimmt","gesetzentwurf","fraktion","überweisungsvorschlag","gegenprobe","stimmen","gegenprobe","fraktion","angenommen","stimmen","stimmen","aussprache","aussprache","wer","stimmen","gesetzentwurf","beschlussempfehlung","überweisungsvorschlag","gesetzentwurf","aussprache","gesetzentwurf","abgeordneten","wer","fcomment","stimmt","enthaltungen","enthaltungen","enthaltungen","wer","stimmt","wer","stimmt","wer","fraktion","fraktion","fraktion","fraktion","beschlussempfehlung","fraktion","beratung","fraktion","fraktion","fraktion","fraktion","schriftführerinnen","wer","caracas","flughafen","gesundheit","lockdown","massnahmen","geimpft"
"8","angenommen","handzeichen","angenommen","antrag","enthaltungen","bitte","antrag","antrag","wer","zuzustimmen","enthaltungen","zuzustimmen","antrag","wer","enthaltungen","zustimmen","handzeichen","bitte","wer","wer","enthaltungen","bitte","angenommen","bitte","siehe","wer","bitte","bitte","änderungsantrag","änderungsantrag","einzelplan","wort","enthaltungen","stimmenthaltungen","enthaltungen","herren","wer","enthaltungen","beratung","drucksache","zuzustimmen","handzeichen","berichterstatter","handzeichen","ausschuss","beschlussempfehlung","beschlussempfehlung","handzeichen","ausschuss","berichterstatter","wünscht","ausschuss","enthaltungen","rufe","wer","tagesordnung","enthaltungen","zuzustimmen","zuzustimmen","rufe","aussprache","beschlussempfehlung","fraktion","handzeichen","antrag","wer","gegenprobe","wer","stimmt","ausschuss","ausschuss","aussprache","angenommen","wer","aussprache","drucksachen","tagesordnungspunkt","drucksachen","stimmt","gegenprobe","stimmen","enthaltungen","enthaltungen","stimmt","fraktion","aussprache","aussprache","wer","stimmen","aussprache","wer","angenommen","stimmen","fcomment","eingebrachten","angenommen","enthaltungen","enthaltungen","stimmen","enthaltungen","aussprache","wer","wer","wer","enthaltungen","wer","überweisungsvorschlag","wer","enthaltungen","enthaltungen","überweisungsvorschlag","enthaltungen","enthaltungen","fraktion","stimmen","fraktion","aussprache","stimmen","überweisungsvorschlag","angenommen","fraktionen","gesetzentwurf","botschaft","luftsicherheit","wochen","schnelltests","intensivstationen","impfungen"
"9","nr","erheben","zuzustimmen","wer","zuzustimmen","antrag","abstimmung","abstimmung","zustimmen","wünscht","änderungsantrag","enthaltungen","änderungsantrag","änderungsantrag","wünscht","ziffer","bitte","angenommen","bitte","wünscht","abstimmung","enthaltungen","wer","entschliessungsantrag","zuzustimmen","zuzustimmen","angenommen","wer","ziffer","damen","abstimmung","wer","zuzustimmen","handzeichen","bitte","danke","wort","beratung","drucksache","antrag","berichterstatter","antrag","wer","enthaltungen","entwurfs","zuzustimmen","enthaltungen","rufe","berichterstatter","rufe","handzeichen","enthaltungen","drucksache","zuzustimmen","tagesordnung","eingebrachten","beschlussempfehlung","wünscht","handzeichen","tagesordnung","beschlussempfehlung","angenommen","aussprache","ausschuss","enthaltungen","rufe","rufe","abstimmung","angenommen","änderungsantrag","angenommen","drucksachen","aussprache","überweisungsvorschlag","berichterstattung","wer","drucksachen","angenommen","enthaltungen","stimmt","aussprache","aussprache","überweisungsvorschlag","gegenprobe","gegenprobe","fraktion","wer","stimmen","wer","angenommen","angenommen","stimmen","wer","stimmt","stimmt","überweisungsvorschlag","angenommen","angenommen","angenommen","stimmt","wer","gegenstimmen","aussprache","angenommen","überweisungsvorschlag","angenommen","aussprache","überweisungsvorschlag","überweisungsvorschlag","angenommen","tagesordnungspunkt","abgeordneter","empfiehlt","tagesordnungspunkt","angenommen","stimmen","stimmen","aussprache","aussprache","gesetzentwurf","drucksache","tagesordnungspunkt","venezolanischen","luftverkehr","coronakrise","tests","grundrechte","herbst"
"10","umdruck","hand","erheben","enthaltungen","änderungsantrag","abstimmung","enthaltungen","wünscht","ziffer","änderungsantrag","wünscht","wer","wünscht","zuzustimmen","änderungsantrag","bitte","angenommen","ziffer","gebe","ziffer","einzelplan","angenommen","abstimmung","enthaltungen","anlage","wünscht","siehe","wort","angenommen","enthaltungen","enthaltungen","einzelplan","wünscht","wünscht","wer","anlage","gewünscht","gewünscht","berichterstatter","berichterstatter","antrag","wer","bitte","wer","eingebrachten","ausschuss","zuzustimmen","beschlussempfehlung","rufe","ausschuss","abstimmung","gewünscht","stimmt","drucksachen","ausschuss","wünscht","berichterstatter","fraktion","rufe","zuzustimmen","wer","aussprache","handzeichen","angenommen","rufe","tagesordnung","wer","handzeichen","grünen","angenommen","gegenprobe","rufe","eingebrachten","aussprache","überweisungsvorschlag","entwurfs","angenommen","eingebrachten","drucksachen","stimmen","überweisungsvorschlag","drucksachen","drucksachen","eingebrachten","stimmt","wer","fraktion","angenommen","angenommen","stimmen","gesetzentwurf","wer","fraktion","angenommen","angenommen","eingebrachten","wer","wer","gegenstimmen","tagesordnungspunkt","überweisungsvorschlag","angenommen","angenommen","überweisungsvorschlag","angenommen","gegenstimmen","fcomment","angenommen","abgeordneten","überweisungsvorschlag","enthaltungen","abgeordneten","angenommen","stimmen","tagesordnungspunkt","angenommen","enthält","dagegen","tagesordnungspunkt","dagegen","wer","fraktion","staatsminister","polizeizulage","schnell","testen","epidemischen","impfstoffe"
