"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","immunität","abgeordneten","john","schmidtwittmack","stahlhelm","sozialistischen","kühn","orden","schröder","bundeskanzler","bundeskanzler","pferde","bundeskanzler","presse","bundeskanzler","radioaktivität","gesundheitswesen","gesundheitswesen","verbraucher","frau","frau","gesundheitswesen","gesundheitswesen","gesundheitswesen","gesundheitswesen","gesundheitswesen","frau","frau","gesundheitswesen","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","krankenhäuser","jugend","gesundheit","gesundheit","gesundheit","gesundheit","gesundheit","arzneimittel","krebsforschung","ärzte","versorgung","ärzte","ausbildung","gesundheit","psychisch","stoffe","krebs","therapie","nordsee","arzneimittel","hamburg","seeschiffahrt","konvention","werften","konvention","nordsee","tierversuche","formaldehyd","nordsee","chemischen","nordsee","nordsee","antarktis","nordsee","gentechnologie","gentechnik","pvc","aids","trinkwasser","ru","gentechnik","aids","blut","gesundheit","seehofer","gesundheit","tod","arzneimittel","tod","verbraucher","gentechnik","bse","schwangerschaftsabbruch","expo","gesundheit","forschung","stammzellen","stammzellen","forschung","gentechnik","klonen","gentechnik","stammzellen","gentechnik","biotechnologie","gentechnik","baukultur","patientenverfügung","studie","stammzellen","cannabis","patienten","patienten","patienten","pid","behinderung","organspende","behinderung","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","behinderungen","widerspruchslösung","organspende","organspende","menschen","cannabis","menschen","menschen"
"2","abgeordneten","immunität","bundesinnenminister","bundesinnenminister","schmeisser","studentenbundes","öffentlichkeit","farben","castroprauxel","stephan","spiegel","ausfuhr","bundeskanzlers","staatssekretär","bundespressechef","luft","schwarzhaupt","schwarzhaupt","werbung","gesundheitswesen","gesundheitswesen","frau","schwarzhaupt","schwarzhaupt","strobel","frau","gesundheitspolitik","gesundheitswesen","frau","frau","jugend","jugend","jugend","jugend","gesundheit","gesundheit","jugend","jugend","jugend","jugend","jugend","arzneimittelsicherheit","zander","zander","ärzte","erkrankungen","gesundheit","zander","kranken","therapie","therapie","krankenkassen","gutachten","übereinkommen","gewässerschutz","duve","zeichnung","bremen","tiere","bremen","nordsee","nordsee","tierversuche","industrie","pflanzenschutzmittel","bundesgesundheitsamt","nordsee","asbest","gentechnik","gentechnologie","tier","gentechnik","trinkwasserversorgung","zulassung","gentechnisch","walfang","gesundheit","verbraucher","verbraucher","produkte","bse","konvention","menschen","gentechnik","mensch","grossbritannien","gentechnik","gesundheit","mifegyne","embryonen","forschung","forschung","gentechnik","wale","gentechnik","gentechnisch","forschung","patientenverfügung","gentechnik","gentechnisch","ethikrat","patienten","strahlung","forschung","patienten","patientenverfügung","studien","ethikrat","kind","menschen","menschen","menschen","behinderung","behinderung","sterben","behinderung","sterben","behinderung","behinderungen","suizid","menschen","organspende","widerspruchslösung","widerspruchslösung","werbung","menschen","sterben","behinderung"
"3","ausschuss","schreiben","verfassungsschutz","innenminister","goslar","kühn","zeugen","kommission","wilhelmi","kühn","adenauer","pferden","herrn","eckardt","eckardt","bechert","ministerin","frau","gesundheitswesen","werbung","schwarzhaupt","schwarzhaupt","frau","frau","frau","strobel","strobel","strobel","mangerkoenig","jugend","familie","familie","familie","familie","familie","westphal","familie","waldes","wolters","familie","gesundheitswesens","gesundheit","versorgung","patienten","zander","zander","ärzte","ärzte","versorgung","chemikaliengesetz","cadmium","gesundheit","arzneimittel","bundesgesundheitsamt","gewässer","hamburg","hamburg","hamburg","zeichnung","saarland","formaldehyd","gutachten","tier","chemie","gentechnologie","rauchen","asbest","pvc","bundesgesundheitsamt","nordsee","tiere","gentechnologie","bergmannpohl","tiere","gesundheit","gentechnik","gentechnik","bundesgesundheitsamt","bse","arzneimittel","menschen","mikrotesla","hirntod","rauchen","lenzer","verbraucher","arzneimittel","gentechnik","widmannmauz","stammzellen","embryonalen","enquetekommission","klonen","sars","enquetekommission","pflanzen","stammzellforschung","organspende","ressortforschung","gentechnikgesetz","stiftung","gentechnisch","rettungsassistenten","embryonalen","patientenverfügung","arzt","patientinnen","technikfolgenabschätzung","patienten","behinderungen","behinderung","beschneidung","behinderungen","behinderungen","sterbehilfe","sterben","sterbehilfe","barrierefreiheit","behinderung","barrierefreiheit","teilhabe","menschen","menschen","menschen","rauchen","behinderungen","leben","leben"
"4","ausschusses","herrn","immunität","innern","verfahren","bundesinnenminister","adk","hakenkreuz","aktion","lenz","staatssekretär","tiere","touré","bundespressechef","unfug","werte","frau","butter","frau","auflagen","ministerin","ministerin","ministerin","ministerin","ministerin","mangerkoenig","gesundheitswesen","heuser","heuser","familie","psychisch","umweltschutz","krankenhäuser","umweltschutz","jugend","bundesgesundheitsamt","westphal","stoffe","familie","arzneimittel","versorgung","patienten","prinz","kassenärztlichen","medizinstudenten","arzneimittel","zander","jugend","psychiatrie","stoffen","lebensmitteln","chemischer","gesundheitswesen","arzneimittelgesetz","wasser","biologisch","grunenberg","hdw","arten","schiffe","arzneimittel","emden","tiere","chemische","pflanzenschutzmitteln","tierversuche","lebensmittel","tiere","antarktis","gentechnikgesetz","arbeitsschutzes","enquetekommission","bundesgesundheitsamt","tierschutz","verbraucher","gesundheit","blutprodukte","tiere","gesundheit","pyrethroide","organentnahme","verordnung","leben","nichtraucher","therapierichtungen","tiere","vertriebsweg","gentechnisch","verbraucher","pid","embryonen","embryonen","menschenwürde","walfang","china","biotechnologie","embryonalen","forschung","flach","wahlfreiheit","bundesstiftung","gentechnik","leukämie","stammzellforschung","arzt","ärzte","arzt","ethikrates","behinderung","aktionsplan","patienten","behinderungen","design","inklusion","leben","leben","suizid","behinderungen","eingliederungshilfe","psychische","behinderung","leben","ärzte","masern","verbot","selbstbestimmung","selbstbestimmung","ärztinnen"
"5","herrn","genehmigung","maier","herrn","ziebell","studentenbund","hauptverhandlung","auszeichnungen","blachstein","fonds","bundeskanzlers","pferd","presse","bundeskanzlers","reisen","niederschläge","detergentien","ministerin","verbrauchers","gesundheit","hubert","werbung","hamm","tier","schwarzhaupt","jugendherbergen","ärzte","bechert","strobel","strobel","strobel","westphal","mangerkoenig","umweltschutzes","mangerkoenig","erkrankungen","mangerkoenig","wald","lebensmittelrechts","wolters","gesundheitswesen","prinz","krebs","arzt","logopäden","wolters","krankenhaus","widerspruchslösung","therapie","gesundheit","krebsforschung","krankenhäuser","stoffe","antarktis","duve","handelsflotte","zeichnen","bremer","meeresschildkröten","tiere","konvention","ostfriesland","tierversuchen","natur","industrie","center","industrie","freisetzung","industrie","risiken","arbeitsschutz","genomanalyse","fachkommission","präparat","arbeitsschutz","iwc","seehofer","seehofer","rindfleisch","verbraucher","organspende","chemikalien","klonen","verbraucherinnen","gentechnologie","berufsgenossenschaften","lebensmittel","schutz","verbraucherschutz","gentechnik","import","menschenwürde","ethischen","gentechnisch","klonens","organismen","erfindungen","sterben","forschung","pflanzen","enquetekommission","pflanzen","gentechnisch","stammzelllinien","leben","beratung","patient","tab","leben","kabinenluft","behinderungen","betroffenen","inklusion","unbehindertenrechtskonvention","suizid","suizid","ärzte","eingliederungshilfe","bundesteilhabegesetz","inklusion","ärzte","entscheidung","entscheidung","behinderungen","selbstbestimmung","impfpass","suizid","selbstbestimmung"
"6","berichterstatter","hessischen","innern","immunität","angeklagten","herrn","osthannoverschen","schwarzweissrot","innern","nordrheinwestfalen","journalisten","stunden","brief","sowjetzonalen","arbeitsmaschinen","radioaktiven","orthophosphorsäure","lebensmittel","schwarzhaupt","arzneimittel","gesundheit","bargatzky","dr","dr","schoettle","pflanzenschutzmittel","heuser","gesundheit","jungmann","westphal","psychiatrischen","umwelt","strobel","mangerkoenig","krankenhaus","prinz","landschaftspflege","grundgesetzänderung","gesamtreform","zander","familie","arzneimitteln","saynwittgensteinhohenstein","neumeister","gesundheit","patienten","krankenpflege","krankenkassen","krebsbekämpfung","unterausschuss","krebsbekämpfung","kostendämpfung","nordseegutachten","gesundheit","elbe","seeleute","seerechtskonvention","schiffbau","pflanzenschutzmittel","zeichnung","bundesgesundheitsamt","stoff","arzneimittel","nordsee","atrazin","industrie","schutz","verbot","trinkwasser","antarktis","forschung","krankheit","wasser","tierversuche","trinkwasser","hoechst","bga","lebensmittel","lebensmittel","pharmaindustrie","organe","werbung","mensch","kennzeichnung","arzneimittel","arbeitsschutz","apotheken","arten","frau","menschlichen","gentechnik","renesse","verbot","moratorium","forschung","forschung","embryonen","ressortforschung","bundesärztekammer","sorten","ethikrates","sterben","krebs","embryonen","befruchtung","menschen","patientenrechte","ethikbeirat","menschen","leben","entscheidung","inklusion","unbehindertenrechtskonvention","teilhabe","tod","tod","leben","lösekrugmöller","betroffenen","betroffenen","werbung","ärztinnen","test","entscheidung","leben","behinderung","barrierefreiheit","behinderungen"
"7","geschäftsordnung","ausschusses","verfahren","public","blankenhorn","majonica","informationsdienst","wrasmann","herrn","brief","herrn","staatssekretär","sekou","wortlaut","schaffhausen","atomwaffenversuche","hersteller","haltbarkeitsdauer","ware","schwarzhaupt","verbraucher","hamm","bargatzky","hubert","stoffe","schoettle","vorsorge","krankenhäuser","bevölkerung","funcke","frau","umweltschutzes","ärzte","umweltprogramm","westphal","familie","umweltschutz","landschaftspflege","bundesministerium","wald","ärzte","naturheilmittel","gesundheit","krankenhaus","approbationsordnung","rheumatischen","krankenhäuser","geräte","stoffe","industrie","gesundheit","stoffe","ärzte","stoffe","wolfgramm","reeder","sitz","aufträge","tier","hartenstein","zeichnung","inseln","industrie","stoffe","grundwasser","dehp","tiere","verbraucher","freisetzung","industrie","krankheiten","anwendung","gesundheit","tieren","pflanzen","blunck","bundesgesundheitsamt","medizinprodukte","kennzeichnung","seehofer","hirntod","felder","organe","lebensmittel","tod","fleisch","gentechnisch","patentamt","pid","expo","adulten","embryo","krankheit","iwc","ethik","heiderich","forscher","pid","stammzellforschung","anbau","gremium","krankheit","gentechnik","stichtag","medizinischen","entscheidung","ärzte","ethische","behinderungen","krankheiten","organspender","unbehindertenrechtskonvention","erkrankungen","behinderte","ärzte","palliativversorgung","palliativmedizin","unbehindertenrechtskonvention","teilhabe","behinderung","leben","organe","ärztinnen","geimpft","betroffenen","betreuer","behinderung","schwangerschaftsabbrüche"
"8","aufhebung","fischer","schmidtwittmack","akten","reifferscheidt","artikel","sauberkeit","mineralölwirtschaft","bundeskanzlers","herrn","fonds","transport","umgang","bundeskanzler","dienstgeschäfte","bevölkerung","abbaubarkeit","ware","verbraucheraufklärung","wasser","hamm","beirat","xiv","hunde","rollmann","bundesminister","gesundheitsvorsorge","bundesminister","untersuchungen","ärzte","kranken","ärzte","gesundheitspolitik","westphal","krankenhäusern","einrichtung","naturschutz","umwelt","werbung","arzneimitteln","krankenhäuser","saynwittgensteinhohenstein","abwasserabgabe","ärztlichen","rauchen","rheumabekämpfung","versorgung","patienten","gesundheit","tierversuche","huber","chemischen","gesundheit","patienten","tierarzneimitteln","global","tiefseebergbau","norddeutschen","pflanzen","grunenberg","arzneimitteln","ostfriesischen","verbot","rhein","lebensmittel","document","gesundheit","stoffe","stoffe","umwelt","stoffe","empfehlungen","nitrat","methode","tiere","verbraucher","blutprodukten","arzneimittel","verbraucherschutz","pyrethroiden","seehofer","nachzulassung","organspende","menschen","gesundheit","rinder","verbraucher","verbraucher","medikamentösen","präimplantationsdiagnostik","menschlichen","mensch","ethik","forschung","gentechnisch","happachkasan","gentechnik","gentechnikgesetz","ressortforschungseinrichtungen","drobinskiweiss","architektur","selbstbestimmung","kikkstudie","patienten","reifen","befruchtung","behandlung","arzt","eltern","unbehindertenrechtskonvention","medizinprodukte","leben","psychischen","barrieren","lebens","arzt","behinderung","gabriele","forschung","leben","schwangerschaftsabbrüche","jusos","frauen","impfen","behinderungen","betreuungsrecht","behinderungen","suizid"
"9","schreiben","verkehrsdelikte","innenminister","relations","kesselring","innern","aktion","verliehen","dr","wrasmann","bundeskanzleramt","brief","filme","zeitung","fao","gesundheitswesen","kläranlagen","herstellungsdatum","wettbewerb","arzneimittelgesetz","lebensmitteln","arzneimittel","hebammen","tiere","bundesminister","rauchen","krankheiten","krankheiten","arzneimittel","zusatzfrage","krankenhäuser","mangerkoenig","liter","umwelt","prinz","saynwittgensteinhohenstein","ärzte","familie","lebensmittel","gewässer","kassenärztlichen","jugend","patienten","krankenhäuser","wolters","fiebig","krankenpflegeausbildung","krankenhaus","huber","chemischen","patienten","gesundheitswesen","abfallbeseitigung","arzneimitteln","gewässerschutzes","umweltpolitik","seeschiffahrt","bundesgesundheitsamt","rückstände","saarlandes","dioxine","krebserzeugend","wein","bundesnaturschutzgesetzes","chemischen","chemischen","pflanzenschutzmitteln","gentechnologie","asbest","verbot","schäden","pflanzen","grenzwerte","tierschutzgesetzes","gentechnikgesetz","gentechnikgesetzes","lebensmittel","tierschutz","gentechnisch","bergmannpohl","rindfleisch","menschen","zustimmungslösung","gesundheit","menschen","zulassung","zulassung","handel","alkohol","menschenwürde","menschen","import","embryonen","china","medizin","veränderten","grundlagenforschung","enquetekommission","pflanzen","gentechnikgesetzes","ethischen","patientenverfügungen","nähe","leben","indikation","leben","patientenrechtegesetz","patientinnen","präimplantationsdiagnostik","behinderte","biobanken","patienten","betreuungsbehörde","eingliederungshilfe","beihilfe","hilfe","arzt","bundesteilhabegesetz","gesetz","suizidprävention","arzt","ärzte","behinderungen","impfung","werbeverbot","impfpflicht","tod","ärzte"
"10","justiz","berichterstatter","bundesamt","schröder","immunität","sozialistische","herr","herrn","deutschen","titel","dortmund","ritzel","adenauer","zeitschriften","zwecke","eckardt","presse","lebensmitteln","beyer","verbraucher","beyer","verbände","kaiserslautern","kollegin","kurlbaumbeyer","ministerin","gesundheit","minister","krankenhäuser","mangerkoenig","westphal","frau","benzin","bundesministerium","abfallbeseitigung","ärztlichen","naturschutzes","naturschutz","arzneimittel","arzneimittelsicherheit","zander","apotheken","kassenärztlichen","gesundheit","arzt","gesundheit","geräte","familie","krebs","chemische","bestrahlung","pflegesätze","elbe","arzneimittelgesetzes","spranger","elbe","senator","metz","zulassung","nordseeschutzkonferenz","tiere","seerechtskonvention","stoffe","naturschutz","trinkwasserverordnung","gentechnologie","pflanzenschutzmittel","tierschutz","gesundheit","stoffe","verbot","risiken","kastner","pflanzenschutzmitteln","lebensmittel","prävention","verbraucher","blunck","aids","erkrankungen","zustimmungslösung","forschung","angehörigen","sauer","forschung","britisches","jahrproblem","tiere","präimplantationsdiagnostik","lebens","antrag","wissenschaft","altenbericht","japan","verbot","veränderte","patentrecht","pflanzen","gentechnisch","veränderten","gentechnik","willen","rettungsdienst","embryonale","behandlung","lebendspende","arzneimittel","studien","stammzellen","inklusion","entscheidungslösung","teilhabe","teilhabe","behinderten","behinderungen","selbsttötung","selbstbestimmung","werner","leistungen","erkrankung","schwangerschaftsabbruch","frauen","leben","behinderung","konversionsbehandlungen","betroffenen","sterbehilfe","sterben"
