"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","beamten","auswärtigen","beamten","wiedergutmachung","wiedergutmachung","wiedergutmachung","beamten","dienst","dienst","beamten","beamten","dienst","beamten","beamten","beamtin","beamten","beamten","beamten","beamten","beamten","schmittvockenhausen","dienst","beamten","beamten","beamten","dienstes","dienst","beamten","beamten","dienst","beamten","benda","dienstes","innern","genscher","genscher","genscher","genscher","genscher","dienst","terroristen","dienst","dienst","terrorismus","terrorismus","terrorismus","verfassungsschutz","sicherheitsbehörden","baum","beamten","spranger","beamten","asylbewerber","ausländer","asylbewerber","bundesinnenminister","flüchtlinge","türkei","türkei","türkei","volkszählung","zimmermann","polizei","flüchtlinge","volkszählung","datenschutz","ausländer","ausländer","ausländer","ausländer","juden","sport","unterlagen","asylbewerber","asylbewerber","asylbewerber","flüchtlinge","ausländer","kanther","kanther","ausländer","ausländer","ausländer","staatsangehörigkeit","kanther","staatsangehörigkeit","schily","zuwanderung","npd","zuwanderung","zuwanderung","zuwanderung","zuwanderung","zuwanderung","schily","sicherheit","schily","schily","staatsangehörigkeit","sicherheit","sicherheit","integration","sicherheit","integration","daten","daten","daten","integration","flüchtlinge","staatsangehörigkeit","datenschutz","datenschutz","integration","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","migration","migration","migration","flüchtlinge","grenze","griechenland","migration","geflüchteten"
"2","beamte","beamten","wiedergutmachung","beamten","beamten","beamten","beamtenrecht","beamten","beamten","beamte","dienst","dienstes","dienst","dienst","beamten","weihnachtsgeld","dienst","dienst","dienstes","diäten","dienst","beamten","bundeskriminalamt","dienstes","innenausschuss","dienst","beamten","innenausschuss","petitionsausschuss","dienstes","genscher","innern","beamten","genscher","bundesgrenzschutz","innern","innern","innern","dienst","öffentlichen","innern","maihofer","dienstes","terroristen","terroristen","terroristen","dienst","baum","bundesinnenminister","polizei","bundesinnenminister","nebentätigkeit","polizei","integration","ausländer","schnoor","ausländern","türkischen","chile","afghanistan","folter","verfassungsschutz","afghanistan","asyl","verfassungsschutz","zimmermann","datenschutz","aussiedler","aussiedler","verfassungsschutz","sport","akten","akten","schengener","asylrecht","ausländer","ausländer","ausländern","ausländer","ausländer","kanther","kanther","flüchtlinge","ausländer","ausländer","integration","zuwanderung","asyl","rechtsextremismus","gewalt","schily","schily","schily","zuwanderungsgesetz","bundesinnenminister","schily","bundesinnenminister","sicherheitsbehörden","schily","kontrollgremium","terrorismus","schäuble","schäuble","datenschutz","datenschutz","datenschutz","datenschutz","daten","zuwanderung","migranten","daten","flüchtlinge","flüchtlinge","staatsbürgerschaft","flüchtlingen","flüchtlingen","menschen","integration","integration","menschen","familiennachzug","flüchtlinge","flüchtlinge","migration","griechenland","griechischen","menschen","menschen"
"3","öffentlichen","dienst","dienst","auswärtigen","dienst","auswärtigen","beamte","hochschullehrer","beamte","auswärtigen","korruption","auswärtigen","innenausschuss","kühlthau","matzner","dienstes","harmonisierungsnovelle","dienstes","petitionsausschuss","dienst","beamten","öffentlichen","dienst","petitionen","dienst","angestellte","brück","dienstes","vergütungsgruppe","beamten","innern","verbrechensbekämpfung","dienst","dkp","bundesgrenzschutzes","mandel","dienst","dienst","innern","innern","bundesgrenzschutz","oldenburg","beamten","maihofer","bekämpfung","schleyer","öffentlichen","beamten","beamten","verfassungsschutzbericht","dregger","asylbewerber","demonstrationen","ausländern","türkei","beamten","türkei","bundesinnenminister","menschenrechte","datenschutz","datenschutz","bundesinnenminister","daten","polizei","daten","volkszählung","zimmermann","sport","schäuble","schäuble","schäuble","unterlagen","asylbewerber","asylrecht","ausländer","asylrecht","asylbewerber","staatsangehörigkeit","staatsangehörigkeit","innenminister","schmalzjacobsen","flüchtlinge","innenminister","staatsbürgerschaft","aussiedler","schily","rüttgers","marschewski","zuwanderung","rechtsextremismus","sicherheit","sicherheit","bosbach","ausländer","sicherheit","bundesinnenminister","sicherheit","terrorismus","bundesinnenminister","untersuchungsausschuss","antiterrordatei","winkler","integration","daten","schäuble","sicherheit","integration","datenschutz","daten","daten","deutschland","residenzpflicht","daten","staatsangehörigkeit","deutschland","menschen","integration","menschen","menschen","afghanistan","menschen","pakt","menschen","migranten","integration","deutschland","asyl","ukraine"
"4","dienst","amt","condor","amt","beamte","verfolgten","anerkennungen","lehrer","besoldungsgruppe","bundesgrenzschutz","arbeitszeit","flut","auswärtigen","dienstes","dienst","dienst","dienstes","öffentlichen","dienst","vorlage","dienstes","dienstes","gscheidle","beamte","gscheidle","beamten","öffentlichen","dienst","dienst","genscher","dienstes","genscher","öffentlichen","dienstes","sicherheit","besoldungsvereinheitlichungs","dkp","öffentlichen","dienstes","polizei","bundesgrenzschutzes","öffentlichen","gehobenen","verfassungsschutz","terroristischen","bundeskriminalamt","beamten","polizei","spranger","bundesgrenzschutz","polizei","dienst","bundesamt","ausländischen","asylverfahren","dienst","cap","volkszählung","türkischen","ausländer","konvention","volkszählung","bürger","flüchtlingen","bürger","datenschutzbeauftragten","datenschutzbeauftragten","zimmermann","innern","ausländern","innern","köppe","aufarbeitung","flüchtlinge","flüchtlinge","asyl","bürgerkriegsflüchtlinge","einbürgerung","flüchtlinge","flüchtlinge","staatsangehörigkeit","innenminister","marschewski","kanther","spätaussiedler","staatsbürgerschaft","bundesinnenminister","green","gewalt","marschewski","bundesinnenminister","beckstein","sicherheit","integration","integration","zuwanderung","integration","informationen","integration","schäuble","sicherheitsbehörden","flüchtlinge","bundespolizei","schäuble","integration","sicherheitsbehörden","abkommen","bundespolizei","flüchtlingen","integration","zuwanderung","daten","deutschland","flüchtlingen","asylbewerber","asylbewerber","flüchtlingen","flüchtlingen","flüchtlingen","zuwanderung","flüchtlinge","bamf","staatsangehörigkeit","miri","flüchtlinge","moria","deutschland","flüchtlinge"
"5","dienstes","öffentlichen","legion","dienstes","nationalsozialistischen","amt","bewerber","dienstes","lehrer","amt","beamte","verband","anhebung","einfachen","kühlthau","vorschuss","besoldung","schmittvockenhausen","eingaben","dienstes","petitionen","sachverständigenrat","innenausschuss","verwaltung","dienstes","angestellten","verbesserungen","besoldungsgruppe","beamte","öffentlichen","dienst","bundeskriminalamt","besoldung","innenausschuss","innern","reise","beamten","dienstes","polizei","bewerber","beamten","schaumburglippe","öffentlichen","traube","schleyer","polizei","verfassungstreue","innenminister","innern","asylbewerber","baum","polizei","asyl","türken","einbürgerung","hirsch","beamten","türkische","film","personalausweis","daten","afghanistan","datenschutz","zimmermann","sportler","daten","baumann","datenschutz","staatsangehörigkeit","innern","daten","verfassungsschutz","ausländer","asyl","asyl","staatsangehörigkeit","abschiebung","ausländerbeauftragten","abschiebung","sonntagwolgast","sonntagwolgast","sonntagwolgast","staatsangehörigkeit","flüchtlinge","zuwanderung","ausländer","ausländer","deutschland","marschewski","flüchtlinge","marschewski","polizei","terrorismus","staatsangehörigkeit","innenminister","innenminister","zuwanderungsgesetz","datenschutz","informationsfreiheitsgesetz","terrorismus","datei","sicherheit","bundesinnenminister","terrorismus","bka","thw","elena","staatsangehörigkeit","deutschland","deutschland","integration","stiftung","staatsangehörigkeit","optionspflicht","staatsangehörigkeit","deutschland","migration","herkunftsstaaten","land","familiennachzug","bamf","migranten","asylbewerber","menschen","deutschland","menschen","migranten","integration"
"6","auswärtigen","dienstes","dienstes","dienst","berufssoldaten","ausland","verfolgten","stundenwoche","verwertungsstelle","ausland","auswärtigen","petenten","amt","mittleren","petenten","angestellten","gscheidle","matzner","beamte","abgeordneten","beamte","schmittvockenhausen","brück","dienst","beamte","petitionen","dienstes","besoldung","verwaltung","wagner","öffentlichen","beamten","vereinheitlichung","becker","polizei","sicherheit","polizei","minister","dkp","terroristen","vereinigungen","bewerber","terrorismus","polizei","beamten","höcherl","dregger","bundesinnenminister","bgs","bundesinnenminister","innern","beamte","asylrecht","baum","asylrecht","nordrheinwestfalen","ausländer","innenminister","bundesinnenminister","ausweis","menschenrechte","polizei","verfassungsschutz","innenminister","zimmermann","polizei","ausländern","innern","sport","datenschutz","dienste","gerster","stasi","asylverfahren","asylrechts","flüchtlinge","innenminister","schmalzjacobsen","innern","asylbewerber","marschewski","schmalzjacobsen","integration","rassismus","einwanderungsland","doppelte","flüchtlinge","schily","innenminister","integration","integration","uhl","zuwanderungsgesetz","deutschland","umzug","polizei","koschyk","bundesinnenminister","untersuchungsausschuss","schily","bnd","innenminister","daten","zuwanderung","sis","integration","vorratsdatenspeicherung","onlinedurchsuchung","zwangsheirat","flüchtlinge","datenschutzes","asylbewerber","aufenthaltsgesetz","migration","menschen","mittelmeer","deutschland","einstufung","staatsbürgerschaft","migration","land","menschen","asyl","deutschland","migranten","migranten","integration","registrierung"
"7","angestellten","amts","öffentlichen","öffentlichen","dienstes","entschädigungsbehörden","ausländer","amt","dienstes","dienst","öffentlichen","tätigkeit","beamte","innenausschuss","eingaben","verbeamtung","bundesbesoldungsgesetzes","besoldung","öffentlichen","bezüge","eingaben","beamtenbesoldung","öffentlichen","innenausschuss","beamtenschaft","goetheinstituts","innenausschuss","schmittvockenhausen","diäten","innern","schäfer","sofortprogramm","gehobenen","polizei","länder","auffassung","sicherheit","beamten","beamte","maihofer","kriminellen","dkp","neugliederung","bundesinnenminister","martin","bekämpfung","bewerber","sicherheit","bundesgrenzschutzes","spranger","dienst","bundesinnenminister","dregger","ausländerpolitik","ausländerfeindlichkeit","ausländer","datenschutzbeauftragten","daten","innenminister","türkischen","auswärtigen","tiedge","sicherheit","asylbewerber","hirsch","innern","daten","asylbewerber","einbürgerung","übersiedler","jüdischen","schäuble","ausländerfeindlichkeit","zuwanderung","zuwanderung","schengener","jelpke","jelpke","vietnam","ausländergesetzes","reform","marschewski","staatsbürgerschaft","integration","integration","bundesinnenminister","innenminister","ausländer","extremismus","deutschland","ausländer","integration","integration","schily","bundesgrenzschutz","flughafen","innenminister","informationsfreiheitsgesetz","innenminister","nachrichtendienste","journalisten","bundesinnenminister","integrationsplan","integrationspolitik","sicherheit","kontrolle","flüchtlinge","elena","datenschutz","datenschutz","migration","integration","datenschutz","asylbewerber","optionspflicht","asyl","asyl","land","deutschland","abschiebungen","integration","familiennachzug","integration","personen","grenzen","migration","staatsbürgerschaft","polen"
"8","personen","auswärtige","beamte","beamte","freiwilligen","dienstes","dienstgradherabsetzung","besoldungsgruppe","besoldung","seelsorge","schmitt","jahre","dienstes","reichsnährstandes","abfindung","höcherl","beamte","verbesserungen","petitionsausschusses","beamte","zivilbeschäftigten","besoldung","dienstes","öffentlichen","verwaltung","beamte","stufe","verbesserungen","besoldungsneuregelungsgesetz","erhöhung","beamte","kriminalpolizei","innenausschuss","beamten","inneren","bundesgrenzschutz","länder","zentralstelle","beamten","inneren","sicherheit","verfassungstreue","berger","innenminister","polizei","sicherheit","verfassungsschutzes","innenausschuss","bundesgrenzschutz","baum","verfassungsschutz","baum","flüchtlinge","asylbewerber","asyl","innenminister","bundesinnenminister","demokratie","flüchtlinge","kurden","chile","datenschutz","hirsch","dick","gesetze","speicherung","asylbewerber","innenminister","schengener","verfassungsschutzes","hirsch","aufarbeitung","sed","ausländer","politisch","zuwanderung","ausländern","ausländergesetz","ausländergesetzes","einbürgerung","integration","rückführung","özdemir","bundesinnenminister","marschewski","zuwanderung","tampere","rüttgers","bundesinnenminister","ausländer","innenminister","terrorismus","innern","grindel","zuwanderungsgesetz","integration","terrorismus","polizei","datei","integration","ströbele","migration","sicherheitsbehörden","migranten","zuwanderung","europol","sicherheit","deutsch","wolff","integrationskurse","flüchtlinge","asylbewerberleistungsgesetz","flüchtlingen","deutschland","migration","integration","kommen","sicheren","staatsangehörigkeit","deutschland","zuwanderung","flüchtlingen","einwanderung","staatsangehörigkeit","griechischen","flüchtlinge","ausländerzentralregisters","geflüchtete"
"9","amt","handbuch","verwaltung","bundesentschädigungsgesetzes","wehrmacht","dienst","vorgesetzten","auswärtigen","laufbahn","gehobenen","dienstes","ritzel","iv","bezüge","beamtengruppen","zahlung","öffentlichen","petitionsstelle","besoldung","unabhängigkeit","vorstandes","anpassung","schmittvockenhausen","petitionsausschuss","miessner","öffentlichen","besoldungsneuregelungsgesetzes","öffentlichen","besoldungsgruppe","besoldungsrückstandes","ruhestand","schäfer","innern","wagner","bundesinnenminister","terroristen","dienstes","kpd","bundesinnenminister","innenminister","inneren","niedersachsen","terroristischen","bekämpfung","mord","maihofer","dienstes","inneren","riedl","dienst","beamten","innern","demonstranten","polizei","ausländern","baum","kühbacher","menschenrechte","ausländer","chile","polizei","hirsch","zevis","bundesrepublik","boykott","datenschutzbeauftragte","flüchtlinge","waffenschmidt","übersiedler","gerster","verfassungsschutz","stasi","köppe","genfer","seiters","asylrechts","ulla","lebenden","schengener","bürgerkriegsflüchtlinge","ausländern","integration","ausländern","sonntagwolgast","ausländern","staatsangehörigkeitsrecht","integration","card","schily","ausländischer","bosbach","deutschland","strobl","richtlinie","zuwanderung","luftsicherheitsgesetz","polizei","strobl","stadler","bundesinnenminister","polizei","datenschutz","terrorismus","innenminister","terrorismus","schäuble","staatsangehörigkeit","zuwanderung","integration","türkischen","mayer","deutschland","zuwanderer","menschen","beck","zuwanderung","asylverfahren","innenminister","abschiebungen","flüchtlingen","asylverfahren","asyl","deutschland","seehofer","migration","inseln","flüchtlinge","kommunen"
"10","wiedergutmachung","angestellten","angestellten","amts","amt","nationalsozialistischen","unehelichen","besoldungsordnung","gehobenen","zollverwaltung","beamtenschaft","beamten","kühlthau","beamte","beamtenrechtlichen","überleitung","brück","gscheidle","beamtenrechts","doppelversorgung","bundesrechnungshofes","brück","huyn","besoldungsgruppe","besoldung","verwaltung","besoldungsneuregelungsgesetz","besoldungsneuregelungsgesetz","dienstes","beamte","bundesgrenzschutz","polizei","wagner","dienst","beamten","neuregelungsgesetz","verfassungsschutz","beamte","öffentlichen","bewerbers","polizei","mitgliedschaft","vereinigung","rechtsstaat","rechtsstaat","dregger","spranger","spranger","innenausschuss","bundesgrenzschutzes","dienstes","asylrecht","gewalt","gerster","integration","innenpolitik","gerettet","flüchtlingskommissar","zimmermann","hirsch","datenschutzbeauftragten","menschenrechte","zimmermann","grenze","datenschutz","sport","datenverarbeitung","volkszählung","ausländern","schengener","gerster","staatssicherheit","schäuble","schäuble","verfolgte","verfolgte","bundesgrenzschutz","staatsbürgerschaft","schmalzjacobsen","innenausschuss","flüchtlinge","flüchtlingen","sonntagwolgast","menschen","ausländerrecht","kinder","jelpke","innenminister","ausländer","schily","verfassungsschutz","leutheusserschnarrenberger","bundesinnenminister","bundesinnenminister","digitalfunk","terrorismus","sicherheitsbehörden","stokar","erlasse","bnd","geheimdienste","pass","innenminister","bka","elena","nachrichtendienste","innenminister","migranten","veit","sicherheitsbehörden","flughafenverfahren","zuwanderung","bleiberechtsregelung","zuwanderung","asyl","einwanderung","kommunen","marokko","migration","einwanderungsgesetz","migranten","asylverfahren","zuwanderung","grenzen","menschen","lesbos","migrationspolitik","migration"
