"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","verordnungen","apotheke","sonntage","antrag","jugendlichen","rezeptpflicht","ärzte","ausbildung","sekretärin","ausbildung","ausbildung","ausbildung","ausbildungshilfe","textilindustrie","tankstellengewerbes","kollege","fremdenverkehr","untersuchungsausschuss","fremdenverkehrs","schriftsteller","schriftsteller","schober","unternehmen","künstler","argentinischen","jugoslawien","grass","steiner","künstler","gutachten","künstler","künstler","parlament","parlaments","enquetekommission","wahl","europäischen","eurocontrol","geschäftsordnung","wahl","parlament","kontrollkommission","libanon","libanon","petitionsausschuss","entwicklungsrisiken","petitionsausschuss","petitionsausschuss","parlaments","petition","petition","petitionen","petition","plenarsaal","parlament","petitionsausschuss","petition","bundesrechnungshof","parlament","parlament","parlament","parlament","beschluss","bundestages","petitionsausschuss","parteien","petitionsausschuss","berlin","parlament","petitionen","überhangmandate","petitionsausschuss","wahlkreise","petitionen","parteien","petitionsausschuss","petitionen","beamten","massstäbegesetz","petitionsausschuss","petitionsausschuss","krüger","petitionsausschuss","werften","petitionsausschuss","beamten","bürger","untersuchungsausschuss","gmbh","petitionen","petitionsrecht","petitionen","petitionen","petitionsausschuss","petitionen","mitglieder","demokratie","überhangmandate","überhangmandate","ehe","wahlrecht","demokratie","ehe","petitionen","ehe","ehe","demokratie","ehe","ehe","demokratie","ehe","grundgesetz","wahlrecht","wahlkreise","bundestag","bundestag","bundestag"
"2","herr","fraktion","herr","vizepräsident","fraktion","dr","dr","dr","abzulehnen","unertl","mittelstandsausschuss","antrag","apotheker","antrag","erben","jugendliche","arzneimittel","arzt","luitpoldhütte","ärzte","krankenschwester","schulbildung","studenten","ausrüstungshilfe","kleiderstoffindustrie","jährigen","vogel","fremdenverkehrs","süsterhenn","herr","künstler","fremdenverkehr","sozialenquete","selbständigen","verwertungsgesellschaften","argentinien","entschädigung","herr","wienand","zeugen","rauschning","kunst","abgeordneten","lenz","parlament","parlament","parlament","parlament","parlament","parlament","mitglieder","bundestages","parlamentarischen","bundesrechnungshof","israel","petitionen","schäfer","entschädigung","petition","parlament","petitionsausschuss","rechnungshof","petitionsausschuss","parlaments","petitionsausschuss","petition","petition","geschäftsordnung","petitionsausschuss","parlaments","geschäftsordnung","petitionsausschuss","abgeordneten","föderalismuskommission","parlament","petitionen","berlin","kommission","pds","abgeordneten","petenten","petitionsausschuss","conradi","wahlrecht","petitionsausschuss","bundestages","petitionen","petitionsausschuss","wahlrecht","finanzausgleich","petitionen","petitionen","demokratie","petitionen","schiffbau","petitionen","post","meinungsäusserung","petitionsausschuss","ifc","petitionsausschuss","petitionsausschuss","petitionsausschuss","petitionsausschuss","petitionen","petitionsausschuss","stimmkarte","petitionen","wahlrecht","wahlrecht","rechtsschutz","ehe","ehe","geschäftsordnung","petitionsausschuss","petitionen","parteien","petition","sponsoring","petitionen","npd","parteien","demokratie","wahlkreise","abgeordneten","demokratie","petitionen","abgeordneten"
"3","ausschuss","vizepräsident","umdruck","umdruck","dr","präsident","vizepräsident","vizepräsident","dr","kennzeichnungspflicht","belegschaftshandel","gewerbeordnung","antrag","arzneimittel","gesundheitsamt","friseurhandwerk","arzneimitteln","fachlich","krankenpflege","tierärzte","beruf","zehnjährige","haag","ausrüstungs","tuch","ladenschlussgesetzes","herr","kurorte","zeugin","zwischenfrage","schober","autoren","mitarbeiter","mittelstand","bildenden","nutzniesser","saarland","gewerkschaft","zeugen","beweisaufnahme","elbgrenze","trauerbeflaggung","mandat","parlaments","untersuchungsausschusses","parlaments","minderheit","wahl","flugsicherung","parlaments","bundestages","plenarsaal","untersuchungsausschuss","rechnungshof","schäfer","petition","fürth","kontrolle","petitionen","petition","petitionen","petenten","parlament","petitionsausschuss","petitionen","parlaments","petenten","bundestages","petition","geschäftsordnung","parteien","bundestages","bundestages","berlin","abgeordneten","bannmeile","umzug","petitionen","bundestages","parlaments","petitionsausschuss","petitionen","petition","verkleinerung","petitionsausschusses","präsidium","eingaben","petenten","wahlrechts","länder","demokratie","bürger","lötzsch","beamten","korea","petenten","zuweisung","information","untersuchungsausschusses","diäten","petenten","petitionen","gmbh","gmbh","bürgerinnen","petition","wahl","petitionsausschuss","stimmgewicht","bundesverfassungsgericht","krings","petitionen","lebenspartnerschaften","abgeordneten","demokratie","petition","gleichstellung","petitionsausschuss","parteien","npd","enquetekommission","stiftungen","grundgesetzes","bundestag","wahlrecht","abgeordneten","grundgesetz","demokratie"
"4","dr","präsident","präsident","präsident","herren","umdruck","herren","herr","bitten","präsident","sports","krabben","kanka","arzneimitteln","zuweisung","samstagnachmittag","contergan","heilbehandlung","architekten","dr","hubert","frau","krankenhäuser","ausbildung","orchester","kollege","frage","fremdenverkehrswirtschaft","hs","entfernung","schriftstellern","büchereien","personenkreis","mittelständischen","verwertungsgesellschaft","offergeld","herr","auslandsschulwesen","ehmke","kunst","ermittlungsverfahren","autoren","entschädigung","bundesliste","untersuchungsausschüsse","kommission","enquetekommission","klepsch","europäischen","demokratie","geschäftsordnung","bauten","untersuchungsausschusses","rechnungsprüfungsausschuss","kriegsgräber","petitionsausschusses","haase","kontrollkommission","petenten","abgeordneten","petenten","petitionsausschuss","petition","parlament","bundestages","geschäftsordnung","petitionsausschusses","parlament","parlament","fraktionen","volkskammer","parlaments","parlaments","parlament","parlaments","petenten","bundestages","petenten","geschäftsordnung","petitionsausschuss","geschäftsordnung","umzug","petent","petitionen","demokratie","bannmeile","petitionsausschusses","petitionsausschusses","demokratie","finanzkraft","onlinewahlen","demokratie","dank","petition","china","girokonto","bürsch","konto","gmbh","abgeordnetenentschädigung","eingaben","bürgerinnen","diäten","petition","petitionsrecht","aupairs","stimmkarten","direkte","demokratie","petitionen","bundesverfassungsgericht","bundesverfassungsgericht","staatsleistungen","bundestages","bundesverfassungsgerichts","paare","spenden","petitionen","gleichstellung","demokratie","direkte","artikel","verfassung","grundgesetz","bundestag","grundgesetz","demokratie","geschäftsordnung"
"5","fraktion","dr","dr","herr","präsident","damen","bitten","umdruck","präsident","stammberger","schmücker","bier","dittrich","sonntagen","erbrecht","warentests","hubert","ärzten","krankenschwestern","ausbildung","schwester","krankenschwester","kenntnisse","spannungsgebiet","dr","gift","schmücker","urlaub","zeugen","bayerischen","sozialenquete","schober","rundfunk","mittelständische","unternehmen","grosse","kollege","sahm","schäuble","künstlerischen","verdacht","künstlern","dienstes","abgeordneten","lenz","verfassungsreform","veröffentlichung","parlaments","luftraum","bundestages","gewählt","parlaments","rauschenbach","bundesrechnungshofes","volksbund","eingaben","nötige","petitionen","kontrolle","parlamentarischen","parlaments","bundesrechnungshof","parlaments","bundestages","parlament","fraktionen","bundestages","petenten","bundestages","bundestages","wahl","geschäftsordnung","überprüfung","bundestages","kommission","parlament","parlament","petitionsausschusses","fraktionen","diäten","häfner","reformkommission","petenten","überhangmandate","bürger","parlaments","bürger","petition","friese","solidarpakt","bürgerinnen","petenten","wählerinnen","petenten","beamten","petition","sonderzahlungen","bürgers","beweisaufnahme","eintragung","petitionsausschusses","notar","petition","bürger","bürger","geschäftsordnung","wahlausweis","petition","vorschlag","petitionsausschuss","wahlrecht","lebenspartnerschaft","gleichstellung","minderheitenrechte","lebenspartnerschaften","petitionsausschuss","lebenspartner","ehe","diskriminierung","parteien","bundesverfassungsgericht","demokratie","artikel","parteien","demokratie","parteien","parteien","mehrheit"
"6","vizepräsident","herr","vizepräsident","lesung","vizepräsident","herren","präsident","präsident","ausschuss","stoffe","präsident","lebensmittelgesetz","stammberger","lange","hof","verbraucher","nebenwirkungen","berufsgenossenschaften","hubert","hubert","krankenpflege","beruf","irland","krankenanstalten","schweizer","kunstdünger","dokumente","fremdenverkehrsgewerbe","dattendorfer","ferien","komponisten","verdacht","journalisten","unternehmer","verlage","argentinische","anr","palästinenser","untersuchungsausschusses","untersuchungsausschusses","unterhaltszahlungen","bildenden","bundestages","wahl","mitglieder","wahl","parlaments","europäische","parlaments","mitglieder","bundesrechnungshof","demokratie","bundestages","parlaments","palästinenser","petenten","pauli","parlamentarischen","parlamentarischen","petenten","parlament","parlament","petenten","parlamentarischen","fraktionen","hammbrücher","parlament","parlaments","petitionsausschusses","parlamentsreform","pds","wahlvorschlag","kommission","petitionen","schweigepflicht","eingaben","konzeptkommission","petition","parlament","stiftungen","petition","berlin","bürger","abgeordneten","eingaben","parlamentarischen","petenten","bürger","parteien","petitionsausschuss","bürger","bürgerinnen","kommunaler","dienst","dienst","konto","abgeordnetenversorgung","nöte","sachstandsbericht","limited","petition","petenten","bürger","petenten","ihks","petenten","geschäftsordnung","bürger","mandate","stimmgewicht","wahl","beck","transparenz","wahl","kirchen","lesben","gesetzentwurf","tab","beck","petitionsausschuss","bundestages","grundgesetz","wahlrecht","bundestages","bundesverfassungsgericht","abgeordnete","artikel","bundestages"
"7","damen","herren","damen","dr","damen","bitten","damen","damen","möchte","dr","stammberger","frau","apotheken","energiewirtschaftsgesetzes","gesetz","berufsschule","arzneimittelgesetz","verletzten","krankenhaus","teilgutachten","rechtsverordnung","volksschülerin","studium","visum","gebietsreform","bibliothek","höchstbeträge","schwabe","lenz","kollege","fuchs","künstler","schriftsteller","mittleren","künstlern","lebensjahr","wären","aufträge","untersuchungsausschuss","zeuge","transfer","transfer","sonderausschuss","stimmzettel","untersuchungsausschuss","parteien","wähler","parteien","maastricht","collet","schriftführer","hauptstadt","parlamentarische","rechnungshofes","israelischen","bundestages","trete","rechnungsprüfungsausschuss","petitionsausschusses","informationen","bürger","parlaments","parlamentarischen","verhaltensregeln","petitionsausschusses","plenum","petitionen","sitzordnung","petitionen","petition","bundestages","bündnis","mitglieder","geschäftsordnung","ullmann","fraktionen","parteienfinanzierung","arbeit","sitzordnung","verkleinerung","parlament","wahlkreise","petitionen","bürgerinnen","bürgerinnen","parlament","demokratie","bürgerinnen","belle","ii","petition","petitionsausschusses","wahl","petitionsausschusses","reeder","petitionsrecht","beamtinnen","jedermann","bürger","steuerzahler","bürger","anfrage","altersversorgung","bürgerinnen","petitionswesen","redaktionsstab","wahlurnen","bürgerinnen","bundesverfassungsgericht","demokratie","partei","gleichstellung","petitionen","grundgesetz","ehe","bundesverfassungsgericht","grundgesetz","grundgesetz","parteiengesetz","partei","plenum","petitionsausschuss","bundesverfassungsgericht","demokratie","bundestages","artikel","kirchen","parlament"
"8","möchte","umdruck","herren","damen","umdruck","vizepräsident","abzulehnen","bitten","natovertrages","regierungsvorlage","fraktion","borsäure","apothekers","elbrächter","abzulehnen","samstagnachmittagen","antrag","zugelassen","berufsausübung","mindestanzahlung","frau","vorbildung","krankenhausversorgung","antrag","lösungen","jubiläum","dr","kurtaxe","akten","anforderung","urheberrechts","herr","institut","mittlere","künstlers","mitarbeiter","rohwedder","textil","zeuge","minderheit","wdr","streifenboot","mitglieder","landeslisten","enquetekommission","organ","wahltag","wahlkreise","wahl","geschäftsordnungsausschuss","alterspräsident","geschäftsordnung","abgeordnete","parlament","pflege","italienischen","verbindlichkeit","kleinert","kleinert","petitionen","petitionsausschusses","parlamentarischen","plenum","abgeordneten","mitglieder","abgeordneten","parlaments","petitionsausschuss","parlaments","parlamentarischen","fünfprozentklausel","petitionen","parteien","petitionsausschuss","bundestag","petitionsausschusses","fraktionen","parlament","parteien","arbeit","diäten","eingaben","bürgerbeauftragte","bürger","parlament","staatssekretäre","bürgerinnen","eingaben","dienst","föderalismus","finanzausgleich","petition","parlament","berufsgenossenschaften","marineschiffbau","to","beamte","verwaltung","petitionsrecht","unabhängige","bürgerinnen","listen","petenten","petitionsausschusses","petition","eingaben","kreuz","volksentscheid","lobbyismus","bürger","demokratie","kirchen","bürger","bundesverfassungsgericht","richter","grundgesetz","lebenspartnerschaft","bürger","gleichgeschlechtliche","ehen","afd","petitionen","wahl","abgeordneten","vorschlag","bundestages","bundestages","grundgesetz"
"9","herren","damen","lesung","wort","lesung","herr","möchte","abgeordnete","fraktion","ausnahmen","ausschuss","reisegewerbe","herr","gewerbeordnung","ei","jugendarbeitsschutzgesetz","rezept","versorgung","krankenschwester","verlautbarung","ärzte","abgeschlossene","studiums","junker","anomalen","wettbewerbs","fahnenflucht","zentrale","dame","fremdenverkehrsgewerbes","herr","sozialfonds","fernsehanstalten","betriebe","schober","kleinen","lohnforderungen","folgt","minderheit","untersuchungsausschuss","guthaben","meinecke","publizisten","haushaltsrechtsreform","untersuchungsverfahren","schlussbericht","europäischen","wahlrecht","mitglieder","parlamentarischen","bundesrechnungshofes","fraktionen","demonstration","libanesischen","gräber","anliegen","israelische","petitionsausschusses","nachrichtendienste","geschäftsordnung","plenum","petitionen","petitionsausschusses","gremium","plenarsaals","bundesrechnungshof","geschäftsordnung","fraktionen","petenten","parlamente","sperrklausel","antrag","ullmann","konzeptkommission","fraktionen","bundestages","bonn","parteien","heym","kommission","abgeordneten","bundestages","parlament","reformkommission","petition","kollegen","petition","demokratie","diäten","länderfinanzausgleich","länder","föderalismus","herzlich","beamtinnen","petition","bürgerinnen","diäten","wort","petitionen","untersuchungsausschusses","petitionsrecht","gmbh","abgeordneten","unternehmergesellschaft","naumann","petitionsausschusses","bitte","petenten","negativen","beck","lebenspartnerschaft","lebenspartnerschaften","bürgerinnen","mitglieder","petition","gleichstellung","gleichgeschlechtliche","anliegen","lebenspartnerschaft","grundgesetz","ausschüsse","parteienfinanzierung","petitionen","petitionen","parteien","lobbyregister","abgeordnete","fraktionen"
"10","glaube","ausschuss","fraktion","abgeordnete","herr","abgeordnete","abgeordnete","herren","spd","umdruck","einzelhandel","kollegin","verpachtung","ladenschlussgesetzes","dr","jugendarbeitsschutzgesetzes","frau","hamm","kräfte","antrag","vorbildung","hubert","frau","zugang","niedrigpreisländern","ausbildung","grossrichter","werbung","schriftsteller","staatsminister","moersch","schriftstellern","abgeordneten","koenig","schriftsteller","mitteln","kahnackermann","katastrophenschutzes","verdacht","bericht","april","künstlerbericht","angehörigen","bundestages","nachrichtendienste","kandidaten","wahlberechtigten","europa","genossenschaften","europäischen","stimmen","planung","sadat","parlamentarischen","volksbundes","parlaments","israel","diäten","wirtschaftspläne","volksentscheid","bundestages","mitglieder","bundestages","fraktionen","petenten","parlamentsreform","fraktionen","kleinert","parlamentarischen","hammbrücher","wahlrecht","fraktionen","pds","beschlusses","parlamentarischen","parlaments","beschluss","bericht","berliner","bundestages","stiftungen","parlament","bürgerbeauftragten","bundestages","arbeit","bürger","bundestages","parlament","wahlkreise","bund","kommunalen","mitwirkungsrechte","herren","bürgerinnen","behörde","tež","ggo","geltendmachung","uhl","abgeordneten","ausschuss","petitionsrechts","eingaben","beamten","gmbh","arbeit","gewählt","volksbegehren","parteien","wähler","wahlen","petitionsausschuss","lesben","rechte","gleichstellung","lebenspartnerschaften","personen","petenten","grundgesetz","bundesverfassungsgericht","grundgesetzes","bundesverfassungsgericht","parteien","petitionsausschuss","bundestagswahl","wahlrecht","petitionsausschuss","abstimmungsreihenfolge"
