"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","saar","saar","saar","frankreich","sonntagsarbeit","wyler","filmindustrie","filmwirtschaft","saarländischen","urheber","verfassungsschutz","anstalten","urheber","sender","gesamtdeutsche","presse","presse","diehl","wetzel","presse","ahlers","ehmke","ehmke","ehmke","ahlers","ehmke","ehmke","journalisten","chef","bundeskanzler","guillaume","chef","schlei","bölling","herr","abgeordneter","abgeordneter","zwischenfrage","abgeordneter","abgeordneter","strauss","zwischenfrage","medien","medienbericht","zwischenfrage","welle","springer","herr","gmbh","herr","ded","schweizer","gmbh","co","film","kohle","rheinhausen","rheinhausen","kohle","kohle","nordrheinwestfalen","region","steinkohle","region","margarethenhütte","stahlindustrie","stahlindustrie","braunkohle","eko","stromeinspeisungsgesetz","dasa","vulkan","sket","wettbewerb","banken","dat","metro","stadtwerke","holzmann","ladenschluss","post","post","unternehmen","ladenöffnungszeiten","handwerk","wettbewerb","wettbewerb","mitbestimmung","regulierungsbehörde","offenlegung","ministererlaubnis","unternehmen","telekom","wettbewerb","ikb","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","verbraucher","banken","banken","banken","finanztransaktionsteuer","ezb","banken","wirecard","ezb"
"2","berliner","berliner","zonenrandgebiet","berliner","berliner","berliner","berliner","zone","fernsehen","berlin","saarländischen","saarland","saar","sonntag","schwerbeschädigten","filmwirtschaft","westdeutschen","grenzgänger","urheberrecht","seeschiffahrt","fernsehen","urheberrecht","rundfunk","gesamtdeutschen","zeitungen","zeitungen","presse","gesamtdeutsche","journalisten","ehmke","aufgaben","ahlers","entwicklungspolitik","presse","herr","aufgaben","ravens","grabert","staatssekretärin","ehmke","bölling","frau","staatssekretär","abgeordneter","herr","zwischenfrage","gestatten","herr","herr","medien","gestatten","zwischenfrage","rundfunk","gestatten","film","zwischenfrage","zwischenfrage","co","gmbh","mitarbeiterkonferenz","ded","co","britischen","fernsehen","stahlindustrie","kohle","ruhrgebiet","ruhrgebiet","steinkohle","kohle","energieversorgung","möllemann","steinkohle","region","wismut","bischofferode","steinkohle","eisenhüttenstadt","kernenergie","raumfahrtindustrie","bremer","bvs","sanierung","wettbewerb","de","werften","wettbewerb","werften","unternehmen","unternehmen","ag","kirch","post","unternehmen","verbraucher","unternehmen","sparkassen","wettbewerb","unternehmen","unternehmen","wettbewerb","unternehmen","unternehmen","kfw","krise","unternehmen","finanzmärkte","bank","finanztransaktionsteuer","krise","aufsicht","regulierung","bank","bankenunion","bank","schick","bausparkassen","bank","verbraucher","banken","verbraucher","kredite","bank","griechenland","zentralbank","bafin","bafin","unternehmen"
"3","deutschen","notopfer","hilfe","fremdenlegion","notopfer","zone","berlins","berliner","berliner","saarlandes","saarland","saarlandes","französischen","stahlindustrie","saarlandes","filme","besold","saarland","fernsehen","handelsflotte","rundfunkanstalten","künstler","fernsehen","südtirol","zeitschriften","güntherkommission","zeitungen","bundeszentrale","ausschusssitzungen","bundespressechef","öffentlichkeitsarbeit","herr","chile","chef","presse","besondere","presse","bundeskanzleramtes","schlei","schlei","schlei","staatssekretärin","abgeordneter","bölling","zwischenfrage","gestatten","abgeordneter","zwischenfrage","bundesminister","franz","herr","gestatten","herr","herr","stahlwirtschaft","herr","gestatten","amp","errichtung","entwicklungshelfer","herr","amp","amp","filmförderung","steinkohle","stahlindustrie","nordrheinwestfalen","nordrheinwestfalen","senat","landesregierung","saarland","energiepolitik","möllemann","grossdubrau","ag","kali","kohle","bekleidungsindustrie","kohle","luft","bvs","energien","strom","unternehmen","is","schiffbau","strom","bundesdruckerei","liberalisierung","wettbewerb","werften","wettbewerb","einzelhandel","handwerksordnung","handwerk","bafin","unternehmen","unternehmen","transparenz","basel","hedgefonds","wettbewerb","kfw","banken","bank","sparkassen","krise","krise","bank","bank","finanzmärkte","aufsicht","bankenaufsicht","steuerzahler","bankenunion","einlagensicherung","bank","bafin","bank","verbraucherinnen","einlagensicherung","ezb","euro","ezb","bafin","unternehmen","anleger","griechenland"
"4","berlins","berlins","berliner","berlins","berlins","berlins","stadt","gefangenen","rundfunkanstalten","saarländischen","saarländische","berlin","schneider","arbeitsweise","bundesregierung","film","berliner","saarlandes","urheberrechts","alliierten","presse","urhebers","anstalten","zeitungen","fernsehen","schulzevorberg","bundespressechef","diehl","öffentlichkeit","pressefreiheit","bundeskanzleramt","aufgaben","kiep","informationsamtes","ahlers","dienstes","herr","presse","guillaume","chef","bundeskanzleramtes","bölling","herr","öffentlichkeitsarbeit","gestatten","herr","abgeordneten","öffentlichkeitsarbeit","zwischenfrage","mad","abgeordneter","schwarzschilling","enquetekommission","abgeordneter","zwischenfrage","wirtschaftsminister","goetheinstitut","richtlinie","einrichtung","gmbh","präsident","richtlinie","angerechnet","kino","konsens","arbeitsplätze","stahlindustrie","stahlindustrie","nordrheinwestfalen","saarland","ministerpräsident","energiepolitischen","wilhelmshaven","verbundlösung","region","ag","stahlindustrie","textil","energien","raumfahrt","werften","stromeinspeisungsgesetz","rexrodt","energien","ick","unternehmen","liberalisierung","banken","einzelhandel","zugabeverordnung","wettbewerb","schauerte","verbraucher","post","regulierung","markt","wettbewerb","verbraucher","aktionäre","wettbewerb","bundesnetzagentur","reits","post","unternehmen","unternehmen","krise","regulierung","finanzmärkte","anleger","finanzmärkte","basel","finanzmärkte","zypern","aufsicht","steuerzahler","aufsicht","verbraucher","verbraucher","verbraucherinnen","portugal","steuerzahler","bank","ezb","kredite","wirecard","verbraucher","banken","verbraucher"
"5","bundesrepublik","zone","brökelschen","zone","aufbauplan","viermächtestatus","brandt","wehner","rundfunk","französischen","schneider","französischen","beschluss","sonntags","rossel","filmproduktion","tonne","lothringen","anstalten","reedereien","deutschlandfunk","werke","fernsehsender","italienischen","film","rundfunk","bundeszentrale","zeitungen","öffentlich","presse","bundeskanzleramtes","besondere","eppler","herr","besondere","bundesminister","ddr","herr","frau","bundeskanzleramt","staatssekretärin","bundeskanzler","schüler","urteil","abgeordneten","abgeordneten","herr","bölling","gestatten","herr","klein","abgeordneter","weirich","radio","gestatten","burda","bäder","kg","zwischenfrage","luuk","chemikalie","kapitalgesellschaften","hilflosen","filmwirtschaft","stahl","nordrheinwestfalen","belegschaft","stahl","berlin","steinkohle","lafontaine","bergbau","bergbau","möllemann","premnitz","fritz","kernenergie","steinkohle","evus","subventionen","einzelhandel","werften","stadtwerke","strom","un","divag","markt","mosdorf","übernahmen","rabattgesetz","unternehmen","markt","wettbewerb","anlage","uwg","regulierungsbehörde","regulierungsbehörde","zeitungen","hauptversammlung","erpsondervermögen","mitbestimmung","markt","marktwirtschaft","wettbewerb","finanzmärkte","bank","ratingagenturen","finanztransaktionsteuer","krise","finanztransaktionsteuer","bank","bank","aufsicht","regulierung","aufsicht","bank","kunden","schick","kunden","verbraucherschutz","ewf","finanzkrise","griechenland","euro","urteil","wirecard","esm","zinsen"
"6","bundesregierung","konvention","zone","senat","tarifvertrags","zonengrenze","hauptstadt","stadt","anstalten","saarländische","saarlandes","ortsklasse","saarland","anfrage","pöhler","sympathiewerbung","algerier","grenzgängern","zeitungen","reeder","ard","geräte","rundfunkanstalten","rundfunk","rundfunk","journalisten","fernsehen","presse","berichterstattung","wörner","besondere","presse","herr","abgeordneter","aufgaben","pressereferat","chef","ehmke","herr","bundeskanzler","abgeordneter","herr","öffentlichkeitsarbeit","zwischenfrage","bundesminister","herrn","herrn","gestatten","luxemburg","schwarzschilling","herrn","fernsehen","zwischenfrage","abgeordneten","informationsamt","presse","leinen","monopolkommission","westlichen","köhler","bundesregierung","stiegler","urkundenfälschung","privaten","jahrhundertvertrag","stahl","stahl","kohlepfennig","saarland","energiepolitik","konsens","kohle","kohle","mecklenburgvorpommern","braunkohle","arbeitsplätze","energiepolitik","riva","kohlepfennig","stoiber","ladenöffnungszeiten","schiffbau","energien","uldall","wi","ag","einzelhandel","unternehmen","sanierung","markt","bombardier","register","uhr","ag","liberalisierung","anleger","verbraucher","regulierung","hedgefonds","banken","bundeskartellamt","reit","manager","landesbanken","hypo","landesbanken","bank","hre","bankenabgabe","regulierung","finanzaufsicht","krise","steuerzahler","gläubiger","ratingagenturen","verbraucher","konto","anleger","bafin","kunden","bank","risiken","commerzbank","sparer","verbraucher","verbraucherinnen","insolvenz","hauptversammlung"
"7","deutsche","stadt","eisernen","legion","notopfers","notopfer","sitz","sitz","werbefernsehen","saarland","bundesgebiet","bundesgebiet","leitungen","eisen","fdp","forschungsstelle","italien","bossak","presse","telefon","rundfunk","verwertungsgesellschaften","rundfunks","gegenseitigkeit","films","fernsehen","informationsamt","herr","sänger","herr","ahlers","informationsamtes","aufgaben","ehmke","chef","funcke","bundeskanzler","informationsamtes","presse","presse","bundeskanzler","staatssekretär","bundesbank","gestatten","zusatzfrage","bundesminister","bundesminister","staatssekretär","hauff","klein","abgeordneten","herr","abgeordneter","herrn","flankierung","monopolkommission","früheren","umsetzung","meisten","meinungsdruck","saure","bilanzrichtliniegesetz","brennstoffe","films","maxhütte","steinkohle","landesregierung","steinkohle","energiepolitik","bergbau","sachsen","bundeswirtschaftsminister","bundeswirtschaftsminister","arbeitsplätze","faser","fusion","jung","stahlindustrie","steinkohle","eurofighter","bremen","kohle","bergbau","preussag","nich","börnsen","unternehmen","wettbewerb","wismut","verbraucher","markt","landesbank","unternehmen","wettbewerb","handwerksordnung","kunden","kunden","kartellamt","wettbewerb","marktwirtschaft","sparkassen","kfw","banken","bank","estate","wettbewerb","finanztransaktionsteuer","regulierung","schick","markt","bafin","bankenaufsicht","sparkassen","schick","dispozinsen","bafin","girokonto","aufsicht","produkte","bafin","bankenunion","griechenland","steuerzahler","zinsen","euro","schuldner","branche","wsf"
"8","kriegsgefangenen","sowjetzone","gesamtdeutsche","legionäre","bundeszuschusses","gefangenen","gesamtdeutsche","mannheim","programm","bundesrepublik","saarbevölkerung","hettlage","französische","mischnick","belohnungen","knappschaft","luftfahrtunternehmen","hüttenwerke","film","film","blumenfeld","schutzfrist","unfallverhütungsvorschrift","mitteldeutschland","gesamtdeutschen","kommission","staatssekretär","bundespressechef","wetzel","journalisten","presse","chef","besondere","staatssekretär","informationsamtes","presse","bundesminister","wechmar","vertrauensmännergremium","herr","herr","abgeordneter","broschüre","gaus","bölling","öffentlichkeitsarbeit","bitte","abgeordneten","radio","zwischenfrage","haase","abgeordneten","gestatten","schwarzschilling","herr","schwarzschilling","fusion","walther","daraufhin","gesellschafter","köhler","kg","herr","kinos","regionen","bangemann","duisburg","ruhrgebietskonferenz","jahrhundertvertrag","kohlepolitik","strom","praklaseismos","wismut","werften","energieversorgung","brüssel","kohlerunde","kohle","vdew","unternehmen","verbund","maritimen","stromeinspeisungsgesetz","stromeinspeisungsgesetz","wettbewerb","korea","stadtwerken","bank","ladenschlussgesetz","liberalisierung","liberalisierung","banken","schauerte","tätigkeiten","unternehmen","heil","schleswigholstein","schauerte","aktiengesellschaften","telekom","markt","airbus","preise","aufsichtsrat","marktwirtschaft","ratingagenturen","schick","bankenabgabe","gläubiger","staatsanleihen","regulierung","hochfrequenzhandel","regulierung","kapitalmarkt","schick","ezb","gläubiger","risiken","meister","verbraucherpolitik","ezb","bundesbank","fusion","aufsichtsrat","bundesbank","gläubiger","unternehmen","aktionäre"
"9","menschen","bundesrepublik","konvention","werber","häftlinge","gesamtdeutsche","zone","häftlinge","kühn","frankreich","eingliederung","schneider","grosszügig","lenz","kleve","filmen","produzenten","studentischen","rundfunk","bundesamt","öffentlichrechtlichen","film","defizitär","zeitungsaustausch","filme","moersch","rundfunk","moersch","rundfunk","kanzleramt","regierung","öffentlichkeitsarbeit","bundesminister","journalisten","dr","dr","verordnung","göbel","bundeskanzleramt","frau","schüler","funcke","jaeger","staatssekretär","dr","schröder","presse","herrn","herrn","gestatten","bundesminister","öffentlichrechtlichen","presse","bundeskanzleramt","amp","roth","bürgerinitiativen","unternehmen","physikalischtechnischen","kriterien","renger","kapitalgesellschaft","rechtlichen","videowirtschaft","arbeitsplätze","ig","arbeitsplätze","landesregierung","kernenergie","rau","kosten","nordrheinwestfalen","bergleute","wismut","egkommission","textilindustrie","bergbau","artikelgesetz","energieversorgungsunternehmen","arbeitsplätze","mecklenburgvorpommern","magdeburg","bergleute","rexrodt","ook","bvs","verbraucher","rundfunk","öffnungszeiten","werften","kartellamt","murdoch","samstag","meisterbrief","regulierungsbehörde","regulierung","regulierung","post","vorstandsvergütungen","girokonto","regulierung","unternehmens","verbraucher","krise","bafin","bankenaufsicht","müssen","markt","fonds","finanzkrise","spanien","steinbrück","finanzmärkte","finanzmärkte","kunden","risiken","schick","kleinanleger","boni","kredite","handwerker","einlagensicherung","targetsalden","steuerzahler","gutschein","insolvenz","haftung","verbraucherinnen"
"10","sowjetzone","hilfe","hilfsmassnahmen","stadt","tarifvertrag","drüben","neumann","drüben","werbung","eingliederung","frankreich","saarländischen","dmark","stunden","sonntag","italien","berlin","siegerland","werke","untersuchung","werbung","kirchen","kronach","fernsehen","kommission","rundfunkanstalten","ahlers","dpa","gütt","information","herr","bundesminister","entwicklungshilfe","bundesregierung","bundesminister","schulzevorberg","wechmar","funcke","chef","staatssekretärin","frau","herrn","zusatzfrage","herrn","stücklen","urteil","frau","schröder","zusatzfrage","josef","schwarzschilling","enquetekommission","huonker","medien","co","graf","marburg","wirtschaftsminister","binnengrenzen","entwicklungspolitischen","chemikalien","hgb","bitte","abgabe","stahlunternehmen","ruhrgebiet","montanregionen","kohlepfennigs","bergleute","egkommission","bundesregierung","jahrhundertvertrag","braunkohle","belegschaft","alcor","reuschenbach","subventionen","braunkohle","stromeinspeisungsgesetzes","steinkohle","rexrodt","anpassungsgeld","kohle","ag","nu","mosdorf","kraftwärmekopplung","post","sendungen","ag","exklusivlizenz","bayerische","öffnungszeiten","markt","krogmann","kartellamt","banken","kopp","vorstände","fusion","bafin","entflechtung","markt","bundesnetzagentur","kfw","kredite","hedgefonds","schick","finanzkrise","zinsen","krise","steuerzahler","ezb","fonds","fonds","kapitalmarkt","steuerzahler","verbraucherinnen","reisebüros","verwalter","risiken","bankenunion","milliarden","hauptversammlung","unternehmen","zinsen","finanzaufsicht","inflation"
