"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","herr","dr","dr","dr","geschäftsordnung","herr","uhr","tagesordnung","dr","präsident","präsident","herr","niedersachsen","herr","jahn","präsident","präsident","präsident","wahlkreise","herr","gradl","aufsichtsrat","gesellschaft","zimmer","wein","brennbuch","herr","sachkundenachweis","notar","gebührenbefreiung","stiftung","herr","anstalt","zwischenfrage","spiele","mende","preisbindung","sports","verbraucher","sport","presse","sport","verbraucher","stiftung","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","wettbewerb","unternehmen","wettbewerb","strukturberichterstattung","grundig","untersuchungsausschuss","untersuchungsausschuss","untersuchungsausschuss","sparkassen","krupp","flick","mainz","untersuchungsausschuss","untersuchungsausschuss","untersuchungsausschuss","schäuble","brasilien","untersuchungsausschuss","untersuchungsausschuss","rüstungsexporte","bnd","waffen","koko","dienste","untersuchungsausschuss","untersuchungsausschuss","dzt","untersuchungsausschuss","untersuchungsausschuss","bnd","prostituierten","sekten","enquetekommission","pallas","untersuchungsausschuss","untersuchungsausschuss","akten","untersuchungsausschuss","seeämter","untersuchungsausschuss","untersuchungsausschuss","suu","akten","de","untersuchungsausschuss","ro","seeschifffahrt","ostsee","wort","ostsee","arten","meere","maritimen","meere","wald","holz","maritimen","wald","reeder","maritimen","hochwasserschutz","schiffe","hochwasserschutz","meere","edeka","staatsleistungen","ministererlaubnis","dat","facebook","wolf","wolf","wolf","fleischindustrie","fleischindustrie","maritimen","fischerei"
"2","abgeordneter","abgeordneter","herr","herr","dr","dr","geschäftsordnung","präsident","geschäftsordnung","herr","herr","präsident","präsident","präsident","herr","herr","geschäftsordnung","geschäftsordnung","argoud","geschäftsordnung","bundestages","gesellschaften","redezeit","räume","winzer","hauser","pitzsavelsberg","unertl","beurkundung","falk","künstlerischen","investitionsbank","volksentscheids","identnummer","olympischen","münchen","wettbewerb","sportförderung","wettbewerb","sports","zeitungen","sports","verbraucherpolitik","olympischen","mittelstand","schwarzarbeit","wettbewerb","tankstellen","bürgschaft","berufe","hauser","mittleren","unternehmen","grüner","grüner","strukturpolitik","versicherungsunternehmen","werbung","flick","sparkassen","flugsicherung","wuppermann","untersuchungsausschuss","untersuchungsausschuss","untersuchungsausschusses","akten","kernwaffenstaaten","libyen","libyen","waffen","waffen","irak","irak","schiff","untersuchungsausschuss","deponie","untersuchungsausschusses","koko","bnd","ddr","sekten","kontrolle","prostituierte","enquetekommission","untersuchungsausschuss","steenblock","kiep","kohl","hessischen","cdu","ostsee","kohl","möllemann","kyi","untersuchungsausschuss","dat","küstenwache","maritimen","goldmann","kleinwale","realeinkommen","meere","einmalzahlung","natur","ostsee","delfine","wälder","vielfalt","maritime","elbe","elbe","reeder","meeresforschung","lotsen","uranmunition","meer","alpen","jagd","fusion","de","wolf","wölfe","post","wölfe","arbeitsschutz","fleischwirtschaft","ostsee","ostsee"
"3","dr","herr","abgeordneter","präsident","herr","geschäftsordnung","dr","geschäftsordnung","präsident","fraktion","damen","dr","herr","dr","präsident","geschäftsordnung","ältestenrat","herr","neueinteilung","präsident","bürohaus","aktiengesellschaft","gesellschaften","frehsee","säure","wein","vds","rechtsausschusses","wohnungsunternehmen","stabilisierungsfonds","zusatzverträgen","billiger","gebietsteil","währung","sport","müller","unternehmen","sport","unternehmen","presse","zeitungsverleger","presse","mittelstandspolitik","sportorganisationen","berufe","uwg","mittleren","pressefusionskontrolle","sport","selbständigen","mittelstand","architekten","südafrika","meisterprüfung","unternehmen","unternehmen","versicherer","verbraucher","eurocontrol","flick","banken","landesregierung","brauchitsch","mainzer","untersuchungsauftrag","oberfinanzdirektion","journalisten","gansel","firmen","gansel","gansel","exporte","stavenhagen","kontrolle","schalck","verfassungsschutz","waffen","ddr","untersuchungsausschuss","romberg","psychogruppen","pkk","kontrolle","psychogruppen","untersuchungsausschusses","oceanic","cdu","schleswigholstein","sitten","landowsky","akten","cdu","fdp","akten","hirsch","un","untersuchungsausschusses","le","kapitän","nord","spdfraktion","maritime","versorgungsempfänger","wald","vw","natur","wattenmeer","illegalen","elbe","waldstrategie","maritimen","maritime","hochwasser","maritimen","wasser","maritime","maritime","kirchen","waffen","un","wölfe","weddellmeer","tansania","band","werkverträge","werkverträge","maritime","schwöre"
"4","wort","präsident","vizepräsident","abgeordneter","abgeordneter","präsident","sitzung","fraktion","gerstenmaier","dr","herren","damen","dr","damen","dr","damen","herren","damen","hannover","damen","geschäftsordnung","wilhelmi","ältestenrat","hochhaus","weines","euskirchen","kollege","kuchtner","gebühren","herr","rechtshilfe","bauer","trennungslinie","gestatten","sports","günther","verbraucher","verbraucher","wettbewerbs","zeitungen","stiftung","fusionskontrolle","mittelstand","mittleren","kleinen","wettbewerb","fusionskontrolle","markt","carstens","hauser","insolvenzen","hauser","uwg","deich","erp","strukturwandels","versicherten","unlauteren","flugsicherung","banken","kreditinstitute","firma","einzelhandel","kastel","akten","hdw","untersuchungsausschüsse","firmen","bundesregierung","südafrika","südafrika","illegalen","waffen","illegalen","koordinierung","pkk","rüstungsexporte","schalckgolodkowski","raethjen","untersuchungsausschusses","akten","dienste","doppelmoral","scientology","mer","akten","aufklärung","cdu","koch","berliner","cdu","akten","untersuchungsausschusses","san","staatsanwaltschaft","is","küste","en","börnsen","heimgesetz","nord","arten","schutz","vielfalt","vwgesetz","naturschutz","seen","kältemittel","konferenz","kormoran","asbest","schiffe","uranmunition","schiff","schäden","maritimen","wolf","ministererlaubnis","marktmacht","maritimen","weidetierhalter","antarktis","maritime","paketbranche","werften","werkverträgen","fischerei","helfe"
"5","abgeordnete","abstimmung","geschäftsordnung","abgeordnete","präsident","gerstenmaier","herr","sitzung","abgeordneter","damen","gerstenmaier","herren","jahn","geschäftsordnung","geschäftsordnung","herren","gerstenmaier","herren","wahlkreis","uhr","rutschke","hauptversammlung","präsident","raumkommission","weingesetz","herr","freiheit","speisen","gebührenbefreiung","ehmke","betroffen","schliessen","stunden","bremer","olympische","fdp","missbrauchsaufsicht","evers","bundeskartellamt","pressefreiheit","tageszeitungen","vereine","aktionsprogramm","sport","mittleren","mittelstand","verbraucher","wettbewerb","schlecht","diag","ludwig","grüner","grüner","mittelständischen","selbständigen","firmen","thomsonbrandt","wettbewerb","firma","eigenkapital","eigenkapital","banken","spenden","untersuchungsausschusses","oberfinanzdirektion","ofd","untersuchungsausschussgesetz","bundesregierung","ermittlungen","brasilien","bundesregierung","waffen","israel","gansel","kommerzielle","bad","akten","untersuchungsausschusses","schmidbauer","pds","untersuchungsausschusses","such","dienste","kontrolle","bvs","schiff","million","koch","hessen","ostsee","börnsen","spenden","affäre","untersuchungsausschuss","ostsee","ok","havariekommando","rp","promille","schweinswale","hüseyinkenan","meer","einmalzahlungen","arten","werften","nutzung","holz","biologischen","meere","arktis","schiffe","flagge","elbe","see","wald","mikroplastik","tengelmann","wasserrahmenrichtlinie","tengelmann","maritime","de","meere","meere","nachunternehmerhaftung","entsenderichtlinie","kontrollen","see","wahr"
"6","geschäftsordnung","wort","abgeordnete","damen","uhr","abgeordneter","präsident","herr","herr","tagesordnung","dr","uhr","damen","abgeordneter","selbstverwaltung","dr","dr","uhr","geschäftsordnung","herren","dr","publizität","verstehe","verwaltung","branntwein","abfindungsbrenner","hochschulgesetz","einzelhandel","beglaubigung","scheel","justiz","zwischenfrage","burgbacher","göttingen","münchen","erich","fusionskontrolle","unternehmen","werbung","sportkonferenz","kredite","sportförderung","wettbewerb","verbraucher","hauser","mittlere","kleinen","existenzgründungen","banken","freien","mbb","kleinen","schwandorf","wettbewerb","werbung","stade","grüner","uwg","akten","kreditinstitute","kwgnovelle","untersuchungsausschuss","banken","wiesbaden","hessen","firmen","material","jordanien","rabta","untersuchungsausschusses","firmen","gansel","untersuchungsausschuss","dienste","untersuchungsausschusses","kontrollkommission","export","mfs","bundesnachrichtendienst","wurden","aufklärung","mitarbeiter","machenschaften","zwischenbericht","arbeit","schleswigholstein","schreiber","aufklärung","cdu","untersuchungsausschusses","spenden","parteien","altmaier","mitteldeutsche","kanzleramt","wi","see","na","trunkenheitsfahrten","ascobans","drängt","natur","population","ecuador","munitionsaltlasten","senne","waldbesitzer","wale","wilhelmshaven","nutzung","maritime","seeleute","wasser","hochwasserschutz","helfer","reeder","ministererlaubnis","ablösung","bundeskartellamt","wi","dat","meer","maritimen","pakete","kontrollen","weddellmeer","munitionsaltlasten","gott"
"7","abgeordneten","abgeordnete","wort","schmid","übergang","herren","damen","rasner","herren","herren","geschäftsordnung","gerstenmaier","abgeordneter","uhr","abgeordneter","haus","herr","hauses","ostfriesland","gerstenmaier","präsident","aktionäre","konzern","raumbedarf","schwefliger","kollege","objekte","elbrächter","verbraucher","dr","befugnissen","wdr","herr","westalliierten","olympiade","wählerwillen","marktwirtschaft","bundessportplan","handel","sportförderung","klein","sporthilfe","landesbank","rechtsberatung","mittelstandspolitik","mittleren","unlauteren","programm","beton","mittelstand","mittelstandspolitik","warnke","unlauteren","befähigungsnachweis","aeg","büchner","firma","flick","schröder","bankenaufsicht","kreditwirtschaft","leverkusen","flickkonzerns","kostheim","bundesbaudirektion","material","nichtverbreitungsvertrages","waffen","waffen","firmen","kiel","untersuchungsausschuss","illegalen","irak","schalckgolodkowski","schönberg","bachmaier","schily","plutonium","aufarbeitung","bundesbeauftragten","tätigkeit","tätigkeit","verfassungsschutz","zwischenbericht","kiel","merkel","ostsee","kohl","parteiengesetz","untersuchungsausschuss","parteiengesetz","kohl","tr","kohl","häfen","einsetzung","kt","alkoholmissbrauch","schleswigholstein","dr","fischerei","pensionäre","biologischen","maritime","wald","see","heide","heide","wälder","see","häfen","flächen","elbe","flächen","waldbesitzer","reeder","schäden","edeka","ok","rudel","weidetierhalter","plastik","paketboten","unterkünfte","arbeitsschutz","meeren","zeitarbeit"
"8","herren","herren","schmid","sitzung","sonntage","damen","herren","grundgesetzänderung","tagesordnung","geschäftsordnung","abgeordneter","abgeordneter","geschäftsordnung","niedersachsen","gerstenmaier","mehrheitsfraktionen","hauses","dr","niedersachsen","ältestenrat","räume","gesellschaft","fraktion","ausschüsse","weinbau","stoffbesitzer","darf","ig","verwaltungsbehörden","justiz","notfall","sonne","karlsruhe","olympischen","kiel","kleinert","preisempfehlung","olympischen","marktwirtschaft","vereine","baum","klein","unternehmen","spiele","mittlere","mittelständischen","mittlere","diag","emstek","gmbh","mittleren","ingenieure","staatssekretär","insolvenzen","unlauteren","urbaniak","versicherungsaufsichtsgesetzes","schily","steuergeheimnis","eigenkapitals","luftraum","untersuchungsausschusses","fusionskontrolle","amöneburg","vernehmung","südafrika","beschlagnahme","kreditanstalt","gansel","bundesregierung","diestel","möllemann","bundesregierung","firma","firmen","akten","schmidbauer","bericht","willy","aufklärung","gauckbehörde","kontrollkommission","sittenwidrig","rennebach","treuhandanstalt","küste","staatsanwaltschaft","pallas","hessische","kiep","parteiengesetz","staatsanwaltschaft","parteien","aung","untersuchungsausschusses","nich","börnsen","lle","promillegrenze","beifänge","vizepräsidentin","maritimen","elbe","bonn","schiffe","delfinen","natur","walfang","kormoran","holz","bord","bord","schäden","bord","schiff","meeren","maritimen","edeka","whatsapp","för","wolfes","antrag","wölfe","branche","fleischwirtschaft","arbeitsbedingungen","arbeitsbedingungen","werften"
"9","bitte","ehlers","damen","herren","vizepräsident","ältestenrat","vizepräsident","dr","damen","uhr","krankenanstalten","vizepräsident","gerstenmaier","herren","hauses","hauses","damen","gerstenmaier","wahlkreises","gebühren","herr","aktien","gmbh","räumen","verbrauchers","umwandlungen","inhalt","handelskammer","justiz","bundesminister","strafsachen","abgetan","gestatten","mithilfe","olympiabedingten","herrn","kartellnovelle","lambsdorff","kartellamt","fusionskontrolle","kreditinstitute","sportbericht","berufe","bundeskartellamt","wettbewerb","mittlerer","wettbewerbs","eigenkapital","treuarbeit","pieroth","beton","wettbewerb","vereine","versicherungen","uwg","schwenk","stiftungen","schwenk","untersuchungsausschusses","hypothekenbanken","eigenkapitals","hessen","flickkonzern","hessen","börnsen","staatsanwaltschaft","selbstrecherchiertes","export","herstellung","hdw","irak","bericht","firmen","firmen","mfs","geheimdienste","kontrolle","köppe","such","einsetzung","einsetzung","mauss","verwaltungsrat","religionsfreiheit","kommission","havarie","untersuchungsausschusses","zeugen","gauckbehörde","aufklärung","behörde","ströbele","stadler","na","bundeskanzleramt","för","cuxhaven","itz","vorläufige","meere","institutionen","schutz","natur","schutz","munition","seen","bundeswaldgesetz","holzeinschlag","hektar","flächen","schiffen","see","flut","tonnen","vorbeugenden","wald","kaisers","jäger","kaisers","vun","weidetierhaltung","wolfes","paketbranche","subunternehmer","laumann","leiharbeit","seeleute","meere"
"10","damen","vizepräsident","uhr","gerstenmaier","damen","sitzung","abgeordneter","damen","schmid","gerstenmaier","ältestenrat","abgeordnete","herren","vorlage","rechtsausschuss","gerstenmaier","mommer","ältestenrat","wahlkreiskommission","mommer","bundestagsvorstand","unternehmen","linien","arbeitsräume","spezialität","staatssekretär","könne","rechtsausschuss","amtsgerichte","worden","umfasste","zusatzfrage","zonenrand","strecke","spielen","nellen","kartellamt","wettbewerb","wirtschaft","walz","einlagensicherung","sportkonferenz","kleinen","mittelstand","mittelständischen","kleinen","mittelstand","sport","monierbau","kleinen","grüner","uwg","kreditinstitute","staatssekretär","firmen","wettbewerb","fusion","steuergeheimnis","maastricht","eingangsbesoldung","grünen","stillegung","uwg","rechtsrheinischen","stadt","untersuchungsausschusses","langner","lieferung","staatsanwaltschaft","kiel","staatsanwaltschaft","illegale","rüstungsexporte","godewind","akten","aufklärung","rüstungsexport","schalck","kontrollkommission","mfs","vorwürfe","bundesnachrichtendienstes","kontrollieren","religiöse","mfs","nordsee","ströbele","steenblock","merkel","kohl","goldmann","untersuchungsausschusses","ostsee","bischofferode","benneter","to","dezember","fm","fasse","steenblock","ugandischen","grünbuch","walfang","nutzung","rostock","bvvg","nutzung","hektar","schiffe","fischerei","waldstrategie","schiffen","meere","küsten","thw","plastikmüll","alpenkonvention","tengelmann","facebook","is","plattformen","wölfen","nachunternehmerhaftung","wölfen","schlachthöfen","post","meere","fischern"
