"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","volk","volk","volk","welt","volk","welt","freiheit","unserer","volk","freiheit","freiheit","volk","freiheit","volk","freiheit","volk","freiheit","freiheit","volk","freiheit","volk","volk","volk","volk","bundeskanzler","politischen","demokratie","politischen","nation","bundeskanzler","bundeskanzler","nation","freiheit","freiheit","demokratie","bundeskanzler","bundeskanzler","freiheit","verfassung","staat","freiheit","freiheit","freiheit","freiheit","freiheit","bundeskanzler","bundeskanzler","freiheit","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","geschichte","bundeskanzler","bundeskanzler","geschichte","menschen","ddr","ddr","berlin","menschen","geschichte","menschen","menschen","verfassung","verfassung","vertreibung","menschen","menschen","erklärung","wehrmacht","ddr","ddr","geschichte","mahnmal","opfer","demokratie","opfer","freiheit","antisemitismus","opfer","juden","antisemitismus","opfer","npd","tor","mauer","demokratie","rechtsextremismus","rassismus","demokratie","ddr","dat","demokratie","versöhnung","demokratie","roma","rechtsextremismus","roma","rechtsextremismus","antisemitismus","verfassungsschutz","roma","aufarbeitung","gewalt","völkermord","religionsfreiheit","antisemitismus","afd","chemnitz","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie"
"2","deutschen","welt","freiheit","volk","deutschen","freiheit","welt","politischen","freiheit","volk","volk","freiheit","volk","freiheit","volk","volkes","volk","volk","freiheit","volk","staat","freiheit","volkes","politischen","regierungserklärung","bundeskanzler","volk","politische","volk","nation","volk","bundeskanzler","bundeskanzler","politik","bundeskanzler","demokratie","freiheit","verfassung","freiheit","demokratie","demokratischen","demokratie","sozialismus","staat","demokratie","freiheit","partei","bundeskanzler","freiheit","partei","freiheit","partei","demonstration","partei","menschen","partei","politik","demokratie","israel","parteien","volk","vogel","geschichte","geschichte","bundeskanzler","menschen","geschichte","menschen","freiheit","menschen","menschen","menschen","deutschen","berlin","gewalt","geschichte","geschichte","grundgesetz","demokratie","ddr","deutschen","tschechischen","ausstellung","geschichte","demokratie","freiheit","ddr","deutschen","einheit","polen","geschichte","möllemann","kultur","jüdischen","juden","geschichte","leitkultur","brandenburger","opfer","rechtsextremismus","demokratie","rechtsextremismus","gewalt","gysi","de","grundgesetz","stiftung","stiftung","religionsfreiheit","verfassungsschutz","rechtsextremismus","rassismus","npd","ddr","sinti","ddr","einheit","ddr","gewalt","geschichte","religionsfreiheit","demokratie","opfer","afd","afd","afd","antisemitismus","freiheit"
"3","politischen","volkes","welt","unsere","demokratie","deutschen","politik","welt","politik","welt","staat","politischen","welt","menschen","staat","freiheit","volkes","gewerkschaften","volkes","staat","volkes","menschen","regierungserklärung","freiheit","parteien","volk","nation","demokratie","demokratie","politischen","freiheit","demokratie","unserer","bundeskanzler","freiheit","partei","staat","demokratie","demokratie","freiheit","staat","sozialismus","staat","demokratie","staat","staat","demokratie","staat","demokratie","geschichte","partei","jungen","partei","freiheit","politik","politik","neuwahlen","menschen","menschen","demokratie","vogel","brandt","menschen","menschen","politischen","demokratie","menschen","demokratie","berlin","deutschen","einheit","hauptstadt","geschichte","menschen","demokratie","gewalt","demokratie","menschen","menschen","einheit","opfer","geschichte","geschichte","menschen","einheit","gedenkstätten","opfer","freiheit","ddr","deutschen","demokratie","geschichte","geschichte","opfer","entschädigung","seddiktatur","geschichte","geschichte","islam","muslime","npd","opfer","opfer","demokratie","un","ddr","vertreibung","gewalt","christen","opfer","namibia","npd","aufarbeitung","rechtsextremismus","opfer","israel","ddr","sachsen","demokratie","demokratie","antisemitismus","menschenrechte","geschichte","opfer","opfer","freiheit","afd","opfer"
"4","demokratie","politischen","politischen","deutschen","staat","volkes","unserer","staat","volkes","volkes","volkes","volkes","volkes","unserer","welt","politischen","politik","volkes","staat","volkes","freiheit","not","gesellschaft","bundeskanzler","volk","menschen","bundeskanzler","bildung","bundeskanzler","volk","volkes","volk","menschen","demokratie","staat","staat","ordnung","bundeskanzler","grundgesetz","demokratischen","demokratie","partei","brandt","bundeskanzler","bundeskanzler","demokratie","kommunisten","demokratie","partei","freiheit","staat","menschen","frieden","menschen","jungen","helmut","partei","partei","politik","partei","politik","volk","deutschen","demokratie","demokratie","geschichte","demokratie","bundeskanzler","geschichte","berlin","deutschen","demokratie","einheit","ddr","deutschland","demokratie","menschen","ddr","geschichte","geschichte","geschichte","ddr","menschen","demokratie","deutschen","berlin","demokratie","ddr","jüdischen","islam","sprache","opfer","freiheit","deutschland","opfer","ddr","einheit","berliner","demokratie","halberstadt","islam","demokratie","ddr","npd","demokratie","freiheit","vertriebenen","ddr","sinti","demokratie","nazis","aufarbeitung","akten","demokratie","verfassungsschutz","opfer","opfer","demokratie","religion","juden","demokratie","religionsfreiheit","afd","hass","hass","opfer","freiheit","afd"
"5","volkes","opposition","demokratie","volkes","welt","politik","politischen","volk","welt","politik","politik","deutschen","politischen","volkes","menschen","politik","unserer","staat","unserer","unserer","menschen","staat","freiheit","unsere","politischen","unserer","staat","volk","politischen","demokratie","menschen","einheit","demokratie","unserer","volk","herren","politik","partei","staat","partei","partei","staat","demokratie","partei","partei","brandt","freiheit","geschichte","menschen","politischen","regierungserklärung","staat","freiheit","politik","partei","brandt","koalition","politik","helmut","brandt","geschichte","partei","demokratie","vogel","menschen","politischen","politischen","deutschen","demokratie","freiheit","freiheit","verfassung","berlin","deutschen","deutschen","deutschen","gewalt","geschichte","ddr","demokratie","sudetendeutschen","sudetendeutschen","opfer","stiftung","geschichte","demokratie","denkmal","stiftung","opfer","rechtssicherheit","deutschen","israel","menschen","zentralrat","denkmal","gedenkstätten","stiftung","israel","ddr","islamischen","muslime","npd","rechtsextremismus","elser","is","verfassung","flucht","religionsfreiheit","ddr","extremismus","datei","antisemitismus","rechtsextremismus","geschichte","ddr","gewalt","npd","geschichte","geschichte","freiheits","gewalt","afd","gewalt","meinungsfreiheit","freiheit","rassismus","geschichte","geschichte"
"6","deutsche","demokratie","volkes","politik","unserer","staat","volk","politik","politischen","menschen","menschen","unserer","unserer","politik","deutschen","deutschen","deutschen","notstand","unseres","aufgabe","politischen","volkes","staat","volkes","volkes","politik","menschen","staat","staat","staat","politischen","politik","volk","menschen","nation","politik","demokratischen","staat","ordnung","gesellschaft","leben","kommunisten","sozialdemokraten","bürger","demokratischen","partei","kohl","volk","politischen","staat","unseres","generation","kohl","staat","politiker","demokratie","regierung","regierungserklärung","frieden","volk","menschen","politik","politischen","demokratischen","gewalt","politische","politik","freiheit","volk","geschichte","geschichte","einheit","freiheit","demokratie","geschichte","deutschland","deutschland","einheit","sudetendeutschen","deutschen","ddr","deutschtschechischen","krieg","opfer","freiheit","einheit","bonn","demokratie","geschichte","deutsche","opfer","demokratie","deutsche","leben","jüdischen","stiftung","demokratie","demokratie","islamismus","toleranz","toleranz","toleranz","freiheit","opfer","ok","gewalt","steinbach","christen","geschichte","aufarbeitung","demokratie","ddr","geschichte","opfer","rassismus","geschichte","rechtsextremismus","opfer","bericht","einheit","christen","freiheit","ddr","freiheit","gewalt","geschichte","meinungsfreiheit","rassismus"
"7","unsere","deutschen","deutschen","freiheit","volkes","volk","volkes","volkes","unserer","partei","demokratie","welt","deutschen","politischen","volkes","unserer","berlin","unserer","unsere","demokratie","unseres","unserer","unsere","unserer","demokratie","demokratie","unserer","parteien","politik","menschen","politik","freiheit","staat","staat","demokratischen","regierung","unserer","demokratischen","demokratischen","verfassung","unseres","demokratischen","partei","demokratischen","unsere","kohl","geschichte","generation","politik","demokratischen","generation","politik","politik","kohl","generation","neuwahlen","kohl","freiheit","kohl","menschen","demokratie","politischen","berliner","partei","demokratischen","leben","unserer","berlin","deutschen","demokratie","demokratie","entscheidung","ddr","einheit","leben","bundeskanzler","grundgesetz","freiheit","leben","freiheit","tschechischen","menschen","deutschen","freiheit","aufarbeitung","deutschen","geschichte","geschichte","menschen","entschädigung","einheit","juden","demokratie","jüdische","ddr","gedenken","muslime","opfer","menschen","sachsenanhalt","christen","christen","npd","staatssicherheit","hdj","stiftung","stiftungsrat","polizei","kommunismus","gewalt","verfassungsschutz","demokratie","ddr","untersuchungsausschuss","rechtsextremismus","juden","demokratie","sowjetunion","rechtsextremismus","rassismus","israel","islam","chemnitz","ddr","partei","gewalt","juden","hanau"
"8","welt","unserer","opposition","politischen","freiheit","unserer","menschen","freiheit","menschen","unserer","unserer","politik","spanien","zone","freien","staat","partei","vertrauen","deutschen","demokratischen","unsere","verantwortung","unserer","unseres","regierung","nation","unsere","freiheit","volkes","politische","politische","menschen","volkes","reformen","menschen","wähler","demokratie","politik","parteien","brandt","ordnung","dregger","politischen","kohl","volk","unsere","parteien","volkes","geschichte","kommunisten","demokratie","demokratie","brandt","jungen","frieden","volk","wähler","kohl","parteien","politik","brandt","kohl","volkes","volk","verfassung","staat","demokratischen","politischen","ddr","demokratischen","deutschland","freiheit","deutschland","deutschland","demonstration","ddr","deutschen","demokratie","tschechischen","deutschland","demokratie","unrecht","ddr","leben","menschen","ddr","deutschen","menschen","deutschen","ddr","ddr","berliner","deutschen","geschichte","homosexuellen","antrag","feiertag","neonazis","büttner","dialog","islamkonferenz","religionsfreiheit","rassismus","gregor","juden","nva","bdv","bäume","opfer","ddr","polizei","juden","vertreibung","sicherheitsbehörden","todesstrafe","demokratie","geschichte","polen","religions","rechtsextremismus","sprache","religion","freiheit","geschichte","juden","hass","sprache","gewalt"
"9","unserer","unsere","unsere","opposition","politik","politischen","staat","menschen","unseres","politischen","politischen","partei","politik","unsere","unsere","welt","freien","menschen","partei","unseres","unserer","leben","unseres","staat","partei","freiheit","generation","menschen","drüben","volkes","unserer","staat","politischen","herren","ordnung","damen","regierungserklärung","unserer","unserer","ordnung","kohl","bundeskanzler","gesellschaft","politischen","politischen","demokratischen","verfassung","unserer","volk","demokratie","politik","freiheit","kommunisten","demokratie","unseres","kohl","landes","parteien","partei","demokratischen","partei","geschichte","volk","deutschen","freiheit","deutschen","leben","deutschland","berliner","volk","volk","bonn","verfassung","deutschlands","demokratischen","leben","bundeskanzler","enquetekommission","deutschen","opfer","unrecht","deutschen","unrecht","deutschen","demokratischen","menschen","juden","deutsche","jüdische","geschichte","denkmal","ddr","leben","vertrag","geschichte","palast","islamismus","religionsunterricht","teilung","böger","dialog","menschen","einheit","rechtsextremismus","antisemitismus","geschichte","stasi","rechtsextremismus","demokratie","npd","frankfurt","behörden","opfer","aufarbeitung","liebknecht","wurden","deutschen","versöhnung","rassismus","opfer","juden","geschichte","juden","antisemitismus","geschichte","deutschen","hass","menschen"
"10","deutschland","freiheit","unserer","unseres","menschen","menschen","unsere","deutschen","unsere","unsere","welt","leben","menschen","demokratie","politik","unsere","unseres","presse","staates","parteien","leben","unseres","nation","demokratie","politik","demokratischen","politik","bildungsarbeit","unserer","deutschen","demokratie","materialien","politik","politischen","lande","freiheit","volk","unseres","partei","politischen","parteien","parteien","bürger","brandt","parteien","unserer","brandt","partei","unseres","unseres","jungen","gesellschaft","spd","volk","kohl","unseres","brandt","volk","brandt","unserer","unserer","demokratischen","toten","politischen","volkes","gewalt","deutschen","demokratischen","bundeskanzler","bundeskanzler","deutschlands","deutschen","bundeskanzler","freiheit","freiheit","freiheit","volk","verfassungskommission","freiheit","leben","juden","tschechen","demokratie","unrecht","stiftung","republik","einheit","entschädigung","gedenkstätten","demokratie","tschechischen","jüdischen","sprache","republik","gedenken","juni","deutschen","versammlungsrecht","pds","schule","aufarbeitung","extremismus","denkmal","dkp","jüdischen","ehemaligen","demokratie","demonstranten","charta","toleranz","sinti","geschichte","untersuchungsausschuss","ruanda","demokratie","völkermord","freiheit","deutschen","opfer","ddr","gesellschaft","juden","sinti","gewalt","antifa","muslime","gewalt","aufarbeitung"
