"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","richter","richter","rechtspfleger","zulassung","richter","richter","richter","wehrbeauftragten","personalgutachterausschuss","richter","richter","richter","richter","justiz","ehe","justiz","justiz","richter","justiz","richter","justiz","justiz","strafrecht","justiz","ehe","justiz","diemernicolaus","justiz","strafe","amnestie","justiz","vogel","pornographie","richter","richter","justiz","ehe","strafvollzug","frauen","frauen","verteidiger","ehe","wirtschaftskriminalität","vogel","verteidiger","rechtsausschuss","justiz","verjährung","strafe","justiz","erhard","freiheitsstrafe","todesstrafe","justiz","verjährung","rechtspolitik","versorgungsausgleich","auslieferung","polizei","amnestie","gefangenen","roma","justiz","justiz","gewalt","gewalt","polizei","polizei","polizei","gewalt","hafenstrasse","justiz","justiz","kriminalität","kronzeugenregelung","kriminalität","kriminalität","kriminalität","justiz","justiz","justiz","justiz","täter","kriminalität","kriminalität","justiz","täter","justiz","justiz","justiz","kriminalität","opfer","sicherungsverwahrung","opfer","justiz","sicherungsverwahrung","richter","wohnraumüberwachung","opfer","justiz","justiz","montag","justiz","sicherungsverwahrung","justiz","opfer","opfer","sicherungsverwahrung","sicherungsverwahrung","opfer","sicherungsverwahrung","justiz","menschenhandel","vorratsdatenspeicherung","opfer","daten","daten","opfer","polizei","polizei","rechtsstaat","rechtsstaat","rechtsstaat","rechtsstaat","polizei","sicherheitsbehörden","polizei","telegram"
"2","justiz","bundesverfassungsgerichts","richter","ärzte","bundesverfassungsgericht","wahl","rechtspfleger","richter","personalgutachterausschusses","gericht","verfahren","rechtsausschuss","justiz","gericht","richter","urteil","verfahren","gericht","rechtsprechung","gericht","bucher","verjährung","justiz","gerichtsbarkeit","rechtsprechung","heinemann","busse","richter","freiheitsstrafe","mülleremmert","diemernicolaus","polizei","strafrecht","ehe","justiz","strafvorschriften","leben","strafe","fristenregelung","verteidiger","straftaten","scheidung","vogel","eyrich","überwachung","verteidiger","vogel","mord","freiheitsstrafe","freiheitsstrafe","strafe","todesstrafe","justiz","richter","schmude","erhard","richter","altun","justiz","justiz","zwangsernährung","sinti","opfer","terrorismus","schily","polizei","gewalt","gewalt","gewalt","polizei","justiz","rehabilitierung","kriminalität","drogen","justiz","straftaten","polizei","polizei","drogen","kronzeugenregelung","opfer","drogen","justiz","opfer","polizei","geis","opfer","geis","kriminalität","geis","kronzeugenregelung","sicherungsverwahrung","täter","straftaten","opfer","opfer","justiz","straftaten","täter","rechtspolitik","opfer","justiz","waffen","bundesverfassungsgericht","zypries","kinderpornografie","rechtspolitik","opfer","straftaten","straftaten","justiz","opfer","polizei","snowden","justiz","vorratsdatenspeicherung","straftaten","sexuelle","amri","täter","anschlag","justiz","polizei","polizei","rechtsstaat","polizei","verfassungsschutz","rechtsstaat"
"3","gericht","gerichte","gerichte","richter","bundesverfassungsgerichts","bundesverfassungsgericht","gerichtsbarkeit","wehrbeauftragte","justiz","bundesverfassungsgericht","gericht","verwaltungsrichter","verjährung","untersuchungshaft","rechtsprechung","richter","bundesanwaltschaft","strafe","gericht","diemernicolaus","verjährungsfrist","rechtsausschuss","strafe","jaeger","justiz","diemernicolaus","justiz","wiederholungsgefahr","verjährung","diemernicolaus","polizei","justiz","eyrich","justiz","wiederholungsgefahr","schutz","frauen","gefangenen","leben","frau","überwachung","frauen","justiz","überwachung","rechtsstaat","justiz","bundesjustizminister","verbrechen","justiz","hartmann","vorschrift","erhard","abschaffung","todesstrafe","justiz","schmude","justiz","bundesjustizminister","engelhard","spenden","justiz","justiz","schily","terroristen","rechtsstaat","polizeibeamten","straftaten","gefangenen","justiz","justiz","hamburger","kinkel","opfer","polizei","straftaten","justiz","justiz","täter","kriminalität","kriminalität","drogen","korruption","opfer","straftaten","justiz","straftaten","justiz","instanz","geis","straftaten","geis","geis","verbrechen","röttgen","zypries","täter","rechtspolitik","fingerabdruck","hartenbach","täter","rechtspolitik","richter","straftaten","justiz","kinderpornografie","bundesverfassungsgericht","missbrauch","straftaten","täter","justiz","täter","straftaten","strafe","daten","menschenhandel","straftaten","untersuchungsausschuss","menschenhandel","opfer","fussfessel","untersuchungsausschuss","straftaten","sicherheitsbehörden","sicherheitsbehörden","täter","straftaten","sicherheitsbehörden","justiz"
"4","bundesjustizminister","gericht","richters","anwaltschaft","gericht","gericht","justiz","gerichte","tätigkeit","senat","anwalt","verwaltungsgerichtsbarkeit","verbrechen","richter","rechtsausschuss","jahn","arndt","güde","gerichte","jahn","verjährung","ersatzdienst","entwurf","jahn","gericht","busse","richter","verbrechensbekämpfung","täter","polizei","justizminister","lenz","schutz","scheidung","haftrechts","praxis","pornographie","leben","lebens","justiz","erhard","ehegatten","überwachung","strafe","gefangenen","zwangsernährung","justizminister","aufhebung","rechtsausschuss","strafe","freiheitsstrafe","rechtsordnung","freiheitsstrafe","strafbar","untergebrachten","kontinuität","urteil","kemal","demonstrationen","bewährung","bundesjustizminister","with","verurteilt","gewalt","grünen","opfer","justiz","justiz","urteil","rechtsstaat","gewalt","richter","straftaten","straftaten","täter","heuer","organisierten","with","drogenpolitik","beck","gewalt","täter","kriminalität","justiz","sicherheit","rechtspolitik","täteropferausgleich","däublergmelin","opfer","opfer","straftaten","täter","sexuellen","justiz","straftaten","straftaten","zypries","justiz","stalking","opfer","montag","telekommunikationsüberwachung","gehb","gericht","opfer","internet","internet","justiz","gewalt","software","strafe","sicherungsverwahrung","abgeordnetenbestechung","nsa","täter","verfassungsschutz","maas","straftaten","sicherheit","polizisten","justiz","polizei","kriminalität","straftaten","polizisten","rechtsstaat","straftaten","sicherheitsbehörden"
"5","bundesverfassungsgericht","rechtsausschuss","gerichtsbarkeit","apotheken","reform","bundesverfassungsgerichts","gericht","wahl","wittrock","verfahren","justiz","arndt","verfahren","rechtsausschuss","frau","arndt","landesverrat","bundesverfassungsgericht","rechtsmittel","zeugnisverweigerungsrecht","verlängerung","weber","strafrechtsreform","bundesjustizminister","rechtsausschuss","bundesjustizminister","gerichte","kriminalität","diemernicolaus","richter","jahn","richter","entwurf","reform","straftaten","wirtschaftskriminalität","schutz","reform","frau","ehe","kronzeugen","indikation","bekämpfung","demonstrationen","justiz","vogel","richter","unverjährbarkeit","hartmann","vogel","gericht","strafe","strafe","recht","richter","bad","geschiedenen","justiz","demonstranten","spender","hungerstreik","polizei","wirtschaftskriminalität","kronzeugenregelung","ungehorsam","justiz","demonstrationen","demonstrationen","wiedergutmachung","richter","kriminalität","opfer","rechtsstaat","justiz","kriminalität","drogen","straftaten","justiz","opfer","däublergmelin","täter","hauptverhandlungshaft","gewalt","täter","straftaten","telefonüberwachung","kronzeugenregelung","herta","straftaten","stgb","sicherungsverwahrung","straftaten","straftaten","stünker","strafverfahren","justiz","bundesverfassungsgerichts","urteil","menschenhandel","bundesverfassungsgerichts","zypries","telefonüberwachung","montag","zypries","kauder","waffen","justiz","täter","montag","täter","genitalverstümmelung","stgb","wirtschaftskriminalität","bürger","untersuchungsausschuss","sicherheit","täter","daten","straftaten","straftaten","opfer","karlsruhe","verfassungsschutz","täter","straftaten","täter","bundespolizei","rechtsextremismus"
"6","sitz","bundesjustizminister","geschäfte","apotheke","bundesjustizminister","wahlmännergremium","gerichte","mehrheit","richter","bundesverfassungsgerichts","rechtsprechung","instanz","verjährungsfristen","schäffer","bundesgerichtshofs","bundesprüfstelle","abmahnung","gerichts","fälle","presse","verbrechen","richter","strafrechts","diemernicolaus","diemernicolaus","koreanischen","güde","diemernicolaus","strafrechts","demonstration","strafrecht","entschädigung","mülleremmert","ehegatten","verbrechensbekämpfung","staatsanwaltschaften","frau","justiz","schwangerschaftsabbruch","straftaten","strafgesetzbuches","arzt","verteidiger","freiheitsstrafe","verteidigerüberwachung","rechtsstaat","erhard","täter","erhard","bewährung","justiz","vogel","erhard","polizei","urteil","schwalbach","justizminister","justizminister","justizminister","staatsanwaltschaft","bewährung","rechtsstaat","gewalt","with","gewaltmonopol","untersuchungshaft","engelhard","rechtsstaat","opfer","terrorismus","untersuchungshaft","bundesjustizminister","organisierten","heuer","with","polizei","täter","de","täter","rechtsstaat","richter","beck","geis","verbrechen","beck","stgb","amnestie","täter","täter","kriminalität","justiz","beck","opfer","opferschutz","dnaanalyse","kauder","kauder","dnaanalyse","dnaanalyse","straftaten","leutheusserschnarrenberger","journalisten","bundesverfassungsgericht","vorratsdatenspeicherung","richter","grundrechte","straftaten","montag","polizei","rechtspolitik","waffen","täter","opfer","edward","staatsanwaltschaft","aufklärung","vorratsdatenspeicherung","täter","polizisten","ströbele","polizei","sicherheitsbehörden","polizisten","sicherheit","strafrecht","geldwäsche","rechtsstaat","straftaten"
"7","rechtsausschuss","oberste","rechtspflegers","gericht","senat","mehrheit","bucher","weber","probst","sachen","jahn","jahn","rechtsausschuss","rheinlandpfalz","wittrock","rechtsprechung","spiegel","verteidiger","senats","strafprozessordnung","benda","zeugen","heinemann","gerichte","richter","auswärtigen","strafrecht","polizei","strafrecht","demonstrationen","richter","reform","recht","härteklausel","kriminalität","erhard","lebens","freiheitsstrafe","fristenlösung","vogel","wirtschaftskriminalität","vogel","kleinert","bundesjustizminister","rechtsausschuss","erhard","strafgesetzbuches","justiz","strafrechtlichen","rechtsausschuss","urteil","justiz","schmude","auslieferung","strafrechtlich","emmerlich","bundesverfassungsgerichts","fischer","bundesjustizminister","strafaussetzung","strafaussetzung","rechtspolitik","engelhard","straftaten","verurteilt","vermummung","strafe","polizeibeamten","strafvollzug","däublergmelin","polizei","staatsanwälte","kinderpornographie","verbrechen","stgb","täter","heuer","opfer","geis","korruption","beck","verfahren","polizei","lauschangriff","gendatei","meyer","straftaten","polizei","richter","richter","sicherheit","justiz","missbrauch","opfern","ströbele","ströbele","straftaten","bundesverfassungsgerichts","alfred","zypries","nešković","hartenbach","bundesverfassungsgerichts","gehb","montag","kauder","vorratsdatenspeicherung","richter","polizisten","polizei","straftaten","staatsanwaltschaft","straftaten","ströbele","maas","itsicherheit","justiz","prostitution","täter","untersuchungsausschuss","sicherheitsbehörden","ersatzfreiheitsstrafe","straftaten","zitis","verfassungsschutz","gefährder","internet","kriminalität"
"8","entscheidung","gerichten","rechtsprechung","anwalt","richterzahl","beirat","oberen","juristen","bewerber","arndt","rechtsanwalt","gericht","rechtsprechung","bundesjustizminister","ehegatten","verfahren","verfahrens","entwurf","rechtsausschuss","justiz","richter","arndt","sonderausschuss","richter","busse","recht","strafrechts","straftaten","taten","lenz","demonstrationen","mülleremmert","ehe","gericht","diemernicolaus","kleinert","strafrecht","strafrechtsreform","abtreibung","zeugnisverweigerungsrecht","beschuldigten","versorgungsausgleich","erhard","rechtspolitik","vogel","terrorismus","friedmann","gerechtigkeit","lenz","straftaten","straftaten","hillermeier","gewalt","kriminalität","täter","justiz","emmerlich","urteile","juristenausbildung","richter","engelhard","verletzten","staatsanwaltschaft","rechtsstaat","justiz","terrorismus","with","terroristen","stiftung","strafe","entschädigung","däublergmelin","täter","organisierten","gewalt","rechtsstaat","opfer","strafe","verbrechen","täter","kriminalität","geis","straftaten","polizei","geis","kriminalität","kriminalität","verbrechen","pofalla","journalisten","opfer","stgb","rechtspolitik","sicherungsverwahrung","täter","nachträgliche","röttgen","zypries","graffiti","montag","jerzy","strafprozessordnung","zypries","waffen","straftaten","gesetz","täter","waffen","opfer","sicherungsverwahrung","korruption","rechtspolitik","justiz","aufklärung","folter","ströbele","polizei","stgb","sicherheitsbehörden","opfer","breitscheidplatz","forum","sicherheit","justiz","staatsanwaltschaft","justiz","rechtsextremismus","geldwäsche"
"9","bundesverfassungsgerichts","justiz","freiwilligen","apotheker","wahl","wahlmännergremiums","finanzgerichtsordnung","zweidrittelmehrheit","jungsturm","bundesrichter","instanz","bürger","bundesgerichtshof","hauptverhandlung","bundesgerichtshof","oberstaatsanwalt","gericht","diemernicolaus","richter","rechtsausschuss","gerichte","jahn","täter","rechtsausschuss","heinemann","korea","rechtsausschuss","verbrechen","justiz","justiz","erhard","ehe","schriften","titel","entwurf","stark","eyrich","schutz","mutter","lenz","kleinert","frau","gerichte","recht","richter","emmerlich","de","mordverjährung","straftaten","vorschrift","rechtsausschuss","rechtspolitik","klein","with","verjährungsfrist","engelhard","recht","wirtschaftskriminalität","juristen","juristen","justizminister","richter","wiedergutmachung","gericht","vollmer","vergewaltigung","de","vollmer","strafe","straftaten","opfer","unrecht","richter","opfer","rechtsstaat","verjährung","strafe","magdeburg","gewalt","richter","geis","richter","drogen","beck","richter","justizreform","geis","statut","däublergmelin","instanz","beck","geldstrafe","justiz","täter","richter","strafe","ströbele","gehb","justiz","urteil","hartenbach","pressefreiheit","journalisten","vater","berufung","straftaten","löschen","rechtspolitik","vorratsdatenspeicherung","computer","gesetzentwurf","waffen","strafbar","justiz","straftaten","bsi","edathy","gesetzentwurf","verfassungsschutz","sicherheit","straftaten","sicherheit","karlsruhe","internet","stuttgart","rechtsextremismus","täter","täter"
"10","rechtsprechung","rechtsprechung","gericht","entwurf","wahlgang","weber","bundesverfassungsgericht","gericht","justizdebatte","rechtsausschuss","oberlandesgericht","oberverwaltungsgericht","strafverfolgung","arndt","zerrüttung","ehegatten","richter","mülleremmert","bucher","kanka","jahn","diemernicolaus","diemernicolaus","entwurf","gerichte","rechtsprechung","gericht","haftgrund","bewährung","gericht","bestraft","hirsch","strafe","mindeststrafe","reform","dr","reform","strafrechts","ungeborenen","erhard","strafprozessordnung","beratung","rechtsausschuss","kleinert","verteidigung","bundesjustizminister","hartmann","strafverfolgung","vogel","lebenslangen","kleinert","straftaten","vogel","rechtshilfe","straftaten","rechtspolitischen","erhard","ausgeliefert","ehe","juristenausbildung","rechtspolitik","engelhard","sinti","polizei","gewalttäter","wiedergutmachung","kronzeugenregelung","pressefreiheit","vollmer","engelhard","raf","entschädigung","rehabilitierung","unrecht","de","ddr","meyer","verbrechen","unrecht","rechtspolitik","rechtsstaat","straftaten","strafrecht","geis","bekämpfung","beck","richter","richter","polizei","täter","täter","strafe","fälle","strafverfahren","kauder","richter","opfer","gericht","montag","bundesverfassungsgericht","täter","straftaten","stünker","straftaten","internet","bundesverfassungsgerichts","sexuellen","schutz","strafe","menschenhandel","opfer","polizei","abmahnungen","untersuchungsausschuss","stgb","folter","strafbar","polizei","gefährder","notz","vorratsdatenspeicherung","stgb","europol","waffen","rechtsextremismus","kriminalität","netz","polizei"
