"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","gewerkschaften","konsumgenossenschaften","arbeitnehmer","minderheit","mehrheitswahlrecht","mitbestimmung","gewerkschaften","sonntag","arbeitnehmer","bauwirtschaft","bundesanstalt","mitbestimmung","kirche","bundesanstalt","bundesanstalt","bundesanstalt","berufsausbildung","bundesanstalt","bundesanstalt","berufsausbildung","bundesanstalt","arbeitnehmer","sozialordnung","berufsausbildung","sozialordnung","bundesanstalt","arbeit","arbeitnehmer","arbeitnehmer","arbeit","arbeitnehmer","arbeitnehmer","arbeit","arbeitnehmer","arbeit","arbeitnehmer","arbeit","arbeitnehmer","mitbestimmung","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeitnehmer","gewerkschaften","schwerbehinderte","vermögensbildung","arbeitnehmer","arbeitslosen","arbeitnehmer","arbeitnehmer","frauen","mitbestimmung","arbeitnehmer","arbeitnehmer","fuchs","blüm","fremdenverkehr","arbeit","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeitnehmer","montanmitbestimmung","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeitnehmer","bundesanstalt","bundesanstalt","bundesanstalt","arbeitnehmer","arbeit","arbeit","arbeitnehmer","arbeit","arbeitslosigkeit","arbeit","arbeitslosigkeit","arbeitnehmer","arbeit","arbeit","arbeit","arbeitnehmer","arbeitnehmer","arbeit","arbeitsmarkt","arbeitsmarkt","arbeitnehmer","bundesanstalt","schwarzarbeit","bundesagentur","bundesagentur","arbeitsmarkt","arbeit","arbeitsmarkt","menschen","arbeit","altersteilzeit","arbeit","arbeit","arbeit","arbeit","mindestlohn","mindestlohn","arbeitsmarkt","rente","mindestlohn","mindestlohn","mindestlohn","arbeitsmarkt","rente","rente","rente","rente","arbeitsmarkt","arbeitsmarkt","rente","arbeit","grundrente","beschäftigten","rente","arbeitsmarkt"
"2","arbeitnehmer","wahl","arbeitgeber","dänemark","wahlgesetz","aufsichtsrat","industrie","arbeitswoche","industrie","winter","arbeitslosenversicherung","arbeitnehmer","urlaub","arbeitslosenversicherung","arbeitnehmer","urlaubs","berlin","mehrarbeit","arbeitnehmer","gewerbeordnung","beschäftigung","bundesanstalt","bundesanstalt","bundesanstalt","arbeit","sozialordnung","sozialordnung","arbeit","bundesanstalt","sozialordnung","vermögensbildung","mitbestimmung","sozialordnung","betriebsrat","bundesanstalt","arbeitsplatz","sozialordnung","sozialordnung","arbeitnehmer","arbeit","arbeit","mitbestimmung","vermögensbildung","bundesanstalt","schwerbehinderten","hübner","schwerbehinderte","arbeitnehmer","arbeitgeber","humanisierung","fuchs","montanmitbestimmung","arbeit","arbeit","bundesanstalt","arbeitnehmer","behinderten","arbeitnehmer","vorruhestandsregelung","aussperrung","arbeit","gewerkschaften","gewerkschaften","gewerkschaften","arbeitnehmer","arbeit","überstunden","arbeit","gewerkschaften","gewerkschaften","kündigungsfristen","bundesanstalt","abm","arbeitslosigkeit","arbeit","arbeit","arbeit","arbeitnehmer","blüm","arbeit","arbeitnehmer","arbeit","arbeitnehmer","arbeit","arbeitsmarkt","riester","arbeitnehmer","arbeitsmarkt","arbeitsmarkt","mitbestimmung","arbeitsmarkt","arbeitnehmer","arbeit","bundesanstalt","arbeit","bundesagentur","arbeit","arbeit","arbeit","ii","menschen","mindestlohn","arbeitnehmer","arbeit","mindestlohn","menschen","mindestlohn","rente","arbeitsmarkt","rente","arbeit","arbeitsmarkt","arbeit","rente","rente","mindestlohn","arbeitsmarkt","beschäftigten","arbeit","rentenversicherung","beschäftigten","rente","menschen","menschen","rente","kurzarbeitergeld","mindestlohn","mindestlohn"
"3","arbeiter","arbeitnehmer","wahl","personalrat","wahlrecht","arbeitnehmer","handelskammern","arbeitszeit","gewerkschaften","bauarbeiter","avavg","arbeitsvermittlung","arbeitnehmer","arbeitsvermittlung","finanzämter","arbeit","arbeitnehmer","arbeitnehmer","arbeit","berufsausbildungsgesetz","straubing","arbeitszeit","katzer","arbeitnehmer","bundesanstalt","arbeit","bundesanstalt","kattenstroth","arbeit","rohde","arbeit","rehabilitation","arbeitnehmer","mitbestimmung","beruflichen","arbeit","arbeitnehmer","arbeitgeber","gewerkschaften","bundesanstalt","bundesanstalt","gewerkschaften","gewerkschaften","arbeit","arbeitgeber","arbeitnehmer","schwerbehinderten","bundesanstalt","frauen","arbeitslebens","arbeitnehmer","arbeitnehmer","humanisierung","bundesanstalt","arbeit","arbeit","urlaub","überstunden","stundenwoche","bundesanstalt","überstunden","bundesanstalt","blüm","montanmitbestimmung","mitbestimmung","bundesanstalt","bundesanstalt","arbeitslosigkeit","arbeitgeber","arbeitgeber","angestellten","arbeitslosigkeit","bundesanstalt","arbeit","arbeitsmarktpolitik","arbeitslosigkeit","bundesanstalt","arbeitsmarktpolitik","bundesanstalt","blüm","arbeitslosigkeit","arbeitsmarkt","arbeitslosigkeit","beschäftigung","arbeitslosigkeit","arbeitgeber","arbeitsmarkt","arbeitnehmer","arbeitslosigkeit","arbeitslosen","bundesanstalt","arbeit","arbeitslosigkeit","arbeit","menschen","arbeit","hartz","arbeitslosigkeit","menschen","arbeitnehmer","arbeit","arbeitsmarkt","arbeitsmarkt","arbeitnehmer","arbeitnehmer","arbeitnehmer","menschen","menschen","arbeit","menschen","beschäftigten","menschen","arbeitsmarkt","arbeitsmarkt","menschen","post","arbeit","arbeitsmarkt","menschen","beschäftigten","menschen","menschen","arbeitsmarkt","arbeitsmarkt","beschäftigten","menschen","rentenversicherung","rente"
"4","gesetz","genossenschaften","abs","gewerkschaften","wähler","mitbestimmungsgesetz","parteien","seeschiffahrt","parteien","sommer","arbeitslosigkeit","weihnachtsgratifikation","mindesturlaub","arbeitnehmer","tarifverträge","beschäftigung","berliner","arbeitsvermittlung","arbeitsvermittlung","berufsausbildungsgesetzes","arbeit","sozialordnung","arbeitslosenversicherung","sozialordnung","kattenstroth","arbeitnehmer","arbeitnehmer","sozialordnung","sozialordnung","arbeitnehmer","sozialordnung","sozialordnung","unfallverhütung","angestellten","sozialordnung","angestellten","bundesanstalt","jugendvertreter","aufsichtsrat","jugendlichen","sozialordnung","aufsichtsrat","pieroth","arbeitnehmer","shb","nico","bundesanstalt","blüm","leitenden","gewerkschaften","staatssekretärin","schwarzarbeit","arbeitslebens","blüm","arbeitnehmer","egert","arbeitnehmer","arbeitszeit","gewerkschaften","arbeit","gewerkschaften","blüm","arbeitgeber","mitbestimmung","blüm","blüm","arbeit","bundesanstalt","arbeit","arbeit","gewerkschaften","arbeitsbeschaffungsmassnahmen","arbeit","arbeitsmarktpolitik","arbeitnehmer","arbeitnehmer","arbeitslosigkeit","blüm","arbeitnehmer","arbeitslosigkeit","arbeitslosen","arbeitslosen","lohnfortzahlung","arbeitsmarkt","beschäftigung","arbeitnehmer","arbeitslosigkeit","beschäftigung","teilzeitarbeit","arbeitsmarkt","arbeitslosen","arbeitslosigkeit","bundesanstalt","arbeitsmarkt","arbeitsmarkt","sozialhilfe","kündigungsschutz","arbeitsmarkt","arbeitnehmer","arbeitsmarkt","arbeitnehmer","arbeit","mindestlohn","menschen","menschen","arbeitsmarkt","arbeitsmarkt","leyen","leiharbeit","arbeitsmarkt","arbeitnehmer","arbeit","arbeitnehmer","menschen","arbeitsmarkt","arbeit","beschäftigten","arbeit","rentenversicherung","arbeitgeber","arbeit","mindestlohn","grundsicherung","rente","arbeitnehmer","grundsicherung","beschäftigten","rentner"
"5","arbeitgeber","arbeitgeber","familienausgleichskasse","dänischen","verhältniswahlrecht","arbeitsdirektor","arbeitnehmer","stunden","arbeitnehmern","arbeitslosigkeit","arbeitslosengeld","arbeitslosigkeit","kirchen","ermächtigung","evangelischen","arbeitslosenversicherung","urlaub","arbeitslosenversicherung","arbeitszeit","entwurf","arbeitnehmer","überstunden","arbeitsvermittlung","arbeitslosenversicherung","arbeitslosenversicherung","kattenstroth","entwicklungshelfer","bundesanstalt","älteren","bundesanstalt","rohde","behinderten","bundesanstalt","einigungsstelle","arbeitnehmer","sparförderung","arendt","arbeit","angestellten","sozialordnung","buschfort","leitenden","mitbestimmung","arbeitslosen","spartakus","schwerbehinderten","arbeitsplatz","novelle","arbeitslosen","arbeitswelt","arbeitszeitordnung","gewerkschaften","fuchs","fuchs","arbeitgeber","bundesanstalt","arbeit","bundesanstalt","arbeit","arbeitskampf","blüm","arbeit","bundesanstalt","blüm","gewerkschaften","beschäftigung","vorruhestand","montanmitbestimmung","betriebsrat","aussperrung","arbeiter","arbeit","arbeitsbeschaffungsmassnahmen","arbeitsmarkt","arbeitslosigkeit","arbeitsmarktpolitik","beschäftigung","arbeitslosigkeit","arbeitsmarktpolitik","arbeitsmarkt","arbeitsmarkt","arbeitnehmer","überstunden","arbeitnehmer","schreiner","beschäftigungsverhältnisse","bundesanstalt","arbeitgeber","arbeit","arbeitslosigkeit","arbeitslosigkeit","sozialhilfe","arbeitslosen","arbeitslosigkeit","arbeitslosigkeit","arbeitsmarkt","menschen","menschen","arbeitslosengeld","menschen","bundesagentur","arbeitnehmer","menschen","mindestlohn","arbeitsmarkt","bundesagentur","zeitarbeit","arbeitsmarkt","zeitarbeit","arbeit","leiharbeit","mindestlohn","rente","arbeit","arbeitnehmer","rente","menschen","arbeitnehmer","beschäftigten","mindestlohn","arbeitnehmer","arbeit","grundrente","grundsicherung","grundsicherung","kurzarbeit","tarifbindung","menschen"
"6","betrieb","gewerkschaften","geschäftsführer","schleswigholstein","parteien","wahlgesetz","wahlgesetz","sonntags","sozialpartner","bautätigkeit","arbeitnehmer","arbeitslosenversicherung","evangelischen","verwaltungsrat","arbeitgeber","anstalt","mindesturlaub","arbeit","arbeitslosenversicherung","ausbildung","arbeitslosenversicherung","arbeitslosenversicherung","arbeitnehmer","müller","katzer","beruflichen","katzer","mitbestimmung","beruflichen","auerbach","bundesanstalt","arbeit","unfälle","leitenden","rohde","beruflichen","rohde","betriebsverfassungsgesetz","leitenden","arbeitslosen","aufsichtsrat","arbeitsdirektor","rappe","arbeitgeber","msb","schwerbehinderte","arbeitgeber","arbeitslosigkeit","bundesanstalt","arbeitgeber","blüm","blüm","arbeitslosigkeit","arbeitslosen","gemeldet","mitbestimmung","lutz","arbeitszeitordnung","blüm","streik","arbeitszeit","arbeitgeber","arbeitskampf","arbeit","arbeit","dressler","jugend","blüm","blüm","arbeitslosigkeit","arbeitsschutz","arbeitgeber","arbeitsmarktpolitik","abm","abm","arbeitsmarkt","arbeitslosen","beschäftigung","arbeitslosigkeit","bundesanstalt","blüm","blüm","arbeitgeber","blüm","arbeit","beschäftigung","regelung","arbeitslosen","bundesanstalt","arbeit","arbeitsmarktpolitik","beschäftigung","beschäftigung","kündigungsschutz","beschäftigung","laumann","arbeitnehmer","arbeitnehmer","hartz","hartz","arbeitslosengeld","arbeitslosigkeit","arbeitslosengeld","beschäftigung","bundesagentur","beschäftigung","kolb","mindestlohn","menschen","leyen","menschen","altersarmut","menschen","euro","arbeit","arbeitgeber","mütterrente","arbeitgeber","arbeitsmarkt","altersvorsorge","mindestlohn","beschäftigten","arbeit","hartz","mindestlohn","arbeit","betriebsräte","rentnerinnen"
"7","betriebsrat","mitbestimmung","kindergeld","sabel","gewerkschaften","eisen","sozialbeirat","sonntagsarbeit","sonntag","winterbau","kurzarbeit","betrieb","kriegsdienstverweigerer","ausschuss","familienausgleichskassen","mindesturlaub","tage","blank","jugendlichen","wirtschaft","beschäftigten","arbeitsvermittlung","arbeit","berufsforschung","arbeitnehmer","fortbildung","arbeitslosigkeit","arbeitsvermittlung","berufsausbildung","mitbestimmung","gewerkschaften","betriebsrat","auerbach","arbeitgeber","berufliche","sozialordnung","betriebsärzte","arbeitssicherheit","franke","mitbestimmung","arbeitgeber","unternehmen","beteiligung","arbeitnehmern","schwerbehinderter","pieroth","schwerbehindertengesetz","beruflichen","blüm","frauen","gewerkschaften","müller","bundesanstalt","arbeitgeber","egert","humanisierung","arbeitszeit","beschäftigung","arbeitszeit","gewerkschaften","arbeitgeber","überstunden","metall","arbeitslosen","verlängerung","arbeitslosen","betriebsrat","arbeitsbeschaffungsmassnahmen","arbeitslosen","arbeitslosen","angestellte","qualifizierung","arbeitslosigkeit","arbeitnehmer","arbeitsmarkt","blüm","arbeitsmarkt","schlechtwettergeld","schlechtwettergeld","arbeitgeber","beschäftigung","gewerkschaften","bundesanstalt","schreiner","blüm","arbeitsmarkt","arbeitslosen","beschäftigten","arbeitgeber","betriebsräte","riester","arbeitslosen","zeitarbeit","arbeitgeber","sozialhilfe","arbeitnehmer","arbeitsmarkt","gewerkschaften","entsendegesetz","bundesagentur","mindestlohn","löhne","ältere","arbeitsmarkt","kolb","beschäftigten","bundesagentur","arbeitnehmer","arbeitnehmer","beschäftigung","gewerkschaften","minijobs","gewerkschaften","rentenversicherung","gewerkschaften","beschäftigten","leiharbeit","mindestlohn","nahles","prozent","arbeitgeber","rentenversicherung","mindestlohn","iv","rentenversicherung","rente","arbeit","kurzarbeitergeld"
"8","wahl","betriebsverfassungsgesetz","gewählt","übereinkommen","dänischen","übereinkommen","aufsichtsrat","überstunden","wahlgesetz","baugewerbe","unterstützung","beschäftigten","bundesanstalt","scharnowski","vermögenswirksame","arbeitsämter","bundesgebiet","sozialordnung","berlin","industrie","sozialordnung","schwarzarbeit","kattenstroth","ausbildung","arbeitslosigkeit","umschulung","arbeitsvermittlung","betriebsrat","kattenstroth","arbeitgeber","tarifverträge","betrieb","unfallverhütungsbericht","arbeit","arendt","lösung","arbeitgeber","beschäftigten","unternehmen","buschfort","ausländischer","montanmitbestimmung","arbeitnehmern","umschulung","schwerbehindertengesetz","mitbestimmung","vermögensbildung","ehrenberg","arbeitslosigkeit","vermögensbildung","arbeit","humanisierung","müller","ehrenberg","altersgrenze","sozialordnung","blüm","sozialordnung","arbeitszeitverkürzung","arbeitgeber","arbeitsplatz","arbeitnehmern","ig","bundesanstalt","arbeitnehmern","jugend","gewerkschaften","arbeitslosen","beschäftigung","arbeitnehmern","arbeitern","beschäftigten","arbeitsmarkt","arbeitsvermittlung","afg","kündigungsfristen","arbeitsplätze","mitbestimmung","arbeitsmarkt","arbeitsmarktpolitik","gewerkschaften","beschäftigung","bauarbeiter","arbeitslosen","überstunden","sozialversicherung","arbeitgeber","bundesanstalt","arbeitsmarktpolitik","betrieben","arbeitslose","arbeitslosenhilfe","menschen","betriebe","arbeitnehmer","beschäftigung","ii","hartz","laumann","arbeitslosengeld","hartz","gewerkschaften","arbeitslosigkeit","kolb","arbeitgeber","arbeitslosigkeit","arbeitnehmer","kolb","lohn","kolb","rente","leyen","löhne","arbeitnehmer","beschäftigten","gewerkschaften","mindestlohn","menschen","arbeitnehmer","arbeitnehmer","rente","arbeitnehmer","beschäftigten","arbeitnehmer","kurzarbeitergeld","sozialstaat","löhne","arbeit"
"9","abs","betrieben","verwaltungsrat","mitbestimmung","minderheit","vorstand","vertreter","gleitenden","wahlrecht","bauherren","arbeitsvermittlung","bundesanstalt","beistand","arbeitgeber","geschlechtskrankheiten","werktage","tagen","arbeitskräfte","sozialordnung","handwerk","lehrwerkstätten","arbeit","arbeitszeit","arbeit","arbeitsvermittlung","arbeitsvermittlung","müller","arbeitsplatz","arbeitsförderungsgesetz","arbeitnehmern","arendt","ruf","bundesministeriums","ruf","ausbildung","arbeitsförderungsgesetz","arbeitsschutz","arbeitsverhältnis","arendt","arbeitslosigkeit","mitbestimmung","arbeitnehmern","ausländischen","arbeitslos","gansel","gewerkschaften","arbeit","arbeit","arbeitsmarkt","arbeitsplatz","bundesanstalt","arbeitgeber","arbeitgeber","gewerkschaften","müntefering","arbeitslosen","fremdenverkehrswirtschaft","stunden","verkürzung","blüm","teilzeitarbeit","dressler","dgb","aussperrung","urbaniak","gewerkschaften","arbeitgeber","gewerkschaften","beschäftigungsförderungsgesetz","vogt","arbeit","abm","arbeitslosen","arbeitsbeschaffungsmassnahmen","blüm","abm","blüm","teilzeitarbeit","gewerkschaften","arbeitslosenhilfe","arbeitgeber","lohnfortzahlung","arbeitsmarkt","arbeitgeber","arbeitslose","geringfügigen","beschäftigung","sozialordnung","arbeitslosen","arbeitslose","beschäftigung","arbeitsmarktpolitik","arbeitnehmer","gewerkschaften","hartz","arbeitslosen","arbeitslosen","laumann","iv","sgb","ii","bundesagentur","bundesagentur","beschäftigten","ii","mindestlohn","kurzarbeit","beschäftigung","löhne","arbeitnehmer","schlecker","beschäftigung","prozent","erwerbsminderungsrente","sanktionen","leiharbeit","arbeitnehmer","riesterrente","arbeitgeber","menschen","befristungen","heil","arbeitnehmer","beschäftigten","weiterbildung","homeoffice","arbeitnehmer","euro"
"10","mitbestimmungsrecht","konsumvereine","mitglieder","bediensteten","weimarer","hauptversammlung","demokratie","sabel","arbeitgeber","leber","übereinkommen","sommer","betreuung","arbeitslosigkeit","kirche","arbeitnehmer","arbeitgeber","arbeitnehmern","griechenland","novellierung","blank","handwerk","umschulung","arbeitsvermittlung","avavg","arbeitslosenversicherung","arbeitslosenversicherung","arbeitslosenversicherung","arbeitslosigkeit","gewerkschaften","burgbacher","gewerkschaften","rohde","sozialordnung","berufsausbildung","mitbestimmung","unterkünfte","mitbestimmung","arbeit","ausländischen","gewerkschaften","arbeit","arbeit","wahlmänner","ausgleichsabgabe","vermögenspolitik","schwerbehinderter","arbeitsmarktpolitik","angestellten","arbeit","arbeitslosigkeit","arbeit","schwarzarbeit","arbeitnehmern","beschäftigung","arbeitnehmern","tourismus","blüm","überstunden","arbeitslosen","stunden","arbeitslosen","arbeit","dgb","arbeitgeber","sozialordnung","montanmitbestimmung","arbeitsmarkt","mitbestimmung","bundesanstalt","blüm","arbeitslosen","blüm","abmassnahmen","arbeitslosen","arbeitgeber","arbeitsmarktpolitik","arbeitsmarkt","beschäftigung","beschäftigung","arbeitsplätze","arbeitsmarktpolitik","beschäftigung","arbeitsmarktpolitik","arbeitgeber","arbeitslosigkeit","altersteilzeit","arbeitslosigkeit","riester","arbeitsmarktpolitik","sozialhilfe","menschen","sozialhilfe","tarifautonomie","arbeitslosen","menschen","statistik","arbeitslosen","beschäftigung","iv","arbeitslosigkeit","ältere","kolb","ii","mindestlöhne","sgb","leiharbeit","arbeiten","beschäftigung","löhne","beschäftigung","rentenversicherung","beschäftigten","nahles","tarifautonomie","nahles","prozent","rentenversicherung","altersarmut","altersarmut","befristung","arbeitgeber","iv","grundrente","arbeit","arbeitnehmer","mitbestimmung","bürgergeld"
