"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","nr","drucksache","ausschuss","drucksache","ausschuss","drucksache","ausschuss","drucksache","drucksache","drucksache","drucksache","beratung","beratung","drucksache","beratung","iv","iv","iv","iv","iv","iv","iv","drucksache","beratung","beratung","beratung","beratung","beratung","dr","vi","vi","vi","vi","dr","vi","dr","drucksache","drucksache","dr","drucksache","drucksache","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","zoll","ostdeutschland","thüringen","einheit","helmut","ostdeutschland"
"2","ausschuss","beratung","drucksache","ausschuss","drucksache","beratung","drucksache","beratung","ausschuss","beratung","beratung","drucksache","drucksache","beratung","drucksache","drucksache","drucksache","beratung","beratung","beratung","beratung","beratung","beratung","drucksache","berichterstatter","drucksache","berichterstatter","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","vi","dr","vi","dr","rates","drucksache","rates","rates","frau","rates","rates","rates","frau","frau","frau","drucksache","frau","bundesminister","frau","frau","frau","frau","bundesminister","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","peter","wolfgang","wolfgang","wolfgang","peter","wolfgang","wolfgang","peter","erteile","peter","peter","peter","michael","peter","wahlgang","michael","peter","peter","peter","peter","peter","michael","michael","michael","michael","michael","michael","michael","thomas","thomas","thomas","thomas","thomas","michael","michael","högl","michael","ddr","osten","ddr","osten","kohl","osten"
"3","beratung","ausschuss","beratung","beratung","beratung","ausschuss","beratung","berichterstatter","beratung","tagesordnung","ausschuss","ausschuss","ausschuss","ausschuss","punkt","ausschuss","ausschuss","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuss","ausschuss","drucksache","berichterstatter","drucksache","dr","beratung","dr","dr","rates","beratung","drucksache","drucksache","drucksache","ausschuss","verordnung","frau","dr","ewg","ewg","verordnung","drucksache","ewg","drucksache","drucksache","drucksache","schreiben","drucksache","abgeordnete","abgeordnete","wünscht","abgeordnete","berliner","eid","müller","schriftführer","enthaltungen","müller","abstimmung","abstimmung","abstimmung","müller","müller","müller","berliner","berliner","abstimmung","enthaltungen","enthaltungen","müller","müller","peter","peter","peter","peter","peter","peter","peter","peter","peter","peter","peter","peter","klaus","klaus","klaus","peter","wolfgang","klaus","peter","klaus","peter","michael","michael","klaus","peter","erteile","michael","peter","michael","michael","michael","michael","michael","thomas","peter","thomas","thomas","thomas","thomas","thomas","michael","michael","michael","michael","michael","thomas","thomas","jens","thomas","ostdeutschen","ostdeutschen","einheit","ddr","osten","schwedt"
"4","tagesordnung","überweisung","punkt","tagesordnung","tagesordnung","tagesordnung","tagesordnung","punkt","punkt","entwurfs","rufe","tagesordnung","tagesordnung","eingebrachten","ausschusses","tagesordnung","beratung","ausschuss","ausschuss","enthaltungen","ausschuss","ausschuss","berichterstatter","berichterstatter","ausschuss","ausschuss","tagesordnung","berichterstatter","frau","beratung","beratung","dr","dr","rates","berichterstatter","rates","beratung","ewg","ausschuss","ausschuss","verordnung","rates","drucksache","comment","verordnung","berliner","comment","abgeordnete","frau","schreiben","eid","müller","klein","berliner","abgeordnete","frau","abgeordnete","wahl","abstimmung","abgeordnete","berliner","müller","müller","abstimmung","jung","jung","müller","abgeordnete","müller","müller","müller","schmidt","einzelplan","klaus","klaus","klaus","klaus","klaus","klaus","klaus","klaus","klaus","klaus","klaus","klaus","wolfgang","peter","peter","klaus","klaus","peter","klaus","michael","wort","wolfgang","wolfgang","michael","wolfgang","michael","peter","wolfgang","klaus","wolfgang","wolfgang","wolfgang","wolfgang","peter","thomas","peter","peter","peter","peter","peter","matthias","matthias","matthias","matthias","matthias","matthias","matthias","albert","heinrich","treuhand","thüringen","ramelow","haribo","stiftung","einheit"
"5","drucksache","tagesordnung","tagesordnung","punkt","punkt","punkt","punkt","tagesordnung","überweisung","überweisung","handzeichen","überweisung","punkt","tagesordnung","berichterstatter","beratung","tagesordnung","tagesordnung","gewünscht","ausschuss","tagesordnung","enthaltungen","gegenprobe","ausschusses","ausschusses","gegenprobe","gegenprobe","gegenprobe","enthaltungen","tagesordnung","berichterstatter","beratung","berichterstatter","verordnung","beratung","verordnung","rates","ausschuss","beratung","ewg","ausschuss","drucksache","ewg","verordnung","drucksache","müller","abgeordnete","abstimmung","verteilt","abgeordnete","schwöre","schmidt","müller","abstimmung","freiherr","schwöre","berliner","bundesminister","wünscht","abstimmung","müller","abgeordnete","abgeordnete","abgeordnete","fischer","fischer","enthaltungen","fischer","fischer","abstimmung","schmidt","abgeordnete","abstimmung","horst","horst","jürgen","jürgen","jürgen","dieter","dieter","dieter","dieter","dieter","dieter","dieter","norbert","norbert","norbert","norbert","norbert","norbert","norbert","wolfgang","wolfgang","klaus","klaus","wolfgang","klaus","wolfgang","schriftführer","klaus","wolfgang","thomas","andreas","andreas","thomas","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","andreas","andreas","andreas","andreas","andreas","andreas","peter","matthias","christian","osten","ost","ministerpräsidentenwahl","akten","einheit","enquetekommission"
"6","drucksachen","rufe","überweisung","berichterstatter","rufe","berichterstatter","rufe","ausschuss","tagesordnung","punkt","punkt","eingebrachten","eingebrachten","punkt","bericht","punkt","ausschusses","enthaltungen","enthaltungen","tagesordnung","enthaltungen","gegenprobe","enthaltungen","eingebrachten","enthaltungen","tagesordnung","enthaltungen","tagesordnung","berichterstatter","ausschuss","tagesordnung","verordnung","tagesordnung","beratung","rates","ewg","berichterstatter","überwiesen","berichterstatter","verordnung","berichts","verordnung","comment","ewg","comment","schmidt","berliner","berliner","comment","müller","helfe","abstimmung","gegenstimmen","schmidt","kunz","helfe","fischer","stimmen","handzeichen","dring","wünscht","drucksache","drucksache","drucksache","abstimmung","abstimmung","fischer","müller","schmidt","einzelplan","fischer","eid","dring","gerhard","jürgen","horst","rudolf","horst","manfred","norbert","manfred","norbert","norbert","norbert","norbert","dieter","dieter","manfred","hans","christian","rainer","manfred","georg","michael","ulrich","erteile","ulrich","erteile","klaus","schriftführerinnen","andreas","andreas","andreas","christian","thomas","klaus","christian","christian","klaus","klaus","norbert","norbert","klaus","stefan","stefan","stefan","martin","martin","stefan","andreas","gestimmt","dagmar","ostdeutschland","ddr","linken","ost","ddr","ost"
"7","punkt","punkt","rufe","rufe","berichterstatter","entwurfs","aussprache","gesetzes","entwurfs","rufe","eingebrachten","punkt","rufe","entwurfs","ausschuss","gewünscht","punkt","punkt","ausschusses","ausschusses","gegenprobe","bericht","beschlossen","punkt","gegenprobe","enthaltungen","ausschusses","enthaltungen","tagesordnung","verordnung","ausschuss","ausschuss","gegenprobe","ewg","ausschuss","frau","verordnung","berichts","berliner","beratung","dr","ausschuss","berichts","frau","berichts","abgeordnete","müller","müller","betr","verteilt","gott","berliner","abstimmung","fischer","weiden","wahr","freiherr","abgeordnete","zuzustimmen","graf","enthaltungen","berliner","dring","fischer","stimmen","enthaltungen","abstimmung","abstimmung","abgeordnete","schmidt","stimmen","stimmen","schmidt","jürgen","gerhard","gerhard","horst","manfred","norbert","manfred","norbert","manfred","manfred","manfred","horst","hans","manfred","hans","rainer","rainer","manfred","rainer","ulrich","klaus","georg","ulrich","uwe","rolf","müller","wolfgang","christian","müller","klaus","uwe","klaus","christian","klaus","klaus","christian","christian","christian","klaus","ulrich","christian","christian","martin","stefan","christian","peter","stefan","hubertus","andreas","schwarzarbeit","einheit","wiedervereinigung","ostdeutschen","ost","ddr"
"8","antrag","entwurfs","gesetzes","überweisung","überweisung","rufe","überweisung","entwurfs","rufe","ausschuss","enthaltungen","rufe","entwurfs","enthaltungen","tagesordnung","berichterstatter","eingebrachten","gegenprobe","tagesordnung","gewünscht","ausschusses","ausschusses","punkt","wer","tagesordnung","ausschusses","ausschuss","ausschuss","gegenprobe","rates","gegenprobe","berichterstatter","ausschuss","ausschuss","verordnung","nr","entwurfs","dr","entwurfs","betr","überwiesen","berichts","überwiesen","berichts","überwiesen","enthaltungen","schmidt","schmidt","abgeordnete","comment","frau","fischer","berliner","müller","fischer","herr","abstimmung","eid","bitte","freiherr","zuzustimmen","fischer","enthaltungen","enthaltungen","graf","drucksache","jung","graf","graf","fischer","stimmt","abgeordneten","fischer","rudolf","ulrich","ulrich","ulrich","ulrich","horst","hermann","rudolf","rolf","horst","horst","werner","rainer","hans","rainer","dieter","hans","hans","schmidt","jürgen","georg","jürgen","rolf","georg","ulrich","friedrich","wahl","müller","thomas","christian","müller","christian","andreas","frank","johannes","frank","johannes","stefan","johannes","manfred","martin","martin","christian","peter","stefan","christian","christian","müller","helmut","bundesbehörden","west","westen","wiedervereinigung","ostdeutschen","seddiktatur"
"9","ausschusses","aussprache","berichterstatter","ausschusses","entwurfs","ausschusses","gesetzes","ausschusses","enthaltungen","gesetzes","tagesordnung","entwurfs","berichterstatter","überweisung","enthaltungen","eingebrachten","berichterstatter","gewünscht","eingebrachten","punkt","gewünscht","berichterstatter","tagesordnung","drucksachen","drucksachen","punkt","eingebrachten","eingebrachten","eingebrachten","enthaltungen","gesetzes","überwiesen","eingebrachten","tagesordnung","tagesordnung","überwiesen","eingebrachten","beschlussfassung","drucksachen","berichterstatter","berichterstatter","berliner","ausschuss","ausschuss","ausschuss","gegenprobe","abstimmung","schreiben","rates","freiherr","glückwunsch","wimmer","schmidt","köhler","spranger","gott","schmidt","bitte","müller","schmidt","handzeichen","gestimmt","werner","schmidt","becker","link","abgeordnete","fuchs","voigt","graf","abstimmung","graf","friedrich","hans","rudolf","rudolf","norbert","rudolf","günter","horst","horst","hermann","rolf","hermann","hermann","günter","müller","georg","bernd","manfred","dieter","christian","rolf","ulrich","rainer","hans","thomas","hanspeter","jürgen","thomas","thomas","christian","müller","klaus","norbert","norbert","joachim","manfred","johannes","stefan","johannes","stefan","stefan","carsten","peter","peter","christian","norbert","gabriele","martin","peter","schmidt","ost","westen","teilung","ostdeutschland","west","lebensverhältnisse"
"10","rufe","gesetzes","entwurfs","antrag","ausschusses","überweisung","berichterstatter","gewünscht","gegenprobe","enthaltungen","berichterstatter","gewünscht","enthaltungen","rufe","eingebrachten","ausschusses","entwurfs","berichterstatter","punkt","gegenprobe","punkt","punkt","handzeichen","gegenprobe","verordnung","eingebrachten","punkt","punkt","gewünscht","punkt","enthaltungen","eingebrachten","enthaltungen","berichterstatter","berichts","schreiben","gesetzes","beratung","rates","berichts","beschlussfassung","beratung","beschlussfassung","überwiesen","beschlussfassung","handzeichen","rates","schröder","richtlinie","röhner","herzlichen","graf","abgeordnete","gestimmt","göttingen","lambsdorff","graf","stimmkarte","ausschussfassung","bitte","bitte","schmidt","schmidt","schäfer","münchencomment","graf","graf","enthaltungen","drucksache","wer","drucksache","dring","neumann","ulrich","dieter","dieter","otto","michael","rudolf","günter","hermann","günter","günter","hans","manfred","manfred","rainer","friedrich","manfred","michael","michael","angelika","friedrich","abstimmung","uwe","friedrich","rolf","rainer","volker","jürgen","rolf","rolf","rolf","thomas","ulrich","rolf","manfred","werner","martin","manfred","frank","christian","norbert","norbert","gabriele","carsten","gabriele","gabriele","martin","gabriele","manfred","peter","treuhandanstalt","ostdeutsche","eisenach","west","westen","west"
