"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","regierung","möchte","regierung","möchte","regierung","bundesregierung","regierung","glaube","glaube","glaube","glaube","glaube","müssen","müssen","glaube","unserer","bundesregierung","müssen","unserer","unserer","unserer","entwicklung","unserer","entwicklung","unserer","unserer","unserer","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","entwicklung","bereich","unserer","heute","unserer","unserer","unserer","unserer","bereich","entwicklung","bereich","bereich","bereich","unserer","entwicklung","förderung","bereich","entwicklung","müssen","müssen","bereich","müssen","müssen","probleme","müssen","müssen","müssen","müssen","bereich","eureka","forschung","forschung","müssen","entwicklung","müssen","entwicklung","forschung","forschung","entwicklung","entwicklung","entwicklung","entwicklung","forschung","forschung","forschung","forschung","entwicklung","entwicklung","entwicklung","tourismus","entwicklung","entwicklung","umweltbildung","entwicklung","tourismus","entwicklung","entwicklung","tourismus","globalisierung","globalisierung","entwicklung","entwicklung","tourismus","entwicklung","raumfahrt","nachhaltigkeit","antrag","entwicklung","müssen","entwicklung","entwicklung","entwicklungsländern","entwicklung","entwicklung","entwicklungszusammenarbeit","entwicklung","entwicklung","entwicklung","entwicklung","entwicklungszusammenarbeit","entwicklung","afrika","entwicklungszusammenarbeit","entwicklung","entwicklung","deg","afrika","afrika","afrika","afrika","afrika","entwicklungszusammenarbeit","afrika","afrika","weltweit","entwicklungszusammenarbeit"
"2","glaube","bundesregierung","möchte","frage","bundesregierung","regierung","bundesregierung","bundesregierung","regierung","probleme","müssen","probleme","glaube","glaube","müssen","müssen","unserer","unserer","müssen","aufgabe","müssen","unsere","unsere","unserer","probleme","unsere","entwicklung","unserer","modernen","bereich","unserer","bereich","unserer","entwicklung","entwicklung","rahmen","bereich","bereich","bereich","bereich","unserer","unserer","unserer","unserer","unserer","bereich","unserer","unserer","müssen","müssen","bereich","bereich","müssen","bereich","probleme","müssen","bereich","probleme","bereich","bereich","entwicklung","müssen","bereich","grossforschungseinrichtungen","probleme","müssen","entwicklung","müssen","entwicklung","entwicklung","forschung","forschung","müssen","grossforschungseinrichtungen","entwicklung","entwicklung","entwicklung","entwicklung","tourismus","bereich","tourismus","entwicklung","forschung","bereich","entwicklung","neue","entwicklung","enquetekommission","bereich","entwicklung","tourismus","entwicklung","tourismus","entwicklungsländern","entwicklung","bereich","entwicklung","entwicklung","partnerschaften","bereich","entwicklung","entwicklungsländer","müssen","entwicklung","entwicklungszusammenarbeit","nachhaltige","haiti","entwicklungszusammenarbeit","kinderarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","bmz","entwicklungspolitik","entwicklungspolitik","entwicklung","afrika","fluchtursachen","entwicklung","entwicklungszusammenarbeit","entwicklung","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","indien","entwicklungszusammenarbeit","globalen","lieferkettengesetz","globalen"
"3","möchte","glaube","bundesregierung","glaube","möchte","möchte","glaube","regierung","müssen","heute","darüber","möchte","problem","möchte","unserer","glaube","vorschläge","öffentlichkeit","regierungserklärung","probleme","probleme","unserer","aufgaben","probleme","unsere","entwicklung","aufgaben","heute","unserer","unserer","begrüssen","probleme","bereich","aufgaben","aufgaben","aufgabe","aufgaben","probleme","forschung","entwicklung","aufgaben","bereich","entwicklung","entwicklung","entwicklung","entwicklung","probleme","entwicklung","unserer","bereich","unserer","unserer","massnahmen","probleme","aufgabe","aufgabe","aufgabe","bereich","probleme","entwicklung","müssen","bereich","entwicklung","bereich","enquetekommission","bereich","bereich","forschung","technikfolgenabschätzung","technologie","forschungs","technikfolgenabschätzung","bereich","forschung","müssen","technologie","technologie","zukunft","forschung","müssen","forschung","forschung","rahmenbedingungen","enquetekommission","bereich","förderung","bereich","bereich","tourismus","chancen","entwicklung","nachhaltige","globalisierung","globalisierung","bereich","wichtig","bereich","tourismus","entwicklung","müssen","aids","müssen","entwicklungszusammenarbeit","müssen","budgethilfe","beirat","zusammenarbeit","zusammenarbeit","zusammenarbeit","entwicklungspolitik","wasser","entwicklung","zusammenarbeit","entwicklung","afrika","nachhaltige","entwicklungspolitik","palmöl","entwicklung","entwicklungspolitik","entwicklungspolitik","müller","menschenrechte","afrika","globalen","entwicklungszusammenarbeit","welt","hunger"
"4","bundesregierung","regierung","glaube","bundesregierung","glaube","glaube","heute","gerade","möchte","müssen","probleme","gebiet","heute","unserer","parlament","bundesregierung","letzten","situation","einzelnen","heute","vorstellungen","müssen","probleme","unsere","entwicklung","probleme","probleme","bedeutung","massnahmen","aufgaben","bereich","herren","bedeutung","unserer","bereich","bundesregierung","massnahmen","massnahmen","forschungspolitik","aufgaben","bedeutung","probleme","bedeutung","probleme","probleme","probleme","förderung","müssen","massnahmen","unserer","probleme","massnahmen","probleme","aufgabe","unserer","entwicklung","probleme","neue","neuen","probleme","probleme","entwicklung","müssen","entwicklung","bereich","forschung","unsere","bereich","forschungs","riesenhuber","bereich","müssen","forschung","müssen","bereich","müssen","müssen","förderung","bereich","forschung","expo","bereich","bereich","müssen","förderung","bereich","neue","globalisierung","neue","nachhaltigkeit","chancen","enquetekommission","chancen","bedeutung","rahmenbedingungen","neue","müssen","bereich","länder","nachhaltigkeit","wichtig","tourismus","bereich","entwicklungszusammenarbeit","entwicklungsländern","antrag","entwicklung","entwicklungsländern","entwicklungszusammenarbeit","niebel","zusammenarbeit","entwicklungsländern","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungspolitik","entwicklungszusammenarbeit","entwicklungszusammenarbeit","kekeritz","entwicklungspolitik","wirtschaftliche","müller","entwicklungspolitik","nachhaltigkeit","müller","who","lieferkettengesetz","menschenrechte","entwicklungspolitik"
"5","herrn","darüber","fragen","fragen","müssen","frage","möchte","möchte","diskussion","regierung","möchte","vorschläge","probleme","problem","probleme","möchte","müssen","parlament","deutlich","müssen","deutlich","massnahmen","aufgabe","müssen","grossen","wirtschaftlichen","wirtschaftlichen","massnahmen","aufgaben","damen","bedeutung","massnahmen","aufgaben","massnahmen","bedeutung","wahlperiode","aufgabe","gesellschaft","gesellschaftlichen","probleme","probleme","massnahmen","massnahmen","bedeutung","massnahmen","möglichkeiten","bereich","bereich","förderung","förderung","förderung","probleme","unserer","unserer","bereich","besondere","entwicklung","besonders","neue","förderung","technologien","forschung","eureka","fremdenverkehr","entwicklung","aufgabe","unserer","zusammenarbeit","bereich","müssen","enquetekommission","bereich","zukunft","bericht","rahmenbedingungen","bereich","forschungs","technologie","förderung","neue","müssen","müssen","neue","forschung","ziele","nachhaltigkeit","bedeutung","neue","nachhaltigkeit","neue","bereich","nachhaltigkeit","müssen","rahmenbedingungen","wichtig","nachhaltigkeit","bedeutung","bedeutung","öpp","nachhaltige","bereich","entwicklungsländern","entwicklungsländern","tourismus","nachhaltige","entwicklungsländern","entwicklungspolitik","niebel","wasser","entwicklungsländern","kinderarbeit","niebel","entwicklungsländern","nachhaltigkeit","weltweit","armut","globalen","weltweit","fluchtursachen","menschenrechte","globalen","globalen","äthiopien","welt","globale","müller","afrika","welt"
"6","sagen","ja","frage","darauf","darauf","fragen","müssen","öffentlichkeit","darüber","möchte","gewisse","diskussion","darüber","heute","schwierigkeiten","gewisse","notwendige","bundesregierung","aufgabe","situation","entwicklung","möchte","regierungserklärung","notwendige","regierungserklärung","schaffung","müssen","probleme","probleme","modernen","aufgaben","damen","massnahmen","bundesregierung","massnahmen","wesentlichen","regionalen","müssen","entwicklung","müssen","entwicklung","bedeutung","förderung","massnahmen","bedeutung","massnahmen","müssen","massnahmen","entwicklung","massnahmen","massnahmen","entwicklung","entwicklung","entwicklung","entwicklung","stärker","mikroelektronik","bereichen","förderung","neuen","neue","technologien","technologien","tourismus","brauchen","bedeutung","zukunft","zukunft","technologie","bereich","müssen","bericht","rahmenbedingungen","bedeutung","zukunft","rahmenbedingungen","bereich","müssen","müssen","informationsgesellschaft","neue","rahmenbedingungen","müssen","neue","forschung","müssen","rahmenbedingungen","nachhaltigkeit","rahmenbedingungen","bereich","wto","chancen","neue","wichtige","neue","nutzen","ländern","antrag","entwicklungsländern","unsere","zusammenarbeit","bereich","zusammenarbeit","menschen","entwicklungspolitik","entwicklungszusammenarbeit","niebel","nachhaltige","entwicklungsländern","zusammenarbeit","entwicklungsländern","entwicklungspolitik","beiräte","uruguay","hunger","welt","nachhaltige","zusammenarbeit","wirtschaftliche","müller","bmz","staaten","eritrea","weltweit","lieferkettengesetz","weltweit","globalen","afrika"
"7","ja","herrn","müssen","regierung","frage","öffentlichkeit","entwicklung","sicherlich","heute","darüber","entwicklung","problem","unserer","darüber","gerade","worden","öffentlichkeit","glaube","öffentlichkeit","massnahmen","heute","vorstellungen","entscheidungen","heute","heute","neue","bedeutung","bereich","bedeutung","probleme","modernen","unserer","entwicklungspolitik","herren","aufgabe","dabei","strukturpolitik","zukunft","zusammenarbeit","bedeutung","massnahmen","zusammenarbeit","zusammenarbeit","sicherung","aufgaben","förderung","massnahmen","bedeutung","probleme","probleme","entwicklung","aufgaben","begrüssen","bedeutung","gilt","umwelt","förderung","massnahmen","entwicklung","unserer","forschung","probleme","probleme","müssen","aufgabe","raumfahrt","aufgabe","technologie","müssen","technikfolgenabschätzung","wissenschaft","enquetekommission","raumfahrt","bereich","neue","bedeutung","rahmenbedingungen","rahmenbedingungen","zukunft","rahmenbedingungen","verwaltung","zukunft","chancen","rahmenbedingungen","rahmenbedingungen","enquetekommission","globalisierung","nachhaltige","neuen","deutschland","rahmenbedingungen","neue","dienstleistungen","bereich","müssen","müssen","zusammenarbeit","nachhaltige","ländern","wichtig","neue","unsere","wichtig","bereich","zusammenarbeit","nachhaltigkeit","entwicklungsländer","wirtschaftliche","nachhaltigkeit","bmz","weltweit","zusammenarbeit","antrag","afrikanischen","nachhaltige","weltweit","armut","entwicklungszusammenarbeit","zusammenarbeit","weltweit","minister","äthiopien","welt","globalen","entwicklungsländern","welt","staaten","weltweit"
"8","frage","frage","heute","zusammenhang","unserer","scheint","dingen","hause","bundesregierung","schon","schon","müssen","schon","gerade","situation","situation","begrüssen","möchte","parlament","entwicklung","bereich","schaffen","müssen","wirtschaftlichen","aufgaben","massnahmen","föderalismus","notwendig","begrüssen","unsere","herren","aufgaben","damen","bedeutung","damen","mehr","bedeutung","aufgabe","neue","verbesserung","zusammenarbeit","ausbau","probleme","aufgaben","förderung","bedeutung","aufgaben","anstrengungen","aufgaben","besonders","aufgaben","aufgabe","instrument","aufgaben","begrüssen","unserer","stärker","aufgabe","unserer","möglichkeiten","unserer","förderung","technischen","zukunft","zukunft","unserer","internationalen","aufgaben","wissenschaft","projekte","aufgabe","aufgaben","bericht","kommission","strukturen","aufgabe","raumfahrt","neue","rahmenbedingungen","bedeutung","bereich","förderung","förderung","ziele","gesellschaft","rahmenbedingungen","tourismuswirtschaft","informations","beispiel","regionen","neue","sozialen","unserer","neue","beispiel","chancen","beispiel","beispiel","bereich","herausforderungen","unsere","ländern","unsere","ländern","tourismus","entwicklungsländer","entwicklungsländern","entwicklungspolitik","indien","kinderarbeit","bmz","armut","welt","welt","ebola","nachhaltigkeit","weltweit","nachhaltige","müller","aktionsplan","global","bmz","globalen","china","staaten","menschenrechte","indigene","globale"
"9","herr","heute","herrn","durchaus","fragen","darauf","sicherlich","müssen","frage","gewisse","heute","parlament","kritik","schon","vorschläge","probleme","massnahmen","heute","notwendigkeit","parlament","aufgabe","begrüssen","heute","bundesregierung","regierung","aufgaben","begrüssen","anstrengungen","moderne","verbesserung","damen","aufgabe","probleme","zusammenarbeit","gemeinschaft","deshalb","gesellschaft","aufgaben","aufgaben","massnahmen","möglichkeiten","aufgaben","ziele","verbesserung","müssen","neue","unsere","aufgaben","anstrengungen","zukunft","dabei","unsere","besonders","besonders","förderung","förderung","insbesondere","unserer","aufgabe","massnahmen","förderung","neue","insbesondere","aufgabe","möglichkeiten","entwicklungen","brauchen","aufgabe","riesenhuber","zusammenarbeit","grundlagenforschung","technologie","internationalen","internationalen","probleme","zukunft","zukunft","bereich","neuen","aufgaben","rahmenbedingungen","neue","strukturen","tourismus","neue","forschung","förderung","rahmenbedingungen","chancen","beispiel","enquetekommission","bereich","bereich","deutschland","entwicklungsländern","antrag","wichtig","wichtig","effizienz","beispiel","tourismus","entwicklungspolitik","malaria","unsere","nachhaltigkeit","nachhaltigkeitsstrategie","wirtschaftliche","armut","internationalen","wirtschaftliche","niebel","afrika","globalen","nachhaltige","mädchen","entwicklungspolitik","nachhaltigkeit","wirtschaftliche","weltweit","nachhaltigkeit","globale","menschenrechte","weltweit","kinderarbeit","welt","entwicklungsländern","völker","bmz"
"10","heute","fragen","darüber","darüber","zusammenhang","seite","fragen","unserer","worden","parlament","fragen","heute","möchte","parlament","vorstellungen","parlament","regierung","probleme","probleme","vorstellungen","problemen","probleme","regierung","vorschläge","müssen","müssen","unsere","aufgaben","zukunft","aufgabe","bisherigen","notwendigen","unseres","aufgabe","begrüssen","bürger","legislaturperiode","bedeutung","probleme","ausbau","müssen","aufgabe","verbesserung","dabei","möglichkeiten","unsere","bedeutung","möglichkeiten","sicherung","immer","verbesserung","sollten","bericht","massnahmen","letztlich","bereich","ziel","anstrengungen","massnahmen","neue","zukunft","technologie","technologie","bedeutung","wirtschaft","zukunft","zusammenarbeit","unserer","technik","raumfahrt","bedeutung","aufgabe","technologie","enquetekommission","förderung","aufgaben","technologien","forschungspolitik","neue","förderung","ressourcen","strukturen","entwicklungen","förderung","aufgabe","gesellschaftlichen","chancen","tourismus","müssen","müssen","müssen","müssen","herausforderungen","wichtig","bedeutung","raumfahrt","indien","länder","weltweit","beirat","herausforderungen","entwicklungszusammenarbeit","ländern","länder","bereich","müssen","mittel","afrika","wirtschaftliche","weltweit","wirtschaftliche","weltweit","hunger","menschen","entwicklungsländern","menschen","afrika","welt","bmz","zusammenarbeit","weltweit","welt","beschaffung","menschenrechte","entwicklungspolitik","hunger","entwicklungszusammenarbeit","zusammenarbeit"
