"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","lastenausgleich","vertriebenen","vertriebenen","vertriebenen","flüchtlinge","vertriebenen","geschädigten","kather","vertriebenen","saar","saar","saar","flüchtlinge","novelle","flüchtlinge","unterhaltshilfe","flüchtlinge","flüchtlinge","wiedergutmachung","entschädigung","flüchtlinge","novelle","vertriebenen","novelle","novelle","novelle","novelle","entschädigung","novelle","novelle","herold","innerdeutsche","innerdeutsche","flüchtlinge","unterhaltshilfe","innerdeutsche","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","kultur","ddr","ddr","ddr","ddr","berlin","ddr","berlin","ddr","ddr","ddr","ddr","ddr","polen","vertrag","polen","polen","kultur","kultur","tschechischen","ddr","kulturpolitik","erklärung","wehrmacht","kulturpolitik","geschichte","gedenkstätten","mahnmal","stiftung","demokratie","opfer","kulturpolitik","welle","kultur","kultur","antisemitismus","kultur","welle","kultur","mauer","kultur","kultur","kultur","kultur","kultur","kultur","kultur","kultur","kultur","roma","kultur","roma","kultur","kultur","kultur","kultur","israel","kultur","völkermord","kultur","antisemitismus","antisemitismus","kultur","kultur","kultur","demokratie","demokratie","demokratie","demokratie"
"2","vertriebenen","eingliederung","eingliederung","eingliederung","vertriebene","sowjetzonenflüchtlinge","entschädigung","geschädigten","eingliederung","saarlandes","saarland","saarland","vertriebenen","vertriebenen","novelle","rehs","vertriebenen","zone","novelle","flüchtlinge","novelle","wiedergutmachung","flüchtlinge","rehs","flüchtlinge","entschädigung","flüchtlinge","flüchtlinge","entschädigung","vertriebenen","innerdeutsche","flüchtlinge","beziehungen","innerdeutsche","fircks","herold","herold","innerdeutsche","beziehungen","beziehungen","innerdeutsche","berlin","jäger","berlin","berlin","berlin","berlin","berlin","menschenrechte","menschenrechte","berlin","berlin","deutschlandpolitik","berlin","beziehungen","berlin","berlin","nation","berlin","ddr","deutschen","deutschen","berlin","kultur","berliner","berlin","ddr","berlin","berlin","einheit","einheit","einheit","deutschen","ddr","deutschen","geschichte","geschichte","enquetekommission","sudetendeutschen","einheit","tschechischen","tschechischen","ausstellung","kultur","demokratie","geschichte","opfer","opfer","kultur","rechtssicherheit","sprache","kultur","kulturpolitik","welle","juden","welle","kultur","geschichte","opfer","bibliothek","welle","künstler","kulturpolitik","computerspiele","medien","grundgesetz","stiftung","stiftung","sinti","digitalisierung","namibia","aufarbeitung","künstler","geschichte","künstler","aufarbeitung","bildungspolitik","geschichte","kulturelle","kultur","kultur","welle","geschichte","demokratie","opfer","kultur","antisemitismus","kultur"
"3","heimatvertriebenen","heimatvertriebenen","sowjetzonenflüchtlinge","flüchtlinge","kriegsgeschädigte","heimatvertriebenen","lastenausgleichsbank","hauptentschädigung","oberländer","saarländischen","saarländischen","saarlandes","eingliederung","flüchtlinge","hauptentschädigung","flüchtlinge","personenkreis","vertriebene","unterhaltshilfe","unterhaltshilfe","vertriebene","flüchtlinge","novelle","entschädigung","vertriebenen","flüchtlinge","heimatvertriebenen","vertriebene","flüchtlinge","unterhaltshilfe","beziehungen","novelle","fircks","herold","kriegsschadensrente","beziehungen","innerdeutsche","herold","innerdeutsche","innerdeutsche","elbe","herold","herold","menschenrechte","innerdeutschen","deutschlandpolitik","berliner","wiedervereinigung","berlin","beziehungen","sed","nation","beziehungen","beziehungen","berlin","deutschlandpolitik","deutschlandpolitik","berlin","deutschlandpolitik","polen","berlin","sprache","deutschen","berlin","ddr","deutschlandpolitik","rumänien","polen","polen","deutschen","deutschland","polen","ddr","deutschen","polnischen","ddr","kulturellen","ddr","vertreibung","geschichte","kultur","deutschtschechischen","opfer","stiftung","aufarbeitung","berlin","denkmal","deutschen","jüdischen","deutschen","deutschen","deutschen","kunst","sprache","kultur","kulturpolitik","deutschen","kulturpolitik","kultur","nationalbibliothek","aufarbeitung","dresden","enquetekommission","elser","juden","staatsziel","versöhnung","kunst","kultur","aufarbeitung","musik","kreativwirtschaft","kreativwirtschaft","kunst","künstlersozialversicherung","welle","kulturelle","kulturgut","bildungspolitik","künstler","israel","buchpreisbindung","opfer","meinungsfreiheit","geschichte","freiheit","geschichte","freiheit"
"4","vermögen","oberländer","heimatvertriebenen","vertriebene","verbrieften","flüchtlinge","hauptentschädigung","vertriebenen","flüchtlinge","französischen","saarländische","eingliederung","weltflüchtlingsjahr","hauptentschädigung","unterhaltshilfe","vertriebenen","beamtinnen","korspeter","flüchtlinge","ansprüche","kriegsgeschädigte","entschädigung","auslandsvertretungen","flüchtlinge","rehs","vertriebenen","menschenrechte","geschädigten","häftlinge","gleichstellung","barm","gleichstellung","ddr","ausgleichsfonds","lastenausgleichsgesetz","demokratischen","beziehungen","beziehungen","herold","herold","beziehungen","innerdeutschen","morgenstern","deutschlandpolitik","beziehungen","beziehungen","deutschlandpolitik","deutschlandpolitik","innerdeutsche","innerdeutsche","menschenrechte","sed","innerdeutschen","innerdeutschen","innerdeutschen","beziehungen","beziehungen","deutschlandpolitik","deutschen","deutschen","deutschlandpolitik","deutschlandpolitik","berliner","deutschen","beziehungen","west","berliner","beziehungen","ungarn","polen","deutschen","deutschen","einheit","einheit","deutsche","deutschen","kunst","geschichte","polen","enquetekommission","sudetendeutschen","sudetendeutschen","geschichte","opfer","stiftung","kultur","demokratie","stiftungen","geschichte","kulturpolitik","kultur","geschichte","staatsministerin","juden","entschädigung","deutschen","rechtschreibung","berliner","ddr","bücher","deutschen","unesco","kulturelle","auslandsschulen","geschichte","stiftung","vertreibung","bäume","welle","filme","sinti","film","aufarbeitung","grütters","kunst","geschichte","kulturellen","kultur","kulturellen","geschichte","sprache","geschichte","demokratie","medien","freiheit","geschichte","meinungsfreiheit","geschichte"
"5","gesetz","bauern","vertriebene","heimatvertriebenen","verbindlichkeiten","eingliederung","flüchtlinge","lastenausgleich","vertriebene","saarland","schneider","saarbrücken","vertriebene","geschädigten","geschädigten","vertriebene","lastenausgleichs","vertriebenen","hirsch","weber","vertriebenen","schäden","entschädigung","lastenausgleich","kriegsgeschädigte","heimkehrer","vertriebenen","kriegsgeschädigte","kriegsgefangenen","kinderkriminalität","reddemann","fircks","lastenausgleichs","fircks","personenkreis","entlang","erleichterungen","jäger","abelein","abelein","herold","beziehungen","menschenrechte","jäger","jäger","berlins","beziehungen","nation","beziehungen","innerdeutschen","nation","berliner","lorenz","innerdeutsche","innerdeutsche","sed","deutschen","deutschland","beziehungen","beziehungen","polen","windelen","deutschlandpolitik","deutschland","stadt","beziehungen","polen","deutschen","berliner","berlin","polen","deutschland","deutschpolnischen","ungarn","nachbarn","wache","kulturelle","kulturpolitik","tschechische","deutschen","opfer","tschechen","krieg","geschichte","deutschen","freiheit","bonn","demokratie","opfer","stiftung","geschichte","berliner","kulturellen","jüdischen","opfer","sprache","sprache","auswärtige","büttner","künstler","neumann","kulturwirtschaft","musik","georg","jüdischen","verfassung","enquetekommission","vertreibung","geschichte","reformation","polen","kulturellen","kreativen","aufarbeitung","künstlersozialkasse","juden","grütters","deutschen","film","ukraine","welle","deutsche","juden","opfer","juden","opfer","freiheit","opfer"
"6","geschädigten","flüchtlinge","lastenausgleichsgesetzes","evakuierten","oberländer","evakuierten","vertriebenen","entschädigung","friedland","eingliederung","eingliederung","schneider","kriegsgeschädigte","rehs","vertriebenen","kriegsgeschädigte","vertriebene","flüchtlingen","verfolgten","schäden","gleichstellung","rehs","schäden","dm","vertriebene","mick","gleichstellung","schäden","gleichstellung","flüchtlinge","vermögen","beziehungen","herold","unterhaltshilfe","innerdeutsche","schüsse","vertretung","bahr","vertretung","jäger","jäger","innerdeutsche","berlin","gaus","innerdeutsche","innerdeutschen","verträge","berlins","deutschlandpolitik","kreutzmann","beziehungen","beziehungen","menschenrechte","berliner","swing","berliner","innerdeutschen","einheit","deutschland","deutschlandpolitik","beziehungen","polen","beziehungen","sprache","deutschen","berlins","beziehungen","deutschlandpolitik","senat","währungsunion","deutschlands","deutschlands","polnischen","geschichte","kultur","gedenkstätte","deutschen","einheit","vertriebenen","seddiktatur","deutschen","unrecht","nationalsozialismus","kulturellen","opfer","deutschen","geschichte","volk","gedenkstätten","deutsche","deutsche","opfer","sprache","deutsche","denkmal","opfer","deutsche","religionsunterricht","teilung","deutsche","goetheinstitut","künstlersozialversicherung","kulturwirtschaft","film","film","welterbestätten","vertriebenen","versöhnung","kommunismus","access","stöbe","filme","künstlerinnen","kulturpolitik","medien","bauhaus","auswärtige","versöhnung","filme","kunst","juden","freiheit","freiheit","freiheit","demokratischen","deutschen","juden","medien"
"7","antrag","evakuierten","lastenausgleich","sowjetzonenflüchtlinge","heimatvertriebenen","oberländer","aussiedler","novelle","aussiedler","saarländische","saarlandes","lastenausgleich","geflüchteten","lastenausgleich","zone","lastenausgleichsgesetz","fritsch","heimatvertriebenen","juden","personen","einrichtungshilfe","hauptentschädigung","gleichstellung","reserven","heimatvertriebenen","schäden","verbesserungen","novelle","heimatvertriebenen","entschädigung","flüchtlinge","vertriebenen","polen","aufbaudarlehen","lastenausgleichsgesetzes","zonengrenze","bundesregierung","böhm","gaus","innerdeutschen","grenzkommission","jäger","wangen","vertretung","beschwerdestelle","nation","innerdeutsche","beziehungen","innerdeutschen","nation","ostberlin","deutschlandpolitik","berlin","menschenrechte","erleichterungen","lorenz","deutschland","deutschen","nation","kunst","deutschland","deutschland","deutschland","polen","berlins","deutschland","berlins","berliner","deutschen","menschen","staatsvertrag","berlin","deutschland","tschechoslowakei","sprache","kollwitz","polen","deutschen","tschechen","aufarbeitung","unrecht","beziehungen","verbrechen","unrecht","ddr","republik","deutschen","entschädigung","berliner","entschädigung","stiftung","architektur","freiheit","opfer","jüdischen","deutsche","geschichte","christina","demokratie","schulen","deutsche","kulturellen","kulturellen","filme","aufarbeitung","kulturpolitik","flucht","kinos","künstler","kulturellen","reagan","künstler","vertreibung","gedenken","geschichte","völkermord","stiftung","film","welle","welle","geschichte","forum","sinti","geschichte","jüdischen","aufarbeitung","sprache","aufarbeitung"
"8","entschädigung","vertriebene","flüchtlinge","oberländer","lastenausgleich","vertriebene","vertriebene","kunze","heimatvertriebenen","frankreich","bundesgebiet","bundesgebiet","lastenausgleichs","lastenausgleichsgesetz","kriegssachgeschädigten","aufbaudarlehen","lastenausgleich","mischnick","vertriebene","milliarden","entschädigung","unterhaltshilfe","vertriebene","besetzten","hauptentschädigung","unterhaltshilfe","korspeter","urheber","geschädigten","sowjetzonenflüchtlinge","ddr","herold","zonenrandgebietes","beziehungen","freiherr","prinz","ständigen","kunz","jäger","franke","abelein","abelein","helsinki","ostberlin","berlins","innerdeutsche","jäger","berliner","jäger","sed","rubrik","stadt","innerdeutsche","reisen","berliner","deutschland","kontinuität","deutschlands","innerdeutsche","deutschland","deutsche","deutsche","stadt","kunst","staaten","deutschen","zonenrandgebiet","deutschland","freiheit","deutschland","menschen","menschen","deutsche","sudetendeutschen","ddr","käthe","verhüllung","sed","deutschen","opfer","geschichte","geschichte","deutschen","entschädigung","enquetekommission","tschechischen","juden","freiheit","deutschen","polen","demokratie","schloss","kulturelle","deutschen","stiftung","auswärtige","stiftung","bildungspolitik","grundmandate","palast","geschichte","brücke","kunst","deutschen","antisemitismus","freiheit","steinbach","flucht","polen","opfer","herero","digitalisierung","künstlern","staatsministerin","kulturpolitik","beziehungen","deutschen","sowjetunion","kunst","freiheits","deutsche","buch","forum","rundfunk","juni","minderheiten","deutschen","welle"
"9","lastenausgleichs","sowjetzonenflüchtlinge","geschädigten","verbände","gläubiger","kather","unterhaltshilfe","oberländer","entschädigung","bundesrepublik","saarbevölkerung","lastenausgleichs","weltflüchtlingsjahres","auszahlung","zwangslage","mischnick","kriegsgeschädigte","eichelbaum","entschädigung","novelle","heimatvertriebenen","verfolgten","bundesentschädigungsgesetz","schäden","lastenausgleichsgesetz","hassel","sowjetzonenflüchtlinge","reparationsschädengesetz","lastenausgleichsfonds","lastenausgleich","eingliederung","hauptentschädigung","entschädigungsregelung","lastenausgleichsgesetzes","unterhaltshilfeempfänger","saynwittgensteinhohenstein","menschlichen","abelein","ständigen","berlin","innerdeutschen","deutschlandpolitik","beziehungen","bundesregierung","bundesregierung","manifest","berlins","deutschlands","bundesregierung","drüben","innerdeutschen","berlins","bestandsaufnahme","honecker","werbellinsee","deutschen","gespräche","teilung","teilung","berlin","einheit","berlin","nation","geschichte","nation","nation","deutschen","teilung","kultur","deutschlands","lafontaine","deutsche","kultur","polen","einheit","einheit","baltischen","seddiktatur","unrecht","diktatur","denkmal","jugendaustausch","unrecht","kulturgüter","diktatur","reichstag","stadt","geschichte","jüdische","kultur","auslandsschulen","zentrum","geschichte","suu","berliner","nooke","rechtschreibreform","musik","grundmandatsklausel","kunst","demokratie","vielfalt","neumann","medien","deutschland","medien","bdv","film","charta","akten","geschichte","geschichte","ausstellungsvergütung","medien","expertenkommission","kultur","staatsministerin","opfer","stiftung","juden","yücel","demokratie","roma","öffentlichrechtlichen","afd","rassismus","medien","deutsche"
"10","landwirtschaft","heimat","evakuierten","pächter","umstellung","umsiedlung","eingliederung","flüchtlinge","kriegsgeschädigte","übergangszeit","saarbrücken","vertriebenen","oberländer","vertriebene","personenkreis","eingliederung","lastenausgleichsgesetz","gleichstellung","ansprüche","regierungsentwurf","wiedergutmachung","vertriebenen","ansprüche","verluste","bundesregierung","vertriebene","hassel","traktateigentümer","lastenausgleichsgesetzes","rutschke","assoziierten","lastenausgleichsgesetzes","schäden","hauptentschädigung","flüchtlinge","remscheid","visagebühren","innerdeutschen","berlin","grenzkommission","grenze","kalender","bundesregierung","helsinki","böhm","berliner","bundesregierung","deutschland","ostberlin","amnesty","regierenden","innerdeutschen","ausstellung","schulze","deutschland","berlins","innerdeutsche","geschichte","einheit","china","deutschlands","beziehungen","deutsche","beziehungen","einheit","berliner","berlinförderung","innerdeutschen","deutschland","sed","berlin","freiheit","vertrag","prag","vertrag","republik","christo","kulturellen","geschichte","deutschlands","auswärtige","deutschen","marshallplan","rehabilitierung","seddiktatur","demokratie","berlin","kunst","zentren","zwangsarbeiter","freiheit","deutsche","deutschen","deutschland","baukultur","bildungspolitik","hauptstadt","deutsche","berliner","schule","medien","kulturelle","kreativwirtschaft","washingtoner","vielfalt","denkmal","stiftungsrat","kulturelle","kinos","welterbestätten","kultur","verwertungsgesellschaften","geschichte","künstler","kulturelle","deutsche","bibliotheken","deutsche","geschichte","künstlerinnen","israels","juden","gedenken","antisemitismus","gesellschaft","polen","orte","deutschen"
