"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","gesetz","fraktion","gesetz","gesetz","gesetz","gesetz","lesung","gesetz","gesetz","sozialdemokratischen","selbständigen","fraktion","selbständigen","gesetzentwurf","selbständigen","bundesregierung","selbständigen","bundesregierung","regierungserklärung","bundesregierung","legislaturperiode","legislaturperiode","legislaturperiode","bundesregierung","bundesregierung","entwicklung","gewerbesteuer","fremdenverkehr","gemeinden","gemeinden","gemeinden","umweltschutz","aufgaben","umweltschutz","aufgaben","gebiete","entwicklungshilfe","förderung","bereich","bund","bereich","entwicklungspolitik","entwicklungsländer","entwicklung","entwicklungspolitik","entwicklungsländer","entwicklungsländer","grundlagenforschung","entwicklungsländer","entwicklungsländer","zusammenarbeit","entwicklungspolitik","forschung","entwicklungspolitik","forschung","entwicklungsländern","mikroelektronik","entwicklungsländer","forschung","entwicklungsländer","welt","eureka","forschung","forschung","gentechnologie","entwicklungsländer","welt","entwicklungsländer","forschung","forschung","wälder","enquetekommission","entwicklungspolitik","rio","entwicklungsländer","rio","entwicklungspolitik","forschung","entwicklungspolitik","lateinamerika","welt","entwicklungspolitik","entwicklung","entwicklungspolitik","entwicklungspolitik","entwicklungszusammenarbeit","entwicklungsländer","afrika","entwicklungszusammenarbeit","entwicklungsländer","globalisierung","globalisierung","simbabwe","afrika","entwicklungszusammenarbeit","afrika","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","afrika","afrika","entwicklungsländern","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","kinderarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungspolitik","afrika","entwicklungszusammenarbeit","afrika","fluchtursachen","deg","afrika","afrika","afrika","afrika","afrika","entwicklungszusammenarbeit","afrika","afrika","weltweit","globalen"
"2","fraktion","möchte","lösung","möchte","fraktion","lesung","gesetz","fraktion","lösung","gesetz","gesetz","unserer","gesetz","beratungen","mittelschichten","kommission","bundesregierung","hause","gutachten","unserer","heute","freien","bundesregierung","aufgabe","probleme","aufgaben","gemeinden","gemeinden","reform","zukunft","entwicklung","umwelt","gemeinden","gemeinden","umweltschutz","entwicklung","unserer","länder","forschungspolitik","probleme","massnahmen","entwicklungsländer","bereich","bereich","entwicklungsländer","entwicklungspolitik","entwicklungsländern","förderung","entwicklung","entwicklungspolitik","entwicklungspolitik","zusammenarbeit","humanisierung","entwicklungshilfe","entwicklung","entwicklungspolitik","entwicklungspolitik","zusammenarbeit","entwicklungspolitik","welt","entwicklungsländer","welt","entwicklungsländer","grossforschungseinrichtungen","entwicklungsländer","entwicklung","entwicklungsländer","zusammenarbeit","gentechnologie","gentechnik","tropischen","gentechnik","entwicklungsländer","entwicklungsländer","forschung","forschung","forschung","entwicklungspolitik","entwicklungsländer","welt","entwicklung","afrika","klonen","entwicklungszusammenarbeit","entwicklung","entwicklungspolitik","entwicklungspolitik","kuba","afrika","entwicklungsländern","entwicklungspolitik","afrika","entwicklungspolitik","armut","entwicklungspolitik","afrikanischen","entwicklungspolitik","lateinamerika","armut","entwicklungspolitik","aids","afrikanischen","entwicklungszusammenarbeit","entwicklungszusammenarbeit","budgethilfe","entwicklungsländern","haiti","niebel","entwicklungszusammenarbeit","entwicklungspolitik","zusammenarbeit","bmz","entwicklungszusammenarbeit","entwicklungspolitik","mädchen","entwicklung","entwicklungszusammenarbeit","entwicklung","entwicklungszusammenarbeit","entwicklung","entwicklungszusammenarbeit","entwicklungszusammenarbeit","menschenrechte","indien","entwicklungszusammenarbeit","globalen","menschenrechte","entwicklungszusammenarbeit"
"3","möchte","bundesregierung","fraktion","fraktion","ersten","verabschiedung","unserer","sozialdemokratische","möchte","probleme","fraktion","lesung","vorschläge","fraktion","unserer","sozialdemokratischen","mittelstand","fraktion","kommission","kommission","grundsätze","demokraten","aufgabe","vorschläge","entwicklung","vorschläge","steuerverbund","fremdenverkehrs","ländern","entwicklung","verbesserung","umweltschutzes","ländern","umweltschutzes","ländern","schwerpunkten","aufgabe","bund","entwicklung","ländern","entwicklung","entwicklungsländern","förderung","bundesregierung","entwicklungsländern","entwicklungsländern","zusammenarbeit","entwicklung","förderung","zusammenarbeit","müssen","entwicklungsländer","zusammenarbeit","entwicklungsländer","zusammenarbeit","entwicklungsländer","fremdenverkehr","entwicklungsländern","mikroelektronik","dritten","dritten","zusammenarbeit","zusammenarbeit","entwicklungsländer","entwicklung","welt","dritten","entwicklungsländern","technikfolgenabschätzung","gentechnologie","enquetekommission","forschung","entwicklungsländern","welt","entwicklungsländern","entwicklungsländern","afrika","gatt","entwicklung","entwicklungspolitik","entwicklungspolitik","entwicklungsländern","rio","entwicklung","entwicklungszusammenarbeit","entwicklung","internationalen","entwicklung","entwicklungsländer","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklung","entwicklungszusammenarbeit","entwicklungsländern","kolumbien","simbabwe","armut","entwicklung","entwicklungspolitik","entwicklungsländer","entwicklungspolitik","entwicklungszusammenarbeit","entwicklungsländern","lateinamerika","entwicklungsländern","entwicklungsländer","zusammenarbeit","entwicklungsländern","entwicklungsländern","niebel","niebel","entwicklungsländern","entwicklungsländern","entwicklungszusammenarbeit","afrika","entwicklungszusammenarbeit","entwicklungspolitik","palmöl","entwicklungspolitik","menschenrechte","entwicklungspolitik","menschenrechte","entwicklungszusammenarbeit","menschenrechte","globalen","entwicklungszusammenarbeit","lieferkettengesetz","hunger"
"4","glaube","unserer","lesung","bundesregierung","lösung","fraktion","fraktion","verabschiedung","unserer","unserer","hause","bemühungen","unserer","cducsufraktion","gesetz","regierungserklärung","handwerk","unserer","sachverständigenkommission","begrüssen","gutachten","begrüssen","probleme","demokraten","aufgabe","probleme","aufgaben","finanzreform","aufgaben","aufgaben","ländern","gemeinden","entwicklung","umwelt","aufgabe","unserer","entwicklungsländer","bereich","zusammenarbeit","bereich","ländern","unserer","entwicklung","entwicklungsländer","förderung","entwicklungshilfe","rohstoffe","entwicklungsländern","bundesregierung","humanisierung","forschung","welt","programm","entwicklungsländern","welt","welt","entwicklungshilfe","dritten","technologien","entwicklungspolitik","entwicklungsländern","forschung","entwicklungspolitik","zusammenarbeit","enquetekommission","entwicklungsländern","entwicklungsländern","forschung","wissenschaft","riesenhuber","forschung","technikfolgenabschätzung","welt","entwicklungsländern","welt","entwicklungspolitik","asien","entwicklungsländern","internationalen","entwicklung","expo","entwicklung","internationalen","zusammenarbeit","nachhaltigkeit","zusammenarbeit","entwicklungsländern","entwicklungszusammenarbeit","iwf","armut","entwicklungsländer","internationalen","afrika","entwicklungszusammenarbeit","entwicklungsländern","entwicklungsländern","indien","afrika","entschuldung","wto","zusammenarbeit","entwicklungsländern","malaria","afrika","entwicklung","kenia","entwicklungspolitik","zusammenarbeit","zusammenarbeit","entwicklungsländern","wasser","niebel","zusammenarbeit","afrikanischen","entwicklungspolitik","armut","entwicklung","weltweit","fluchtursachen","entwicklungspolitik","müller","müller","welt","afrika","who","menschenrechte","afrika","entwicklungspolitik"
"5","heute","glaube","auffassung","auffassung","möchte","bundestagsfraktion","heute","lesung","fraktion","fraktion","behandlung","gesetzentwurf","unselbständigen","vorlage","erklärung","hause","regierungserklärung","mittelstand","probleme","vorlage","verabschieden","bundesregierung","kommission","probleme","unserer","bundesregierung","föderalismus","entwicklung","bund","begrüssen","neue","aufgaben","bedeutung","industrie","umweltschutzes","unsere","entwicklungspolitik","ländern","forschung","entwicklung","förderung","entwicklung","forschung","verbesserung","entwicklung","zusammenarbeit","förderung","bundesregierung","entwicklungsländern","entwicklungshilfe","entwicklungsländer","entwicklungsländern","arbeitslebens","zusammenarbeit","bereich","global","bereich","welt","grossforschungseinrichtungen","währungsfonds","forschung","dritten","welt","welt","zusammenarbeit","dritten","zusammenarbeit","welt","technologie","technologie","internationalen","gentechnologie","entwicklungshilfe","enquetekommission","entwicklungspolitik","welt","entwicklungszusammenarbeit","welt","welt","internationalen","entwicklungszusammenarbeit","entwicklungszusammenarbeit","welt","entwicklungsländern","enquetekommission","schuldenerlass","zusammenarbeit","zusammenarbeit","entwicklungspolitik","zusammenarbeit","internationalen","johannesburg","zusammenarbeit","entwicklungspolitik","zusammenarbeit","entwicklung","armutsbekämpfung","entwicklungsländern","zusammenarbeit","armut","afrika","entwicklungsländer","entwicklungspolitik","entwicklung","entwicklungspolitik","entwicklung","niebel","entwicklung","indien","bmz","kinderarbeit","entwicklungspolitik","armut","entwicklung","entwicklung","nachhaltige","afrika","kekeritz","entwicklung","zusammenarbeit","globalen","welt","globalen","müller","globale","lieferkettengesetz","globalen","welt"
"6","lesung","gesetz","möchte","lesung","sozialdemokratische","unserer","schon","bedauern","hause","lösung","lösung","hause","hause","unserer","fraktion","vorlage","zusammenhang","gesetzentwurf","unserer","probleme","probleme","unserer","reform","legislaturperiode","reform","begrüssen","finanzreform","ländern","legislaturperiode","massnahmen","wirtschaftlichen","massnahmen","umwelt","bund","abfallbeseitigung","unseren","regionalen","umweltschutz","bedeutung","länder","verbesserung","bundesregierung","bundesregierung","probleme","bundesregierung","dritten","entwicklung","forschung","zusammenarbeit","entwicklungsländern","entwicklungshilfe","länder","forschungs","welt","entwicklungsländern","dritten","urlaub","internationalen","technologie","entwicklungsländern","entwicklung","projekte","entwicklungsländern","entwicklung","forschung","forschung","internationalen","weltbank","riesenhuber","zusammenarbeit","welt","technologie","forschung","industrieländer","entwicklung","entwicklung","entwicklung","entwicklungsländer","entwicklungsländern","zusammenarbeit","internationalen","zusammenarbeit","nachhaltigen","wirtschaftliche","zusammenarbeit","nachhaltigkeit","entwicklungszusammenarbeit","entwicklungsländern","zusammenarbeit","entwicklung","entwicklungsländern","entwicklungspolitik","entwicklungsländern","wirtschaftliche","entwicklung","venezuela","entwicklungsländern","welt","wälder","afrika","armut","china","entwicklungsländer","entwicklungsländer","afrika","antrag","wirtschaftliche","entwicklungspolitik","wasser","zusammenarbeit","entwicklung","armut","entwicklung","uruguay","nigeria","weltweit","globalen","entwicklungszusammenarbeit","zusammenarbeit","müller","global","entwicklungspolitik","eritrea","weltweit","entwicklungsländern","welt","welt","weltweit"
"7","regierung","auffassung","heute","müssen","personalgutachterausschuss","sozialdemokratische","bedauern","lösung","sozialdemokratische","partei","verabschiedet","regierungserklärung","ausdruck","bundesregierung","bundesregierung","unserer","sicherlich","schmücker","sachverständigen","aufgaben","bundesregierung","lesung","aufgaben","erforderlich","bericht","erforderlich","gemeindefinanzreform","länder","bedeutung","unserer","modernen","müssen","umweltschutz","aufgaben","länder","länder","strukturpolitik","unserer","ländern","aufgaben","bedeutung","zusammenarbeit","zusammenarbeit","unserer","entwicklungshilfe","entwicklung","rohstoffen","bereich","forschung","förderung","entwicklungsländern","entwicklung","entwicklung","dritten","förderung","handwerk","anfrage","entwicklung","förderung","internationalen","zusammenarbeit","entwicklungsländer","dritten","bereich","welt","zusammenarbeit","weltbank","dritten","gentechnik","entwicklungspolitik","regenwälder","welt","entwicklungszusammenarbeit","entwicklung","entwicklungszusammenarbeit","entwicklungsländer","zusammenarbeit","entwicklung","entwicklungszusammenarbeit","entwicklungsländern","zusammenarbeit","armut","internationale","welt","internationalen","internationalen","entwicklung","entwicklungspolitik","bmz","internationalen","welt","armut","globalisierung","zusammenarbeit","entwicklungsländer","aids","afrika","nachhaltige","entwicklungsländern","entwicklungsländern","entwicklungsländern","entwicklungspolitik","tuberkulose","ländern","entwicklungsländer","lateinamerika","entwicklungsländern","afrika","kongo","entwicklung","entwicklungsländern","entwicklung","china","hunger","weltweit","welt","staaten","welt","müller","aktionsplan","bmz","staaten","äthiopien","welt","menschenrechte","müller","entwicklungszusammenarbeit","afrika"
"8","bundesregierung","meinung","ausdruck","hause","auffassung","lösung","möchte","unserer","wasserhaushaltsgesetz","verabschiedung","unserer","verabschiedung","parlament","vorschläge","lösung","hohen","massnahmen","selbständigen","aufgaben","massnahmen","entwicklung","notwendigkeit","massnahmen","aufgaben","geboten","unserer","ländern","aufgaben","bundesregierung","förderung","bereich","länder","aufgabe","programm","gemeinden","bundesregierung","entwicklung","entwicklung","bund","förderung","probleme","massnahmen","massnahmen","förderung","länder","förderung","bundesregierung","internationalen","entwicklungspolitik","entwicklung","krebs","dritten","bereich","entwicklung","müssen","zusammenarbeit","zusammenarbeit","bereich","entwicklungshilfe","zusammenarbeit","entwicklungspolitik","entwicklung","entwicklung","entwicklungsländern","entwicklungsländern","entwicklungshilfe","entwicklungspolitik","entwicklung","forschungs","technikfolgenabschätzung","tropenwälder","entwicklungsländer","armut","norden","dritten","süden","technologie","afrika","zusammenarbeit","weltbank","entwicklungsländern","welt","new","bmz","welt","entwicklungsländer","welt","nachhaltigkeit","kuba","globalisierung","tobinsteuer","welt","bmz","entwicklungsländer","armut","namibia","china","zusammenarbeit","armutsbekämpfung","weltbank","odaquote","simbabwe","budgethilfe","menschen","krankheiten","afrika","entwicklung","wirtschaftliche","entwicklung","kinderarbeit","bmz","zusammenarbeit","hunger","abkommen","hunger","liberia","weltweit","menschenrechte","menschenrechte","welt","minister","globale","nachhaltigkeit","china","lieferkettengesetz","weltweit","globale","globale"
"9","auffassung","hause","unserer","unserer","regierung","bundesregierung","auffassung","beratungen","reform","beratungen","gesetzentwurf","sozialdemokratischen","hohen","reform","vorschläge","aufgabe","mittelständischen","parlaments","zusammenhang","angleichung","vorschläge","andererseits","lösung","begrüssen","vorschläge","massnahmen","gemeinschaftsaufgaben","hebesätze","entwicklung","modernen","herren","ländern","massnahmen","bereich","bereich","zusammenhang","massnahmen","gemeinschaftsaufgabe","länder","zukunft","bund","bereich","entwicklungsländern","zusammenarbeit","bereich","bereich","internationalen","zusammenarbeit","krebsbekämpfung","bundesregierung","förderung","humanisierung","antrag","grossforschungseinrichtungen","picotrac","armut","technologien","unctad","entwicklungsländer","länder","technologien","länder","eureka","technologie","wirtschaftliche","entwicklungspolitik","industrieländer","internationalen","welt","gentechnikgesetz","forschungs","risiken","zusammenarbeit","entwicklungspolitik","afrika","zusammenarbeit","entwicklungsländern","wto","forschung","entwicklungsländer","entwicklungsländer","wirtschaftliche","nachhaltigkeit","internationalen","nachhaltige","ministerin","globalisierung","welt","internationalen","kinderarbeit","wto","entwicklungszusammenarbeit","entwicklung","armutsbekämpfung","ministerin","darfur","zusammenarbeit","internationale","simbabwe","entwicklung","hivaids","entwicklung","china","china","zusammenarbeit","hilfe","mittel","armut","armut","wirtschaftliche","wirtschaftliche","afrika","niebel","müller","haram","entwicklungspolitik","welt","nachhaltige","afrikanischen","wirtschaftliche","globale","bmz","beschaffung","kinderarbeit","welt","globale","indigene","bmz"
"10","herr","darauf","debatte","herren","lesung","möchte","ersten","hause","heute","aufgabe","gesetze","parlament","fraktionen","regierungserklärung","gesetzentwurf","zusammenhang","unserer","regierungserklärung","vorlage","legislaturperiode","hoffen","vorschläge","regierungserklärung","erfordernissen","finanziellen","lösungen","reform","verbesserung","raumordnung","verbesserung","bedeutung","aufgabe","verbesserung","gebiet","entwicklung","möglich","bereich","umwelt","unserer","verbesserung","aufgaben","förderung","verbesserung","entwicklungspolitik","unserer","unserer","unserer","unserer","müssen","internationalen","entwicklung","ärmsten","forschungsförderung","forschung","stärker","entwicklung","stärker","belgrad","bereich","iwf","internationalen","technologien","technologie","internationalen","dritten","internationalen","länder","technologie","risiken","projekte","erde","bericht","raumfahrt","armut","wirtschaftliche","internationalen","welt","zusammenarbeit","kopenhagen","wirtschaftliche","kinderarbeit","entwicklungsländer","york","entwicklungsländer","weltweit","ärmsten","bmz","internationalen","entwicklung","entwicklungspolitik","armut","konferenz","mugabe","simbabwe","cancun","entwicklungszusammenarbeit","aids","armutsbekämpfung","afrika","beirat","millionen","ländern","afrikanischen","krankheiten","armut","kolumbien","entwicklungsländer","bmz","entwicklungspolitik","armut","weltweit","internationalen","welt","welt","ebola","afrikanischen","armut","zusammenarbeit","staaten","nachhaltigkeit","entwicklung","äthiopien","weltweit","globalen","weltweit","entwicklungsländern","staaten","zusammenarbeit"
