"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","deutschen","deutschen","deutschen","deutschen","staat","staat","staat","staat","volkes","freiheit","freiheit","freiheit","volk","volk","freiheit","volkes","volkes","freiheit","volkes","freiheit","volk","volk","regierungserklärung","volk","regierungserklärung","politischen","demokratie","politischen","volk","menschen","bundeskanzler","demokratie","gesellschaft","freiheit","demokratie","demokratie","staat","freiheit","verfassung","staat","freiheit","freiheit","freiheit","freiheit","freiheit","freiheit","bundeskanzler","freiheit","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","parteien","demokratie","demokratie","demokratie","berlin","menschen","asylbewerber","menschen","asylbewerber","verfassung","verfassung","menschen","menschen","religionsunterricht","ausländer","ausländer","staatsangehörigkeit","ausländer","staatsangehörigkeit","zuwanderung","zuwanderung","rechtsextremismus","islam","zuwanderung","antisemitismus","zuwanderung","zuwanderung","schily","bundesinnenminister","schily","brandenburger","staatsangehörigkeit","sicherheit","sicherheit","integration","integration","integration","integration","polizei","integration","integration","türkei","rechtsextremismus","rechtsextremismus","rechtsextremismus","integration","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","afd","migration","menschen","flüchtlinge","menschen","deutschland","religionsfreiheit","menschen"
"2","volk","volk","staat","staat","demokratie","politischen","volkes","politischen","volk","volk","volkes","deutschen","politischen","volkes","volk","volk","freiheit","volk","volk","volkes","volkes","freiheit","gesellschaft","politischen","parteien","unserer","volk","politische","volkes","demokratie","freiheit","menschen","menschen","gesellschaft","staat","partei","freiheit","staat","freiheit","demokratie","demokratischen","partei","brandt","staat","staat","bundeskanzler","demokratie","bundeskanzler","freiheit","partei","partei","partei","demonstration","politik","politik","partei","neuwahlen","demokratie","menschen","parteien","volk","demokratie","demokratie","geschichte","demokratie","politischen","demokratie","geschichte","menschen","menschen","menschen","hauptstadt","demokratie","menschen","gewalt","menschen","menschen","ausländer","ausländer","demokratie","menschen","menschen","menschen","ausländer","demokratie","integration","schily","asyl","npd","deutschland","schily","möllemann","schily","zuwanderungsgesetz","bundesinnenminister","zuwanderung","integration","strobl","schily","rechtsextremismus","rechtsextremismus","rassismus","schäuble","schäuble","schäuble","waffen","griechenland","religionsfreiheit","flüchtlinge","verfassungsschutz","türkei","rassismus","npd","staatsbürgerschaft","roma","flüchtlingen","menschen","integration","integration","afghanistan","menschen","flüchtlinge","flüchtlinge","menschen","griechenland","menschen","deutschland","geflüchteten"
"3","deutsche","staat","freiheit","welt","volkes","volkes","volk","volk","freiheit","volkes","staat","politischen","freiheit","freiheit","deutschen","politischen","volk","volkes","unseres","staat","politische","menschen","volk","unserer","volk","politische","nation","demokratie","demokratie","politische","volk","nation","freiheit","demokratie","freiheit","wähler","unserer","demokratie","demokratie","freiheit","staat","demokratie","sozialismus","demokratie","demokratie","demokratie","partei","staat","demokratie","politischen","freiheit","jungen","brandt","freiheit","jungen","brandt","politik","politik","politik","demokratie","vogel","brandt","geschichte","demokratie","politischen","demokratie","politischen","demokratie","volk","geschichte","volk","demokratie","verfassung","asylrecht","asylbewerber","asylrecht","ausländer","menschen","staatsangehörigkeit","leben","gewalt","kanther","gewalt","staatsbürgerschaft","menschen","staatsbürgerschaft","ausländer","card","gewalt","gewalt","bundesinnenminister","zuwanderung","bosbach","ausländer","sicherheit","schily","bundesinnenminister","schily","integration","untersuchungsausschuss","terrorismus","schäuble","sicherheit","migranten","hdj","integration","türkei","gewalt","christen","integration","integration","npd","antisemitismus","staatsangehörigkeit","deutschland","menschen","integration","menschen","menschen","menschen","religionsfreiheit","migranten","integration","migranten","integration","migranten","menschen","registrierung"
"4","volkes","volkes","volk","volk","volk","deutschen","freiheit","unserer","politischen","politischen","politischen","leben","welt","politischen","volkes","freiheit","kräfte","staat","freiheit","unserer","politischen","staat","unserer","unsere","politischen","volk","staat","bildung","nation","volkes","volkes","freiheit","demokratie","reformen","gesellschaft","politischen","gesellschaft","verfassung","staat","demokratischen","demokratie","kommunisten","partei","partei","bundeskanzler","staat","freiheit","demokratie","partei","geschichte","kohl","politik","freiheit","partei","menschen","politik","partei","freiheit","brandt","partei","demokratie","unserer","menschen","menschen","demokratischen","politische","politische","politischen","geschichte","volk","verfassung","entscheidung","asylbewerber","demokratie","deutschland","ausländer","deutschland","grundgesetz","demokratie","verfassung","ausländer","flüchtlinge","rechtsstaat","kanther","aussiedler","schily","bundesinnenminister","green","zuwanderung","rechtsextremismus","marschewski","schily","integration","integration","innenminister","integration","npd","tor","bundesinnenminister","kontrollgremium","antiterrordatei","rechtsextremismus","bundespolizei","integrationspolitik","migranten","polizisten","syrien","christen","religionsfreiheit","staatsangehörigkeit","nazis","flüchtlinge","deutschland","verfassungsschutz","flüchtlingen","deutschland","flüchtlingen","flüchtlingen","land","zuwanderung","land","bamf","migration","migration","deutschland","islam","religion","deutschland"
"5","menschen","menschen","politischen","menschen","menschen","menschen","politischen","volkes","welt","welt","volk","volk","volkes","menschen","staat","welt","aufgabe","aufgabe","unserer","volk","freiheit","unserer","volkes","volkes","koalition","regierungserklärung","politischen","parteien","gesellschaft","bundeskanzler","politischen","volk","unserer","staat","menschen","unserer","regierungserklärung","unserer","grundgesetz","partei","menschen","staat","staat","demokratischen","partei","brandt","kommunisten","unserer","geschichte","freiheit","politik","staat","politik","menschen","generation","schmidt","kohl","partei","politischen","brandt","politik","demokratischen","unserer","demokratischen","geschichte","staat","gesellschaft","menschen","freiheit","parteien","geschichte","verfassung","ausländer","berlin","demokratie","deutschland","demokratie","ausländern","schmalzjacobsen","ausländer","brandenburg","innenminister","innenminister","menschen","kanther","ausländer","innenminister","menschen","marschewski","marschewski","sicherheit","demokratie","sicherheit","deutschland","bundesgrenzschutz","sicherheit","sicherheit","bundesinnenminister","innenminister","schäuble","sicherheitsbehörden","winkler","waffen","terrorismus","zuwanderung","datenschutz","flüchtlinge","polizei","zuwanderung","migranten","deutschland","antisemitismus","bahai","deutschland","menschen","asylbewerber","land","herkunftsstaaten","flüchtlingen","einwanderungsgesetz","familiennachzug","pakt","staatsangehörigkeit","deutschland","grenze","christen","muslime","ukraine"
"6","demokratie","welt","menschen","volkes","deutschen","volk","menschen","verantwortung","staat","deutschen","unserer","volkes","deutschen","staat","menschen","politische","opposition","menschen","aufgabe","politische","menschen","not","unseres","unseres","unseres","unseres","generation","unserer","politischen","politischen","politische","bundeskanzler","staat","unserer","unserer","bundeskanzler","ordnung","gesellschaft","demokratischen","politischen","politischen","sozialismus","demokratie","bundeskanzler","demokratischen","kohl","staat","geschichte","brandt","verfassungsschutzbericht","unseres","generation","partei","kohl","politiker","kohl","unseres","menschen","demokratie","politischen","unserer","partei","freiheit","volk","verfassung","gewalt","menschen","partei","politischen","demokratischen","bundeskanzler","bonn","geschichte","deutschland","ausländer","asyl","gewalt","grundgesetzes","kanther","land","kirchen","sonntagwolgast","integration","rassismus","land","doppelte","integration","deutschland","menschen","integration","integration","sicherheit","zuwanderungsgesetz","staatsangehörigkeit","digitalfunk","flughafen","leitkultur","stadler","stadler","innenminister","npd","sicherheit","bundesinnenminister","zuwanderung","innenminister","sicherheitsbehörden","staatsangehörigkeit","deutschland","deutschland","extremismus","zuwanderung","residenzpflicht","flüchtlinge","optionspflicht","asylbewerber","eritrea","deutschland","land","staatsbürgerschaft","deutschland","flüchtlinge","menschen","deutschland","staatsangehörigkeit","migranten","flüchtlinge","migration","polen"
"7","politischen","unseres","volkes","deutsche","unserer","zenker","unserer","leben","menschen","unserer","unseres","welt","menschen","unserer","welt","staat","politischen","wirklichkeit","staat","unseres","staat","leben","staat","freiheit","bundeskanzler","menschen","unserer","staat","staat","staat","demokratie","staat","politischen","menschen","politischen","regierung","demokratischen","demokratischen","gesellschaft","gesellschaft","lande","demokratischen","menschen","bürger","gewalt","partei","parteien","bürger","unserer","demokratie","staat","freiheit","kohl","demokratie","freiheit","demokratie","brandt","unserer","unserer","demokratischen","menschen","vogel","toten","vogel","gewalt","politik","politik","bundeskanzler","ausländer","freiheit","deutschen","grundgesetz","ausländerfeindlichkeit","asyl","asyl","gewalt","flüchtlinge","gewalt","flüchtlinge","gesellschaft","leben","land","kanther","flüchtlinge","minderheiten","menschen","flüchtlinge","ausländer","innenminister","zuwanderung","innenminister","toleranz","strobl","schily","kaplan","innenminister","zuwanderungsgesetz","sicherheitsbehörden","türkische","integration","datei","npd","innenminister","datenschutz","staatsangehörigkeit","gewalt","deutschland","bundespolizei","polizisten","deutschland","polizei","sicherheitsbehörden","wolff","rechtsextremismus","staatsangehörigkeit","beck","migration","einstufung","deutschland","familiennachzug","migration","afd","land","afd","kopftuch","moria","christen","geflüchtete"
"8","deutschland","unserer","demokratie","unserer","politischen","unserer","deutschen","politische","unserer","menschen","menschen","partei","unserer","politische","kräfte","deutschen","menschen","demokratischen","demokratischen","politischen","unseres","volkes","freiheit","zugleich","unserer","unsere","parteien","menschen","bundeskanzler","volk","menschen","demokratischen","unseres","demokratischen","demokratischen","unseres","politischen","politischen","parteien","brandt","partei","dregger","politischen","gesellschaft","unsere","staates","brandt","unseres","demokratischen","demokratischen","gesellschaft","demokratie","frieden","politischen","demokratie","koalition","helmut","unsere","helmut","unserer","unseres","politik","politischen","politischen","menschen","menschen","volk","gesellschaft","politische","bundeskanzler","freiheit","volk","asylrecht","grundgesetzes","asylrecht","demokratie","verfassungskommission","art","deutschland","freiheit","integration","gesellschaft","gesellschaft","integration","spätaussiedler","staatsangehörigkeitsrecht","menschen","rüttgers","demokratie","flüchtlinge","ausländer","gesellschaft","innenminister","bundesinnenminister","zuwanderungsgesetz","luftsicherheitsgesetz","deutschland","wiefelspütz","personen","bundesinnenminister","integration","innenminister","türkei","winkler","npd","migranten","abschiebung","polizisten","flüchtlingen","gewalt","frankfurt","deutschland","rechtsextremismus","menschen","beck","religionsfreiheit","asyl","sicheren","gesellschaft","land","bamf","religionsfreiheit","asyl","seehofer","flüchtlinge","muslime","bericht","flüchtlinge"
"9","welt","demokratie","welt","politischen","welt","freiheit","welt","menschen","leben","partei","politik","unserer","vergangenheit","leben","eigenen","menschen","unsere","demokratie","politische","staates","parteien","unseres","politischen","welt","demokratie","bundeskanzler","menschen","volk","unsere","nation","unserer","parteien","demokratischen","politischen","partei","herren","volk","partei","ordnung","verfassung","ordnung","sozialdemokraten","sozialdemokraten","kohl","unseres","demokratischen","demokratischen","parteien","staat","menschen","demokratie","kohl","unserer","brandt","partei","neuwahlen","menschen","parteien","parteien","unsere","brandt","kohl","frieden","kohl","unserer","geschichte","demokratischen","freiheit","bundeskanzler","demokratische","demokratischen","menschen","deutschland","verfassung","flüchtlinge","politisch","grundgesetz","demokratie","land","staat","staatsangehörigkeit","schmalzjacobsen","polizisten","innenminister","rechte","gesellschaft","asylrecht","marschewski","extremismus","menschen","bosbach","deutschland","bundesinnenminister","grindel","integration","bosbach","koschyk","neonazis","islamismus","nachrichtendienste","innenminister","flüchtlinge","sicherheitsbehörden","grindel","terrorismus","sicherheit","asylverfahren","staatsangehörigkeit","integration","flüchtlinge","extremismus","asylbewerber","aufenthaltsgesetz","asylbewerber","sinti","asyl","asylverfahren","deutschland","leben","migration","integration","deutschland","asylbewerber","folter","muslime","migration","afd","migration"
"10","staat","politischen","staates","unseres","verantwortung","welt","leben","unsere","deutschen","staat","partei","demokratie","staat","deutschen","unserer","kräfte","unseres","leben","leben","menschen","unserer","damen","politische","bundeskanzler","wahlrecht","gesellschaft","bundeskanzler","volkes","freiheit","unserer","unseres","unserer","bundeskanzler","herren","lande","freitag","demokratie","unserem","unserer","unserer","gesellschaft","parteien","demokratischen","politischen","politischen","unseres","verfassung","menschen","politischen","kommunisten","generation","menschen","spd","frieden","wer","unseres","wähler","staat","freiheit","politik","freiheit","politischen","demokratischen","gewalt","staat","demokratischen","geschichte","politische","parteien","partei","juden","geschichte","vogel","politische","verfassung","staatsangehörigkeit","grundgesetzes","volk","leben","flüchtlinge","land","leben","staatsangehörigkeit","deutschland","einwanderungsland","zuwanderung","rüttgers","schily","bundesinnenminister","ausländischer","deutschland","uhl","deutschland","asyl","bundeskriminalamt","zuwanderungsgesetz","innenminister","terrorismus","datei","schily","islam","bundesinnenminister","pkk","npd","datenschutz","kontrolle","sicherheit","waffen","zwangsheirat","türkei","verfassungsschutz","juden","staatsangehörigkeit","flüchtlingen","optionspflicht","integration","kommen","marokko","migration","abschiebungen","migranten","land","einwanderung","personen","migration","religionsfreiheit","land","integration"
