"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","volk","politik","john","presse","stahlhelm","bundesinnenminister","zeitung","mineralölwirtschaft","fernsehen","nachrichtenhändler","rundfunk","anstalten","rundfunk","fernsehen","rundfunk","film","berlin","grenzgänger","fernsehen","berlin","anstalten","berlin","sender","gesamtdeutsche","presse","presse","diehl","bundeszentrale","presse","ahlers","ehmke","ehmke","entwicklungspolitik","ahlers","presse","ehmke","journalisten","eppler","steiner","guillaume","chef","entwicklungshilfe","bölling","öffentlichkeitsarbeit","bundesrechnungshof","öffentlichkeitsarbeit","film","film","luxemburg","medien","klein","medien","kontrollkommission","bundespost","film","springer","schallschutz","presse","südafrika","südafrika","südafrika","südafrika","südafrika","südafrika","sport","südafrika","südafrika","namibia","namibia","südafrika","untersuchungsausschuss","rüstungsexporte","bnd","schiff","koko","dienste","untersuchungsausschuss","koko","dzt","untersuchungsausschuss","vulkan","sket","tourismus","banken","dutyfreehandel","pallas","tourismus","expo","tourismus","tourismus","tourismus","trinkgeldbesteuerung","tourismus","wale","china","häfen","china","china","seeschifffahrt","ostsee","tourismus","tourismus","arten","tourismus","tourismus","meere","wald","holz","maritimen","tourismus","tourismus","maritimen","tourismus","tourismus","folter","syndikusanwälte","alpen","jagd","waffen","de","wolf","wolf","wolf","wolf","thw","kirchen","kirchen","fischerei"
"2","deutschen","deutschen","verfassungsschutz","innenminister","goslar","korrespondenz","köln","schmidt","rundfunkanstalten","wrasmann","programm","kühn","kühn","rundfunk","grundgesetzes","filmwirtschaft","berliner","hypothekengewinnabgabe","rundfunk","film","berlin","senator","lemmer","südtirol","zeitungen","zeitungen","bundespressechef","diehl","journalisten","ehmke","schriftsteller","ahlers","entwicklungshilfe","presse","ahlers","aufgaben","presse","chef","zeugen","ehmke","bölling","bahr","schüler","bölling","bayerischen","urteil","urteil","öffentlichkeitsarbeit","hauff","klein","huonker","enquetekommission","medienbericht","radio","filmförderungsgesetz","monopolkommission","brief","rundfunkanstalten","afrika","afrika","afrika","sport","apartheid","sanktionen","sportler","strauss","apartheid","südafrika","südafrika","gansel","südafrika","irak","irak","waffen","untersuchungsausschuss","pkk","rüstungsexporte","untersuchungsausschuss","tourismus","untersuchungsausschusses","bremer","tourismus","verbund","unternehmen","dutyfree","steenblock","tourismuswirtschaft","werften","expo","expo","werften","sperrzeiten","börnsen","sars","tourismus","tourismus","küstenwache","aufhebung","goldmann","kleinwale","garagen","ostsee","einmalzahlung","natur","ostsee","beirat","tourismus","nachhaltigkeit","maritime","wald","jugendtourismus","reeder","hochwasserschutz","nachhaltigkeit","elefanten","tourismus","wolf","schäden","zoll","dat","wölfe","weddellmeer","feuerwehren","band","werften","staatsleistungen","staatsleistungen","bevölkerungsschutz"
"3","politik","volkes","bundesinnenminister","bundesinnenminister","schmeisser","bulletin","innenminister","wrasmann","anstalten","werbung","fernsehen","fernsehen","heck","rundfunkanstalten","rheinmaindonauag","fernsehen","filmwirtschaft","herford","anstalten","presse","fernsehen","sport","berlin","zeitungen","zeitschriften","schulzevorberg","zeitungen","presse","berichterstattung","presse","berlin","informationsamtes","kiep","chef","ehmke","besondere","chef","entwicklungshilfe","wienand","chef","bundeskanzleramtes","bölling","bundesbank","urteil","anzeigen","rechnungsprüfungsausschuss","verfassungsgericht","bölling","klein","schwarzschilling","planungsabteilung","fernsehen","weirich","kontrollkommission","juni","burda","ausverkauf","weirich","südlichen","südlichen","äthiopien","apartheid","südafrikanischen","namibia","verfassungsschutz","apartheid","schwarzen","sport","sport","untersuchungsausschuss","firmen","exporte","stavenhagen","kontrolle","kommerzielle","kontrollkommission","untersuchungsausschusses","schalckgolodkowski","untersuchungsausschuss","einsetzung","bvs","bnd","irber","tourismus","psychogruppen","werften","hochwasser","schleswigholstein","brähmig","börnsen","tourismuswirtschaft","biergärten","ostsee","walfang","werften","wassertourismus","tourismus","maritimen","aussengastronomie","china","nutzer","meere","fischerei","meere","leitlinien","delfine","wälder","beirat","elbe","elbe","jugendreisen","maritime","meeresforschung","beirat","wilderei","meere","maritime","wahlkreis","wolf","un","de","wölfe","maritime","wölfe","helferinnen","weddellmeer","maritimen","ahrtal"
"4","volkes","volk","innenminister","public","kesselring","sds","presse","hartmann","programm","schroth","lebensjahres","werbung","fernmeldewesen","bundesinnenminister","bund","warentests","westdeutschen","lothringen","zeitungen","berliner","rundfunkanstalten","hase","berliner","gesamtdeutschen","film","güntherkommission","presse","wetzel","ausschusssitzungen","bundespressechef","aufgaben","presse","eppler","informationsamtes","chef","pressereferat","wechmar","bundeskanzleramtes","ehmke","bundeskanzleramt","schüler","öffentlichkeitsarbeit","abgeordneter","schäfer","bölling","bundesverfassungsgericht","bundesverfassungsgericht","urteil","radio","fernsehen","schwarzschilling","öffentlichrechtlichen","enquetekommission","satelliten","zumindest","presse","fusion","medien","namibia","südafrikanischen","sport","afrika","afrika","apartheid","südafrika","sanktionen","südafrikanische","schäuble","brasilien","brasilien","gansel","illegalen","waffen","bericht","schalck","verfassungsschutz","export","mfs","plutonium","tourismus","werften","bvs","feldmann","bury","unternehmen","oceanic","tourismusbranche","tourismus","burgbacher","burgbacher","brähmig","hinsken","küste","iwc","ostsee","tourismuswirtschaft","aufhebung","häfen","kapitän","tourismus","hacker","arten","versorgungsempfänger","wald","barrierefreiheit","tourismus","wattenmeer","nachhaltige","konferenz","waldstrategie","reeder","schiffe","hochwasser","nachhaltigkeitsstrategie","tourismus","meer","reeder","wahlkreise","wölfe","maritimen","weidetierhalter","antarktis","maritimen","wölfen","helfer","ablösung","hochwasser","klimaanpassung"
"5","adenauer","demokratischen","presse","zeitung","innenminister","globke","bundesinnenminister","trakehner","rundfunk","august","umgang","programm","fernsehen","fernsehens","sender","filmindustrie","bundesgebiet","senats","film","fernsehen","rundfunk","presse","rundfunk","berlin","fernsehen","kommission","berlin","zeitungen","pressekommission","pressefreiheit","bundeskanzleramtes","chef","chile","journalisten","informationsamtes","presse","ravens","wirtschaftliche","entwicklungshilfe","nollau","informationsamtes","wochenschauen","broschüre","bundesverfassungsgericht","abgeordneter","rechnungshof","veröffentlichung","filmförderung","medien","programme","sendungen","schwarzschilling","rundfunk","fernsehen","nützlichen","bundespost","gewisses","privatisierung","südafrikanischen","botha","hunger","südafrikanische","schwarzen","schwarzen","dkp","afrika","vereine","libyen","libyen","hdw","sport","möllemann","untersuchungsausschuss","illegalen","untersuchungsausschusses","untersuchungsausschuss","waffen","untersuchungsausschusses","fremdenverkehr","koordinierung","tourismus","pkk","bayerischen","transparenz","angebote","börnsen","schäden","ostsee","getränk","ostsee","branche","irber","nationalpark","daten","anlage","china","küste","waffenembargos","börnsen","schweinswale","grundstückseigentümer","maritime","schutz","vielfalt","maritimen","nutzung","antrag","vielfalt","meere","arktis","elbe","flagge","ländlichen","see","elfenbein","mikroplastik","tourismus","wasserrahmenrichtlinie","waffenrecht","elbe","un","weidetierhalter","tansania","herdenschutz","bevölkerungsschutz","kirche","ablösung","katastrophenschutz"
"6","westdeutschland","bevölkerung","schmidtwittmack","relations","polizei","verband","jugendbewegung","heizölnovelle","werbefernsehen","scharley","damals","heck","rundfunkanstalten","bund","gewerkschaften","welle","besold","fernsehen","werbung","rundfunk","presse","kattenstroth","stellvertreter","rundfunk","gesamtdeutsche","fernsehen","berliner","gesamtdeutsche","öffentlichkeit","wörner","bundeskanzleramt","besondere","ehmke","abgeordneter","herr","schulzevorberg","informationsamtes","grabert","guillaume","bölling","presse","köhler","staatssekretär","abgeordneter","staatssekretär","bundesverfassungsgerichts","filmwirtschaft","filme","satelliten","rundfunk","bundesrechnungshofes","medienpolitischen","presse","presse","baustoffe","zusammenschluss","bölling","parteien","angola","architekten","afrikanischen","schwarzen","sanktionen","südafrikanischen","südafrikanischen","südafrikanischen","südafrikanischen","bundesregierung","firmen","firmen","kiel","firmen","bundesregierung","firmen","koordinierung","geheimdienste","rüstungsexport","schalck","bnd","untersuchungsausschüsse","bremen","kontrolle","kastner","schröder","hgb","küste","burgbacher","pallas","getränke","hinsken","hinsken","burgbacher","grossschutzgebieten","moratorium","mecklenburgvorpommern","deutschland","havariekommando","maritime","lärm","hamburg","tourismuswirtschaft","vielfalt","einmalzahlungen","arten","tourismuswirtschaft","nachhaltigkeitsstrategie","vielfalt","ethikrat","nachhaltigkeit","kormoran","schiffe","seeleute","barrierefreiheit","schiff","verhütung","maritime","maritimen","thüringen","fischerei","maritime","rudel","gebiete","wölfe","wolfes","schiffe","antarktis","katastrophenschutz","zivilschutz"
"7","regierung","adenauer","kiesinger","bundespresse","angeklagten","bundesjugendplan","globke","duttweiler","werbung","bundeskanzleramt","exemplar","anstalt","bundesinnenminister","rundfunks","fremder","verbraucheraufklärung","films","film","presse","berlinhilfegesetzes","deutschlandfunk","firma","fernsehsender","drüben","rundfunk","bundespressechef","rundfunk","bundespressechef","sänger","propaganda","presse","öffentlichkeitsarbeit","entwicklungsländer","ehmke","aufgaben","bundesminister","verordnung","jugoslawien","untersuchungsausschuss","bnd","bnd","entwicklungspolitik","öffentlichkeitsarbeit","anzeigen","winzer","verfassungsgericht","dokumentation","wahlplattform","genscher","pilotprojekte","rundfunk","rösch","parlamentarischen","parlamentarischen","satelliten","verlage","schutzzone","beauftragten","untersuchungsausschuss","apartheid","schwarzen","sanktionen","banken","südafrikanische","sports","franz","gutachten","firmen","vereine","bundesregierung","bundesregierung","untersuchungsausschuss","illegalen","irak","schalckgolodkowski","antiquitäten","bachmaier","köppe","such","kommerzielle","verbund","maritimen","werften","preussag","scientology","schleswigholstein","süddeutschland","küstenschutz","hinsken","werften","tourismusbranche","uhr","schiffe","china","taiwan","börnsen","kleinwaffen","tourismus","alkoholmissbrauch","nord","tourismusbranche","natur","artenschutz","artenvielfalt","munitionsaltlasten","nachhaltigkeit","bundeswaldgesetz","parlamentarischen","polarforschung","nachhaltigkeit","maritimen","see","flächen","nachhaltige","hochwasserschutz","kulturtourismus","syndikusanwälte","jäger","see","wi","wolfes","wolfes","schiffe","abschuss","helfern","thw","ostsee","ostsee"
"8","amerikanischen","regierung","johns","demokratischen","zeitung","presse","müsst","sueskrise","kühn","information","grundgesetz","rundfunk","anstalten","programm","kollege","rundfunkanstalten","wirtschaft","rundfunk","zoglmann","selbstkontrolle","ard","bundesschatzministerium","fernsehen","italienischen","berlin","rundfunk","fernsehen","berlin","wetzel","journalisten","ahlers","information","entwicklungsländern","staatssekretär","abgeordneter","dienstes","korrespondenten","zusammenarbeit","schäuble","guillaumes","waffengeschäften","akten","broschüren","haase","staatsministerium","bölling","bundesverfassungsgerichts","bundeskanzleramt","bundesminister","neuen","medien","neuen","rauschenbach","sender","vorsitzenden","aktuelle","arbeitsplatzgarantie","skinheads","architekten","unabhängigkeit","südafrikanischen","südafrikanischen","friedlichen","verheugen","sportbericht","josef","südafrikas","vereine","bundesregierung","kiel","untersuchungsausschusses","rüstungsexporten","israel","bundesregierung","firmen","bad","firmen","bnd","kolb","mfs","mecklenburgvorpommern","werften","brunhilde","sekten","taxfreeregelung","schiff","branche","steenblock","tourismuswirtschaft","branche","seeämter","biergarten","havarie","geoinformationen","hotel","seehäfen","antrag","taiwan","sperrzeiten","meere","arten","meer","naturschutz","reisen","werften","natur","waldbesitzer","biologischen","tourismus","wälder","antrag","häfen","elbe","ländlichen","ländlichen","maritimen","nagoyaprotokoll","unwetter","schiffe","ok","weidetierhaltung","wölfen","feuerwehr","helfer","hilfswerk","bevölkerungsschutz","bund","bbk"
"9","demokratischen","zeitung","bundesamtes","öffentlichkeit","reifferscheidt","artikel","heimen","staatssekretär","freitag","brief","anstalten","rundfunkanstalten","bund","anstalten","fernsehen","filme","filmproduktion","turn","sänger","berlins","werbung","jugend","rundfunkanstalten","fernsehen","films","film","bundeszentrale","ostberlin","berlin","zeitungen","öffentlichkeitsarbeit","anzeige","aufgaben","herr","besondere","presserat","bundeskanzleramt","herr","eppler","bundesnachrichtendienst","bundeskanzleramt","wochenschau","jaeger","herr","bayerische","bundesrechnungshof","bölling","filmwirtschaft","herr","medienpolitischen","passagen","bundespost","antrag","informations","films","bundeswirtschaftsminister","geschlossene","medienpolitik","flick","honorarordnung","apartheid","kulturabkommen","gewalt","sport","verfassungsschutzes","schwarzen","regierung","jordanien","rabta","stoltenberg","lieferung","bericht","rüstungsexport","dienste","bnd","bnd","libyen","koordinierung","hotel","plutonium","untersuchungsausschuss","schiffbau","halo","gres","kaufmann","schiffbau","hilfen","carstensen","branche","tourismuswirtschaft","börnsen","brähmig","natur","deutschland","börnsen","schiffe","waffenembargos","port","promille","beifänge","schuldrechtsanpassungsgesetz","schutz","walfang","biodiversität","schiffe","wald","wattenmeeres","nachhaltigkeitsstrategie","wilhelmshaven","nutzung","reisen","bord","reisen","hochwasserschutz","nashörner","wald","alpenkonvention","wahlkreiskommission","traditionsschifffahrt","is","dat","meere","bevölkerungsschutz","rudel","ögd","meere","meere","katastrophenhilfe"
"10","heute","deutsche","bundesamt","köln","presse","fonds","debatte","sportler","zweites","fernsehens","ungewöhnlich","fernsehprogramm","grundgesetzes","anstalt","gesetzgebung","rundfunk","westdeutschland","vereine","martin","müller","blumenfeld","berliner","empfangen","mitteldeutschland","hofmann","journalisten","informationsamt","schulzevorberg","zeitungen","herr","kanzleramt","herr","herr","bundesregierung","künstler","bnd","staatssekretär","presse","presse","verfassungsschutz","bundesnachrichtendienstes","journalisten","anzeigen","verfassungsgericht","presse","rechnungshofes","fernsehen","papier","schwarzschilling","rundfunkanstalten","müller","rundfunk","untersuchungsausschusses","bundeskanzleramt","weltraumforschung","ministererlaubnis","gatt","untersuchungsausschusses","schwarzen","namibia","afrikas","kulturabkommens","südafrikas","afrika","sportlerinitiative","verheugen","sportvereine","gansel","sports","waffen","libyen","export","rüstungsexporte","firma","bundesregierung","kunst","kriegswaffen","kommerzielle","bundesnachrichtendienst","deutschdeutschen","treuhandanstalt","dienste","machenschaften","anleger","vulkan","kiel","bayern","korea","deutschlandtourismus","brähmig","mosdorf","tourismus","prestige","japan","prestige","rüstungsgütern","see","package","fahrerlaubnis","tourismuswirtschaft","garagengrundstücken","maritimen","vertragsstaatenkonferenz","nutzung","häfen","nachhaltige","nutzung","tourismus","heide","hafen","arktis","holz","schäden","nachhaltigen","moldawien","meeren","schiffe","hessen","biologischen","en","wölfen","forscher","küste","schäden","ehrenamtlichen","verfassungsauftrag","flut","flutkatastrophe"
