"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","nr","beratung","beratung","drucksache","ausschuss","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beratung","beratung","drucksache","drucksache","iv","iv","iv","iv","iv","iv","iv","drucksache","beratung","beratung","beratung","beratung","beratung","drucksache","vi","vi","vi","vi","vi","vi","vi","drucksache","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuss","drucksache","drucksache","drucksache","drucksache","ausschuss","drucksache","ausschuss","drucksache","ausschuss","ausschuss","ausschuss","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","beratung","beratung","ausschuss","ausschuss","beratung","drucksache","beratung","beratung","drucksache","drucksache","ausschuss","beratung","ausschuss","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","ausschüsse","ausschuss","antrag","beschlussempfehlung","krise","pandemie","pandemie","impfpflicht"
"2","beratung","drucksache","drucksache","ausschuss","drucksache","beratung","ausschuss","beratung","ausschuss","beratung","beratung","drucksache","drucksache","beratung","beratung","drucksache","drucksache","beratung","beratung","beratung","beratung","beratung","beratung","drucksache","berichterstatter","drucksache","berichterstatter","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beratung","rates","drucksache","beratung","beratung","beratung","rates","rates","rates","drucksache","ausschuss","ausschuss","ausschuss","ausschuss","drucksache","ausschuss","drucksache","ausschuss","drucksache","drucksache","beratung","ausschuss","drucksache","beratung","beratung","beratung","beratung","drucksache","drucksache","beratung","drucksache","ausschuss","ausschuss","drucksache","drucksache","beratung","beratung","drucksache","ausschuss","drucksache","beratung","beratung","beratung","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","beschlussempfehlung","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","drucksache","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","drucksache","ausschuss","beschlussempfehlung","ausschuss","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","ausschuss","beratung","ausschüsse","kirchentag","pandemie","krise","impfen","impfen"
"3","tagesordnung","punkt","ausschuss","beratung","beratung","ausschuss","beratung","berichterstatter","beratung","rufe","rufe","ausschuss","ausschuss","ausschuss","tagesordnung","beratung","beratung","ausschuss","drucksache","drucksache","drucksache","drucksache","ausschuss","berichterstatter","drucksache","berichterstatter","drucksache","berichterstatter","enthaltungen","beratung","beratung","beratung","beratung","rates","beratung","verordnung","ausschuss","ausschuss","berichterstatter","ausschuss","rates","ausschuss","verordnung","verordnung","verordnung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","drucksache","beratung","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","drucksache","beratung","drucksache","beratung","ausschuss","ausschuss","ausschuss","ausschuss","beratung","drucksache","beratung","ausschuss","beschlussempfehlung","ausschuss","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","ausschuss","beratung","beratung","beratung","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","beratung","beratung","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","ausschuss","fraktion","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","beschlussempfehlung","ausschuss","stimmt","wer","wer","beschlussempfehlung","ausschuss","ausschuss","beschlussempfehlung","beratung","antrag","angenommen","beirat","bundesregierung","virus","virus","geimpft","pandemie"
"4","ausschuss","rufe","punkt","tagesordnung","punkt","berichterstatter","tagesordnung","tagesordnung","punkt","tagesordnung","ausschuss","punkt","tagesordnung","tagesordnung","bericht","tagesordnung","ausschuss","drucksache","ausschuss","ausschuss","ausschuss","enthaltungen","berichterstatter","ausschuss","ausschuss","ausschuss","gegenprobe","gegenprobe","berichterstatter","tagesordnung","berichterstatter","rates","berichterstatter","beratung","berichterstatter","rates","eingebrachten","verordnung","ausschuss","berichterstatter","ausschuss","berichterstatter","ewg","comment","ewg","tagesordnung","entwurfs","tagesordnung","tagesordnung","berichterstatter","tagesordnung","drucksachen","entwurfs","beschlussempfehlung","aussprache","aussprache","beschlussempfehlung","tagesordnung","aussprache","aussprache","aussprache","aussprache","aussprache","beschlussempfehlung","fraktion","fraktion","fraktion","fraktion","fraktion","beschlussempfehlung","beschlussempfehlung","aussprache","überweisungsvorschlag","überweisungsvorschlag","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","ausschuss","überweisungsvorschlag","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","beschlussempfehlung","beratung","beratung","beratung","beratung","ausschuss","stimmt","beschlussempfehlung","beratung","beratung","beratung","beratung","ausschuss","aussprache","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","stimmt","beratung","beratung","beratung","stimmt","stimmt","wer","wer","wer","beratung","wer","fraktionen","gesetzentwurf","beschlussempfehlung","eurecht","massnahmen","massnahmen","massnahmen","impfung"
"5","drucksachen","tagesordnung","tagesordnung","punkt","tagesordnung","tagesordnung","punkt","punkt","überweisung","entwurfs","tagesordnung","überweisung","punkt","eingebrachten","punkt","ausschuss","tagesordnung","tagesordnung","rufe","enthaltungen","tagesordnung","ausschuss","gegenprobe","ausschusses","ausschusses","gegenprobe","tagesordnung","enthaltungen","gegenprobe","ausschuss","gegenprobe","ausschuss","tagesordnung","verordnung","ausschuss","ewg","rates","ewg","tagesordnung","rates","ewg","rates","comment","ewg","ausschuss","berichterstatter","tagesordnung","berichterstatter","eingebrachten","tagesordnung","überweisungsvorschlag","beschlussempfehlung","ältestenrates","drucksachen","beschlussempfehlung","gesetzes","aussprache","aussprache","tagesordnung","tagesordnung","tagesordnung","beschlussempfehlung","tagesordnung","fraktion","tagesordnung","aussprache","überweisungsvorschlag","beschlussempfehlung","beschlussempfehlung","fraktion","eingebrachten","überweisungsvorschlag","entwurfs","beschlussempfehlung","überweisungsvorschlag","überweisungsvorschlag","eingebrachten","drucksachen","beschlussempfehlung","überweisungsvorschlag","fraktion","fraktion","fraktion","eingebrachten","drucksachen","aussprache","aussprache","aussprache","aussprache","stimmt","stimmt","gesetzentwurf","aussprache","aussprache","stimmt","stimmt","aussprache","aussprache","enthaltungen","überweisungsvorschlag","enthaltungen","fraktion","fraktion","fraktion","fraktion","ausschuss","stimmt","fraktion","stimmt","beratung","stimmt","stimmt","wer","beratung","ausschuss","stimmt","stimmt","beratung","wer","ausschuss","fraktion","enthält","mindestalter","wahlprüfung","kurzarbeit","impfen","lage","virus"
"6","drucksache","ausschuss","gesetzes","berichterstatter","rufe","punkt","rufe","ausschuss","tagesordnung","ausschuss","enthaltungen","gewünscht","eingebrachten","punkt","ausschusses","punkt","eingebrachten","enthaltungen","gewünscht","punkt","ausschusses","gegenprobe","enthaltungen","tagesordnung","enthaltungen","tagesordnung","enthaltungen","tagesordnung","tagesordnung","verordnung","tagesordnung","verordnung","ausschuss","ausschuss","rates","nr","berichterstatter","beratung","gesetzes","tagesordnung","berichterstatter","verordnung","ausschuss","ausschuss","comment","entwurfs","comment","entwurfs","entwurfs","eingebrachten","haushaltsausschuss","tagesordnung","eingebrachten","berichterstatter","tagesordnung","ältestenrates","tagesordnung","fraktion","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","tagesordnung","fraktion","aussprache","geschäftsordnung","tagesordnung","tagesordnung","tagesordnung","überweisungsvorschlag","drucksachen","entwurfs","drucksachen","beschlussempfehlung","drucksachen","drucksachen","eingebrachten","entwurfs","berichterstattung","aussprache","aussprache","überweisungsvorschlag","überweisungsvorschlag","überweisungsvorschlag","überweisungsvorschlag","angenommen","überweisungsvorschlag","überweisungsvorschlag","stimmt","enthaltungen","enthaltungen","enthaltungen","enthaltungen","beschlussempfehlung","überweisungsvorschlag","aussprache","enthaltungen","stimmt","enthaltungen","stimmt","beschlussempfehlung","fraktion","enthaltungen","enthaltungen","stimmt","stimmt","wer","fraktion","stimmt","fraktion","wer","wer","wer","ausschuss","beschlussempfehlung","beratung","beratung","beratung","stimmt","stimmt","stimmt","wahl","stimmen","bundesregierung","traditionelles","wochen","impfstoff","inzidenz","massnahmen"
"7","punkt","überweisung","überweisung","rufe","berichterstatter","rufe","gesetzes","ausschusses","rufe","punkt","punkt","tagesordnung","rufe","enthaltungen","berichterstatter","gewünscht","ausschusses","punkt","ausschusses","tagesordnung","enthaltungen","bericht","punkt","punkt","tagesordnung","enthaltungen","ausschusses","ausschuss","eingebrachten","eingebrachten","ausschuss","tagesordnung","eingebrachten","ewg","tagesordnung","berichts","tagesordnung","berichts","entwurfs","verordnung","verordnung","ewg","berichts","berichts","berichts","drucksachen","eingebrachten","eingebrachten","schreiben","beschlussempfehlung","eingebrachten","ältestenrat","überweisungsvorschlag","gewünscht","ältestenrat","entwurfs","drucksachen","antrag","entwurfs","ältestenrat","fraktion","ältestenrat","beschlussempfehlung","drucksachen","aussprache","überweisungsvorschlag","beschlussempfehlung","aussprache","aussprache","eingebrachten","drucksachen","beschlussempfehlung","eingebrachten","eingebrachten","eingebrachten","entwurfs","drucksachen","eingebrachten","drucksachen","eingebrachten","aussprache","drucksachen","drucksachen","fraktion","fraktion","fraktion","eingebrachten","enthaltungen","stimmt","wer","angenommen","stimmt","wer","enthaltungen","enthaltungen","aussprache","gesetzentwurf","stimmt","angenommen","enthaltungen","stimmt","stimmt","stimmt","enthaltungen","wer","stimmt","wer","enthaltungen","wer","fraktion","fraktion","fraktion","enthaltungen","aussprache","fraktion","aussprache","fraktion","fraktion","fraktion","fraktion","sitzung","geschäftsordnung","schuldenstandsquote","bertelsmannstiftung","corona","schnelltests","virus","geimpft"
"8","gesetzes","entwurfs","rufe","ausschusses","überweisung","entwurfs","berichterstatter","gesetzes","entwurfs","überweisung","handzeichen","eingebrachten","gewünscht","gegenprobe","enthaltungen","eingebrachten","punkt","gewünscht","tagesordnung","berichterstatter","gewünscht","ausschusses","beschlossen","rufe","gegenprobe","ausschusses","ausschuss","eingebrachten","gewünscht","rates","enthaltungen","berichterstatter","gegenprobe","tagesordnung","verordnung","überwiesen","entwurfs","überwiesen","eingebrachten","eingebrachten","berichts","tagesordnung","überwiesen","beratung","überwiesen","beschlussempfehlung","überweisungsvorschlag","überweisungsvorschlag","drucksachen","geschäftsordnung","aussprache","beschlossen","gesetzes","tagesordnung","drucksachen","überweisungsvorschlag","entwurfs","geschäftsordnung","ältestenrat","ältestenrates","berichterstatter","fraktion","drucksachen","tagesordnung","antrag","beschlussempfehlung","aussprache","überweisungsvorschlag","tagesordnung","entwurfs","berichterstatter","tagesordnung","aussprache","entwurfs","tagesordnungspunkt","gesetzes","tagesordnungspunkt","tagesordnungspunkt","antrags","entwurfs","drucksachen","aussprache","aussprache","entwurfs","berichterstattung","federführendcomment","entwurfs","angenommen","angenommen","aussprache","wer","angenommen","enthaltungen","fcomment","gesetzentwurf","angenommen","enthaltungen","angenommen","wer","stimmt","aussprache","überweisungsvorschlag","wer","wer","überweisungsvorschlag","enthaltungen","überweisungsvorschlag","wer","enthaltungen","enthaltungen","überweisungsvorschlag","enthaltungen","fraktion","fraktion","stimmen","fraktion","aussprache","stimmen","aussprache","dagegen","stimmt","wer","geschäftsordnung","bericht","coronakrise","tests","epidemischen","impfungen"
"9","berichterstatter","gesetzes","berichterstatter","überweisung","gesetzes","ausschusses","entwurfs","gewünscht","beschlossen","gesetzes","entwurfs","enthaltungen","entwurfs","entwurfs","gegenprobe","berichterstatter","berichterstatter","ausschusses","enthaltungen","gegenprobe","berichterstatter","eingebrachten","handzeichen","eingebrachten","verordnung","punkt","eingebrachten","punkt","ausschuss","entwurfs","eingebrachten","eingebrachten","entwurfs","berichterstatter","eingebrachten","ausschuss","verordnung","berichterstatter","ausschusses","ewg","tagesordnung","berichts","beschlussfassung","überwiesen","beratung","eingebrachten","ältestenrates","beschlussempfehlung","ältestenrates","entwurfs","ältestenrat","unterrichtung","beschlussempfehlung","ausschusses","ausschusses","tagesordnung","berichterstatter","ältestenrat","ältestenrates","gewünscht","ältestenrat","berichterstatter","ältestenrat","berichterstatter","antrags","antrags","eingebrachten","ältestenrat","drucksachen","berichterstatter","gesetzes","tagesordnungspunkt","tagesordnungspunkt","antrags","entwurfs","drucksachen","überweisungsvorschlag","ausschusses","eingebrachten","gesetzes","berichterstattung","eingebrachten","ausschusses","gesetzes","ausschusses","entwurfs","tagesordnungspunkt","überweisungsvorschlag","überweisungsvorschlag","angenommen","stimmen","wer","stimmen","stimmt","angenommen","stimmen","angenommen","abgeordneten","stimmen","fcomment","wer","angenommen","angenommen","überweisungsvorschlag","enthaltungen","gegenstimmen","aussprache","überweisungsvorschlag","überweisungsvorschlag","aussprache","enthaltungen","abgeordneter","angenommen","tagesordnungspunkt","dagegen","stimmen","stimmen","aussprache","überweisungsvorschlag","angenommen","stimmen","antrag","antrags","vermittlungsausschuss","kurzarbeitergeld","lockdown","krise","lage"
"10","ausschusses","aussprache","entwurfs","entwurfs","ausschusses","gesetzes","aussprache","entwurfs","gesetzes","eingebrachten","eingebrachten","entwurfs","gesetzes","überweisung","eingebrachten","überweisung","entwurfs","rufe","punkt","gewünscht","punkt","berichterstatter","tagesordnung","entwurfs","drucksachen","eingebrachten","punkt","entwurfs","rufe","punkt","handzeichen","überwiesen","gesetzes","berichts","berichts","schreiben","gesetzes","änderung","drucksachen","entwurfs","überwiesen","eingebrachten","endgültigen","rat","rechtzeitige","berichts","gesetzes","ältestenrates","berichterstatter","drucksachen","einverstanden","einverstanden","tagesordnung","aussprache","einverstanden","eingebrachten","eingebrachten","überweisungsvorschlag","eingebrachten","entwurfs","gewünscht","gesetzes","tagesordnungspunkt","ausschusses","fraktionen","ältestenrat","entwurfs","drucksachen","tagesordnungspunkt","überweisungsvorschlag","fraktion","antrags","gesetzes","aussprache","berichterstattung","tagesordnungspunkt","berichterstattung","entwurfs","fraktion","drucksachen","antrags","berichterstattung","berichterstattung","ausschusses","enthaltungen","tagesordnungspunkt","gesetzes","fraktion","eingebrachten","fraktion","gesetzentwurf","stimmen","fraktion","abgeordneten","überweisungsvorschlag","eingebrachten","stimmen","wer","gegenstimmen","tagesordnungspunkt","überweisungsvorschlag","wer","aussprache","aussprache","angenommen","angenommen","fcomment","angenommen","angenommen","angenommen","abgeordneten","angenommen","empfiehlt","überweisungsvorschlag","tagesordnungspunkt","tagesordnungspunkt","enthält","tagesordnungspunkt","dagegen","gesetzentwurf","wer","grünen","eindimensional","nehmen","lage","testen","tests","impfstoffe"
