"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","einkommen","einkommen","einkommen","zündwarensteuer","einkommen","umsatzsteuer","umsatzsteuer","umsatzsteuer","einkommen","splitting","kaffee","steuer","umsatzsteuer","umsatzsteuer","umsatzsteuer","kaffee","einkommen","mehrwertsteuer","einkommen","mehrwertsteuer","arbeitnehmer","arbeitnehmer","arbeitnehmer","finanzen","umsatzsteuer","mehrwertsteuer","mehrwertsteuer","steuern","finanzen","finanzen","finanzen","finanzen","steuerreform","steuerreform","steuerreform","wirtschaft","steuerreform","steuerreform","steuerreform","steuerreform","steuerreform","verlustrücktrag","körperschaftsteuerreform","mehrwertsteuer","erhöhung","steuerlichen","lohnsummensteuer","dm","dm","dm","mineralölsteuer","erhöhung","kilometerpauschale","erhöhung","erhöhung","einkommen","posser","einkommen","gemeinden","gemeinden","einkommen","gemeinden","voss","einkommen","dm","steuerreform","steuerreform","quellensteuer","quellensteuer","dm","matthäusmaier","vermögensteuer","mehrwertsteuer","besteuerung","matthäusmaier","matthäusmaier","steuern","kindergeld","kindergeld","gewerbekapitalsteuer","vermögensteuer","vermögensteuer","steuerreform","steuerreform","steuerreform","steuerreform","steuerreform","steuerreform","ökosteuer","ökosteuer","steuerreform","steuern","steuern","eichel","steuerreform","steuern","eigenheimzulage","stabilitäts","eichel","mehrwertsteuererhöhung","mehrwertsteuererhöhung","unternehmensteuerreform","erbschaftsteuer","steuern","erbschaftsteuer","steuerhinterziehung","steuern","steuern","selbstanzeige","schweiz","schweiz","schweiz","steuerhinterziehung","selbstanzeige","steuern","steuern","abgeltungsteuer","panama","unternehmen","vermögensteuer","progression","kindergeld","steuern","steuern","unternehmen","euro","steuern","inflation"
"2","steuern","konsumgenossenschaften","steuerreform","steuer","mittleren","dm","einkommen","dm","seuffert","einkommen","einkommen","besteuerung","steuer","steuern","finanzausschuss","kaffeesteuer","mittelstand","umsatzsteuer","vermögensteuer","umsatzsteuer","einkommen","vermögensbildung","dahlgrün","kuponsteuer","steuer","ergänzungsabgabe","steuer","besteuerung","verbraucher","reischl","reischl","reischl","besteuerung","finanzen","doppelbesteuerungsabkommen","erbschaftsteuer","grundsteuer","finanzausschuss","dm","kindergeld","kindergeld","abgabenordnung","körperschaftsteuer","mehrwertsteuererhöhung","dm","steuerliche","abschaffung","steuern","einkommen","steuern","erhöhung","mineralölsteuer","steuern","steuerlichen","steuern","erhöhung","steuern","vermögensteuer","gewerbesteuer","kommunalen","gemeinden","gewerbesteuer","spöri","dm","steuerreform","steuern","dm","steuerreform","matthäusmaier","einkommen","kindergeld","steuererhöhungen","matthäusmaier","matthäusmaier","steuern","steuern","einkommen","steuern","dm","dm","steuern","gewerbekapitalsteuer","gewerbekapitalsteuer","senkung","steuern","lafontaine","steuerpolitik","ökosteuer","steuerreform","steuerreform","steuern","ökosteuer","vermögensteuer","steuerreform","eichel","merz","eichel","bundesbank","gegenfinanzierung","unternehmensteuerreform","steuern","steuern","steuern","erbschaftsteuer","pendlerpauschale","steuern","steuerhinterziehung","steuer","steuern","steuern","einkommen","abkommen","schweiz","steuerhinterziehung","abgeltungsteuer","vermögen","erbschaftsteuer","staatsleistungen","binding","steuern","soli","soli","kindergeld","soli","euro","scholz","besteuerung","euro"
"3","dm","steuerreform","dm","einkommen","mittelstand","senkung","steuern","verbrauchsteuern","steuern","dm","dm","neuburger","seuffert","seuffert","seuffert","bundesfinanzminister","gewerbesteuer","steuer","seuffert","steuer","vermögensbildung","finanzausschuss","leber","steuer","finanzausschuss","entlastung","umsatzsteuer","finanzen","gewerbesteuer","mehrwertsteuer","konjunkturzuschlag","steuerreform","heizölsteuer","hermsdorf","besteuerung","zahlt","einheitswerte","einkommen","einkommen","offergeld","dm","häfele","steuerreform","erhöhung","tarifreform","erhöhung","gewerbekapitalsteuer","kindergeld","besteuerung","besteuerung","dm","dm","erhöhung","steuern","grundstücke","gewerbesteuer","einkommen","steuern","steuerlichen","kommunen","entlastung","kommunen","senkung","steuerpolitik","einkommen","spöri","steuern","steuern","dm","steuerreform","dm","matthäusmaier","mehrwertsteuererhöhung","mehrwertsteuer","unternehmen","einkommen","matthäusmaier","einkommen","gewerbekapitalsteuer","matthäusmaier","solidaritätszuschlag","steuern","steuern","steuern","dm","steuern","dm","prozent","pfennig","dm","ökosteuer","steuerreform","prozent","steuern","vorziehen","steuerrecht","merz","wachstumspakt","senkung","mehrwertsteuer","unternehmensteuerreform","besteuerung","steinbrück","steuerhinterziehung","steuern","erbschaftsteuer","einkommen","einkommensteuer","vermögensteuer","progression","abkommen","vermögensteuer","abkommen","steuern","luxemburg","progression","armuts","erbschaftsteuer","steuern","schäuble","steuern","steuern","unternehmen","einkommen","steuern","unternehmen","unternehmen","entlastung"
"4","steuer","körperschaftsteuer","steuern","steuerreform","steuern","gewerbesteuer","miessner","freibetrag","splitting","steuerpflichtigen","krammig","finanzausschuss","kaffee","gewerbesteuer","gewerbesteuer","steuer","beyer","besteuerung","steuern","unternehmen","unternehmen","eppler","finanzen","dahlgrün","steuersatz","altvorräte","steuern","steuer","kurlbaum","steuerreform","finanzausschuss","grundsteuer","steuerliche","häfele","hermsdorf","eigentumswohnung","erbschaftsteuer","vermögensteuer","reform","steuer","steuern","finanzausschuss","finanzausschuss","steuern","entlastung","finanzausschuss","dm","einkommen","steuerlichen","steuerpaket","anhebung","subventionsabbau","böhme","einkommen","steuerlichen","ergänzungsabgabe","dm","steuerlichen","kommunen","städte","steuerentlastung","kommunalen","besteuerung","steuern","spöri","steuerpolitik","steuerpolitik","dm","waigel","matthäusmaier","steuern","steuern","gewerbekapitalsteuer","einkommen","einkommen","banken","mitbestimmung","matthäusmaier","einkommen","kindergeld","dm","dm","waigel","steuer","prozent","entlastung","steuern","unternehmen","dm","prozent","prozent","prozent","eichel","prozent","steuern","besteuerung","steuerreform","stabilitätspakt","steuern","steuerrecht","mehrwertsteuer","mehrwertsteuererhöhung","unternehmensteuerreform","pendlerpauschale","euro","euro","besteuerung","besteuerung","steuerhinterziehung","abkommen","progression","steuern","steuern","strafbefreienden","besteuerung","armuts","steuern","steuern","lothar","steuerhinterziehung","vermögensteuer","progression","steuer","euro","mehrwertsteuer","steuern","vermögensteuer","steuern"
"5","bundesfinanzminister","steuern","besteuerung","besteuerung","steuer","einkommen","dm","antrag","besteuerung","körperschaftsteuer","einkommensteuer","steuerliche","finanzausschuss","steuer","vermögensteuer","ehegatten","umsatzsteuer","dm","einkommensteuer","system","eigentumsbildung","einkommen","einkommen","dpf","besteuerung","umsatzsteuer","besteuerung","mehrwertsteuer","steuer","besteuerung","verdoppelung","besteuerung","finanzen","umsatzsteuer","finanzen","gewerbliche","vermögensteuer","einheitswerte","finanzausschuss","finanzausschuss","einkommen","steuerreform","abgabenordnung","entlastungen","einkommen","steuern","erhöhung","bagatellsteuern","schäuble","arbeitnehmer","böhme","kilometerpauschale","mineralölsteuer","steuerliche","beschäftigungsförderungsgesetz","ausgewogenheit","grunderwerbsteuer","steuerpolitik","kommunalen","gewerbesteuer","stoltenberg","länder","steuern","steuerreform","entlastung","stoltenberg","stoltenberg","stoltenberg","steuerreform","steuern","steuererhöhungen","mehrwertsteuer","familien","poss","waigel","kindergeld","existenzminimum","mitbestimmung","familien","steuer","gewerbekapitalsteuer","steuerreform","senkung","waigel","einkommen","dm","senkung","dm","entfernungspauschale","steuern","eichel","eichel","steuererhöhungen","vermögensteuer","merz","eichel","steuern","eichel","körperschaftsteuer","euro","steinbrück","prozent","euro","prozent","steuer","zahlen","steuerfreiheit","einkommen","einkommen","steuerpolitik","besteuerung","progression","vermögensteuer","strafbefreiende","informationsaustausch","steuerliche","vermögen","besteuerung","erbschaftsteuer","vermögen","kalte","euro","zoll","prozent","prozent","jahressteuergesetz","doppelbesteuerung","einkommen"
"6","finanzminister","dm","steuer","steuern","umsatzsteuer","steuersenkung","steuer","seuffert","tarif","besteuerung","sparen","dm","steuern","kaffee","einkommen","seuffert","steuer","unternehmen","dahlgrün","abschreibung","vermögen","eigentumsbildung","kraftfahrzeugsteuer","zinsen","entlastung","finanzen","funcke","steuerpolitik","steuerliche","einkommensteuer","steuerreform","umsatzsteuer","heizöl","steuersatz","steuerlichen","nutzniesser","finanzausschuss","januar","einkommensteuer","dm","häfele","huber","besteuerung","häfele","weihnachtsfreibetrages","steuer","kindergeld","abschaffung","steuerliche","finanzausschuss","schäuble","subventionen","steuerlichen","gewerbesteuer","neubewertung","steuern","steuerlichen","posser","steuern","steuerlichen","steuern","spöri","spitzensteuersatzes","spöri","steuerpolitik","dm","apel","matthäusmaier","besteuerung","arbeitnehmer","einkommen","dm","steueränderungsgesetz","steuern","mitbestimmung","standortsicherungsgesetz","steuerlichen","steuerpolitik","existenzminimum","gemeinden","einkommen","abschaffung","dm","nettoentlastung","steuersätze","senkung","besteuerung","kapitalgesellschaften","steuern","eichel","dm","steuerpolitik","steuerreform","subventionsabbau","stufe","prozent","subventionsabbau","pakt","steuersätze","steinbrück","besteuerung","reform","steuerrecht","einkommen","csu","steinbrück","wachstumsbeschleunigungsgesetz","mehrwertsteuer","besteuerung","schweizer","steuern","besteuerung","informationsaustausch","steuergerechtigkeit","selbstanzeige","steuerhinterziehung","besteuerung","kirchen","verluste","kapitalertragsteuer","unternehmen","entlastung","euro","solidaritätszuschlag","unternehmer","besteuerung","gewinne","entlasten"
"7","umsatzsteuer","umsatzsteuer","hartmann","dm","mittelstandes","notopfers","einkommensteuer","steuern","steuer","einkommensteuer","steuern","einkommen","einkommensteuer","dresbach","beyer","teesteuer","sparen","steuersatz","dm","seuffert","dm","mehrarbeit","umsatzsteuer","steueränderungsgesetz","mehrwertsteuer","steuer","entlastung","leicht","steuern","aufwendungen","steuerlichen","einkommensteuer","reischl","steuer","steuerliche","staatsangehörigkeit","erhöhung","dm","tarif","einkommen","finanzen","steuer","künstler","finanzausschuss","grundfreibetrages","häfele","gewerbesteuer","steuervereinfachung","vereine","kindergeld","steuern","anhebung","anhebung","anhebung","steuerliche","mehrwertsteuer","erhöhung","steuerliche","gattermann","stoltenberg","steuerlichen","steuerlichen","legislaturperiode","tarif","häfele","apel","einkommen","gewerbesteuer","steuern","kindergeld","waigel","gewerbekapitalsteuer","vermögensteuer","freibeträge","standortsicherungsgesetz","steuerlichen","dm","banken","banken","steuern","steuer","steuer","steuersätze","entlastung","waigel","steuerpolitik","entlastung","entlastung","entlastung","entlastung","entlastung","körperschaftsteuer","ökosteuer","steuererhöhungen","subventionsabbau","steuerreform","subventionen","konzept","erbschaftsteuer","steuern","steuererhöhungen","einkommensteuer","bürger","euro","einkommen","einkommen","zahlen","spitzensteuersatz","abgeltungsteuer","vermögen","abgeltungsteuer","vermögen","steuerabkommen","schäuble","schäuble","unternehmen","steuerhinterziehung","steuererklärung","steuer","binding","euro","einkommen","prozent","entlastung","umsatzsteuer","verlustrücktrag","scholz","progression"
"8","einkommensteuer","steuerliche","umsatzsteuer","hartmann","kleinen","steuern","steuerlich","miessner","dm","steuern","prämie","steuerfrei","dm","einkommensteuer","mittelstand","senkung","harmonisierung","finanzausschuss","abzugsfähigkeit","steuersatz","steueränderungsgesetz","eigentum","arbeitgeber","besteuerung","altvorräte","funcke","gewerbesteuer","kurlbaumbeyer","funcke","steuerliche","mehrwertsteuer","lohnsteuer","steuer","finanzausschuss","steuervorteile","wolle","besteuerung","erbschaftsteuer","häfele","steuern","offergeld","mehrwertsteuererhöhung","steuerlichen","kindergeld","grundfreibetrag","kraftfahrzeugsteuer","gemeinden","schäuble","steuern","kreile","besteuerung","subventionsabbaugesetz","umlegung","böhme","unbebauten","kindergeld","zwangsanleihe","dm","betriebsausgaben","finanzen","steuerliche","häfele","einkommen","stoltenberg","entlastet","einkommen","besteuerung","steuerpolitik","steuerpolitik","steuer","steuer","steuerpolitik","steuerpolitik","faltlhauser","senkung","dm","familien","steuer","waigel","jahressteuergesetz","waigel","jahressteuergesetz","abschaffung","vermögensteuer","senken","milliarden","einkommen","besteuerung","eichel","mittelstand","steuer","euro","euro","subventionen","prozent","steuersätze","prozent","gewerbesteuer","mehrwertsteuererhöhung","steuerlichen","peer","wissing","prozent","csu","thiele","bürger","euro","vermögen","euro","steuergerechtigkeit","prozent","binding","steueroasen","schweiz","steuerhinterziehung","besteuert","binding","finanzverwaltung","vermögen","cumexgeschäfte","kalten","cumex","besteuerung","entlastet","gewinne","einkommen","prozent","kurzarbeitergeld"
"9","senkung","steuer","tarif","pfennig","steuerpflichtigen","einkommensteuer","steuerlichen","ehegatten","steuerpflichtigen","bundesfinanzminister","zahlen","steuerpflichtigen","einkommen","einkommen","mittelstandes","finanzausschuss","vermögensteuer","seuffert","steuer","finanzausschuss","eigentum","dm","steuer","finanzausschuss","wein","steuern","finanzen","einkommensteuer","steuerlichen","steuer","atü","steuerpflichtigen","steuerpflichtigen","steuern","schweiz","einführung","kraftfahrzeugsteuer","häfele","milliarden","steuerlichen","entlastung","mehrwertsteuer","steuerliche","steuerpaket","konjunkturabschlag","dm","anhebung","besteuerung","entfernungspauschale","erhöhung","subventionen","steuer","dm","ergänzungsabgabe","steuererhöhungen","steuer","ergänzungsabgabe","kreile","tarifreform","zwangsanleihe","besteuerung","steuerliche","huonker","apel","steuern","quellensteuer","arbeitnehmer","finanzen","einkommen","poss","graf","ergänzungsabgabe","steuern","steuerpflichtigen","dm","waigel","einkommensteuer","dm","matthäusmaier","familien","abschaffung","waigel","einkommen","schäuble","lafontaine","familien","familien","senkung","senkung","steuer","kapitalgesellschaften","einkommen","steuer","vorziehen","poss","subventionen","gewerbesteuer","vorschläge","finanzminister","scheel","bürger","euro","steuer","wohneigentum","steuerlich","besteuerung","einkommensteuer","irland","binding","einkommen","steuerhinterziehung","einkommen","vermögensabgabe","binding","soli","steuer","automatischen","unternehmen","geldwäsche","cumex","solidaritätszuschlag","steuerzahler","einkommen","steuer","mehrwertsteuersenkung","prozent","steueroasen","unternehmen"
"10","mark","senkung","neuburger","umsatzsteuer","einkommensteuer","notopfer","steuerzahler","dresbach","körperschaftsteuer","kaffee","gesellschaftsteuer","finanzausschusses","besteuerung","bundesfinanzminister","steuern","beyer","dm","umsatzsteuerreform","besteuerung","besteuerung","gewerkschaften","unternehmer","arbeitszeit","bundesfinanzminister","dm","einführung","gemeinde","umsatzsteuer","buchführung","finanzausschuss","arbeitnehmer","zölle","rückwirkung","besteuerung","aussensteuergesetz","geworden","steuer","steuern","freibeträge","steuerliche","steuerlichen","steuerliche","einkommensteuer","kreile","steuerlichen","böhme","steuer","steuerlichen","finanzausschuss","schäuble","häfele","kindergeld","kindergeld","bafög","einkommen","beamten","bundesrat","gobrecht","unternehmensteuern","bundesregierung","spöri","einkommen","dm","bundesfinanzminister","mehrwertsteuer","entlastung","entlastung","kapitalertragsteuer","steuer","abschaffung","familien","einkommen","dm","mehrwertsteuererhöhung","ingrid","ingrid","besteuerung","existenzminimum","existenzminimums","waigel","matthäusmaier","repnik","senken","senken","vermögensteuer","steuersätze","unternehmensteuerreform","eichel","prozent","kapitalgesellschaften","gewerbesteuer","merz","mehrwertsteuer","körperschaftsteuer","finanzminister","einkommen","finanzminister","steuern","steuerpolitik","milliarden","steuer","steinbrück","einkommen","wissing","steinbrück","thiele","steuer","wissing","steuererklärung","kalte","schweizer","steuerhinterziehung","steinbrück","steuerhinterzieher","finanzminister","besteuerung","informationsaustausch","vermögen","meister","schweiz","einkommen","familienentlastungsgesetz","schwarzarbeit","entlasten","milliarden","gewinne","vermögen","preise"
