"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","gewerkschaften","arbeitnehmer","arbeitnehmer","minderheit","mehrheitswahlrecht","wahlgesetz","parteien","wehrbeauftragten","parteien","institution","korruption","interesses","beamten","beamten","gemeinden","weihnachtsgeld","beamten","beamten","beamten","beamten","beamten","beamten","gscheidle","dienst","beamten","dienstes","dienst","beamten","beamten","dienst","genscher","benda","dienstes","innern","genscher","genscher","genscher","genscher","genscher","dienst","bundesgrenzschutz","dienst","dienstes","terrorismus","terrorismus","terrorismus","dienst","beamten","bundesinnenminister","polizei","polizei","nebentätigkeit","asylbewerber","ausländer","ausländer","bundesinnenminister","ausländern","türkei","nicaragua","türkei","guatemala","menschenrechte","menschenrechte","menschenrechte","nicaragua","menschenrechte","todesstrafe","menschenrechte","nationen","ausländer","irak","krieg","türkei","nationen","menschenrechte","nationen","türkei","nationen","türkei","nationen","auswärtigen","menschenrechte","türkei","türkei","menschenrechte","kosovo","kosovo","russland","menschenrechte","kosovo","afghanistan","nato","irak","nato","afghanistan","afghanistan","ukraine","nato","afghanistan","iran","afghanistan","russland","afghanistan","kosovo","afghanistan","afghanistan","afghanistan","afghanistan","afghanistan","afghanistan","kosovo","mali","iran","ukraine","syrien","russland","türkei","türkei","türkei","russland","syrien","russland","russland","türkei","türkei","russland","russland","ukraine"
"2","arbeitnehmer","wahl","arbeitgeber","dänemark","wahlgesetz","minderheit","wahlgesetz","wehrbeauftragte","schweden","organ","arbeitszeit","öffentlichen","fürsorge","dienst","freien","beamten","harmonisierungsnovelle","dienst","dienst","dienst","weihnachtszuwendungen","dienst","beamten","beamten","dienst","dienst","beamten","verbrechensbekämpfung","petitionsausschuss","beamten","innern","genscher","dienst","genscher","bundesgrenzschutz","innern","innern","innern","innern","öffentlichen","innern","öffentlichen","dienst","maihofer","terroristen","terroristen","verfassungsschutz","baum","baum","beamten","spranger","dienst","polizei","integration","asylbewerber","ausländer","ausländer","auslieferung","türkei","nicaragua","nicaragua","nationen","afghanistan","chile","chile","todesstrafe","menschenrechte","türkei","vereinten","menschenrechte","menschenrechte","kuwait","menschenrechte","jugoslawien","vereinten","vereinten","menschenrechte","vereinten","auswärtigen","menschenrechte","china","auswärtigen","iran","auswärtigen","kosovo","nato","türkei","kosovo","aussenpolitik","mazedonien","terrorismus","israel","krieg","krieg","terrorismus","region","russland","nationen","ukraine","menschenrechte","nato","afghanistan","russland","afghanistan","nato","iran","abrüstung","israel","libyen","russland","iran","russland","syrien","russland","russland","türkei","syrien","syrien","syrien","mali","türkei","türkei","iran","syrien","region","türkei","ukraine","russland"
"3","arbeiter","mitbestimmung","parteien","dänischen","wahlrecht","partei","partei","besoldungsgruppe","besoldungsgruppe","bauverwaltung","schmitt","vertreter","innenausschuss","kühlthau","gemeinde","vorschuss","dienst","dienstes","gscheidle","doppelversorgung","dienst","öffentlichen","bundeskriminalamt","dienstes","gscheidle","angestellte","verbesserungen","dienstes","vergütungsgruppe","dienstes","dorn","verbrechensbekämpfung","besoldung","dkp","bundesgrenzschutzes","dienst","dkp","dienst","dienst","innern","terroristen","schaumburglippe","öffentlichen","terroristen","terroristischen","bundeskriminalamt","beamten","bundesinnenminister","beamten","bundesgrenzschutz","dienst","beamten","bundesamt","ausländischen","türkei","asylrechts","türkei","türkischen","chile","afghanistan","menschenrechtsverletzungen","auswärtigen","terrorismus","auswärtigen","prensa","chile","chile","iran","china","türkei","kuwait","irak","nationen","vereinten","jugoslawien","türkei","nationen","auswärtigen","russland","vereinten","menschenrechte","osze","auswärtigen","irak","vereinten","menschenrechte","nato","türkei","kosovo","menschenrechte","mazedonien","afghanistan","terrorismus","nationen","russland","staaten","afghanistan","menschenrechte","kosovo","staaten","einsatz","iran","oef","china","russland","kosovo","krieg","nato","saudiarabien","mandat","nationen","syrien","russland","syrien","ukraine","ukraine","is","russland","russland","türkei","russland","syrien","nato","iran","sudan","iran","israel","krieg"
"4","arbeitgeber","gewerkschaften","unternehmer","schleswigholstein","wähler","wahlrecht","demokratie","mehrheit","wahlrecht","stammberger","beamten","schiff","sozialhilfe","einfachen","jugendhilfe","weihnachtsgeldes","gscheidle","gscheidle","petitionsausschuss","dienstes","gscheidle","dienstes","dienst","besoldungsgruppe","miessner","innern","öffentlichen","innenausschuss","köppler","öffentlichen","beamten","innern","beamten","öffentlichen","sicherheit","besoldungsvereinheitlichungs","dienst","öffentlichen","polizei","bewerber","polizei","oldenburg","mandat","verfassungsschutz","beamten","schleyer","öffentlichen","sicherheitsbehörden","bgs","baum","baum","asylbewerber","demonstrationen","ausländern","asylverfahren","ausländerpolitik","miltner","altun","menschenrechte","ausländer","warnke","vereinten","nicaragua","flüchtlinge","saudiarabien","nicaragua","kurden","flüchtlinge","menschenrechte","auswärtigen","nationen","nationen","vereinten","menschenrechte","nationen","menschenrechte","vereinten","menschenrechte","staatsminister","jugoslawien","russland","kinkel","menschenrechte","kosovo","nato","milosevic","russland","menschenrechte","jugoslawien","nato","krieg","terrorismus","afghanistan","irak","irak","menschenrechte","terrorismus","vereinten","internationalen","nationen","kongo","darfur","pakistan","israel","pakistan","menschenrechte","aussenpolitik","kosovo","region","menschenrechte","region","afghanistan","region","nato","irak","mali","saudiarabien","nato","irak","frieden","region","vereinten","region","russland","syrien","menschenrechte","frieden","putin"
"5","betrieb","mitbestimmungsrecht","aussperrung","dänische","parteien","mehrheitswahlrecht","politischen","institution","wahl","normalfall","bundesverwaltung","stauereibetriebe","anhebung","dienstes","könen","überleitung","brück","wuermeling","dienstes","bundesbeamtengesetzes","schmittvockenhausen","besoldung","dienstes","beamte","innenausschuss","angestellten","innenausschuss","dienst","dienst","wagner","dienstes","polizei","öffentlichen","innenausschuss","innern","dienstes","beamten","dienstes","dienstes","polizei","bundesgrenzschutzes","bewerber","gehobenen","polizei","bekämpfung","polizei","verfassungstreue","polizei","innern","bundesinnenminister","innern","beamte","asylrecht","türken","einbürgerung","innenpolitik","ausländerpolitik","volkszählung","salvador","chile","el","afghanistan","libyen","menschenrechtsverletzungen","la","tibet","flüchtlinge","menschenrechtsverletzungen","türkei","vereinten","vereinten","jugoslawien","jugoslawien","china","türkei","uno","auswärtigen","gorazde","amt","krieg","beziehungen","aussenminister","china","nationen","bosnien","krieg","menschenrechte","krieg","todesstrafe","auswärtigen","nato","frieden","nato","staaten","menschenrechte","moldau","irak","israel","vereinten","vereinten","nationen","nato","menschenrechte","streumunition","staaten","krieg","aussenminister","aussenpolitik","ägypten","aussenpolitik","vereinten","waffen","libanon","türkei","humanitäre","waffen","nationen","humanitäre","is","hilfe","irak","nationen","kosovo","region","vereinten","nationen","kosovo","nato"
"6","betriebsrat","betriebsverfassungsgesetz","mitglieder","kieler","verhältniswahlrecht","kandidat","sperrklausel","juristen","amtsbezeichnung","psychologische","öffentlichen","interessen","kühlthau","anhebung","selbstverwaltung","ortsklasse","besoldung","verbesserungen","angestellten","öffentlichen","besoldung","gscheidle","öffentlichen","öffentlichen","dienstes","beamten","stufe","besoldungsgruppe","innenausschusses","genscher","dienst","dorn","innern","dienstes","polizei","länder","sicherheit","länder","öffentlichen","badenwürttemberg","vereinigungen","maihofer","beamten","traube","teilzeitbeschäftigung","höcherl","dregger","innenminister","spranger","dienst","verfassungsschutz","polizei","asyl","ausländerpolitik","ausländerfeindlichkeit","spranger","verfassungsschutz","bundesinnenminister","el","menschenrechte","salvador","uno","folter","asyl","bundesrepublik","staaten","staaten","afghanistan","chinesischen","khmer","welt","saddam","kurden","türkei","auswärtigen","somalia","china","waffen","tschetschenien","china","iran","nationen","nationen","algerien","nationen","jugoslawien","osze","tschetschenien","nato","krieg","staaten","mazedonien","nationen","vereinten","kunduz","kosovo","menschenrechte","staaten","politische","usa","israel","staaten","isaf","russland","menschenrechte","region","menschenrechte","region","arabischen","nationen","südsudan","nationen","kosovo","ruanda","hilfe","region","vereinten","mali","nato","humanitäre","is","kosovo","saudiarabien","irak","nationen","belarus","libanon","russische"
"7","handwerk","arbeitgeber","betrieb","minderheiten","dänischen","kandidaten","gewerkschaftsbund","zweidrittelmehrheit","kandidaten","gruppe","eilers","institution","hilfe","mittleren","verbände","gemeinden","dienstes","öffentlichen","besoldung","beamte","öffentlichen","beamtenbesoldung","innenausschuss","petitionsausschuss","beamtenschaft","bundesbehörden","brück","öffentlichen","besoldungsgruppe","dorn","schäfer","bundeskriminalamt","genscher","beamten","länder","polizei","polizei","beamten","bundesinnenminister","maihofer","terroristischen","niedersachsen","angehörigen","bekämpfung","dienst","innenminister","bewerber","innenausschuss","bundesgrenzschutzes","asylbewerber","dregger","öffentlichen","dregger","kinder","asylrecht","hirsch","bundesamt","bericht","region","kurden","auswärtigen","ottawa","nationen","flüchtlingen","flüchtlinge","israel","irak","vereinten","staaten","nationen","region","türkei","minderheiten","südafrika","hilfe","krieg","kurden","staatsminister","russischen","bosnien","chinesischen","flüchtlinge","indonesien","staaten","milosevic","türkei","nationen","region","israel","milosevic","nationen","kosovo","frieden","frieden","nationen","nationen","nationen","beziehungen","fischer","terrorismus","soldaten","menschenrechte","aussenpolitik","staaten","israel","nato","atomwaffen","iran","waffen","syrien","russland","vereinten","türkei","mali","waffen","syrien","waffen","türkischen","nationen","krieg","humanitäre","region","türkei","aussenminister","russland","vereinten","russischen","frieden"
"8","betrieben","wirtschaft","hausgehilfinnen","rasner","minderheit","parteien","industrie","richteramt","schwedische","einblick","dienstes","beladen","dienst","innenausschuss","sozialhilfe","bundesbesoldungsgesetzes","gemeinden","besoldung","öffentlichen","versorgungsempfänger","innenausschuss","innenausschuss","besoldungsreform","verwaltung","öffentlichen","schah","dienstes","polizei","besoldungsneuregelungsgesetz","innern","beamte","beamten","beamte","polizei","innenminister","schäfer","beamte","bundesinnenminister","beamte","bewerbers","wahlrecht","dkp","terrorismus","bundesinnenminister","polizei","maihofer","beamte","innern","bundesgrenzschutz","mad","dienstes","bundesinnenminister","innern","baum","ausländern","innenminister","zirndorf","türkische","flüchtlinge","wahlen","region","auswärtige","sowjetunion","nicaragua","menschenrechte","menschenrechtsverletzungen","vereinten","nationen","region","flüchtlinge","geiseln","kurden","staaten","flüchtlinge","humanitäre","menschenrechtsverletzungen","jugoslawien","schäfer","krieg","auswärtigen","tibet","indonesien","vereinten","vereinten","auswärtigen","flüchtlinge","krieg","christen","auswärtigen","region","vereinten","krieg","vereinten","kosovo","internationalen","vereinten","russischen","region","frieden","belarus","vereinten","krieg","aussenminister","nato","krieg","staaten","afghanischen","menschenrechte","israel","region","staaten","region","mali","aussenpolitik","türkei","saudiarabien","irak","erdogan","vereinten","region","nationen","aussenpolitik","frieden","ukraine","kosovo","nawalny","krieg","waffen"
"9","mitbestimmungsrecht","betrieben","wahl","nationalen","weimarer","demokratie","nsdap","persönlichkeit","wahlgesetz","weisungen","dienst","gestaut","erhöhung","reichsnährstandes","wohlfahrtspflege","zahlung","bundesbesoldungsgesetzes","matzner","beamte","gscheidle","dienstes","brück","besoldungsordnung","innenausschuss","beamte","polizei","besoldungsneuregelungsgesetz","schmittvockenhausen","tarifverhandlungen","besoldungsrückstandes","öffentlichen","dienst","wagner","nienberge","beamten","herrn","länder","minister","beamten","dkp","beamten","mitgliedschaft","terroristischen","dienst","stammheim","bekämpfung","regelanfrage","beamte","dienst","bundesgrenzschutzes","bundesinnenminister","innern","bewaffnung","gerster","asyl","verfassungsschutz","gäck","kemal","türkischen","türkischen","menschenrechte","flüchtlinge","menschenrechtspolitik","möllemann","diktatur","türkei","nationen","staaten","todesstrafe","roten","staaten","vereinten","türkischen","konferenz","menschenrechtsverletzungen","jugoslawien","menschenrechtsverletzungen","ruanda","kurden","frieden","kinkel","bosnien","amt","menschenrechte","aussenpolitik","nationen","flüchtlinge","china","staaten","nationen","usa","staaten","internationalen","humanitäre","vereinten","auswärtigen","wahlen","frieden","krieg","russland","libanon","regierung","nationen","menschenrechte","aussenminister","auswärtigen","kosovo","nationen","nato","vereinten","nato","israel","waffen","waffen","region","hilfe","krieg","krieg","aussenpolitik","nato","südsudan","iran","usa","is","hongkong","aussenminister","putin","russischen"
"10","wahl","stimmen","kinderreichen","diekmann","stücklen","gewählt","gewerkschaften","oberstabsarzt","schwedischen","selbständige","fischerei","stauen","iv","erhöhung","träger","dienstes","versorgungsempfänger","kinderzuschläge","innenminister","überleitung","beamte","beamte","brück","bediensteten","innenausschusses","bundesgrenzschutz","unteroffiziere","besoldungsneuregelungsgesetz","ii","antrag","ruhestand","kriminalpolizei","richterbesoldung","dienst","bgs","sicherheit","dienstes","zentralstelle","wahlkreiskommission","bundesinnenminister","bekämpfung","verfassungstreue","abgeordneten","innenminister","terroristische","innern","dienstes","sicherheit","beamte","untersuchungsausschuss","beamten","nebentätigkeiten","demonstranten","asylbewerber","hirsch","ausländern","ausländischen","menschenrechte","hilfe","auswärtigen","folter","ausländischen","internationalen","menschen","auswärtigen","chilenen","ipu","staatsminister","auswärtigen","regierung","saddam","minderheiten","republiken","uno","somalia","humanitäre","pkk","uno","menschenrechte","uno","staatsminister","staaten","beziehungen","aussenpolitik","internationalen","militärischen","vereinten","staaten","nationen","vereinten","mandat","nationen","saddam","einsatz","kabul","terrorismus","tschetschenien","sudan","nationen","afghanistan","mandat","vereinten","vereinten","serbien","region","regierung","nato","aussenminister","tunesien","arabischen","ägypten","staaten","beziehungen","mission","flüchtlinge","humanitäre","region","hilfe","krieg","libanon","vereinten","libanon","nationen","maas","libanon","aussenpolitik","russische","europa"
