"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","immunität","immunität","immunität","immunität","stuhl","kirche","kirche","kirche","volksbefragung","demokratie","demokratie","demokratie","parteien","bundesinnenminister","kirche","verfassung","gutachter","gewerkschaften","rechtshilfeersuchen","verfassungsschutz","bundestagsvorstand","alliierten","gemeinschaftswerk","dorn","dorn","dorn","dorn","verfassung","parlament","parlaments","parlament","stufe","petitionen","gewerbeordnung","direktwahl","parlamentarischen","eid","staatssekretäre","reichstag","vertriebenen","ausstellung","mittlerorganisationen","tourismus","goetheinstituts","simitis","schäden","bundeszentrale","widerspruchslösung","leitenden","versicherungsunternehmen","afrikanischen","abbuchungen","lehrbuch","bundesrechnungshof","the","vorankommen","de","de","gelände","ded","arzneimittel","psychisch","ärzte","ärzte","aids","krankenversicherung","krankenversicherung","krankenversicherung","krankenversicherung","gesundheitsreform","pflege","polikliniken","versicherten","staatssekretärin","krankenversicherung","aids","psychotherapeuten","gesundheit","seehofer","positivliste","krankenkassen","krankenkassen","krankenversicherung","krankenkassen","seehofer","krankenversicherung","patienten","pflegeversicherung","patienten","gesundheitswesen","krankenkassen","patienten","krankenversicherung","patienten","patienten","pflegeversicherung","pflegeversicherung","prävention","krankenversicherung","krankenversicherung","krankenkassen","patientenverfügung","pflege","patienten","krankenkassen","patienten","kopfpauschale","krankenversicherung","patienten","versorgung","patienten","patienten","pflege","patienten","pflege","versorgung","pflege","pflege","pflege","pflege","pflege","pflege","patienten","pflege","pflege","pflege","patienten","pflege"
"2","abgeordneten","abgeordneten","abgeordneten","bundesprüfstelle","trauung","evangelischen","zivilehe","evangelischen","verfassung","volk","verfassung","weimarer","kirche","karlsruhe","evangelischen","parteien","gutachten","notstand","gewerkschaften","alliierten","riegel","äusseren","heinemann","zimmer","alliierten","benda","parlament","parlament","parlaments","benda","guatemala","parlaments","eingaben","präferenz","parlament","staatssekretäre","schwöre","parlamentarischen","parlamentarischen","verfassungsminister","unfallort","goetheinstitut","urlaub","goetheinstitut","herr","see","beilage","einwilligungslösung","angestellten","weinwirtschaft","entwicklungsbank","grossstädte","universität","rechnungshof","of","of","la","la","esterwegen","mischfinanzierung","ärzte","versorgung","arzneimittel","kassenärztlichen","enquetekommission","heilpraktiker","versicherten","versicherten","versicherten","krankenkassen","krankenversicherung","ärzte","krankenversicherung","krankenversicherung","patienten","krankenversicherung","patienten","seehofer","krankenversicherung","seehofer","krankenversicherung","krankenversicherung","tod","krankenversicherung","patienten","patienten","krankenversicherung","gesundheit","gesundheitspolitik","patienten","patienten","krankenversicherung","krankenkassen","krankenversicherung","krankenversicherung","krankenversicherung","krankenkassen","krankenkassen","kolb","patienten","krankenversicherung","patienten","pflegeversicherung","krankenkassen","patienten","krankenversicherung","patienten","versicherten","pflege","patienten","praxisgebühr","praxisgebühr","patienten","versorgung","sterben","patienten","patienten","patienten","patienten","versorgung","pflegekräfte","patienten","organspende","patienten","patienten","patienten","pflege","pflegekräfte"
"3","geschäftsordnung","genehmigung","genehmigung","genehmigung","reichskonkordats","gewissen","ordnung","ordnung","volk","volksbefragung","barzel","grundgesetz","spenden","art","verfassung","bundesinnenminister","verfassung","notstandes","argoud","untersuchungsausschuss","marken","vorbehaltsrechte","schiff","bundesinnenminister","vorbehaltsrechte","parlamentarischen","verfassung","dorn","benda","staatssekretäre","parlaments","herr","parlament","parlaments","parlaments","offentlichkeit","herzlichen","schwarzarbeit","schwöre","deutschen","kontrollratsgesetz","ausrüstungshilfe","reisen","kulturpolitik","rechnungshofs","süddeutschen","schulbuchempfehlungen","schulbusverkehr","betriebsrat","versicherungsnehmer","bank","einzugsermächtigungsverfahren","zusatzfrage","rechnungsprüfungsausschuss","to","zahlen","et","lastwagen","de","krankenkassen","patienten","kranken","patienten","krankenkassen","gesundheitswesen","gesundheitswesen","gesundheitswesen","krankenkassen","gesundheitsreformgesetz","kranken","ambulanten","versorgung","bergmannpohl","kirschner","versicherten","gesundheit","versorgung","krankenversicherung","gesundheit","krankenversicherung","gesundheit","seehofer","seehofer","seehofer","krankenversicherung","zuzahlungen","pflegeversicherung","patienten","budgets","ärzte","krankenversicherung","versorgung","patienten","gesundheitswesen","krankenkassen","praxisgebühr","versicherten","patienten","zöller","krankenkassen","versicherten","versicherten","krankenkassen","unfallversicherung","krankenversicherung","patientenverfügung","krankenversicherung","patienten","versicherten","ärzte","organspende","patientinnen","versorgung","hebammen","sterbehilfe","menschen","versorgung","hebammen","versorgung","pflegeversicherung","krankenversicherung","versorgung","ärzte","versorgung","versorgung","versorgung","krankenhäuser","patienten"
"4","ausschuss","schreiben","strafverfahren","zollbeamten","eheschliessung","konkordat","eheschliessung","ehe","barzel","verfassung","ahlener","heuss","parteiengesetz","schröder","grundgesetz","grundgesetz","bundesminister","verfassung","niederlassungsrecht","untersuchungsausschusses","alliierten","rechtsausschuss","notstandsverfassung","räume","bundesinnenminister","hilfswerks","art","parlaments","gemeinsamen","parlament","spreti","parlament","jugendoffizier","parlament","wahl","parlament","helfe","rückwirkung","helfe","schwarzarbeit","unfallbeteiligter","goetheinstituts","reiseveranstalter","lattmann","joint","auswärtige","alternativempfehlungen","spendenbereitschaft","wertpapierfonds","transparenz","arbeitszeit","grossstädten","wehrsportgruppe","bundesrechnungshofes","and","einwände","les","wirtschaftspolitiken","la","höpfinger","krankenkassen","ärzte","krankenkassen","meldepflicht","strukturreform","ärzte","patienten","kranken","enquetekommission","versicherten","pflegebedürftigen","krankenkassen","staatssekretärin","bergmannpohl","gesundheitswesen","seehofer","gesundheit","bundesgesundheitsamt","krankenkassen","patienten","seehofer","versicherten","menschen","versicherten","krankenkassen","versicherten","krankenkassen","krankenkassen","ärzte","krankenkassen","versicherten","versicherten","gesundheitswesen","krankenhäuser","versorgung","patienten","krankenversicherung","versicherten","soziale","versicherten","gesundheitsreform","pflege","krankenversicherung","pflege","gesundheitsfonds","menschen","versicherten","krankenkassen","krankenkassen","krankenkassen","pflege","ärzte","patientinnen","pflege","menschen","ärzte","krankenhäuser","versorgung","krankenkassen","krankenversicherung","versorgung","ärzte","pflege","organspende","pflegekräfte","krankenhäuser","krankenhäusern","gesundheitswesen"
"5","ausschusses","strafverfahren","wahlprüfung","wahlprüfung","geistlichen","kirchen","obligatorischen","evangelische","volksbegehren","atomare","heuss","verfassung","heinemann","heinemann","art","grundgesetzes","grundgesetzes","äusseren","ausfuhr","diäten","bundestages","ablösung","verfassungsänderungen","notstandsverfassung","parlamentarischen","notstandsverfassung","alliierten","grundgesetz","bvs","parlamentarischen","botschafters","union","anstalt","wagenklasse","touristikunternehmen","wählerwillen","wahr","aussiedler","staatssekretäre","czaja","wirtschaftszone","sprache","wirtschaftszone","films","massentourismus","kulturpolitik","direktoriums","organentnahme","sprecherausschüssen","zinsgewinne","afeb","argentinien","reisebüros","rechnungshofes","our","dkp","le","reuter","erinnerung","krankenhausfinanzierung","arzneimitteln","kranker","arzt","arzt","meldepflicht","künstlersozialversicherung","selbstbeteiligung","aids","krankenkassen","blüm","krankenkasse","aids","selbstbeteiligung","versorgung","ärzte","versorgung","psychotherapie","arzneimittel","positivliste","ärzte","gesetzlichen","gesetzlichen","krankenkassen","gesundheit","versicherten","gesundheitswesen","gesundheitswesen","krankenversicherung","gesundheit","versorgung","gesundheitspolitik","gesundheitspolitik","gesetzlichen","krankenhäusern","gesundheitswesen","krankenkassen","zahnersatz","kassen","gesundheit","ärzte","reform","pflegeversicherung","versicherten","ärzte","versicherten","ärzte","rösler","gesetzlichen","krankenversicherung","versicherten","krankenkassen","krankenkassen","ärzte","krankenkassen","versorgung","gesundheit","menschen","altenpflege","versicherten","pflegekräfte","patienten","organspende","versorgung","krankenkassen","krankenkassen","krankenversicherung","versorgung","pflegebonus"
"6","berichterstatter","wahlprüfung","odenthal","beisitzer","heiligen","kriegsdienstverweigerung","trauung","mann","demokratie","metzger","juni","schröder","verfassung","grundgesetz","parteien","schäfer","ja","bundesinnenminister","gräber","bundesamt","kunstbeirat","höcherl","zweidrittelmehrheit","bundestages","notstandsverfassung","verfasser","benda","benda","verfassung","katastrophenschutzes","entführern","wirtschafts","exekutive","bardepotgesetz","europäischen","vertrauensfrage","glückwunsch","herr","wahr","amt","amt","arolsen","niederschlagswasser","zweigstellen","verhandlung","sachkundigen","autoren","platzzahlen","carterbonds","franken","grossbanken","notaren","schweden","gerster","that","not","que","erholung","dokumentations","krankenhäuser","bewährung","pharmaindustrie","krankenhäusern","versorgung","krankenversicherung","aids","krankenkassen","patienten","gesundheitsreform","krankenversicherung","erkrankungen","gesundheitswesen","gesundheitswesen","psychisch","krankenhaus","medizinischen","seehofer","horst","horst","arzneimittel","gesundheitswesen","kassen","patienten","gesetzlichen","gesundheitswesen","thomae","versorgung","gesundheitspolitik","versorgung","versicherten","versorgung","leistungen","krankenhäuser","arzneimittel","selbstverwaltung","gesetzlichen","gesetzlichen","krankenversicherung","leistungen","gesetzlichen","versorgung","menschen","leistungen","pflegeversicherung","versorgung","arzt","zusatzbeiträge","sozialausgleich","gesundheit","pflege","krankenversicherung","versicherten","gesundheit","gröhe","ärzte","pflege","patientinnen","krankenhäusern","pflegeversicherung","bürgerversicherung","pflegeversicherung","widerspruchslösung","widerspruchslösung","angehörigen","krankenhäusern","krankenhäusern","patientinnen","krankenhäusern"
"7","aufhebung","ausschuss","löhr","kläger","immunität","konkordats","katholischen","verfassung","volksbefragungen","innenminister","grundgesetz","geh","grundgesetzes","schäfer","arndt","exekutive","parteien","notparlament","pferden","abgeordneten","abgeordneten","grundgesetzes","schwaben","frehsee","lücke","bundesinnenminister","parlaments","innenminister","selbstschutz","verfassung","benda","stufenplans","peking","groben","europäische","schulz","gott","staatssekretärs","gott","hansen","adresse","somalia","see","abgeordneten","anfragen","störung","direktorium","schulbussen","verankerung","aufteilung","kontinent","informationstechnik","herr","bemerkungen","we","dafür","qui","raketen","dokumentation","strafaussetzung","arzt","strafaussetzung","gesundheitswesen","medizinischtechnischen","ärzte","behinderten","kranken","reform","arzneimittel","gesundheitsreformgesetz","pflegebedürftigkeit","bergmannpohl","krankenkassen","krankenkassen","krankenkassen","prävention","blut","medizinprodukte","gesetzlichen","krankenkassen","versicherten","gesundheitswesen","hirntod","gesundheitswesen","gesundheitspolitik","versorgung","versicherten","versorgung","krankenversicherung","gesundheitspolitik","gesetzlichen","kranken","versorgung","gesetzlichen","ärzte","kolb","leistungen","gesetzlichen","krankenkassen","praxisgebühr","wettbewerb","ärzte","kassen","menschen","kassen","versorgung","krankenkassen","rösler","pflegeversicherung","krankenversicherung","bahr","arzt","krankenhäuser","versicherten","angehörigen","arzt","ärzte","patientinnen","gröhe","krankenhäuser","altenpflege","spahn","spahn","patientinnen","krankenhäuser","patientinnen","sana","ärzte"
"8","herrn","justiz","dr","abgeordneten","genehmigung","gewissensentscheidung","kirchlichen","kirchen","grundgesetz","grundgesetz","misstrauensvotum","motiv","rechenschaftslegung","verfassung","grundgesetzes","art","erstattet","leber","nutz","untersuchung","vorstand","benda","grundordnung","hochhaus","notstandsgesetzgebung","grundgesetz","busse","gesetze","dorn","rutschke","graf","bericht","petent","viermächteabkommen","telegramm","bundestages","jugendstrafvollzugs","mogelpackungen","bundestages","ostdeutschen","beschliessen","reichstagsgebäude","tourismuspolitik","hoffmann","reiseveranstalter","mittlerorganisationen","rommerskirchen","transplantate","gruppenantrag","dr","weltbank","linie","wissenschaftlich","rechnungshofs","is","sofort","en","divergenzen","lager","bewährung","gesundheitswesen","arzt","praktikum","krankenversicherung","medizinischen","kranken","strukturreform","versorgung","zwischenbericht","patienten","stationären","staatssekretärin","sabine","gesundheit","versorgung","gesetzlichen","psychisch","patienten","versicherten","gesundheit","tod","gesundheit","versicherten","patienten","zahnersatz","krankenkassen","patientinnen","gesundheitswesen","krankenkassen","krankenversicherung","ärzte","seehofer","leistungen","krankenkassen","gesundheitsreform","pflege","ärzte","beiträge","gesetzlichen","versorgung","kassen","reform","menschen","versicherten","krankenhäuser","medizinische","sozialausgleich","lauterbach","patientinnen","patientinnen","versicherten","krankenversicherung","pflegeversicherung","qualität","patienten","prävention","krankenhäusern","ärzte","menschen","versicherten","krankenhäusern","versicherten","pflegeversicherung","spahn","patientinnen","gesundheitswesen","ärzte","ärztinnen"
"9","schreiben","herrn","ausschusses","dr","schreiben","reichskonkordat","geistlichen","entscheidung","april","kirche","volk","partei","art","grundgesetzes","exekutive","politische","gerücht","art","häuser","telefon","schneider","notstand","gesetze","raumkommission","staatssekretäre","frage","innern","busse","parlamentarismus","innern","dorn","bundesminister","petentin","instrument","gebuchten","wählerwillens","bundesminister","handelsvertreter","eid","ombudsmannes","schwedische","polen","hotel","reisen","urlaub","behebung","parlament","integrität","leitende","risikoüberschüsse","unterrichtung","bank","ganze","bundesrechnungshofs","it","bonn","dans","mais","emslandlager","krankenhaus","strafaussetzung","patienten","jaunich","selbstverwaltung","grenzschutzdirektion","wilmskegel","festbeträge","gesundheitswesen","gesundheitswesen","arzneimittel","krankheiten","patienten","hasselfeldt","versicherten","gesetzlichen","ärzte","krankenversicherung","lahnstein","patienten","lohmann","ärzte","versorgung","gesundheitswesen","prävention","gesundheit","lohmann","gesetzlichen","arzneimittel","leistungen","qualität","ministerin","prävention","schmidt","leistungen","gesetzlichen","seehofer","krankenhäuser","versorgung","beiträge","gesundheit","gesetzlichen","krankenkassen","versorgung","berufsgenossenschaften","cannabis","befruchtung","lauterbach","pharmaindustrie","ärzte","gesundheitswesen","patientinnen","pflege","prävention","patientinnen","suizid","sterben","gröhe","gesundheit","pflegekräfte","patienten","ärzte","pflegekräfte","vergütung","widerspruchslösung","gesundheitswesen","krankenkassen","kliniken","menschen"
"10","dr","amnestiegesetzes","aufhebung","roten","ziebell","katholischen","ehe","schwarzhaupt","heinemann","evangelischen","grundgesetzes","bundesverfassungsgericht","partei","bundesverfassungsgericht","evangelische","papier","kirche","vollmachten","bilde","aufwandsentschädigung","marke","art","demokratie","verwaltung","benda","demokratischen","notstandsgesetzgebung","art","verteidigungsfall","stimmzettel","kontakt","parlamentarischen","versorgungsanstalt","vorbereitung","reisebedingungen","jahn","leisten","häuser","bundespräsident","zusatzfrage","militärattaché","sprachunterricht","narjes","künstlerischen","staatsminister","botschaften","menzel","verstorbenen","thesen","betriebsräten","gleitenden","gefahr","parl","normal","peace","erlauben","nous","wehrsoldes","informationszentrum","ärzte","krankenhaus","bewährung","aktion","grossgeräte","wilmskegel","gesundheit","aids","gesundheitsreformgesetz","patienten","reform","hoffacker","krankenversicherung","gesundheitsreformgesetz","gesetzlichen","gesundheit","pflege","medizinischen","institute","gesundheitswesen","versorgung","organentnahme","arzneimittel","medizinischen","gesundheitspolitik","ärzte","gesundheitspolitik","gesundheit","psychotherapeuten","gesundheitswesen","ministerin","risikostrukturausgleich","gesundheitswesen","seehofer","versorgung","chronisch","gesundheit","kopfpauschale","gesundheit","gesundheitsreform","gesundheitswesen","gesundheitswesen","krankheit","prävention","patientenverfügung","ärzte","versicherten","gesundheitswesen","kopfpauschale","versorgung","gesundheitspolitik","ärzte","gesundheitswesen","menschen","gesundheit","leben","krankenkassen","gesundheitswesen","pflegekräfte","forschung","krankenhäusern","gesetzlichen","altenpflege","ärztinnen","pflegeversicherung","spahn","spahn","suizid","pflegenden"
