"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","sagen","ja","ja","ja","sagen","ja","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","heute","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","herr","sagen","herr","herr","herr","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","herr","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen"
"2","ja","sagen","sagen","sagen","ja","sagen","ja","ja","dinge","ja","ganz","gesagt","ganz","gesagt","ja","ja","gesagt","müssen","ganz","ganz","gesagt","ja","gesagt","gesagt","gesagt","gesagt","ganz","ganz","ganz","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","sagen","gesagt","heute","gesagt","gesagt","gesagt","gesagt","ja","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","herr","gesagt","ja","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","herr","gesagt","gesagt","gesagt","herr","herr","gesagt","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","sagen","herr","sagen","sagen","sagen","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","sagen","herr","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","ja","ja","mal","mal","mal","mal","mal"
"3","dinge","dinge","ganz","dinge","dinge","dinge","dinge","dinge","ja","dinge","ja","gar","gar","ganz","ganz","müssen","ja","ganz","gesagt","gesagt","ganz","ganz","ganz","heute","ganz","ganz","gesagt","gesagt","heute","heute","heute","heute","heute","heute","heute","ja","heute","ja","heute","ja","herren","heute","gesagt","ja","ja","ja","ja","ganz","ja","ja","ja","ganz","ja","ja","ja","sage","heute","ganz","heute","heute","herr","heute","herr","gesagt","eigentlich","gesagt","herr","ja","ja","ja","herr","herr","herr","gesagt","herr","herr","herr","gesagt","gesagt","herr","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","herr","herr","herr","herr","herr","herr","ja","mal","mal","ja","ja","ja","ja","ja"
"4","glaube","ganz","vielleicht","ganz","ganz","glaube","ganz","glaube","gesagt","ganz","gesagt","ganz","gesagt","ja","gar","gesagt","ganz","gesagt","müssen","heute","heute","gesagt","ja","ganz","ja","heute","ja","heute","gesagt","ganz","ganz","ganz","debatte","ja","ja","gesagt","ja","gesagt","ganz","ganz","ja","ja","heute","heute","heute","heute","ganz","ja","heute","ganz","ganz","heute","gar","reden","ganz","ganz","ja","heute","ganz","herr","schon","herr","heute","eigentlich","herr","herr","eigentlich","herr","herr","herr","ja","ja","ja","ja","ja","ja","ja","ja","ja","ja","ganz","tun","reden","tun","sage","ganz","reden","reden","müssen","müssen","hätten","wirklich","schon","schon","schon","müssen","müssen","eigentlich","wirklich","tun","tun","tun","immer","tun","immer","frau","frau","frau","frau","kollege","kollege","ganz","kollege","ganz","ganz","ja","ja","ja","ja","wirklich","eigentlich","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt"
"5","heute","vielleicht","dinge","vielleicht","vielleicht","ganz","gar","ganz","müssen","glaube","dinge","dinge","heute","gar","gesagt","ganz","gar","ja","möchte","ja","müssen","heute","gar","ja","möchte","ja","heute","ja","möchte","ja","ja","ja","glaube","ganz","herren","gar","immer","herren","gar","heute","damen","herren","damen","herr","ganz","opposition","herr","heute","immer","gar","gar","tun","heute","ganz","möchte","gar","reden","gar","schon","reden","reden","eigentlich","eigentlich","ja","ja","eigentlich","ja","eigentlich","sage","wirklich","wirklich","ganz","wirklich","wirklich","wirklich","ganz","sage","sage","sage","ganz","reden","sage","sage","ganz","reden","tun","ganz","tun","ganz","schon","müssen","schon","wirklich","müssen","müssen","hätten","herrn","reden","herrn","hätten","müssen","geht","reden","müssen","schon","finde","schon","kollege","geht","ganz","tun","kollege","ganz","finde","frau","ganz","wirklich","ganz","schon","ja","herr","herr","eigentlich","reden","glaube","glaube","glaube","antrag"
"6","müssen","glaube","schon","schon","gesagt","gar","gesagt","gesagt","immer","gesagt","gar","ja","dinge","dinge","dinge","gar","müssen","dinge","heute","möchte","möchte","dinge","möchte","müssen","müssen","möchte","glaube","möchte","ja","herren","gar","gar","herren","herren","ganz","regierung","ganz","damen","ja","immer","heute","damen","herren","opposition","herren","ganz","immer","eigentlich","ganz","heute","reden","ja","opposition","heute","heute","möchte","schon","sage","ja","schon","heute","schon","schon","heute","reden","reden","sage","sage","ganz","ganz","überhaupt","wirklich","ganz","sage","ganz","wirklich","wirklich","wirklich","ganz","sage","müssen","müssen","ganz","sage","tun","immer","tun","müssen","ja","wirklich","reden","müssen","sage","reden","hätten","reden","schon","ganz","sei","ganz","eigentlich","reden","ja","immer","kollege","kollege","tun","tun","tun","frau","ganz","tun","frau","sage","ja","finde","ganz","wirklich","tun","ganz","wirklich","eigentlich","herr","herr","schon","eigentlich","reden","herr"
"7","schon","gar","müssen","müssen","müssen","vielleicht","müssen","immer","glaube","heute","immer","müssen","immer","immer","müssen","wissen","heute","gar","ja","müssen","gar","möchte","heute","möchte","heute","müssen","gar","glaube","glaube","möchte","glaube","müssen","reden","dinge","gar","immer","gar","gar","damen","herren","ganz","ganz","opposition","ganz","herr","herr","heute","immer","gar","immer","müssen","wirklich","tun","möchte","reden","ja","müssen","wirklich","reden","wirklich","ganz","ja","ja","sage","sage","sage","reden","ganz","eigentlich","eigentlich","eigentlich","sage","sage","eigentlich","eigentlich","tun","tun","ganz","geht","tun","tun","ganz","tun","ja","ganz","wirklich","wirklich","ganz","hätten","ja","wirklich","hätten","tun","herrn","herrn","tun","tun","heute","merkel","schon","immer","immer","eigentlich","ganz","eigentlich","hätten","sage","schon","ganz","sage","frau","frau","damen","tun","wirklich","wirklich","finde","finde","glaube","schon","hätten","finde","reden","eigentlich","herr","finde","eigentlich","glaube"
"8","gar","wirklich","gar","gar","gar","schon","glaube","gar","gar","müssen","müssen","heute","ja","müssen","immer","möchte","dinge","möchte","vielleicht","dinge","ja","gar","müssen","dinge","glaube","dinge","möchte","müssen","gar","debatte","müssen","dinge","ja","gar","debatte","ganz","herren","ganz","herren","gar","opposition","immer","eigentlich","herren","eigentlich","immer","reden","herr","eigentlich","tun","sei","eigentlich","sage","tun","schon","schon","ganz","natürlich","eigentlich","eigentlich","eigentlich","reden","reden","ganz","überhaupt","ganz","ganz","wirklich","wirklich","sage","ganz","eigentlich","eigentlich","ganz","sage","müssen","ganz","geht","tun","wirklich","ja","immer","überhaupt","reden","deswegen","hätten","ja","ja","tun","ganz","ja","gar","bundeskanzler","tun","reden","herrn","ganz","hätten","sage","reden","ganz","hätten","gar","ja","tun","sage","eigentlich","wirklich","kollege","schon","geht","ja","sage","ja","glaube","geht","glaube","eigentlich","finde","immer","vielleicht","schon","thema","wirklich","eigentlich","schon","wirklich","eigentlich"
"9","vielleicht","wissen","gesagt","glaube","wirklich","müssen","schon","heute","ganz","vielleicht","glaube","glaube","glaube","heute","glaube","heute","wissen","heute","gar","glaube","dinge","müssen","dinge","sage","gar","herren","müssen","vielleicht","mehr","glaube","immer","glaube","müssen","debatte","müssen","mehr","reden","wissen","immer","opposition","eigentlich","gar","tun","eigentlich","immer","eigentlich","eigentlich","gar","reden","eigentlich","immer","immer","eigentlich","immer","natürlich","heute","sage","ja","herr","ganz","ja","wirklich","wirklich","reden","natürlich","wirklich","wirklich","reden","immer","immer","sage","reden","schon","reden","tun","schon","reden","reden","wirklich","müssen","wirklich","wirklich","müssen","müssen","schröder","schon","gar","herrn","reden","tun","tun","reden","reden","hätten","sage","darüber","gemacht","wirklich","politik","eigentlich","hätten","eigentlich","thema","eigentlich","wirklich","tun","kollege","eigentlich","eigentlich","geht","schon","sage","kollegen","schon","finde","glaube","eigentlich","schon","ganz","glaube","reden","reden","glaube","schon","reden","antrag","vielleicht","schon"
"10","ganz","schon","immer","gesagt","glaube","gesagt","heute","wissen","vielleicht","gar","wissen","wissen","schon","glaube","natürlich","mehr","schon","glaube","immer","immer","immer","tun","debatte","glaube","dinge","glaube","herren","eigentlich","immer","müssen","dinge","herren","eigentlich","müssen","damals","vielleicht","eigentlich","immer","eigentlich","damen","immer","opposition","immer","immer","sei","tun","gar","sei","schon","herr","schon","herr","ganz","vielleicht","sage","kollegen","punkt","sollten","sage","sage","damen","mehr","ganz","tun","heute","überhaupt","überhaupt","schon","finde","natürlich","hätten","immer","tun","tun","reden","eigentlich","müssen","immer","schon","reden","sage","ja","ja","wirklich","ja","sage","geht","sage","wirklich","gar","schon","ganz","herrn","wirklich","wirklich","schon","ja","herrn","hätten","sage","schon","schon","ganz","finde","hätten","ganz","hätten","hätten","schon","wirklich","glaube","wirklich","ja","glaube","schon","schon","schon","glaube","eigentlich","eigentlich","thema","gar","schon","ganz","wirklich","bisschen","schon","thema"
