"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","zwischenfrage","herr","herr","herr","herr","herr","abgeordneten","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","kollege","kollege","wort","wort","wort","wort","erteile","erteile","erteile","erteile","erteile","erteile","wort","erteile","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","wahlrecht","kollege","ehe","kollege","ehe","ehe","demokratie","ehe","ehe","demokratie","ehe","grundgesetz","wahlrecht","wahlkreise","demokratie","grundgesetz","bundestag"
"2","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","bundeskanzler","bundeskanzler","kollege","kollege","kollege","kollege","kollege","schloss","kollege","kollege","bundespost","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","bundeskanzler","kollege","kollege","kollege","kollege","kollege","kollege","kollege","zwischenfrage","zwischenfrage","zwischenfrage","kohl","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","israel","zwischenfrage","zwischenfrage","zwischenfrage","abgeordneter","zwischenfrage","plenarsaal","zwischenfrage","herr","zwischenfrage","abgeordneter","zwischenfrage","zwischenfrage","abgeordneten","herr","vizepräsident","bohl","vizepräsident","vizepräsident","vizepräsident","kollege","kollege","kollege","kollege","kollege","zwischenfrage","kollege","herr","zwischenfrage","kollege","erteile","erteile","erteile","kirch","wort","wort","wort","wort","wort","erteile","wort","wort","wort","vizepräsidentin","wort","wort","vizepräsidentin","vizepräsidentin","wort","bitte","wahlrecht","redner","wort","kollege","ehe","kollege","lebenspartnerschaften","paare","parteien","ehe","kollege","npd","npd","parteien","demokratie","parteien","wahlrecht","bundestag","demokratie","demokratie"
"3","herrn","herrn","herrn","gesagt","gesagt","gesagt","gesagt","herrn","gesagt","gesagt","herrn","gesagt","herrn","bundeskanzler","gesagt","damen","herrn","herren","herrn","kollege","bundespost","erler","bundespost","wehner","opposition","bundeskanzler","opposition","schmidt","zwischenfrage","strauss","bundeskanzler","zwischenfrage","bundeskanzler","zwischenfrage","bundeskanzler","kollege","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","bundeskanzler","zwischenfrage","zwischenfrage","gestatten","gestatten","gestatten","zwischenfrage","kohl","gestatten","gestatten","gestatten","gestatten","gestatten","gestatten","gestatten","kollege","abgeordneter","geissler","zwischenfrage","abgeordneten","abgeordneter","abgeordneter","zwischenfrage","abgeordneter","abgeordneter","abgeordneter","abgeordneter","abgeordneter","zwischenfrage","abgeordneter","abgeordneten","zwischenfrage","vizepräsident","bitte","kollege","kollege","kollege","kollege","vizepräsident","vizepräsident","vizepräsident","zwischenfrage","vizepräsident","kollege","zwischenfrage","zwischenfrage","wort","erteile","kollegen","kollegen","kollegen","wort","kollegen","kollegen","kollegen","kollegin","kollegin","kollegin","kollegin","kollegin","vizepräsidentin","bitte","vizepräsidentin","kollegin","kollegin","redner","bitte","wort","überhangmandate","bitte","vizepräsident","ehe","beck","geschäftsordnung","redner","kollege","kollege","wort","wort","parteien","grundgesetz","grundgesetz","grundgesetzes","demokratie","abgeordneten","grundgesetz","bundestag","abgeordneten"
"4","gesagt","gesagt","gesagt","herrn","herrn","herrn","herrn","gesagt","herrn","kollege","kollege","herrn","bundeskanzler","dr","herrn","herren","kollege","damen","herren","erler","erler","schäfer","erler","damen","bundeskanzler","debatte","zwischenfrage","koalition","bundeskanzler","herrn","zwischenfrage","bundeskanzler","zwischenfrage","gestatten","barzel","barzel","bundeskanzler","gestatten","gestatten","gestatten","zwischenfrage","bundeskanzler","herrn","kohl","kohl","kollege","herrn","gestatten","abgeordneter","strauss","abgeordneter","kollege","kollege","kollege","abgeordneter","herrn","gestatten","auschwitz","abgeordneter","abgeordneter","gestatten","gestatten","gestatten","gestatten","zwischenfrage","gestatten","gestatten","vizepräsident","abgeordneten","gestatten","geschäftsordnung","vizepräsident","bitte","zwischenfrage","vizepräsident","bitte","zwischenfrage","bitte","bitte","abgeordneten","bitte","vizepräsident","zwischenfrage","vizepräsident","bitte","kollegen","kollegen","otto","kollege","kollegin","kollegin","kollegin","kollegin","zwischenfrage","kollegin","vizepräsident","kollegen","dr","vizepräsident","dr","kollegin","wort","kollegin","vizepräsidentin","wort","wort","herr","redner","bitte","vizepräsident","bitte","wort","lebenspartnerschaften","redner","demokratie","beck","wort","erhält","erhält","demokratie","grundgesetzes","stiftungen","verfassung","wahlkreise","demokratie","abgeordneten","artikel","grundgesetz"
"5","sagen","sagen","sagen","bundeskanzler","bundeskanzler","bundeskanzler","herren","bundeskanzler","dr","herrn","gesagt","dr","gesagt","herrn","herren","rede","herren","herrn","zwischenfrage","gebührenerhöhung","damen","herren","bundeskanzler","zwischenfrage","herren","zwischenfrage","herrn","herrn","herrn","zwischenfrage","herrn","gestatten","herrn","herrn","zwischenfrage","herrn","barzel","wehner","bundeskanzler","carstens","gestatten","gestatten","gestatten","kollege","kollege","kohl","gestatten","herrn","herrn","abgeordneten","herrn","vizepräsident","abgeordneter","abgeordneter","bitte","dr","kollege","kollege","bitte","gestatten","bitte","bitte","bitte","abgeordneten","gestatten","bitte","abgeordneten","bitte","vizepräsident","vizepräsident","bitte","bitte","zwischenfrage","geschäftsordnung","zwischenfrage","zwischenfrage","bitte","zwischenfrage","zwischenfrage","bitte","kurzintervention","bitte","bitte","bitte","kollegin","bitte","kollegin","kollegen","zwischenfrage","solms","zwischenfrage","kollegen","kollege","kollege","kollege","kollegen","dr","kollegen","dr","vizepräsidentin","bitte","kollegin","bitte","dr","zwischenfrage","kollegin","vizepräsidentin","vizepräsidentin","wort","wort","erhält","beck","demokratie","abgeordneten","ehe","bundesverfassungsgericht","erhält","kollege","redner","partei","enquetekommission","artikel","artikel","grundgesetz","bundesverfassungsgericht","parteien","parteien","wahl"
"6","dr","kollegen","kollegen","dr","herren","dr","dr","herren","bundeskanzler","partei","dr","damen","herren","gesagt","damen","herrn","güde","gesagt","erler","herren","zwischenfrage","kollegen","schiller","bundeskanzler","zwischenfrage","opposition","bundeskanzler","bundeskanzler","gestatten","bundeskanzler","gestatten","herrn","gestatten","bundeskanzler","wehner","strauss","gestatten","herrn","carstens","bundeskanzler","herrn","herrn","carstens","bundeskanzler","herrn","abgeordneten","kollege","kollege","kollege","herrn","abgeordneten","bitte","vizepräsident","herrn","kollege","gestatten","ehmke","bundesminister","saudiarabien","kollege","abgeordneten","abgeordneten","flick","bitte","bitte","untersuchungsausschuss","vizepräsident","minuten","bitte","abgeordneten","abgeordneter","geschäftsordnung","abgeordneter","redezeit","bundesminister","dieterjulius","gestatten","cronenberg","gestatten","zwischenfrage","zwischenfrage","überhangmandate","hansulrich","gestatten","gestatten","gestatten","herr","kollegin","otto","hermann","kollege","zwischenfrage","zwischenfrage","kollegin","dr","dr","kollege","vizepräsident","kollegen","bitte","göringeckardt","göringeckardt","dr","bitte","bitte","zwischenfrage","kollegin","herr","herr","überhangmandate","herr","bundesverfassungsgericht","gleichstellung","wahl","wort","lesben","redner","grundgesetz","sponsoring","bundesverfassungsgericht","bundesverfassungsgericht","demokratie","wahlrecht","grundgesetzes","bundestag","artikel","grundgesetzes","mehrheit"
"7","herren","herren","herren","herren","kollegen","herren","sagen","dr","rede","minister","herren","herren","erler","zwischenfrage","zwischenfrage","kollegen","jahn","zwischenfrage","wehner","damen","post","zwischenfrage","zwischenfrage","schiller","kollegen","kollegen","damen","zwischenfrage","kollegen","gestatten","strauss","dr","strauss","strauss","regierung","zwischenfrage","herrn","carstens","herrn","herrn","carstens","carstens","bundeskanzler","herrn","abgeordneter","herrn","bundeskanzler","abgeordneter","strauss","abgeordneter","kollege","herrn","herrn","bitte","herrn","bundesminister","vizepräsident","pazifismus","kollege","bitte","redezeit","vizepräsident","abgeordneten","kollege","abgeordneten","abgeordneten","bitte","gestatten","gestatten","bitte","vizepräsident","gestatten","cronenberg","kollege","bitte","cronenberg","cronenberg","dieterjulius","klein","kollegen","hans","gestatten","gestatten","abgeordneten","vizepräsident","wort","solms","solms","solms","kollege","otto","otto","spdfraktion","gestatten","vizepräsident","kollege","vizepräsident","kollege","kollege","erteile","dr","dr","herr","herr","dr","herr","erhält","zwischenfrage","vizepräsident","wahlrecht","redner","vizepräsident","staatsleistungen","bundesverfassungsgericht","bundesverfassungsgerichts","lebenspartnerschaften","spenden","cducsufraktion","nächste","ehen","direkte","bundesverfassungsgericht","bundesverfassungsgericht","artikel","bundestages","abgeordnete","abgeordneten","impfpflicht"
"8","ja","dr","dr","kollegen","damen","sagen","bundeskanzler","kollegen","herren","sagen","adenauer","kollegen","damen","damen","dr","gesagt","minister","präsident","damen","schäfer","gesagt","damen","gesagt","herren","koalition","schmidt","schmidt","mischnick","regierung","kollegen","gesagt","strauss","regierung","dr","herrn","spd","wehner","bundeskanzler","wehner","strauss","wehner","kohl","abgeordneten","abgeordneten","strauss","abgeordneter","abgeordneten","bundeskanzler","wehner","kollege","bitte","abgeordneter","abgeordneten","vizepräsident","abgeordneten","bitte","bitte","dr","abgeordneten","erlauben","kollege","kollege","redezeit","vizepräsident","vizepräsident","vizepräsident","redezeit","redezeit","redezeit","geschäftsordnung","gestatten","abgeordneter","abgeordnete","cronenberg","abgeordneten","gestatten","abgeordneten","gestatten","hans","gestatten","klein","klein","klose","wahlkreise","kurzintervention","kollegin","bitte","zwischenfrage","kollegin","vizepräsident","hermann","kollege","gestatten","otto","zwischenfrage","bitte","zwischenfrage","bitte","gmbh","herr","herr","kastner","zwischenfrage","zwischenfrage","redner","bitte","spenden","solms","redner","herr","cducsufraktion","redner","parteien","minderheitenrechte","richter","karenzzeit","nächste","spdfraktion","diskriminierung","grundgesetz","partei","grundgesetzes","wahl","bundestag","wahl","wahlrecht","grundrechte","parlament"
"9","möchte","ja","ausführungen","sagen","dr","kollegen","kollegen","sagen","sagen","dr","erler","bundeskanzler","kollegen","herren","rede","zwischenfrage","gesagt","dr","gesagt","post","herren","barzel","debatte","debatte","damen","herrn","gestatten","opposition","schmidt","barzel","kollegen","kollegen","gesagt","regierung","gestern","herren","strauss","dr","kollegen","wehner","kollegen","strauss","strauss","abgeordneter","abgeordneten","strauss","abgeordneter","abgeordneten","bundeskanzler","josef","posser","abgeordneten","bitte","abgeordneten","vizepräsident","abgeordneter","herrn","herrn","gestatten","bundesminister","vizepräsident","boenisch","vizepräsident","untersuchungsausschuss","plenarsaals","kollege","cronenberg","abgeordneten","cronenberg","redezeit","redezeit","bündnis","bündnis","abgeordneten","gestatten","abgeordneten","dieterjulius","dr","dr","kurzintervention","hansulrich","kollegen","kollegin","kurzintervention","vizepräsidentin","vizepräsidentin","vizepräsident","herr","hermann","otto","vizepräsidentin","hermann","solms","solms","gestatten","hermann","gestatten","solms","lammert","zwischenfrage","katrin","susanne","schön","erhält","herr","wahlrecht","redner","otto","stimmgewicht","schön","zwischenfrage","herr","spenden","grundgesetz","gleichstellung","diskriminierung","gleichstellung","nächste","parteien","grundgesetzes","parteien","parteienfinanzierung","parteien","verfassung","parteien","parlament","verfassung","geschäftsordnung"
"10","kollegen","minister","ja","ja","ausführungen","damen","ausführungen","damen","damen","herren","damen","gesprochen","dr","arndt","kollegen","sagen","damen","hauses","sache","schmittvockenhausen","kollegen","sagen","herren","dr","gesagt","gesagt","dorn","gestatten","opposition","regierung","regierung","gesagt","dr","gesagt","gesagt","damen","kollegen","strauss","abgeordneten","dr","barzel","abgeordneten","kohl","strauss","wehner","bitte","strauss","wehner","bitte","franz","wehner","schmidt","strauss","riedl","kreile","ehmke","bundesminister","abgeordneten","arabischen","vizepräsident","abgelaufen","herrn","untersuchungsausschuss","redezeit","sitzordnung","redezeit","untersuchungsausschuss","geschäftsordnung","stücklen","kollege","jahn","grüne","bundestages","abgeordneter","dieterjulius","abgeordneter","klein","kollegen","kollegen","hirsch","gestatten","dr","frau","hansulrich","frau","solms","erteile","hermann","bitte","zwischenfrage","bitte","vizepräsidentin","hermann","dr","csufraktion","schön","lammert","zwischenfrage","norbert","otto","schön","redner","redner","redner","susanne","dr","zwischenfrage","hermann","dr","zwischenfrage","kollegin","bitte","vizepräsident","beck","bundesverfassungsgericht","lebenspartnerschaft","vizepräsidentin","redner","cdu","rehabilitierung","artikel","gesetzentwurf","grundrechte","bundesverfassungsgericht","bundestagswahl","bundestages","bundesverfassungsgericht","afd"
