"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","beamten","dienst","angestellten","personalrat","beamten","mitbestimmung","atzenroth","sonntag","stiftung","unternehmen","privatisierung","konzentration","niedersachsen","unternehmen","arbeitnehmer","unternehmen","berufsausbildung","unternehmen","urheber","berufsausbildung","standesbeamten","urheber","mittelfristige","berufsausbildung","berufsausbildung","bundesanstalt","entwicklungshelfer","the","bundesanstalt","bundesanstalt","bundesanstalt","bundesanstalt","unfallverhütung","bundesanstalt","bundesanstalt","granitindustrie","preisbindung","arbeitssicherheit","mitbestimmung","arbeitnehmer","arbeitnehmer","mitbestimmung","mittelstandspolitik","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","stahlindustrie","unternehmen","stahlindustrie","stahlindustrie","saarland","nordrheinwestfalen","nordrheinwestfalen","nordrheinwestfalen","landesregierung","kohle","kohle","rheinhausen","kohle","kohle","nordrheinwestfalen","saarland","steinkohle","steinkohle","werften","stahlindustrie","stahlindustrie","braunkohle","eko","energien","raumfahrtindustrie","energien","energien","energien","energien","wettbewerb","metro","stadtwerke","bundesdruckerei","liberalisierung","post","post","wettbewerb","ladenöffnungszeiten","post","verbraucher","wettbewerb","sparkassen","wettbewerb","öpp","flugsicherung","wettbewerb","telekom","wettbewerb","wettbewerb","verbraucher","wettbewerb","verbraucher","verbraucher","netzneutralität","internet","verbraucher","verbraucher","netzneutralität","digitale","digitalen","daten","digitalen","daten","verbraucher","daten","digitalisierung","verbraucher","daten","daten","daten","daten","daten","digitale"
"2","öffentlichen","öffentlichen","angestellte","öffentlichen","angestellten","aufsichtsrat","einzelhandel","arbeitszeit","volkswagenwerk","aktien","aktien","unternehmen","privatisierung","eigentum","vermögensbildung","aktionär","unternehmen","gesellschaften","urheberrecht","gewerbeordnung","berufsausbildung","urheberrecht","finanzplanung","berufsforschung","beruflichen","fortbildung","bundesanstalt","bundesanstalt","berufsausbildung","arbeit","beruflichen","beruflichen","bundesanstalt","arbeit","beruflichen","bundesanstalt","unternehmen","unternehmen","arbeitnehmer","mitbestimmung","aufsichtsrat","arbeitnehmer","unternehmen","hauser","mittelstand","vermögensbildung","zonenrandgebiet","wettbewerb","bürgschaft","pieroth","hauser","kleinen","stahlindustrie","welttextilabkommen","stahlindustrie","unternehmen","grundig","werften","wolfram","bremen","ruhrgebiet","hessen","montanmitbestimmung","kohle","stahlindustrie","rheinhausen","nordrheinwestfalen","nordrheinwestfalen","nordrheinwestfalen","stiftung","ministerpräsident","energiepolitik","region","möllemann","energieversorgung","bischofferode","steinkohle","steinkohle","stromeinspeisungsgesetz","dasa","energieträger","stromeinspeisungsgesetz","strom","wettbewerb","fusionskontrolle","divag","strom","wettbewerb","ladenschluss","zugabeverordnung","ag","markt","einzelhandel","verbraucher","wettbewerb","kunden","wettbewerb","regulierungsbehörde","partnerschaften","ministererlaubnis","bundesnetzagentur","wettbewerb","post","bundesnetzagentur","wettbewerb","post","wettbewerb","post","verbraucher","verbraucher","internet","leistungsschutzrecht","internet","digitalen","verbraucher","itsicherheit","verbraucher","urheber","daten","digitalen","digitale","datenschutzgrundverordnung","uploadfilter","internet","app","digitalen","digitalen","digitalen"
"3","beamte","beamten","dienst","dienststelle","gewerkschaften","mitbestimmungsgesetz","industrie","stunden","aktien","unternehmungen","unternehmungen","aktien","volkswagenwerk","aktionäre","unternehmen","aktionäre","mittelständischen","aktien","urheberrechts","berufsausbildungsgesetz","künstlern","urhebers","finanzgerichtsordnung","bundesanstalt","fortbildung","beruflichen","übersee","of","beruflichen","arbeitnehmer","ausbildung","arbeit","arbeit","unternehmen","ausbildung","berufliche","wettbewerb","betriebsärzte","unternehmen","unternehmen","vw","unternehmen","arbeitnehmer","landeslisten","mittleren","zonenrandgebiet","wettbewerb","tankstellen","wettbewerb","vermögensbildung","mittelstand","mittleren","wettbewerb","wettbewerb","wettbewerb","saar","thomsonbrandt","bremen","unternehmen","stahlindustrie","olympischen","landesregierung","landesregierung","cattenom","montanmitbestimmung","nordrheinwestfalen","ruhrgebiet","ruhrgebiet","steinkohle","saarland","energieversorgung","möllemann","wilhelmshaven","verbundlösung","braunkohle","kali","kernenergie","eisenhüttenstadt","kernenergie","luft","photovoltaik","kohle","wettbewerb","strom","gwb","energien","wettbewerb","liberalisierung","volksfeste","wettbewerb","wettbewerb","register","post","uhr","reparaturklausel","regulierungsbehörde","regulierungsbehörde","verbraucher","hedgefonds","wettbewerb","markt","markt","preise","telekom","verbraucherinnen","akkreditierungsstelle","post","frequenzen","wettbewerb","medienkompetenz","verbraucherinnen","internet","verbraucher","internet","digitale","digitalen","daten","verbraucher","digitalen","digitale","facebook","daten","digitalen","digitalisierung","digitale","plattformen","digitale","digitalisierung"
"4","gesetz","angestellten","beamten","bediensteten","öffentlichen","beamten","handelskammern","arbeitswoche","eigentum","bundesschatzminister","unternehmen","gesellschaft","eigentum","volksaktie","burgbacher","deist","berufsausbildungsgesetz","kapitalgesellschaften","rechte","entwurf","bildenden","werke","kuponsteuer","handwerk","werke","arbeitsmarkt","berufliche","and","arbeitnehmer","arbeitskräfte","arbeit","berufliche","unfälle","rohde","arbeit","bildung","verbraucher","verbraucher","aufsichtsrat","betriebsärzte","unternehmen","gewerkschaften","mittelstand","mittelständischen","kleinen","investitionszulage","investitionszulage","betriebe","treuarbeit","selbständigen","wirtschaft","unternehmer","preise","textil","grüner","hoffmann","stahlindustrie","unternehmen","arbedsaarstahl","unternehmen","spiele","arbeitsplätze","jochimsen","werften","arbeitsplätze","stahlindustrie","landesregierung","stahlindustrie","saarland","salzgitter","vergütung","kohle","möllemann","belegschaft","region","textilindustrie","energiepolitik","textil","energiepolitik","raumfahrt","nutzung","windenergie","energieversorgung","uldall","jens","strom","kraftwärmekopplung","energien","einzelhandel","rabattgesetz","internet","schauerte","uhr","unternehmen","regulierung","girokonto","schleswigholstein","zeitungen","wettbewerb","basel","regulierung","entflechtung","verbraucher","netze","post","verbraucher","unternehmen","wettbewerb","internet","geldwäsche","waffen","verbraucherinnen","telekom","verbraucher","internet","bsi","verwertungsgesellschaften","internet","internet","verbraucher","digitalen","digitale","meinungsfreiheit","digitalen","digitalisierung","digitale","digitalisierung","internet"
"5","dienst","dienstes","dienstes","gewerkschaften","arbeiter","arbeitsdirektor","öffentlichen","seeschiffahrt","unternehmungen","privatisierung","aktie","mitbestimmung","reichsbank","aktien","kurlbaum","eigentum","preisbindung","aktie","luitpoldhütte","wirtschaft","wirtschaft","künstler","wählerschaft","bezeichnungen","müller","umschulung","amberg","that","arbeitsförderungsgesetz","berufsausbildung","arbeitnehmer","arbeitnehmer","sozialordnung","beruflichen","berufliche","unternehmen","marktwirtschaft","fachkräfte","leitenden","betrieben","mitbestimmung","aufsichtsrat","aktionsprogramm","unternehmer","berufe","mittelständischen","mittleren","pressefusionskontrolle","unternehmens","berufe","mittleren","wettbewerb","schwandorf","rapp","lammert","stahl","markt","subventionen","reuschenbach","fusion","regionen","krupp","hessen","montanmitbestimmung","steinkohle","arbeitsplätze","stahl","landesregierung","jahrhundertvertrag","kohle","lafontaine","energiepolitischen","kohle","region","brüssel","ag","kohle","bekleidungsindustrie","kohle","energien","kernenergie","stromeinspeisungsgesetzes","kohle","hinsken","einstandspreis","wettbewerb","markt","rundfunk","wettbewerb","liberalisierung","liberalisierung","unternehmen","verbraucher","ag","uwg","heil","regulierung","regulierung","bürsch","unternehmen","bundeskartellamt","post","markt","verbraucher","anbieter","markt","warteschleifen","bundesnetzagentur","kunden","enquete","waffenregister","waffen","verbraucherinnen","netz","breitbandausbau","digitale","verbraucherinnen","buchpreisbindung","verwaltung","netz","daten","digitalen","richtlinie","digitale","digitalen","digitalisierung","plattformen","digital"
"6","antrag","bediensteten","verwaltung","beamten","dienstes","eisen","unternehmungen","sonntags","unternehmen","publizität","preussag","arbeitnehmer","deist","barzel","konzentration","hauptversammlung","wirtschaft","unternehmens","urhebers","berufsausbildungsgesetzes","entwurf","finanzgerichtsordnung","verbänden","handwerksordnung","ausbildung","berufsausbildung","mobilität","to","berufliche","sozialordnung","berufliche","ausländischen","unfallverhütungsbericht","mittlere","bauwirtschaft","mittwoch","missbrauchsaufsicht","hersteller","angestellten","beschäftigten","neckarsulm","montanmitbestimmung","wettbewerb","arbeitnehmer","mittelstandspolitik","kleinen","fusionskontrolle","wirtschaft","kleinen","arbeitnehmer","betriebe","hauser","schlecht","arbeitsplätze","erp","regionen","hoffmann","lambsdorff","kohle","wolfram","stahlindustrie","wuppermann","thtr","nordrheinwestfalen","stahl","bremen","regionen","steinkohle","energiepolitik","landesregierung","saarlandes","bergbau","bergbau","ag","stahlunternehmen","fritz","stahlindustrie","riva","nutzung","stoiber","energieversorgung","montanunion","kernenergie","stromeinspeisungsgesetz","marktwirtschaft","kernenergie","liberalisierung","kraftwärmekopplung","kraftwärmekopplung","markt","exklusivlizenz","wettbewerbsrecht","wettbewerb","wettbewerb","regulierungsbehörde","informationsgesellschaft","verbraucher","post","privatisierung","telekom","hedgefonds","unternehmen","ag","unternehmen","markt","anreizregulierung","mediendienste","verbraucherinnen","anbieter","enquetekommission","wettbewerb","tankstellen","digitale","bundesnetzagentur","agenda","netze","internet","digitalisierung","verbraucherinnen","digitalisierung","internet","verbraucherinnen","digitale","netzdg","netzdg","internet","datenschutz","daten"
"7","regelung","beamte","anrechnung","arbeitsgerichte","dienst","arbeitnehmer","angestellten","stundenwoche","publizität","deist","eigentum","gesellschaften","unternehmen","deist","gesetz","gesellschaften","handel","verbandsversammlung","werke","ausbildung","künstler","verwertungsgesellschaften","werke","technik","arbeitsmarkt","arbeitsmarktpolitik","arbeitslosigkeit","pick","arbeitsvermittlung","rohde","handwerk","berufsausbildung","fortbildung","mittleren","sozialordnung","möchte","fusionskontrolle","wettbewerb","gewerkschaften","betrieb","unternehmens","leitenden","hauser","kandidaten","hauser","mittleren","kleinen","programm","diag","mittelstand","mittelständischen","wirtschaft","arbeitsplätze","schwörer","wirtschaftsausschuss","arbeitsplätze","fusion","stahl","jochimsen","arbeitsplätze","saarland","stahlindustrie","arbeitsplätze","hamburg","nordrheinwestfalen","landesregierung","arbeitsplätze","kohlepfennig","kernenergie","rau","evus","nordrheinwestfalen","energiepolitik","stralsund","kohle","textil","rexrodt","energien","kohlepfennig","rexrodt","windenergie","stahl","stadtwerke","rexrodt","wettbewerbspolitik","erneuerbaren","volksfeste","strom","schausteller","verbraucher","kartellamt","preise","samstag","markt","liberalisierung","internet","kunden","kartellamt","herkunftslandprinzip","banken","sparkassen","netze","anbieter","strom","ag","ag","kunden","telefonwerbung","warteschleifen","netzneutralität","digitalen","urheberrecht","enquetekommission","agenda","verbraucherinnen","infrastrukturen","digitalisierung","urheberrecht","digitalisierung","verbraucherinnen","verbraucher","digitalisierung","plattformen","netz","internet","verbraucher","netz","plattformen"
"8","angestellten","arbeiter","öffentlichen","personalvertretung","beamte","gewerkschaften","volkswagenwerk","öffentlichen","rechtsform","gesellschaften","atzenroth","aktiengesellschaften","aktien","aktiengesellschaften","ergebnisbeteiligung","aufsichtsrat","selbstverwaltung","vermögen","künstler","handwerk","vorgelegt","geräte","ankündigungen","handwerks","sicherheitsüberwachung","arbeitsförderungsgesetz","arbeitsvermittlung","is","berufsbildung","arbeitsförderungsgesetzes","sozialordnung","sozialordnung","arbeitnehmer","sozialordnung","berufsausbildung","möglichkeiten","wirtschaft","missbräuche","franke","gewerkschaften","gewerkschaften","arbeitsdirektor","mittelstandsbericht","wahlrecht","mittlere","mittlere","mittlere","arbeitsplätze","banken","gmbh","insolvenzen","arbeitnehmer","mittelständischen","bekleidungsindustrie","firmen","europäischen","mittelstand","hdw","lambsdorff","regionen","arbeitsplätze","saarland","saarland","schleswigholstein","bangemann","stahl","stahlindustrie","arbeitsplätze","kohlepolitik","energiepolitik","nordrheinwestfalen","bundeswirtschaftsminister","bergleute","landesregierung","strom","brüssel","jung","stahlindustrie","energieträger","kohle","erneuerbaren","erneuerbaren","rexrodt","kohle","lambsdorff","kohle","verbraucher","internet","strom","internet","onlinewahlen","kartellamt","monopolkommission","reparaturklausel","krogmann","regulierung","software","unternehmen","öffentlichprivate","fusion","telekom","sparkassen","strom","preise","unternehmen","bundesnetzagentur","postdienstleistungen","anbieter","demail","wettbewerb","netz","markttransparenzstelle","digitalen","breitbandausbau","verbraucherpolitik","verbraucher","digitale","verwertungsgesellschaften","digitale","datenschutz","plattformen","musterfeststellungsklage","urheberrecht","datenschutz","datenschutz","verbraucherinnen","internet","verwaltung"
"9","bundesanstalt","verwaltungen","dienstzeit","dienstes","verwaltung","vorstand","aktien","dienst","aktie","eigentum","volksaktie","eigentum","unternehmungen","konzentration","schmücker","aktiengesellschaft","betriebe","wasserhaltung","verwertungsgesellschaften","industrie","beschluss","schutzfrist","industrie","beruflichen","mobilität","mobilität","arbeitslosenversicherung","ausbildungsförderungsgesetz","ältere","ersatzdienstleistenden","arendt","rohde","beruflichen","selbständigen","ausbildungsordnungen","arbeit","preisempfehlung","fachkunde","verbraucher","wettbewerb","volkswagenwerk","angestellten","vermögensbildung","mittelständische","mittelständischen","wettbewerb","mittelstand","zonenrandgebiet","arbeitsplätze","wirtschaft","arbeitsplätze","simonis","wirtschaft","mittelständische","hilfen","saarland","arbeitsplätze","arbeitsplätze","bremen","georgsmarienhütte","olympische","bremen","niedersachsen","wolfram","unternehmen","bangemann","belegschaft","saarland","bergleute","steinkohle","stiftung","praklaseismos","braunkohle","unternehmens","krise","fusion","bergbau","energiepolitik","steinkohle","energiepolitik","stromeinspeisungsgesetz","strom","stromeinspeisungsgesetz","windenergie","kartellrecht","braunkohle","stadtwerken","öffentlichrechtlichen","übernahmen","müller","markt","liberalisierung","öffnungszeiten","richtlinie","markt","verbraucher","post","schauerte","öffentlichprivaten","kapitalprivatisierung","anbieter","liberalisierung","banken","kunden","preise","unternehmen","preise","markt","bundesnetzagentur","kunden","digitale","netz","bundesnetzagentur","enquetekommission","kunden","digitalisierung","netzneutralität","digitalen","telekom","urheberrecht","bundesnetzagentur","verbraucherschutz","internet","meinungsfreiheit","plattformen","verwaltung","digital","act"
"10","personen","beamtenschaft","abs","verwaltung","beamtenrecht","kohle","unternehmen","aktien","hellwig","howaldtwerke","hand","aktionäre","aktionäre","gesellschaft","aktionäre","grossunternehmen","gewerbeordnung","philipp","ausübenden","lehrlinge","wechsel","handwerk","eigentlich","arbeitnehmer","handwerks","müller","junghans","as","fernunterricht","berufliche","behinderten","berufsbildungsgesetz","sicherheitsbeauftragten","betriebe","berufsbildung","bestürzt","kartellnovelle","sozialordnung","montanmitbestimmung","bundeskartellamt","genossenschaftskasse","franke","pieroth","grossunternehmen","kleine","mittelstand","betriebe","eigenkapital","wirtschaft","diag","sparkassen","freien","wettbewerbs","gewerkschaft","stahlunternehmen","lammert","unterhaltungselektronik","bundeswirtschaftsminister","bundeswirtschaftsminister","kohle","jochimsen","unternehmen","unternehmen","arbeitsplätze","konsens","steinkohle","kohle","stahl","bergbau","land","vermiedenen","ag","kohlepolitik","mecklenburgvorpommern","bremen","bekleidungsindustrie","kohlerunde","artikelgesetz","evus","eurofighter","energie","erneuerbare","energiewirtschaftsgesetz","jung","stahlindustrie","hinsken","energien","mosdorf","markt","rabattgesetzes","filialen","staffelt","ladenschlussgesetz","anbieter","krings","kartellamt","anreizregulierung","kartellrecht","konto","dfs","märkte","wettbewerber","liberalisierung","netz","strom","bundeskartellamt","leasingunternehmen","arbeitsbedingungen","verbraucherinnen","netz","markt","nutzer","enquete","netzneutralität","digitalisierung","internet","wettbewerb","netzneutralität","urheber","internet","datenschutz","internet","netz","itsicherheit","digital","datenstrategie","itsicherheit","verbraucher"
