"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","spiegel","antrag","schmücker","sonntagsarbeit","bundesanstalt","bundesanstalt","harmonisierung","mehrarbeit","bundesanstalt","kollbach","rechnungsprüfung","aufsichtsrat","wirtschaftlichkeit","anmeldungen","patentamt","betrieb","ehmke","mitbestimmung","bundesrechnungshof","mitbestimmung","vermögensbildung","mitbestimmung","arbeitnehmer","betriebsrat","gmbh","arbeitnehmer","arbeitgeber","textil","heichert","presse","presse","presse","daten","stiftung","übungen","standort","datenschutz","datenschutz","datenschutz","daten","datenschutz","datenschutzes","spareinlagen","datenschutz","datenschutz","datenschutz","finanzausgleich","diätenerhöhung","eurocontrol","grossgeräte","tierversuche","emden","tierversuche","prostituierten","grundkonsens","tierversuche","antarktis","tierschutz","antarktis","antarktis","einigungsvertrag","einigungsvertrag","ddr","alteigentümer","treuhandanstalt","treuhandanstalt","treuhandanstalt","treuhandanstalt","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ostdeutschen","ost","ost","ost","ost","ost","ost","ostdeutschland","ost","osten","ostdeutschland","ost","ostdeutschland","bundesländern","ost","ostdeutschland","regionen","osten","gysi","ost","ddr","ost","ddr","ddr","ost","ost","osten","beiräte","ost","ost","ddr","einheit","ddr","ost","ost","ost","osten","ddr","ddr","ddr","einheit","helmut","ostdeutschland"
"2","ausschuss","ausschuss","ausschuss","geschäftsordnung","ausschuss","tagesordnung","ausschuss","geschäftsordnung","ausschuss","anträge","antrag","lesung","antrag","bundesanstalt","antrag","arbeit","schutzhütten","arbeitskräfte","arbeitsvermittlung","korea","straubing","gesellschaft","verwaltung","patentamt","rechnungsprüfungsausschuss","marke","bundesrechnungshof","arbeitnehmer","zeugin","arbeitnehmer","tarifverträge","arbeitnehmer","vermögensbildung","arbeitnehmer","gewerkschaften","entscheidungsfreiheit","osnabrück","bekleidungsindustrie","preisprüfungsverfahren","pressefreiheit","zeitungen","klein","verbraucherpolitik","verbraucherzentralen","datenschutz","garching","bundesdatenschutzgesetz","datenschutzes","statistischen","datenschutzes","bundesbeauftragten","daten","kreditinstitute","tätigkeitsbericht","bundesbeauftragten","mikrozensus","bundesergänzungszuweisungen","herr","flugsicherung","kassenärztlichen","flugsicherung","ostfriesland","tierversuchen","bundeshilfe","kommission","tierversuchen","dienstleistungsabend","tierversuche","einzelhandel","dienstleistungsabend","ddr","ehemaligen","pds","rückgabe","ddr","deponie","ddr","ddr","rückgabe","ostdeutschen","ostdeutschen","ostdeutschen","altschulden","ostdeutschen","osten","ost","aufbau","ostdeutschland","neuen","osten","neuen","osten","ost","osten","ost","ost","ostdeutschland","ost","ostdeutschland","ostdeutschland","ost","ostdeutschland","ost","ddr","osten","ost","ddr","osten","ost","osten","ostdeutschland","ost","ost","einheit","osten","polen","ddr","sachsen","osten","ddr","osten","ostdeutschland","osten","osten","thüringen","osten","kohl","schwedt"
"3","fraktion","fraktion","fraktion","ausschuss","geschäftsordnung","geschäftsordnung","geschäftsordnung","haushaltsausschuss","materie","tagesordnung","schmücker","staub","eile","sonntag","mischnick","urlaubs","bundesurlaubsgesetz","arbeitszeitverkürzungen","konvention","italien","stiftung","unternehmen","bundesrechnungshofs","patentamts","unternehmen","tag","bitte","betriebsverfassungsgesetz","mitbestimmung","insemination","burgbacher","betrieb","mitbestimmung","mitbestimmung","arbeitnehmer","mitbestimmung","unterhaltsberechtigten","kurzarbeit","herr","journalisten","klein","fusionskontrolle","landesbank","namibias","versicherungsnummer","culham","datenschutzes","daten","statistik","datenschutz","datenschutzes","chloramphenicol","preisindex","bundesbeauftragten","datenschutzes","technisch","länder","beträchtlichen","maastricht","argentinien","tierversuchen","dollarthafen","tier","flughafen","konsumenten","flughafen","dienstleistungsabends","tierschutzgesetzes","dienstleistungsabend","dienstleistungsabends","volkskammer","ddr","treuhand","entschädigung","treuhand","ddr","treuhand","treuhand","mauer","bundesländern","mauer","bundesländern","ostdeutschen","bundesländern","ostdeutschland","neuen","neuen","osten","osten","neuen","osten","neuen","osten","bundesländern","bundesländern","neuen","osten","regionen","ost","neuen","neuen","ost","ostdeutschland","osten","ostdeutschland","west","ostdeutschland","einheit","osten","ddr","osten","west","osten","ostdeutschland","west","einheit","ost","ost","west","west","west","lebensverhältnisse","ostdeutschland","ostdeutschland","ramelow","ddr","osten","osten"
"4","drucksache","vizepräsident","antrags","anträge","anträge","anträge","tagesordnung","haus","ausschüsse","antrages","entschliessungsantrag","vizepräsident","lesung","sonntage","gerstenmaier","harmonisierung","nachahmungen","arbeitslosenversicherung","argoud","bundesanstalt","einbeziehung","gesellschaften","gesellschaften","prüfung","ehmke","unternehmen","fahnenflucht","unternehmer","vorstand","ruhrfestspiele","gewerkschaften","betriebsrat","katzer","einigungsstelle","amp","ruf","pfändung","gewerkschaft","bekleidungsindustrie","zeitungen","journalisten","zeitungen","gerster","rechtsberatung","daten","jet","bundesbeauftragten","bundesbeauftragten","daten","meldebehörden","daten","serie","statistik","datenschutzes","bundesdatenschutzgesetzes","fülle","finanzausgleichs","missbrauch","luftraum","jäger","tierschutz","dollart","tiere","tieren","maschine","tiere","ressourcen","tiere","ladenöffnungszeiten","ausbeutung","wahl","treuhand","parteien","eigentum","premnitz","schönberg","entschädigung","ostdeutschen","ostdeutschen","altschulden","altschulden","ostdeutschland","bundesländern","neuen","ost","schwanitz","ostdeutschen","ostdeutschen","ostdeutschen","bundesländern","bundesländern","sachsenanhalt","neuen","streik","neuen","aufbau","einheit","osten","polen","bundesländern","osten","neuen","einheit","bundesländern","west","osten","osten","ostdeutschland","west","west","ghetto","rente","west","osten","renten","volkskammer","west","west","bonn","osten","wiedervereinigung","einheit","ostdeutschen","ost","sed","wiedervereinigung","einheit","lebensverhältnisse"
"5","tagesordnung","anträge","drucksache","präsident","weihnachten","ausschüsse","weihnachten","anträge","geschäftsordnung","materie","ältestenrat","beraten","handwerksmeister","ermächtigung","cduantrag","werktage","reichsgoldmünzen","bundesanstalt","arbeitslosenversicherung","sudan","landschaftsgartenbaues","aktiengesellschaft","fritz","prüfer","frachthilfe","raiffeisen","pharmazeutische","betriebsrat","personenhandelsgesellschaften","vogt","arbeitnehmer","ruf","produktivvermögen","leitenden","co","seeschiffahrt","bundestag","weser","schulbüchern","zeugnisverweigerungsrecht","tageszeitungen","göttingen","datenschutz","daten","britischen","daten","meinecke","bürgers","datenschutzes","bürgers","datenverarbeitung","datenschutz","daten","datenverarbeitung","datenverarbeitung","qualifizierten","ergänzungszuweisungen","länder","karlsruhe","ostwärts","tiere","luftverkehr","tierschutz","tiere","verbot","ladenschlusszeiten","mineralischen","tierschutzes","einkaufen","antarktischen","parteien","treuhandanstalt","vermögen","ddr","alteigentümer","rückgabe","hacker","eigentum","entschädigung","einigungsvertrag","grundstücke","neuen","hacker","ostdeutschland","neuen","ostdeutschland","einheit","neuen","einheit","länder","ostdeutschen","bundesländern","aufbau","neuen","ostdeutschland","bundesländern","sachsen","neuen","aufbau","aufbau","bundesländern","west","neuen","staatssicherheit","westen","einheit","west","ost","westen","ostdeutschland","west","renten","rente","west","ostdeutschland","ehemaligen","osten","rentenrecht","ostdeutschen","einheit","einheit","ost","treuhand","ostdeutschen","sozialismus","akten","ddr","ddr"
"6","nr","sitzung","antragsteller","drucksache","sonntage","herren","haus","neu","ausschüssen","vizepräsident","präsident","zweck","herr","arbeitslosenversicherung","sonntag","scheppmann","erholung","arbeitsmarktlage","arbeit","vergleichsverhandlungen","landshut","wilhelmi","gesellschaft","anmeldung","fänge","käufer","rechnungsprüfungsausschuss","grossunternehmen","satzung","industrie","rosenthal","gewerkschaften","burgbacherplan","angestellten","arbeitgeber","stellungnahmen","institution","bekleidung","erfahren","klein","zeitungsverleger","zusagen","verbraucher","datenschutzgesetz","flächen","dkp","datenschutzrechts","bundesdatenschutzgesetz","statistiken","rheins","tätigkeitsbericht","statistiken","kündigungsfrist","datenschutzbeauftragten","althammer","sachzwang","horizontalen","beruht","fröhlich","kassenarzt","käfighaltung","flugsicherung","tierschutzgesetz","folgen","planung","ladenschlussgesetzes","antarktischen","tierversuchen","verbraucher","diplomatische","ehemaligen","rückgabe","rückgabe","treuhandanstalt","ag","entschädigung","einigungsvertrag","entschädigung","neuen","hacker","bundesländern","altschulden","ostdeutschland","bodenreform","bundesländern","bundesländern","ddr","bundesländern","bundesländern","ostdeutschen","ostdeutschland","sachsen","bundesländern","ostdeutschland","ostdeutschen","osten","regionen","ostdeutschen","osten","osten","ostdeutschen","bundesländern","bundesländern","gregor","einheit","ostdeutschland","seen","westen","ostdeutschen","einheit","ddr","ddr","ddr","ddr","einheit","polnischen","ostdeutschland","osten","westen","geschiedenen","san","west","ost","west","einheit","haribo","ost","einheit"
"7","bundestag","ausschüsse","vizepräsident","fraktion","tagesordnung","präsident","anträge","herren","anträge","ausschüssen","überweisen","abgeordnete","gesetz","stahlindustrie","eier","arbeitslosenversicherung","scheppmann","arbeitsmarkt","arbeitskräfte","wirtschaft","avavg","hauptversammlung","konzern","reischl","prüfung","zuständigen","illustrierten","aufsichtsrat","stiftung","unternehmen","eigentum","betriebsräte","gewerkschaften","arbeitgeber","aufsichtsrat","betriebsverfassungsgesetz","helmstedt","kleinbetriebe","tunesischen","hirsch","stiftung","presseunternehmen","datenschutzgesetz","verbraucher","roten","herr","ostbeirut","bundesdatenschutzgesetzes","datenverarbeitung","sozialdaten","bundesbeauftragte","mosel","lebenshaltung","daten","sicherheitsbehörden","bewerten","förderabgabe","raffineriekapazitäten","kontrollzentrale","teilaspekt","tierschutzgesetzes","flughäfen","tierschutzes","fragebogen","erkenntnisse","ladenschlussgesetz","rohstoffaktivitäten","terminbörse","tiere","antarktisvertrag","pds","pds","kommission","stichtagsregelung","faser","vermögensabgabe","vermögen","einigungsvertrag","einigungsvertrag","neuen","krüger","enteignungen","sachsen","ostdeutsche","pds","ddr","osten","ddr","ostdeutschland","aufbau","west","aufbau","ostdeutschen","westen","bundesländer","regionen","ostdeutschen","aufbau","alten","regionen","einheit","ostdeutschen","regionen","ost","bundesländern","gysi","stasi","bundesländern","ostdeutschland","westen","zrbg","einheit","renten","ostdeutschen","ddr","juni","wiedervereinigung","westen","einheit","westen","ostdeutschland","westen","west","thüringen","thüringer","ostdeutschen","ostdeutschen","ost"
"8","damen","bundestag","tagesordnung","antrags","fraktion","fraktion","antragsteller","vorlagen","rücküberweisung","beratungen","horn","erarbeitet","mensing","sonntagen","rechtsausschuss","weihnachten","medaillenverordnung","arbeitsvermittlung","italien","verhältnismässig","beschäftigung","publizität","gesetzgebenden","unternehmen","patentamts","betriebsrat","mille","betrieb","referats","unternehmer","zwang","entwurf","entwurf","betrieb","unternehmen","herren","handelsvertreter","vdk","europarates","fusionskontrolle","daten","fusion","datenverarbeitung","presse","soltaulüneburg","fluglärmgesetzes","tornado","datenverarbeitung","erhebungen","sicherheitsbehörden","leistungsträger","film","sparer","ta","daten","steht","bremen","bundesbeauftragten","flugverkehr","jahr","nutztierhaltung","region","tieren","erkenntnisstand","nichtigkeit","tierschutzgesetz","regime","tierschutzbericht","ladenschlusszeiten","greenpeace","fünfprozentklausel","vermögen","einigungsvertrag","treuhand","alcor","einigungsvertrag","grundstücke","sed","wurden","pds","hacker","einigungsvertrag","sanierung","pds","ostdeutschen","pds","bundesländern","einheit","ddr","ostdeutschland","einheit","ostdeutschland","west","sachsen","einheit","ga","neuen","bundesländern","schwebt","ostdeutschen","regionen","osten","west","ostdeutschland","ostdeutschen","ostdeutschen","brandenburg","ostdeutschen","einheit","lohnunterlagen","westen","contergangeschädigten","sowjetunion","rente","westen","ostdeutschen","ostdeutschen","clausnitz","angleichung","angleichung","westen","ostdeutschen","westen","einheit","westen","ost","west","west"
"9","dr","antrags","präsident","hauses","sonntag","haus","plenum","ältestenrat","ältestenrat","haushaltsausschuss","anträge","stammberger","erforderlich","sonntags","schmücker","herabsetzung","lehrpersonen","mehrkosten","begeht","mehrarbeit","arbeitslosenversicherung","aktionäre","kulturausschuss","verschobenen","prüfer","feiertag","entstanden","publizität","dattendorfer","analogie","nölling","betriebsverfassungsgesetzes","cducsuentwurf","rechte","gmbhs","rechte","aufsichtsrat","arbeitsplätze","gerhard","daten","wirtschaftliche","meinungsvielfalt","presse","zusagen","verbraucher","datenschutz","bundesdatenschutzgesetzes","bundesbeauftragte","statistische","meldewesen","datenschutzbeauftragten","besonders","laufs","laufs","kakao","grundsatz","datenschutz","geschwister","luftfahrt","gestreikt","tier","dollarthafens","verbot","kriminalisiert","möchte","ergänzungsmethoden","einkaufswagen","tieren","greenpeace","einzelhandel","sperrklausel","einigungsvertrages","entschädigung","einigungsvertrag","eigentum","mecklenburgvorpommern","ehemaligen","schily","pds","bvs","kommunen","krüger","luther","flächen","aufbau","osten","ostdeutschland","schwanitz","aufbau","massstäbegesetz","aufbau","bundesländer","stolpe","ostdeutschen","altschulden","ostdeutschen","bundesländern","sachsen","österreicher","west","investitionszulage","westen","westen","neuen","neuen","bvvg","ostdeutschen","rentenüberleitung","heimkinder","angleichung","rentenversicherung","ostdeutschland","zuwanderer","westen","ostdeutschen","ghetto","rentenrecht","polen","ostdeutschland","rentenrecht","aung","ddr","wiedervereinigung","westen","linken","ostdeutschland","westen","enquetekommission"
"10","anträge","präsident","fraktionen","vizepräsident","sonntagen","ältestenrat","präsident","bundestag","mai","herren","schmid","verehrten","namens","antrag","stunden","fünftagewoche","arbeitslosenversicherung","anfrage","illegal","republik","herr","konzern","schlechtwettergeldregelung","entlastung","patente","fusionsverhandlungen","prüfung","unternehmen","publizität","stationierungsstreitkräfte","vermögen","regierungsentwurf","betriebsverfassungsgesetz","ruf","produktivvermögen","gleichen","zuteilung","kaiser","versammlung","wirtschaftliche","zeugnisverweigerungsrecht","sieglerschmidt","bundesdatenschutzgesetz","sieglerschmidt","sommerpause","gütersloh","gerster","transsexuellen","bundesdatenschutzgesetzes","datenverarbeitung","sozialgesetzbuches","sprechen","oberfinanzdirektionen","bundesdatenschutzgesetzes","laufs","niemand","verteilung","auseinandersetzungen","patentamt","wunsch","tierschutzorganisationen","kraatz","einzelhandel","diskriminierungen","träume","frau","ressourcenaktivitäten","tier","vertragspartnern","seehofer","vermögen","entschädigung","treuhandanstalt","vermögensgesetz","krebsregister","eigentum","treuhandausschuss","rückgabe","eigentum","treuhandanstalt","unrecht","pds","uwejens","alteigentümer","sed","aufbau","schwanitz","west","west","solidarpakt","ammendorf","ostdeutschen","einheit","bundesländer","westen","bundesländer","stolpe","westdeutschen","liberal","einheit","west","einheit","bundesländer","regionen","angleichung","westen","neuen","west","ehemaligen","ostdeutschen","einheit","neuen","angleichung","revolution","liebknecht","ost","westen","rente","ddr","ostdeutschland","kyi","gleichwertige","bundesbehörden","wiedervereinigung","osten","west","ostdeutschland","ostdeutschen"
