"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","gewerkschaften","arbeitnehmer","arbeitnehmer","gewerkschaften","gewerkschaften","mitbestimmung","arbeitnehmer","sonntag","arbeitnehmer","gewerkschaften","arbeitnehmer","mitbestimmung","arbeitnehmer","bundesanstalt","arbeitnehmer","arbeitnehmer","berufsausbildung","bundesanstalt","bundesanstalt","berufsausbildung","bundestages","handwerk","unfallverhütung","berufsausbildung","berufsausbildung","bundesanstalt","entwicklungshelfer","fremdenverkehr","arbeitnehmer","arbeitnehmer","bundesanstalt","arbeitnehmer","unfallverhütung","arbeitnehmer","bundesanstalt","arbeitnehmer","arbeitnehmer","behinderten","mitbestimmung","behinderten","arbeitnehmer","arbeitnehmer","arbeitnehmer","werkstatt","frauen","bundesanstalt","behinderten","arbeitslosen","behinderten","frauen","frauen","frauen","bundesanstalt","frauen","bundesanstalt","arbeit","behinderten","arbeit","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeitnehmer","montanmitbestimmung","rheinhausen","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeitsschutz","arbeitnehmer","arbeitnehmer","bundesanstalt","bundesanstalt","bundesanstalt","arbeitnehmer","arbeit","arbeit","arbeitnehmer","arbeit","arbeit","arbeit","arbeit","arbeitnehmer","riester","arbeit","arbeitsmarkt","arbeitnehmer","arbeitnehmer","arbeit","arbeitsmarkt","arbeitsmarkt","arbeitnehmer","arbeit","schwarzarbeit","mitbestimmung","bundesagentur","arbeitsmarkt","arbeit","arbeitsmarkt","menschen","arbeit","arbeitnehmer","arbeit","arbeit","arbeit","rente","mindestlohn","rente","arbeitsmarkt","rente","mindestlohn","rente","mindestlohn","arbeitsmarkt","rente","rente","rente","rente","arbeitsmarkt","arbeitsmarkt","rente","menschen","grundrente","beschäftigten","rente"," euro"
"2","arbeitnehmer","arbeitgeber","berufsgenossenschaften","personalrat","arbeitnehmer","arbeitnehmer","angestellten","arbeitszeit","gewerkschaften","arbeitnehmer","avavg","arbeitnehmer","arbeitszeit","sonntagsarbeit","selbständigen","betrieb","selbständigen","arbeitnehmer","arbeitnehmer","diäten","beschäftigung","handwerks","bericht","bundesanstalt","arbeitnehmer","beruflichen","arbeitsmittel","fremdenverkehrs","bundesanstalt","bundesanstalt","arbeit","mitbestimmung","arbeitnehmer","betriebsrat","beruflichen","mannheim","bundesanstalt","rehabilitation","arbeitnehmer","arbeitnehmer","arbeit","mitbestimmung","behinderten","behinderte","fuchs","schwerbehinderten","behinderte","arbeitnehmer","frauen","humanisierung","frau","männer","arbeit","bundesanstalt","arbeit","bundesanstalt","fremdenverkehr","überstunden","stundenwoche","aussperrung","arbeit","gewerkschaften","gewerkschaften","montanmitbestimmung","arbeitnehmer","arbeitsplätze","rheinhausen","arbeitslosigkeit","arbeitgeber","gewerkschaften","arbeitnehmer","arbeitslosigkeit","bundesanstalt","arbeit","arbeit","arbeit","arbeit","arbeitnehmer","bundesanstalt","arbeit","blüm","arbeitslosigkeit","arbeitnehmer","beschäftigung","beschäftigung","arbeit","arbeitnehmer","arbeit","arbeitsmarkt","mitbestimmung","arbeitsmarkt","arbeit","arbeit","arbeit","bundesanstalt","bundesagentur","bundesagentur","arbeit","arbeit","ii","menschen","mindestlohn","arbeitnehmer","altersteilzeit","arbeitnehmer","menschen","mindestlohn","arbeit","arbeitsmarkt","mindestlohn","rente","arbeitsmarkt","arbeitsmarkt","mindestlohn","rente","mindestlohn","arbeitsmarkt","arbeitsmarkt","arbeit","beschäftigten","beschäftigten","rente","menschen","arbeit","rente","grundsicherung","mindestlohn","arbeitsmarkt"
"3","gesetz","öffentlichen","selbständigen","sabel","angestellten","aufsichtsrat","einzelhandel","stunden","arbeiter","arbeitslosenversicherung","arbeitslosenversicherung","betriebe","urlaub","arbeitnehmer","betriebe","bundesanstalt","arbeitnehmer","mehrarbeit","arbeit","gewerbeordnung","bundestagsvorstand","handwerksordnung","unfälle","berufsforschung","bericht","fortbildung","müller","mitbestimmung","berufsausbildung","arbeit","arbeitnehmer","rehabilitation","bundesanstalt","mitbestimmung","arbeitnehmer","arbeit","arbeit","arbeitgeber","gewerkschaften","behinderte","bundesanstalt","gewerkschaften","gewerkschaften","bundesanstalt","frau","schwerbehinderte","rehabilitation","bundesanstalt","rehabilitation","arbeitslebens","fuchs","frau","fuchs","arbeit","arbeitnehmer","petitionsausschuß","arbeit","arbeitszeit","vorruhestandsregelung","bundesanstalt","arbeitslosen","bundesanstalt","blüm","gewerkschaften","blüm","blüm","überstunden","blüm","gewerkschaften","nordrheinwestfalen","angestellten","bundesanstalt","abm","arbeitsmarktpolitik","arbeitsmarktpolitik","arbeitnehmer","bundesanstalt","arbeitsmarktpolitik","blüm","blüm","arbeitnehmer","blüm","arbeitslosigkeit","arbeitslosigkeit","arbeit","arbeitgeber","arbeitsmarkt","arbeitgeber","teilzeitarbeit","arbeitslosen","bundesanstalt","arbeitnehmer","arbeitslosigkeit","bundesanstalt","menschen","arbeit","hartz","arbeitsmarkt","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeit","arbeitsmarkt","arbeit","mindestlohn","arbeitnehmer","menschen","menschen","arbeit","arbeitsmarkt","arbeit","menschen","arbeit","arbeitsmarkt","arbeitsmarkt","post","beschäftigten","beschäftigten","beschäftigten","arbeitgeber","menschen","menschen","arbeitsmarkt","arbeitsmarkt","beschäftigten","kurzarbeitergeld","rentenversicherung","rente"
"4","arbeitgeber","betrieben","kindergeld","öffentlichen","arbeiter","gewerkschaften","arbeitslosenversicherung","arbeitswoche","arbeit","stunden","bundesanstalt","betrieb","handwerk","sonntag","betrieb","arbeit","urlaub","arbeitsvermittlung","arbeitszeit","berufsausbildungsgesetz","gradl","berufsausbildung","bundeskriminalamt","arbeitnehmer","arbeitsmarkt","umschulung","arbeitnehmer","arbeitnehmer","beruflichen","mitbestimmung","beruflichen","betrieb","unfälle","leitenden","arbeit","kreiswehrersatzämter","arendt","arbeitnehmer","aufsichtsrat","bundesanstalt","arbeitgeber","aufsichtsrat","vermögensbildung","werkstätten","bundesanstalt","arbeitnehmer","schwerbehinderten","arbeit","schwerbehinderten","arbeitswelt","frauenpolitik","mädchen","frauen","ehrenberg","frau","frau","lutz","petitionsausschuß","gewerkschaften","arbeit","überstunden","arbeit","bundesanstalt","arbeit","mitbestimmung","stahlindustrie","betriebsrat","ruhrgebiet","betriebsrat","arbeitgeber","kündigungsfristen","arbeit","arbeitsmarktpolitik","arbeitslosigkeit","arbeitnehmer","arbeitslosigkeit","beschäftigung","arbeitslosigkeit","arbeitnehmer","arbeitslosigkeit","arbeitslosen","arbeitnehmer","lohnfortzahlung","blüm","schreiner","beschäftigung","arbeitgeber","arbeitnehmer","arbeitgeber","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","arbeitslosen","arbeitsmarkt","arbeitsmarkt","arbeitsmarkt","arbeit","arbeitslosigkeit","entsendegesetz","bundesagentur","arbeit","arbeitnehmer","menschen","menschen","arbeitsmarkt","arbeitsmarkt","arbeitsmarkt","arbeitsmarkt","leiharbeit","menschen","beschäftigten","altersarmut","arbeitnehmer","arbeit","menschen","arbeit","arbeit","arbeit","arbeitsmarkt","rentenversicherung","arbeit","arbeit","grundsicherung","rente","arbeitnehmer","arbeit","beschäftigten","mindestlohn"
"5","arbeiter","mitbestimmung","berufsgenossenschaft","arbeitsgerichte","beschäftigten","mitbestimmungsgesetz","gewerkschaften","scheppmann","industrie","arbeitgeber","arbeitszeit","mittelständischen","stunden","arbeitslosenversicherung","arbeitgeber","arbeitszeit","mittelständischen","arbeitslosenversicherung","arbeitsvermittlung","hauses","bürohaus","bundesanstalt","berufsgenossenschaften","beruflichen","bundesanstalt","arbeitsmarkt","berufliche","bundesanstalt","arbeitsförderungsgesetz","berufsausbildung","sozialordnung","betriebsrat","arbeit","angestellten","berufliche","schmidt","arbeitgeber","schwerbehinderten","angestellten","jugendlichen","jugendlichen","arbeit","mitbestimmung","behinderten","staatssekretärin","frauen","schwerbehinderte","blüm","arbeitgeber","arbeitnehmer","arbeit","gleichberechtigung","humanisierung","fuchs","friedmann","arbeitnehmer","arbeitszeit","stundenwoche","arbeit","streik","gewerkschaften","blüm","arbeitgeber","mitbestimmung","stahlindustrie","arbeit","blüm","arbeit","blüm","arbeit","arbeiter","arbeitgeber","arbeitslosigkeit","arbeitsmarkt","arbeitslosigkeit","arbeitsmarkt","arbeitslosigkeit","mitbestimmung","arbeitsmarktpolitik","bundesanstalt","arbeitslosigkeit","arbeitsmarkt","bundesanstalt","arbeitgeber","blüm","arbeitnehmer","arbeitslosen","beschäftigung","arbeitslosigkeit","arbeitsmarkt","arbeitsmarktpolitik","sozialhilfe","bundesanstalt","kündigungsschutz","arbeitslosigkeit","laumann","kündigungsschutz","arbeitnehmer","hartz","hartz","bundesagentur","arbeitsmarkt","arbeitslosengeld","mindestlohn","menschen","beschäftigten","zeitarbeit","leyen","zeitarbeit","arbeit","arbeitnehmer","arbeit","rente","rentenversicherung","arbeit","beschäftigten","arbeitgeber","arbeitnehmer","nahles","mindestlohn","arbeitnehmer","mindestlohn"," euro","grundsicherung","mindestlohn","menschen","betriebsräte","rentner"
"6","betrieb","betriebsverfassungsgesetz","arbeitgeber","dienststelle","berufsgenossenschaften","arbeitsdirektor","industrie","sonntags","angestellten","bauarbeitern","handel","konzentrationsvorgänge","mindesturlaub","stahlindustrie","mittelständischen","stunden","mindesturlaub","arbeit","jugendlichen","vorlage","räume","wirtschaft","arbeitsunfälle","handwerk","zahl","arbeitnehmer","hersteller","kurorte","älteren","rohde","rohde","behinderten","unfallverhütungsbericht","einigungsstelle","berufsausbildung","arbeitsplatz","betriebsärzte","arbeit","leitenden","rehabilitation","aufsichtsrat","arbeitsdirektor","behinderte","arbeit","arbeitgeber","frau","arbeitnehmer","arbeitslosigkeit","behinderte","arbeitgeber","arbeitsstab","schwarzarbeit","arbeitnehmer","frau","fuchs","frauen","überstunden","petitionen","blüm","arbeitslosen","teilzeitarbeit","arbeitslosen","arbeit","arbeitslosen","gewerkschaften","arbeitnehmer","arbeitsplätze","montanmitbestimmung","arbeitslosen","aussperrung","gewerkschaften","arbeitsbeschaffungsmaßnahmen","arbeitsplätze","arbeitnehmer","abm","arbeitsmarktpolitik","arbeitslosen","blüm","arbeitslosigkeit","arbeitgeber","arbeitsmarkt","arbeitslosen","überstunden","arbeitnehmer","arbeitslosigkeit","beschäftigungsverhältnisse","arbeitslosigkeit","schwerbehinderten","bundesanstalt","arbeit","arbeitslosen","beschäftigung","beschäftigung","arbeitslosigkeit","sozialhilfe","sozialhilfe","arbeitsmarkt","gewerkschaften","arbeitslosengeld","arbeitsmarkt","mindestlohn","löhne","mindestlohn","arbeitsmarkt","bundesagentur","bundesagentur","arbeitnehmer","mindestlohn","menschen","leyen","menschen","mindestlohn","menschen","menschen","arbeitnehmer","rente","arbeitnehmer","mindestlohn","rentenversicherung","arbeitnehmer","mindestlohn","beschäftigten","grundrente","beschäftigten","grundsicherung","rente","tarifbindung","menschen"
"7","handwerk","mitbestimmungsrecht","bundesanstalt","bediensteten","selbständigen","übereinkommen","handelskammern","arbeitnehmer","unternehmer","betrieb","arbeitslosengeld","ansiedlung","arbeitgeber","arbeitsvermittlung","mittelschichten","urlaubs","berliner","arbeitszeit","stunden","wirtschaft","rutschke","unabhängigkeit","unfallverhütungsbericht","handwerksordnung","beruflichen","berufsausbildung","technische","urlaub","berufliche","unfallverhütung","berufliche","ruf","sozialordnung","arbeitgeber","ausbildungsordnungen","angestellten","sozialordnung","jugendvertreter","franke","arbeit","beschäftigten","montanmitbestimmung","rappe","arbeitnehmer","schwerbehinderte","arbeitgeber","bundesanstalt","novelle","arbeitnehmer","arbeitsplatz","staatssekretärin","humanisierung","arbeitslosen","arbeitslosen","arbeitslosen","humanisierung","urlaub","frauen","arbeitszeitverkürzung","arbeitskampf","arbeitszeit","arbeitgeber","arbeitskampf","blüm","arbeit","bundesanstalt","arbeit","arbeitsplätze","arbeit","vogt","arbeitsschutzes","blüm","arbeit","abm","afg","blüm","arbeitgeber","teilzeitarbeit","schlechtwettergeld","sozialordnung","beschäftigung","lohnfortzahlung","arbeitgeber","schreiner","arbeitsmarkt","arbeitsmarkt","bundesanstalt","arbeitslosen","arbeit","arbeitsmarktpolitik","riester","arbeitslosen","sozialhilfe","arbeitgeber","beschäftigung","arbeitslosen","arbeitnehmer","menschen","laumann","menschen","ii","arbeitslosigkeit","ältere","kolb","kolb","beschäftigung","kolb","arbeitnehmer","arbeitnehmer","beschäftigung","leiharbeit","rentenversicherung","rentenversicherung","euro","gewerkschaften","arbeitgeber","mütterrente","arbeitgeber","arbeitnehmer","altersvorsorge","rente","rentenversicherung","arbeit"," euro","rentenversicherung","kurzarbeit"," euro","rentnerinnen"
"8","betriebsrat","gewerkschaften","gesetz","gruppe","landwirtschaftlichen","eisen","regelung","stundenwoche","handelskammern","tag","einzelhandel","weihnachtsgratifikation","jugendliche","arbeitsweise","bundesanstalt","scheppmann","betriebe","arbeitskräfte","arbeitslosenversicherung","abgeordneten","vorstand","arbeit","unfallgeschehen","beruf","fortbildung","arbeitsmarktpolitik","übersee","arbeit","arbeitslosigkeit","sozialordnung","arbeitgeber","gewerkschaften","mitbestimmung","betrieb","arendt","betrieb","jugendarbeitsschutzgesetzes","ausgleichsabgabe","unternehmen","arbeitslosen","arbeitnehmern","unternehmen","arbeitnehmern","arbeitslosigkeit","schwerbehinderten","arbeit","werkstätten","beruflichen","beförderung","arbeitsbedingungen","arbeitszeitordnung","arbeit","frau","arbeitnehmer","frauen","petition","fremdenverkehrswirtschaft","arbeitszeitordnung","arbeitszeit","gewerkschaften","arbeitgeber","überstunden","ig","bundesanstalt","stahlarbeiter","ig","montanmitbestimmung","arbeitslosen","mitbestimmung","blüm","arbeitern","beschäftigten","arbeitsbeschaffungsmaßnahmen","behinderten","arbeitsmarkt","kündigungsfristen","blüm","arbeitgeber","arbeitsmarkt","arbeitsmarktpolitik","arbeitgeber","beschäftigung","babel","arbeitsmarkt","überstunden","beschäftigten","regelung","beschäftigten","arbeitsmarktpolitik","betriebsräte","sozialhilfe","arbeitslosenhilfe","menschen","gewerkschaften","arbeitnehmer","beschäftigung","ii","hartz","arbeitslosigkeit","sgb","arbeitslosigkeit","arbeitgeber","arbeitslosigkeit","beschäftigung","sgb","arbeitslosigkeit","bundesagentur","kolb","lohn","kolb","gewerkschaften","minijobs","gewerkschaften","erwerbsminderungsrente","beschäftigten","nahles","menschen","menschen","menschen","altersarmut","arbeitgeber","arbeitnehmer","mindestlohn","arbeitnehmer","arbeit","arbeitnehmer","löhne","arbeit"
"9","mitbestimmungsrecht","gesetz","landwirtschaftlichen","personalvertretung","arbeitgeber","vorstand","sabel","arbeitgeber","vertreter","arbeitsvermittlung","arbeitsvermittlung","arbeitgeber","urlaubs","ermächtigung","leistungen","montag","mittelstand","arbeitsmarkt","jugendarbeitsschutzgesetzes","bundestagsabgeordneten","lehrwerkstätten","hauses","bundesarbeitsminister","arbeitsmittel","arbeit","arbeitsförderungsgesetz","unfälle","fremdenverkehrswirtschaft","berufsbildung","arbeitssicherheit","behinderten","betriebsräte","unfallgeschehen","ruf","sozialordnung","betriebsverfassungsgesetz","unterkünfte","bundesanstalt","arbeit","werkstätten","sozialordnung","angestellten","pieroth","arbeitslosen","arbeit","herabsetzung","frauen","arbeitsmarkt","bundesanstalt","gleichberechtigung","huber","bundesanstalt","arbeitslebens","arbeitgeber","hellwig","petenten","arbeitnehmer","bundesanstalt","arbeitgeber","arbeitgeber","arbeitsplatz","dgb","metall","dgb","bundesanstalt","stahl","vorruhestand","gewerkschaften","beschäftigungsförderungsgesetz","arbeitslosen","angestellte","arbeitsmarktpolitik","arbeitsmarkt","arbeitsvermittlung","arbeitslosen","arbeitgeber","arbeitsmarkt","schlechtwettergeld","arbeitgeber","babel","gewerkschaften","bundesanstalt","gewerkschaften","beschäftigungsverhältnisse","arbeitgeber","geringfügigen","beschäftigung","schwerbehinderte","beschäftigung","betrieben","beschäftigung","menschen","arbeitnehmer","menschen","arbeitgeber","menschen","menschen","laumann","menschen","arbeitslosengeld","arbeitslosengeld","bundesagentur","bundesagentur","arbeitnehmerinnen","ii","sgb","kurzarbeit","arbeiten","rente","altersarmut","beschäftigung","beschäftigung","beschäftigten","arbeitnehmer","sanktionen","leiharbeit","leiharbeit","riesterrente","arbeitgeber","menschen","befristung","arbeitgeber","sozialstaat","arbeitslosigkeit"," euro","homeoffice","arbeit","sozialstaat"
"10","betrieben","wirtschaft","familienausgleichskassen","bundesanstalt","familienausgleichskassen","obergesellschaft","arbeitsvermittlung","seeschiffahrt","arbeitgeber","arbeitslos","arbeitslosenhilfe","arbeitnehmern","tarifpartner","sonntags","ergebnisbeteiligung","herabsetzung","wirtschaft","betrieb","erwachsenen","berufsausbildungsgesetzes","beschäftigten","stunden","berufskrankheiten","entwurf","unfälle","mobilität","bundesanstalt","betriebe","arbeitsvermittlung","gewerkschaften","arendt","entwurf","beruflichen","arbeitnehmern","arbeitgeber","herr","jugendlichen","betrieblichen","arendt","sozialordnung","mitbestimmung","leitenden","arbeit","schwerbehindertengesetzes","staatssekretär","produktivkapital","beförderung","behinderten","arbeit","arbeit","bundesanstalt","mann","arbeitslosigkeit","sozialordnung","bescheinigung","petitionen","behinderte","arbeitnehmer","arbeitslosen","cronenberg","bundesanstalt","arbeitnehmern","dgb","lutz","sozialordnung","dreßler","arbeitgeber","bundesanstalt","arbeitsverhältnisse","arbeitnehmern","arbeit","arbeitslosen","arbeitslosen","arbeitsbeschaffungsmaßnahmen","blüm","abm","arbeitsplätze","schreiner","gewerkschaften","arbeitsmarkt","beschäftigten","arbeitsmarktpolitik","beschäftigung","arbeitslosen","arbeitslose","sozialversicherung","arbeitsmarktpolitik","ausgleichsabgabe","riester","betriebsrat","arbeitslose","arbeitsmarktpolitik","zeitarbeit","tarifautonomie","arbeitslosen","arbeitslosigkeit","arbeitslosen","statistik","iv","iv","kündigungsschutz","gewerkschaften","ii","sgb","grundsicherung","arbeitnehmerinnen","leiharbeit","regelsätze","mindestlöhne","arbeitnehmer","arbeitgeber","leyen","arbeitgeber","mütterrente","arbeitgeber","gewerkschaften","prozent","sanktionen","alter","prozent","befristungen","heil","arbeitnehmer","löhne","menschen","sozialstaat","mitbestimmung","bürgergeld"
