"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","deutschen","politik","wiedervereinigung","wiedervereinigung","sowjetunion","wiedervereinigung","wiedervereinigung","atomwaffen","sowjetunion","waffen","politik","sowjetunion","politik","waffen","welt","welt","berlin","vertrag","politik","bundeskanzler","politik","politik","politik","staaten","staaten","europa","politik","sowjetunion","ddr","sowjetunion","bundeskanzler","politik","sowjetunion","bundeskanzler","sowjetunion","deutschland","ddr","ddr","vertrag","ddr","sowjetunion","polen","ddr","ddr","ddr","ddr","ddr","ddr","sowjetunion","sowjetunion","sowjetunion","sowjetunion","sowjetunion","polen","sowjetunion","ddr","sowjetunion","sowjetunion","sowjetunion","sowjetunion","sowjetunion","waffen","sowjetunion","sowjetunion","abrüstung","ddr","waffen","ddr","ddr","ddr","europa","sowjetunion","polen","vertrag","polen","staaten","nato","staaten","rußland","französischen","rußland","osze","nato","nato","nato","nato","kosovo","kosovo","außenpolitik","kosovo","afghanistan","nato","irak","nato","afghanistan","afghanistan","ukraine","nato","afghanistan","iran","afghanistan","russland","afghanistan","afghanistan","afghanistan","afghanistan","afghanistan","afghanistan","afghanistan","afghanistan","kosovo","mali","iran","ukraine","syrien","russland","türkei","türkei","türkei","soldaten","soldaten","russland","nato","türkei","soldaten","russland","afghanistan","ukraine"
"2","politik","deutschlands","politik","politik","wiedervereinigung","wehrpflicht","politik","waffen","wiedervereinigung","wiedervereinigung","erler","abrüstung","außenpolitik","staaten","deutschen","berlin","bundeskanzler","europa","sowjetunion","politik","erler","europa","frankreich","politik","politik","politik","ddr","europa","deutschlands","politik","sowjetunion","ddr","ddr","deutschland","politik","politik","vertrag","staaten","ddr","sowjetunion","konferenz","ddr","menschenrechte","menschenrechte","menschenrechte","sowjetunion","sowjetunion","sowjetunion","ddr","moskau","politik","ddr","ddr","sowjetunion","staaten","staaten","staaten","waffen","waffen","waffen","ddr","sowjetunion","waffen","reykjavik","sowjetunion","waffen","sowjetunion","sowjetunion","sowjetunion","einheit","einheit","europa","sowjetunion","europa","europa","europa","rußland","ksze","tschetschenien","frankreich","nato","erklärung","rußland","rußland","kosovo","kosovo","rußland","russland","jugoslawien","nato","mazedonien","terrorismus","krieg","krieg","terrorismus","moldau","russland","nationen","ukraine","staaten","nato","afghanistan","oef","kosovo","nato","iran","soldaten","nato","libyen","mandat","iran","afghanistan","syrien","russland","russland","mali","afghanistan","syrien","syrien","mali","einsatz","syrien","soldaten","syrien","mandat","türkei","russland","russland"
"3","volk","konferenz","deutschlands","sowjetunion","politik","welt","sowjetunion","sowjetunion","politik","politik","außenpolitik","politik","sowjetunion","berlin","volk","staaten","ollenhauer","staaten","staaten","jugendwerk","europa","staaten","nato","europa","europa","staaten","deutschlands","politik","politik","bundeskanzler","politik","sowjetunion","europa","ddr","verträge","bundeskanzler","vereinten","sowjetunion","vertrages","politik","ddr","deutschland","deutschland","berlin","sowjetunion","menschenrechte","berlin","politik","afghanistan","afghanistan","staaten","bundeskanzler","frieden","ddr","ddr","politik","europa","staaten","europa","staaten","staaten","staaten","amerikanischen","waffen","nulllösung","sowjetunion","abrüstung","waffen","polen","sowjetunion","sowjetunion","staaten","europa","staaten","staaten","abrüstung","staaten","außenpolitik","russischen","atomwaffen","beziehungen","europa","staaten","staaten","rußland","krieg","nato","krieg","nato","mazedonien","terrorismus","israel","terrorismus","irak","russland","region","afghanistan","vereinten","kosovo","nationen","soldaten","iran","pakistan","israel","russland","kosovo","krieg","israel","soldaten","russland","nationen","russland","region","syrien","ukraine","türkei","syrien","somalia","russland","mission","syrien","türkei","iran","iran","region","iran","mali","mali"
"4","deutschlands","wiedervereinigung","ollenhauer","deutschlands","deutschlands","politik","deutschlands","welt","nato","deutschlands","westlichen","freiheit","welt","nato","berlin","nato","politik","politik","vertrag","europa","staaten","deutschlands","staaten","vereinigten","beziehungen","sowjetunion","europa","staaten","deutschland","ddr","europa","bundeskanzler","berlin","politik","vertrag","ddr","nationen","politik","sowjetunion","berlin","staaten","politik","politik","politik","staaten","politik","politik","wiedervereinigung","staaten","frieden","ddr","staaten","staaten","bundeskanzler","frieden","sowjetunion","vereinigten","frieden","staaten","europa","europa","ddr","staaten","europa","europa","abrüstung","europa","staaten","europa","europa","ddr","deutschland","vertrag","ungarn","vertrag","nato","europa","nato","tschechischen","französische","staaten","tschechischen","europa","europa","europa","milosevic","osze","tschetschenien","kosovo","krieg","nato","afghanistan","afghanistan","nationen","irak","staaten","terrorismus","region","soldaten","vereinten","nationen","nato","russland","streumunition","pakistan","piraterie","abrüstung","mandat","mandat","soldaten","vereinten","mandat","libanon","nato","irak","soldaten","saudiarabien","nato","afghanistan","russland","mali","einsatz","einsatz","region","einsatz","vereinten","soldaten","krieg"
"5","deutsche","ollenhauer","welt","welt","welt","sowjetunion","welt","wiedervereinigung","atomwaffen","sowjetunion","welt","deutschlands","berlin","bundesrepublik","staaten","vereinigten","wehner","bundeskanzler","welt","deutschfranzösischen","bundeskanzler","volk","europa","deutschland","sowjetunion","deutschland","sowjetunion","tschechoslowakei","anerkennung","staaten","deutschland","nation","politik","europa","europa","bundesrepublik","deutschland","nationen","deutschland","deutschland","deutschland","sowjetunion","konferenz","helsinki","politik","berlin","beziehungen","deutschland","entspannungspolitik","ddr","welt","politik","abrüstung","staaten","europa","bündnis","beziehungen","europa","stationierung","frieden","waffen","genf","ddr","staaten","reichweite","west","nuklearen","abrüstung","ungarn","staaten","polen","polen","nato","polen","nachbarn","polen","frieden","europa","atomwaffen","europa","tschechischen","beziehungen","abrüstung","polen","milosevic","jugoslawien","krieg","nato","israel","region","krieg","mazedonien","nato","staaten","kunduz","kosovo","irak","israel","internationalen","usa","einsatz","darfur","isaf","russland","staaten","krieg","außenpolitik","kosovo","saudiarabien","syrien","region","syrien","russland","mandat","waffen","region","nationen","soldaten","nato","einsatz","mandat","soldaten","region","russland","mission","nationen","einsatz","putin"
"6","deutschland","welt","deutschen","verträge","konferenz","deutschlands","nato","abrüstung","deutschlands","atomwaffen","waffen","wiedervereinigung","deutschen","welt","freiheit","politik","freiheit","vereinigten","vereinigten","staaten","welt","de","deutschland","truppen","bundeskanzler","nato","nation","welt","bundeskanzler","europa","barzel","deutschland","staaten","barzel","deutschland","staaten","staaten","vereinten","politik","verträge","entspannung","deutschen","ksze","sowjetunion","deutschland","beziehungen","bahr","entspannung","politik","staaten","frieden","nation","politik","europa","politik","frieden","waffen","stationierung","ddr","sowjetischen","deutschlandpolitik","sdi","europa","abrüstung","waffen","europa","sicherheit","europa","waffen","deutschen","deutschland","sowjetischen","staaten","verträge","außenpolitik","waffen","ukraine","nachbarn","europa","nato","abrüstung","deutschtschechischen","polen","irak","staaten","europa","flüchtlinge","osze","frieden","milosevic","mandat","staaten","soldaten","amerika","nationen","internationalen","russischen","beziehungen","vereinten","menschenrechte","israel","soldaten","menschenrechte","nato","menschenrechte","nato","mandat","soldaten","region","außenpolitik","russland","nationen","mali","afghanistan","humanitäre","somalia","vereinten","mali","soldaten","türkei","region","nationen","mali","irak","mali","nato","ukraine","soldaten"
"7","bundeskanzler","europa","europa","freiheit","moskau","deutschen","freiheit","politik","abrüstung","außenpolitik","sowjetunion","zone","wiedervereinigung","freiheit","politik","europa","sowjetunion","verträge","entspannung","erler","deutschen","gaulle","bundeskanzler","bundeskanzler","deutschland","regierung","staaten","sowjetischen","berlin","vertrag","staaten","europa","entspannung","berlin","frieden","scheel","politik","bundesrepublik","abkommen","staaten","ksze","berlin","menschen","deutschlandpolitik","entspannung","entspannung","deutschland","entspannungspolitik","entspannung","sowjetischen","bundeskanzler","berlin","europa","politik","bundeskanzler","europa","verhandlungen","ddr","frieden","krieg","amerikanischen","europa","abrüstung","amerikanischen","mittelstreckenraketen","staaten","staaten","beziehungen","abrüstung","waffen","vertrag","europas","abrüstung","nato","deutschland","atomwaffen","polen","waffen","nato","tests","russischen","nato","natoosterweiterung","nachbarn","außenpolitik","rußland","europa","region","russland","nationen","einsatz","frieden","frieden","frieden","staaten","nationen","wahlen","staaten","perspektive","terrorismus","libanon","staaten","außenminister","staaten","krieg","menschenrechte","außenminister","außenpolitik","nato","krieg","soldaten","waffen","kosovo","mission","hilfe","waffen","waffen","russland","irak","somalia","türkei","mandat","russland","außenminister","sudan","afghanistan","taliban","nato"
"8","volkes","volk","sowjetunion","deutschen","deutschen","waffen","ungarn","atomaren","welt","freiheit","staaten","europa","deutschlands","deutschlands","deutschlands","erler","deutschen","nato","bundeskanzler","welt","volk","deutschland","französischen","sowjetunion","deutschlands","entspannung","deutschland","bundeskanzler","beziehungen","deutschland","ddr","staaten","deutschland","sowjetunion","ddr","vertrag","einheit","deutschland","staaten","konferenz","politik","nation","sowjetunion","deutschland","beziehungen","staaten","entspannung","nation","menschenrechte","entspannung","entspannungspolitik","frieden","brandt","frieden","krieg","abrüstung","abrüstung","verhandlungen","bündnis","abrüstung","frieden","frieden","nato","bündnis","sicherheit","ost","konventionellen","zusammenarbeit","staaten","polen","deutschlands","deutschen","deutschen","sowjetunion","polnischen","rußland","außenpolitik","rußland","staaten","franzosen","sudetendeutschen","sudetendeutschen","osze","außenpolitik","kinkel","militärischen","außenminister","stabilitätspakt","milosevic","frieden","usa","krieg","nationen","vereinten","internationalen","vereinten","nationen","frieden","mandat","belarus","vereinten","krieg","außenpolitik","serbien","region","soldaten","afghanischen","region","ägypten","nationen","südsudan","vereinten","türkei","soldaten","türkei","syrien","irak","humanitäre","vereinten","frieden","mission","vereinten","mission","frieden","nationen","belarus","bundeswehr","mandat"
"9","europa","deutschen","londoner","deutschland","genf","freiheit","sicherheit","nato","waffen","welt","wiedervereinigung","welt","freiheit","zone","august","bundesrepublik","staaten","europäischen","europa","berlin","europas","deutschen","welt","französischen","vereinigten","unsere","bundeskanzler","unsere","nation","bundesrepublik","verhandlungen","vertrag","bundeskanzler","deutschen","deutschen","beziehungen","nation","menschenrechte","verträge","nation","abkommen","polnischen","nation","entspannung","menschen","entspannungspolitik","abkommen","staaten","sowjetischen","reise","entspannung","verhandlungen","beziehungen","bündnis","amerikanischen","deutschen","ddr","abrüstung","verhandlungen","ddr","vereinigten","abrüstung","sowjetischen","usa","pershing","deutschlandpolitik","konventionelle","polen","bündnis","deutschlands","nato","einheit","republiken","waffen","europas","außenpolitik","nachbarn","frieden","außenpolitik","bundeskanzler","jelzin","rußland","grundakte","ungarn","polen","flüchtlinge","staaten","staaten","gewalt","russland","staaten","usa","vereinten","kosovo","soldaten","nato","soldaten","menschenrechte","krieg","russland","mandat","nationen","krieg","auswärtigen","außenminister","region","einsatz","iran","arabischen","region","mandat","soldaten","waffen","einsatz","region","mandat","mandat","libyen","humanitäre","soldatinnen","russland","kosovo","kosovo","nato","bundeswehr","soldaten","mission","waffen"
"10","einheit","sowjetunion","deutschland","europa","sicherheit","armee","wehrpflicht","deutschlands","deutschland","verteidigung","bundeskanzler","deutschen","spanien","amerikanischen","sowjetunion","deutschen","welt","frankreich","erler","vertrag","wiedervereinigung","bundeskanzler","vereinigten","bundesrepublik","bundesrepublik","außenpolitik","berlin","bündnis","drüben","nation","moskau","berlin","bundesrepublik","staaten","berlin","barzel","grundvertrag","verträge","münchener","beziehungen","berlin","bundesrepublik","vereinten","staaten","entspannungspolitik","nation","mertes","europa","bundeskanzler","politik","deutschland","bündnis","deutschlandpolitik","afghanistan","vereinigten","unsere","politik","genf","raketen","beziehungen","verhandlungen","usa","usa","sowjetischen","staaten","konventionellen","nato","deutschlandpolitik","verhandlungen","abrüstung","europas","baltischen","deutschland","csfr","deutschen","sowjetunion","sicherheit","deutschland","jelzin","staaten","bundeskanzler","tschechen","außenminister","osze","außenminister","militärische","jugoslawien","außenminister","lamers","vereinten","vereinten","kosovo","mazedonien","usa","vereinten","israel","iran","russland","wahlen","erler","kongo","regierung","soldaten","soldaten","israel","regierung","kosovo","nationen","waffen","vereinten","waffen","region","mandat","mali","nationen","ukraine","region","mission","nationen","libyen","afghanistan","nato","mandat","außenpolitik","türkei","nawalny","frieden","frieden"
